time,Utah,pts.away,score,pts.home,New York
4:30.0,,,21-9,,Shooting foul by D. Favors (drawn by C. Anthony)
4:30.0,,,21-9,,C. Anthony misses free throw 1 of 2
4:30.0,,,21-9,,Offensive rebound by Team
4:30.0,T. Booker enters the game for D. Favors,,21-9,,
4:30.0,R. Gobert enters the game for E. Kanter,,21-9,,
4:30.0,,,21-10,1,C. Anthony makes free throw 2 of 2
4:09.0,Turnover by T. Burke (lost ball),,21-10,,
3:52.0,,,21-10,,C. Anthony misses 2-pt shot from 16 ft
3:51.0,Defensive rebound by T. Booker,,21-10,,
3:35.0,T. Booker makes 2-pt shot from 2 ft (assist by J. Ingles),2,23-10,,
3:24.0,,,23-13,3,J. Smith makes 3-pt shot from 24 ft (assist by P. Prigioni)
3:14.0,J. Ingles misses 3-pt shot from 23 ft,,23-13,,
3:13.0,,,23-13,,Defensive rebound by C. Aldrich
3:03.0,,,23-15,2,C. Anthony makes 2-pt shot from 1 ft
2:48.0,Shooting foul by C. Aldrich (drawn by R. Gobert),,23-15,,
2:48.0,Utah full timeout,,23-15,,
2:48.0,D. Exum enters the game for T. Burke,,23-15,,
2:48.0,R. Gobert makes free throw 1 of 2,1,24-15,,
2:48.0,R. Gobert makes free throw 2 of 2,1,25-15,,
2:27.0,,,25-17,2,C. Anthony makes 2-pt shot from 2 ft
2:22.0,Turnover by D. Exum (lost ball; steal by P. Prigioni),,25-17,,
2:17.0,,,25-19,2,J. Smith makes 2-pt shot from 1 ft (assist by P. Prigioni)
2:16.0,,,25-19,,Violation by Team (delay of game)
1:54.0,J. Ingles makes 3-pt shot from 25 ft (assist by D. Exum),3,28-19,,
1:45.0,,,28-19,,Turnover by P. Prigioni (bad pass; steal by J. Ingles)
1:39.0,A. Burks makes 2-pt shot at rim (assist by D. Exum),2,30-19,,
1:18.0,,,30-21,2,C. Anthony makes 2-pt shot from 21 ft
0:59.0,T. Booker misses 2-pt shot from 9 ft,,30-21,,
0:58.0,,,30-21,,Defensive rebound by C. Anthony
0:40.0,,,30-21,,C. Anthony misses 2-pt shot from 17 ft
0:39.0,,,30-21,,Offensive rebound by Team
0:39.0,Loose ball foul by R. Gobert (drawn by C. Aldrich),,30-21,,
0:39.0,,,30-21,,C. Early enters the game for C. Anthony
0:32.0,,,30-23,2,J. Smith makes 2-pt shot from 15 ft
0:13.0,Shooting foul by C. Early (drawn by R. Gobert),,30-23,,
0:13.0,R. Gobert makes free throw 1 of 2,1,31-23,,
0:13.0,R. Gobert misses free throw 2 of 2,,31-23,,
0:13.0,,,31-23,,Defensive rebound by C. Aldrich
0:02.0,,,31-23,,P. Prigioni misses 3-pt shot from 24 ft (block by D. Exum)
0:00.0,,,31-23,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,Offensive foul by T. Booker,,31-23,,
11:39.0,Turnover by T. Booker (offensive foul),,31-23,,
11:20.0,,,31-23,,C. Aldrich misses 2-pt shot from 4 ft
11:18.0,Defensive rebound by J. Ingles,,31-23,,
11:06.0,J. Ingles misses 3-pt shot from 23 ft,,31-23,,
11:05.0,,,31-23,,Defensive rebound by J. Smith
10:49.0,,,31-26,3,P. Prigioni makes 3-pt shot from 25 ft (assist by J. Smith)
10:27.0,Turnover by G. Hayward (bad pass),,31-26,,
10:07.0,,,31-26,,J. Smith misses 2-pt shot from 2 ft (block by R. Gobert)
10:06.0,Defensive rebound by J. Ingles,,31-26,,
10:04.0,Turnover by J. Ingles (bad pass),,31-26,,
9:53.0,,,31-26,,Turnover by J. Smith (bad pass; steal by G. Hayward)
9:48.0,Turnover by G. Hayward (bad pass; steal by J. Smith),,31-26,,
9:25.0,,,31-28,2,J. Smith makes 2-pt shot from 18 ft (assist by C. Early)
9:05.0,Shooting foul by J. Smith (drawn by R. Gobert),,31-28,,
9:05.0,R. Gobert misses free throw 1 of 2,,31-28,,
9:05.0,Offensive rebound by Team,,31-28,,
9:05.0,R. Gobert makes free throw 2 of 2,1,32-28,,
8:47.0,,,32-28,,J. Smith misses 2-pt shot from 21 ft
8:46.0,Defensive rebound by R. Gobert,,32-28,,
8:39.0,Turnover by D. Exum (bad pass; steal by J. Smith),,32-28,,
8:33.0,,,32-30,2,C. Early makes 2-pt shot from 1 ft (assist by J. Smith)
8:31.0,Utah full timeout,,32-30,,
8:31.0,,,32-30,,T. Wear enters the game for Q. Acy
8:26.0,T. Burke enters the game for T. Booker,,32-30,,
8:26.0,S. Novak enters the game for D. Exum,,32-30,,
8:11.0,G. Hayward makes 2-pt shot at rim,2,34-30,,
7:56.0,,,34-30,,C. Aldrich misses 2-pt shot from 3 ft
7:54.0,Defensive rebound by G. Hayward,,34-30,,
7:50.0,,,34-30,,Personal foul by C. Early (drawn by R. Gobert)
7:50.0,,,34-30,,S. Dalembert enters the game for C. Aldrich
7:50.0,,,34-30,,C. Anthony enters the game for C. Early
7:50.0,,,34-30,,S. Larkin enters the game for P. Prigioni
7:41.0,S. Novak misses 3-pt shot from 25 ft,,34-30,,
7:40.0,,,34-30,,Defensive rebound by T. Wear
7:21.0,,,34-32,2,C. Anthony makes 2-pt shot from 13 ft
6:58.0,A. Burks enters the game for J. Ingles,,34-32,,
6:58.0,D. Favors enters the game for R. Gobert,,34-32,,
6:54.0,A. Burks misses 2-pt shot from 19 ft,,34-32,,
6:53.0,,,34-32,,Defensive rebound by C. Anthony
6:40.0,,,34-34,2,T. Wear makes 2-pt shot from 20 ft (assist by S. Larkin)
6:20.0,S. Novak makes 3-pt shot from 24 ft (assist by T. Burke),3,37-34,,
6:03.0,Violation by D. Favors (kicked ball),,37-34,,
6:01.0,,,37-34,,Turnover by T. Wear (bad pass; steal by G. Hayward)
5:57.0,G. Hayward makes 2-pt shot at rim,2,39-34,,
5:45.0,,,39-36,2,T. Wear makes 2-pt shot from 12 ft
5:37.0,,,39-36,,Personal foul by J. Smith (drawn by D. Favors)
5:37.0,Official timeout,,39-36,,
5:35.0,Turnover by A. Burks (bad pass; steal by S. Larkin),,39-36,,
5:32.0,,,39-36,,S. Larkin misses 2-pt shot from 1 ft
5:31.0,Defensive rebound by Team,,39-36,,
5:31.0,,,39-36,,Loose ball foul by J. Smith (drawn by T. Burke)
5:31.0,,,39-36,,T. Hardaway enters the game for J. Smith
5:15.0,D. Favors makes 2-pt shot at rim (assist by G. Hayward),2,41-36,,
5:04.0,,,41-38,2,S. Dalembert makes 2-pt shot from 11 ft
4:46.0,G. Hayward misses 3-pt shot from 25 ft,,41-38,,
4:45.0,,,41-38,,Defensive rebound by S. Dalembert
4:32.0,Personal foul by G. Hayward (drawn by C. Anthony),,41-38,,
4:32.0,T. Booker enters the game for S. Novak,,41-38,,
4:32.0,,,41-38,,J. Smith enters the game for T. Wear
4:22.0,Personal foul by A. Burks (drawn by C. Anthony),,41-38,,
4:09.0,,,41-38,,T. Hardaway misses 3-pt shot from 25 ft
4:06.0,Defensive rebound by Team,,41-38,,
3:50.0,G. Hayward makes 3-pt shot from 25 ft (assist by D. Favors),3,44-38,,
3:36.0,,,44-40,2,S. Dalembert makes 2-pt shot from 9 ft
3:19.0,A. Burks misses 2-pt shot from 17 ft,,44-40,,
3:18.0,Offensive rebound by A. Burks,,44-40,,
3:13.0,D. Favors makes 2-pt shot from 1 ft (assist by A. Burks),2,46-40,,
3:07.0,Personal foul by T. Booker (drawn by C. Anthony),,46-40,,
3:07.0,,,46-40,,Q. Acy enters the game for J. Smith
2:55.0,,,46-40,,C. Anthony misses 2-pt shot from 21 ft
2:53.0,Defensive rebound by D. Favors,,46-40,,
2:43.0,Turnover by T. Booker (lost ball; steal by C. Anthony),,46-40,,
2:39.0,,,46-40,,T. Hardaway misses 2-pt shot from 1 ft (block by T. Booker)
2:38.0,,,46-40,,Offensive rebound by Team
2:38.0,,,46-40,,New York full timeout
2:38.0,,,46-40,,P. Prigioni enters the game for T. Hardaway
2:38.0,R. Gobert enters the game for D. Favors,,46-40,,
2:38.0,E. Kanter enters the game for T. Booker,,46-40,,
2:23.0,,,46-40,,Shooting foul by T. Burke (drawn by C. Anthony)
2:23.0,,,46-40,,C. Anthony misses free throw 1 of 2
2:23.0,,,46-40,,Offensive rebound by Team
2:23.0,,,46-41,1,C. Anthony makes free throw 2 of 2
2:03.0,E. Kanter makes 2-pt shot from 19 ft (assist by G. Hayward),2,48-41,,
1:43.0,,,48-41,,Shooting foul by E. Kanter (drawn by C. Anthony)
1:43.0,,,48-42,1,C. Anthony makes free throw 1 of 2
1:43.0,,,48-43,1,C. Anthony makes free throw 2 of 2
1:31.0,Turnover by G. Hayward (bad pass),,48-43,,
1:11.0,,,48-43,,S. Dalembert misses 2-pt shot from 5 ft
1:10.0,Defensive rebound by Team,,48-43,,
0:53.0,T. Burke misses 2-pt shot from 2 ft,,48-43,,
0:52.0,Offensive rebound by R. Gobert,,48-43,,
0:52.0,R. Gobert misses 2-pt shot at rim,,48-43,,
0:50.0,,,48-43,,Defensive rebound by S. Dalembert
0:35.0,,,48-43,,C. Anthony misses 2-pt shot from 1 ft (block by R. Gobert)
0:34.0,,,48-43,,Offensive rebound by C. Anthony
0:30.0,,,48-45,2,C. Anthony makes 2-pt shot from 1 ft
0:10.0,Turnover by E. Kanter (bad pass; steal by S. Larkin),,48-45,,
0:03.0,,,48-45,,Shooting foul by R. Gobert (drawn by Q. Acy)
0:03.0,,,48-46,1,Q. Acy makes free throw 1 of 2
0:03.0,,,48-46,,C. Early enters the game for C. Anthony
0:03.0,,,48-47,1,Q. Acy makes free throw 2 of 2
0:00.0,T. Burke misses 3-pt shot from 51 ft,,48-47,,
0:00.0,Offensive rebound by Team,,48-47,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,,,48-47,,Personal foul by S. Larkin (drawn by D. Favors)
11:40.0,A. Burks misses 2-pt shot from 2 ft,,48-47,,
11:39.0,Offensive rebound by D. Favors,,48-47,,
11:37.0,D. Favors makes 2-pt shot from 2 ft,2,50-47,,
11:17.0,,,50-49,2,C. Anthony makes 2-pt shot from 12 ft
11:03.0,D. Favors makes 2-pt shot from 5 ft (assist by T. Burke),2,52-49,,
10:39.0,,,52-49,,S. Larkin misses 2-pt shot from 2 ft
10:38.0,,,52-49,,Offensive rebound by Q. Acy
10:37.0,,,52-51,2,Q. Acy makes 2-pt shot at rim
10:24.0,G. Hayward makes 2-pt shot from 13 ft (assist by T. Burke),2,54-51,,
10:06.0,,,54-51,,S. Dalembert misses 2-pt shot from 1 ft (block by D. Favors)
10:05.0,Defensive rebound by T. Burke,,54-51,,
9:56.0,E. Kanter makes 2-pt shot from 12 ft (assist by T. Burke),2,56-51,,
9:47.0,,,56-51,,New York full timeout
9:47.0,T. Booker enters the game for E. Kanter,,56-51,,
9:47.0,D. Exum enters the game for T. Burke,,56-51,,
9:37.0,,,56-53,2,C. Anthony makes 2-pt shot at rim (assist by S. Dalembert)
9:37.0,,,56-53,,Shooting foul by A. Burks (drawn by C. Anthony)
9:37.0,,,56-54,1,C. Anthony makes free throw 1 of 1
9:20.0,G. Hayward misses 3-pt shot from 25 ft,,56-54,,
9:19.0,Offensive rebound by T. Booker,,56-54,,
9:09.0,G. Hayward misses 2-pt shot from 20 ft,,56-54,,
9:08.0,,,56-54,,Defensive rebound by Q. Acy
8:54.0,,,56-54,,C. Anthony misses 2-pt shot from 11 ft
8:53.0,Defensive rebound by D. Favors,,56-54,,
8:43.0,,,56-54,,Personal foul by Q. Acy (drawn by G. Hayward)
8:36.0,D. Favors misses 2-pt shot from 13 ft,,56-54,,
8:35.0,,,56-54,,Defensive rebound by C. Anthony
8:29.0,Violation by G. Hayward (kicked ball),,56-54,,
8:29.0,,,56-54,,C. Aldrich enters the game for S. Dalembert
8:13.0,,,56-54,,S. Larkin misses 2-pt shot from 4 ft
8:12.0,,,56-54,,Offensive rebound by S. Larkin
8:08.0,,,56-54,,C. Aldrich misses 2-pt shot from 4 ft
8:07.0,Defensive rebound by T. Booker,,56-54,,
8:02.0,,,56-54,,Loose ball foul by Q. Acy (drawn by T. Booker)
7:48.0,D. Favors misses 2-pt shot from 2 ft,,56-54,,
7:47.0,Offensive rebound by D. Favors,,56-54,,
7:47.0,D. Favors misses 2-pt shot from 2 ft,,56-54,,
7:46.0,Offensive rebound by D. Favors,,56-54,,
7:35.0,T. Booker makes 2-pt shot from 1 ft (assist by G. Hayward),2,58-54,,
7:25.0,T. Burke enters the game for D. Exum,,58-54,,
7:23.0,,,58-54,,T. Hardaway misses 2-pt shot from 20 ft
7:22.0,Defensive rebound by T. Booker,,58-54,,
7:04.0,T. Burke makes 3-pt shot from 23 ft (assist by A. Burks),3,61-54,,
6:48.0,,,61-54,,Turnover by C. Anthony (bad pass; steal by G. Hayward)
6:40.0,D. Favors makes 2-pt shot at rim (assist by T. Burke),2,63-54,,
6:24.0,,,63-56,2,Q. Acy makes 2-pt shot from 21 ft (assist by C. Anthony)
6:03.0,D. Favors misses 2-pt shot from 2 ft (block by C. Aldrich),,63-56,,
6:02.0,Offensive rebound by D. Favors,,63-56,,
5:53.0,A. Burks makes 2-pt shot from 5 ft,2,65-56,,
5:41.0,,,65-58,2,S. Larkin makes 2-pt shot from 2 ft (assist by C. Aldrich)
5:26.0,T. Burke misses 2-pt shot from 11 ft,,65-58,,
5:25.0,,,65-58,,Defensive rebound by T. Hardaway
5:19.0,,,65-58,,Offensive foul by C. Anthony
5:19.0,,,65-58,,Turnover by C. Anthony (offensive foul)
5:19.0,,,65-58,,New York full timeout
5:19.0,,,65-58,,J. Smith enters the game for S. Larkin
5:19.0,,,65-58,,T. Wear enters the game for T. Hardaway
5:19.0,,,65-58,,P. Prigioni enters the game for Q. Acy
5:19.0,,,65-58,,J. Smith enters the game for C. Aldrich
4:56.0,G. Hayward makes 2-pt shot from 2 ft (assist by A. Burks),2,67-58,,
4:30.0,,,67-60,2,J. Smith makes 2-pt shot from 18 ft (assist by P. Prigioni)
4:13.0,,,67-60,,Personal foul by J. Smith (drawn by G. Hayward)
4:13.0,S. Novak enters the game for T. Booker,,67-60,,
4:13.0,D. Exum enters the game for A. Burks,,67-60,,
4:13.0,,,67-60,,S. Larkin enters the game for J. Smith
4:00.0,D. Favors misses 2-pt shot from 7 ft,,67-60,,
3:58.0,,,67-60,,Defensive rebound by P. Prigioni
3:44.0,,,67-60,,J. Smith misses 2-pt shot from 20 ft
3:43.0,,,67-60,,Offensive rebound by T. Wear
3:37.0,,,67-63,3,S. Larkin makes 3-pt shot from 25 ft (assist by T. Wear)
3:11.0,G. Hayward misses 3-pt shot from 23 ft,,67-63,,
3:10.0,,,67-63,,Defensive rebound by J. Smith
2:55.0,,,67-65,2,C. Anthony makes 2-pt shot from 1 ft
2:55.0,,,67-65,,Shooting foul by G. Hayward (drawn by C. Anthony)
2:55.0,Utah full timeout,,67-65,,
2:55.0,R. Gobert enters the game for D. Favors,,67-65,,
2:55.0,,,67-65,,C. Anthony misses free throw 1 of 1
2:54.0,Defensive rebound by Team,,67-65,,
2:39.0,S. Novak misses 3-pt shot from 24 ft,,67-65,,
2:38.0,,,67-65,,Defensive rebound by C. Anthony
2:30.0,,,67-67,2,C. Anthony makes 2-pt shot from 18 ft
2:23.0,,,67-67,,Personal foul by C. Anthony (drawn by G. Hayward)
2:23.0,G. Hayward makes free throw 1 of 2,1,68-67,,
2:23.0,G. Hayward makes free throw 2 of 2,1,69-67,,
2:04.0,Def 3 sec tech foul by S. Novak,,69-67,,
2:04.0,,,69-68,1,P. Prigioni makes technical free throw
1:55.0,,,69-68,,S. Larkin misses 2-pt shot from 19 ft
1:54.0,Defensive rebound by R. Gobert,,69-68,,
1:36.0,D. Exum makes 3-pt shot from 25 ft (assist by R. Gobert),3,72-68,,
1:22.0,,,72-68,,Shooting foul by R. Gobert (drawn by C. Anthony)
1:22.0,,,72-69,1,C. Anthony makes free throw 1 of 2
1:22.0,T. Booker enters the game for G. Hayward,,72-69,,
1:22.0,J. Ingles enters the game for S. Novak,,72-69,,
1:22.0,,,72-70,1,C. Anthony makes free throw 2 of 2
1:00.0,J. Ingles makes 3-pt shot from 23 ft (assist by T. Booker),3,75-70,,
0:48.0,,,75-72,2,C. Anthony makes 2-pt shot from 16 ft
0:31.0,T. Burke misses 3-pt shot from 25 ft,,75-72,,
0:30.0,Offensive rebound by T. Booker,,75-72,,
0:09.0,D. Exum misses 3-pt shot from 25 ft,,75-72,,
0:08.0,,,75-72,,Defensive rebound by T. Wear
0:01.0,,,75-72,,C. Anthony misses 2-pt shot from 22 ft
0:00.0,,,75-72,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,75-72,,C. Early misses 2-pt shot from 19 ft
11:44.0,Defensive rebound by R. Gobert,,75-72,,
11:29.0,D. Exum misses 3-pt shot from 23 ft,,75-72,,
11:28.0,,,75-72,,Defensive rebound by P. Prigioni
11:11.0,,,75-72,,T. Wear misses 2-pt shot from 12 ft
11:10.0,Defensive rebound by T. Booker,,75-72,,
10:52.0,R. Gobert misses 2-pt shot from 2 ft,,75-72,,
10:51.0,,,75-72,,Defensive rebound by J. Smith
10:32.0,,,75-72,,P. Prigioni misses 3-pt shot from 24 ft
10:31.0,Defensive rebound by Team,,75-72,,
10:31.0,,,75-72,,Loose ball foul by T. Wear (drawn by J. Ingles)
10:21.0,Turnover by T. Booker (lost ball; steal by P. Prigioni),,75-72,,
10:20.0,Personal foul by T. Booker (drawn by P. Prigioni),,75-72,,
10:20.0,,,75-72,,J. Smith enters the game for C. Early
10:20.0,D. Favors enters the game for R. Gobert,,75-72,,
10:12.0,Personal foul by T. Booker (drawn by T. Wear),,75-72,,
10:12.0,S. Novak enters the game for T. Booker,,75-72,,
10:04.0,,,75-72,,J. Smith misses 2-pt shot from 20 ft
10:03.0,,,75-72,,Offensive rebound by T. Wear
10:00.0,,,75-74,2,T. Wear makes 2-pt shot at rim
9:43.0,Turnover by J. Ingles (bad pass; steal by J. Smith),,75-74,,
9:24.0,,,75-76,2,P. Prigioni makes 2-pt shot at rim
9:09.0,,,75-76,,Shooting block foul by T. Wear (drawn by D. Favors)
9:09.0,D. Favors misses free throw 1 of 2,,75-76,,
9:09.0,Offensive rebound by Team,,75-76,,
9:09.0,D. Favors makes free throw 2 of 2,1,76-76,,
8:48.0,,,76-76,,J. Smith misses 2-pt shot from 19 ft
8:47.0,Defensive rebound by S. Novak,,76-76,,
8:32.0,Turnover by D. Exum (bad pass; steal by P. Prigioni),,76-76,,
8:14.0,,,76-76,,Turnover by P. Prigioni (lost ball; steal by J. Ingles)
8:11.0,Turnover by J. Ingles (lost ball; steal by P. Prigioni),,76-76,,
8:08.0,,,76-78,2,P. Prigioni makes 2-pt shot from 1 ft
8:06.0,Utah full timeout,,76-78,,
8:06.0,,,76-78,,C. Anthony enters the game for T. Wear
8:06.0,T. Burke enters the game for J. Ingles,,76-78,,
8:06.0,G. Hayward enters the game for D. Exum,,76-78,,
8:06.0,T. Booker enters the game for S. Novak,,76-78,,
8:01.0,G. Hayward misses 2-pt shot from 13 ft,,76-78,,
8:00.0,,,76-78,,Defensive rebound by S. Larkin
7:40.0,,,76-81,3,P. Prigioni makes 3-pt shot from 24 ft (assist by S. Larkin)
7:16.0,D. Favors misses 2-pt shot from 16 ft,,76-81,,
7:15.0,,,76-81,,Defensive rebound by J. Smith
7:14.0,Personal foul by T. Booker (drawn by J. Smith),,76-81,,
7:14.0,J. Ingles enters the game for T. Booker,,76-81,,
6:58.0,,,76-81,,J. Smith misses 2-pt shot from 7 ft (block by D. Favors)
6:57.0,Defensive rebound by A. Burks,,76-81,,
6:42.0,,,76-81,,Personal foul by P. Prigioni (drawn by G. Hayward)
6:38.0,G. Hayward makes 2-pt shot from 1 ft,2,78-81,,
6:38.0,Shooting foul by J. Smith (drawn by G. Hayward),,78-81,,
6:38.0,G. Hayward makes free throw 1 of 1,1,79-81,,
6:19.0,,,79-81,,P. Prigioni misses 2-pt shot from 9 ft
6:18.0,Defensive rebound by D. Favors,,79-81,,
6:07.0,,,79-81,,Personal foul by S. Larkin (drawn by A. Burks)
6:07.0,A. Burks makes free throw 1 of 2,1,80-81,,
6:07.0,,,80-81,,Q. Acy enters the game for J. Smith
6:07.0,A. Burks makes free throw 2 of 2,1,81-81,,
5:52.0,,,81-81,,S. Larkin misses 2-pt shot from 5 ft (block by T. Burke)
5:51.0,Defensive rebound by D. Favors,,81-81,,
5:39.0,G. Hayward makes 2-pt shot from 4 ft,2,83-81,,
5:33.0,,,83-81,,New York full timeout
5:24.0,,,83-81,,Turnover by P. Prigioni (bad pass; steal by G. Hayward)
5:23.0,,,83-81,,Personal foul by P. Prigioni (drawn by G. Hayward)
5:23.0,G. Hayward makes free throw 1 of 2,1,84-81,,
5:23.0,G. Hayward makes free throw 2 of 2,1,85-81,,
5:13.0,,,85-81,,Offensive foul by P. Prigioni
5:13.0,,,85-81,,Turnover by P. Prigioni (offensive foul)
5:01.0,D. Favors makes 2-pt shot at rim (assist by G. Hayward),2,87-81,,
4:54.0,Personal foul by G. Hayward (drawn by C. Anthony),,87-81,,
4:54.0,,,87-81,,J. Smith enters the game for Q. Acy
4:43.0,,,87-81,,J. Smith misses 2-pt shot from 18 ft
4:42.0,,,87-81,,Offensive rebound by C. Anthony
4:42.0,,,87-83,2,C. Anthony makes 2-pt shot from 1 ft
4:20.0,D. Favors makes 2-pt shot from 1 ft (assist by T. Burke),2,89-83,,
3:56.0,,,89-85,2,C. Anthony makes 2-pt shot from 1 ft
3:48.0,,,89-85,,Personal foul by C. Anthony (drawn by G. Hayward)
3:48.0,G. Hayward makes free throw 1 of 2,1,90-85,,
3:48.0,,,90-85,,T. Wear enters the game for J. Smith
3:48.0,G. Hayward makes free throw 2 of 2,1,91-85,,
3:28.0,,,91-85,,Shooting foul by A. Burks (drawn by C. Anthony)
3:28.0,,,91-86,1,C. Anthony makes free throw 1 of 2
3:28.0,T. Booker enters the game for J. Ingles,,91-86,,
3:28.0,,,91-87,1,C. Anthony makes free throw 2 of 2
3:02.0,T. Burke makes 3-pt shot from 23 ft (assist by G. Hayward),3,94-87,,
2:45.0,,,94-89,2,P. Prigioni makes 2-pt shot from 21 ft (assist by S. Larkin)
2:22.0,A. Burks misses 2-pt shot from 2 ft,,94-89,,
2:21.0,Offensive rebound by D. Favors,,94-89,,
2:19.0,Turnover by Team (shot clock),,94-89,,
2:19.0,Official timeout,,94-89,,
2:08.0,,,94-89,,T. Wear misses 2-pt shot from 18 ft
2:07.0,Defensive rebound by T. Booker,,94-89,,
1:50.0,G. Hayward misses 2-pt shot from 5 ft,,94-89,,
1:48.0,,,94-89,,Defensive rebound by Team
1:48.0,,,94-89,,J. Smith enters the game for T. Wear
1:38.0,Personal foul by T. Booker (drawn by C. Anthony),,94-89,,
1:38.0,J. Ingles enters the game for T. Booker,,94-89,,
1:38.0,,,94-90,1,C. Anthony makes free throw 1 of 2
1:38.0,,,94-91,1,C. Anthony makes free throw 2 of 2
1:15.0,A. Burks misses 2-pt shot from 2 ft,,94-91,,
1:14.0,,,94-91,,Defensive rebound by J. Smith
