time,New York,pts.away,score,pts.home,Golden State
3:56.0,C. Aldrich makes free throw 2 of 2,1,20-18,,
3:47.0,,,20-20,2,K. Thompson makes 2-pt shot at rim (assist by S. Curry)
3:32.0,T. Hardaway makes 2-pt shot from 1 ft (assist by A. Bargnani),2,22-20,,
3:21.0,,,22-20,,S. Curry misses 3-pt shot from 25 ft
3:20.0,Defensive rebound by C. Aldrich,,22-20,,
3:08.0,A. Bargnani makes 2-pt shot from 15 ft (assist by C. Aldrich),2,24-20,,
2:55.0,,,24-22,2,A. Bogut makes 2-pt shot at rim (assist by S. Curry)
2:33.0,Turnover by C. Aldrich (traveling),,24-22,,
2:33.0,,,24-22,,Golden State full timeout
2:33.0,,,24-22,,M. Speights enters the game for A. Bogut
2:33.0,,,24-22,,J. Holiday enters the game for K. Thompson
2:33.0,J. Smith enters the game for A. Bargnani,,24-22,,
2:16.0,,,24-22,,S. Curry misses 2-pt shot from 7 ft (block by C. Aldrich)
2:15.0,,,24-22,,Offensive rebound by M. Speights
2:15.0,,,24-22,,Shooting foul by L. Thomas (drawn by M. Speights)
2:15.0,,,24-23,1,M. Speights makes free throw 1 of 2
2:15.0,C. Early enters the game for L. Thomas,,24-23,,
2:15.0,,,24-24,1,M. Speights makes free throw 2 of 2
2:01.0,C. Early misses 3-pt shot from 23 ft,,24-24,,
2:00.0,,,24-24,,Defensive rebound by Team
1:48.0,,,24-24,,M. Speights misses 2-pt shot from 19 ft
1:47.0,Defensive rebound by J. Smith,,24-24,,
1:31.0,C. Aldrich misses 2-pt shot from 8 ft,,24-24,,
1:29.0,,,24-24,,Defensive rebound by D. Green
1:20.0,,,24-24,,D. Green misses 2-pt shot from 3 ft (block by C. Aldrich)
1:19.0,,,24-24,,Offensive rebound by M. Speights
1:19.0,,,24-26,2,M. Speights makes 2-pt shot from 1 ft
1:03.0,T. Hardaway misses 3-pt shot from 26 ft,,24-26,,
1:02.0,,,24-26,,Defensive rebound by S. Curry
0:55.0,,,24-26,,D. Green misses 3-pt shot from 26 ft
0:53.0,Defensive rebound by T. Hardaway,,24-26,,
0:47.0,,,24-26,,D. Lee enters the game for D. Green
0:47.0,Q. Acy enters the game for C. Aldrich,,24-26,,
0:35.0,L. Galloway makes 3-pt shot from 23 ft (assist by J. Smith),3,27-26,,
0:31.0,,,27-26,,S. Curry misses 3-pt shot from 26 ft
0:29.0,Defensive rebound by L. Galloway,,27-26,,
0:05.0,J. Smith misses 3-pt shot from 25 ft,,27-26,,
0:05.0,Offensive rebound by Team,,27-26,,
0:05.0,Turnover by Team (shot clock),,27-26,,
0:02.0,,,27-26,,J. Holiday misses 3-pt shot from 26 ft (block by Q. Acy)
0:01.0,Defensive rebound by T. Hardaway,,27-26,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,,,27-26,,Personal foul by J. Holiday (drawn by C. Early)
11:43.0,T. Hardaway makes 3-pt shot from 26 ft (assist by Q. Acy),3,30-26,,
11:22.0,,,30-28,2,J. Holiday makes 2-pt shot from 18 ft (assist by S. Livingston)
11:03.0,T. Hardaway makes 3-pt shot from 26 ft (assist by J. Smith),3,33-28,,
10:44.0,,,33-31,3,A. Iguodala makes 3-pt shot from 24 ft (assist by D. Lee)
10:28.0,T. Hardaway misses 2-pt shot from 19 ft,,33-31,,
10:27.0,,,33-31,,Defensive rebound by J. Holiday
10:14.0,,,33-34,3,J. Holiday makes 3-pt shot from 25 ft (assist by A. Iguodala)
9:57.0,Q. Acy misses 2-pt shot from 19 ft,,33-34,,
9:56.0,,,33-34,,Defensive rebound by J. Holiday
9:46.0,,,33-36,2,S. Livingston makes 2-pt shot from 11 ft
9:30.0,S. Larkin misses 2-pt shot from 21 ft,,33-36,,
9:29.0,,,33-36,,Defensive rebound by S. Livingston
9:16.0,,,33-38,2,D. Lee makes 2-pt shot from 18 ft
8:55.0,T. Hardaway misses 2-pt shot from 6 ft,,33-38,,
8:54.0,,,33-38,,Defensive rebound by A. Iguodala
8:46.0,,,33-38,,Shooting foul by J. Smith (drawn by J. Holiday)
8:46.0,Official timeout,,33-38,,
8:46.0,A. Bargnani enters the game for Q. Acy,,33-38,,
8:46.0,A. Shved enters the game for S. Larkin,,33-38,,
8:46.0,,,33-39,1,J. Holiday makes free throw 1 of 2
8:46.0,,,33-40,1,J. Holiday makes free throw 2 of 2
8:31.0,A. Bargnani makes 2-pt shot from 10 ft,2,35-40,,
8:16.0,,,35-40,,S. Livingston misses 2-pt shot from 9 ft
8:15.0,Defensive rebound by J. Smith,,35-40,,
8:04.0,A. Bargnani misses 2-pt shot from 13 ft,,35-40,,
8:03.0,Offensive rebound by C. Early,,35-40,,
8:03.0,C. Early makes 2-pt shot at rim,2,37-40,,
7:49.0,,,37-40,,M. Speights misses 2-pt shot from 17 ft
7:48.0,Defensive rebound by J. Smith,,37-40,,
7:39.0,J. Smith misses 2-pt shot from 7 ft (block by M. Speights),,37-40,,
7:37.0,,,37-40,,Defensive rebound by S. Livingston
7:34.0,,,37-42,2,A. Iguodala makes 2-pt shot at rim (assist by S. Livingston)
7:05.0,Turnover by A. Shved (lost ball; steal by A. Iguodala),,37-42,,
6:59.0,,,37-45,3,J. Holiday makes 3-pt shot from 24 ft (assist by S. Livingston)
6:35.0,Shooting foul by A. Iguodala (drawn by A. Shved),,37-45,,
6:35.0,A. Shved misses free throw 1 of 2,,37-45,,
6:35.0,Offensive rebound by Team,,37-45,,
6:35.0,L. Galloway enters the game for T. Hardaway,,37-45,,
6:35.0,A. Shved makes free throw 2 of 2,1,38-45,,
6:20.0,,,38-47,2,D. Lee makes 2-pt shot from 8 ft
5:50.0,L. Galloway makes 2-pt shot from 1 ft,2,40-47,,
5:40.0,,,40-49,2,D. Lee makes 2-pt shot from 1 ft (assist by M. Speights)
5:32.0,New York full timeout,,40-49,,
5:32.0,L. Amundson enters the game for J. Smith,,40-49,,
5:32.0,L. Thomas enters the game for C. Early,,40-49,,
5:24.0,A. Bargnani makes 3-pt shot from 25 ft (assist by L. Galloway),3,43-49,,
5:01.0,,,43-49,,Turnover by S. Livingston (bad pass; steal by L. Galloway)
5:01.0,,,43-49,,Personal foul by S. Livingston (drawn by L. Galloway)
5:01.0,,,43-49,,K. Thompson enters the game for J. Holiday
4:47.0,A. Bargnani misses 2-pt shot from 21 ft,,43-49,,
4:46.0,,,43-49,,Defensive rebound by D. Lee
4:35.0,,,43-52,3,K. Thompson makes 3-pt shot from 25 ft (assist by D. Lee)
4:11.0,A. Shved misses 3-pt shot from 27 ft (block by S. Livingston),,43-52,,
4:09.0,,,43-52,,Defensive rebound by D. Lee
4:08.0,,,43-52,,Turnover by D. Lee (bad pass; steal by A. Shved)
4:02.0,A. Bargnani makes 2-pt shot from 19 ft (assist by A. Shved),2,45-52,,
3:49.0,,,45-52,,M. Speights misses 2-pt shot from 9 ft
3:49.0,Defensive rebound by Team,,45-52,,
3:49.0,,,45-52,,Loose ball foul by D. Lee (drawn by L. Amundson)
3:49.0,,,45-52,,D. Green enters the game for M. Speights
3:49.0,,,45-52,,S. Curry enters the game for A. Iguodala
3:40.0,Turnover by A. Bargnani (lost ball; steal by D. Green),,45-52,,
3:36.0,,,45-52,,Golden State full timeout
3:28.0,,,45-54,2,D. Lee makes 2-pt shot from 1 ft (assist by K. Thompson)
3:10.0,L. Amundson makes 2-pt shot from 11 ft (assist by A. Shved),2,47-54,,
3:00.0,,,47-54,,K. Thompson misses 2-pt shot from 8 ft (block by A. Shved)
2:59.0,,,47-54,,Offensive rebound by D. Lee
2:51.0,,,47-57,3,K. Thompson makes 3-pt shot from 24 ft (assist by S. Curry)
2:35.0,Turnover by A. Bargnani (lost ball; steal by D. Green),,47-57,,
2:31.0,,,47-59,2,S. Livingston makes 2-pt shot at rim (assist by D. Green)
2:16.0,L. Amundson misses 2-pt shot at rim,,47-59,,
2:16.0,Offensive rebound by L. Amundson,,47-59,,
2:15.0,L. Amundson misses 2-pt shot at rim (block by D. Lee),,47-59,,
2:15.0,Offensive rebound by L. Amundson,,47-59,,
2:15.0,Shooting foul by D. Lee (drawn by L. Amundson),,47-59,,
2:15.0,Technical foul by Team,,47-59,,
2:15.0,,,47-60,1,S. Curry makes technical free throw
2:15.0,,,47-60,,A. Bogut enters the game for D. Lee
2:15.0,L. Amundson misses free throw 1 of 2,,47-60,,
2:15.0,Offensive rebound by Team,,47-60,,
2:15.0,L. Amundson makes free throw 2 of 2,1,48-60,,
2:04.0,,,48-62,2,S. Livingston makes 2-pt shot from 12 ft (assist by D. Green)
1:50.0,L. Thomas misses 2-pt shot from 6 ft,,48-62,,
1:49.0,,,48-62,,Defensive rebound by D. Green
1:44.0,,,48-65,3,S. Curry makes 3-pt shot from 26 ft (assist by S. Livingston)
1:23.0,A. Shved misses 2-pt shot from 1 ft,,48-65,,
1:22.0,,,48-65,,Defensive rebound by S. Curry
1:13.0,,,48-68,3,S. Curry makes 3-pt shot from 23 ft (assist by S. Livingston)
1:12.0,New York full timeout,,48-68,,
0:57.0,L. Galloway misses 3-pt shot from 28 ft,,48-68,,
0:56.0,Offensive rebound by L. Amundson,,48-68,,
0:54.0,L. Amundson makes 2-pt shot from 1 ft,2,50-68,,
0:41.0,,,50-68,,K. Thompson misses 3-pt shot from 25 ft
0:41.0,Defensive rebound by Team,,50-68,,
0:24.0,A. Shved misses 3-pt shot from 28 ft,,50-68,,
0:23.0,,,50-68,,Defensive rebound by S. Curry
0:21.0,,,50-70,2,D. Green makes 2-pt shot at rim (assist by S. Curry)
0:03.0,A. Shved makes 2-pt shot from 2 ft,2,52-70,,
0:02.0,,,52-73,3,S. Curry makes 3-pt shot from 27 ft (assist by A. Bogut)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,L. Amundson misses 2-pt shot from 2 ft,,52-73,,
11:41.0,,,52-73,,Defensive rebound by A. Bogut
11:25.0,,,52-73,,S. Curry misses 2-pt shot from 11 ft
11:24.0,Defensive rebound by L. Amundson,,52-73,,
11:15.0,A. Shved makes 3-pt shot from 25 ft (assist by A. Bargnani),3,55-73,,
11:00.0,,,55-75,2,K. Thompson makes 2-pt shot from 1 ft
10:40.0,L. Amundson misses 2-pt shot from 1 ft,,55-75,,
10:39.0,,,55-75,,Defensive rebound by D. Green
10:38.0,Personal foul by A. Shved (drawn by D. Green),,55-75,,
10:27.0,,,55-75,,H. Barnes misses 2-pt shot from 9 ft
10:25.0,Defensive rebound by A. Shved,,55-75,,
10:15.0,Turnover by L. Amundson (lost ball; steal by S. Curry),,55-75,,
10:04.0,,,55-78,3,D. Green makes 3-pt shot from 26 ft (assist by S. Curry)
10:02.0,New York full timeout,,55-78,,
10:02.0,C. Early enters the game for L. Amundson,,55-78,,
9:52.0,Shooting foul by K. Thompson (drawn by A. Shved),,55-78,,
9:52.0,A. Shved misses free throw 1 of 2,,55-78,,
9:52.0,Offensive rebound by Team,,55-78,,
9:52.0,A. Shved makes free throw 2 of 2,1,56-78,,
9:39.0,,,56-81,3,K. Thompson makes 3-pt shot from 26 ft (assist by S. Curry)
9:23.0,L. Galloway misses 3-pt shot from 26 ft,,56-81,,
9:22.0,Offensive rebound by L. Thomas,,56-81,,
9:15.0,C. Early makes 2-pt shot from 14 ft (assist by A. Shved),2,58-81,,
9:05.0,,,58-81,,Offensive charge foul by S. Curry
9:05.0,,,58-81,,Turnover by S. Curry (offensive foul)
8:48.0,L. Thomas makes 2-pt shot from 1 ft (assist by A. Shved),2,60-81,,
8:40.0,Personal foul by L. Galloway (drawn by H. Barnes),,60-81,,
8:38.0,,,60-81,,K. Thompson misses 2-pt shot from 3 ft
8:36.0,,,60-81,,Offensive rebound by Team
8:33.0,,,60-81,,Shooting foul by C. Early (drawn by H. Barnes)
8:33.0,,,60-81,,H. Barnes misses free throw 1 of 2
8:33.0,,,60-81,,Offensive rebound by Team
8:33.0,,,60-82,1,H. Barnes makes free throw 2 of 2
8:17.0,Turnover by A. Shved (bad pass; steal by D. Green),,60-82,,
8:12.0,,,60-82,,Turnover by H. Barnes (lost ball; steal by L. Galloway)
8:04.0,C. Early misses 3-pt shot from 23 ft,,60-82,,
8:03.0,,,60-82,,Defensive rebound by H. Barnes
7:50.0,,,60-85,3,K. Thompson makes 3-pt shot from 26 ft (assist by A. Bogut)
7:33.0,L. Thomas misses 2-pt shot from 16 ft,,60-85,,
7:32.0,,,60-85,,Defensive rebound by K. Thompson
7:27.0,Personal foul by L. Thomas (drawn by D. Green),,60-85,,
7:27.0,T. Hardaway enters the game for A. Shved,,60-85,,
7:23.0,,,60-85,,Turnover by H. Barnes (traveling)
7:08.0,A. Bargnani makes 2-pt shot from 11 ft,2,62-85,,
6:56.0,,,62-85,,S. Curry misses 3-pt shot from 25 ft
6:55.0,Defensive rebound by A. Bargnani,,62-85,,
6:42.0,L. Thomas makes 2-pt shot from 16 ft (assist by T. Hardaway),2,64-85,,
6:33.0,,,64-88,3,K. Thompson makes 3-pt shot from 23 ft (assist by S. Curry)
6:14.0,L. Thomas misses 2-pt shot from 14 ft,,64-88,,
6:13.0,,,64-88,,Defensive rebound by D. Green
6:03.0,,,64-88,,A. Bogut misses 2-pt shot from 2 ft (block by A. Bargnani)
6:01.0,,,64-88,,Offensive rebound by A. Bogut
5:58.0,,,64-90,2,D. Green makes 2-pt shot at rim (assist by A. Bogut)
5:39.0,T. Hardaway misses 3-pt shot from 25 ft,,64-90,,
5:38.0,,,64-90,,Defensive rebound by A. Bogut
5:26.0,,,64-93,3,H. Barnes makes 3-pt shot from 25 ft (assist by S. Curry)
5:25.0,New York full timeout,,64-93,,
5:25.0,T. Wear enters the game for L. Thomas,,64-93,,
5:07.0,Turnover by T. Hardaway (lost ball; steal by S. Curry),,64-93,,
5:02.0,,,64-95,2,S. Curry makes 2-pt shot from 1 ft
4:58.0,,,64-95,,Personal take foul by D. Green (drawn by T. Hardaway)
4:48.0,Shooting foul by A. Bogut (drawn by A. Bargnani),,64-95,,
4:48.0,A. Bargnani misses free throw 1 of 2,,64-95,,
4:48.0,Offensive rebound by Team,,64-95,,
4:48.0,A. Bargnani makes free throw 2 of 2,1,65-95,,
4:34.0,,,65-98,3,S. Curry makes 3-pt shot from 25 ft
4:15.0,T. Wear makes 2-pt shot from 20 ft (assist by T. Hardaway),2,67-98,,
4:00.0,,,67-100,2,S. Curry makes 2-pt shot from 1 ft
3:45.0,T. Wear misses 3-pt shot from 26 ft,,67-100,,
3:45.0,,,67-100,,Defensive rebound by A. Bogut
3:33.0,,,67-103,3,K. Thompson makes 3-pt shot from 23 ft (assist by D. Green)
3:14.0,A. Bargnani makes 2-pt shot from 17 ft (assist by T. Wear),2,69-103,,
3:06.0,,,69-105,2,D. Green makes 2-pt shot from 1 ft (assist by S. Curry)
2:44.0,C. Early misses 2-pt shot from 1 ft,,69-105,,
2:43.0,,,69-105,,Defensive rebound by H. Barnes
2:38.0,,,69-107,2,H. Barnes makes 2-pt shot at rim
2:18.0,C. Early misses 2-pt shot from 18 ft,,69-107,,
2:17.0,,,69-107,,Defensive rebound by D. Green
2:01.0,,,69-107,,Shooting foul by T. Wear (drawn by S. Curry)
2:01.0,,,69-107,,Golden State full timeout
2:01.0,S. Larkin enters the game for L. Galloway,,69-107,,
2:01.0,J. Smith enters the game for A. Bargnani,,69-107,,
2:01.0,,,69-107,,M. Speights enters the game for A. Bogut
2:01.0,,,69-108,1,S. Curry makes free throw 1 of 2
2:01.0,,,69-109,1,S. Curry makes free throw 2 of 2
1:49.0,,,69-109,,D. Lee enters the game for D. Green
1:48.0,Turnover by C. Early (bad pass; steal by M. Speights),,69-109,,
1:32.0,,,69-109,,K. Thompson misses 3-pt shot from 26 ft
1:31.0,Defensive rebound by C. Early,,69-109,,
1:14.0,S. Larkin makes 2-pt shot from 2 ft (assist by T. Wear),2,71-109,,
1:00.0,,,71-109,,K. Thompson misses 3-pt shot from 24 ft
1:00.0,Defensive rebound by T. Wear,,71-109,,
0:54.0,Offensive charge foul by T. Hardaway,,71-109,,
0:54.0,Turnover by T. Hardaway (offensive foul),,71-109,,
0:54.0,,,71-109,,J. Holiday enters the game for K. Thompson
0:54.0,,,71-109,,S. Livingston enters the game for S. Curry
0:39.0,,,71-109,,Shooting foul by S. Larkin (drawn by M. Speights)
0:39.0,,,71-110,1,M. Speights makes free throw 1 of 2
0:39.0,,,71-111,1,M. Speights makes free throw 2 of 2
0:27.0,S. Larkin makes 2-pt shot from 15 ft,2,73-111,,
0:02.0,,,73-111,,M. Speights misses 2-pt shot from 2 ft
0:02.0,,,73-111,,Offensive rebound by Team
0:02.0,,,73-111,,Turnover by Team (shot clock)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,73-111,,M. Speights misses 2-pt shot from 18 ft
11:44.0,Defensive rebound by T. Hardaway,,73-111,,
11:35.0,Q. Acy makes 2-pt shot from 2 ft (assist by T. Hardaway),2,75-111,,
11:20.0,,,75-113,2,M. Speights makes 2-pt shot from 14 ft (assist by S. Livingston)
11:20.0,,,75-113,,Shooting foul by J. Smith (drawn by M. Speights)
11:20.0,,,75-114,1,M. Speights makes free throw 1 of 1
11:03.0,Q. Acy misses 2-pt shot from 13 ft,,75-114,,
10:59.0,Offensive rebound by T. Wear,,75-114,,
10:58.0,T. Wear misses 2-pt shot at rim,,75-114,,
10:56.0,Offensive rebound by T. Wear,,75-114,,
10:56.0,T. Wear makes 2-pt shot at rim,2,77-114,,
10:50.0,Personal take foul by Q. Acy (drawn by D. Lee),,77-114,,
10:50.0,C. Aldrich enters the game for J. Smith,,77-114,,
10:42.0,,,77-114,,M. Speights misses 2-pt shot from 4 ft
10:41.0,Defensive rebound by Q. Acy,,77-114,,
10:32.0,Q. Acy misses 3-pt shot from 25 ft,,77-114,,
10:30.0,Offensive rebound by C. Aldrich,,77-114,,
10:27.0,T. Hardaway makes 3-pt shot from 26 ft (assist by C. Aldrich),3,80-114,,
10:09.0,,,80-116,2,S. Livingston makes 2-pt shot from 10 ft
9:53.0,T. Hardaway misses 3-pt shot from 27 ft,,80-116,,
9:52.0,Offensive rebound by S. Larkin,,80-116,,
9:35.0,Turnover by S. Larkin (bad pass; steal by J. Holiday),,80-116,,
9:33.0,Personal take foul by T. Hardaway (drawn by A. Iguodala),,80-116,,
9:25.0,,,80-116,,A. Iguodala misses 3-pt shot from 26 ft
9:23.0,Defensive rebound by T. Hardaway,,80-116,,
9:18.0,T. Hardaway makes 2-pt shot from 19 ft,2,82-116,,
9:04.0,,,82-116,,A. Iguodala misses 3-pt shot from 27 ft
9:03.0,Defensive rebound by Q. Acy,,82-116,,
8:50.0,Turnover by S. Larkin (lost ball; steal by S. Livingston),,82-116,,
8:37.0,Personal foul by T. Wear (drawn by A. Iguodala),,82-116,,
8:37.0,Official timeout,,82-116,,
8:37.0,C. Early enters the game for T. Hardaway,,82-116,,
8:30.0,,,82-116,,Turnover by D. Lee (lost ball; steal by C. Aldrich)
8:14.0,,,82-116,,Personal foul by D. Lee (drawn by C. Aldrich)
8:06.0,T. Wear misses 2-pt shot from 18 ft,,82-116,,
8:04.0,Offensive rebound by C. Early,,82-116,,
8:04.0,C. Early misses 2-pt shot at rim,,82-116,,
8:02.0,,,82-116,,Defensive rebound by S. Livingston
7:54.0,,,82-116,,S. Livingston misses 2-pt shot from 3 ft (block by C. Aldrich)
7:52.0,,,82-116,,Offensive rebound by S. Livingston
7:51.0,,,82-116,,Turnover by S. Livingston (lost ball)
7:37.0,S. Larkin misses 2-pt shot from 20 ft,,82-116,,
7:35.0,Offensive rebound by T. Wear,,82-116,,
7:21.0,,,82-116,,F. Ezeli enters the game for M. Speights
7:21.0,Jump ball: C. Aldrich vs. A. Iguodala (S. Livingston gains possession),,,,Jump ball: C. Aldrich vs. A. Iguodala (S. Livingston gains possession)
7:21.0,C. Aldrich misses 2-pt shot from 7 ft (block by A. Iguodala),,82-116,,
7:21.0,,,82-116,,Defensive rebound by Team
7:15.0,,,82-118,2,A. Iguodala makes 2-pt shot from 1 ft (assist by S. Livingston)
6:58.0,T. Wear misses 3-pt shot from 25 ft,,82-118,,
6:57.0,Offensive rebound by C. Aldrich,,82-118,,
6:53.0,T. Wear misses 2-pt shot from 10 ft,,82-118,,
6:51.0,,,82-118,,Defensive rebound by S. Livingston
6:45.0,,,82-120,2,D. Lee makes 2-pt shot at rim (assist by A. Iguodala)
6:43.0,New York full timeout,,82-120,,
6:43.0,,,82-120,,L. Barbosa enters the game for S. Livingston
6:32.0,C. Aldrich misses 2-pt shot from 8 ft,,82-120,,
6:31.0,Offensive rebound by C. Aldrich,,82-120,,
6:22.0,C. Early makes 2-pt shot from 1 ft (assist by C. Aldrich),2,84-120,,
6:05.0,,,84-123,3,J. Holiday makes 3-pt shot from 26 ft (assist by A. Iguodala)
5:46.0,,,84-123,,B. Rush enters the game for A. Iguodala
5:37.0,S. Larkin misses 2-pt shot from 15 ft,,84-123,,
5:36.0,,,84-123,,Defensive rebound by D. Lee
5:26.0,,,84-123,,B. Rush misses 2-pt shot from 18 ft
5:25.0,,,84-123,,Offensive rebound by B. Rush
5:12.0,,,84-123,,L. Barbosa misses 2-pt shot from 1 ft
5:11.0,Defensive rebound by C. Aldrich,,84-123,,
4:57.0,C. Early makes 2-pt shot from 5 ft (assist by C. Aldrich),2,86-123,,
4:57.0,Shooting foul by F. Ezeli (drawn by C. Early),,86-123,,
4:57.0,C. Early misses free throw 1 of 1,,86-123,,
4:56.0,,,86-123,,Defensive rebound by F. Ezeli
4:40.0,,,86-123,,F. Ezeli misses 2-pt shot from 7 ft (block by C. Aldrich)
4:38.0,Defensive rebound by T. Wear,,86-123,,
4:36.0,Shooting foul by B. Rush (drawn by T. Wear),,86-123,,
4:36.0,T. Wear misses free throw 1 of 2,,86-123,,
4:36.0,Offensive rebound by Team,,86-123,,
4:36.0,T. Wear makes free throw 2 of 2,1,87-123,,
4:25.0,,,87-123,,J. Holiday misses 2-pt shot from 20 ft
4:23.0,Defensive rebound by T. Wear,,87-123,,
4:17.0,T. Wear misses 2-pt shot from 17 ft,,87-123,,
4:16.0,Offensive rebound by C. Early,,87-123,,
4:14.0,C. Early misses 2-pt shot from 6 ft,,87-123,,
4:12.0,,,87-123,,Defensive rebound by J. Holiday
4:02.0,,,87-123,,L. Barbosa misses 2-pt shot from 13 ft
4:02.0,Defensive rebound by Q. Acy,,87-123,,
