time,Cleveland,pts.away,score,pts.home,New Orleans
6:48.0,,,41-44,,Turnover by J. Holiday (bad pass; steal by K. Love)
6:44.0,L. James makes 2-pt shot from 2 ft (assist by K. Irving),2,43-44,,
6:44.0,,,43-44,,New Orleans full timeout
6:44.0,,,43-44,,L. Babbitt enters the game for T. Evans
6:44.0,,,43-44,,O. Asik enters the game for J. Fredette
6:44.0,,,43-44,,A. Rivers enters the game for J. Withey
6:20.0,,,43-44,,Shooting foul by S. Marion (drawn by A. Rivers)
6:20.0,,,43-45,1,A. Rivers makes free throw 1 of 3
6:20.0,,,43-46,1,A. Rivers makes free throw 2 of 3
6:20.0,,,43-47,1,A. Rivers makes free throw 3 of 3
6:10.0,S. Marion makes 2-pt shot from 2 ft (assist by K. Irving),2,45-47,,
5:49.0,,,45-47,,A. Rivers misses 2-pt shot from 5 ft (block by A. Varejao)
5:49.0,,,45-47,,Offensive rebound by Team
5:43.0,,,45-47,,J. Holiday misses 2-pt shot from 2 ft
5:42.0,Defensive rebound by A. Varejao,,45-47,,
5:39.0,K. Love makes 2-pt shot from 1 ft (assist by K. Irving),2,47-47,,
5:39.0,Shooting foul by L. Babbitt (drawn by K. Love),,47-47,,
5:39.0,K. Love makes free throw 1 of 1,1,48-47,,
5:18.0,,,48-47,,L. Babbitt misses 3-pt shot from 22 ft
5:17.0,,,48-47,,Offensive rebound by O. Asik
5:17.0,Personal foul by K. Irving (drawn by O. Asik),,48-47,,
5:17.0,M. Dellavedova enters the game for K. Irving,,48-47,,
5:07.0,,,48-47,,J. Holiday misses 2-pt shot at rim
5:06.0,Defensive rebound by A. Varejao,,48-47,,
4:57.0,Turnover by L. James (lost ball),,48-47,,
4:39.0,,,48-50,3,R. Anderson makes 3-pt shot from 24 ft (assist by A. Rivers)
4:10.0,L. James misses 2-pt shot from 21 ft,,48-50,,
4:09.0,,,48-50,,Defensive rebound by J. Holiday
4:00.0,,,48-50,,Turnover by J. Holiday (bad pass; steal by A. Varejao)
3:51.0,K. Love misses 2-pt shot from 2 ft (block by R. Anderson),,48-50,,
3:48.0,Offensive rebound by K. Love,,48-50,,
3:46.0,K. Love makes 2-pt shot from 1 ft,2,50-50,,
3:30.0,,,50-52,2,O. Asik makes 2-pt shot from 1 ft (assist by J. Holiday)
3:01.0,S. Marion makes 2-pt shot from 1 ft,2,52-52,,
2:45.0,,,52-52,,R. Anderson misses 3-pt shot from 25 ft
2:44.0,Defensive rebound by M. Dellavedova,,52-52,,
2:38.0,L. James makes 2-pt shot at rim,2,54-52,,
2:34.0,,,54-52,,New Orleans full timeout
2:34.0,Cleveland full timeout,,54-52,,
2:34.0,,,54-52,,T. Evans enters the game for L. Babbitt
2:24.0,,,54-54,2,O. Asik makes 2-pt shot at rim (assist by T. Evans)
1:59.0,A. Varejao makes 2-pt shot from 1 ft (assist by S. Marion),2,56-54,,
1:50.0,,,56-56,2,R. Anderson makes 2-pt shot from 2 ft (assist by J. Holiday)
1:32.0,K. Love misses 3-pt shot from 24 ft,,56-56,,
1:31.0,,,56-56,,Defensive rebound by J. Holiday
1:22.0,,,56-59,3,R. Anderson makes 3-pt shot from 24 ft (assist by J. Holiday)
1:01.0,K. Love makes 3-pt shot from 23 ft (assist by M. Dellavedova),3,59-59,,
0:43.0,,,59-62,3,T. Evans makes 3-pt shot from 25 ft (assist by J. Holiday)
0:36.0,M. Dellavedova misses 3-pt shot from 24 ft,,59-62,,
0:34.0,Offensive rebound by M. Dellavedova,,59-62,,
0:29.0,S. Marion misses 2-pt shot from 1 ft,,59-62,,
0:28.0,,,59-62,,Defensive rebound by O. Asik
0:24.0,,,59-64,2,A. Rivers makes 2-pt shot at rim (assist by O. Asik)
0:00.0,A. Varejao misses 2-pt shot from 14 ft,,59-64,,
0:00.0,Offensive rebound by Team,,59-64,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,,,59-64,,Shooting foul by S. Marion (drawn by O. Asik)
11:40.0,,,59-64,,O. Asik misses free throw 1 of 2
11:40.0,,,59-64,,Offensive rebound by Team
11:40.0,,,59-65,1,O. Asik makes free throw 2 of 2
11:29.0,A. Varejao makes 2-pt shot from 1 ft (assist by K. Irving),2,61-65,,
11:16.0,,,61-67,2,J. Holiday makes 2-pt shot from 9 ft
10:57.0,K. Irving misses 3-pt shot from 24 ft,,61-67,,
10:56.0,,,61-67,,Defensive rebound by R. Anderson
10:48.0,,,61-67,,Turnover by T. Evans (bad pass; steal by K. Irving)
10:42.0,K. Irving misses 2-pt shot from 2 ft,,61-67,,
10:41.0,,,61-67,,Defensive rebound by L. Babbitt
10:24.0,,,61-70,3,L. Babbitt makes 3-pt shot from 25 ft (assist by T. Evans)
9:54.0,L. James misses 2-pt shot from 1 ft,,61-70,,
9:53.0,Offensive rebound by A. Varejao,,61-70,,
9:48.0,K. Love misses 3-pt shot from 23 ft,,61-70,,
9:47.0,,,61-70,,Defensive rebound by O. Asik
9:40.0,,,61-70,,T. Evans misses 2-pt shot from 3 ft
9:39.0,,,61-70,,Offensive rebound by T. Evans
9:38.0,,,61-72,2,T. Evans makes 2-pt shot from 1 ft
9:37.0,Cleveland full timeout,,61-72,,
9:29.0,L. James makes 2-pt shot from 2 ft (assist by K. Love),2,63-72,,
9:02.0,,,63-72,,J. Holiday misses 3-pt shot from 24 ft (block by S. Marion)
9:02.0,,,63-72,,Offensive rebound by Team
9:02.0,,,63-72,,Turnover by Team (shot clock)
8:40.0,S. Marion misses 2-pt shot from 19 ft,,63-72,,
8:39.0,,,63-72,,Defensive rebound by R. Anderson
8:31.0,,,63-72,,L. Babbitt misses 3-pt shot from 22 ft
8:29.0,Defensive rebound by L. James,,63-72,,
8:24.0,A. Varejao makes 2-pt shot from 1 ft (assist by L. James),2,65-72,,
8:06.0,,,65-72,,J. Holiday misses 2-pt shot from 17 ft
8:05.0,Defensive rebound by A. Varejao,,65-72,,
8:03.0,Turnover by K. Irving (bad pass; steal by L. Babbitt),,65-72,,
7:52.0,,,65-72,,T. Evans misses 3-pt shot from 25 ft
7:51.0,Defensive rebound by L. James,,65-72,,
7:40.0,A. Varejao makes 2-pt shot from 13 ft (assist by L. James),2,67-72,,
7:18.0,,,67-74,2,T. Evans makes 2-pt shot from 2 ft (assist by J. Holiday)
6:52.0,K. Irving misses 2-pt shot from 1 ft (block by O. Asik),,67-74,,
6:51.0,,,67-74,,Defensive rebound by O. Asik
6:37.0,,,67-76,2,T. Evans makes 2-pt shot from 2 ft
6:20.0,L. James misses 2-pt shot from 15 ft,,67-76,,
6:17.0,Offensive rebound by A. Varejao,,67-76,,
6:17.0,A. Varejao misses 2-pt shot from 3 ft,,67-76,,
6:16.0,,,67-76,,Defensive rebound by O. Asik
6:08.0,,,67-76,,L. Babbitt misses 3-pt shot from 24 ft
6:07.0,Defensive rebound by S. Marion,,67-76,,
6:01.0,S. Marion misses 2-pt shot from 2 ft (block by J. Holiday),,67-76,,
5:59.0,,,67-76,,Defensive rebound by L. Babbitt
5:53.0,,,67-78,2,O. Asik makes 2-pt shot at rim (assist by T. Evans)
5:35.0,K. Love misses 3-pt shot from 25 ft,,67-78,,
5:34.0,,,67-78,,Defensive rebound by O. Asik
5:16.0,M. Dellavedova enters the game for S. Marion,,67-78,,
5:16.0,T. Thompson enters the game for A. Varejao,,67-78,,
5:10.0,,,67-80,2,J. Holiday makes 2-pt shot from 5 ft
4:50.0,M. Dellavedova misses 3-pt shot from 25 ft,,67-80,,
4:50.0,,,67-80,,Defensive rebound by O. Asik
4:40.0,,,67-80,,R. Anderson misses 3-pt shot from 25 ft
4:39.0,Defensive rebound by K. Love,,67-80,,
4:22.0,Turnover by K. Love (lost ball; steal by L. Babbitt),,67-80,,
4:14.0,,,67-80,,T. Evans misses 2-pt shot from 1 ft
4:13.0,Defensive rebound by Team,,67-80,,
4:13.0,,,67-80,,J. Withey enters the game for O. Asik
3:58.0,L. James makes 2-pt shot from 21 ft,2,69-80,,
3:35.0,,,69-82,2,T. Evans makes 2-pt shot from 3 ft
3:07.0,L. James makes 2-pt shot from 16 ft,2,71-82,,
2:42.0,,,71-85,3,R. Anderson makes 3-pt shot from 24 ft (assist by T. Evans)
2:17.0,L. James makes 2-pt shot from 19 ft,2,73-85,,
1:50.0,,,73-85,,T. Evans misses 3-pt shot from 25 ft
1:49.0,Defensive rebound by T. Thompson,,73-85,,
1:43.0,K. Irving misses 2-pt shot from 1 ft,,73-85,,
1:42.0,,,73-85,,Defensive rebound by L. Babbitt
1:36.0,,,73-85,,R. Anderson misses 3-pt shot from 25 ft
1:34.0,Defensive rebound by M. Dellavedova,,73-85,,
1:14.0,L. James makes 3-pt shot from 24 ft,3,76-85,,
0:50.0,,,76-87,2,T. Evans makes 2-pt shot at rim
0:35.0,,,76-87,,Personal block foul by J. Withey (drawn by L. James)
0:35.0,J. Harris enters the game for K. Love,,76-87,,
0:35.0,,,76-87,,A. Rivers enters the game for L. Babbitt
0:35.0,,,76-87,,D. Cunningham enters the game for J. Holiday
0:35.0,,,76-87,,New Orleans full timeout
0:24.0,Shooting foul by D. Cunningham (drawn by L. James),,76-87,,
0:24.0,L. James misses free throw 1 of 2,,76-87,,
0:24.0,Offensive rebound by Team,,76-87,,
0:24.0,L. James misses free throw 2 of 2,,76-87,,
0:22.0,,,76-87,,Defensive rebound by R. Anderson
0:01.0,,,76-89,2,T. Evans makes 2-pt shot from 2 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,76-89,,Personal foul by D. Cunningham (drawn by K. Love)
11:34.0,Turnover by M. Dellavedova (bad pass; steal by A. Rivers),,76-89,,
11:32.0,,,76-89,,Shooting foul by K. Irving (drawn by A. Rivers)
11:32.0,,,76-90,1,A. Rivers makes free throw 1 of 2
11:32.0,,,76-91,1,A. Rivers makes free throw 2 of 2
11:14.0,T. Thompson makes 2-pt shot at rim (assist by K. Irving),2,78-91,,
10:54.0,,,78-94,3,R. Anderson makes 3-pt shot from 25 ft (assist by T. Evans)
10:40.0,T. Thompson misses 2-pt shot from 3 ft (block by J. Withey),,78-94,,
10:38.0,,,78-94,,Defensive rebound by J. Withey
10:28.0,,,78-94,,A. Rivers misses 3-pt shot from 24 ft
10:26.0,Defensive rebound by M. Dellavedova,,78-94,,
10:20.0,J. Harris misses 2-pt shot from 8 ft,,78-94,,
10:18.0,,,78-94,,Defensive rebound by J. Withey
10:08.0,,,78-97,3,R. Anderson makes 3-pt shot from 22 ft
9:51.0,M. Dellavedova misses 3-pt shot from 22 ft,,78-97,,
9:50.0,Offensive rebound by Team,,78-97,,
9:41.0,K. Irving misses 2-pt shot from 10 ft (block by T. Evans),,78-97,,
9:39.0,Offensive rebound by T. Thompson,,78-97,,
9:36.0,T. Thompson misses 2-pt shot at rim,,78-97,,
9:34.0,,,78-97,,Defensive rebound by A. Rivers
9:27.0,Loose ball foul by T. Thompson (drawn by J. Withey),,78-97,,
9:27.0,,,78-97,,J. Holiday enters the game for T. Evans
9:22.0,Personal foul by M. Dellavedova (drawn by J. Withey),,78-97,,
9:11.0,,,78-97,,Turnover by J. Holiday (lost ball; steal by M. Dellavedova)
8:56.0,J. Harris makes 3-pt shot from 23 ft (assist by M. Dellavedova),3,81-97,,
8:37.0,,,81-100,3,R. Anderson makes 3-pt shot from 23 ft
8:22.0,Shooting foul by J. Holiday (drawn by K. Irving),,81-100,,
8:22.0,K. Irving makes 2-pt shot from 10 ft,2,83-100,,
8:22.0,,,83-100,,O. Asik enters the game for J. Withey
8:22.0,L. James enters the game for J. Harris,,83-100,,
8:22.0,K. Irving makes free throw 1 of 1,1,84-100,,
7:59.0,Personal foul by T. Thompson (drawn by J. Holiday),,84-100,,
7:48.0,,,84-102,2,J. Holiday makes 2-pt shot from 13 ft
7:24.0,K. Irving makes 2-pt shot from 2 ft (assist by M. Dellavedova),2,86-102,,
7:01.0,,,86-102,,Turnover by J. Holiday (bad pass)
7:01.0,J. Harris enters the game for M. Dellavedova,,86-102,,
6:52.0,K. Irving misses 2-pt shot from 11 ft,,86-102,,
6:51.0,,,86-102,,Defensive rebound by O. Asik
6:39.0,,,86-102,,R. Anderson misses 3-pt shot from 25 ft
6:39.0,Defensive rebound by L. James,,86-102,,
6:24.0,L. James makes 3-pt shot from 26 ft,3,89-102,,
5:56.0,,,89-104,2,J. Holiday makes 2-pt shot from 18 ft
5:38.0,J. Harris makes 3-pt shot from 22 ft (assist by L. James),3,92-104,,
5:12.0,Personal foul by L. James (drawn by R. Anderson),,92-104,,
5:12.0,,,92-104,,New Orleans full timeout
5:12.0,,,92-104,,T. Evans enters the game for D. Cunningham
5:12.0,,,92-105,1,R. Anderson makes free throw 1 of 2
5:12.0,,,92-106,1,R. Anderson makes free throw 2 of 2
4:54.0,L. James makes 2-pt shot from 17 ft,2,94-106,,
4:39.0,,,94-106,,R. Anderson misses 3-pt shot from 27 ft
4:39.0,,,94-106,,Offensive rebound by O. Asik
4:31.0,,,94-106,,R. Anderson misses 2-pt shot from 2 ft
4:30.0,Defensive rebound by T. Thompson,,94-106,,
4:22.0,K. Irving makes 3-pt shot from 25 ft (assist by L. James),3,97-106,,
3:56.0,,,97-106,,R. Anderson misses 3-pt shot from 25 ft
3:55.0,Defensive rebound by T. Thompson,,97-106,,
3:46.0,K. Irving makes 2-pt shot from 18 ft,2,99-106,,
3:45.0,,,99-106,,New Orleans full timeout
3:45.0,,,99-106,,L. Babbitt enters the game for A. Rivers
3:31.0,,,99-108,2,T. Evans makes 2-pt shot from 6 ft
3:05.0,L. James misses 2-pt shot from 17 ft,,99-108,,
3:04.0,,,99-108,,Defensive rebound by O. Asik
2:50.0,,,99-110,2,T. Evans makes 2-pt shot from 2 ft
2:40.0,Turnover by K. Irving (lost ball; steal by T. Evans),,99-110,,
2:17.0,,,99-112,2,J. Holiday makes 2-pt shot from 9 ft
2:13.0,Cleveland full timeout,,99-112,,
2:13.0,J. Jones enters the game for L. James,,99-112,,
1:54.0,K. Irving makes 2-pt shot from 6 ft,2,101-112,,
1:54.0,Shooting foul by J. Holiday (drawn by K. Irving),,101-112,,
1:54.0,K. Irving makes free throw 1 of 1,1,102-112,,
1:32.0,,,102-112,,J. Holiday misses 2-pt shot from 1 ft
1:30.0,Defensive rebound by T. Thompson,,102-112,,
1:21.0,K. Irving makes 2-pt shot from 15 ft,2,104-112,,
1:00.0,,,104-112,,T. Evans misses 2-pt shot from 2 ft (block by T. Thompson)
1:00.0,Defensive rebound by Team,,104-112,,
1:00.0,Cleveland full timeout,,104-112,,
1:00.0,,,104-112,,D. Cunningham enters the game for L. Babbitt
1:00.0,,,104-112,,A. Rivers enters the game for R. Anderson
0:55.0,J. Jones makes 3-pt shot from 26 ft (assist by T. Thompson),3,107-112,,
0:50.0,,,107-112,,New Orleans full timeout
0:50.0,,,107-112,,L. Babbitt enters the game for A. Rivers
0:50.0,,,107-112,,R. Anderson enters the game for D. Cunningham
0:50.0,S. Marion enters the game for J. Jones,,107-112,,
0:39.0,,,107-115,3,L. Babbitt makes 3-pt shot from 25 ft (assist by J. Holiday)
0:39.0,Cleveland full timeout,,107-115,,
0:39.0,J. Jones enters the game for S. Marion,,107-115,,
0:33.0,K. Irving misses 3-pt shot from 24 ft,,107-115,,
0:32.0,Offensive rebound by T. Thompson,,107-115,,
0:24.0,J. Harris misses 3-pt shot from 23 ft,,107-115,,
0:21.0,Offensive rebound by K. Irving,,107-115,,
0:18.0,K. Love misses 3-pt shot from 26 ft,,107-115,,
0:17.0,Offensive rebound by K. Love,,107-115,,
0:15.0,K. Love makes 2-pt shot from 3 ft,2,109-115,,
0:13.0,Personal take foul by J. Jones (drawn by T. Evans),,109-115,,
0:13.0,,,109-116,1,T. Evans makes free throw 1 of 2
0:13.0,,,109-117,1,T. Evans makes free throw 2 of 2
0:13.0,Cleveland full timeout,,109-117,,
0:06.0,J. Jones makes 3-pt shot from 26 ft (assist by J. Harris),3,112-117,,
0:05.0,Personal take foul by K. Love (drawn by J. Holiday),,112-117,,
0:05.0,,,112-118,1,J. Holiday makes free throw 1 of 2
0:05.0,,,112-119,1,J. Holiday makes free throw 2 of 2
0:02.0,K. Irving makes 2-pt shot from 1 ft (assist by K. Love),2,114-119,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
