time,LA Lakers,pts.away,score,pts.home,Phoenix
8:05.0,Offensive rebound by R. Kelly,,33-35,,
8:02.0,R. Kelly misses 2-pt shot from 11 ft,,33-35,,
7:59.0,Offensive rebound by N. Young,,33-35,,
7:59.0,N. Young makes 2-pt shot at rim,2,35-35,,
7:46.0,,,35-35,,P. Tucker misses 3-pt shot from 25 ft
7:44.0,Defensive rebound by C. Boozer,,35-35,,
7:23.0,Shooting foul by G. Green (drawn by R. Kelly),,35-35,,
7:23.0,Official timeout,,35-35,,
7:23.0,,,35-35,,M. Morris enters the game for G. Green
7:23.0,J. Lin enters the game for J. Clarkson,,35-35,,
7:23.0,R. Kelly makes free throw 1 of 2,1,36-35,,
7:23.0,R. Kelly makes free throw 2 of 2,1,37-35,,
7:09.0,,,37-35,,Shooting foul by N. Young (drawn by M. Morris)
7:09.0,,,37-35,,M. Morris misses free throw 1 of 2
7:09.0,,,37-35,,Offensive rebound by Team
7:09.0,E. Davis enters the game for T. Black,,37-35,,
7:09.0,J. Hill enters the game for C. Boozer,,37-35,,
7:09.0,,,37-36,1,M. Morris makes free throw 2 of 2
6:51.0,N. Young misses 3-pt shot from 24 ft,,37-36,,
6:49.0,,,37-36,,Defensive rebound by G. Dragic
6:30.0,,,37-36,,B. Wright misses 2-pt shot from 7 ft
6:27.0,Defensive rebound by E. Davis,,37-36,,
6:25.0,J. Hill makes 2-pt shot at rim (assist by J. Lin),2,39-36,,
6:07.0,,,39-36,,M. Morris misses 2-pt shot from 18 ft
6:05.0,Defensive rebound by J. Hill,,39-36,,
5:54.0,J. Hill makes 2-pt shot from 21 ft (assist by J. Lin),2,41-36,,
5:33.0,,,41-39,3,I. Thomas makes 3-pt shot from 25 ft (assist by P. Tucker)
5:19.0,Turnover by J. Lin (bad pass; steal by G. Dragic),,41-39,,
5:13.0,,,41-39,,G. Dragic misses 3-pt shot from 24 ft
5:10.0,Defensive rebound by E. Davis,,41-39,,
5:04.0,,,41-39,,Phoenix full timeout
5:04.0,,,41-39,,E. Bledsoe enters the game for I. Thomas
5:04.0,,,41-39,,A. Len enters the game for B. Wright
5:04.0,W. Johnson enters the game for N. Young,,41-39,,
5:04.0,W. Ellington enters the game for R. Kelly,,41-39,,
5:00.0,Offensive foul by J. Hill,,41-39,,
5:00.0,Turnover by J. Hill (offensive foul),,41-39,,
4:41.0,,,41-39,,E. Bledsoe misses 2-pt shot from 21 ft
4:39.0,,,41-39,,Offensive rebound by M. Morris
4:36.0,,,41-39,,P. Tucker misses 3-pt shot from 25 ft
4:34.0,Defensive rebound by E. Davis,,41-39,,
4:15.0,W. Ellington makes 2-pt shot from 14 ft (assist by W. Johnson),2,43-39,,
3:59.0,,,43-39,,Shooting foul by E. Davis (drawn by P. Tucker)
3:59.0,,,43-40,1,P. Tucker makes free throw 1 of 2
3:59.0,,,43-40,,P. Tucker misses free throw 2 of 2
3:58.0,Defensive rebound by J. Hill,,43-40,,
3:42.0,W. Ellington makes 3-pt shot from 25 ft (assist by E. Davis),3,46-40,,
3:33.0,,,46-40,,Shooting foul by W. Ellington (drawn by G. Dragic)
3:33.0,,,46-41,1,G. Dragic makes free throw 1 of 2
3:33.0,,,46-42,1,G. Dragic makes free throw 2 of 2
3:21.0,Turnover by J. Hill (lost ball; steal by E. Bledsoe),,46-42,,
3:16.0,,,46-44,2,G. Dragic makes 2-pt shot from 1 ft (assist by E. Bledsoe)
2:58.0,J. Hill misses 2-pt shot from 17 ft,,46-44,,
2:56.0,,,46-44,,Defensive rebound by E. Bledsoe
2:45.0,,,46-44,,G. Dragic misses 3-pt shot from 24 ft
2:43.0,Defensive rebound by J. Hill,,46-44,,
2:39.0,Shooting foul by G. Dragic (drawn by E. Davis),,46-44,,
2:39.0,LA Lakers full timeout,,46-44,,
2:39.0,,,46-44,,I. Thomas enters the game for M. Morris
2:39.0,E. Davis makes free throw 1 of 2,1,47-44,,
2:39.0,E. Davis makes free throw 2 of 2,1,48-44,,
2:19.0,,,48-44,,P. Tucker misses 2-pt shot from 15 ft
2:17.0,,,48-44,,Offensive rebound by A. Len
2:13.0,,,48-46,2,I. Thomas makes 2-pt shot from 6 ft
1:52.0,Turnover by W. Johnson (lost ball; steal by P. Tucker),,48-46,,
1:49.0,,,48-46,,Turnover by I. Thomas (bad pass; steal by J. Lin)
1:44.0,W. Ellington makes 2-pt shot from 19 ft (assist by W. Johnson),2,50-46,,
1:29.0,,,50-48,2,G. Dragic makes 2-pt shot from 7 ft
1:09.0,J. Hill misses 2-pt shot from 21 ft,,50-48,,
1:07.0,Offensive rebound by W. Johnson,,50-48,,
1:05.0,,,50-48,,Shooting block foul by P. Tucker (drawn by J. Hill)
1:05.0,J. Hill makes free throw 1 of 2,1,51-48,,
1:05.0,J. Hill misses free throw 2 of 2,,51-48,,
1:04.0,,,51-48,,Defensive rebound by E. Bledsoe
0:53.0,,,51-48,,Turnover by E. Bledsoe (discontinued dribble)
0:36.0,J. Lin misses 2-pt shot from 3 ft (block by A. Len),,51-48,,
0:33.0,,,51-48,,Defensive rebound by E. Bledsoe
0:32.0,Personal foul by J. Lin (drawn by E. Bledsoe),,51-48,,
0:32.0,,,51-48,,Phoenix full timeout
0:32.0,J. Clarkson enters the game for J. Lin,,51-48,,
0:30.0,,,51-51,3,I. Thomas makes 3-pt shot from 24 ft (assist by E. Bledsoe)
0:08.0,J. Hill misses 2-pt shot from 4 ft,,51-51,,
0:06.0,,,51-51,,Defensive rebound by A. Len
0:04.0,,,51-51,,Turnover by A. Len (bad pass; steal by E. Davis)
0:02.0,E. Davis misses 2-pt shot from 12 ft,,51-51,,
0:01.0,,,51-51,,Defensive rebound by P. Tucker
0:00.0,,,51-51,,I. Thomas misses 3-pt shot from 38 ft
0:00.0,,,51-51,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:35.0,,,51-53,2,G. Dragic makes 2-pt shot from 15 ft
11:17.0,W. Johnson misses 2-pt shot from 11 ft (block by M. Morris),,51-53,,
11:15.0,,,51-53,,Defensive rebound by P. Tucker
11:11.0,,,51-53,,E. Bledsoe misses 2-pt shot from 19 ft (block by E. Davis)
11:08.0,,,51-53,,Offensive rebound by E. Bledsoe
11:07.0,,,51-55,2,A. Len makes 2-pt shot from 7 ft (assist by E. Bledsoe)
10:44.0,W. Ellington misses 2-pt shot from 17 ft,,51-55,,
10:43.0,Offensive rebound by E. Davis,,51-55,,
10:41.0,E. Davis misses 2-pt shot at rim,,51-55,,
10:39.0,,,51-55,,Defensive rebound by A. Len
10:30.0,,,51-55,,A. Len misses 2-pt shot from 16 ft
10:29.0,Defensive rebound by J. Lin,,51-55,,
10:11.0,J. Hill makes 2-pt shot from 2 ft (assist by J. Lin),2,53-55,,
10:11.0,Shooting foul by E. Bledsoe (drawn by J. Hill),,53-55,,
10:11.0,J. Hill makes free throw 1 of 1,1,54-55,,
9:59.0,,,54-58,3,M. Morris makes 3-pt shot from 25 ft (assist by G. Dragic)
9:40.0,W. Johnson makes 2-pt shot from 19 ft (assist by J. Hill),2,56-58,,
9:26.0,,,56-58,,P. Tucker misses 3-pt shot from 23 ft
9:24.0,Defensive rebound by J. Hill,,56-58,,
9:17.0,Turnover by J. Lin (bad pass; steal by E. Bledsoe),,56-58,,
9:12.0,,,56-60,2,G. Dragic makes 2-pt shot from 1 ft (assist by E. Bledsoe)
8:57.0,W. Johnson makes 2-pt shot from 20 ft (assist by J. Lin),2,58-60,,
8:47.0,,,58-60,,Turnover by G. Dragic (bad pass; steal by E. Davis)
8:43.0,J. Lin makes 2-pt shot from 1 ft (assist by E. Davis),2,60-60,,
8:23.0,,,60-63,3,E. Bledsoe makes 3-pt shot from 24 ft (assist by G. Dragic)
8:08.0,,,60-63,,Shooting block foul by M. Morris (drawn by J. Lin)
8:08.0,J. Lin misses free throw 1 of 2,,60-63,,
8:08.0,Offensive rebound by Team,,60-63,,
8:08.0,J. Lin makes free throw 2 of 2,1,61-63,,
7:57.0,,,61-65,2,E. Bledsoe makes 2-pt shot from 1 ft
7:40.0,W. Ellington misses 2-pt shot from 18 ft,,61-65,,
7:38.0,,,61-65,,Defensive rebound by M. Morris
7:21.0,,,61-67,2,P. Tucker makes 2-pt shot from 2 ft (assist by M. Morris)
7:05.0,E. Davis makes 2-pt shot at rim (assist by J. Lin),2,63-67,,
6:46.0,,,63-67,,M. Morris misses 3-pt shot from 24 ft
6:44.0,Defensive rebound by J. Lin,,63-67,,
6:38.0,Shooting foul by G. Dragic (drawn by W. Ellington),,63-67,,
6:38.0,W. Ellington makes free throw 1 of 2,1,64-67,,
6:38.0,W. Ellington makes free throw 2 of 2,1,65-67,,
6:25.0,,,65-69,2,M. Morris makes 2-pt shot at rim (assist by E. Bledsoe)
6:09.0,J. Hill misses 2-pt shot from 18 ft,,65-69,,
6:07.0,,,65-69,,Defensive rebound by G. Dragic
6:02.0,,,65-71,2,P. Tucker makes 2-pt shot from 1 ft (assist by G. Dragic)
5:39.0,J. Lin misses 3-pt shot from 23 ft,,65-71,,
5:37.0,,,65-71,,Defensive rebound by G. Dragic
5:31.0,,,65-71,,M. Morris misses 2-pt shot from 2 ft
5:28.0,Defensive rebound by J. Hill,,65-71,,
5:22.0,Turnover by J. Hill (bad pass; steal by P. Tucker),,65-71,,
5:19.0,,,65-71,,Turnover by G. Dragic (lost ball; steal by J. Lin)
5:16.0,Turnover by J. Lin (bad pass; steal by M. Morris),,65-71,,
5:09.0,,,65-71,,E. Bledsoe misses 2-pt shot from 18 ft
5:06.0,Defensive rebound by J. Hill,,65-71,,
4:52.0,E. Davis makes 2-pt shot at rim (assist by W. Johnson),2,67-71,,
4:45.0,,,67-71,,Phoenix full timeout
4:45.0,,,67-71,,B. Wright enters the game for A. Len
4:39.0,,,67-73,2,M. Morris makes 2-pt shot from 13 ft (assist by E. Bledsoe)
4:19.0,W. Johnson makes 2-pt shot from 19 ft (assist by J. Hill),2,69-73,,
4:05.0,,,69-73,,B. Wright misses 2-pt shot from 7 ft
4:03.0,Defensive rebound by W. Ellington,,69-73,,
4:01.0,Turnover by W. Ellington (lost ball; steal by E. Bledsoe),,69-73,,
3:58.0,,,69-75,2,E. Bledsoe makes 2-pt shot at rim
3:58.0,,,69-75,,Shooting foul by J. Hill (drawn by E. Bledsoe)
3:58.0,T. Black enters the game for E. Davis,,69-75,,
3:58.0,C. Boozer enters the game for J. Hill,,69-75,,
3:58.0,,,69-75,,I. Thomas enters the game for G. Dragic
3:58.0,,,69-76,1,E. Bledsoe makes free throw 1 of 1
3:44.0,J. Lin makes 2-pt shot from 2 ft,2,71-76,,
3:25.0,,,71-76,,Turnover by M. Morris (lost ball)
3:25.0,,,71-76,,M. Morris enters the game for P. Tucker
3:25.0,N. Young enters the game for W. Ellington,,71-76,,
3:06.0,Turnover by W. Johnson (bad pass; steal by I. Thomas),,71-76,,
3:03.0,,,71-78,2,I. Thomas makes 2-pt shot from 1 ft
2:46.0,N. Young makes 2-pt shot from 17 ft (assist by J. Lin),2,73-78,,
2:36.0,,,73-78,,Shooting foul by T. Black (drawn by E. Bledsoe)
2:36.0,LA Lakers full timeout,,73-78,,
2:36.0,J. Clarkson enters the game for J. Lin,,73-78,,
2:36.0,,,73-78,,G. Green enters the game for M. Morris
2:36.0,,,73-79,1,E. Bledsoe makes free throw 1 of 2
2:36.0,,,73-79,,E. Bledsoe misses free throw 2 of 2
2:35.0,Defensive rebound by J. Clarkson,,73-79,,
2:17.0,W. Johnson misses 2-pt shot from 22 ft,,73-79,,
2:15.0,,,73-79,,Defensive rebound by M. Morris
2:02.0,,,73-81,2,B. Wright makes 2-pt shot at rim (assist by I. Thomas)
1:38.0,C. Boozer makes 2-pt shot at rim,2,75-81,,
1:29.0,,,75-81,,Turnover by I. Thomas (back court)
1:19.0,N. Young misses 2-pt shot from 4 ft (block by B. Wright),,75-81,,
1:17.0,,,75-81,,Defensive rebound by M. Morris
1:11.0,,,75-84,3,E. Bledsoe makes 3-pt shot from 25 ft (assist by I. Thomas)
0:55.0,Turnover by T. Black (bad pass; steal by I. Thomas),,75-84,,
0:50.0,Personal foul by T. Black (drawn by E. Bledsoe),,75-84,,
0:42.0,,,75-84,,Shooting foul by T. Black (drawn by M. Morris)
0:42.0,,,75-84,,M. Morris misses free throw 1 of 2
0:42.0,,,75-84,,Offensive rebound by Team
0:42.0,,,75-85,1,M. Morris makes free throw 2 of 2
0:27.0,C. Boozer makes 2-pt shot from 17 ft (assist by J. Clarkson),2,77-85,,
0:07.0,,,77-87,2,I. Thomas makes 2-pt shot from 1 ft
0:03.0,Turnover by W. Johnson (bad pass; steal by I. Thomas),,77-87,,
0:01.0,Violation by C. Boozer (kicked ball),,77-87,,
0:00.0,,,77-87,,G. Green misses 3-pt shot from 23 ft
0:00.0,,,77-87,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,77-87,,Personal foul by G. Green (drawn by T. Black)
11:32.0,J. Clarkson misses 2-pt shot from 9 ft,,77-87,,
11:30.0,,,77-87,,Defensive rebound by I. Thomas
11:20.0,,,77-87,,Turnover by I. Thomas (bad pass; steal by C. Boozer)
11:18.0,Turnover by C. Boozer (kicked ball),,77-87,,
11:15.0,Personal foul by C. Boozer (drawn by B. Wright),,77-87,,
11:09.0,,,77-89,2,G. Green makes 2-pt shot at rim
10:50.0,J. Clarkson misses 3-pt shot from 24 ft,,77-89,,
10:48.0,,,77-89,,Defensive rebound by G. Dragic
10:40.0,,,77-89,,M. Morris misses 3-pt shot from 25 ft
10:38.0,Defensive rebound by C. Boozer,,77-89,,
10:15.0,J. Clarkson makes 2-pt shot from 21 ft,2,79-89,,
10:02.0,,,79-89,,G. Green misses 3-pt shot from 24 ft (block by R. Kelly)
10:02.0,,,79-89,,Offensive rebound by Team
9:53.0,,,79-91,2,I. Thomas makes 2-pt shot from 1 ft
9:35.0,Shooting foul by M. Morris (drawn by T. Black),,79-91,,
9:35.0,,,79-91,,Violation by Team (delay of game)
9:35.0,T. Black misses free throw 1 of 2,,79-91,,
9:35.0,Offensive rebound by Team,,79-91,,
9:35.0,T. Black makes free throw 2 of 2,1,80-91,,
9:23.0,,,80-91,,Shooting foul by T. Black (drawn by I. Thomas)
9:23.0,,,80-92,1,I. Thomas makes free throw 1 of 2
9:23.0,,,80-93,1,I. Thomas makes free throw 2 of 2
9:15.0,,,80-93,,Personal foul by I. Thomas (drawn by J. Clarkson)
9:07.0,C. Boozer misses 2-pt shot from 17 ft,,80-93,,
9:07.0,Offensive rebound by Team,,80-93,,
9:07.0,,,80-93,,Personal foul by B. Wright (drawn by T. Black)
9:03.0,J. Clarkson misses 2-pt shot from 9 ft (block by M. Morris),,80-93,,
9:02.0,,,80-93,,Defensive rebound by B. Wright
9:02.0,Personal foul by C. Boozer (drawn by B. Wright),,80-93,,
8:50.0,,,80-93,,M. Morris misses 3-pt shot from 23 ft
8:47.0,,,80-93,,Offensive rebound by B. Wright
8:40.0,,,80-93,,G. Dragic misses 2-pt shot from 14 ft
8:38.0,,,80-93,,Offensive rebound by G. Dragic
8:31.0,,,80-93,,G. Green misses 2-pt shot from 15 ft
8:28.0,Defensive rebound by C. Boozer,,80-93,,
8:16.0,N. Young misses 2-pt shot from 19 ft,,80-93,,
8:12.0,Offensive rebound by T. Black,,80-93,,
8:11.0,T. Black makes 2-pt shot from 1 ft,2,82-93,,
8:03.0,,,82-96,3,G. Green makes 3-pt shot from 24 ft
7:45.0,Turnover by J. Clarkson (bad pass; steal by I. Thomas),,82-96,,
7:37.0,,,82-99,3,G. Green makes 3-pt shot from 23 ft (assist by G. Dragic)
7:36.0,LA Lakers full timeout,,82-99,,
7:36.0,J. Lin enters the game for J. Clarkson,,82-99,,
7:20.0,,,82-99,,Personal foul by G. Dragic (drawn by N. Young)
7:20.0,N. Young misses free throw 1 of 2,,82-99,,
7:20.0,Offensive rebound by Team,,82-99,,
7:20.0,N. Young makes free throw 2 of 2,1,83-99,,
7:11.0,,,83-99,,Turnover by I. Thomas (bad pass; steal by N. Young)
7:11.0,Turnover by N. Young (step out of bounds),,83-99,,
6:58.0,,,83-102,3,M. Morris makes 3-pt shot from 23 ft (assist by G. Green)
6:45.0,N. Young makes 3-pt shot from 25 ft (assist by J. Lin),3,86-102,,
6:31.0,,,86-105,3,I. Thomas makes 3-pt shot from 25 ft (assist by G. Dragic)
6:22.0,,,86-105,,Personal foul by G. Dragic (drawn by N. Young)
6:22.0,N. Young makes free throw 1 of 2,1,87-105,,
6:22.0,N. Young makes free throw 2 of 2,1,88-105,,
6:09.0,,,88-105,,G. Green misses 2-pt shot from 17 ft
6:07.0,Defensive rebound by R. Kelly,,88-105,,
5:56.0,Offensive foul by C. Boozer,,88-105,,
5:56.0,Turnover by C. Boozer (offensive foul),,88-105,,
5:56.0,Official timeout,,88-105,,
5:56.0,,,88-105,,E. Bledsoe enters the game for G. Dragic
5:48.0,,,88-105,,Turnover by G. Green (bad pass; steal by T. Black)
5:38.0,N. Young makes 3-pt shot from 23 ft (assist by J. Lin),3,91-105,,
5:17.0,,,91-105,,I. Thomas misses 3-pt shot from 24 ft
5:15.0,,,91-105,,Offensive rebound by E. Bledsoe
5:13.0,,,91-105,,Turnover by E. Bledsoe (bad pass; steal by J. Lin)
5:06.0,N. Young makes 3-pt shot from 23 ft (assist by J. Lin),3,94-105,,
5:00.0,Personal take foul by R. Kelly (drawn by G. Green),,94-105,,
5:00.0,LA Lakers full timeout,,94-105,,
