time,Brooklyn,pts.away,score,pts.home,Memphis
6:46.0,,,7-14,,Personal foul by M. Gasol (drawn by B. Lopez)
6:31.0,K. Garnett misses 2-pt shot from 12 ft,,7-14,,
6:29.0,,,7-14,,Defensive rebound by C. Lee
6:15.0,D. Williams enters the game for A. Anderson,,7-14,,
6:12.0,,,7-16,2,C. Lee makes 2-pt shot from 13 ft (assist by J. Green)
5:47.0,Turnover by J. Johnson (bad pass; steal by M. Conley),,7-16,,
5:43.0,,,7-16,,Z. Randolph misses 2-pt shot at rim
5:41.0,Defensive rebound by Team,,7-16,,
5:28.0,D. Williams misses 2-pt shot from 6 ft,,7-16,,
5:26.0,Offensive rebound by B. Lopez,,7-16,,
5:26.0,B. Lopez makes 2-pt shot from 1 ft,2,9-16,,
5:02.0,,,9-18,2,M. Gasol makes 2-pt shot from 21 ft (assist by C. Lee)
4:44.0,B. Lopez misses 2-pt shot from 7 ft,,9-18,,
4:43.0,,,9-18,,Defensive rebound by Z. Randolph
4:32.0,Personal foul by D. Williams (drawn by M. Gasol),,9-18,,
4:32.0,M. Plumlee enters the game for K. Garnett,,9-18,,
4:32.0,,,9-18,,B. Udrih enters the game for M. Conley
4:32.0,,,9-18,,T. Allen enters the game for C. Lee
4:24.0,,,9-18,,J. Green misses 3-pt shot from 24 ft
4:23.0,Defensive rebound by D. Williams,,9-18,,
4:17.0,D. Williams misses 2-pt shot at rim,,9-18,,
4:14.0,,,9-18,,Defensive rebound by T. Allen
4:10.0,,,9-20,2,B. Udrih makes 2-pt shot from 11 ft (assist by T. Allen)
3:55.0,Offensive foul by J. Johnson,,9-20,,
3:55.0,Turnover by J. Johnson (offensive foul),,9-20,,
3:44.0,,,9-22,2,T. Allen makes 2-pt shot at rim (assist by J. Green)
3:29.0,B. Lopez misses 2-pt shot from 9 ft,,9-22,,
3:28.0,,,9-22,,Defensive rebound by M. Gasol
3:17.0,,,9-22,,Z. Randolph misses 2-pt shot from 15 ft
3:16.0,Defensive rebound by J. Jack,,9-22,,
3:08.0,J. Jack makes 2-pt shot from 17 ft,2,11-22,,
2:43.0,,,11-24,2,B. Udrih makes 2-pt shot from 12 ft
2:26.0,J. Jack misses 2-pt shot from 7 ft (block by B. Udrih),,11-24,,
2:23.0,,,11-24,,Defensive rebound by M. Gasol
2:20.0,,,11-26,2,T. Allen makes 2-pt shot at rim (assist by M. Gasol)
2:20.0,Brooklyn full timeout,,11-26,,
2:20.0,,,11-26,,Memphis full timeout
2:20.0,,,11-26,,N. Calathes enters the game for J. Green
2:20.0,,,11-26,,K. Koufos enters the game for Z. Randolph
2:20.0,A. Anderson enters the game for J. Johnson,,11-26,,
2:01.0,B. Lopez misses 2-pt shot from 9 ft,,11-26,,
2:00.0,,,11-26,,Defensive rebound by M. Gasol
1:40.0,,,11-26,,M. Gasol misses 2-pt shot from 14 ft
1:39.0,,,11-26,,Offensive rebound by K. Koufos
1:38.0,Personal foul by D. Williams (drawn by K. Koufos),,11-26,,
1:26.0,,,11-28,2,M. Gasol makes 2-pt shot from 18 ft (assist by B. Udrih)
1:10.0,D. Williams misses 3-pt shot from 24 ft,,11-28,,
1:09.0,,,11-28,,Defensive rebound by T. Allen
0:56.0,,,11-28,,M. Gasol misses 2-pt shot from 11 ft
0:53.0,,,11-28,,Offensive rebound by K. Koufos
0:53.0,,,11-28,,K. Koufos misses 2-pt shot from 5 ft
0:50.0,Defensive rebound by M. Plumlee,,11-28,,
0:45.0,Turnover by M. Plumlee (bad pass; steal by N. Calathes),,11-28,,
0:41.0,,,11-30,2,T. Allen makes 2-pt shot at rim (assist by B. Udrih)
0:27.0,A. Anderson makes 2-pt shot at rim (assist by J. Jack),2,13-30,,
0:10.0,Personal foul by B. Lopez (drawn by M. Gasol),,13-30,,
0:10.0,,,13-31,1,M. Gasol makes free throw 1 of 2
0:10.0,,,13-32,1,M. Gasol makes free throw 2 of 2
0:01.0,J. Jack makes 2-pt shot from 17 ft,2,15-32,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:57.0,,,15-32,,Personal foul by N. Calathes (drawn by A. Anderson)
11:37.0,A. Anderson makes 2-pt shot from 5 ft,2,17-32,,
11:16.0,,,17-32,,B. Udrih misses 2-pt shot from 17 ft
11:13.0,Defensive rebound by A. Anderson,,17-32,,
11:06.0,Turnover by D. Williams (lost ball; steal by N. Calathes),,17-32,,
11:06.0,Shooting block foul by A. Anderson (drawn by N. Calathes),,17-32,,
11:06.0,,,17-32,,N. Calathes misses free throw 1 of 2
11:06.0,,,17-32,,Offensive rebound by Team
11:06.0,J. Johnson enters the game for B. Lopez,,17-32,,
11:06.0,,,17-33,1,N. Calathes makes free throw 2 of 2
10:46.0,J. Johnson misses 2-pt shot from 15 ft,,17-33,,
10:45.0,,,17-33,,Defensive rebound by T. Allen
10:28.0,,,17-33,,Turnover by N. Calathes (bad pass; steal by M. Plumlee)
10:26.0,Turnover by J. Johnson (bad pass),,17-33,,
10:20.0,,,17-35,2,K. Koufos makes 2-pt shot from 4 ft (assist by J. Leuer)
10:05.0,Turnover by J. Jack (bad pass),,17-35,,
9:50.0,,,17-35,,N. Calathes misses 3-pt shot from 26 ft
9:49.0,Defensive rebound by M. Plumlee,,17-35,,
9:42.0,B. Bogdanovic enters the game for J. Jack,,17-35,,
9:42.0,,,17-35,,M. Conley enters the game for B. Udrih
9:39.0,,,17-35,,Personal foul by N. Calathes (drawn by A. Anderson)
9:35.0,,,17-35,,Personal foul by T. Allen (drawn by B. Bogdanovic)
9:32.0,Shooting foul by T. Allen (drawn by B. Bogdanovic),,17-35,,
9:32.0,B. Bogdanovic makes free throw 1 of 2,1,18-35,,
9:32.0,B. Bogdanovic misses free throw 2 of 2,,18-35,,
9:30.0,,,18-35,,Defensive rebound by J. Leuer
9:12.0,,,18-35,,K. Koufos misses 2-pt shot from 11 ft
9:11.0,,,18-35,,Offensive rebound by J. Leuer
9:01.0,,,18-38,3,T. Allen makes 3-pt shot from 25 ft (assist by N. Calathes)
8:37.0,A. Anderson misses 3-pt shot from 25 ft,,18-38,,
8:36.0,Offensive rebound by A. Anderson,,18-38,,
8:31.0,M. Plumlee misses 2-pt shot from 4 ft,,18-38,,
8:28.0,Offensive rebound by M. Plumlee,,18-38,,
8:28.0,M. Plumlee makes 2-pt shot at rim,2,20-38,,
8:17.0,Personal foul by A. Anderson (drawn by T. Allen),,20-38,,
8:17.0,,,20-38,,Memphis full timeout
8:17.0,C. Jefferson enters the game for A. Anderson,,20-38,,
8:07.0,,,20-38,,K. Koufos misses 2-pt shot from 6 ft
8:05.0,,,20-38,,Offensive rebound by K. Koufos
8:03.0,,,20-40,2,K. Koufos makes 2-pt shot from 6 ft
7:43.0,J. Johnson misses 2-pt shot from 9 ft,,20-40,,
7:40.0,,,20-40,,Defensive rebound by K. Koufos
7:28.0,,,20-40,,M. Conley misses 2-pt shot from 17 ft
7:27.0,Defensive rebound by J. Johnson,,20-40,,
7:17.0,B. Bogdanovic misses 2-pt shot from 18 ft,,20-40,,
7:16.0,,,20-40,,Defensive rebound by N. Calathes
7:07.0,,,20-40,,M. Conley misses 2-pt shot from 2 ft (block by C. Jefferson)
7:06.0,Defensive rebound by C. Jefferson,,20-40,,
7:01.0,J. Johnson misses 2-pt shot from 11 ft,,20-40,,
6:57.0,Offensive rebound by M. Plumlee,,20-40,,
6:57.0,M. Plumlee misses 2-pt shot from 1 ft (block by K. Koufos),,20-40,,
6:53.0,Offensive rebound by B. Bogdanovic,,20-40,,
6:53.0,B. Bogdanovic makes 2-pt shot from 1 ft,2,22-40,,
6:45.0,,,22-40,,J. Leuer misses 2-pt shot from 16 ft
6:44.0,,,22-40,,Offensive rebound by K. Koufos
6:35.0,,,22-40,,Shooting foul by C. Jefferson (drawn by K. Koufos)
6:35.0,,,22-40,,K. Koufos misses free throw 1 of 2
6:35.0,,,22-40,,Offensive rebound by Team
6:35.0,,,22-40,,C. Lee enters the game for T. Allen
6:35.0,J. Jordan enters the game for M. Plumlee,,22-40,,
6:35.0,,,22-41,1,K. Koufos makes free throw 2 of 2
6:24.0,D. Williams makes 2-pt shot from 9 ft,2,24-41,,
6:13.0,,,24-43,2,K. Koufos makes 2-pt shot from 4 ft (assist by N. Calathes)
6:02.0,J. Johnson makes 2-pt shot from 5 ft,2,26-43,,
6:02.0,Shooting foul by C. Lee (drawn by J. Johnson),,26-43,,
6:02.0,,,26-43,,Z. Randolph enters the game for K. Koufos
6:02.0,,,26-43,,J. Green enters the game for N. Calathes
6:02.0,J. Johnson makes free throw 1 of 1,1,27-43,,
5:46.0,,,27-43,,Turnover by M. Conley (bad pass)
5:46.0,,,27-43,,Memphis full timeout
5:32.0,D. Williams makes 2-pt shot from 10 ft (assist by J. Jordan),2,29-43,,
5:17.0,,,29-43,,M. Conley misses 3-pt shot from 25 ft
5:16.0,Defensive rebound by J. Johnson,,29-43,,
5:04.0,D. Williams makes 3-pt shot from 23 ft (assist by J. Johnson),3,32-43,,
4:44.0,,,32-45,2,Z. Randolph makes 2-pt shot from 1 ft
4:26.0,Shooting foul by Z. Randolph (drawn by J. Jordan),,32-45,,
4:26.0,J. Jordan makes free throw 1 of 2,1,33-45,,
4:26.0,,,33-45,,M. Gasol enters the game for J. Leuer
4:26.0,J. Jordan makes free throw 2 of 2,1,34-45,,
4:11.0,,,34-45,,Shooting foul by J. Jordan (drawn by J. Green)
4:11.0,,,34-45,,J. Green misses free throw 1 of 2
4:11.0,,,34-45,,Offensive rebound by Team
4:11.0,B. Lopez enters the game for C. Jefferson,,34-45,,
4:11.0,,,34-45,,J. Green misses free throw 2 of 2
4:11.0,Defensive rebound by J. Johnson,,34-45,,
3:56.0,J. Johnson misses 3-pt shot from 28 ft,,34-45,,
3:55.0,,,34-45,,Defensive rebound by Z. Randolph
3:46.0,Personal foul by D. Williams (drawn by J. Green),,34-45,,
3:46.0,,,34-46,1,J. Green makes free throw 1 of 2
3:46.0,J. Jack enters the game for D. Williams,,34-46,,
3:46.0,,,34-47,1,J. Green makes free throw 2 of 2
3:32.0,Turnover by J. Jack (bad pass; steal by Z. Randolph),,34-47,,
3:19.0,,,34-47,,Turnover by M. Conley (bad pass; steal by J. Jordan)
3:12.0,B. Lopez misses 2-pt shot from 1 ft,,34-47,,
3:11.0,Offensive rebound by B. Lopez,,34-47,,
3:11.0,B. Lopez makes 2-pt shot from 1 ft,2,36-47,,
3:00.0,,,36-47,,Turnover by Z. Randolph (bad pass)
2:42.0,Brooklyn full timeout,,36-47,,
2:34.0,B. Lopez misses 2-pt shot from 13 ft,,36-47,,
2:33.0,,,36-47,,Defensive rebound by Z. Randolph
2:12.0,,,36-49,2,Z. Randolph makes 2-pt shot at rim (assist by M. Conley)
1:59.0,Turnover by B. Bogdanovic (traveling),,36-49,,
1:36.0,,,36-49,,C. Lee misses 3-pt shot from 25 ft
1:35.0,Defensive rebound by B. Lopez,,36-49,,
1:27.0,B. Lopez makes 2-pt shot from 13 ft (assist by J. Jack),2,38-49,,
1:12.0,,,38-49,,Shooting foul by J. Jordan (drawn by M. Gasol)
1:12.0,,,38-50,1,M. Gasol makes free throw 1 of 2
1:12.0,,,38-50,,M. Gasol misses free throw 2 of 2
1:12.0,Defensive rebound by J. Johnson,,38-50,,
0:52.0,B. Lopez makes 2-pt shot from 12 ft (assist by J. Jack),2,40-50,,
0:40.0,,,40-50,,Shooting foul by B. Bogdanovic (drawn by M. Gasol)
0:40.0,,,40-51,1,M. Gasol makes free throw 1 of 2
0:40.0,,,40-52,1,M. Gasol makes free throw 2 of 2
0:32.0,J. Jack misses 2-pt shot from 12 ft,,40-52,,
0:30.0,,,40-52,,Defensive rebound by J. Green
0:06.0,,,40-52,,M. Conley misses 3-pt shot from 25 ft
0:05.0,Defensive rebound by B. Bogdanovic,,40-52,,
0:02.0,B. Bogdanovic misses 3-pt shot from 26 ft (block by C. Lee),,40-52,,
0:01.0,,,40-52,,Defensive rebound by M. Gasol
0:01.0,,,40-52,,M. Gasol misses 3-pt shot from 75 ft
0:00.0,,,40-52,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,Offensive foul by B. Lopez,,40-52,,
11:44.0,Turnover by B. Lopez (offensive foul),,40-52,,
11:29.0,,,40-52,,J. Green misses 3-pt shot from 24 ft
11:28.0,Defensive rebound by K. Garnett,,40-52,,
11:16.0,B. Lopez misses 2-pt shot from 8 ft,,40-52,,
11:14.0,,,40-52,,Defensive rebound by M. Gasol
10:56.0,,,40-52,,M. Gasol misses 2-pt shot from 11 ft (block by B. Lopez)
10:54.0,Defensive rebound by K. Garnett,,40-52,,
10:37.0,B. Lopez misses 2-pt shot from 8 ft (block by M. Gasol),,40-52,,
10:36.0,,,40-52,,Defensive rebound by Team
10:21.0,Personal foul by B. Lopez (drawn by M. Gasol),,40-52,,
10:13.0,Personal foul by J. Johnson (drawn by J. Green),,40-52,,
10:10.0,,,40-52,,Turnover by M. Gasol (bad pass)
9:59.0,Shooting foul by C. Lee (drawn by D. Williams),,40-52,,
9:59.0,D. Williams makes free throw 1 of 2,1,41-52,,
9:59.0,D. Williams misses free throw 2 of 2,,41-52,,
9:58.0,,,41-52,,Defensive rebound by M. Gasol
9:38.0,,,41-55,3,C. Lee makes 3-pt shot from 24 ft (assist by J. Green)
9:25.0,B. Lopez misses 2-pt shot from 1 ft,,41-55,,
9:24.0,,,41-55,,Defensive rebound by Z. Randolph
9:18.0,,,41-57,2,C. Lee makes 2-pt shot at rim
9:18.0,,,41-57,,Shooting foul by K. Garnett (drawn by C. Lee)
9:18.0,,,41-58,1,C. Lee makes free throw 1 of 1
9:06.0,Turnover by J. Jack (bad pass; steal by C. Lee),,41-58,,
9:02.0,,,41-60,2,C. Lee makes 2-pt shot at rim
9:01.0,Brooklyn full timeout,,41-60,,
8:45.0,K. Garnett makes 2-pt shot from 20 ft (assist by D. Williams),2,43-60,,
8:20.0,,,43-60,,Z. Randolph misses 2-pt shot from 10 ft
8:18.0,Defensive rebound by K. Garnett,,43-60,,
7:59.0,Turnover by B. Lopez (lost ball; steal by M. Conley),,43-60,,
7:49.0,,,43-60,,C. Lee misses 3-pt shot from 25 ft
7:48.0,Defensive rebound by J. Johnson,,43-60,,
7:34.0,Shooting foul by Z. Randolph (drawn by B. Lopez),,43-60,,
7:34.0,B. Lopez makes free throw 1 of 2,1,44-60,,
7:34.0,B. Lopez makes free throw 2 of 2,1,45-60,,
7:17.0,,,45-62,2,M. Gasol makes 2-pt shot from 11 ft
6:54.0,B. Lopez makes 2-pt shot at rim (assist by J. Johnson),2,47-62,,
6:29.0,,,47-62,,M. Gasol misses 2-pt shot from 6 ft
6:25.0,,,47-62,,Offensive rebound by Z. Randolph
6:25.0,,,47-62,,Z. Randolph misses 2-pt shot at rim
6:23.0,Defensive rebound by B. Lopez,,47-62,,
6:07.0,J. Johnson makes 2-pt shot from 6 ft (assist by D. Williams),2,49-62,,
5:50.0,,,49-65,3,J. Green makes 3-pt shot from 27 ft (assist by C. Lee)
5:32.0,J. Johnson makes 2-pt shot from 7 ft,2,51-65,,
5:17.0,,,51-65,,Memphis full timeout
5:17.0,M. Plumlee enters the game for K. Garnett,,51-65,,
5:13.0,,,51-67,2,J. Green makes 2-pt shot at rim (assist by M. Gasol)
4:48.0,D. Williams misses 3-pt shot from 25 ft,,51-67,,
4:48.0,,,51-67,,Defensive rebound by J. Green
4:31.0,Personal foul by M. Plumlee (drawn by Z. Randolph),,51-67,,
4:31.0,,,51-67,,T. Allen enters the game for J. Green
4:18.0,,,51-67,,C. Lee misses 2-pt shot from 4 ft
4:16.0,Defensive rebound by J. Johnson,,51-67,,
4:08.0,Turnover by D. Williams (bad pass; steal by Z. Randolph),,51-67,,
4:04.0,,,51-67,,Shooting foul by D. Williams (drawn by T. Allen)
4:04.0,,,51-68,1,T. Allen makes free throw 1 of 2
4:04.0,,,51-68,,B. Udrih enters the game for M. Conley
4:04.0,J. Jordan enters the game for B. Lopez,,51-68,,
4:04.0,B. Bogdanovic enters the game for D. Williams,,51-68,,
4:04.0,A. Anderson enters the game for J. Johnson,,51-68,,
4:04.0,,,51-68,,T. Allen misses free throw 2 of 2
4:02.0,Defensive rebound by J. Jordan,,51-68,,
3:49.0,Turnover by J. Jack (bad pass; steal by B. Udrih),,51-68,,
3:43.0,,,51-71,3,C. Lee makes 3-pt shot from 25 ft (assist by T. Allen)
3:31.0,B. Bogdanovic misses 2-pt shot from 13 ft (block by B. Udrih),,51-71,,
3:30.0,Offensive rebound by B. Bogdanovic,,51-71,,
3:30.0,,,51-71,,Personal foul by C. Lee (drawn by A. Anderson)
3:22.0,B. Bogdanovic misses 2-pt shot from 8 ft,,51-71,,
3:21.0,,,51-71,,Defensive rebound by Z. Randolph
3:08.0,,,51-71,,Z. Randolph misses 2-pt shot from 15 ft
3:07.0,Defensive rebound by M. Plumlee,,51-71,,
2:54.0,J. Jordan misses 2-pt shot at rim (block by M. Gasol),,51-71,,
2:51.0,,,51-71,,Defensive rebound by B. Udrih
2:47.0,,,51-73,2,Z. Randolph makes 2-pt shot at rim (assist by T. Allen)
2:33.0,J. Jack makes 2-pt shot from 17 ft,2,53-73,,
2:16.0,,,53-73,,Z. Randolph misses 2-pt shot from 14 ft
2:15.0,Defensive rebound by A. Anderson,,53-73,,
2:08.0,J. Jack makes 2-pt shot from 9 ft,2,55-73,,
1:51.0,,,55-73,,K. Koufos enters the game for Z. Randolph
1:45.0,,,55-73,,B. Udrih misses 2-pt shot from 20 ft
1:44.0,Defensive rebound by J. Jordan,,55-73,,
1:38.0,J. Jack makes 2-pt shot from 19 ft,2,57-73,,
1:37.0,,,57-73,,Memphis full timeout
1:17.0,,,57-73,,Turnover by M. Gasol (bad pass; steal by B. Bogdanovic)
1:01.0,Shooting foul by K. Koufos (drawn by M. Plumlee),,57-73,,
1:01.0,M. Plumlee makes free throw 1 of 2,1,58-73,,
1:01.0,M. Plumlee makes free throw 2 of 2,1,59-73,,
0:52.0,,,59-73,,Turnover by M. Gasol (bad pass)
0:43.0,J. Jordan misses 2-pt shot from 2 ft (block by T. Allen),,59-73,,
0:43.0,Offensive rebound by Team,,59-73,,
0:43.0,,,59-73,,J. Leuer enters the game for M. Gasol
0:33.0,Turnover by J. Jack (kicked ball),,59-73,,
0:27.0,,,59-75,2,B. Udrih makes 2-pt shot from 14 ft
0:05.0,A. Anderson misses 2-pt shot from 6 ft,,59-75,,
0:04.0,Offensive rebound by M. Plumlee,,59-75,,
0:04.0,M. Plumlee misses 2-pt shot at rim,,59-75,,
0:02.0,Offensive rebound by M. Plumlee,,59-75,,
0:02.0,M. Plumlee makes 2-pt shot at rim,2,61-75,,
0:02.0,Shooting foul by J. Leuer (drawn by M. Plumlee),,61-75,,
0:02.0,D. Morris enters the game for J. Jack,,61-75,,
0:02.0,M. Plumlee makes free throw 1 of 1,1,62-75,,
0:02.0,,,62-75,,Turnover by T. Allen (bad pass; steal by A. Anderson)
0:01.0,Turnover by A. Anderson (bad pass; steal by C. Lee),,62-75,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,62-75,,Turnover by B. Udrih (bad pass; steal by D. Williams)
11:32.0,D. Williams misses 2-pt shot from 20 ft,,62-75,,
11:31.0,,,62-75,,Defensive rebound by K. Koufos
11:24.0,,,62-75,,Shooting foul by D. Williams (drawn by B. Udrih)
11:24.0,,,62-76,1,B. Udrih makes free throw 1 of 2
11:24.0,D. Morris enters the game for D. Williams,,62-76,,
11:24.0,J. Johnson enters the game for B. Bogdanovic,,62-76,,
11:24.0,,,62-77,1,B. Udrih makes free throw 2 of 2
11:00.0,D. Morris misses 2-pt shot from 11 ft,,62-77,,
10:57.0,,,62-77,,Defensive rebound by B. Udrih
10:54.0,,,62-77,,J. Leuer misses 2-pt shot from 1 ft
10:52.0,,,62-77,,Offensive rebound by K. Koufos
10:52.0,,,62-77,,K. Koufos misses 2-pt shot at rim
10:49.0,,,62-77,,Offensive rebound by J. Leuer
10:47.0,Violation by M. Plumlee (kicked ball),,62-77,,
10:32.0,,,62-77,,B. Udrih misses 3-pt shot from 25 ft
10:32.0,,,62-77,,Offensive rebound by Team
10:30.0,,,62-77,,Turnover by B. Udrih (lost ball; steal by M. Plumlee)
10:15.0,A. Anderson misses 3-pt shot from 27 ft,,62-77,,
10:14.0,,,62-77,,Defensive rebound by J. Leuer
10:08.0,,,62-77,,Shooting foul by J. Jordan (drawn by K. Koufos)
10:08.0,,,62-78,1,K. Koufos makes free throw 1 of 2
10:08.0,,,62-78,,K. Koufos misses free throw 2 of 2
10:07.0,Defensive rebound by M. Plumlee,,62-78,,
9:52.0,M. Plumlee makes 2-pt shot at rim (assist by J. Jordan),2,64-78,,
9:38.0,,,64-78,,Turnover by J. Green (bad pass; steal by M. Plumlee)
9:19.0,J. Johnson misses 2-pt shot from 9 ft,,64-78,,
9:18.0,,,64-78,,Defensive rebound by K. Koufos
9:07.0,,,64-78,,J. Green misses 3-pt shot from 25 ft
9:07.0,Defensive rebound by Team,,64-78,,
9:07.0,,,64-78,,Loose ball foul by K. Koufos (drawn by M. Plumlee)
9:07.0,M. Brown enters the game for D. Morris,,64-78,,
8:49.0,J. Jordan misses 2-pt shot at rim,,64-78,,
8:48.0,Offensive rebound by J. Jordan,,64-78,,
8:48.0,J. Jordan makes 2-pt shot at rim,2,66-78,,
8:48.0,Shooting foul by J. Leuer (drawn by J. Jordan),,66-78,,
8:48.0,Brooklyn full timeout,,66-78,,
8:48.0,J. Jordan misses free throw 1 of 1,,66-78,,
8:48.0,,,66-78,,Defensive rebound by T. Allen
8:35.0,,,66-78,,K. Koufos misses 2-pt shot from 2 ft
8:35.0,,,66-78,,Offensive rebound by T. Allen
8:35.0,Loose ball foul by A. Anderson (drawn by T. Allen),,66-78,,
8:35.0,,,66-78,,Z. Randolph enters the game for J. Leuer
8:25.0,,,66-78,,K. Koufos misses 2-pt shot from 5 ft
8:22.0,Defensive rebound by M. Brown,,66-78,,
8:10.0,A. Anderson makes 3-pt shot from 23 ft (assist by J. Johnson),3,69-78,,
7:48.0,,,69-80,2,B. Udrih makes 2-pt shot from 12 ft
7:21.0,M. Brown misses 3-pt shot from 24 ft,,69-80,,
7:21.0,,,69-80,,Defensive rebound by J. Green
7:07.0,,,69-83,3,B. Udrih makes 3-pt shot from 23 ft (assist by Z. Randolph)
6:42.0,J. Johnson makes 2-pt shot from 12 ft,2,71-83,,
6:24.0,,,71-83,,J. Green misses 2-pt shot from 19 ft
6:23.0,,,71-83,,Offensive rebound by K. Koufos
6:13.0,,,71-85,2,Z. Randolph makes 2-pt shot from 1 ft (assist by B. Udrih)
5:51.0,J. Johnson misses 2-pt shot from 1 ft (block by K. Koufos),,71-85,,
5:49.0,Offensive rebound by J. Johnson,,71-85,,
5:45.0,A. Anderson misses 3-pt shot from 25 ft,,71-85,,
5:44.0,,,71-85,,Defensive rebound by Z. Randolph
5:35.0,,,71-85,,Memphis full timeout
5:35.0,D. Williams enters the game for M. Brown,,71-85,,
5:29.0,,,71-85,,J. Green misses 2-pt shot from 19 ft (block by J. Johnson)
5:29.0,,,71-85,,Offensive rebound by Team
5:27.0,,,71-88,3,Z. Randolph makes 3-pt shot from 25 ft (assist by T. Allen)
5:07.0,J. Jordan makes 2-pt shot at rim (assist by D. Williams),2,73-88,,
5:07.0,Violation by Team (delay of game),,73-88,,
4:53.0,,,73-88,,K. Koufos misses 2-pt shot from 3 ft
4:51.0,Defensive rebound by M. Plumlee,,73-88,,
4:41.0,M. Plumlee misses 2-pt shot from 4 ft,,73-88,,
4:39.0,Offensive rebound by J. Jordan,,73-88,,
4:37.0,Turnover by J. Jordan (lost ball; steal by T. Allen),,73-88,,
4:23.0,Personal foul by J. Jordan (drawn by Z. Randolph),,73-88,,
4:14.0,,,73-88,,K. Koufos misses 2-pt shot from 5 ft
4:12.0,Defensive rebound by J. Jordan,,73-88,,
4:00.0,Turnover by A. Anderson (bad pass; steal by T. Allen),,73-88,,
3:56.0,,,73-90,2,T. Allen makes 2-pt shot from 2 ft
3:32.0,J. Johnson makes 2-pt shot from 12 ft,2,75-90,,
3:17.0,,,75-90,,Z. Randolph misses 2-pt shot from 19 ft
3:16.0,Defensive rebound by A. Anderson,,75-90,,
3:04.0,A. Anderson makes 2-pt shot from 15 ft,2,77-90,,
2:41.0,,,77-90,,B. Udrih misses 3-pt shot from 25 ft
2:40.0,Defensive rebound by J. Jordan,,77-90,,
2:32.0,Shooting foul by B. Udrih (drawn by A. Anderson),,77-90,,
2:32.0,Brooklyn full timeout,,77-90,,
2:32.0,,,77-90,,M. Conley enters the game for B. Udrih
