time,New York,pts.away,score,pts.home,Chicago
8:44.0,,,23-33,,N. Mirotic misses free throw 1 of 1
8:43.0,Defensive rebound by C. Aldrich,,23-33,,
8:31.0,,,23-33,,Personal foul by N. Mirotic (drawn by A. Bargnani)
8:25.0,Turnover by A. Bargnani (lost ball; steal by A. Brooks),,23-33,,
8:17.0,,,23-33,,N. Mirotic misses 2-pt shot from 2 ft (block by C. Aldrich)
8:16.0,Defensive rebound by C. Aldrich,,23-33,,
8:12.0,L. Galloway makes 2-pt shot from 18 ft (assist by C. Aldrich),2,25-33,,
7:53.0,,,25-35,2,T. Snell makes 2-pt shot from 2 ft (assist by J. Noah)
7:30.0,A. Bargnani makes 2-pt shot from 21 ft (assist by L. Galloway),2,27-35,,
7:10.0,,,27-35,,N. Mirotic misses 3-pt shot from 25 ft
7:09.0,,,27-35,,Offensive rebound by J. Noah
7:09.0,,,27-35,,J. Noah misses 2-pt shot from 2 ft
7:08.0,Defensive rebound by C. Aldrich,,27-35,,
6:56.0,Turnover by C. Aldrich (bad pass),,27-35,,
6:37.0,,,27-38,3,N. Mirotic makes 3-pt shot from 24 ft (assist by K. Hinrich)
6:17.0,A. Bargnani misses 2-pt shot from 17 ft,,27-38,,
6:16.0,,,27-38,,Defensive rebound by J. Noah
6:08.0,,,27-40,2,A. Brooks makes 2-pt shot from 2 ft
6:00.0,Turnover by R. Ledo (lost ball),,27-40,,
5:49.0,,,27-42,2,J. Noah makes 2-pt shot from 2 ft
5:48.0,New York full timeout,,27-42,,
5:48.0,L. Amundson enters the game for C. Aldrich,,27-42,,
5:48.0,S. Larkin enters the game for R. Ledo,,27-42,,
5:32.0,Shooting foul by J. Noah (drawn by L. Galloway),,27-42,,
5:32.0,L. Galloway makes free throw 1 of 2,1,28-42,,
5:32.0,L. Galloway misses free throw 2 of 2,,28-42,,
5:31.0,,,28-42,,Defensive rebound by J. Noah
5:07.0,,,28-42,,A. Brooks misses 2-pt shot from 16 ft
5:07.0,,,28-42,,Offensive rebound by Team
5:07.0,,,28-42,,Turnover by Team (shot clock)
4:52.0,L. Galloway misses 2-pt shot from 9 ft,,28-42,,
4:51.0,,,28-42,,Defensive rebound by T. Snell
4:29.0,,,28-45,3,N. Mirotic makes 3-pt shot from 26 ft
4:12.0,A. Bargnani makes 2-pt shot from 15 ft,2,30-45,,
4:02.0,Personal foul by A. Bargnani (drawn by N. Mirotic),,30-45,,
4:02.0,,,30-45,,P. Gasol enters the game for J. Noah
4:02.0,,,30-45,,J. Butler enters the game for K. Hinrich
3:49.0,,,30-47,2,J. Butler makes 2-pt shot from 2 ft (assist by P. Gasol)
3:32.0,L. Amundson misses 2-pt shot from 6 ft,,30-47,,
3:31.0,,,30-47,,Defensive rebound by N. Mirotic
3:22.0,,,30-47,,P. Gasol misses 2-pt shot from 20 ft
3:21.0,Defensive rebound by A. Bargnani,,30-47,,
3:01.0,L. Galloway misses 3-pt shot from 25 ft,,30-47,,
3:00.0,,,30-47,,Defensive rebound by A. Brooks
2:54.0,,,30-47,,N. Mirotic misses 3-pt shot from 24 ft
2:53.0,Defensive rebound by A. Bargnani,,30-47,,
2:36.0,Turnover by L. Amundson (bad pass; steal by J. Butler),,30-47,,
2:32.0,,,30-49,2,J. Butler makes 2-pt shot from 2 ft
2:17.0,Turnover by L. Thomas (bad pass; steal by N. Mirotic),,30-49,,
2:13.0,,,30-49,,Turnover by N. Mirotic (lost ball; steal by L. Thomas)
2:05.0,L. Thomas makes 2-pt shot from 17 ft (assist by S. Larkin),2,32-49,,
1:50.0,,,32-49,,P. Gasol misses 2-pt shot from 7 ft
1:49.0,Defensive rebound by L. Amundson,,32-49,,
1:39.0,S. Larkin misses 2-pt shot from 10 ft,,32-49,,
1:38.0,,,32-49,,Defensive rebound by P. Gasol
1:33.0,,,32-49,,A. Brooks misses 2-pt shot from 2 ft
1:32.0,,,32-49,,Offensive rebound by N. Mirotic
1:32.0,,,32-49,,N. Mirotic misses 2-pt shot from 2 ft
1:30.0,,,32-49,,Offensive rebound by T. Snell
1:27.0,,,32-52,3,A. Brooks makes 3-pt shot from 23 ft (assist by T. Snell)
1:26.0,New York full timeout,,32-52,,
1:26.0,,,32-52,,Chicago full timeout
1:26.0,C. Early enters the game for L. Amundson,,32-52,,
1:02.0,A. Bargnani misses 2-pt shot from 21 ft,,32-52,,
1:01.0,,,32-52,,Defensive rebound by N. Mirotic
0:48.0,,,32-52,,Shooting foul by C. Early (drawn by P. Gasol)
0:48.0,,,32-53,1,P. Gasol makes free throw 1 of 2
0:48.0,,,32-54,1,P. Gasol makes free throw 2 of 2
0:26.0,A. Bargnani makes 2-pt shot from 2 ft (assist by C. Early),2,34-54,,
0:05.0,,,34-54,,J. Butler misses 2-pt shot from 22 ft
0:04.0,Defensive rebound by A. Bargnani,,34-54,,
0:03.0,Turnover by C. Early (traveling),,34-54,,
0:03.0,R. Ledo enters the game for C. Early,,34-54,,
0:00.0,,,34-54,,N. Mirotic misses 3-pt shot from 25 ft
0:00.0,,,34-54,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,A. Bargnani makes 2-pt shot from 16 ft (assist by S. Larkin),2,36-54,,
11:33.0,,,36-54,,J. Butler misses 2-pt shot at rim
11:31.0,Defensive rebound by L. Galloway,,36-54,,
11:23.0,L. Galloway misses 2-pt shot from 18 ft,,36-54,,
11:22.0,Offensive rebound by L. Galloway,,36-54,,
11:09.0,L. Galloway makes 3-pt shot from 24 ft (assist by S. Larkin),3,39-54,,
10:53.0,Personal foul by L. Galloway (drawn by P. Gasol),,39-54,,
10:38.0,,,39-54,,P. Gasol misses 3-pt shot from 24 ft
10:37.0,Defensive rebound by L. Galloway,,39-54,,
10:30.0,S. Larkin misses 3-pt shot from 24 ft,,39-54,,
10:29.0,,,39-54,,Defensive rebound by P. Gasol
10:15.0,,,39-57,3,M. Dunleavy makes 3-pt shot from 24 ft (assist by P. Gasol)
9:54.0,L. Thomas misses 2-pt shot from 17 ft,,39-57,,
9:53.0,,,39-57,,Defensive rebound by P. Gasol
9:47.0,,,39-57,,Shooting foul by L. Galloway (drawn by J. Butler)
9:47.0,,,39-58,1,J. Butler makes free throw 1 of 2
9:47.0,,,39-59,1,J. Butler makes free throw 2 of 2
9:35.0,L. Galloway makes 2-pt shot from 22 ft (assist by A. Bargnani),2,41-59,,
9:13.0,,,41-59,,P. Gasol misses 2-pt shot from 6 ft
9:11.0,Defensive rebound by S. Larkin,,41-59,,
9:02.0,A. Bargnani makes 2-pt shot from 22 ft (assist by S. Larkin),2,43-59,,
8:33.0,,,43-61,2,A. Brooks makes 2-pt shot from 6 ft
8:22.0,Shooting foul by A. Brooks (drawn by S. Larkin),,43-61,,
8:22.0,S. Larkin makes free throw 1 of 2,1,44-61,,
8:22.0,S. Larkin makes free throw 2 of 2,1,45-61,,
8:10.0,,,45-61,,M. Dunleavy misses 2-pt shot from 3 ft
8:08.0,,,45-61,,Offensive rebound by J. Butler
8:00.0,,,45-63,2,M. Dunleavy makes 2-pt shot from 2 ft (assist by J. Butler)
7:47.0,Turnover by L. Amundson (bad pass; steal by J. Butler),,45-63,,
7:41.0,,,45-65,2,J. Butler makes 2-pt shot from 2 ft (assist by A. Brooks)
7:40.0,New York full timeout,,45-65,,
7:30.0,S. Larkin makes 2-pt shot from 3 ft,2,47-65,,
7:14.0,,,47-65,,M. Dunleavy misses 2-pt shot from 21 ft
7:13.0,Defensive rebound by A. Bargnani,,47-65,,
7:04.0,L. Amundson makes 2-pt shot from 4 ft (assist by S. Larkin),2,49-65,,
6:39.0,,,49-67,2,J. Noah makes 2-pt shot at rim (assist by J. Butler)
6:20.0,A. Bargnani misses 2-pt shot from 20 ft,,49-67,,
6:19.0,,,49-67,,Defensive rebound by P. Gasol
6:07.0,,,49-67,,J. Butler misses 2-pt shot from 2 ft (block by L. Amundson)
6:07.0,,,49-67,,Offensive rebound by Team
5:55.0,,,49-67,,M. Dunleavy misses 2-pt shot from 9 ft
5:52.0,,,49-67,,Offensive rebound by M. Dunleavy
5:37.0,,,49-67,,A. Brooks misses 2-pt shot from 2 ft
5:36.0,Defensive rebound by L. Amundson,,49-67,,
5:29.0,L. Galloway misses 2-pt shot from 22 ft,,49-67,,
5:28.0,,,49-67,,Defensive rebound by J. Noah
5:13.0,,,49-69,2,P. Gasol makes 2-pt shot from 6 ft
4:48.0,S. Larkin misses 2-pt shot from 3 ft (block by J. Butler),,49-69,,
4:45.0,,,49-69,,Defensive rebound by P. Gasol
4:40.0,,,49-69,,J. Butler misses 2-pt shot from 5 ft (block by L. Thomas)
4:39.0,Defensive rebound by S. Larkin,,49-69,,
4:33.0,Offensive charge foul by L. Thomas,,49-69,,
4:33.0,Turnover by L. Thomas (offensive foul),,49-69,,
4:33.0,,,49-69,,T. Gibson enters the game for J. Noah
4:33.0,R. Ledo enters the game for L. Amundson,,49-69,,
4:33.0,J. Smith enters the game for S. Larkin,,49-69,,
4:17.0,,,49-69,,Offensive foul by T. Gibson
4:17.0,,,49-69,,Turnover by T. Gibson (offensive foul)
3:59.0,Turnover by A. Bargnani (lost ball; steal by J. Butler),,49-69,,
3:57.0,,,49-69,,Shooting foul by L. Thomas (drawn by J. Butler)
3:57.0,,,49-70,1,J. Butler makes free throw 1 of 2
3:57.0,,,49-70,,K. Hinrich enters the game for A. Brooks
3:57.0,,,49-71,1,J. Butler makes free throw 2 of 2
3:46.0,Turnover by L. Thomas (bad pass; steal by J. Butler),,49-71,,
3:43.0,,,49-71,,Shooting foul by R. Ledo (drawn by J. Butler)
3:43.0,,,49-72,1,J. Butler makes free throw 1 of 2
3:43.0,,,49-73,1,J. Butler makes free throw 2 of 2
3:26.0,A. Bargnani makes 2-pt shot from 3 ft (assist by L. Galloway),2,51-73,,
3:10.0,,,51-73,,T. Gibson misses 2-pt shot from 3 ft
3:08.0,Defensive rebound by J. Smith,,51-73,,
3:01.0,J. Smith misses 2-pt shot from 18 ft,,51-73,,
3:00.0,,,51-73,,Defensive rebound by M. Dunleavy
2:47.0,,,51-75,2,P. Gasol makes 2-pt shot from 15 ft (assist by J. Butler)
2:34.0,A. Bargnani misses 2-pt shot from 19 ft,,51-75,,
2:33.0,,,51-75,,Defensive rebound by T. Gibson
2:26.0,,,51-77,2,P. Gasol makes 2-pt shot from 18 ft (assist by M. Dunleavy)
2:24.0,New York full timeout,,51-77,,
2:24.0,,,51-77,,Chicago full timeout
2:24.0,,,51-77,,N. Mirotic enters the game for J. Butler
2:24.0,C. Early enters the game for L. Thomas,,51-77,,
2:24.0,C. Aldrich enters the game for A. Bargnani,,51-77,,
1:59.0,Turnover by Team (shot clock),,51-77,,
1:46.0,,,51-79,2,T. Gibson makes 2-pt shot at rim (assist by P. Gasol)
1:33.0,R. Ledo makes 2-pt shot from 3 ft (assist by J. Smith),2,53-79,,
1:18.0,,,53-79,,P. Gasol misses 2-pt shot from 10 ft
1:17.0,,,53-79,,Offensive rebound by P. Gasol
1:17.0,,,53-79,,Turnover by P. Gasol (traveling)
1:00.0,L. Galloway misses 3-pt shot from 25 ft,,53-79,,
0:59.0,,,53-79,,Defensive rebound by T. Gibson
0:46.0,,,53-79,,Shooting foul by C. Early (drawn by N. Mirotic)
0:46.0,,,53-80,1,N. Mirotic makes free throw 1 of 3
0:46.0,,,53-81,1,N. Mirotic makes free throw 2 of 3
0:46.0,,,53-82,1,N. Mirotic makes free throw 3 of 3
0:30.0,L. Galloway misses 2-pt shot from 22 ft,,53-82,,
0:29.0,,,53-82,,Defensive rebound by Team
0:29.0,Loose ball foul by J. Smith (drawn by N. Mirotic),,53-82,,
0:29.0,,,53-83,1,N. Mirotic makes free throw 1 of 2
0:29.0,,,53-83,,T. Snell enters the game for P. Gasol
0:29.0,Q. Acy enters the game for C. Aldrich,,53-83,,
0:29.0,L. Thomas enters the game for C. Early,,53-83,,
0:29.0,,,53-84,1,N. Mirotic makes free throw 2 of 2
0:09.0,L. Thomas misses 2-pt shot from 9 ft,,53-84,,
0:06.0,Offensive rebound by J. Smith,,53-84,,
0:02.0,R. Ledo misses 3-pt shot from 25 ft,,53-84,,
0:01.0,,,53-84,,Defensive rebound by T. Gibson
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,53-86,2,T. Gibson makes 2-pt shot from 1 ft (assist by T. Snell)
11:30.0,Q. Acy makes 2-pt shot from 21 ft (assist by C. Early),2,55-86,,
11:15.0,,,55-88,2,N. Mirotic makes 2-pt shot from 18 ft (assist by T. Snell)
10:58.0,R. Ledo makes 2-pt shot from 2 ft,2,57-88,,
10:38.0,,,57-88,,Turnover by T. Snell (bad pass; steal by R. Ledo)
10:34.0,Turnover by R. Ledo (lost ball; steal by M. Dunleavy),,57-88,,
10:24.0,,,57-88,,Shooting foul by C. Early (drawn by T. Gibson)
10:24.0,,,57-89,1,T. Gibson makes free throw 1 of 2
10:24.0,L. Thomas enters the game for C. Early,,57-89,,
10:24.0,,,57-90,1,T. Gibson makes free throw 2 of 2
10:09.0,Q. Acy misses 2-pt shot from 20 ft,,57-90,,
10:08.0,,,57-90,,Defensive rebound by T. Gibson
10:02.0,Technical foul by J. Smith,,57-90,,
10:02.0,,,57-91,1,M. Dunleavy makes technical free throw
9:54.0,,,57-93,2,N. Mirotic makes 2-pt shot at rim (assist by K. Hinrich)
9:37.0,Q. Acy makes 2-pt shot from 1 ft (assist by S. Larkin),2,59-93,,
9:37.0,Shooting foul by N. Mirotic (drawn by Q. Acy),,59-93,,
9:37.0,Q. Acy makes free throw 1 of 1,1,60-93,,
9:15.0,,,60-93,,Turnover by N. Mirotic (lost ball; steal by Q. Acy)
8:57.0,L. Thomas misses 2-pt shot from 18 ft (block by T. Gibson),,60-93,,
8:55.0,Offensive rebound by Q. Acy,,60-93,,
8:50.0,S. Larkin misses 2-pt shot from 15 ft,,60-93,,
8:49.0,,,60-93,,Defensive rebound by T. Gibson
8:34.0,Violation by J. Smith (def goaltending),,60-93,,
8:34.0,,,60-95,2,M. Dunleavy makes 2-pt shot at rim (assist by N. Mirotic)
8:19.0,Shooting foul by T. Gibson (drawn by J. Smith),,60-95,,
8:19.0,New York full timeout,,60-95,,
8:19.0,,,60-95,,E. Moore enters the game for M. Dunleavy
8:19.0,J. Smith makes free throw 1 of 2,1,61-95,,
8:19.0,J. Smith makes free throw 2 of 2,1,62-95,,
8:06.0,,,62-95,,T. Snell misses 2-pt shot from 2 ft (block by J. Smith)
8:04.0,,,62-95,,Offensive rebound by T. Snell
8:02.0,,,62-95,,T. Snell misses 2-pt shot from 2 ft
8:00.0,,,62-95,,Offensive rebound by N. Mirotic
7:50.0,,,62-95,,K. Hinrich misses 3-pt shot from 24 ft
7:49.0,Defensive rebound by Q. Acy,,62-95,,
7:40.0,Q. Acy makes 2-pt shot from 19 ft (assist by S. Larkin),2,64-95,,
7:26.0,,,64-97,2,T. Gibson makes 2-pt shot at rim (assist by N. Mirotic)
7:16.0,Turnover by J. Smith (offensive foul),,64-97,,
7:16.0,Offensive foul by J. Smith,,64-97,,
7:05.0,,,64-97,,Offensive foul by T. Gibson
7:05.0,,,64-97,,Turnover by T. Gibson (offensive foul)
6:53.0,Shooting foul by E. Moore (drawn by Q. Acy),,64-97,,
6:53.0,Q. Acy makes free throw 1 of 2,1,65-97,,
6:53.0,Q. Acy makes free throw 2 of 2,1,66-97,,
6:35.0,,,66-97,,N. Mirotic misses 2-pt shot from 19 ft
6:34.0,Defensive rebound by J. Smith,,66-97,,
6:18.0,Q. Acy misses 3-pt shot from 26 ft,,66-97,,
6:17.0,Offensive rebound by J. Smith,,66-97,,
6:14.0,R. Ledo misses 3-pt shot from 24 ft,,66-97,,
6:13.0,,,66-97,,Defensive rebound by T. Snell
6:07.0,,,66-99,2,N. Mirotic makes 2-pt shot from 2 ft (assist by T. Snell)
6:04.0,,,66-99,,Violation by Team (delay of game)
5:56.0,,,66-99,,Personal foul by N. Mirotic (drawn by Q. Acy)
5:56.0,,,66-99,,Chicago full timeout
5:56.0,,,66-99,,N. Mohammed enters the game for K. Hinrich
5:56.0,C. Aldrich enters the game for L. Thomas,,66-99,,
5:56.0,C. Early enters the game for S. Larkin,,66-99,,
5:56.0,L. Galloway enters the game for J. Smith,,66-99,,
5:50.0,R. Ledo makes 3-pt shot from 25 ft (assist by Q. Acy),3,69-99,,
5:28.0,,,69-101,2,T. Gibson makes 2-pt shot from 17 ft (assist by E. Moore)
5:02.0,Q. Acy misses 2-pt shot from 4 ft (block by N. Mohammed),,69-101,,
5:01.0,Offensive rebound by C. Early,,69-101,,
5:01.0,C. Early misses 3-pt shot from 25 ft,,69-101,,
5:01.0,Offensive rebound by Team,,69-101,,
5:01.0,,,69-101,,Loose ball foul by N. Mohammed (drawn by C. Aldrich)
5:01.0,C. Aldrich makes free throw 1 of 2,1,70-101,,
5:01.0,C. Aldrich makes free throw 2 of 2,1,71-101,,
4:42.0,,,71-103,2,E. Moore makes 2-pt shot from 12 ft
4:18.0,C. Early makes 3-pt shot from 25 ft (assist by C. Aldrich),3,74-103,,
3:56.0,,,74-105,2,N. Mirotic makes 2-pt shot from 21 ft
3:37.0,R. Ledo misses 2-pt shot from 14 ft,,74-105,,
3:36.0,,,74-105,,Defensive rebound by N. Mirotic
3:19.0,,,74-105,,T. Gibson misses 2-pt shot from 3 ft (block by C. Aldrich)
3:19.0,,,74-105,,Offensive rebound by Team
3:10.0,,,74-107,2,T. Snell makes 2-pt shot from 19 ft (assist by E. Moore)
2:58.0,C. Aldrich misses 2-pt shot from 3 ft,,74-107,,
2:56.0,,,74-107,,Defensive rebound by N. Mohammed
2:44.0,,,74-109,2,T. Snell makes 2-pt shot from 21 ft
2:43.0,New York full timeout,,74-109,,
2:43.0,,,74-109,,C. Bairstow enters the game for N. Mirotic
2:23.0,C. Early makes 2-pt shot from 21 ft (assist by R. Ledo),2,76-109,,
2:00.0,,,76-109,,Turnover by T. Snell (bad pass; steal by C. Aldrich)
1:56.0,Shooting foul by T. Snell (drawn by C. Early),,76-109,,
1:56.0,C. Early makes free throw 1 of 2,1,77-109,,
1:56.0,C. Early makes free throw 2 of 2,1,78-109,,
1:39.0,,,78-109,,N. Mohammed misses 2-pt shot from 1 ft
1:38.0,,,78-109,,Offensive rebound by T. Gibson
1:38.0,,,78-111,2,T. Gibson makes 2-pt shot from 1 ft
1:12.0,Q. Acy misses 3-pt shot from 24 ft,,78-111,,
1:11.0,,,78-111,,Defensive rebound by T. Gibson
1:05.0,,,78-111,,Turnover by E. Moore (bad pass; steal by R. Ledo)
