time,Phoenix,pts.away,score,pts.home,Golden State
2:56.0,R. Bullock misses 3-pt shot from 26 ft,,36-44,,
2:55.0,,,36-44,,Defensive rebound by F. Ezeli
2:46.0,,,36-46,2,K. Thompson makes 2-pt shot from 16 ft
2:43.0,Phoenix full timeout,,36-46,,
2:43.0,T. Warren enters the game for R. Bullock,,36-46,,
2:43.0,,,36-46,,J. Holiday enters the game for S. Livingston
2:29.0,G. Green makes 3-pt shot from 25 ft (assist by E. Bledsoe),3,39-46,,
2:12.0,,,39-46,,F. Ezeli misses 2-pt shot at rim
2:10.0,Defensive rebound by B. Wright,,39-46,,
2:04.0,G. Green makes 2-pt shot from 13 ft,2,41-46,,
1:47.0,,,41-46,,S. Curry misses 2-pt shot from 10 ft
1:46.0,Defensive rebound by T. Warren,,41-46,,
1:40.0,Turnover by E. Bledsoe (lost ball; steal by J. Holiday),,41-46,,
1:33.0,,,41-48,2,J. Holiday makes 2-pt shot at rim (assist by K. Thompson)
1:13.0,B. Wright misses 2-pt shot from 2 ft,,41-48,,
1:13.0,,,41-48,,Defensive rebound by Team
1:00.0,,,41-51,3,S. Curry makes 3-pt shot from 23 ft (assist by K. Thompson)
0:51.0,,,41-51,,Personal foul by S. Curry (drawn by B. Wright)
0:51.0,B. Wright makes free throw 1 of 2,1,42-51,,
0:51.0,B. Wright makes free throw 2 of 2,1,43-51,,
0:40.0,,,43-53,2,S. Curry makes 2-pt shot from 1 ft
0:32.0,Shooting foul by F. Ezeli (drawn by B. Wright),,43-53,,
0:32.0,B. Wright misses free throw 1 of 2,,43-53,,
0:32.0,Offensive rebound by Team,,43-53,,
0:32.0,B. Wright makes free throw 2 of 2,1,44-53,,
0:12.0,,,44-55,2,F. Ezeli makes 2-pt shot at rim (assist by K. Thompson)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,M. Morris makes 3-pt shot from 22 ft (assist by E. Bledsoe),3,47-55,,
11:36.0,,,47-55,,K. Thompson misses 3-pt shot from 26 ft
11:35.0,Defensive rebound by M. Morris,,47-55,,
11:21.0,M. Morris makes 2-pt shot from 10 ft (assist by M. Morris),2,49-55,,
10:58.0,,,49-55,,H. Barnes misses 3-pt shot from 25 ft
10:57.0,Defensive rebound by B. Wright,,49-55,,
10:36.0,Turnover by P. Tucker (bad pass),,49-55,,
10:22.0,,,49-55,,D. Lee misses 2-pt shot from 8 ft
10:21.0,Defensive rebound by E. Bledsoe,,49-55,,
10:12.0,B. Wright makes 2-pt shot from 9 ft (assist by E. Bledsoe),2,51-55,,
9:59.0,,,51-57,2,S. Curry makes 2-pt shot from 14 ft
9:44.0,E. Bledsoe misses 2-pt shot from 22 ft,,51-57,,
9:43.0,Offensive rebound by B. Wright,,51-57,,
9:33.0,B. Wright makes 2-pt shot from 1 ft,2,53-57,,
9:20.0,,,53-60,3,S. Curry makes 3-pt shot from 24 ft (assist by A. Bogut)
9:10.0,,,53-60,,Personal foul by D. Lee (drawn by M. Morris)
8:54.0,M. Morris makes 2-pt shot from 14 ft,2,55-60,,
8:39.0,,,55-60,,S. Curry misses 2-pt shot from 16 ft
8:38.0,,,55-60,,Offensive rebound by D. Lee
8:29.0,,,55-60,,Turnover by S. Curry (bad pass; steal by P. Tucker)
8:26.0,Shooting foul by H. Barnes (drawn by P. Tucker),,55-60,,
8:26.0,P. Tucker makes free throw 1 of 2,1,56-60,,
8:26.0,P. Tucker makes free throw 2 of 2,1,57-60,,
8:15.0,,,57-60,,Turnover by A. Bogut (bad pass; steal by B. Wright)
8:11.0,Shooting foul by S. Curry (drawn by P. Tucker),,57-60,,
8:11.0,P. Tucker makes free throw 1 of 2,1,58-60,,
8:11.0,P. Tucker makes free throw 2 of 2,1,59-60,,
7:54.0,,,59-60,,H. Barnes misses 2-pt shot from 7 ft
7:53.0,,,59-60,,Offensive rebound by A. Bogut
7:53.0,,,59-62,2,A. Bogut makes 2-pt shot from 1 ft
7:27.0,M. Morris misses 2-pt shot from 13 ft,,59-62,,
7:26.0,,,59-62,,Defensive rebound by K. Thompson
7:16.0,,,59-62,,D. Lee misses 2-pt shot from 3 ft
7:15.0,Defensive rebound by E. Bledsoe,,59-62,,
7:02.0,E. Bledsoe misses 2-pt shot from 3 ft (block by K. Thompson),,59-62,,
7:00.0,,,59-62,,Defensive rebound by H. Barnes
6:57.0,,,59-64,2,S. Curry makes 2-pt shot from 21 ft (assist by H. Barnes)
6:48.0,Phoenix full timeout,,59-64,,
6:48.0,J. McNeal enters the game for M. Morris,,59-64,,
6:48.0,T. Warren enters the game for E. Bledsoe,,59-64,,
6:34.0,B. Wright misses 2-pt shot from 8 ft,,59-64,,
6:33.0,,,59-64,,Defensive rebound by D. Lee
6:24.0,,,59-64,,D. Lee misses 2-pt shot from 8 ft
6:23.0,Defensive rebound by P. Tucker,,59-64,,
6:06.0,J. McNeal makes 2-pt shot from 11 ft (assist by M. Morris),2,61-64,,
5:57.0,Personal foul by J. McNeal (drawn by S. Curry),,61-64,,
5:46.0,,,61-64,,A. Bogut misses 2-pt shot from 6 ft
5:45.0,Defensive rebound by T. Warren,,61-64,,
5:27.0,M. Morris misses 2-pt shot from 10 ft,,61-64,,
5:26.0,,,61-64,,Defensive rebound by S. Curry
5:22.0,,,61-64,,K. Thompson misses 3-pt shot from 26 ft
5:21.0,Defensive rebound by M. Morris,,61-64,,
5:02.0,P. Tucker makes 2-pt shot from 7 ft (assist by M. Morris),2,63-64,,
4:52.0,,,63-64,,Shooting foul by J. McNeal (drawn by S. Curry)
4:52.0,,,63-65,1,S. Curry makes free throw 1 of 2
4:52.0,,,63-65,,A. Iguodala enters the game for H. Barnes
4:52.0,,,63-65,,J. McAdoo enters the game for D. Lee
4:52.0,,,63-66,1,S. Curry makes free throw 2 of 2
4:29.0,Jump ball: A. Bogut vs. B. Wright (K. Thompson gains possession),,,,Jump ball: A. Bogut vs. B. Wright (K. Thompson gains possession)
4:29.0,Turnover by B. Wright (lost ball; steal by A. Bogut),,63-66,,
4:14.0,,,63-66,,S. Curry misses 2-pt shot from 8 ft
4:12.0,,,63-66,,Offensive rebound by A. Bogut
4:12.0,,,63-66,,A. Bogut misses 2-pt shot at rim
4:10.0,Defensive rebound by M. Morris,,63-66,,
4:07.0,J. McNeal misses 3-pt shot from 25 ft,,63-66,,
4:06.0,,,63-66,,Defensive rebound by A. Iguodala
4:00.0,,,63-66,,Shooting foul by M. Morris (drawn by A. Iguodala)
4:00.0,,,63-67,1,A. Iguodala makes free throw 1 of 2
4:00.0,E. Bledsoe enters the game for J. McNeal,,63-67,,
4:00.0,M. Morris enters the game for M. Morris,,63-67,,
4:00.0,,,63-67,,L. Barbosa enters the game for K. Thompson
4:00.0,,,63-68,1,A. Iguodala makes free throw 2 of 2
3:42.0,,,63-68,,Personal foul by S. Curry (drawn by E. Bledsoe)
3:42.0,E. Bledsoe makes free throw 1 of 2,1,64-68,,
3:42.0,,,64-68,,S. Livingston enters the game for S. Curry
3:42.0,E. Bledsoe makes free throw 2 of 2,1,65-68,,
3:32.0,,,65-68,,L. Barbosa misses 3-pt shot from 25 ft
3:32.0,Defensive rebound by Team,,65-68,,
3:12.0,M. Morris makes 2-pt shot from 11 ft (assist by E. Bledsoe),2,67-68,,
3:12.0,Shooting foul by A. Iguodala (drawn by M. Morris),,67-68,,
3:12.0,M. Morris misses free throw 1 of 1,,67-68,,
3:10.0,,,67-68,,Defensive rebound by J. McAdoo
2:58.0,,,67-70,2,A. Iguodala makes 2-pt shot from 17 ft
2:45.0,M. Morris misses 3-pt shot from 26 ft,,67-70,,
2:44.0,,,67-70,,Defensive rebound by S. Livingston
2:29.0,,,67-70,,Turnover by A. Iguodala (bad pass)
2:29.0,,,67-70,,Golden State full timeout
2:29.0,,,67-70,,M. Speights enters the game for A. Bogut
2:29.0,A. Goodwin enters the game for P. Tucker,,67-70,,
2:18.0,E. Bledsoe misses 2-pt shot from 14 ft,,67-70,,
2:17.0,Offensive rebound by B. Wright,,67-70,,
2:14.0,Turnover by M. Morris (step out of bounds),,67-70,,
2:05.0,Personal foul by A. Goodwin (drawn by J. McAdoo),,67-70,,
1:55.0,,,67-70,,L. Barbosa misses 3-pt shot from 23 ft
1:54.0,,,67-70,,Offensive rebound by S. Livingston
1:54.0,,,67-72,2,S. Livingston makes 2-pt shot at rim
1:27.0,M. Morris makes 2-pt shot from 16 ft,2,69-72,,
1:17.0,,,69-72,,M. Speights misses 2-pt shot from 1 ft
1:16.0,Defensive rebound by B. Wright,,69-72,,
1:08.0,B. Wright makes 2-pt shot at rim (assist by E. Bledsoe),2,71-72,,
0:46.0,,,71-75,3,L. Barbosa makes 3-pt shot from 24 ft (assist by A. Iguodala)
0:34.0,E. Bledsoe misses 3-pt shot from 25 ft,,71-75,,
0:32.0,,,71-75,,Defensive rebound by M. Speights
0:14.0,,,71-75,,S. Livingston misses 2-pt shot from 2 ft (block by B. Wright)
0:13.0,Defensive rebound by B. Wright,,71-75,,
0:10.0,Turnover by B. Wright (bad pass; steal by L. Barbosa),,71-75,,
0:04.0,,,71-77,2,L. Barbosa makes 2-pt shot from 1 ft
0:04.0,,,71-77,,Shooting foul by E. Bledsoe (drawn by L. Barbosa)
0:04.0,,,71-77,,L. Barbosa misses free throw 1 of 1
0:03.0,Defensive rebound by M. Morris,,71-77,,
0:01.0,M. Morris misses 3-pt shot from 60 ft,,71-77,,
0:00.0,Offensive rebound by Team,,71-77,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,,,71-79,2,J. McAdoo makes 2-pt shot at rim (assist by A. Iguodala)
11:16.0,E. Bledsoe makes 2-pt shot from 9 ft,2,73-79,,
11:16.0,Shooting foul by J. McAdoo (drawn by E. Bledsoe),,73-79,,
11:16.0,E. Bledsoe makes free throw 1 of 1,1,74-79,,
10:56.0,,,74-82,3,A. Iguodala makes 3-pt shot from 25 ft (assist by L. Barbosa)
10:41.0,,,74-82,,Personal foul by S. Livingston (drawn by P. Tucker)
10:41.0,M. Morris enters the game for B. Wright,,74-82,,
10:30.0,E. Bledsoe misses 3-pt shot from 26 ft,,74-82,,
10:29.0,Offensive rebound by Team,,74-82,,
10:09.0,T. Warren makes 2-pt shot from 1 ft (assist by E. Bledsoe),2,76-82,,
10:01.0,,,76-82,,M. Speights misses 2-pt shot from 18 ft
9:59.0,,,76-82,,Offensive rebound by J. McAdoo
9:54.0,,,76-82,,Offensive foul by M. Speights
9:54.0,,,76-82,,Turnover by M. Speights (offensive foul)
9:54.0,,,76-82,,Technical foul by Team
9:54.0,E. Bledsoe misses technical free throw,,76-82,,
9:54.0,Offensive rebound by Team,,76-82,,
9:42.0,P. Tucker misses 2-pt shot from 13 ft,,76-82,,
9:41.0,,,76-82,,Defensive rebound by M. Speights
9:28.0,,,76-84,2,J. McAdoo makes 2-pt shot from 2 ft (assist by S. Livingston)
9:15.0,Offensive foul by M. Morris,,76-84,,
9:15.0,Turnover by M. Morris (offensive foul),,76-84,,
9:15.0,Phoenix full timeout,,76-84,,
9:01.0,,,76-84,,S. Livingston misses 2-pt shot from 14 ft
9:00.0,Defensive rebound by P. Tucker,,76-84,,
8:34.0,M. Morris makes 2-pt shot from 15 ft (assist by T. Warren),2,78-84,,
8:22.0,Personal foul by E. Bledsoe (drawn by S. Livingston),,78-84,,
8:08.0,,,78-84,,S. Livingston misses 2-pt shot from 10 ft
8:07.0,,,78-84,,Offensive rebound by M. Speights
8:07.0,,,78-84,,M. Speights misses 2-pt shot from 1 ft
8:06.0,Defensive rebound by M. Morris,,78-84,,
7:57.0,A. Goodwin makes 2-pt shot from 1 ft (assist by E. Bledsoe),2,80-84,,
7:39.0,,,80-84,,M. Speights misses 2-pt shot from 1 ft
7:38.0,Defensive rebound by Team,,80-84,,
7:26.0,T. Warren makes 2-pt shot from 1 ft (assist by P. Tucker),2,82-84,,
7:26.0,,,82-84,,Golden State full timeout
7:26.0,,,82-84,,S. Curry enters the game for L. Barbosa
7:26.0,,,82-84,,K. Thompson enters the game for S. Livingston
7:08.0,,,82-84,,Turnover by A. Iguodala (bad pass; steal by A. Goodwin)
7:05.0,T. Warren makes 2-pt shot from 1 ft (assist by A. Goodwin),2,84-84,,
6:50.0,,,84-86,2,K. Thompson makes 2-pt shot from 17 ft (assist by S. Curry)
6:26.0,T. Warren makes 2-pt shot from 14 ft (assist by M. Morris),2,86-86,,
6:11.0,,,86-88,2,M. Speights makes 2-pt shot from 2 ft (assist by K. Thompson)
5:44.0,T. Warren misses 3-pt shot from 26 ft,,86-88,,
5:43.0,,,86-88,,Defensive rebound by S. Curry
5:37.0,,,86-88,,Turnover by S. Curry (bad pass; steal by E. Bledsoe)
5:33.0,T. Warren makes 2-pt shot from 1 ft (assist by P. Tucker),2,88-88,,
5:33.0,Shooting foul by A. Iguodala (drawn by T. Warren),,88-88,,
5:33.0,T. Warren makes free throw 1 of 1,1,89-88,,
5:25.0,,,89-91,3,S. Curry makes 3-pt shot from 26 ft
5:01.0,P. Tucker makes 3-pt shot from 22 ft (assist by E. Bledsoe),3,92-91,,
4:48.0,,,92-93,2,M. Speights makes 2-pt shot from 12 ft (assist by S. Curry)
4:32.0,A. Goodwin makes 2-pt shot at rim,2,94-93,,
4:24.0,Shooting block foul by M. Morris (drawn by J. McAdoo),,94-93,,
4:24.0,,,94-94,1,J. McAdoo makes free throw 1 of 2
4:24.0,,,94-94,,J. McAdoo misses free throw 2 of 2
4:22.0,Defensive rebound by T. Warren,,94-94,,
4:04.0,Turnover by M. Morris (lost ball; steal by J. McAdoo),,94-94,,
3:56.0,,,94-94,,S. Curry misses 3-pt shot from 26 ft
3:53.0,Defensive rebound by M. Morris,,94-94,,
3:49.0,,,94-94,,A. Bogut enters the game for M. Speights
3:49.0,,,94-94,,D. Lee enters the game for J. McAdoo
