time,San Antonio,pts.away,score,pts.home,LA Clippers
4:14.0,Defensive rebound by A. Baynes,,14-20,,
4:01.0,Shooting foul by D. Jordan (drawn by M. Ginobili),,14-20,,
4:01.0,M. Ginobili makes free throw 1 of 2,1,15-20,,
4:01.0,,,15-20,,G. Davis enters the game for D. Jordan
4:01.0,C. Joseph enters the game for T. Parker,,15-20,,
4:01.0,M. Ginobili misses free throw 2 of 2,,15-20,,
4:00.0,,,15-20,,Defensive rebound by B. Griffin
3:41.0,,,15-20,,J. Redick misses 3-pt shot from 25 ft
3:40.0,Defensive rebound by B. Diaw,,15-20,,
3:29.0,Offensive charge foul by M. Ginobili,,15-20,,
3:29.0,Turnover by M. Ginobili (offensive foul),,15-20,,
3:29.0,,,15-20,,A. Rivers enters the game for J. Redick
3:16.0,,,15-22,2,B. Griffin makes 2-pt shot from 18 ft (assist by C. Paul)
3:09.0,,,15-22,,Personal foul by C. Paul (drawn by C. Joseph)
3:09.0,C. Joseph misses free throw 1 of 2,,15-22,,
3:09.0,Offensive rebound by Team,,15-22,,
3:09.0,C. Joseph makes free throw 2 of 2,1,16-22,,
2:46.0,,,16-22,,Turnover by J. Crawford (bad pass)
2:30.0,B. Diaw misses 2-pt shot from 4 ft,,16-22,,
2:29.0,,,16-22,,Defensive rebound by G. Davis
2:18.0,,,16-24,2,C. Paul makes 2-pt shot from 3 ft
2:05.0,D. Green misses 2-pt shot from 2 ft,,16-24,,
2:03.0,,,16-24,,Defensive rebound by G. Davis
1:55.0,,,16-24,,B. Griffin misses 2-pt shot from 19 ft
1:54.0,Defensive rebound by M. Ginobili,,16-24,,
1:44.0,Turnover by A. Baynes (lost ball; steal by C. Paul),,16-24,,
1:37.0,,,16-24,,Turnover by C. Paul (lost ball; steal by M. Ginobili)
1:31.0,D. Green misses 3-pt shot from 25 ft,,16-24,,
1:29.0,,,16-24,,Defensive rebound by G. Davis
1:19.0,,,16-24,,LA Clippers full timeout
1:19.0,,,16-24,,H. Turkoglu enters the game for C. Paul
1:12.0,,,16-27,3,J. Crawford makes 3-pt shot from 26 ft
0:55.0,A. Baynes misses 2-pt shot from 6 ft,,16-27,,
0:54.0,Offensive rebound by M. Ginobili,,16-27,,
0:49.0,,,16-27,,Personal foul by G. Davis (drawn by M. Ginobili)
0:49.0,M. Ginobili misses free throw 1 of 2,,16-27,,
0:49.0,Offensive rebound by Team,,16-27,,
0:49.0,M. Bonner enters the game for A. Baynes,,16-27,,
0:49.0,,,16-27,,S. Hawes enters the game for B. Griffin
0:49.0,M. Ginobili makes free throw 2 of 2,1,17-27,,
0:31.0,,,17-27,,Shooting foul by M. Bonner (drawn by G. Davis)
0:31.0,,,17-28,1,G. Davis makes free throw 1 of 2
0:31.0,M. Belinelli enters the game for D. Green,,17-28,,
0:31.0,,,17-28,,G. Davis misses free throw 2 of 2
0:31.0,Defensive rebound by M. Ginobili,,17-28,,
0:12.0,,,17-28,,Personal foul by S. Hawes (drawn by B. Diaw)
0:12.0,B. Diaw misses free throw 1 of 2,,17-28,,
0:12.0,Offensive rebound by Team,,17-28,,
0:12.0,A. Baynes enters the game for M. Bonner,,17-28,,
0:12.0,,,17-28,,J. Redick enters the game for G. Davis
0:12.0,P. Mills enters the game for M. Belinelli,,17-28,,
0:12.0,B. Diaw makes free throw 2 of 2,1,18-28,,
0:01.0,,,18-30,2,J. Crawford makes 2-pt shot from 9 ft
0:01.0,M. Ginobili misses 3-pt shot from 42 ft,,18-30,,
0:00.0,Offensive rebound by Team,,18-30,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,P. Mills makes 3-pt shot from 25 ft (assist by M. Ginobili),3,21-30,,
11:35.0,,,21-30,,Offensive foul by G. Davis
11:35.0,,,21-30,,Turnover by G. Davis (offensive foul)
11:12.0,B. Diaw makes 2-pt shot from 8 ft (assist by M. Ginobili),2,23-30,,
10:56.0,,,23-30,,G. Davis misses 2-pt shot from 3 ft
10:55.0,Defensive rebound by T. Duncan,,23-30,,
10:42.0,B. Diaw makes 2-pt shot from 1 ft (assist by M. Ginobili),2,25-30,,
10:28.0,,,25-30,,J. Crawford misses 2-pt shot from 20 ft
10:27.0,Defensive rebound by M. Belinelli,,25-30,,
10:17.0,T. Duncan misses 2-pt shot from 9 ft,,25-30,,
10:17.0,Offensive rebound by Team,,25-30,,
10:17.0,,,25-30,,D. Jordan enters the game for S. Hawes
10:17.0,,,25-30,,B. Griffin enters the game for G. Davis
10:09.0,M. Ginobili makes 3-pt shot from 25 ft (assist by M. Belinelli),3,28-30,,
10:09.0,,,28-30,,LA Clippers full timeout
10:09.0,,,28-30,,J. Redick enters the game for H. Turkoglu
10:09.0,,,28-30,,C. Paul enters the game for A. Rivers
10:09.0,T. Parker enters the game for P. Mills,,28-30,,
9:48.0,,,28-30,,J. Crawford misses 2-pt shot from 20 ft
9:44.0,Defensive rebound by T. Duncan,,28-30,,
9:38.0,B. Diaw misses 2-pt shot from 10 ft,,28-30,,
9:37.0,,,28-30,,Defensive rebound by D. Jordan
9:17.0,,,28-30,,Shooting foul by B. Diaw (drawn by D. Jordan)
9:17.0,,,28-30,,D. Jordan misses free throw 1 of 2
9:17.0,,,28-30,,Offensive rebound by Team
9:17.0,K. Leonard enters the game for M. Ginobili,,28-30,,
9:17.0,,,28-30,,M. Barnes enters the game for J. Crawford
9:17.0,,,28-31,1,D. Jordan makes free throw 2 of 2
8:53.0,B. Diaw misses 2-pt shot from 13 ft,,28-31,,
8:51.0,,,28-31,,Defensive rebound by B. Griffin
8:42.0,,,28-33,2,B. Griffin makes 2-pt shot from 11 ft (assist by C. Paul)
8:21.0,K. Leonard makes 2-pt shot from 11 ft (assist by B. Diaw),2,30-33,,
8:15.0,Personal foul by B. Diaw (drawn by B. Griffin),,30-33,,
8:10.0,,,30-33,,C. Paul misses 2-pt shot from 19 ft
8:09.0,Defensive rebound by M. Belinelli,,30-33,,
8:00.0,B. Diaw misses 3-pt shot from 25 ft,,30-33,,
7:59.0,,,30-33,,Defensive rebound by M. Barnes
7:44.0,,,30-35,2,J. Redick makes 2-pt shot from 21 ft (assist by B. Griffin)
7:25.0,M. Belinelli makes 3-pt shot from 25 ft (assist by T. Duncan),3,33-35,,
7:19.0,Personal foul by T. Parker (drawn by C. Paul),,33-35,,
7:19.0,A. Baynes enters the game for B. Diaw,,33-35,,
7:13.0,,,33-35,,J. Redick misses 2-pt shot from 22 ft
7:12.0,Defensive rebound by T. Parker,,33-35,,
7:06.0,Shooting foul by C. Paul (drawn by T. Parker),,33-35,,
7:06.0,T. Parker makes free throw 1 of 2,1,34-35,,
7:06.0,T. Parker makes free throw 2 of 2,1,35-35,,
6:52.0,,,35-35,,C. Paul misses 2-pt shot from 14 ft
6:51.0,Defensive rebound by T. Duncan,,35-35,,
6:37.0,Turnover by M. Belinelli (bad pass; steal by M. Barnes),,35-35,,
6:22.0,,,35-35,,B. Griffin misses 2-pt shot from 6 ft (block by T. Duncan)
6:21.0,,,35-35,,Offensive rebound by M. Barnes
6:15.0,,,35-35,,M. Barnes misses 2-pt shot from 17 ft
6:14.0,Defensive rebound by K. Leonard,,35-35,,
6:05.0,T. Duncan makes 2-pt shot from 2 ft (assist by A. Baynes),2,37-35,,
5:45.0,,,37-35,,Shooting foul by T. Duncan (drawn by D. Jordan)
5:45.0,Official timeout,,37-35,,
5:45.0,,,37-35,,D. Jordan misses free throw 1 of 2
5:45.0,,,37-35,,Offensive rebound by Team
5:45.0,,,37-35,,D. Jordan misses free throw 2 of 2
5:43.0,,,37-35,,Offensive rebound by B. Griffin
5:39.0,,,37-37,2,C. Paul makes 2-pt shot from 15 ft (assist by B. Griffin)
5:20.0,K. Leonard misses 2-pt shot from 10 ft,,37-37,,
5:19.0,,,37-37,,Defensive rebound by C. Paul
5:10.0,,,37-37,,D. Jordan misses 2-pt shot from 2 ft
5:08.0,Defensive rebound by A. Baynes,,37-37,,
5:01.0,M. Belinelli misses 3-pt shot from 25 ft,,37-37,,
5:00.0,,,37-37,,Defensive rebound by D. Jordan
4:52.0,,,37-37,,C. Paul misses 2-pt shot from 2 ft
4:51.0,Defensive rebound by T. Parker,,37-37,,
4:28.0,T. Duncan misses 2-pt shot from 15 ft,,37-37,,
4:27.0,,,37-37,,Defensive rebound by D. Jordan
4:22.0,Personal foul by T. Duncan (drawn by B. Griffin),,37-37,,
4:22.0,,,37-38,1,B. Griffin makes free throw 1 of 2
4:22.0,,,37-38,,J. Crawford enters the game for M. Barnes
4:22.0,San Antonio full timeout,,37-38,,
4:22.0,B. Diaw enters the game for A. Baynes,,37-38,,
4:22.0,,,37-39,1,B. Griffin makes free throw 2 of 2
4:08.0,,,37-39,,Personal foul by C. Paul (drawn by T. Parker)
4:08.0,,,37-39,,A. Rivers enters the game for C. Paul
4:00.0,Offensive foul by T. Duncan,,37-39,,
4:00.0,Turnover by T. Duncan (offensive foul),,37-39,,
4:00.0,A. Baynes enters the game for T. Duncan,,37-39,,
3:47.0,,,37-41,2,A. Rivers makes 2-pt shot from 9 ft
3:28.0,T. Parker misses 2-pt shot from 9 ft,,37-41,,
3:27.0,,,37-41,,Defensive rebound by D. Jordan
3:11.0,,,37-41,,Turnover by A. Rivers (bad pass; steal by K. Leonard)
3:04.0,Turnover by K. Leonard (bad pass; steal by B. Griffin),,37-41,,
2:56.0,,,37-43,2,J. Crawford makes 2-pt shot from 8 ft
2:30.0,Turnover by Team (shot clock),,37-43,,
2:30.0,M. Ginobili enters the game for M. Belinelli,,37-43,,
2:22.0,,,37-45,2,J. Crawford makes 2-pt shot from 18 ft
2:08.0,B. Diaw misses 3-pt shot from 25 ft,,37-45,,
2:05.0,Offensive rebound by A. Baynes,,37-45,,
1:54.0,M. Ginobili misses 2-pt shot from 7 ft (block by D. Jordan),,37-45,,
1:54.0,Offensive rebound by Team,,37-45,,
1:46.0,T. Parker misses 3-pt shot from 25 ft,,37-45,,
1:44.0,Offensive rebound by K. Leonard,,37-45,,
1:37.0,,,37-45,,Violation by D. Jordan (def goaltending)
1:37.0,K. Leonard makes 2-pt shot from 4 ft,2,39-45,,
1:34.0,Personal take foul by A. Baynes (drawn by D. Jordan),,39-45,,
1:34.0,,,39-45,,D. Jordan misses free throw 1 of 2
1:34.0,,,39-45,,Offensive rebound by Team
1:34.0,P. Mills enters the game for T. Parker,,39-45,,
1:34.0,,,39-45,,D. Jordan misses free throw 2 of 2
1:32.0,Defensive rebound by K. Leonard,,39-45,,
1:12.0,K. Leonard makes 2-pt shot from 20 ft,2,41-45,,
1:05.0,Personal take foul by P. Mills (drawn by D. Jordan),,41-45,,
1:05.0,,,41-45,,D. Jordan misses free throw 1 of 2
1:05.0,,,41-45,,Offensive rebound by Team
1:05.0,,,41-46,1,D. Jordan makes free throw 2 of 2
0:51.0,B. Diaw misses 2-pt shot from 3 ft,,41-46,,
0:49.0,Offensive rebound by B. Diaw,,41-46,,
0:49.0,A. Baynes makes 2-pt shot at rim (assist by B. Diaw),2,43-46,,
0:46.0,Personal take foul by A. Baynes (drawn by D. Jordan),,43-46,,
0:46.0,,,43-47,1,D. Jordan makes free throw 1 of 2
0:46.0,,,43-47,,D. Jordan misses free throw 2 of 2
0:45.0,Defensive rebound by A. Baynes,,43-47,,
0:26.0,M. Ginobili misses 2-pt shot from 4 ft,,43-47,,
0:25.0,,,43-47,,Defensive rebound by J. Redick
0:24.0,Personal take foul by P. Mills (drawn by D. Jordan),,43-47,,
0:24.0,,,43-48,1,D. Jordan makes free throw 1 of 2
0:24.0,,,43-49,1,D. Jordan makes free throw 2 of 2
0:20.0,,,43-49,,Personal take foul by A. Rivers (drawn by P. Mills)
0:20.0,,,43-49,,G. Davis enters the game for D. Jordan
0:20.0,M. Bonner enters the game for A. Baynes,,43-49,,
0:20.0,,,43-49,,D. Jones enters the game for J. Crawford
0:04.0,M. Ginobili misses 3-pt shot from 26 ft,,43-49,,
0:01.0,,,43-49,,Defensive rebound by B. Griffin
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,T. Duncan misses 2-pt shot from 18 ft,,43-49,,
11:36.0,Offensive rebound by D. Green,,43-49,,
11:27.0,T. Splitter misses 2-pt shot from 1 ft,,43-49,,
11:26.0,,,43-49,,Defensive rebound by Team
11:21.0,,,43-49,,Turnover by M. Barnes (bad pass; steal by D. Green)
11:14.0,D. Green misses 3-pt shot from 27 ft,,43-49,,
11:13.0,Offensive rebound by T. Splitter,,43-49,,
11:11.0,T. Splitter misses 2-pt shot from 1 ft (block by D. Jordan),,43-49,,
11:08.0,Offensive rebound by K. Leonard,,43-49,,
11:05.0,K. Leonard misses 2-pt shot from 5 ft,,43-49,,
11:04.0,,,43-49,,Defensive rebound by J. Redick
11:02.0,,,43-51,2,D. Jordan makes 2-pt shot at rim (assist by J. Redick)
10:36.0,D. Green misses 3-pt shot from 26 ft,,43-51,,
10:35.0,,,43-51,,Defensive rebound by B. Griffin
10:28.0,,,43-51,,D. Jordan misses 2-pt shot at rim
10:26.0,,,43-51,,Offensive rebound by D. Jordan
10:24.0,,,43-51,,Turnover by D. Jordan (lost ball; steal by K. Leonard)
10:19.0,T. Parker makes 2-pt shot from 1 ft (assist by D. Green),2,45-51,,
10:14.0,,,45-51,,C. Paul misses 2-pt shot from 2 ft
10:10.0,Defensive rebound by T. Duncan,,45-51,,
10:08.0,T. Duncan misses 2-pt shot from 1 ft (block by B. Griffin),,45-51,,
10:08.0,Offensive rebound by T. Splitter,,45-51,,
10:08.0,Shooting foul by J. Redick (drawn by T. Splitter),,45-51,,
10:08.0,T. Splitter misses free throw 1 of 2,,45-51,,
10:08.0,Offensive rebound by Team,,45-51,,
10:08.0,T. Splitter misses free throw 2 of 2,,45-51,,
10:06.0,Offensive rebound by T. Duncan,,45-51,,
9:59.0,T. Duncan misses 2-pt shot from 1 ft,,45-51,,
9:57.0,Offensive rebound by T. Duncan,,45-51,,
9:40.0,T. Splitter makes 2-pt shot from 1 ft (assist by K. Leonard),2,47-51,,
9:27.0,,,47-51,,Offensive foul by J. Redick
9:27.0,,,47-51,,Turnover by J. Redick (offensive foul)
9:10.0,T. Parker misses 2-pt shot from 10 ft,,47-51,,
9:09.0,,,47-51,,Defensive rebound by B. Griffin
9:01.0,,,47-51,,Shooting foul by T. Splitter (drawn by B. Griffin)
9:01.0,,,47-51,,B. Griffin misses free throw 1 of 2
9:01.0,,,47-51,,Offensive rebound by Team
9:01.0,,,47-52,1,B. Griffin makes free throw 2 of 2
8:42.0,D. Green misses 2-pt shot from 5 ft,,47-52,,
8:41.0,,,47-52,,Defensive rebound by D. Jordan
8:34.0,,,47-52,,J. Redick misses 2-pt shot from 21 ft
8:33.0,Defensive rebound by T. Duncan,,47-52,,
8:23.0,T. Parker misses 2-pt shot from 9 ft,,47-52,,
8:22.0,,,47-52,,Defensive rebound by B. Griffin
8:16.0,,,47-54,2,C. Paul makes 2-pt shot from 12 ft
7:57.0,Turnover by T. Parker (lost ball; steal by B. Griffin),,47-54,,
7:51.0,,,47-54,,B. Griffin misses 2-pt shot from 2 ft
7:51.0,Defensive rebound by Team,,47-54,,
7:26.0,T. Parker makes 2-pt shot from 19 ft,2,49-54,,
7:20.0,,,49-54,,Shooting foul by T. Splitter (drawn by B. Griffin)
7:20.0,,,49-54,,B. Griffin misses free throw 1 of 2
7:20.0,,,49-54,,Offensive rebound by Team
7:20.0,A. Baynes enters the game for T. Splitter,,49-54,,
7:20.0,,,49-55,1,B. Griffin makes free throw 2 of 2
7:07.0,T. Parker makes 2-pt shot from 8 ft,2,51-55,,
6:55.0,,,51-57,2,C. Paul makes 2-pt shot from 1 ft
6:43.0,T. Parker makes 2-pt shot from 20 ft,2,53-57,,
6:20.0,,,53-59,2,B. Griffin makes 2-pt shot at rim
6:04.0,,,53-59,,Personal foul by B. Griffin (drawn by A. Baynes)
5:59.0,T. Parker misses 2-pt shot from 14 ft,,53-59,,
5:58.0,,,53-59,,Defensive rebound by C. Paul
5:47.0,,,53-59,,B. Griffin misses 2-pt shot from 16 ft
5:46.0,Defensive rebound by K. Leonard,,53-59,,
5:36.0,Shooting foul by D. Jordan (drawn by D. Green),,53-59,,
5:36.0,,,53-59,,LA Clippers full timeout
5:36.0,C. Joseph enters the game for T. Parker,,53-59,,
5:36.0,B. Diaw enters the game for T. Duncan,,53-59,,
5:36.0,D. Green misses free throw 1 of 2,,53-59,,
5:36.0,Offensive rebound by Team,,53-59,,
5:36.0,D. Green makes free throw 2 of 2,1,54-59,,
5:25.0,,,54-59,,J. Redick misses 3-pt shot from 23 ft
5:24.0,,,54-59,,Offensive rebound by Team
5:24.0,M. Ginobili enters the game for D. Green,,54-59,,
5:19.0,Violation by K. Leonard (kicked ball),,54-59,,
4:58.0,,,54-62,3,M. Barnes makes 3-pt shot from 23 ft (assist by B. Griffin)
4:41.0,Jump ball: M. Barnes vs. A. Baynes (C. Joseph gains possession),,,,Jump ball: M. Barnes vs. A. Baynes (C. Joseph gains possession)
4:34.0,C. Joseph misses 2-pt shot from 16 ft,,54-62,,
4:33.0,,,54-62,,Defensive rebound by B. Griffin
4:25.0,,,54-62,,B. Griffin misses 2-pt shot from 2 ft
4:24.0,Defensive rebound by M. Ginobili,,54-62,,
4:21.0,Turnover by K. Leonard (bad pass; steal by C. Paul),,54-62,,
4:15.0,,,54-62,,J. Redick misses 3-pt shot from 25 ft
4:14.0,,,54-62,,Offensive rebound by Team
4:14.0,Loose ball foul by A. Baynes (drawn by B. Griffin),,54-62,,
4:14.0,,,54-62,,J. Crawford enters the game for J. Redick
4:01.0,,,54-64,2,B. Griffin makes 2-pt shot at rim (assist by C. Paul)
3:42.0,A. Baynes misses 2-pt shot from 1 ft,,54-64,,
3:41.0,,,54-64,,Defensive rebound by D. Jordan
3:41.0,Jump ball: D. Jordan vs. K. Leonard (M. Barnes gains possession),,,,Jump ball: D. Jordan vs. K. Leonard (M. Barnes gains possession)
3:33.0,,,54-64,,Shooting foul by C. Joseph (drawn by C. Paul)
3:33.0,,,54-65,1,C. Paul makes free throw 1 of 2
3:33.0,,,54-65,,G. Davis enters the game for D. Jordan
3:33.0,,,54-66,1,C. Paul makes free throw 2 of 2
3:12.0,Turnover by B. Diaw (lost ball; steal by M. Barnes),,54-66,,
3:05.0,,,54-66,,Turnover by M. Barnes (lost ball; steal by K. Leonard)
2:59.0,M. Ginobili makes 3-pt shot from 24 ft (assist by K. Leonard),3,57-66,,
2:43.0,,,57-68,2,B. Griffin makes 2-pt shot from 3 ft
2:33.0,B. Diaw misses 2-pt shot from 3 ft,,57-68,,
2:32.0,,,57-68,,Defensive rebound by M. Barnes
2:26.0,,,57-71,3,C. Paul makes 3-pt shot from 25 ft
2:13.0,K. Leonard makes 2-pt shot from 7 ft (assist by M. Ginobili),2,59-71,,
2:02.0,Personal foul by C. Joseph (drawn by C. Paul),,59-71,,
2:02.0,San Antonio full timeout,,59-71,,
2:02.0,,,59-71,,C. Paul misses free throw 1 of 2
2:02.0,,,59-71,,Offensive rebound by Team
2:02.0,,,59-72,1,C. Paul makes free throw 2 of 2
1:47.0,M. Ginobili misses 2-pt shot from 1 ft,,59-72,,
1:46.0,Offensive rebound by A. Baynes,,59-72,,
1:43.0,A. Baynes misses 2-pt shot from 1 ft (block by B. Griffin),,59-72,,
1:42.0,,,59-72,,Defensive rebound by G. Davis
1:36.0,,,59-75,3,J. Crawford makes 3-pt shot from 25 ft (assist by C. Paul)
1:26.0,K. Leonard misses 2-pt shot from 23 ft,,59-75,,
1:25.0,Offensive rebound by B. Diaw,,59-75,,
1:19.0,K. Leonard makes 2-pt shot from 2 ft (assist by M. Ginobili),2,61-75,,
1:02.0,,,61-77,2,B. Griffin makes 2-pt shot at rim
0:47.0,A. Baynes misses 2-pt shot from 1 ft (block by B. Griffin),,61-77,,
0:44.0,,,61-77,,Defensive rebound by C. Paul
0:42.0,,,61-79,2,C. Paul makes 2-pt shot from 1 ft
0:40.0,,,61-79,,Personal foul by G. Davis (drawn by A. Baynes)
0:40.0,P. Mills enters the game for C. Joseph,,61-79,,
0:40.0,,,61-79,,A. Rivers enters the game for C. Paul
0:34.0,Shooting foul by M. Barnes (drawn by K. Leonard),,61-79,,
0:34.0,K. Leonard misses free throw 1 of 2,,61-79,,
0:34.0,Offensive rebound by Team,,61-79,,
0:34.0,,,61-79,,C. Paul enters the game for G. Davis
0:34.0,K. Leonard misses free throw 2 of 2,,61-79,,
0:33.0,Offensive rebound by Team,,61-79,,
0:33.0,,,61-79,,G. Davis enters the game for C. Paul
0:31.0,B. Diaw misses 3-pt shot from 25 ft,,61-79,,
0:29.0,,,61-79,,Defensive rebound by Team
0:29.0,,,61-79,,C. Paul enters the game for G. Davis
0:07.0,,,61-79,,C. Paul misses 3-pt shot from 30 ft
0:05.0,Defensive rebound by M. Ginobili,,61-79,,
0:00.0,K. Leonard makes 3-pt shot from 25 ft (assist by M. Ginobili),3,64-79,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:37.0,,,64-81,2,G. Davis makes 2-pt shot from 7 ft
11:24.0,M. Ginobili misses 3-pt shot from 24 ft (block by J. Crawford),,64-81,,
11:22.0,,,64-81,,Defensive rebound by D. Jordan
11:20.0,,,64-81,,Turnover by D. Jordan (bad pass; steal by M. Ginobili)
11:13.0,P. Mills makes 3-pt shot from 24 ft (assist by K. Leonard),3,67-81,,
10:58.0,,,67-84,3,J. Crawford makes 3-pt shot from 26 ft
10:47.0,M. Ginobili makes 2-pt shot from 1 ft,2,69-84,,
10:26.0,,,69-84,,A. Rivers misses 2-pt shot from 2 ft (block by B. Diaw)
10:26.0,,,69-84,,Offensive rebound by A. Rivers
10:26.0,Personal foul by M. Ginobili (drawn by A. Rivers),,69-84,,
10:17.0,,,69-86,2,J. Crawford makes 2-pt shot from 21 ft
10:06.0,,,69-86,,Personal foul by J. Crawford (drawn by M. Ginobili)
10:06.0,D. Green enters the game for M. Ginobili,,69-86,,
9:55.0,P. Mills makes 3-pt shot from 25 ft (assist by B. Diaw),3,72-86,,
9:41.0,,,72-86,,A. Rivers misses 2-pt shot from 2 ft
9:40.0,Defensive rebound by P. Mills,,72-86,,
9:35.0,P. Mills misses 3-pt shot from 24 ft,,72-86,,
9:32.0,Offensive rebound by T. Duncan,,72-86,,
