time,Cleveland,pts.away,score,pts.home,San Antonio
3:39.0,Cleveland full timeout,,73-80,,
3:39.0,I. Shumpert enters the game for L. James,,73-80,,
3:39.0,,,73-80,,M. Belinelli enters the game for K. Leonard
3:21.0,I. Shumpert misses 3-pt shot from 23 ft,,73-80,,
3:21.0,Offensive rebound by Team,,73-80,,
3:21.0,,,73-80,,Loose ball foul by T. Duncan (drawn by T. Thompson)
3:06.0,K. Irving misses 2-pt shot from 1 ft,,73-80,,
3:05.0,Offensive rebound by T. Thompson,,73-80,,
3:05.0,T. Thompson misses 2-pt shot from 1 ft,,73-80,,
3:04.0,,,73-80,,Defensive rebound by T. Duncan
2:54.0,,,73-80,,T. Duncan misses 2-pt shot from 2 ft
2:53.0,,,73-80,,Offensive rebound by Team
2:53.0,,,73-80,,Turnover by T. Duncan (traveling)
2:36.0,T. Thompson makes 2-pt shot from 4 ft (assist by K. Irving),2,75-80,,
2:26.0,Personal foul by K. Irving (drawn by B. Diaw),,75-80,,
2:11.0,,,75-82,2,B. Diaw makes 2-pt shot from 10 ft
1:55.0,Offensive foul by I. Shumpert,,75-82,,
1:55.0,Turnover by I. Shumpert (offensive foul),,75-82,,
1:35.0,,,75-82,,M. Belinelli misses 3-pt shot from 25 ft
1:33.0,Defensive rebound by J. Smith,,75-82,,
1:30.0,,,75-82,,Personal foul by M. Ginobili (drawn by J. Smith)
1:30.0,J. Jones enters the game for K. Love,,75-82,,
1:14.0,I. Shumpert misses 3-pt shot from 26 ft,,75-82,,
1:13.0,,,75-82,,Defensive rebound by T. Parker
1:08.0,,,75-82,,T. Parker misses 2-pt shot from 2 ft (block by I. Shumpert)
1:07.0,Defensive rebound by Team,,75-82,,
0:56.0,K. Irving makes 2-pt shot from 10 ft,2,77-82,,
0:44.0,,,77-82,,T. Parker misses 3-pt shot from 23 ft
0:44.0,Defensive rebound by Team,,77-82,,
0:44.0,,,77-82,,Loose ball foul by B. Diaw (drawn by J. Jones)
0:44.0,J. Jones makes free throw 1 of 2,1,78-82,,
0:44.0,,,78-82,,P. Mills enters the game for T. Parker
0:44.0,,,78-82,,D. Green enters the game for M. Ginobili
0:44.0,J. Jones makes free throw 2 of 2,1,79-82,,
0:29.0,,,79-84,2,T. Duncan makes 2-pt shot at rim (assist by P. Mills)
0:06.0,J. Smith misses 3-pt shot from 23 ft,,79-84,,
0:04.0,,,79-84,,Defensive rebound by B. Diaw
0:00.0,,,79-84,,B. Diaw misses 3-pt shot from 29 ft
0:00.0,,,79-84,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,Personal foul by J. Jones (drawn by T. Splitter),,79-84,,
11:31.0,,,79-84,,T. Splitter misses 2-pt shot from 1 ft
11:30.0,,,79-84,,Offensive rebound by K. Leonard
11:30.0,Personal foul by T. Thompson (drawn by K. Leonard),,79-84,,
11:15.0,,,79-86,2,B. Diaw makes 2-pt shot from 7 ft
10:59.0,Shooting foul by B. Diaw (drawn by L. James),,79-86,,
10:59.0,L. James makes free throw 1 of 2,1,80-86,,
10:59.0,L. James makes free throw 2 of 2,1,81-86,,
10:38.0,,,81-86,,K. Leonard misses 2-pt shot from 14 ft
10:37.0,Defensive rebound by I. Shumpert,,81-86,,
10:18.0,L. James misses 3-pt shot from 24 ft,,81-86,,
10:17.0,,,81-86,,Defensive rebound by K. Leonard
10:06.0,,,81-86,,D. Green misses 3-pt shot from 25 ft
10:05.0,,,81-86,,Offensive rebound by T. Splitter
10:04.0,,,81-86,,Shooting foul by J. Jones (drawn by T. Splitter)
10:04.0,,,81-87,1,T. Splitter makes free throw 1 of 2
10:04.0,,,81-87,,M. Belinelli enters the game for B. Diaw
10:04.0,,,81-88,1,T. Splitter makes free throw 2 of 2
9:48.0,,,81-88,,Personal foul by T. Splitter (drawn by L. James)
9:48.0,K. Irving enters the game for M. Dellavedova,,81-88,,
9:34.0,L. James makes 3-pt shot from 25 ft (assist by K. Irving),3,84-88,,
9:34.0,,,84-88,,San Antonio full timeout
9:13.0,,,84-90,2,T. Splitter makes 2-pt shot from 1 ft (assist by D. Green)
8:54.0,T. Thompson misses 2-pt shot from 3 ft,,84-90,,
8:52.0,,,84-90,,Defensive rebound by K. Leonard
8:43.0,,,84-90,,Turnover by K. Leonard (bad pass; steal by I. Shumpert)
8:36.0,K. Irving makes 2-pt shot from 1 ft,2,86-90,,
8:15.0,,,86-90,,T. Splitter misses 2-pt shot from 5 ft
8:14.0,Defensive rebound by I. Shumpert,,86-90,,
8:04.0,K. Irving makes 2-pt shot from 1 ft,2,88-90,,
7:46.0,,,88-90,,P. Mills misses 3-pt shot from 24 ft
7:45.0,Defensive rebound by T. Thompson,,88-90,,
7:42.0,Offensive foul by K. Irving,,88-90,,
7:42.0,Turnover by K. Irving (offensive foul),,88-90,,
7:42.0,,,88-90,,T. Duncan enters the game for T. Splitter
7:42.0,,,88-90,,T. Parker enters the game for P. Mills
7:30.0,,,88-92,2,M. Belinelli makes 2-pt shot from 2 ft (assist by T. Duncan)
7:13.0,J. Jones misses 3-pt shot from 25 ft,,88-92,,
7:12.0,,,88-92,,Defensive rebound by T. Duncan
6:54.0,,,88-95,3,D. Green makes 3-pt shot from 25 ft (assist by T. Duncan)
6:38.0,L. James makes 2-pt shot at rim,2,90-95,,
6:38.0,Shooting foul by T. Duncan (drawn by L. James),,90-95,,
6:38.0,L. James misses free throw 1 of 1,,90-95,,
6:37.0,,,90-95,,Defensive rebound by M. Belinelli
6:24.0,,,90-97,2,T. Duncan makes 2-pt shot from 1 ft (assist by K. Leonard)
6:17.0,Cleveland full timeout,,90-97,,
6:08.0,,,90-97,,Personal foul by M. Belinelli (drawn by K. Irving)
6:04.0,,,90-97,,Personal foul by D. Green (drawn by K. Irving)
6:04.0,K. Irving makes free throw 1 of 3,1,91-97,,
6:04.0,K. Irving makes free throw 2 of 3,1,92-97,,
6:04.0,K. Irving makes free throw 3 of 3,1,93-97,,
5:49.0,,,93-99,2,T. Parker makes 2-pt shot from 17 ft
5:33.0,K. Irving misses 2-pt shot from 13 ft,,93-99,,
5:32.0,,,93-99,,Defensive rebound by M. Belinelli
5:19.0,,,93-99,,T. Parker misses 2-pt shot from 17 ft
5:18.0,Defensive rebound by I. Shumpert,,93-99,,
4:57.0,T. Thompson makes 2-pt shot at rim (assist by K. Irving),2,95-99,,
4:29.0,,,95-99,,M. Belinelli misses 3-pt shot from 25 ft
4:28.0,Defensive rebound by T. Thompson,,95-99,,
4:04.0,K. Irving misses 2-pt shot from 17 ft,,95-99,,
4:03.0,,,95-99,,Defensive rebound by T. Duncan
3:54.0,,,95-99,,Turnover by T. Duncan (bad pass)
3:38.0,Turnover by L. James (bad pass; steal by K. Leonard),,95-99,,
3:28.0,,,95-99,,Shooting foul by I. Shumpert (drawn by T. Duncan)
3:28.0,,,95-100,1,T. Duncan makes free throw 1 of 2
3:28.0,,,95-101,1,T. Duncan makes free throw 2 of 2
3:13.0,L. James misses 2-pt shot from 3 ft,,95-101,,
3:12.0,,,95-101,,Defensive rebound by M. Belinelli
3:05.0,,,95-104,3,D. Green makes 3-pt shot from 23 ft (assist by K. Leonard)
3:05.0,Cleveland full timeout,,95-104,,
3:05.0,Technical foul by L. James,,95-104,,
3:05.0,,,95-105,1,D. Green makes technical free throw
2:53.0,T. Thompson makes 2-pt shot at rim (assist by K. Irving),2,97-105,,
2:28.0,,,97-105,,T. Parker misses 2-pt shot from 15 ft
2:27.0,Defensive rebound by L. James,,97-105,,
2:18.0,L. James makes 2-pt shot from 9 ft,2,99-105,,
2:00.0,,,99-107,2,T. Duncan makes 2-pt shot from 10 ft (assist by K. Leonard)
1:44.0,K. Irving misses 2-pt shot from 7 ft,,99-107,,
1:44.0,Offensive rebound by Team,,99-107,,
1:44.0,,,99-107,,Loose ball foul by T. Duncan (drawn by T. Thompson)
1:44.0,T. Thompson makes free throw 1 of 2,1,100-107,,
1:44.0,T. Thompson makes free throw 2 of 2,1,101-107,,
1:37.0,,,101-107,,Offensive foul by D. Green
1:37.0,,,101-107,,Turnover by D. Green (offensive foul)
1:27.0,Turnover by L. James (lost ball; steal by T. Parker),,101-107,,
1:25.0,Personal foul by T. Thompson (drawn by K. Leonard),,101-107,,
1:25.0,,,101-108,1,K. Leonard makes free throw 1 of 2
1:25.0,,,101-108,,K. Leonard misses free throw 2 of 2
1:24.0,,,101-108,,Offensive rebound by T. Duncan
1:23.0,,,101-108,,San Antonio full timeout
1:23.0,,,101-108,,San Antonio full timeout
1:09.0,,,101-108,,K. Leonard misses 3-pt shot from 25 ft
1:08.0,Defensive rebound by T. Thompson,,101-108,,
0:56.0,T. Thompson misses 2-pt shot from 7 ft (block by D. Green),,101-108,,
0:56.0,Offensive rebound by K. Irving,,101-108,,
0:56.0,K. Irving makes 2-pt shot from 2 ft,2,103-108,,
0:56.0,Shooting foul by K. Leonard (drawn by K. Irving),,103-108,,
0:56.0,K. Irving makes free throw 1 of 1,1,104-108,,
0:34.0,,,104-110,2,T. Parker makes 2-pt shot from 18 ft
0:34.0,Cleveland full timeout,,104-110,,
0:31.0,K. Irving makes 3-pt shot from 23 ft (assist by L. James),3,107-110,,
