time,Indiana,pts.away,score,pts.home,New York
4:19.0,G. Hill makes 2-pt shot from 13 ft,2,16-8,,
4:19.0,Shooting foul by S. Larkin (drawn by G. Hill),,16-8,,
4:19.0,,,16-8,,R. Ledo enters the game for S. Larkin
4:19.0,,,16-8,,L. Galloway enters the game for L. Thomas
4:19.0,G. Hill makes free throw 1 of 1,1,17-8,,
4:02.0,,,17-8,,Shooting foul by R. Stuckey (drawn by T. Hardaway)
4:02.0,,,17-9,1,T. Hardaway makes free throw 1 of 2
4:02.0,,,17-9,,T. Hardaway misses free throw 2 of 2
4:01.0,Defensive rebound by G. Hill,,17-9,,
3:45.0,P. George misses 2-pt shot from 1 ft,,17-9,,
3:43.0,,,17-9,,Defensive rebound by C. Aldrich
3:32.0,,,17-9,,A. Bargnani misses 2-pt shot from 13 ft
3:31.0,Defensive rebound by R. Stuckey,,17-9,,
3:26.0,R. Stuckey misses 2-pt shot from 3 ft,,17-9,,
3:25.0,,,17-9,,Defensive rebound by C. Aldrich
3:05.0,,,17-11,2,A. Bargnani makes 2-pt shot from 20 ft (assist by R. Ledo)
2:47.0,D. West makes 2-pt shot from 20 ft (assist by G. Hill),2,19-11,,
2:35.0,,,19-11,,A. Bargnani misses 2-pt shot from 18 ft
2:33.0,Defensive rebound by R. Stuckey,,19-11,,
2:27.0,R. Stuckey makes 2-pt shot from 2 ft,2,21-11,,
2:06.0,,,21-11,,L. Galloway misses 2-pt shot from 20 ft
2:04.0,Defensive rebound by P. George,,21-11,,
1:53.0,P. George misses 2-pt shot from 10 ft,,21-11,,
1:52.0,Offensive rebound by I. Mahinmi,,21-11,,
1:52.0,I. Mahinmi makes 2-pt shot from 2 ft,2,23-11,,
1:38.0,,,23-11,,Turnover by A. Bargnani (lost ball)
1:37.0,,,23-11,,Loose ball foul by L. Galloway (drawn by P. George)
1:37.0,Indiana full timeout,,23-11,,
1:37.0,D. Sloan enters the game for D. West,,23-11,,
1:37.0,C. Miles enters the game for G. Hill,,23-11,,
1:37.0,L. Scola enters the game for I. Mahinmi,,23-11,,
1:37.0,I. Mahinmi enters the game for C. Miles,,23-11,,
1:37.0,,,23-11,,Q. Acy enters the game for A. Bargnani
1:37.0,,,23-11,,S. Larkin enters the game for L. Galloway
1:37.0,,,23-11,,J. Smith enters the game for C. Aldrich
1:37.0,P. George misses free throw 1 of 2,,23-11,,
1:37.0,Offensive rebound by Team,,23-11,,
1:37.0,P. George makes free throw 2 of 2,1,24-11,,
1:26.0,,,24-13,2,J. Smith makes 2-pt shot from 18 ft (assist by S. Larkin)
1:10.0,P. George makes 2-pt shot from 15 ft,2,26-13,,
1:00.0,,,26-13,,Shooting foul by P. George (drawn by R. Ledo)
1:00.0,,,26-13,,R. Ledo misses free throw 1 of 2
1:00.0,,,26-13,,Offensive rebound by Team
1:00.0,,,26-14,1,R. Ledo makes free throw 2 of 2
0:49.0,D. Sloan misses 3-pt shot from 24 ft,,26-14,,
0:47.0,,,26-14,,Defensive rebound by J. Smith
0:37.0,,,26-14,,Q. Acy misses 3-pt shot from 22 ft
0:35.0,Defensive rebound by R. Stuckey,,26-14,,
0:30.0,Turnover by R. Stuckey (bad pass),,26-14,,
0:13.0,,,26-14,,R. Ledo misses 3-pt shot from 24 ft
0:11.0,Defensive rebound by I. Mahinmi,,26-14,,
0:02.0,P. George misses 3-pt shot from 25 ft,,26-14,,
0:00.0,Offensive rebound by L. Scola,,26-14,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,Turnover by R. Stuckey (bad pass; steal by S. Larkin),,26-14,,
11:41.0,,,26-16,2,S. Larkin makes 2-pt shot from 1 ft
11:29.0,P. George makes 3-pt shot from 24 ft (assist by D. Sloan),3,29-16,,
11:29.0,,,29-16,,Loose ball foul by Q. Acy (drawn by L. Scola)
11:29.0,L. Scola makes free throw 1 of 1,1,30-16,,
11:16.0,,,30-16,,Q. Acy misses 3-pt shot from 26 ft
11:15.0,Defensive rebound by L. Scola,,30-16,,
11:07.0,P. George misses 3-pt shot from 24 ft,,30-16,,
11:05.0,,,30-16,,Defensive rebound by T. Hardaway
10:48.0,Personal foul by L. Scola (drawn by J. Smith),,30-16,,
10:40.0,,,30-16,,J. Smith misses 2-pt shot from 16 ft
10:38.0,Defensive rebound by P. George,,30-16,,
10:30.0,Turnover by L. Scola (traveling),,30-16,,
10:23.0,,,30-18,2,R. Ledo makes 2-pt shot from 1 ft
10:11.0,L. Scola makes 2-pt shot from 1 ft,2,32-18,,
9:57.0,,,32-18,,T. Hardaway misses 3-pt shot from 24 ft
9:56.0,Defensive rebound by I. Mahinmi,,32-18,,
9:41.0,C. Miles enters the game for P. George,,32-18,,
9:41.0,Jump ball: Q. Acy vs. L. Scola,,,,Jump ball: Q. Acy vs. L. Scola
9:36.0,R. Stuckey misses 3-pt shot from 25 ft,,32-18,,
9:34.0,,,32-18,,Defensive rebound by R. Ledo
9:14.0,,,32-18,,Turnover by R. Ledo (bad pass; steal by D. Sloan)
9:10.0,,,32-18,,Violation by R. Ledo (def goaltending)
9:10.0,D. Sloan makes 2-pt shot from 2 ft,2,34-18,,
8:57.0,,,34-20,2,Q. Acy makes 2-pt shot from 18 ft
8:44.0,Official timeout,,34-20,,
8:44.0,,,34-20,,L. Thomas enters the game for T. Hardaway
8:44.0,,,34-20,,A. Bargnani enters the game for Q. Acy
8:41.0,C. Miles makes 2-pt shot from 18 ft (assist by R. Stuckey),2,36-20,,
8:19.0,,,36-20,,L. Thomas misses 2-pt shot from 15 ft
8:17.0,Defensive rebound by R. Stuckey,,36-20,,
8:00.0,C. Miles misses 2-pt shot from 18 ft,,36-20,,
7:58.0,,,36-20,,Defensive rebound by J. Smith
7:49.0,,,36-22,2,R. Ledo makes 2-pt shot from 19 ft (assist by S. Larkin)
7:32.0,L. Scola makes 2-pt shot from 18 ft (assist by D. Sloan),2,38-22,,
7:21.0,Personal foul by I. Mahinmi (drawn by J. Smith),,38-22,,
7:21.0,,,38-22,,L. Galloway enters the game for S. Larkin
7:21.0,L. Allen enters the game for I. Mahinmi,,38-22,,
7:07.0,,,38-25,3,J. Smith makes 3-pt shot from 23 ft (assist by R. Ledo)
6:50.0,D. Sloan makes 2-pt shot from 2 ft,2,40-25,,
6:23.0,,,40-25,,R. Ledo misses 2-pt shot from 6 ft
6:22.0,Defensive rebound by L. Allen,,40-25,,
6:16.0,,,40-25,,Personal foul by L. Thomas (drawn by L. Scola)
6:09.0,L. Scola makes 2-pt shot from 8 ft (assist by D. Sloan),2,42-25,,
6:08.0,,,42-25,,New York full timeout
6:08.0,,,42-25,,S. Larkin enters the game for R. Ledo
6:08.0,S. Hill enters the game for R. Stuckey,,42-25,,
5:57.0,,,42-28,3,A. Bargnani makes 3-pt shot from 24 ft (assist by L. Thomas)
5:41.0,C. Miles misses 2-pt shot from 19 ft,,42-28,,
5:39.0,Offensive rebound by L. Allen,,42-28,,
5:28.0,L. Allen misses 2-pt shot from 19 ft,,42-28,,
5:27.0,,,42-28,,Defensive rebound by A. Bargnani
5:15.0,,,42-28,,J. Smith misses 3-pt shot from 25 ft
5:13.0,Defensive rebound by C. Miles,,42-28,,
5:04.0,C. Miles misses 3-pt shot from 23 ft,,42-28,,
5:02.0,,,42-28,,Defensive rebound by L. Galloway
4:58.0,,,42-28,,L. Galloway misses 2-pt shot from 2 ft
4:56.0,,,42-28,,Offensive rebound by A. Bargnani
4:56.0,,,42-28,,A. Bargnani misses 2-pt shot at rim
4:54.0,Defensive rebound by L. Allen,,42-28,,
4:53.0,Turnover by L. Allen (bad pass; steal by L. Thomas),,42-28,,
4:46.0,,,42-28,,A. Bargnani misses 2-pt shot from 5 ft
4:44.0,Defensive rebound by C. Miles,,42-28,,
4:34.0,C. Miles misses 3-pt shot from 25 ft,,42-28,,
4:32.0,,,42-28,,Defensive rebound by L. Galloway
4:23.0,Personal foul by C. Miles (drawn by A. Bargnani),,42-28,,
4:16.0,,,42-28,,Shooting foul by L. Allen (drawn by L. Galloway)
4:16.0,,,42-29,1,L. Galloway makes free throw 1 of 2
4:16.0,Indiana full timeout,,42-29,,
4:16.0,G. Hill enters the game for L. Scola,,42-29,,
4:16.0,D. West enters the game for D. Sloan,,42-29,,
4:16.0,,,42-30,1,L. Galloway makes free throw 2 of 2
3:58.0,C. Miles makes 2-pt shot at rim (assist by G. Hill),2,44-30,,
3:40.0,,,44-30,,L. Galloway misses 2-pt shot from 3 ft (block by S. Hill)
3:39.0,,,44-30,,Offensive rebound by Team
3:32.0,,,44-32,2,J. Smith makes 2-pt shot from 7 ft
3:13.0,S. Hill makes 2-pt shot from 4 ft,2,46-32,,
3:02.0,Personal foul by D. West (drawn by A. Bargnani),,46-32,,
3:02.0,,,46-33,1,A. Bargnani makes free throw 1 of 2
3:02.0,,,46-33,,R. Ledo enters the game for L. Galloway
3:02.0,,,46-34,1,A. Bargnani makes free throw 2 of 2
2:50.0,G. Hill makes 2-pt shot from 1 ft,2,48-34,,
2:38.0,,,48-34,,Shooting foul by L. Allen (drawn by R. Ledo)
2:38.0,,,48-34,,R. Ledo misses free throw 1 of 2
2:38.0,,,48-34,,Offensive rebound by Team
2:38.0,,,48-35,1,R. Ledo makes free throw 2 of 2
2:17.0,G. Hill misses 2-pt shot from 16 ft,,48-35,,
2:16.0,,,48-35,,Defensive rebound by J. Smith
1:55.0,,,48-37,2,L. Thomas makes 2-pt shot from 1 ft
1:40.0,D. West makes 2-pt shot from 19 ft (assist by G. Hill),2,50-37,,
1:23.0,,,50-37,,A. Bargnani misses 2-pt shot from 15 ft
1:21.0,Defensive rebound by G. Hill,,50-37,,
1:12.0,Turnover by L. Allen (traveling),,50-37,,
1:00.0,,,50-37,,J. Smith misses 2-pt shot from 20 ft
0:59.0,Defensive rebound by D. West,,50-37,,
0:45.0,L. Allen makes 2-pt shot from 17 ft (assist by S. Hill),2,52-37,,
0:32.0,,,52-37,,R. Ledo misses 2-pt shot from 2 ft
0:30.0,Defensive rebound by D. West,,52-37,,
0:29.0,Technical foul by D. West,,52-37,,
0:29.0,,,52-38,1,A. Bargnani makes technical free throw
0:29.0,Indiana full timeout,,52-38,,
0:29.0,,,52-38,,Q. Acy enters the game for S. Larkin
0:14.0,Shooting foul by J. Smith (drawn by G. Hill),,52-38,,
0:14.0,G. Hill makes free throw 1 of 2,1,53-38,,
0:14.0,L. Scola enters the game for D. West,,53-38,,
0:14.0,I. Mahinmi enters the game for L. Allen,,53-38,,
0:14.0,,,53-38,,S. Larkin enters the game for Q. Acy
0:14.0,G. Hill makes free throw 2 of 2,1,54-38,,
0:14.0,,,54-38,,New York full timeout
0:00.0,,,54-38,,Turnover by J. Smith (bad pass; steal by C. Miles)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,C. Miles misses 2-pt shot from 21 ft,,54-38,,
11:42.0,,,54-38,,Defensive rebound by A. Bargnani
11:23.0,,,54-40,2,L. Galloway makes 2-pt shot from 21 ft
11:08.0,R. Hibbert misses 2-pt shot from 2 ft,,54-40,,
11:06.0,,,54-40,,Defensive rebound by A. Bargnani
11:01.0,,,54-40,,L. Galloway misses 2-pt shot from 2 ft
11:00.0,,,54-40,,Offensive rebound by L. Amundson
11:00.0,,,54-40,,L. Amundson misses 2-pt shot from 2 ft
10:59.0,,,54-40,,Offensive rebound by L. Amundson
10:59.0,,,54-40,,L. Amundson misses 2-pt shot from 2 ft
10:58.0,,,54-40,,Offensive rebound by L. Amundson
10:58.0,,,54-40,,L. Amundson misses 2-pt shot from 2 ft
10:57.0,Defensive rebound by R. Hibbert,,54-40,,
10:39.0,S. Hill misses 3-pt shot from 25 ft,,54-40,,
10:37.0,Offensive rebound by R. Hibbert,,54-40,,
10:37.0,R. Hibbert misses 2-pt shot at rim,,54-40,,
10:36.0,Offensive rebound by R. Hibbert,,54-40,,
10:32.0,G. Hill makes 2-pt shot from 1 ft (assist by R. Hibbert),2,56-40,,
10:08.0,,,56-40,,S. Larkin misses 2-pt shot from 13 ft
10:07.0,Defensive rebound by Team,,56-40,,
10:07.0,,,56-40,,Loose ball foul by L. Amundson (drawn by G. Hill)
9:55.0,D. West makes 2-pt shot at rim (assist by G. Hill),2,58-40,,
9:29.0,,,58-40,,L. Amundson misses 2-pt shot from 2 ft
9:27.0,,,58-40,,Offensive rebound by L. Amundson
9:27.0,,,58-40,,L. Amundson misses 2-pt shot from 2 ft
9:25.0,Defensive rebound by C. Miles,,58-40,,
9:19.0,S. Hill makes 2-pt shot at rim (assist by R. Hibbert),2,60-40,,
9:00.0,Loose ball foul by S. Hill (drawn by L. Galloway),,60-40,,
8:49.0,,,60-40,,S. Larkin misses 2-pt shot from 18 ft
8:48.0,Defensive rebound by G. Hill,,60-40,,
8:34.0,R. Hibbert makes 2-pt shot at rim,2,62-40,,
8:33.0,,,62-40,,New York full timeout
8:18.0,,,62-40,,S. Larkin misses 2-pt shot from 20 ft
8:16.0,Defensive rebound by D. West,,62-40,,
8:01.0,S. Hill misses 2-pt shot from 1 ft,,62-40,,
7:59.0,Offensive rebound by R. Hibbert,,62-40,,
7:59.0,R. Hibbert makes 2-pt shot from 1 ft,2,64-40,,
7:36.0,,,64-42,2,A. Bargnani makes 2-pt shot from 4 ft
7:22.0,,,64-42,,Personal foul by A. Bargnani (drawn by R. Hibbert)
7:21.0,,,64-42,,Inbound foul by S. Larkin
7:21.0,G. Hill misses free throw 1 of 2,,64-42,,
7:21.0,Offensive rebound by Team,,64-42,,
7:21.0,G. Hill makes free throw 2 of 2,1,65-42,,
7:08.0,,,65-42,,Shooting foul by R. Hibbert (drawn by L. Amundson)
7:08.0,,,65-42,,L. Amundson misses free throw 1 of 2
7:08.0,,,65-42,,Offensive rebound by Team
7:08.0,Violation by D. West (lane),,65-42,,
7:08.0,,,65-43,1,L. Amundson makes free throw 2 of 2
6:55.0,,,65-43,,Personal foul by A. Bargnani (drawn by R. Hibbert)
6:54.0,S. Hill makes 2-pt shot at rim (assist by C. Miles),2,67-43,,
6:42.0,,,67-43,,Turnover by A. Bargnani (bad pass; steal by G. Hill)
6:38.0,G. Hill makes 2-pt shot from 1 ft (assist by R. Hibbert),2,69-43,,
6:20.0,,,69-46,3,A. Bargnani makes 3-pt shot from 25 ft (assist by S. Larkin)
6:01.0,D. West makes 2-pt shot from 1 ft (assist by R. Hibbert),2,71-46,,
5:47.0,,,71-46,,L. Galloway misses 2-pt shot from 5 ft
5:45.0,Defensive rebound by G. Hill,,71-46,,
5:36.0,Turnover by C. Miles (offensive foul),,71-46,,
5:36.0,Offensive foul by C. Miles,,71-46,,
5:36.0,,,71-46,,J. Smith enters the game for L. Amundson
5:36.0,,,71-46,,C. Aldrich enters the game for A. Bargnani
5:16.0,,,71-46,,Shooting foul by R. Hibbert (drawn by C. Aldrich)
5:16.0,,,71-46,,C. Aldrich misses free throw 1 of 2
5:16.0,,,71-46,,Offensive rebound by Team
5:16.0,P. George enters the game for C. Miles,,71-46,,
5:16.0,,,71-47,1,C. Aldrich makes free throw 2 of 2
4:57.0,Turnover by P. George (lost ball; steal by C. Aldrich),,71-47,,
4:52.0,,,71-47,,L. Galloway misses 2-pt shot from 2 ft (block by R. Hibbert)
4:50.0,,,71-47,,Offensive rebound by S. Larkin
4:33.0,,,71-49,2,L. Galloway makes 2-pt shot from 18 ft
4:11.0,Turnover by D. West (bad pass; steal by L. Galloway),,71-49,,
4:08.0,,,71-49,,Turnover by C. Aldrich (bad pass; steal by G. Hill)
4:03.0,G. Hill misses 3-pt shot from 23 ft,,71-49,,
4:01.0,,,71-49,,Defensive rebound by L. Thomas
3:47.0,,,71-51,2,L. Galloway makes 2-pt shot from 21 ft
3:35.0,,,71-51,,Personal foul by J. Smith (drawn by D. West)
3:35.0,D. West misses free throw 1 of 2,,71-51,,
3:35.0,Offensive rebound by Team,,71-51,,
3:35.0,D. West makes free throw 2 of 2,1,72-51,,
3:27.0,,,72-51,,Offensive foul by J. Smith
3:27.0,,,72-51,,Turnover by J. Smith (offensive foul)
3:06.0,G. Hill makes 3-pt shot from 24 ft,3,75-51,,
2:48.0,,,75-51,,J. Smith misses 2-pt shot from 20 ft
2:46.0,Defensive rebound by R. Hibbert,,75-51,,
2:37.0,Shooting foul by L. Galloway (drawn by S. Hill),,75-51,,
2:37.0,Indiana full timeout,,75-51,,
2:37.0,,,75-51,,T. Hardaway enters the game for L. Thomas
2:37.0,,,75-51,,Q. Acy enters the game for L. Galloway
2:37.0,,,75-51,,R. Ledo enters the game for C. Aldrich
2:37.0,I. Mahinmi enters the game for R. Hibbert,,75-51,,
2:37.0,S. Hill makes free throw 1 of 2,1,76-51,,
2:37.0,S. Hill makes free throw 2 of 2,1,77-51,,
2:13.0,,,77-51,,Turnover by S. Larkin (bad pass; steal by P. George)
1:51.0,P. George misses 2-pt shot from 20 ft,,77-51,,
1:49.0,,,77-51,,Defensive rebound by J. Smith
1:34.0,,,77-53,2,J. Smith makes 2-pt shot at rim
1:14.0,Shooting foul by Q. Acy (drawn by P. George),,77-53,,
1:14.0,P. George makes free throw 1 of 2,1,78-53,,
1:14.0,R. Stuckey enters the game for S. Hill,,78-53,,
1:14.0,P. George makes free throw 2 of 2,1,79-53,,
1:00.0,,,79-55,2,Q. Acy makes 2-pt shot from 18 ft (assist by S. Larkin)
0:45.0,G. Hill makes 2-pt shot from 4 ft,2,81-55,,
0:34.0,,,81-55,,R. Ledo misses 2-pt shot from 3 ft
0:32.0,Defensive rebound by G. Hill,,81-55,,
0:29.0,Turnover by G. Hill (lost ball; steal by R. Ledo),,81-55,,
0:24.0,,,81-55,,Turnover by J. Smith (bad pass; steal by P. George)
0:03.0,Shooting foul by R. Ledo (drawn by P. George),,81-55,,
0:03.0,P. George makes free throw 1 of 2,1,82-55,,
0:03.0,P. George makes free throw 2 of 2,1,83-55,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,83-55,,J. Smith misses 2-pt shot from 6 ft
11:42.0,Defensive rebound by I. Mahinmi,,83-55,,
11:29.0,Turnover by R. Stuckey (bad pass; steal by J. Smith),,83-55,,
11:19.0,,,83-58,3,L. Galloway makes 3-pt shot from 24 ft (assist by R. Ledo)
10:56.0,R. Stuckey makes 3-pt shot from 25 ft (assist by D. Sloan),3,86-58,,
10:36.0,,,86-58,,J. Smith misses 2-pt shot from 12 ft
10:34.0,Defensive rebound by R. Stuckey,,86-58,,
10:26.0,Offensive foul by R. Stuckey,,86-58,,
10:26.0,Turnover by R. Stuckey (offensive foul),,86-58,,
10:14.0,,,86-60,2,J. Smith makes 2-pt shot from 5 ft
10:04.0,,,86-60,,Personal foul by L. Galloway (drawn by D. Sloan)
9:54.0,L. Scola misses 3-pt shot from 23 ft,,86-60,,
9:52.0,Offensive rebound by R. Stuckey,,86-60,,
9:43.0,Turnover by P. George (bad pass),,86-60,,
9:31.0,,,86-62,2,Q. Acy makes 2-pt shot from 2 ft (assist by L. Galloway)
9:13.0,R. Stuckey misses 3-pt shot from 24 ft,,86-62,,
9:11.0,,,86-62,,Defensive rebound by Q. Acy
9:05.0,,,86-65,3,T. Hardaway makes 3-pt shot from 23 ft (assist by L. Galloway)
9:03.0,Indiana full timeout,,86-65,,
9:03.0,C. Miles enters the game for P. George,,86-65,,
8:42.0,R. Stuckey misses 3-pt shot from 24 ft,,86-65,,
8:40.0,Offensive rebound by I. Mahinmi,,86-65,,
8:28.0,C. Miles misses 2-pt shot from 17 ft,,86-65,,
8:26.0,,,86-65,,Defensive rebound by L. Galloway
8:21.0,,,86-68,3,T. Hardaway makes 3-pt shot from 25 ft (assist by L. Galloway)
8:08.0,Shooting foul by Q. Acy (drawn by R. Stuckey),,86-68,,
8:08.0,R. Stuckey makes free throw 1 of 2,1,87-68,,
8:08.0,R. Stuckey makes free throw 2 of 2,1,88-68,,
7:58.0,,,88-68,,Shooting foul by I. Mahinmi (drawn by Q. Acy)
7:58.0,,,88-69,1,Q. Acy makes free throw 1 of 2
7:58.0,,,88-70,1,Q. Acy makes free throw 2 of 2
7:47.0,,,88-70,,Personal foul by J. Smith (drawn by C. Miles)
7:36.0,C. Miles makes 2-pt shot from 16 ft,2,90-70,,
7:19.0,,,90-73,3,T. Hardaway makes 3-pt shot from 25 ft (assist by Q. Acy)
7:19.0,Loose ball foul by L. Scola (drawn by J. Smith),,90-73,,
7:19.0,,,90-74,1,J. Smith makes free throw 1 of 1
7:04.0,Turnover by R. Stuckey (bad pass),,90-74,,
6:51.0,,,90-74,,J. Smith misses 2-pt shot from 4 ft
6:49.0,,,90-74,,Offensive rebound by L. Galloway
6:37.0,,,90-74,,R. Ledo misses 2-pt shot from 3 ft (block by I. Mahinmi)
6:35.0,Defensive rebound by C. Miles,,90-74,,
6:30.0,C. Miles misses 3-pt shot from 24 ft,,90-74,,
6:28.0,,,90-74,,Defensive rebound by J. Smith
6:19.0,,,90-74,,L. Galloway misses 2-pt shot from 3 ft
6:17.0,Defensive rebound by L. Scola,,90-74,,
6:09.0,C. Miles makes 3-pt shot from 23 ft (assist by D. Sloan),3,93-74,,
5:59.0,,,93-74,,New York full timeout
5:59.0,S. Hill enters the game for R. Stuckey,,93-74,,
5:59.0,,,93-74,,S. Larkin enters the game for R. Ledo
5:51.0,,,93-76,2,L. Galloway makes 2-pt shot from 16 ft
5:33.0,I. Mahinmi makes 2-pt shot from 4 ft (assist by S. Hill),2,95-76,,
5:19.0,,,95-76,,S. Larkin misses 2-pt shot from 1 ft
5:18.0,,,95-76,,Offensive rebound by J. Smith
5:13.0,,,95-76,,S. Larkin misses 3-pt shot from 23 ft
5:11.0,Defensive rebound by L. Scola,,95-76,,
5:05.0,Shooting foul by Q. Acy (drawn by C. Miles),,95-76,,
5:05.0,C. Miles makes free throw 1 of 2,1,96-76,,
5:05.0,C. Miles makes free throw 2 of 2,1,97-76,,
4:45.0,,,97-78,2,Q. Acy makes 2-pt shot from 1 ft
4:30.0,D. Sloan misses 2-pt shot from 6 ft,,97-78,,
4:28.0,Offensive rebound by Team,,97-78,,
4:28.0,D. Rudez enters the game for C. Miles,,97-78,,
4:17.0,Shooting foul by Q. Acy (drawn by L. Scola),,97-78,,
4:17.0,L. Scola makes free throw 1 of 2,1,98-78,,
4:17.0,L. Allen enters the game for I. Mahinmi,,98-78,,
4:17.0,L. Scola makes free throw 2 of 2,1,99-78,,
4:05.0,,,99-78,,Shooting foul by S. Hill (drawn by L. Galloway)
4:05.0,,,99-79,1,L. Galloway makes free throw 1 of 2
4:05.0,,,99-80,1,L. Galloway makes free throw 2 of 2
3:47.0,D. Rudez misses 3-pt shot from 24 ft,,99-80,,
3:45.0,Offensive rebound by L. Scola,,99-80,,
3:43.0,L. Allen misses 2-pt shot from 2 ft,,99-80,,
