time,Philadelphia,pts.away,score,pts.home,Washington
9:52.0,,,69-95,,Turnover by D. Gooden (offensive foul)
9:52.0,,,69-95,,Offensive foul by D. Gooden
9:52.0,N. Noel enters the game for F. Aldemir,,69-95,,
9:40.0,I. Canaan makes 2-pt shot from 2 ft,2,71-95,,
9:40.0,,,71-95,,Washington full timeout
9:15.0,,,71-95,,O. Porter misses 2-pt shot from 21 ft
9:14.0,Defensive rebound by I. Canaan,,71-95,,
8:54.0,N. Noel misses 2-pt shot from 8 ft,,71-95,,
8:53.0,,,71-95,,Defensive rebound by O. Porter
8:51.0,,,71-95,,Shooting foul by I. Canaan (drawn by R. Sessions)
8:51.0,,,71-95,,R. Sessions misses free throw 1 of 2
8:51.0,,,71-95,,Offensive rebound by Team
8:51.0,I. Smith enters the game for J. Sampson,,71-95,,
8:51.0,,,71-95,,K. Humphries enters the game for D. Gooden
8:51.0,,,71-96,1,R. Sessions makes free throw 2 of 2
8:41.0,I. Canaan makes 3-pt shot from 26 ft,3,74-96,,
8:21.0,,,74-96,,K. Humphries misses 2-pt shot from 7 ft
8:19.0,Defensive rebound by N. Noel,,74-96,,
8:09.0,Turnover by I. Canaan (bad pass; steal by K. Humphries),,74-96,,
8:02.0,,,74-96,,Turnover by R. Sessions (bad pass; steal by I. Canaan)
7:59.0,I. Smith makes 2-pt shot from 2 ft (assist by I. Canaan),2,76-96,,
7:42.0,,,76-96,,Shooting foul by T. Robinson (drawn by O. Porter)
7:42.0,,,76-97,1,O. Porter makes free throw 1 of 2
7:42.0,,,76-98,1,O. Porter makes free throw 2 of 2
7:28.0,I. Canaan misses 3-pt shot from 25 ft,,76-98,,
7:26.0,,,76-98,,Defensive rebound by R. Butler
7:15.0,,,76-100,2,K. Seraphin makes 2-pt shot from 9 ft
6:50.0,I. Canaan misses 3-pt shot from 27 ft,,76-100,,
6:48.0,Offensive rebound by T. Robinson,,76-100,,
6:47.0,T. Robinson misses 2-pt shot from 1 ft,,76-100,,
6:47.0,Offensive rebound by Team,,76-100,,
6:47.0,,,76-100,,Loose ball foul by R. Butler (drawn by N. Noel)
6:47.0,,,76-100,,W. Bynum enters the game for O. Porter
6:33.0,H. Thompson makes 3-pt shot from 23 ft (assist by I. Canaan),3,79-100,,
6:20.0,,,79-100,,Turnover by W. Bynum (bad pass; steal by I. Smith)
6:11.0,I. Canaan makes 3-pt shot from 26 ft (assist by I. Smith),3,82-100,,
5:50.0,,,82-100,,K. Humphries misses 2-pt shot from 3 ft (block by N. Noel)
5:48.0,Defensive rebound by I. Canaan,,82-100,,
5:43.0,H. Thompson makes 3-pt shot from 27 ft (assist by I. Canaan),3,85-100,,
5:43.0,,,85-100,,Washington full timeout
5:43.0,Official timeout,,85-100,,
5:43.0,,,85-100,,M. Gortat enters the game for K. Seraphin
5:43.0,,,85-100,,J. Wall enters the game for R. Sessions
5:43.0,,,85-100,,B. Beal enters the game for W. Bynum
5:24.0,,,85-102,2,M. Gortat makes 2-pt shot at rim (assist by B. Beal)
5:10.0,T. Robinson misses 2-pt shot at rim (block by M. Gortat),,85-102,,
5:09.0,,,85-102,,Defensive rebound by K. Humphries
5:03.0,,,85-102,,B. Beal misses 2-pt shot from 10 ft
5:01.0,Defensive rebound by N. Noel,,85-102,,
4:52.0,I. Canaan misses 3-pt shot from 27 ft,,85-102,,
4:51.0,Offensive rebound by N. Noel,,85-102,,
4:44.0,Philadelphia full timeout,,85-102,,
4:44.0,R. Covington enters the game for I. Canaan,,85-102,,
4:35.0,,,85-102,,Personal foul by K. Humphries (drawn by N. Noel)
4:25.0,H. Thompson misses 2-pt shot from 8 ft,,85-102,,
4:25.0,Offensive rebound by Team,,85-102,,
4:25.0,,,85-102,,Loose ball foul by R. Butler (drawn by N. Noel)
4:25.0,,,85-102,,O. Porter enters the game for R. Butler
4:12.0,R. Covington misses 2-pt shot from 5 ft,,85-102,,
4:11.0,,,85-102,,Defensive rebound by B. Beal
4:02.0,,,85-104,2,J. Wall makes 2-pt shot from 16 ft
3:44.0,Turnover by R. Covington (bad pass; steal by O. Porter),,85-104,,
3:34.0,,,85-106,2,J. Wall makes 2-pt shot from 19 ft
3:33.0,Philadelphia full timeout,,85-106,,
3:21.0,N. Noel misses 2-pt shot from 4 ft,,85-106,,
3:20.0,,,85-106,,Defensive rebound by O. Porter
3:15.0,,,85-106,,Turnover by J. Wall (bad pass)
