time,Atlanta,pts.away,score,pts.home,Orlando
7:04.0,K. Korver misses 2-pt shot from 19 ft,,28-41,,
7:02.0,,,28-41,,Defensive rebound by A. Gordon
6:55.0,,,28-41,,C. Frye misses 3-pt shot from 26 ft
6:54.0,Defensive rebound by K. Korver,,28-41,,
6:38.0,A. Horford misses 2-pt shot from 3 ft (block by A. Nicholson),,28-41,,
6:38.0,,,28-41,,Defensive rebound by Team
6:38.0,D. Carroll enters the game for K. Korver,,28-41,,
6:25.0,,,28-41,,A. Gordon misses 3-pt shot from 24 ft
6:23.0,Defensive rebound by D. Carroll,,28-41,,
6:05.0,Turnover by D. Schroder (bad pass),,28-41,,
6:05.0,P. Millsap enters the game for A. Horford,,28-41,,
5:53.0,,,28-41,,Turnover by A. Nicholson (bad pass; steal by D. Carroll)
5:49.0,D. Carroll makes 2-pt shot at rim,2,30-41,,
5:49.0,,,30-41,,Orlando full timeout
5:49.0,,,30-41,,T. Harris enters the game for W. Green
5:49.0,,,30-41,,E. Payton enters the game for L. Ridnour
5:49.0,,,30-41,,V. Oladipo enters the game for A. Gordon
5:49.0,,,30-41,,D. Dedmon enters the game for C. Frye
5:49.0,,,30-41,,N. Vucevic enters the game for A. Nicholson
5:42.0,Personal foul by E. Brand (drawn by N. Vucevic),,30-41,,
5:29.0,,,30-43,2,N. Vucevic makes 2-pt shot from 6 ft
5:09.0,P. Millsap misses 2-pt shot from 8 ft (block by D. Dedmon),,30-43,,
5:07.0,Offensive rebound by P. Millsap,,30-43,,
5:05.0,D. Schroder misses 3-pt shot from 25 ft,,30-43,,
5:02.0,Offensive rebound by D. Carroll,,30-43,,
4:55.0,D. Carroll makes 2-pt shot from 1 ft (assist by D. Schroder),2,32-43,,
4:55.0,Shooting foul by T. Harris (drawn by D. Carroll),,32-43,,
4:55.0,D. Carroll misses free throw 1 of 1,,32-43,,
4:52.0,,,32-43,,Defensive rebound by N. Vucevic
4:43.0,,,32-45,2,E. Payton makes 2-pt shot from 1 ft
4:28.0,Shooting foul by N. Vucevic (drawn by D. Carroll),,32-45,,
4:28.0,D. Carroll misses free throw 1 of 2,,32-45,,
4:28.0,Offensive rebound by Team,,32-45,,
4:28.0,K. Korver enters the game for D. Schroder,,32-45,,
4:28.0,D. Carroll makes free throw 2 of 2,1,33-45,,
4:07.0,,,33-45,,E. Payton misses 2-pt shot from 2 ft (block by P. Millsap)
4:05.0,Defensive rebound by D. Carroll,,33-45,,
3:52.0,J. Teague makes 2-pt shot from 1 ft,2,35-45,,
3:36.0,,,35-47,2,N. Vucevic makes 2-pt shot from 6 ft (assist by V. Oladipo)
3:25.0,P. Millsap makes 3-pt shot from 25 ft (assist by J. Teague),3,38-47,,
3:11.0,,,38-49,2,T. Harris makes 2-pt shot from 7 ft (assist by N. Vucevic)
2:57.0,P. Millsap misses 3-pt shot from 26 ft,,38-49,,
2:56.0,,,38-49,,Defensive rebound by Team
2:56.0,Atlanta full timeout,,38-49,,
2:56.0,A. Horford enters the game for E. Brand,,38-49,,
2:43.0,,,38-49,,T. Harris misses 2-pt shot from 12 ft
2:42.0,,,38-49,,Offensive rebound by D. Dedmon
2:38.0,,,38-49,,D. Dedmon misses 2-pt shot from 1 ft
2:37.0,,,38-49,,Offensive rebound by N. Vucevic
2:37.0,,,38-49,,N. Vucevic misses 2-pt shot at rim
2:36.0,,,38-49,,Offensive rebound by N. Vucevic
2:36.0,,,38-49,,N. Vucevic misses 2-pt shot at rim
2:35.0,Defensive rebound by K. Korver,,38-49,,
2:12.0,Shooting foul by E. Payton (drawn by P. Millsap),,38-49,,
2:12.0,P. Millsap makes free throw 1 of 3,1,39-49,,
2:12.0,P. Millsap makes free throw 2 of 3,1,40-49,,
2:12.0,,,40-49,,L. Ridnour enters the game for E. Payton
2:12.0,P. Millsap makes free throw 3 of 3,1,41-49,,
1:52.0,,,41-51,2,V. Oladipo makes 2-pt shot from 18 ft
1:38.0,A. Horford makes 2-pt shot from 14 ft,2,43-51,,
1:27.0,,,43-51,,Turnover by L. Ridnour (bad pass; steal by P. Millsap)
1:22.0,D. Carroll misses 2-pt shot from 2 ft,,43-51,,
1:20.0,Offensive rebound by P. Millsap,,43-51,,
1:20.0,P. Millsap makes 2-pt shot from 1 ft,2,45-51,,
1:02.0,,,45-51,,Turnover by L. Ridnour (lost ball; steal by D. Carroll)
0:56.0,D. Carroll misses 3-pt shot from 24 ft,,45-51,,
0:55.0,,,45-51,,Defensive rebound by V. Oladipo
0:53.0,Personal foul by A. Horford (drawn by V. Oladipo),,45-51,,
0:37.0,,,45-51,,Shooting foul by P. Millsap (drawn by T. Harris)
0:37.0,,,45-51,,T. Harris misses free throw 1 of 2
0:37.0,,,45-51,,Offensive rebound by Team
0:37.0,,,45-51,,W. Green enters the game for L. Ridnour
0:37.0,,,45-52,1,T. Harris makes free throw 2 of 2
0:31.0,A. Horford makes 2-pt shot at rim (assist by J. Teague),2,47-52,,
0:30.0,,,47-52,,Orlando full timeout
0:30.0,P. Antic enters the game for A. Horford,,47-52,,
0:30.0,,,47-52,,L. Ridnour enters the game for D. Dedmon
0:08.0,,,47-52,,L. Ridnour misses 3-pt shot from 28 ft
0:07.0,Defensive rebound by P. Millsap,,47-52,,
0:00.0,K. Korver misses 3-pt shot from 28 ft,,47-52,,
0:00.0,Offensive rebound by Team,,47-52,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,47-52,,T. Harris misses 3-pt shot from 24 ft
11:43.0,Defensive rebound by K. Korver,,47-52,,
11:24.0,P. Millsap misses 3-pt shot from 26 ft,,47-52,,
11:22.0,,,47-52,,Defensive rebound by E. Payton
11:16.0,,,47-54,2,T. Harris makes 2-pt shot from 5 ft (assist by E. Payton)
11:03.0,P. Millsap misses 2-pt shot from 6 ft,,47-54,,
11:02.0,,,47-54,,Defensive rebound by D. Dedmon
10:47.0,,,47-54,,Turnover by E. Payton (bad pass; steal by D. Carroll)
10:43.0,D. Carroll makes 2-pt shot from 2 ft,2,49-54,,
10:21.0,,,49-54,,T. Harris misses 2-pt shot from 11 ft
10:20.0,Defensive rebound by P. Millsap,,49-54,,
10:07.0,A. Horford misses 2-pt shot from 17 ft,,49-54,,
10:05.0,,,49-54,,Defensive rebound by E. Payton
9:56.0,,,49-54,,T. Harris misses 2-pt shot from 2 ft
9:55.0,Defensive rebound by P. Millsap,,49-54,,
9:51.0,K. Korver makes 2-pt shot from 1 ft (assist by P. Millsap),2,51-54,,
9:45.0,Shooting block foul by J. Teague (drawn by E. Payton),,51-54,,
9:45.0,,,51-55,1,E. Payton makes free throw 1 of 2
9:45.0,,,51-56,1,E. Payton makes free throw 2 of 2
9:30.0,A. Horford misses 2-pt shot from 19 ft,,51-56,,
9:28.0,,,51-56,,Defensive rebound by E. Payton
9:19.0,,,51-58,2,E. Payton makes 2-pt shot from 2 ft (assist by V. Oladipo)
9:04.0,Turnover by D. Carroll (lost ball; steal by E. Payton),,51-58,,
8:57.0,,,51-58,,Turnover by E. Payton (lost ball; steal by D. Carroll)
8:52.0,P. Millsap makes 2-pt shot from 2 ft (assist by J. Teague),2,53-58,,
8:32.0,,,53-60,2,N. Vucevic makes 2-pt shot from 12 ft (assist by E. Payton)
8:15.0,J. Teague makes 2-pt shot from 16 ft,2,55-60,,
7:52.0,,,55-62,2,N. Vucevic makes 2-pt shot from 17 ft (assist by V. Oladipo)
7:37.0,A. Horford misses 2-pt shot from 6 ft,,55-62,,
7:34.0,,,55-62,,Defensive rebound by N. Vucevic
7:30.0,,,55-62,,E. Payton misses 3-pt shot from 25 ft
7:28.0,Defensive rebound by A. Horford,,55-62,,
7:23.0,D. Carroll misses 2-pt shot from 1 ft,,55-62,,
7:22.0,Offensive rebound by Team,,55-62,,
7:15.0,A. Horford makes 2-pt shot at rim (assist by K. Korver),2,57-62,,
7:15.0,,,57-62,,Orlando full timeout
7:04.0,,,57-62,,Turnover by V. Oladipo (lost ball; steal by J. Teague)
6:57.0,Turnover by J. Teague (bad pass; steal by V. Oladipo),,57-62,,
6:44.0,,,57-62,,N. Vucevic misses 2-pt shot from 16 ft
6:41.0,,,57-62,,Offensive rebound by E. Payton
6:40.0,,,57-64,2,E. Payton makes 2-pt shot from 2 ft
6:22.0,P. Millsap makes 3-pt shot from 26 ft,3,60-64,,
6:05.0,,,60-64,,V. Oladipo misses 2-pt shot from 17 ft
6:05.0,,,60-64,,Offensive rebound by Team
5:50.0,,,60-66,2,E. Payton makes 2-pt shot from 2 ft
5:33.0,P. Millsap misses 2-pt shot from 2 ft,,60-66,,
5:31.0,,,60-66,,Defensive rebound by D. Dedmon
5:14.0,,,60-66,,Turnover by N. Vucevic (bad pass)
4:54.0,A. Horford misses 2-pt shot from 20 ft,,60-66,,
4:54.0,Offensive rebound by Team,,60-66,,
4:54.0,,,60-66,,Loose ball foul by N. Vucevic (drawn by P. Millsap)
4:54.0,P. Antic enters the game for A. Horford,,60-66,,
4:54.0,K. Bazemore enters the game for K. Korver,,60-66,,
4:54.0,,,60-66,,W. Green enters the game for D. Dedmon
4:38.0,J. Teague misses 2-pt shot from 2 ft,,60-66,,
4:37.0,,,60-66,,Defensive rebound by N. Vucevic
4:29.0,,,60-66,,T. Harris misses 2-pt shot from 5 ft
4:28.0,,,60-66,,Offensive rebound by N. Vucevic
4:28.0,,,60-66,,N. Vucevic misses 2-pt shot from 1 ft
4:26.0,Defensive rebound by P. Antic,,60-66,,
4:21.0,D. Carroll misses 2-pt shot from 1 ft,,60-66,,
4:20.0,,,60-66,,Defensive rebound by N. Vucevic
4:00.0,,,60-66,,T. Harris misses 3-pt shot from 24 ft
3:59.0,Defensive rebound by D. Carroll,,60-66,,
3:55.0,Turnover by D. Carroll (bad pass; steal by T. Harris),,60-66,,
3:32.0,,,60-66,,W. Green misses 2-pt shot from 2 ft
3:31.0,Defensive rebound by P. Millsap,,60-66,,
3:16.0,Turnover by P. Millsap (bad pass),,60-66,,
3:16.0,D. Schroder enters the game for J. Teague,,60-66,,
3:01.0,,,60-68,2,T. Harris makes 2-pt shot from 4 ft (assist by E. Payton)
2:57.0,Atlanta full timeout,,60-68,,
2:57.0,,,60-68,,D. Dedmon enters the game for N. Vucevic
2:34.0,P. Millsap misses 2-pt shot from 15 ft,,60-68,,
2:33.0,,,60-68,,Defensive rebound by D. Dedmon
2:16.0,,,60-68,,Turnover by D. Dedmon (offensive goaltending)
1:52.0,D. Schroder misses 3-pt shot from 26 ft,,60-68,,
1:51.0,,,60-68,,Defensive rebound by D. Dedmon
1:46.0,,,60-68,,V. Oladipo misses 2-pt shot from 3 ft (block by P. Millsap)
1:44.0,Defensive rebound by P. Antic,,60-68,,
1:35.0,P. Antic makes 2-pt shot from 1 ft (assist by P. Millsap),2,62-68,,
1:18.0,Personal foul by D. Schroder (drawn by E. Payton),,62-68,,
1:18.0,A. Horford enters the game for P. Millsap,,62-68,,
1:18.0,K. Korver enters the game for D. Carroll,,62-68,,
1:07.0,,,62-68,,Shooting foul by P. Antic (drawn by V. Oladipo)
1:07.0,,,62-68,,V. Oladipo misses free throw 1 of 2
1:07.0,,,62-68,,Offensive rebound by Team
1:07.0,,,62-69,1,V. Oladipo makes free throw 2 of 2
0:53.0,,,62-69,,Personal block foul by D. Dedmon (drawn by D. Schroder)
0:47.0,K. Korver makes 2-pt shot from 19 ft (assist by D. Schroder),2,64-69,,
0:35.0,Personal foul by K. Korver (drawn by E. Payton),,64-69,,
0:35.0,,,64-70,1,E. Payton makes free throw 1 of 2
0:35.0,,,64-70,,A. Gordon enters the game for T. Harris
0:35.0,,,64-71,1,E. Payton makes free throw 2 of 2
0:29.0,D. Schroder makes 2-pt shot from 19 ft,2,66-71,,
0:04.0,,,66-71,,V. Oladipo misses 3-pt shot from 22 ft
0:03.0,Defensive rebound by D. Schroder,,66-71,,
0:01.0,K. Bazemore makes 2-pt shot from 2 ft (assist by D. Schroder),2,68-71,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,D. Schroder makes 3-pt shot from 25 ft (assist by K. Korver),3,71-71,,
11:26.0,,,71-71,,N. Vucevic misses 2-pt shot from 19 ft
11:25.0,Defensive rebound by K. Bazemore,,71-71,,
11:11.0,D. Schroder misses 2-pt shot from 2 ft,,71-71,,
11:11.0,Offensive rebound by Team,,71-71,,
11:11.0,,,71-71,,Personal foul by L. Ridnour (drawn by P. Antic)
11:11.0,T. Sefolosha enters the game for K. Bazemore,,71-71,,
11:02.0,K. Korver misses 3-pt shot from 26 ft,,71-71,,
11:00.0,,,71-71,,Defensive rebound by N. Vucevic
10:49.0,,,71-74,3,A. Nicholson makes 3-pt shot from 23 ft (assist by N. Vucevic)
10:24.0,Turnover by D. Schroder (lost ball; steal by A. Gordon),,71-74,,
10:20.0,,,71-74,,Shooting foul by P. Antic (drawn by V. Oladipo)
10:20.0,,,71-75,1,V. Oladipo makes free throw 1 of 2
10:20.0,,,71-76,1,V. Oladipo makes free throw 2 of 2
10:10.0,T. Sefolosha misses 3-pt shot from 23 ft,,71-76,,
10:08.0,,,71-76,,Defensive rebound by V. Oladipo
9:54.0,,,71-76,,V. Oladipo misses 3-pt shot from 26 ft
9:53.0,,,71-76,,Offensive rebound by Team
9:53.0,Personal foul by D. Schroder (drawn by A. Gordon),,71-76,,
9:53.0,P. Millsap enters the game for P. Antic,,71-76,,
9:46.0,Violation by D. Schroder (kicked ball),,71-76,,
9:30.0,,,71-76,,Turnover by N. Vucevic (lost ball; steal by T. Sefolosha)
9:14.0,,,71-76,,Personal foul by L. Ridnour (drawn by T. Sefolosha)
9:14.0,,,71-76,,E. Payton enters the game for V. Oladipo
9:09.0,,,71-76,,Personal foul by E. Payton (drawn by K. Korver)
9:09.0,,,71-76,,W. Green enters the game for A. Gordon
9:05.0,P. Millsap misses 2-pt shot from 8 ft,,71-76,,
9:03.0,,,71-76,,Defensive rebound by E. Payton
8:53.0,,,71-78,2,A. Nicholson makes 2-pt shot from 22 ft (assist by E. Payton)
8:26.0,Turnover by Team (shot clock),,71-78,,
8:26.0,Official timeout,,71-78,,
8:26.0,J. Teague enters the game for D. Schroder,,71-78,,
8:08.0,,,71-78,,E. Payton misses 2-pt shot from 10 ft
8:06.0,Defensive rebound by K. Korver,,71-78,,
7:56.0,A. Horford makes 2-pt shot from 1 ft (assist by J. Teague),2,73-78,,
7:42.0,,,73-78,,E. Payton misses 2-pt shot from 2 ft (block by K. Korver)
7:42.0,,,73-78,,Offensive rebound by Team
7:42.0,D. Carroll enters the game for T. Sefolosha,,73-78,,
7:27.0,,,73-78,,E. Payton misses 2-pt shot from 9 ft
7:26.0,Defensive rebound by K. Korver,,73-78,,
7:10.0,Turnover by D. Carroll (lost ball),,73-78,,
6:58.0,,,73-78,,L. Ridnour misses 2-pt shot from 20 ft
6:57.0,Defensive rebound by Team,,73-78,,
6:44.0,P. Millsap misses 2-pt shot from 2 ft,,73-78,,
6:43.0,,,73-78,,Defensive rebound by A. Nicholson
6:33.0,,,73-78,,Shooting foul by K. Korver (drawn by E. Payton)
6:33.0,,,73-78,,E. Payton misses free throw 1 of 2
6:33.0,,,73-78,,Offensive rebound by Team
6:33.0,,,73-78,,T. Harris enters the game for L. Ridnour
6:33.0,,,73-78,,V. Oladipo enters the game for W. Green
6:33.0,P. Antic enters the game for A. Horford,,73-78,,
6:33.0,,,73-79,1,E. Payton makes free throw 2 of 2
6:23.0,K. Korver makes 3-pt shot from 26 ft (assist by D. Carroll),3,76-79,,
5:59.0,,,76-79,,Turnover by E. Payton (step out of bounds)
5:59.0,,,76-79,,Orlando full timeout
5:42.0,D. Carroll makes 2-pt shot from 8 ft (assist by J. Teague),2,78-79,,
5:28.0,Personal foul by J. Teague (drawn by V. Oladipo),,78-79,,
5:28.0,Violation by Team (delay of game),,78-79,,
5:18.0,,,78-79,,E. Payton misses 2-pt shot from 11 ft
5:17.0,,,78-79,,Offensive rebound by E. Payton
5:16.0,,,78-81,2,E. Payton makes 2-pt shot from 5 ft
5:16.0,,,78-81,,Shooting foul by D. Carroll (drawn by E. Payton)
5:16.0,,,78-81,,E. Payton misses free throw 1 of 1
5:15.0,Defensive rebound by D. Carroll,,78-81,,
5:06.0,P. Millsap makes 2-pt shot at rim (assist by J. Teague),2,80-81,,
4:46.0,,,80-81,,Turnover by E. Payton (lost ball; steal by K. Korver)
4:34.0,J. Teague makes 2-pt shot from 2 ft,2,82-81,,
4:16.0,,,82-81,,Turnover by V. Oladipo (lost ball; steal by K. Korver)
4:10.0,K. Korver misses 3-pt shot from 24 ft,,82-81,,
4:08.0,,,82-81,,Defensive rebound by T. Harris
3:57.0,,,82-81,,Turnover by V. Oladipo (step out of bounds)
3:57.0,D. Schroder enters the game for K. Korver,,82-81,,
3:57.0,,,82-81,,Violation by Team (delay of game)
3:34.0,P. Millsap misses 2-pt shot from 16 ft,,82-81,,
3:32.0,Offensive rebound by J. Teague,,82-81,,
3:27.0,D. Schroder makes 3-pt shot from 25 ft (assist by J. Teague),3,85-81,,
3:26.0,,,85-81,,Orlando full timeout
3:14.0,,,85-81,,A. Nicholson misses 3-pt shot from 26 ft
3:13.0,Defensive rebound by D. Carroll,,85-81,,
2:59.0,J. Teague makes 2-pt shot from 18 ft,2,87-81,,
2:39.0,,,87-81,,Turnover by E. Payton (lost ball)
2:39.0,Atlanta full timeout,,87-81,,
2:39.0,K. Korver enters the game for D. Schroder,,87-81,,
2:39.0,,,87-81,,D. Dedmon enters the game for A. Nicholson
2:25.0,P. Antic makes 3-pt shot from 23 ft (assist by J. Teague),3,90-81,,
2:13.0,,,90-81,,Offensive charge foul by V. Oladipo
2:13.0,,,90-81,,Turnover by V. Oladipo (offensive foul)
1:55.0,J. Teague makes 3-pt shot from 25 ft,3,93-81,,
