time,Phoenix,pts.away,score,pts.home,Denver
6:32.0,M. Morris misses 2-pt shot from 10 ft,,7-12,,
6:31.0,,,7-12,,Defensive rebound by W. Chandler
6:18.0,Personal foul by M. Morris (drawn by W. Chandler),,7-12,,
6:15.0,Violation by M. Morris (kicked ball),,7-12,,
5:59.0,,,7-15,3,W. Chandler makes 3-pt shot from 25 ft (assist by J. Hickson)
5:47.0,G. Dragic misses 3-pt shot from 22 ft,,7-15,,
5:45.0,,,7-15,,Defensive rebound by W. Chandler
5:44.0,Personal foul by M. Morris (drawn by T. Mozgov),,7-15,,
5:44.0,A. Len enters the game for M. Plumlee,,7-15,,
5:44.0,P. Tucker enters the game for M. Morris,,7-15,,
5:33.0,,,7-15,,T. Lawson misses 2-pt shot from 16 ft
5:31.0,Defensive rebound by P. Tucker,,7-15,,
5:25.0,Turnover by P. Tucker (step out of bounds),,7-15,,
5:14.0,,,7-15,,Shooting foul by G. Dragic (drawn by A. Afflalo)
5:14.0,,,7-15,,A. Afflalo misses free throw 1 of 2
5:14.0,,,7-15,,Offensive rebound by Team
5:14.0,,,7-16,1,A. Afflalo makes free throw 2 of 2
4:58.0,M. Morris misses 3-pt shot from 25 ft,,7-16,,
4:57.0,,,7-16,,Defensive rebound by T. Mozgov
4:48.0,,,7-16,,W. Chandler misses 3-pt shot from 24 ft
4:47.0,,,7-16,,Offensive rebound by W. Chandler
4:44.0,,,7-16,,W. Chandler misses 2-pt shot from 7 ft
4:43.0,Defensive rebound by A. Len,,7-16,,
4:23.0,E. Bledsoe makes 2-pt shot from 9 ft,2,9-16,,
4:08.0,,,9-16,,T. Mozgov misses 2-pt shot from 17 ft
4:06.0,Defensive rebound by M. Morris,,9-16,,
3:55.0,P. Tucker makes 3-pt shot from 23 ft (assist by M. Morris),3,12-16,,
3:37.0,Violation by M. Morris (kicked ball),,12-16,,
3:37.0,,,12-16,,G. Harris enters the game for A. Afflalo
3:37.0,G. Green enters the game for G. Dragic,,12-16,,
3:36.0,Personal foul by P. Tucker (drawn by T. Lawson),,12-16,,
3:24.0,,,12-18,2,T. Lawson makes 2-pt shot from 15 ft
3:13.0,P. Tucker makes 3-pt shot from 24 ft (assist by E. Bledsoe),3,15-18,,
3:02.0,,,15-18,,T. Lawson misses 3-pt shot from 25 ft
2:59.0,,,15-18,,Offensive rebound by J. Hickson
2:50.0,,,15-20,2,J. Hickson makes 2-pt shot at rim (assist by T. Lawson)
2:30.0,M. Morris misses 2-pt shot from 2 ft,,15-20,,
2:28.0,,,15-20,,Defensive rebound by T. Lawson
2:26.0,,,15-20,,Shooting foul by A. Len (drawn by T. Mozgov)
2:26.0,,,15-22,2,T. Mozgov makes 2-pt shot from 2 ft (assist by T. Lawson)
2:26.0,,,15-22,,Denver full timeout
2:26.0,,,15-22,,D. Gallinari enters the game for W. Chandler
2:26.0,,,15-23,1,T. Mozgov makes free throw 1 of 1
2:05.0,E. Bledsoe misses 3-pt shot from 26 ft,,15-23,,
2:03.0,,,15-23,,Defensive rebound by G. Harris
1:57.0,,,15-23,,G. Harris misses 3-pt shot from 24 ft
1:55.0,Defensive rebound by A. Len,,15-23,,
1:41.0,G. Green misses 2-pt shot from 18 ft,,15-23,,
1:39.0,,,15-23,,Defensive rebound by D. Gallinari
1:31.0,,,15-25,2,T. Mozgov makes 2-pt shot at rim (assist by D. Gallinari)
1:26.0,Turnover by G. Green (bad pass; steal by T. Lawson),,15-25,,
1:21.0,,,15-27,2,T. Lawson makes 2-pt shot from 1 ft
1:20.0,Turnover by E. Bledsoe (bad pass; steal by G. Harris),,15-27,,
1:19.0,,,15-27,,Turnover by G. Harris (step out of bounds)
1:05.0,E. Bledsoe misses 2-pt shot from 4 ft,,15-27,,
1:04.0,Offensive rebound by A. Len,,15-27,,
1:03.0,A. Len misses 2-pt shot at rim (block by T. Mozgov),,15-27,,
1:02.0,Offensive rebound by Team,,15-27,,
1:02.0,Jump ball: A. Len vs. T. Mozgov (P. Tucker gains possession),,,,Jump ball: A. Len vs. T. Mozgov (P. Tucker gains possession)
0:55.0,Shooting foul by T. Mozgov (drawn by G. Green),,15-27,,
0:55.0,G. Green makes free throw 1 of 2,1,16-27,,
0:55.0,T. Warren enters the game for M. Morris,,16-27,,
0:55.0,G. Green makes free throw 2 of 2,1,17-27,,
0:42.0,,,17-27,,D. Gallinari misses 2-pt shot from 5 ft
0:41.0,,,17-27,,Offensive rebound by D. Gallinari
0:40.0,,,17-29,2,D. Gallinari makes 2-pt shot from 4 ft
0:40.0,,,17-29,,Shooting foul by T. Warren (drawn by D. Gallinari)
0:40.0,,,17-30,1,D. Gallinari makes free throw 1 of 1
0:31.0,E. Bledsoe makes 2-pt shot from 18 ft,2,19-30,,
0:20.0,,,19-33,3,G. Harris makes 3-pt shot from 24 ft (assist by T. Mozgov)
0:05.0,G. Green makes 3-pt shot from 26 ft,3,22-33,,
0:00.0,,,22-33,,T. Lawson misses 3-pt shot from 27 ft (block by E. Bledsoe)
0:00.0,,,22-33,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,22-33,,G. Harris misses 2-pt shot from 4 ft
11:46.0,Defensive rebound by A. Len,,22-33,,
11:35.0,G. Green misses 2-pt shot from 20 ft,,22-33,,
11:34.0,,,22-33,,Defensive rebound by J. Hickson
11:28.0,,,22-33,,N. Robinson misses 2-pt shot from 16 ft
11:27.0,,,22-33,,Offensive rebound by Team
11:27.0,M. Plumlee enters the game for A. Len,,22-33,,
11:20.0,,,22-36,3,G. Harris makes 3-pt shot from 25 ft (assist by J. Hickson)
11:02.0,Shooting foul by G. Harris (drawn by M. Plumlee),,22-36,,
11:02.0,M. Plumlee misses free throw 1 of 2,,22-36,,
11:02.0,Offensive rebound by Team,,22-36,,
11:02.0,M. Plumlee misses free throw 2 of 2,,22-36,,
11:00.0,,,22-36,,Defensive rebound by D. Gallinari
10:38.0,,,22-38,2,D. Gallinari makes 2-pt shot from 22 ft
10:25.0,G. Dragic makes 2-pt shot at rim (assist by G. Green),2,24-38,,
10:12.0,,,24-40,2,N. Robinson makes 2-pt shot from 16 ft
10:06.0,Phoenix full timeout,,24-40,,
9:57.0,G. Green misses 3-pt shot from 24 ft,,24-40,,
9:55.0,,,24-40,,Defensive rebound by N. Robinson
9:41.0,,,24-42,2,G. Harris makes 2-pt shot from 17 ft
9:22.0,G. Green makes 3-pt shot from 24 ft (assist by G. Dragic),3,27-42,,
9:12.0,,,27-42,,Shooting foul by M. Plumlee (drawn by J. Hickson)
9:12.0,,,27-43,1,J. Hickson makes free throw 1 of 2
9:12.0,,,27-44,1,J. Hickson makes free throw 2 of 2
8:52.0,T. Warren misses 2-pt shot from 22 ft,,27-44,,
8:50.0,,,27-44,,Defensive rebound by G. Harris
8:47.0,Personal foul by T. Warren (drawn by D. Gallinari),,27-44,,
8:37.0,,,27-44,,J. Hickson misses 2-pt shot from 4 ft
8:36.0,,,27-44,,Offensive rebound by D. Arthur
8:35.0,,,27-46,2,D. Arthur makes 2-pt shot at rim
8:19.0,Shooting foul by D. Arthur (drawn by P. Tucker),,27-46,,
8:19.0,P. Tucker makes free throw 1 of 2,1,28-46,,
8:19.0,P. Tucker misses free throw 2 of 2,,28-46,,
8:17.0,,,28-46,,Defensive rebound by J. Hickson
7:58.0,,,28-46,,J. Hickson misses 2-pt shot from 12 ft
7:56.0,Defensive rebound by T. Warren,,28-46,,
7:49.0,,,28-46,,Def 3 sec tech foul by J. Hickson
7:49.0,G. Green makes technical free throw,1,29-46,,
7:49.0,,,29-46,,K. Faried enters the game for J. Hickson
7:41.0,G. Green misses 2-pt shot from 20 ft,,29-46,,
7:40.0,,,29-46,,Defensive rebound by D. Arthur
7:28.0,,,29-46,,N. Robinson misses 2-pt shot from 2 ft
7:27.0,Defensive rebound by M. Plumlee,,29-46,,
7:18.0,T. Warren makes 3-pt shot from 24 ft (assist by P. Tucker),3,32-46,,
7:05.0,,,32-46,,Offensive foul by N. Robinson
7:05.0,,,32-46,,Turnover by N. Robinson (offensive foul)
6:48.0,G. Green misses 2-pt shot from 5 ft,,32-46,,
6:46.0,,,32-46,,Defensive rebound by K. Faried
6:37.0,,,32-48,2,N. Robinson makes 2-pt shot from 15 ft
6:27.0,G. Dragic misses 2-pt shot from 1 ft,,32-48,,
6:25.0,,,32-48,,Defensive rebound by D. Arthur
6:21.0,,,32-48,,N. Robinson misses 3-pt shot from 25 ft
6:20.0,,,32-48,,Offensive rebound by K. Faried
6:18.0,,,32-50,2,K. Faried makes 2-pt shot from 1 ft
6:09.0,Offensive charge foul by T. Warren,,32-50,,
6:09.0,Turnover by T. Warren (offensive foul),,32-50,,
6:09.0,M. Morris enters the game for M. Plumlee,,32-50,,
6:09.0,M. Morris enters the game for P. Tucker,,32-50,,
6:09.0,E. Bledsoe enters the game for T. Warren,,32-50,,
6:09.0,,,32-50,,T. Lawson enters the game for G. Harris
5:58.0,,,32-50,,Shooting foul by M. Morris (drawn by K. Faried)
5:58.0,Official timeout,,32-50,,
5:58.0,P. Tucker enters the game for M. Morris,,32-50,,
5:58.0,,,32-51,1,K. Faried makes free throw 1 of 2
5:58.0,,,32-52,1,K. Faried makes free throw 2 of 2
5:40.0,G. Dragic misses 3-pt shot from 27 ft,,32-52,,
5:39.0,,,32-52,,Defensive rebound by D. Gallinari
5:18.0,,,32-52,,N. Robinson misses 2-pt shot from 12 ft
5:17.0,,,32-52,,Offensive rebound by K. Faried
5:16.0,,,32-52,,K. Faried misses 2-pt shot from 2 ft
5:15.0,Defensive rebound by P. Tucker,,32-52,,
5:15.0,,,32-52,,Personal foul by T. Lawson (drawn by G. Dragic)
5:15.0,,,32-52,,A. Afflalo enters the game for D. Gallinari
5:15.0,,,32-52,,W. Chandler enters the game for D. Arthur
5:15.0,,,32-52,,T. Mozgov enters the game for N. Robinson
5:08.0,M. Morris misses 2-pt shot from 16 ft,,32-52,,
5:06.0,Offensive rebound by P. Tucker,,32-52,,
4:59.0,G. Green makes 2-pt shot at rim,2,34-52,,
4:59.0,Shooting foul by T. Mozgov (drawn by G. Green),,34-52,,
4:59.0,G. Green makes free throw 1 of 1,1,35-52,,
4:59.0,Inbound foul by E. Bledsoe,,35-52,,
4:59.0,,,35-52,,T. Lawson misses free throw 1 of 2
4:59.0,,,35-52,,Offensive rebound by Team
4:59.0,,,35-53,1,T. Lawson makes free throw 2 of 2
4:45.0,E. Bledsoe makes 2-pt shot from 1 ft,2,37-53,,
4:32.0,,,37-53,,Shooting foul by E. Bledsoe (drawn by T. Lawson)
4:32.0,,,37-54,1,T. Lawson makes free throw 1 of 2
4:32.0,,,37-54,,D. Arthur enters the game for T. Mozgov
4:32.0,,,37-55,1,T. Lawson makes free throw 2 of 2
4:16.0,Turnover by E. Bledsoe (bad pass; steal by D. Arthur),,37-55,,
3:59.0,,,37-55,,T. Lawson misses 2-pt shot from 16 ft
3:58.0,,,37-55,,Offensive rebound by W. Chandler
3:58.0,,,37-55,,W. Chandler misses 2-pt shot from 1 ft
3:56.0,,,37-55,,Offensive rebound by W. Chandler
3:53.0,,,37-55,,Turnover by W. Chandler (bad pass; steal by M. Morris)
3:47.0,Shooting foul by A. Afflalo (drawn by E. Bledsoe),,37-55,,
3:47.0,E. Bledsoe makes free throw 1 of 2,1,38-55,,
3:47.0,E. Bledsoe makes free throw 2 of 2,1,39-55,,
3:29.0,,,39-55,,Turnover by K. Faried (lost ball; steal by M. Morris)
3:23.0,G. Dragic makes 2-pt shot from 1 ft (assist by E. Bledsoe),2,41-55,,
3:19.0,,,41-55,,Denver full timeout
3:11.0,Personal foul by G. Dragic (drawn by A. Afflalo),,41-55,,
3:11.0,,,41-56,1,A. Afflalo makes free throw 1 of 2
3:11.0,,,41-57,1,A. Afflalo makes free throw 2 of 2
3:03.0,Offensive foul by M. Morris,,41-57,,
3:03.0,Turnover by M. Morris (offensive foul),,41-57,,
3:03.0,Technical foul by Team,,41-57,,
3:03.0,,,41-58,1,A. Afflalo makes technical free throw
2:51.0,,,41-60,2,A. Afflalo makes 2-pt shot from 7 ft (assist by T. Lawson)
2:37.0,,,41-60,,Inbound foul by D. Arthur
2:37.0,P. Tucker misses free throw 1 of 2,,41-60,,
2:37.0,Offensive rebound by Team,,41-60,,
2:37.0,P. Tucker makes free throw 2 of 2,1,42-60,,
2:37.0,Violation by Team (delay of game),,42-60,,
2:19.0,,,42-62,2,D. Arthur makes 2-pt shot from 2 ft (assist by T. Lawson)
1:59.0,G. Dragic misses 2-pt shot from 16 ft,,42-62,,
1:56.0,,,42-62,,Defensive rebound by K. Faried
1:41.0,,,42-64,2,D. Arthur makes 2-pt shot at rim (assist by T. Lawson)
1:25.0,,,42-64,,Shooting block foul by D. Arthur (drawn by M. Morris)
1:25.0,M. Morris makes 2-pt shot from 6 ft (assist by E. Bledsoe),2,44-64,,
1:25.0,,,44-64,,J. Hickson enters the game for D. Arthur
1:25.0,M. Morris makes free throw 1 of 1,1,45-64,,
1:05.0,,,45-64,,A. Afflalo misses 2-pt shot from 8 ft (block by M. Morris)
1:04.0,Defensive rebound by M. Morris,,45-64,,
1:00.0,Shooting foul by W. Chandler (drawn by E. Bledsoe),,45-64,,
1:00.0,E. Bledsoe makes free throw 1 of 2,1,46-64,,
1:00.0,E. Bledsoe makes free throw 2 of 2,1,47-64,,
0:36.0,,,47-64,,T. Lawson misses 3-pt shot from 25 ft
0:34.0,Defensive rebound by E. Bledsoe,,47-64,,
0:28.0,E. Bledsoe misses 2-pt shot from 3 ft,,47-64,,
0:27.0,,,47-64,,Defensive rebound by K. Faried
0:26.0,Personal foul by G. Dragic (drawn by K. Faried),,47-64,,
0:26.0,,,47-65,1,K. Faried makes free throw 1 of 2
0:26.0,,,47-66,1,K. Faried makes free throw 2 of 2
0:02.0,E. Bledsoe misses 2-pt shot from 11 ft,,47-66,,
0:01.0,,,47-66,,Defensive rebound by J. Hickson
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,,,47-69,3,W. Chandler makes 3-pt shot from 24 ft (assist by A. Afflalo)
11:07.0,M. Morris makes 2-pt shot from 22 ft,2,49-69,,
10:51.0,,,49-71,2,A. Afflalo makes 2-pt shot from 18 ft (assist by T. Lawson)
10:35.0,E. Bledsoe makes 2-pt shot from 8 ft (assist by G. Dragic),2,51-71,,
10:07.0,,,51-73,2,T. Mozgov makes 2-pt shot from 19 ft (assist by T. Lawson)
10:07.0,Away from play foul by M. Morris (drawn by K. Faried),,51-73,,
10:07.0,,,51-74,1,K. Faried makes free throw 1 of 1
9:54.0,M. Morris makes 2-pt shot at rim,2,53-74,,
9:54.0,Technical foul by M. Morris,,53-74,,
9:54.0,,,53-75,1,A. Afflalo makes technical free throw
9:35.0,,,53-75,,W. Chandler misses 3-pt shot from 26 ft
9:34.0,Defensive rebound by E. Bledsoe,,53-75,,
9:29.0,Turnover by G. Dragic (lost ball; steal by W. Chandler),,53-75,,
9:26.0,,,53-75,,Turnover by T. Lawson (traveling)
9:11.0,M. Morris makes 2-pt shot from 11 ft (assist by M. Morris),2,55-75,,
8:47.0,,,55-75,,A. Afflalo misses 2-pt shot from 4 ft
8:45.0,Defensive rebound by M. Morris,,55-75,,
8:35.0,E. Bledsoe misses 3-pt shot from 24 ft,,55-75,,
8:34.0,,,55-75,,Defensive rebound by A. Afflalo
8:27.0,Personal foul by M. Plumlee (drawn by T. Mozgov),,55-75,,
8:21.0,Personal foul by G. Dragic (drawn by T. Lawson),,55-75,,
8:12.0,G. Green enters the game for G. Dragic,,55-75,,
8:10.0,,,55-75,,Shooting foul by M. Morris (drawn by T. Mozgov)
8:10.0,,,55-76,1,T. Mozgov makes free throw 1 of 2
8:10.0,,,55-77,1,T. Mozgov makes free throw 2 of 2
8:03.0,,,55-77,,Personal foul by W. Chandler (drawn by M. Morris)
7:48.0,Turnover by M. Plumlee (traveling),,55-77,,
7:35.0,,,55-77,,T. Lawson misses 2-pt shot from 16 ft
7:34.0,Defensive rebound by M. Morris,,55-77,,
7:33.0,,,55-77,,Personal foul by K. Faried (drawn by M. Morris)
7:17.0,,,55-77,,Personal foul by T. Lawson (drawn by M. Morris)
7:08.0,M. Plumlee misses 2-pt shot from 2 ft (block by T. Mozgov),,55-77,,
7:07.0,Offensive rebound by M. Morris,,55-77,,
7:06.0,Shooting foul by T. Mozgov (drawn by M. Morris),,55-77,,
7:06.0,M. Morris makes free throw 1 of 2,1,56-77,,
7:06.0,M. Morris makes free throw 2 of 2,1,57-77,,
6:55.0,,,57-77,,K. Faried misses 2-pt shot from 4 ft
6:54.0,,,57-77,,Offensive rebound by K. Faried
6:47.0,,,57-80,3,W. Chandler makes 3-pt shot from 24 ft (assist by T. Lawson)
6:36.0,E. Bledsoe misses 2-pt shot from 6 ft,,57-80,,
6:35.0,Offensive rebound by E. Bledsoe,,57-80,,
6:32.0,M. Morris misses 3-pt shot from 24 ft,,57-80,,
6:30.0,,,57-80,,Defensive rebound by A. Afflalo
6:17.0,,,57-82,2,K. Faried makes 2-pt shot from 2 ft
6:16.0,,,57-82,,Personal foul by T. Lawson (drawn by E. Bledsoe)
6:16.0,E. Bledsoe makes free throw 1 of 2,1,58-82,,
6:16.0,A. Len enters the game for M. Plumlee,,58-82,,
6:16.0,E. Bledsoe makes free throw 2 of 2,1,59-82,,
6:03.0,,,59-85,3,A. Afflalo makes 3-pt shot from 24 ft (assist by T. Lawson)
5:53.0,M. Morris misses 2-pt shot from 2 ft,,59-85,,
5:52.0,Offensive rebound by Team,,59-85,,
5:52.0,P. Tucker enters the game for M. Morris,,59-85,,
5:52.0,,,59-85,,Denver full timeout
5:49.0,G. Green misses 3-pt shot from 24 ft,,59-85,,
5:48.0,,,59-85,,Defensive rebound by K. Faried
5:36.0,,,59-85,,Shooting foul by G. Green (drawn by A. Afflalo)
5:36.0,,,59-86,1,A. Afflalo makes free throw 1 of 3
5:36.0,,,59-87,1,A. Afflalo makes free throw 2 of 3
5:36.0,,,59-88,1,A. Afflalo makes free throw 3 of 3
5:28.0,,,59-88,,Personal block foul by K. Faried (drawn by E. Bledsoe)
5:28.0,E. Bledsoe makes free throw 1 of 2,1,60-88,,
5:28.0,E. Bledsoe makes free throw 2 of 2,1,61-88,,
5:11.0,,,61-90,2,A. Afflalo makes 2-pt shot from 21 ft (assist by T. Lawson)
4:59.0,E. Bledsoe misses 2-pt shot from 14 ft,,61-90,,
4:57.0,,,61-90,,Defensive rebound by T. Lawson
4:46.0,,,61-90,,K. Faried misses 2-pt shot from 16 ft
4:45.0,Defensive rebound by M. Morris,,61-90,,
4:33.0,G. Green misses 3-pt shot from 24 ft,,61-90,,
4:32.0,,,61-90,,Defensive rebound by W. Chandler
4:23.0,,,61-90,,Turnover by T. Mozgov (bad pass)
4:23.0,,,61-90,,J. Hickson enters the game for K. Faried
4:23.0,T. Warren enters the game for M. Morris,,61-90,,
4:08.0,P. Tucker makes 3-pt shot from 24 ft (assist by E. Bledsoe),3,64-90,,
3:55.0,,,64-90,,J. Hickson misses 2-pt shot from 2 ft
3:54.0,,,64-90,,Offensive rebound by T. Mozgov
3:53.0,,,64-90,,Shooting foul by T. Warren (drawn by T. Mozgov)
3:53.0,,,64-91,1,T. Mozgov makes free throw 1 of 2
3:53.0,,,64-92,1,T. Mozgov makes free throw 2 of 2
3:41.0,E. Bledsoe misses 2-pt shot from 2 ft,,64-92,,
3:40.0,,,64-92,,Defensive rebound by J. Hickson
3:25.0,Personal foul by G. Green (drawn by A. Afflalo),,64-92,,
3:25.0,,,64-92,,A. Afflalo misses free throw 1 of 2
3:25.0,,,64-92,,Offensive rebound by Team
3:25.0,,,64-92,,D. Arthur enters the game for T. Mozgov
3:25.0,A. Goodwin enters the game for G. Green,,64-92,,
3:25.0,,,64-93,1,A. Afflalo makes free throw 2 of 2
3:12.0,P. Tucker misses 3-pt shot from 24 ft,,64-93,,
3:11.0,,,64-93,,Defensive rebound by A. Afflalo
3:04.0,,,64-93,,Turnover by A. Afflalo (bad pass)
3:00.0,Turnover by E. Bledsoe (bad pass; steal by W. Chandler),,64-93,,
2:59.0,Personal foul by A. Goodwin (drawn by A. Afflalo),,64-93,,
2:59.0,Phoenix full timeout,,64-93,,
2:59.0,A. Tolliver enters the game for E. Bledsoe,,64-93,,
2:59.0,T. Ennis enters the game for P. Tucker,,64-93,,
2:59.0,,,64-94,1,A. Afflalo makes free throw 1 of 2
2:59.0,,,64-95,1,A. Afflalo makes free throw 2 of 2
2:45.0,A. Goodwin misses 2-pt shot from 2 ft,,64-95,,
2:44.0,Offensive rebound by A. Goodwin,,64-95,,
2:44.0,A. Goodwin makes 2-pt shot from 2 ft,2,66-95,,
2:30.0,,,66-97,2,T. Lawson makes 2-pt shot from 13 ft
2:14.0,T. Warren makes 2-pt shot from 16 ft (assist by T. Ennis),2,68-97,,
2:02.0,,,68-97,,Offensive charge foul by J. Hickson
2:02.0,,,68-97,,Turnover by J. Hickson (offensive foul)
2:02.0,,,68-97,,G. Harris enters the game for A. Afflalo
2:02.0,,,68-97,,D. Gallinari enters the game for W. Chandler
1:52.0,A. Goodwin misses 2-pt shot from 2 ft,,68-97,,
1:51.0,,,68-97,,Defensive rebound by J. Hickson
1:51.0,Personal foul by A. Len (drawn by J. Hickson),,68-97,,
1:51.0,,,68-98,1,J. Hickson makes free throw 1 of 2
1:51.0,,,68-98,,N. Robinson enters the game for T. Lawson
1:51.0,,,68-99,1,J. Hickson makes free throw 2 of 2
1:38.0,Turnover by T. Ennis (bad pass; steal by J. Hickson),,68-99,,
1:25.0,,,68-99,,J. Hickson misses 2-pt shot from 5 ft
1:24.0,Defensive rebound by A. Len,,68-99,,
1:15.0,A. Tolliver misses 3-pt shot from 26 ft,,68-99,,
1:13.0,,,68-99,,Defensive rebound by J. Hickson
0:48.0,T. Warren misses 2-pt shot from 7 ft,,68-99,,
0:46.0,,,68-99,,Defensive rebound by J. Hickson
0:39.0,,,68-99,,G. Harris misses 2-pt shot from 15 ft
0:38.0,Defensive rebound by A. Len,,68-99,,
0:33.0,Shooting foul by J. Hickson (drawn by A. Goodwin),,68-99,,
0:33.0,A. Goodwin makes free throw 1 of 2,1,69-99,,
0:33.0,A. Goodwin makes free throw 2 of 2,1,70-99,,
0:10.0,,,70-99,,D. Gallinari misses 3-pt shot from 24 ft
0:09.0,Defensive rebound by A. Len,,70-99,,
0:01.0,A. Tolliver misses 3-pt shot from 23 ft,,70-99,,
0:00.0,Offensive rebound by Team,,70-99,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,A. Goodwin misses 2-pt shot from 7 ft,,70-99,,
11:37.0,,,70-99,,Defensive rebound by D. Gallinari
11:25.0,,,70-99,,Turnover by D. Arthur (bad pass; steal by A. Tolliver)
11:11.0,T. Ennis misses 3-pt shot from 24 ft,,70-99,,
11:10.0,,,70-99,,Defensive rebound by J. Hickson
10:52.0,,,70-99,,J. Hickson misses 2-pt shot from 17 ft
10:50.0,Defensive rebound by T. Ennis,,70-99,,
10:46.0,T. Ennis makes 2-pt shot from 1 ft,2,72-99,,
10:23.0,,,72-101,2,J. Hickson makes 2-pt shot from 17 ft (assist by G. Harris)
10:05.0,T. Warren makes 2-pt shot from 9 ft,2,74-101,,
9:50.0,,,74-101,,N. Robinson misses 2-pt shot from 21 ft
9:48.0,Defensive rebound by A. Tolliver,,74-101,,
9:44.0,Turnover by A. Len (lost ball; steal by G. Harris),,74-101,,
9:42.0,,,74-101,,Turnover by G. Harris (offensive foul)
9:42.0,,,74-101,,Offensive charge foul by G. Harris
9:30.0,A. Goodwin makes 2-pt shot from 2 ft,2,76-101,,
9:30.0,Shooting foul by G. Harris (drawn by A. Goodwin),,76-101,,
9:30.0,A. Goodwin misses free throw 1 of 1,,76-101,,
9:27.0,,,76-101,,Defensive rebound by J. Hickson
9:05.0,,,76-101,,D. Arthur misses 3-pt shot from 24 ft
9:03.0,Defensive rebound by A. Len,,76-101,,
8:55.0,T. Warren makes 2-pt shot from 19 ft (assist by T. Ennis),2,78-101,,
8:35.0,,,78-101,,D. Gallinari misses 2-pt shot from 21 ft
8:34.0,Defensive rebound by A. Goodwin,,78-101,,
8:31.0,A. Goodwin makes 2-pt shot at rim,2,80-101,,
8:31.0,,,80-101,,Denver full timeout
8:31.0,,,80-101,,A. Gee enters the game for J. Hickson
8:31.0,,,80-101,,Violation by Team (delay of game)
8:13.0,,,80-101,,D. Arthur misses 2-pt shot from 21 ft
8:12.0,,,80-101,,Offensive rebound by Team
