time,Miami,pts.away,score,pts.home,Houston
7:11.0,,,69-101,,Defensive rebound by I. Canaan
7:07.0,,,69-101,,I. Canaan misses 3-pt shot from 25 ft
7:06.0,Defensive rebound by N. Cole,,69-101,,
6:47.0,A. Dawkins misses 3-pt shot from 25 ft,,69-101,,
6:46.0,,,69-101,,Defensive rebound by C. Brewer
6:38.0,Personal foul by A. Dawkins (drawn by K. Papanikolaou),,69-101,,
6:30.0,,,69-103,2,J. Smith makes 2-pt shot from 1 ft (assist by I. Canaan)
6:01.0,H. Whiteside makes 2-pt shot from 2 ft (assist by A. Dawkins),2,71-103,,
5:44.0,,,71-105,2,J. Smith makes 2-pt shot from 12 ft
5:27.0,J. Ennis misses 2-pt shot from 18 ft,,71-105,,
5:25.0,Offensive rebound by H. Whiteside,,71-105,,
5:25.0,H. Whiteside misses 2-pt shot from 3 ft,,71-105,,
5:25.0,,,71-105,,Defensive rebound by J. Dorsey
5:16.0,,,71-105,,C. Brewer misses 3-pt shot from 23 ft
5:15.0,Defensive rebound by U. Haslem,,71-105,,
5:00.0,J. Ennis makes 2-pt shot at rim (assist by N. Cole),2,73-105,,
4:46.0,,,73-108,3,I. Canaan makes 3-pt shot from 25 ft
4:24.0,H. Whiteside makes 2-pt shot at rim (assist by N. Cole),2,75-108,,
4:05.0,,,75-108,,J. Smith misses 2-pt shot from 20 ft
4:04.0,,,75-108,,Offensive rebound by I. Canaan
3:48.0,,,75-108,,K. Papanikolaou misses 2-pt shot from 2 ft
3:46.0,,,75-108,,Offensive rebound by J. Smith
3:46.0,,,75-110,2,J. Smith makes 2-pt shot at rim
3:29.0,N. Cole misses 2-pt shot from 3 ft,,75-110,,
3:27.0,,,75-110,,Defensive rebound by J. Dorsey
3:21.0,,,75-113,3,I. Canaan makes 3-pt shot from 25 ft
3:19.0,Miami full timeout,,75-113,,
3:19.0,,,75-113,,J. Terry enters the game for J. Smith
3:04.0,Shooting foul by K. Papanikolaou (drawn by H. Whiteside),,75-113,,
3:04.0,H. Whiteside makes free throw 1 of 2,1,76-113,,
3:04.0,H. Whiteside makes free throw 2 of 2,1,77-113,,
2:42.0,,,77-113,,I. Canaan misses 2-pt shot from 4 ft (block by H. Whiteside)
2:40.0,Defensive rebound by N. Cole,,77-113,,
2:38.0,Turnover by N. Cole (lost ball),,77-113,,
2:38.0,,,77-113,,Houston full timeout
