time,Dallas,pts.away,score,pts.home,Atlanta
10:23.0,,,39-27,,Shooting foul by C. Villanueva (drawn by K. Bazemore)
10:23.0,,,39-28,1,K. Bazemore makes free throw 1 of 2
10:23.0,,,39-28,,K. Bazemore misses free throw 2 of 2
10:21.0,Defensive rebound by D. Nowitzki,,39-28,,
10:03.0,Turnover by C. Villanueva (lost ball; steal by K. Bazemore),,39-28,,
10:03.0,Jump ball: K. Bazemore vs. C. Villanueva (P. Millsap gains possession),,,,Jump ball: K. Bazemore vs. C. Villanueva (P. Millsap gains possession)
9:52.0,,,39-28,,P. Millsap misses 3-pt shot from 24 ft
9:50.0,Defensive rebound by Team,,39-28,,
9:32.0,Turnover by A. Aminu (back court),,39-28,,
9:15.0,,,39-30,2,D. Schroder makes 2-pt shot from 1 ft (assist by M. Scott)
9:06.0,J. Barea misses 2-pt shot from 4 ft,,39-30,,
9:04.0,,,39-30,,Defensive rebound by P. Millsap
9:04.0,,,39-30,,Turnover by P. Millsap (bad pass)
8:51.0,D. Harris makes 2-pt shot from 20 ft,2,41-30,,
8:28.0,,,41-32,2,P. Millsap makes 2-pt shot from 13 ft (assist by D. Schroder)
8:13.0,D. Harris misses 3-pt shot from 25 ft,,41-32,,
8:10.0,,,41-32,,Defensive rebound by M. Scott
7:57.0,,,41-34,2,P. Millsap makes 2-pt shot from 5 ft (assist by K. Bazemore)
7:57.0,Dallas full timeout,,41-34,,
7:57.0,M. Ellis enters the game for D. Nowitzki,,41-34,,
7:57.0,B. James enters the game for A. Aminu,,41-34,,
7:57.0,R. Jefferson enters the game for D. Harris,,41-34,,
7:32.0,R. Jefferson misses 2-pt shot from 5 ft,,41-34,,
7:32.0,Offensive rebound by B. James,,41-34,,
7:32.0,Shooting foul by P. Millsap (drawn by B. James),,41-34,,
7:32.0,B. James makes free throw 1 of 2,1,42-34,,
7:32.0,,,42-34,,J. Teague enters the game for K. Bazemore
7:32.0,B. James makes free throw 2 of 2,1,43-34,,
7:20.0,,,43-37,3,D. Schroder makes 3-pt shot from 23 ft (assist by P. Millsap)
7:07.0,C. Villanueva misses 3-pt shot from 27 ft,,43-37,,
7:06.0,,,43-37,,Defensive rebound by K. Korver
6:59.0,,,43-37,,D. Schroder misses 2-pt shot from 3 ft
6:58.0,Defensive rebound by B. James,,43-37,,
6:49.0,M. Ellis misses 3-pt shot from 24 ft,,43-37,,
6:48.0,Offensive rebound by J. Barea,,43-37,,
6:34.0,J. Barea misses 2-pt shot from 8 ft,,43-37,,
6:32.0,,,43-37,,Defensive rebound by M. Scott
6:20.0,,,43-39,2,J. Teague makes 2-pt shot from 1 ft (assist by D. Schroder)
6:19.0,Dallas full timeout,,43-39,,
6:19.0,,,43-39,,A. Horford enters the game for K. Korver
6:19.0,,,43-39,,D. Carroll enters the game for M. Scott
6:19.0,D. Harris enters the game for J. Barea,,43-39,,
6:19.0,A. Aminu enters the game for C. Villanueva,,43-39,,
6:06.0,M. Ellis makes 2-pt shot from 21 ft (assist by D. Harris),2,45-39,,
5:56.0,,,45-39,,D. Schroder misses 3-pt shot from 23 ft
5:53.0,Defensive rebound by R. Jefferson,,45-39,,
5:39.0,Turnover by D. Harris (bad pass; steal by A. Horford),,45-39,,
5:32.0,,,45-39,,A. Horford misses 2-pt shot from 2 ft
5:31.0,,,45-39,,Offensive rebound by Team
5:31.0,Official timeout,,45-39,,
5:23.0,,,45-41,2,J. Teague makes 2-pt shot from 10 ft
5:05.0,A. Aminu misses 3-pt shot from 24 ft,,45-41,,
5:03.0,Offensive rebound by B. James,,45-41,,
4:43.0,M. Ellis makes 3-pt shot from 24 ft (assist by R. Jefferson),3,48-41,,
4:32.0,Personal foul by D. Harris (drawn by A. Horford),,48-41,,
4:26.0,,,48-41,,D. Schroder misses 2-pt shot from 1 ft (block by B. James)
4:25.0,Defensive rebound by D. Harris,,48-41,,
4:18.0,A. Aminu misses 2-pt shot from 1 ft,,48-41,,
4:17.0,Offensive rebound by Team,,48-41,,
4:17.0,,,48-41,,K. Korver enters the game for D. Schroder
4:01.0,Shooting foul by J. Teague (drawn by B. James),,48-41,,
4:01.0,B. James misses free throw 1 of 2,,48-41,,
4:01.0,Offensive rebound by Team,,48-41,,
4:01.0,B. James makes free throw 2 of 2,1,49-41,,
3:55.0,,,49-44,3,K. Korver makes 3-pt shot from 22 ft (assist by A. Horford)
3:39.0,Turnover by A. Aminu (bad pass; steal by J. Teague),,49-44,,
3:31.0,,,49-47,3,D. Carroll makes 3-pt shot from 24 ft (assist by J. Teague)
3:24.0,Dallas full timeout,,49-47,,
3:24.0,,,49-47,,M. Scott enters the game for P. Millsap
3:24.0,C. Villanueva enters the game for B. James,,49-47,,
3:24.0,D. Nowitzki enters the game for A. Aminu,,49-47,,
3:12.0,Turnover by R. Jefferson (bad pass),,49-47,,
3:00.0,,,49-47,,A. Horford misses 2-pt shot from 7 ft
2:59.0,Defensive rebound by D. Harris,,49-47,,
2:52.0,Dallas full timeout,,49-47,,
2:52.0,J. Barea enters the game for D. Harris,,49-47,,
2:43.0,M. Ellis makes 2-pt shot from 1 ft (assist by J. Barea),2,51-47,,
2:33.0,Personal foul by D. Nowitzki (drawn by A. Horford),,51-47,,
2:33.0,,,51-47,,P. Millsap enters the game for M. Scott
2:22.0,,,51-47,,J. Teague misses 3-pt shot from 25 ft
2:20.0,,,51-47,,Offensive rebound by Team
2:12.0,,,51-47,,A. Horford misses 2-pt shot from 19 ft
2:11.0,,,51-47,,Offensive rebound by P. Millsap
2:11.0,Personal foul by C. Villanueva (drawn by P. Millsap),,51-47,,
2:11.0,A. Aminu enters the game for C. Villanueva,,51-47,,
1:53.0,,,51-47,,K. Korver misses 3-pt shot from 23 ft
1:51.0,Defensive rebound by M. Ellis,,51-47,,
1:47.0,Turnover by J. Barea (offensive foul),,51-47,,
1:47.0,Offensive charge foul by J. Barea,,51-47,,
1:32.0,,,51-47,,K. Korver misses 3-pt shot from 24 ft
1:30.0,,,51-47,,Offensive rebound by D. Carroll
1:27.0,,,51-47,,K. Korver misses 3-pt shot from 25 ft
1:24.0,,,51-47,,Offensive rebound by D. Carroll
1:18.0,,,51-47,,D. Carroll misses 3-pt shot from 25 ft
1:17.0,Defensive rebound by D. Nowitzki,,51-47,,
0:54.0,Turnover by Team (shot clock),,51-47,,
0:43.0,,,51-47,,J. Teague misses 2-pt shot from 2 ft
0:41.0,Defensive rebound by A. Aminu,,51-47,,
0:31.0,M. Ellis misses 3-pt shot from 26 ft,,51-47,,
0:27.0,,,51-47,,Defensive rebound by K. Korver
0:23.0,,,51-47,,Turnover by J. Teague (offensive foul)
0:23.0,,,51-47,,Offensive charge foul by J. Teague
0:23.0,,,51-47,,M. Scott enters the game for A. Horford
0:23.0,,,51-47,,K. Bazemore enters the game for K. Korver
0:23.0,C. Villanueva enters the game for A. Aminu,,51-47,,
0:23.0,,,51-47,,D. Schroder enters the game for J. Teague
0:05.0,J. Barea makes 2-pt shot from 19 ft,2,53-47,,
0:00.0,,,53-47,,D. Carroll misses 3-pt shot from 24 ft
0:00.0,,,53-47,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,D. Nowitzki misses 2-pt shot from 19 ft,,53-47,,
11:45.0,,,53-47,,Defensive rebound by J. Teague
11:33.0,,,53-50,3,J. Teague makes 3-pt shot from 24 ft (assist by D. Carroll)
11:06.0,M. Ellis makes 2-pt shot from 2 ft (assist by D. Nowitzki),2,55-50,,
10:48.0,,,55-50,,K. Korver misses 3-pt shot from 23 ft
10:47.0,Defensive rebound by B. James,,55-50,,
10:36.0,Turnover by M. Ellis (back court),,55-50,,
10:23.0,,,55-52,2,D. Carroll makes 2-pt shot from 1 ft (assist by J. Teague)
9:58.0,M. Ellis misses 2-pt shot from 21 ft,,55-52,,
9:57.0,,,55-52,,Defensive rebound by A. Horford
9:48.0,,,55-52,,A. Horford misses 2-pt shot from 16 ft
9:47.0,Defensive rebound by D. Nowitzki,,55-52,,
9:34.0,D. Nowitzki misses 3-pt shot from 26 ft,,55-52,,
9:32.0,,,55-52,,Defensive rebound by K. Korver
9:21.0,,,55-52,,J. Teague misses 3-pt shot from 23 ft
9:19.0,,,55-52,,Offensive rebound by A. Horford
9:15.0,,,55-52,,Shooting foul by M. Ellis (drawn by D. Carroll)
9:15.0,,,55-53,1,D. Carroll makes free throw 1 of 2
9:15.0,,,55-53,,D. Carroll misses free throw 2 of 2
9:13.0,Defensive rebound by R. Jefferson,,55-53,,
9:02.0,D. Nowitzki makes 2-pt shot from 18 ft (assist by J. Barea),2,57-53,,
8:48.0,,,57-53,,Shooting foul by D. Nowitzki (drawn by A. Horford)
8:48.0,,,57-53,,A. Horford misses free throw 1 of 2
8:48.0,,,57-53,,Offensive rebound by Team
8:48.0,,,57-54,1,A. Horford makes free throw 2 of 2
8:35.0,J. Barea misses 3-pt shot from 24 ft,,57-54,,
8:32.0,,,57-54,,Defensive rebound by K. Korver
8:23.0,,,57-57,3,P. Millsap makes 3-pt shot from 24 ft (assist by D. Carroll)
7:58.0,M. Ellis misses 3-pt shot from 24 ft,,57-57,,
7:55.0,,,57-57,,Defensive rebound by J. Teague
7:51.0,,,57-57,,J. Teague misses 2-pt shot from 2 ft
7:50.0,,,57-57,,Offensive rebound by A. Horford
7:47.0,,,57-60,3,K. Korver makes 3-pt shot from 25 ft (assist by A. Horford)
7:47.0,Dallas full timeout,,57-60,,
7:24.0,D. Nowitzki misses 2-pt shot from 1 ft,,57-60,,
7:23.0,,,57-60,,Defensive rebound by A. Horford
7:07.0,,,57-62,2,K. Korver makes 2-pt shot from 1 ft (assist by J. Teague)
6:57.0,Turnover by M. Ellis (bad pass; steal by P. Millsap),,57-62,,
6:53.0,,,57-64,2,P. Millsap makes 2-pt shot at rim
6:38.0,Turnover by J. Barea (bad pass; steal by A. Horford),,57-64,,
6:25.0,,,57-66,2,P. Millsap makes 2-pt shot from 2 ft
6:23.0,Dallas full timeout,,57-66,,
6:23.0,A. Aminu enters the game for D. Nowitzki,,57-66,,
6:23.0,C. Villanueva enters the game for B. James,,57-66,,
6:09.0,Shooting foul by P. Millsap (drawn by R. Jefferson),,57-66,,
6:09.0,R. Jefferson misses free throw 1 of 2,,57-66,,
6:09.0,Offensive rebound by Team,,57-66,,
6:09.0,R. Jefferson makes free throw 2 of 2,1,58-66,,
5:57.0,,,58-66,,Turnover by D. Carroll (traveling)
5:43.0,J. Barea makes 2-pt shot from 9 ft,2,60-66,,
5:21.0,,,60-66,,P. Millsap misses 2-pt shot from 4 ft
5:19.0,Defensive rebound by R. Jefferson,,60-66,,
5:14.0,J. Barea makes 2-pt shot from 19 ft,2,62-66,,
5:13.0,,,62-66,,Atlanta full timeout
4:56.0,,,62-66,,K. Korver misses 3-pt shot from 24 ft
4:55.0,,,62-66,,Offensive rebound by P. Millsap
4:55.0,,,62-66,,P. Millsap misses 2-pt shot at rim
4:51.0,,,62-66,,Offensive rebound by K. Korver
4:43.0,Violation by A. Aminu (def goaltending),,62-66,,
4:43.0,,,62-68,2,A. Horford makes 2-pt shot from 6 ft
4:29.0,Turnover by A. Aminu (traveling),,62-68,,
4:29.0,,,62-68,,K. Bazemore enters the game for A. Horford
4:29.0,,,62-68,,P. Antic enters the game for K. Korver
4:18.0,,,62-70,2,P. Millsap makes 2-pt shot from 16 ft (assist by J. Teague)
4:01.0,Turnover by J. Barea (bad pass; steal by K. Bazemore),,62-70,,
3:56.0,,,62-70,,Turnover by K. Bazemore (bad pass)
3:56.0,D. Harris enters the game for J. Barea,,62-70,,
3:38.0,A. Aminu misses 3-pt shot from 23 ft,,62-70,,
3:37.0,,,62-70,,Defensive rebound by D. Carroll
3:21.0,,,62-70,,Offensive charge foul by P. Millsap
3:21.0,,,62-70,,Turnover by P. Millsap (offensive foul)
3:21.0,,,62-70,,D. Schroder enters the game for J. Teague
3:02.0,M. Ellis makes 2-pt shot from 21 ft,2,64-70,,
2:34.0,,,64-70,,D. Schroder misses 2-pt shot from 2 ft
2:33.0,,,64-70,,Offensive rebound by P. Millsap
2:17.0,,,64-72,2,D. Carroll makes 2-pt shot from 11 ft
2:04.0,Turnover by A. Aminu (back court),,64-72,,
2:04.0,D. Nowitzki enters the game for R. Jefferson,,64-72,,
2:04.0,,,64-72,,A. Horford enters the game for P. Millsap
1:49.0,,,64-74,2,D. Schroder makes 2-pt shot from 11 ft (assist by A. Horford)
1:37.0,Shooting foul by P. Antic (drawn by D. Harris),,64-74,,
1:37.0,,,64-74,,K. Korver enters the game for D. Carroll
1:37.0,D. Harris makes free throw 1 of 2,1,65-74,,
1:37.0,D. Harris makes free throw 2 of 2,1,66-74,,
1:25.0,,,66-74,,Offensive charge foul by D. Schroder
1:25.0,,,66-74,,Turnover by D. Schroder (offensive foul)
1:09.0,D. Harris makes 2-pt shot from 19 ft,2,68-74,,
0:50.0,Personal foul by M. Ellis (drawn by K. Bazemore),,68-74,,
0:50.0,,,68-74,,Atlanta full timeout
0:43.0,,,68-77,3,K. Korver makes 3-pt shot from 24 ft (assist by A. Horford)
0:26.0,D. Harris misses 2-pt shot from 8 ft,,68-77,,
0:23.0,,,68-77,,Defensive rebound by A. Horford
0:00.0,,,68-77,,K. Bazemore misses 3-pt shot from 23 ft
0:00.0,,,68-77,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,,,68-79,2,D. Schroder makes 2-pt shot from 16 ft
11:19.0,D. Harris misses 3-pt shot from 25 ft,,68-79,,
11:18.0,Offensive rebound by Team,,68-79,,
11:09.0,C. Villanueva misses 3-pt shot from 24 ft,,68-79,,
11:08.0,,,68-79,,Defensive rebound by K. Bazemore
10:52.0,,,68-81,2,A. Horford makes 2-pt shot from 18 ft (assist by P. Antic)
10:38.0,D. Nowitzki misses 3-pt shot from 25 ft,,68-81,,
10:37.0,,,68-81,,Defensive rebound by K. Korver
10:31.0,,,68-81,,Shooting foul by C. Villanueva (drawn by A. Horford)
10:31.0,,,68-82,1,A. Horford makes free throw 1 of 2
10:31.0,,,68-83,1,A. Horford makes free throw 2 of 2
10:15.0,R. Jefferson misses 2-pt shot from 20 ft,,68-83,,
10:14.0,,,68-83,,Defensive rebound by P. Antic
10:06.0,,,68-86,3,D. Schroder makes 3-pt shot from 24 ft
9:54.0,J. Barea misses 3-pt shot from 25 ft,,68-86,,
9:52.0,,,68-86,,Defensive rebound by K. Bazemore
9:48.0,,,68-86,,K. Bazemore misses 2-pt shot from 2 ft
9:45.0,Defensive rebound by J. Barea,,68-86,,
9:44.0,,,68-86,,Personal foul by P. Antic (drawn by R. Jefferson)
9:44.0,,,68-86,,M. Scott enters the game for P. Antic
9:44.0,A. Aminu enters the game for D. Nowitzki,,68-86,,
9:36.0,R. Jefferson misses 3-pt shot from 23 ft,,68-86,,
9:34.0,,,68-86,,Defensive rebound by A. Horford
9:29.0,,,68-89,3,K. Korver makes 3-pt shot from 25 ft (assist by M. Scott)
9:22.0,Dallas full timeout,,68-89,,
9:22.0,D. Powell enters the game for A. Aminu,,68-89,,
9:22.0,G. Smith enters the game for C. Villanueva,,68-89,,
9:22.0,R. Felton enters the game for D. Harris,,68-89,,
9:17.0,R. Jefferson misses 2-pt shot from 1 ft,,68-89,,
9:14.0,Offensive rebound by G. Smith,,68-89,,
9:12.0,G. Smith misses 2-pt shot from 14 ft,,68-89,,
9:10.0,Offensive rebound by D. Powell,,68-89,,
9:10.0,D. Powell makes 2-pt shot at rim,2,70-89,,
8:47.0,,,70-91,2,A. Horford makes 2-pt shot from 12 ft (assist by D. Schroder)
8:31.0,D. Powell misses 2-pt shot from 18 ft,,70-91,,
8:30.0,,,70-91,,Defensive rebound by A. Horford
8:21.0,,,70-93,2,A. Horford makes 2-pt shot at rim (assist by K. Korver)
8:00.0,G. Smith makes 2-pt shot at rim (assist by J. Barea),2,72-93,,
7:34.0,,,72-93,,D. Schroder misses 3-pt shot from 25 ft
7:33.0,Defensive rebound by J. Barea,,72-93,,
7:24.0,R. Felton misses 3-pt shot from 24 ft,,72-93,,
7:23.0,,,72-93,,Defensive rebound by K. Bazemore
7:11.0,,,72-93,,D. Schroder misses 2-pt shot from 2 ft (block by R. Felton)
7:09.0,Defensive rebound by G. Smith,,72-93,,
7:08.0,Shooting foul by K. Bazemore (drawn by R. Jefferson),,72-93,,
7:08.0,R. Jefferson makes 2-pt shot at rim (assist by J. Barea),2,74-93,,
7:08.0,,,74-93,,S. Mack enters the game for K. Korver
7:08.0,R. Jefferson makes free throw 1 of 1,1,75-93,,
6:48.0,,,75-93,,M. Scott misses 3-pt shot from 23 ft
6:47.0,Defensive rebound by J. Barea,,75-93,,
6:35.0,,,75-93,,Violation by K. Bazemore (kicked ball)
6:35.0,,,75-93,,P. Millsap enters the game for A. Horford
6:35.0,,,75-93,,K. Korver enters the game for K. Bazemore
6:35.0,,,75-93,,J. Teague enters the game for D. Schroder
6:35.0,B. James enters the game for J. Barea,,75-93,,
6:28.0,R. Jefferson misses 3-pt shot from 24 ft,,75-93,,
6:27.0,Offensive rebound by B. James,,75-93,,
6:16.0,D. Powell misses 2-pt shot from 4 ft,,75-93,,
6:15.0,,,75-93,,Defensive rebound by P. Millsap
6:05.0,,,75-93,,J. Teague misses 2-pt shot from 1 ft
6:04.0,,,75-93,,Offensive rebound by Team
6:02.0,,,75-96,3,S. Mack makes 3-pt shot from 24 ft (assist by K. Korver)
5:39.0,R. Felton makes 2-pt shot from 2 ft,2,77-96,,
5:31.0,,,77-96,,M. Scott misses 3-pt shot from 25 ft
5:29.0,Defensive rebound by D. Powell,,77-96,,
5:15.0,R. Felton misses 2-pt shot from 4 ft (block by K. Korver),,77-96,,
5:14.0,Offensive rebound by B. James,,77-96,,
5:12.0,B. James misses 2-pt shot from 1 ft,,77-96,,
5:10.0,Offensive rebound by B. James,,77-96,,
5:08.0,Loose ball foul by D. Powell (drawn by J. Teague),,77-96,,
5:08.0,Turnover by D. Powell (offensive foul),,77-96,,
5:08.0,Official timeout,,77-96,,
5:08.0,A. Aminu enters the game for R. Jefferson,,77-96,,
4:58.0,Personal foul by D. Powell (drawn by K. Korver),,77-96,,
4:47.0,,,77-96,,S. Mack misses 3-pt shot from 24 ft
4:45.0,Defensive rebound by D. Powell,,77-96,,
4:29.0,D. Powell misses 3-pt shot from 24 ft,,77-96,,
4:28.0,,,77-96,,Defensive rebound by S. Mack
4:19.0,,,77-96,,P. Antic enters the game for P. Millsap
4:19.0,,,77-96,,J. Jenkins enters the game for K. Korver
4:19.0,,,77-96,,K. Bazemore enters the game for J. Teague
4:12.0,,,77-96,,Turnover by P. Antic (lost ball)
3:52.0,Turnover by D. Powell (bad pass; steal by K. Bazemore),,77-96,,
3:47.0,,,77-96,,S. Mack misses 2-pt shot from 1 ft
3:45.0,Defensive rebound by G. Smith,,77-96,,
3:39.0,,,77-96,,Personal foul by J. Jenkins (drawn by D. Powell)
3:28.0,D. Powell makes 2-pt shot from 1 ft,2,79-96,,
3:13.0,,,79-96,,M. Muscala enters the game for M. Scott
3:10.0,,,79-98,2,S. Mack makes 2-pt shot from 18 ft (assist by K. Bazemore)
2:49.0,A. Aminu makes 2-pt shot from 19 ft,2,81-98,,
2:39.0,,,81-98,,P. Antic misses 3-pt shot from 24 ft
2:37.0,,,81-98,,Offensive rebound by M. Muscala
2:21.0,,,81-98,,M. Muscala misses 2-pt shot from 17 ft
2:20.0,Defensive rebound by A. Aminu,,81-98,,
2:10.0,A. Aminu misses 2-pt shot from 1 ft,,81-98,,
2:08.0,Offensive rebound by D. Powell,,81-98,,
2:08.0,D. Powell misses 2-pt shot at rim,,81-98,,
2:07.0,,,81-98,,Defensive rebound by S. Mack
2:05.0,,,81-98,,Shooting foul by R. Felton (drawn by K. Bazemore)
2:05.0,,,81-98,,Atlanta full timeout
2:05.0,,,81-99,1,K. Bazemore makes free throw 1 of 2
2:05.0,,,81-99,,M. Scott enters the game for P. Antic
2:05.0,,,81-100,1,K. Bazemore makes free throw 2 of 2
