time,Minnesota,pts.away,score,pts.home,Milwaukee
8:04.0,Def 3 sec tech foul by T. Young,,7-4,,
8:04.0,,,7-5,1,B. Knight makes technical free throw
8:00.0,,,7-5,,J. O'Bryant misses 2-pt shot from 18 ft
7:59.0,Defensive rebound by A. Wiggins,,7-5,,
7:42.0,Turnover by G. Dieng (traveling),,7-5,,
7:42.0,,,7-5,,J. Dudley enters the game for J. O'Bryant
7:29.0,,,7-5,,J. Dudley misses 2-pt shot from 16 ft
7:28.0,,,7-5,,Offensive rebound by Z. Pachulia
7:28.0,Loose ball foul by A. Wiggins (drawn by Z. Pachulia),,7-5,,
7:18.0,,,7-8,3,K. Middleton makes 3-pt shot from 24 ft (assist by B. Knight)
6:57.0,Z. LaVine makes 2-pt shot from 21 ft (assist by S. Muhammad),2,9-8,,
6:48.0,,,9-8,,Turnover by G. Antetokounmpo (bad pass; steal by T. Young)
6:46.0,Shooting foul by G. Antetokounmpo (drawn by A. Wiggins),,9-8,,
6:46.0,A. Wiggins makes free throw 1 of 2,1,10-8,,
6:46.0,A. Wiggins makes free throw 2 of 2,1,11-8,,
6:36.0,,,11-8,,Turnover by B. Knight (lost ball; steal by Z. LaVine)
6:13.0,Z. LaVine misses 3-pt shot from 25 ft,,11-8,,
6:12.0,,,11-8,,Defensive rebound by K. Middleton
5:59.0,,,11-8,,K. Middleton misses 3-pt shot from 25 ft
5:58.0,Defensive rebound by Z. LaVine,,11-8,,
5:50.0,S. Muhammad misses 3-pt shot from 22 ft,,11-8,,
5:49.0,,,11-8,,Defensive rebound by Z. Pachulia
5:44.0,,,11-10,2,K. Middleton makes 2-pt shot at rim (assist by B. Knight)
5:23.0,S. Muhammad makes 2-pt shot at rim (assist by Z. LaVine),2,13-10,,
5:13.0,Personal block foul by T. Young (drawn by B. Knight),,13-10,,
5:13.0,,,13-10,,Milwaukee full timeout
4:57.0,,,13-10,,J. Dudley misses 2-pt shot from 3 ft (block by G. Dieng)
4:55.0,,,13-10,,Offensive rebound by J. Dudley
4:52.0,,,13-12,2,J. Dudley makes 2-pt shot from 14 ft
4:25.0,Z. LaVine misses 2-pt shot from 4 ft,,13-12,,
4:24.0,,,13-12,,Defensive rebound by Z. Pachulia
4:11.0,,,13-12,,Shooting foul by Z. LaVine (drawn by B. Knight)
4:11.0,,,13-14,2,B. Knight makes 2-pt shot at rim (assist by Z. Pachulia)
4:11.0,,,13-14,,J. Henson enters the game for Z. Pachulia
4:11.0,,,13-15,1,B. Knight makes free throw 1 of 1
3:52.0,S. Muhammad makes 2-pt shot from 17 ft,2,15-15,,
3:37.0,,,15-15,,Offensive foul by B. Knight
3:37.0,,,15-15,,Turnover by B. Knight (offensive foul)
3:27.0,S. Muhammad misses 2-pt shot from 4 ft,,15-15,,
3:26.0,Offensive rebound by A. Wiggins,,15-15,,
3:24.0,A. Wiggins misses 2-pt shot from 5 ft,,15-15,,
3:23.0,,,15-15,,Defensive rebound by K. Middleton
3:14.0,,,15-15,,J. Dudley misses 2-pt shot at rim
3:12.0,Defensive rebound by A. Wiggins,,15-15,,
3:02.0,A. Wiggins makes 2-pt shot at rim (assist by T. Young),2,17-15,,
2:43.0,,,17-15,,Turnover by G. Antetokounmpo (bad pass; steal by T. Young)
2:37.0,Minnesota full timeout,,17-15,,
2:37.0,C. Budinger enters the game for S. Muhammad,,17-15,,
2:37.0,,,17-15,,J. Bayless enters the game for B. Knight
2:19.0,Turnover by Team (shot clock),,17-15,,
1:54.0,,,17-15,,G. Antetokounmpo misses 2-pt shot from 12 ft
1:54.0,,,17-15,,Offensive rebound by Team
1:54.0,,,17-15,,Turnover by Team (shot clock)
1:35.0,C. Budinger makes 3-pt shot from 26 ft (assist by A. Wiggins),3,20-15,,
1:19.0,,,20-15,,Turnover by K. Middleton (bad pass)
1:19.0,A. Bennett enters the game for T. Young,,20-15,,
1:19.0,,,20-15,,O. Mayo enters the game for K. Middleton
1:06.0,,,20-15,,Personal foul by G. Antetokounmpo (drawn by A. Wiggins)
1:01.0,Z. LaVine misses 2-pt shot from 1 ft (block by J. Henson),,20-15,,
1:00.0,,,20-15,,Defensive rebound by G. Antetokounmpo
0:57.0,,,20-17,2,G. Antetokounmpo makes 2-pt shot at rim
0:37.0,C. Budinger makes 2-pt shot at rim (assist by A. Bennett),2,22-17,,
0:14.0,,,22-17,,J. Dudley misses 2-pt shot from 2 ft
0:12.0,,,22-17,,Offensive rebound by J. Henson
0:11.0,,,22-17,,J. Henson misses 2-pt shot at rim
0:10.0,,,22-17,,Offensive rebound by G. Antetokounmpo
0:10.0,,,22-19,2,G. Antetokounmpo makes 2-pt shot from 5 ft
0:01.0,A. Wiggins misses 3-pt shot from 25 ft,,22-19,,
0:00.0,Offensive rebound by C. Budinger,,22-19,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,A. Bennett misses 2-pt shot from 17 ft,,22-19,,
11:45.0,Offensive rebound by M. Raduljica,,22-19,,
11:45.0,,,22-19,,Personal foul by O. Mayo (drawn by M. Raduljica)
11:37.0,,,22-19,,Personal foul by O. Mayo (drawn by S. Muhammad)
11:29.0,Shooting foul by J. Henson (drawn by S. Muhammad),,22-19,,
11:29.0,S. Muhammad makes free throw 1 of 2,1,23-19,,
11:29.0,S. Muhammad makes free throw 2 of 2,1,24-19,,
11:21.0,,,24-19,,Turnover by O. Mayo (bad pass)
11:06.0,Turnover by S. Muhammad (bad pass),,24-19,,
10:55.0,Personal foul by M. Raduljica (drawn by J. Henson),,24-19,,
10:39.0,,,24-21,2,J. Bayless makes 2-pt shot from 18 ft
10:24.0,M. Raduljica misses 2-pt shot from 7 ft,,24-21,,
10:23.0,,,24-21,,Defensive rebound by O. Mayo
10:12.0,,,24-24,3,O. Mayo makes 3-pt shot from 22 ft (assist by J. Bayless)
9:52.0,Turnover by Z. LaVine (bad pass; steal by J. Dudley),,24-24,,
9:46.0,,,24-27,3,O. Mayo makes 3-pt shot from 23 ft (assist by K. Marshall)
9:46.0,Minnesota full timeout,,24-27,,
9:33.0,Turnover by Z. LaVine (lost ball; steal by K. Marshall),,24-27,,
9:24.0,,,24-27,,Turnover by J. Bayless (traveling)
9:10.0,Turnover by C. Budinger (lost ball; steal by J. Bayless),,24-27,,
9:05.0,,,24-29,2,J. Henson makes 2-pt shot at rim (assist by O. Mayo)
8:44.0,M. Raduljica makes 2-pt shot at rim (assist by A. Bennett),2,26-29,,
8:28.0,,,26-31,2,J. Henson makes 2-pt shot from 4 ft (assist by J. Bayless)
8:28.0,,,26-31,,Shooting foul by M. Raduljica (drawn by J. Henson)
8:28.0,,,26-32,1,J. Henson makes free throw 1 of 1
8:13.0,Z. LaVine misses 2-pt shot from 14 ft,,26-32,,
8:12.0,,,26-32,,Defensive rebound by J. Dudley
8:04.0,,,26-34,2,J. Henson makes 2-pt shot at rim (assist by J. Bayless)
7:39.0,A. Bennett makes 3-pt shot from 25 ft (assist by S. Muhammad),3,29-34,,
7:27.0,,,29-36,2,J. Dudley makes 2-pt shot from 16 ft (assist by J. Bayless)
6:59.0,S. Muhammad misses 2-pt shot from 18 ft,,29-36,,
6:59.0,,,29-36,,Defensive rebound by Team
6:59.0,Loose ball foul by A. Bennett (drawn by J. Dudley),,29-36,,
6:59.0,,,29-36,,Z. Pachulia enters the game for J. Henson
6:59.0,G. Dieng enters the game for S. Muhammad,,29-36,,
6:59.0,A. Wiggins enters the game for Z. LaVine,,29-36,,
6:59.0,T. Daniels enters the game for A. Bennett,,29-36,,
6:59.0,T. Young enters the game for M. Raduljica,,29-36,,
6:50.0,,,29-36,,Turnover by Z. Pachulia (bad pass; steal by T. Daniels)
6:47.0,Turnover by T. Daniels (bad pass; steal by K. Marshall),,29-36,,
6:37.0,,,29-36,,Offensive foul by Z. Pachulia
6:37.0,,,29-36,,Turnover by Z. Pachulia (offensive foul)
6:22.0,A. Wiggins makes 2-pt shot from 4 ft,2,31-36,,
6:10.0,,,31-36,,J. Bayless misses 3-pt shot from 25 ft
6:09.0,Defensive rebound by G. Dieng,,31-36,,
5:54.0,Turnover by T. Young (lost ball; steal by J. Dudley),,31-36,,
5:52.0,,,31-38,2,J. Dudley makes 2-pt shot at rim (assist by J. Bayless)
5:49.0,Turnover by T. Daniels (bad pass; steal by Z. Pachulia),,31-38,,
5:16.0,,,31-41,3,K. Marshall makes 3-pt shot from 26 ft (assist by O. Mayo)
5:15.0,Minnesota full timeout,,31-41,,
5:15.0,Official timeout,,31-41,,
5:15.0,,,31-41,,G. Antetokounmpo enters the game for J. Dudley
5:15.0,,,31-41,,B. Knight enters the game for O. Mayo
5:00.0,A. Wiggins misses 2-pt shot from 10 ft,,31-41,,
4:59.0,,,31-41,,Defensive rebound by G. Antetokounmpo
4:44.0,,,31-43,2,G. Antetokounmpo makes 2-pt shot at rim (assist by K. Marshall)
4:25.0,A. Wiggins misses 2-pt shot from 4 ft,,31-43,,
4:24.0,,,31-43,,Defensive rebound by Z. Pachulia
4:06.0,,,31-43,,B. Knight misses 3-pt shot from 23 ft
4:04.0,Defensive rebound by C. Budinger,,31-43,,
3:51.0,G. Dieng makes 2-pt shot from 4 ft (assist by C. Budinger),2,33-43,,
3:29.0,,,33-43,,Turnover by B. Knight (bad pass)
3:16.0,C. Budinger makes 2-pt shot at rim (assist by G. Dieng),2,35-43,,
3:04.0,,,35-43,,Milwaukee full timeout
3:04.0,,,35-43,,K. Middleton enters the game for J. Bayless
2:58.0,,,35-43,,G. Antetokounmpo misses 2-pt shot from 7 ft
2:57.0,Defensive rebound by A. Wiggins,,35-43,,
2:35.0,T. Young misses 2-pt shot at rim,,35-43,,
2:33.0,,,35-43,,Defensive rebound by G. Antetokounmpo
2:29.0,,,35-43,,Turnover by G. Antetokounmpo (bad pass; steal by A. Wiggins)
2:25.0,,,35-43,,Shooting block foul by G. Antetokounmpo (drawn by A. Wiggins)
2:25.0,A. Wiggins misses free throw 1 of 2,,35-43,,
2:25.0,Offensive rebound by Team,,35-43,,
2:25.0,A. Wiggins makes free throw 2 of 2,1,36-43,,
2:03.0,,,36-45,2,G. Antetokounmpo makes 2-pt shot at rim (assist by Z. Pachulia)
1:41.0,G. Dieng makes 2-pt shot from 3 ft (assist by A. Wiggins),2,38-45,,
1:25.0,,,38-47,2,Z. Pachulia makes 2-pt shot from 15 ft (assist by K. Marshall)
1:03.0,C. Budinger misses 2-pt shot from 7 ft,,38-47,,
1:00.0,,,38-47,,Defensive rebound by K. Middleton
0:54.0,,,38-50,3,B. Knight makes 3-pt shot from 25 ft (assist by K. Marshall)
0:42.0,T. Daniels misses 3-pt shot from 26 ft,,38-50,,
0:41.0,Offensive rebound by C. Budinger,,38-50,,
0:34.0,Turnover by C. Budinger (lost ball; steal by G. Antetokounmpo),,38-50,,
0:31.0,Z. LaVine enters the game for C. Budinger,,38-50,,
0:12.0,,,38-53,3,K. Middleton makes 3-pt shot from 24 ft (assist by K. Marshall)
0:01.0,Z. LaVine misses 2-pt shot from 20 ft,,38-53,,
0:00.0,Offensive rebound by Team,,38-53,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,T. Young makes 3-pt shot from 26 ft (assist by Z. LaVine),3,41-53,,
11:16.0,,,41-53,,Z. Pachulia misses 2-pt shot from 4 ft
11:15.0,Defensive rebound by Z. LaVine,,41-53,,
10:59.0,T. Young misses 2-pt shot from 15 ft,,41-53,,
10:58.0,,,41-53,,Defensive rebound by K. Middleton
10:46.0,,,41-55,2,B. Knight makes 2-pt shot from 16 ft (assist by Z. Pachulia)
10:24.0,S. Muhammad misses 2-pt shot from 5 ft,,41-55,,
10:23.0,,,41-55,,Defensive rebound by G. Antetokounmpo
10:17.0,,,41-57,2,B. Knight makes 2-pt shot from 20 ft
10:16.0,Minnesota full timeout,,41-57,,
10:02.0,T. Young misses 2-pt shot from 6 ft,,41-57,,
10:01.0,Offensive rebound by G. Dieng,,41-57,,
10:01.0,S. Muhammad makes 2-pt shot at rim (assist by G. Dieng),2,43-57,,
10:01.0,Shooting foul by K. Middleton (drawn by S. Muhammad),,43-57,,
10:01.0,S. Muhammad makes free throw 1 of 1,1,44-57,,
9:49.0,,,44-57,,Turnover by G. Antetokounmpo (bad pass; steal by G. Dieng)
9:43.0,S. Muhammad makes 2-pt shot at rim (assist by Z. LaVine),2,46-57,,
9:28.0,,,46-59,2,Z. Pachulia makes 2-pt shot from 14 ft (assist by K. Middleton)
9:08.0,Turnover by G. Dieng (lost ball; steal by Z. Pachulia),,46-59,,
8:49.0,,,46-59,,Turnover by J. O'Bryant (lost ball; steal by T. Young)
8:40.0,Shooting foul by G. Antetokounmpo (drawn by A. Wiggins),,46-59,,
8:40.0,A. Wiggins makes free throw 1 of 2,1,47-59,,
8:40.0,A. Wiggins makes free throw 2 of 2,1,48-59,,
8:31.0,,,48-59,,Turnover by B. Knight (bad pass; steal by T. Young)
8:28.0,T. Young makes 2-pt shot at rim,2,50-59,,
8:17.0,,,50-61,2,J. O'Bryant makes 2-pt shot at rim (assist by B. Knight)
8:17.0,,,50-61,,Shooting foul by S. Muhammad (drawn by J. O'Bryant)
8:17.0,,,50-61,,J. Bayless enters the game for G. Antetokounmpo
8:17.0,,,50-61,,O. Mayo enters the game for B. Knight
8:17.0,,,50-61,,J. O'Bryant misses free throw 1 of 1
8:15.0,Defensive rebound by S. Muhammad,,50-61,,
7:58.0,A. Wiggins misses 2-pt shot from 1 ft,,50-61,,
7:57.0,,,50-61,,Defensive rebound by K. Middleton
7:39.0,,,50-61,,K. Middleton misses 3-pt shot from 26 ft
7:38.0,Defensive rebound by Z. LaVine,,50-61,,
7:24.0,Z. LaVine makes 3-pt shot from 24 ft (assist by T. Young),3,53-61,,
7:07.0,,,53-61,,J. Dudley enters the game for J. O'Bryant
7:03.0,,,53-61,,O. Mayo misses 2-pt shot from 16 ft
7:02.0,,,53-61,,Offensive rebound by K. Middleton
7:00.0,,,53-61,,Z. Pachulia misses 2-pt shot from 1 ft (block by G. Dieng)
7:00.0,,,53-61,,Offensive rebound by Z. Pachulia
7:00.0,Personal foul by A. Wiggins (drawn by Z. Pachulia),,53-61,,
6:55.0,,,53-61,,J. Bayless misses 2-pt shot at rim
6:53.0,Defensive rebound by S. Muhammad,,53-61,,
6:49.0,Shooting foul by J. Dudley (drawn by S. Muhammad),,53-61,,
6:49.0,S. Muhammad misses free throw 1 of 2,,53-61,,
6:49.0,Offensive rebound by Team,,53-61,,
6:49.0,S. Muhammad makes free throw 2 of 2,1,54-61,,
6:22.0,,,54-61,,J. Dudley misses 2-pt shot from 17 ft
6:21.0,Defensive rebound by A. Wiggins,,54-61,,
6:10.0,Turnover by G. Dieng (traveling),,54-61,,
5:51.0,,,54-61,,J. Dudley misses 2-pt shot from 17 ft
5:50.0,Defensive rebound by G. Dieng,,54-61,,
5:32.0,S. Muhammad misses 3-pt shot from 26 ft,,54-61,,
5:31.0,,,54-61,,Defensive rebound by J. Bayless
5:19.0,,,54-63,2,Z. Pachulia makes 2-pt shot from 1 ft (assist by J. Dudley)
5:18.0,Minnesota full timeout,,54-63,,
5:18.0,C. Budinger enters the game for S. Muhammad,,54-63,,
5:10.0,Turnover by Z. LaVine (bad pass; steal by K. Middleton),,54-63,,
5:03.0,,,54-66,3,J. Bayless makes 3-pt shot from 23 ft (assist by K. Middleton)
4:47.0,A. Wiggins misses 2-pt shot from 15 ft,,54-66,,
4:46.0,,,54-66,,Defensive rebound by Z. Pachulia
4:24.0,,,54-66,,K. Middleton misses 3-pt shot from 23 ft
4:23.0,Defensive rebound by G. Dieng,,54-66,,
4:10.0,C. Budinger misses 2-pt shot from 5 ft,,54-66,,
4:09.0,Offensive rebound by T. Young,,54-66,,
4:09.0,T. Young misses 2-pt shot from 1 ft,,54-66,,
4:06.0,,,54-66,,Defensive rebound by J. Bayless
3:46.0,,,54-66,,J. Dudley misses 3-pt shot from 23 ft
3:45.0,Defensive rebound by Z. LaVine,,54-66,,
3:22.0,Turnover by Z. LaVine (bad pass; steal by O. Mayo),,54-66,,
3:19.0,,,54-66,,Turnover by O. Mayo (bad pass; steal by T. Young)
3:11.0,Z. LaVine misses 3-pt shot from 24 ft,,54-66,,
3:10.0,,,54-66,,Defensive rebound by J. Bayless
2:49.0,,,54-66,,Z. Pachulia misses 2-pt shot from 7 ft
2:48.0,Defensive rebound by G. Dieng,,54-66,,
2:32.0,A. Wiggins misses 3-pt shot from 23 ft,,54-66,,
2:32.0,Offensive rebound by Team,,54-66,,
2:32.0,,,54-66,,Loose ball foul by K. Middleton (drawn by G. Dieng)
2:32.0,,,54-66,,J. Henson enters the game for Z. Pachulia
2:32.0,T. Daniels enters the game for T. Young,,54-66,,
2:32.0,R. Hummel enters the game for G. Dieng,,54-66,,
2:32.0,A. Bennett enters the game for Z. LaVine,,54-66,,
2:18.0,Offensive foul by T. Daniels,,54-66,,
2:18.0,Turnover by T. Daniels (offensive foul),,54-66,,
1:54.0,,,54-66,,J. Henson misses 2-pt shot from 6 ft
1:53.0,Defensive rebound by A. Bennett,,54-66,,
1:46.0,Turnover by C. Budinger (bad pass; steal by K. Middleton),,54-66,,
1:44.0,Shooting block foul by A. Wiggins (drawn by K. Middleton),,54-66,,
1:44.0,,,54-67,1,K. Middleton makes free throw 1 of 2
1:44.0,,,54-68,1,K. Middleton makes free throw 2 of 2
1:33.0,R. Hummel misses 2-pt shot from 17 ft,,54-68,,
1:32.0,,,54-68,,Defensive rebound by O. Mayo
1:18.0,,,54-68,,J. Bayless misses 2-pt shot from 1 ft
1:16.0,Defensive rebound by A. Wiggins,,54-68,,
1:13.0,,,54-68,,Shooting block foul by K. Middleton (drawn by A. Wiggins)
1:13.0,A. Wiggins makes free throw 1 of 2,1,55-68,,
1:13.0,A. Wiggins misses free throw 2 of 2,,55-68,,
1:12.0,Offensive rebound by T. Daniels,,55-68,,
1:10.0,T. Daniels misses 2-pt shot at rim (block by J. Henson),,55-68,,
1:09.0,Offensive rebound by Team,,55-68,,
1:02.0,T. Daniels misses 3-pt shot from 28 ft,,55-68,,
1:01.0,Offensive rebound by C. Budinger,,55-68,,
0:58.0,A. Wiggins makes 2-pt shot at rim,2,57-68,,
0:58.0,Shooting foul by J. Henson (drawn by A. Wiggins),,57-68,,
0:58.0,A. Wiggins makes free throw 1 of 1,1,58-68,,
0:42.0,,,58-70,2,J. Henson makes 2-pt shot from 6 ft
0:27.0,T. Daniels misses 2-pt shot from 4 ft,,58-70,,
0:25.0,Offensive rebound by A. Bennett,,58-70,,
0:19.0,T. Daniels misses 3-pt shot from 28 ft,,58-70,,
0:17.0,,,58-70,,Defensive rebound by J. Dudley
0:00.0,,,58-72,2,J. Bayless makes 2-pt shot from 16 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,,,58-75,3,O. Mayo makes 3-pt shot from 24 ft (assist by K. Marshall)
11:36.0,,,58-75,,Violation by K. Martin (kicked ball)
11:29.0,A. Wiggins misses 2-pt shot from 2 ft,,58-75,,
11:27.0,Offensive rebound by A. Bennett,,58-75,,
11:27.0,A. Bennett makes 2-pt shot at rim,2,60-75,,
11:12.0,Shooting block foul by R. Hummel (drawn by J. Henson),,60-75,,
11:12.0,,,60-76,1,J. Henson makes free throw 1 of 2
11:12.0,,,60-77,1,J. Henson makes free throw 2 of 2
10:54.0,C. Budinger misses 3-pt shot from 23 ft,,60-77,,
10:53.0,,,60-77,,Defensive rebound by K. Martin
10:41.0,,,60-80,3,K. Marshall makes 3-pt shot from 25 ft (assist by O. Mayo)
10:31.0,,,60-80,,Personal foul by O. Mayo (drawn by A. Wiggins)
10:23.0,A. Wiggins misses 2-pt shot from 16 ft,,60-80,,
10:22.0,,,60-80,,Defensive rebound by J. Bayless
10:13.0,,,60-80,,Turnover by J. Bayless (bad pass; steal by A. Bennett)
10:07.0,R. Hummel makes 2-pt shot from 19 ft (assist by A. Wiggins),2,62-80,,
9:58.0,,,62-80,,Offensive foul by K. Martin
9:58.0,,,62-80,,Turnover by K. Martin (offensive foul)
9:42.0,A. Bennett misses 2-pt shot from 16 ft,,62-80,,
9:41.0,Offensive rebound by A. Wiggins,,62-80,,
9:39.0,A. Wiggins makes 2-pt shot at rim,2,64-80,,
9:24.0,,,64-82,2,K. Martin makes 2-pt shot from 18 ft (assist by K. Marshall)
9:16.0,,,64-82,,Personal foul by K. Martin (drawn by R. Hummel)
9:03.0,T. Daniels misses 3-pt shot from 29 ft,,64-82,,
9:02.0,,,64-82,,Defensive rebound by J. Bayless
8:48.0,,,64-82,,Turnover by J. Henson (bad pass; steal by A. Bennett)
8:44.0,C. Budinger makes 2-pt shot at rim (assist by A. Wiggins),2,66-82,,
8:39.0,,,66-82,,Turnover by K. Marshall (bad pass; steal by R. Hummel)
8:22.0,C. Budinger misses 3-pt shot from 25 ft (block by K. Martin),,66-82,,
8:20.0,Offensive rebound by R. Hummel,,66-82,,
8:18.0,C. Budinger misses 2-pt shot at rim,,66-82,,
8:16.0,,,66-82,,Defensive rebound by K. Martin
7:57.0,,,66-82,,J. Bayless misses 3-pt shot from 25 ft
7:56.0,Defensive rebound by A. Bennett,,66-82,,
7:47.0,A. Wiggins makes 3-pt shot from 25 ft (assist by R. Hummel),3,69-82,,
7:46.0,,,69-82,,Milwaukee full timeout
7:46.0,T. Young enters the game for T. Daniels,,69-82,,
7:46.0,,,69-82,,J. Dudley enters the game for J. Bayless
7:46.0,,,69-82,,G. Antetokounmpo enters the game for K. Marshall
7:46.0,,,69-82,,B. Knight enters the game for K. Martin
7:31.0,,,69-82,,Turnover by B. Knight (bad pass; steal by A. Wiggins)
7:31.0,,,69-82,,Personal foul by B. Knight (drawn by A. Wiggins)
7:14.0,T. Young makes 3-pt shot from 25 ft (assist by A. Wiggins),3,72-82,,
7:00.0,,,72-82,,B. Knight misses 2-pt shot at rim
6:58.0,Defensive rebound by A. Bennett,,72-82,,
6:44.0,C. Budinger misses 3-pt shot from 26 ft,,72-82,,
6:43.0,,,72-82,,Defensive rebound by G. Antetokounmpo
6:37.0,,,72-82,,G. Antetokounmpo misses 2-pt shot at rim
6:36.0,Defensive rebound by A. Bennett,,72-82,,
6:27.0,Turnover by T. Young (bad pass; steal by B. Knight),,72-82,,
6:02.0,,,72-85,3,B. Knight makes 3-pt shot from 25 ft
5:45.0,,,72-85,,Personal foul by O. Mayo (drawn by A. Wiggins)
5:45.0,Official timeout,,72-85,,
5:37.0,T. Young misses 2-pt shot from 9 ft,,72-85,,
5:36.0,,,72-85,,Defensive rebound by J. Henson
5:29.0,Personal foul by A. Bennett (drawn by J. Henson),,72-85,,
5:20.0,,,72-88,3,O. Mayo makes 3-pt shot from 26 ft (assist by J. Henson)
5:06.0,Turnover by C. Budinger (lost ball; steal by B. Knight),,72-88,,
5:01.0,,,72-88,,B. Knight misses 2-pt shot from 1 ft
5:00.0,Defensive rebound by A. Bennett,,72-88,,
4:56.0,A. Bennett makes 2-pt shot at rim (assist by C. Budinger),2,74-88,,
4:40.0,,,74-91,3,J. Dudley makes 3-pt shot from 26 ft (assist by B. Knight)
4:40.0,Minnesota full timeout,,74-91,,
4:30.0,Turnover by A. Bennett (traveling),,74-91,,
4:10.0,,,74-91,,Offensive foul by O. Mayo
4:10.0,,,74-91,,Turnover by O. Mayo (offensive foul)
3:52.0,R. Hummel misses 3-pt shot from 26 ft,,74-91,,
3:50.0,,,74-91,,Defensive rebound by J. Dudley
3:33.0,Shooting block foul by C. Budinger (drawn by J. Henson),,74-91,,
3:33.0,,,74-92,1,J. Henson makes free throw 1 of 2
3:33.0,Minnesota full timeout,,74-92,,
3:33.0,,,74-92,,K. Marshall enters the game for B. Knight
3:33.0,,,74-92,,K. Martin enters the game for J. Dudley
3:33.0,M. Raduljica enters the game for T. Young,,74-92,,
3:33.0,G. Robinson enters the game for A. Wiggins,,74-92,,
3:33.0,T. Daniels enters the game for C. Budinger,,74-92,,
3:33.0,,,74-92,,J. Henson misses free throw 2 of 2
3:32.0,Defensive rebound by R. Hummel,,74-92,,
3:13.0,A. Bennett misses 3-pt shot from 26 ft,,74-92,,
3:12.0,Offensive rebound by Team,,74-92,,
3:12.0,,,74-92,,Personal foul by K. Martin (drawn by G. Robinson)
3:12.0,G. Robinson makes free throw 1 of 2,1,75-92,,
3:12.0,,,75-92,,J. O'Bryant enters the game for J. Henson
3:12.0,G. Robinson makes free throw 2 of 2,1,76-92,,
2:58.0,,,76-92,,O. Mayo misses 2-pt shot from 14 ft
2:57.0,Defensive rebound by A. Bennett,,76-92,,
2:35.0,M. Raduljica makes 2-pt shot from 3 ft (assist by A. Bennett),2,78-92,,
2:19.0,,,78-94,2,K. Martin makes 2-pt shot at rim (assist by O. Mayo)
2:00.0,T. Daniels makes 2-pt shot from 19 ft (assist by A. Bennett),2,80-94,,
1:50.0,,,80-94,,Turnover by O. Mayo (lost ball)
1:33.0,R. Hummel makes 2-pt shot from 15 ft,2,82-94,,
1:25.0,Personal foul by G. Robinson (drawn by K. Marshall),,82-94,,
1:14.0,,,82-96,2,K. Martin makes 2-pt shot from 16 ft (assist by K. Marshall)
1:03.0,M. Raduljica misses 2-pt shot at rim (block by G. Antetokounmpo),,82-96,,
1:00.0,,,82-96,,Defensive rebound by O. Mayo
0:43.0,,,82-96,,J. O'Bryant misses 2-pt shot from 16 ft
0:42.0,Defensive rebound by M. Raduljica,,82-96,,
0:35.0,R. Hummel makes 2-pt shot at rim,2,84-96,,
