time,Denver,pts.away,score,pts.home,Philadelphia
2:54.0,Personal foul by J. Hickson (drawn by H. Sims),,26-24,,
2:54.0,Denver full timeout,,26-24,,
2:54.0,R. Foye enters the game for T. Lawson,,26-24,,
2:54.0,,,26-24,,H. Sims misses free throw 1 of 2
2:54.0,,,26-24,,Offensive rebound by Team
2:54.0,J. Nelson enters the game for A. Afflalo,,26-24,,
2:54.0,,,26-25,1,H. Sims makes free throw 2 of 2
2:40.0,Shooting foul by L. Drew (drawn by J. Hickson),,26-25,,
2:40.0,J. Hickson misses free throw 1 of 2,,26-25,,
2:40.0,Offensive rebound by Team,,26-25,,
2:40.0,J. Hickson makes free throw 2 of 2,1,27-25,,
2:25.0,,,27-25,,Turnover by H. Sims (bad pass; steal by A. Gee)
2:17.0,R. Foye misses 3-pt shot from 23 ft,,27-25,,
2:15.0,Offensive rebound by J. Hickson,,27-25,,
2:15.0,Turnover by J. Hickson (traveling),,27-25,,
2:04.0,,,27-27,2,H. Thompson makes 2-pt shot from 4 ft (assist by H. Sims)
1:55.0,A. Gee misses 2-pt shot from 3 ft (block by K. McDaniels),,27-27,,
1:53.0,,,27-27,,Defensive rebound by J. Grant
1:46.0,,,27-30,3,H. Thompson makes 3-pt shot from 24 ft (assist by L. Drew)
1:28.0,Shooting foul by J. Grant (drawn by D. Gallinari),,27-30,,
1:28.0,D. Gallinari misses free throw 1 of 2,,27-30,,
1:28.0,Offensive rebound by Team,,27-30,,
1:28.0,D. Gallinari makes free throw 2 of 2,1,28-30,,
1:11.0,,,28-30,,K. McDaniels misses 2-pt shot from 17 ft
1:10.0,Defensive rebound by J. Nelson,,28-30,,
1:03.0,D. Gallinari misses 3-pt shot from 24 ft,,28-30,,
1:02.0,,,28-30,,Defensive rebound by H. Thompson
0:49.0,,,28-32,2,L. Drew makes 2-pt shot from 21 ft (assist by H. Thompson)
0:34.0,R. Foye misses 3-pt shot from 24 ft,,28-32,,
0:32.0,,,28-32,,Defensive rebound by J. Grant
0:06.0,,,28-34,2,H. Thompson makes 2-pt shot from 15 ft (assist by K. McDaniels)
0:01.0,J. Nelson misses 3-pt shot from 25 ft,,28-34,,
0:00.0,Offensive rebound by Team,,28-34,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:55.0,Turnover by D. Gallinari (bad pass; steal by H. Thompson),,28-34,,
11:50.0,,,28-37,3,H. Thompson makes 3-pt shot from 23 ft (assist by L. Drew)
11:25.0,D. Gallinari misses 3-pt shot from 26 ft,,28-37,,
11:23.0,Offensive rebound by A. Gee,,28-37,,
11:13.0,J. Nelson misses 3-pt shot from 23 ft,,28-37,,
11:11.0,,,28-37,,Defensive rebound by K. McDaniels
11:09.0,Personal foul by R. Foye (drawn by K. McDaniels),,28-37,,
10:52.0,,,28-37,,L. Drew misses 2-pt shot from 17 ft
10:52.0,,,28-37,,Offensive rebound by H. Sims
10:52.0,Personal foul by R. Foye (drawn by H. Sims),,28-37,,
10:52.0,A. Afflalo enters the game for R. Foye,,28-37,,
10:52.0,W. Chandler enters the game for A. Gee,,28-37,,
10:37.0,,,28-39,2,L. Drew makes 2-pt shot from 1 ft (assist by H. Thompson)
10:18.0,A. Afflalo makes 2-pt shot from 16 ft (assist by J. Nelson),2,30-39,,
10:08.0,,,30-39,,K. McDaniels misses 3-pt shot from 26 ft
10:07.0,,,30-39,,Offensive rebound by L. Mbah a Moute
10:07.0,Personal foul by D. Gallinari (drawn by L. Mbah a Moute),,30-39,,
9:52.0,,,30-41,2,K. McDaniels makes 2-pt shot from 7 ft
9:35.0,D. Gallinari misses 3-pt shot from 24 ft,,30-41,,
9:34.0,,,30-41,,Defensive rebound by L. Mbah a Moute
9:28.0,,,30-44,3,H. Thompson makes 3-pt shot from 25 ft (assist by L. Drew)
9:21.0,Denver full timeout,,30-44,,
9:21.0,T. Lawson enters the game for D. Gallinari,,30-44,,
9:21.0,J. Nurkic enters the game for J. Hickson,,30-44,,
9:21.0,K. Faried enters the game for J. Nelson,,30-44,,
9:21.0,,,30-44,,R. Covington enters the game for H. Sims
9:21.0,,,30-44,,N. Noel enters the game for H. Thompson
9:21.0,,,30-44,,M. Carter-Williams enters the game for L. Drew
9:00.0,W. Chandler misses 3-pt shot from 23 ft,,30-44,,
8:57.0,,,30-44,,Defensive rebound by R. Covington
8:40.0,,,30-44,,M. Carter-Williams misses 3-pt shot from 26 ft
8:38.0,Defensive rebound by T. Lawson,,30-44,,
8:31.0,J. Nurkic misses 2-pt shot from 12 ft,,30-44,,
8:29.0,,,30-44,,Defensive rebound by N. Noel
8:18.0,,,30-44,,Turnover by K. McDaniels (bad pass; steal by T. Lawson)
8:13.0,Shooting foul by K. McDaniels (drawn by J. Nurkic),,30-44,,
8:13.0,J. Nurkic makes free throw 1 of 2,1,31-44,,
8:13.0,,,31-44,,J. Sampson enters the game for K. McDaniels
8:13.0,J. Nurkic misses free throw 2 of 2,,31-44,,
8:12.0,,,31-44,,Defensive rebound by N. Noel
7:51.0,,,31-44,,Shooting foul by J. Nurkic (drawn by M. Carter-Williams)
7:51.0,,,31-45,1,M. Carter-Williams makes free throw 1 of 2
7:51.0,,,31-46,1,M. Carter-Williams makes free throw 2 of 2
7:41.0,W. Chandler misses 2-pt shot from 21 ft,,31-46,,
7:39.0,,,31-46,,Defensive rebound by Team
7:29.0,,,31-46,,Turnover by L. Mbah a Moute (bad pass)
7:20.0,J. Nurkic makes 2-pt shot from 4 ft (assist by T. Lawson),2,33-46,,
7:07.0,,,33-46,,L. Mbah a Moute misses 2-pt shot from 15 ft
7:05.0,Defensive rebound by J. Nurkic,,33-46,,
7:05.0,,,33-46,,Personal foul by R. Covington (drawn by J. Nurkic)
6:51.0,A. Afflalo misses 2-pt shot from 12 ft,,33-46,,
6:50.0,,,33-46,,Defensive rebound by M. Carter-Williams
6:43.0,Personal foul by A. Afflalo (drawn by J. Sampson),,33-46,,
6:43.0,,,33-47,1,J. Sampson makes free throw 1 of 2
6:43.0,,,33-48,1,J. Sampson makes free throw 2 of 2
6:33.0,A. Afflalo misses 3-pt shot from 22 ft,,33-48,,
6:31.0,,,33-48,,Defensive rebound by L. Mbah a Moute
6:14.0,,,33-48,,Turnover by R. Covington (bad pass; steal by W. Chandler)
6:07.0,W. Chandler misses 3-pt shot from 24 ft,,33-48,,
6:05.0,,,33-48,,Defensive rebound by M. Carter-Williams
6:04.0,Personal foul by T. Lawson (drawn by M. Carter-Williams),,33-48,,
6:04.0,,,33-48,,M. Carter-Williams misses free throw 1 of 2
6:04.0,,,33-48,,Offensive rebound by Team
6:04.0,,,33-49,1,M. Carter-Williams makes free throw 2 of 2
5:47.0,Official timeout,,33-49,,
5:47.0,D. Gallinari enters the game for W. Chandler,,33-49,,
5:43.0,K. Faried misses 2-pt shot from 5 ft,,33-49,,
5:41.0,Offensive rebound by J. Nurkic,,33-49,,
5:41.0,J. Nurkic makes 2-pt shot from 1 ft,2,35-49,,
5:23.0,,,35-49,,Shooting foul by K. Faried (drawn by N. Noel)
5:23.0,,,35-50,1,N. Noel makes free throw 1 of 2
5:23.0,,,35-51,1,N. Noel makes free throw 2 of 2
5:11.0,,,35-51,,Personal foul by R. Covington (drawn by J. Nurkic)
5:11.0,,,35-51,,H. Thompson enters the game for R. Covington
5:01.0,T. Lawson misses 2-pt shot from 20 ft,,35-51,,
5:00.0,Offensive rebound by Team,,35-51,,
4:48.0,K. Faried misses 2-pt shot from 2 ft (block by N. Noel),,35-51,,
4:45.0,Offensive rebound by J. Nurkic,,35-51,,
4:45.0,J. Nurkic misses 2-pt shot from 2 ft,,35-51,,
4:44.0,,,35-51,,Defensive rebound by H. Thompson
4:30.0,,,35-51,,Shooting foul by K. Faried (drawn by H. Thompson)
4:30.0,,,35-52,1,H. Thompson makes free throw 1 of 3
4:30.0,,,35-53,1,H. Thompson makes free throw 2 of 3
4:30.0,J. Hickson enters the game for K. Faried,,35-53,,
4:30.0,D. Arthur enters the game for J. Nurkic,,35-53,,
4:30.0,,,35-53,,J. Grant enters the game for L. Mbah a Moute
4:30.0,,,35-54,1,H. Thompson makes free throw 3 of 3
4:13.0,A. Afflalo misses 2-pt shot from 14 ft,,35-54,,
4:11.0,Offensive rebound by J. Hickson,,35-54,,
4:09.0,J. Hickson misses 2-pt shot from 2 ft (block by M. Carter-Williams),,35-54,,
4:08.0,Offensive rebound by T. Lawson,,35-54,,
4:03.0,T. Lawson misses 2-pt shot from 11 ft,,35-54,,
4:02.0,,,35-54,,Defensive rebound by N. Noel
3:38.0,,,35-54,,J. Grant misses 3-pt shot from 25 ft
3:36.0,Defensive rebound by J. Hickson,,35-54,,
3:25.0,A. Afflalo misses 2-pt shot from 6 ft,,35-54,,
3:24.0,,,35-54,,Defensive rebound by N. Noel
3:15.0,,,35-54,,Philadelphia full timeout
3:15.0,J. Nelson enters the game for A. Afflalo,,35-54,,
3:07.0,,,35-54,,N. Noel misses 2-pt shot from 5 ft
3:05.0,Defensive rebound by J. Hickson,,35-54,,
2:59.0,D. Gallinari makes 2-pt shot from 10 ft (assist by T. Lawson),2,37-54,,
2:59.0,Shooting foul by J. Sampson (drawn by D. Gallinari),,37-54,,
2:59.0,,,37-54,,L. Drew enters the game for N. Noel
2:59.0,,,37-54,,K. McDaniels enters the game for J. Sampson
2:59.0,,,37-54,,H. Sims enters the game for M. Carter-Williams
2:59.0,D. Gallinari makes free throw 1 of 1,1,38-54,,
2:44.0,Personal foul by D. Gallinari (drawn by J. Grant),,38-54,,
2:44.0,,,38-55,1,J. Grant makes free throw 1 of 2
2:44.0,,,38-56,1,J. Grant makes free throw 2 of 2
2:31.0,Turnover by D. Gallinari (step out of bounds),,38-56,,
2:09.0,,,38-56,,J. Grant misses 2-pt shot from 3 ft
2:07.0,Defensive rebound by T. Lawson,,38-56,,
2:01.0,D. Gallinari misses 3-pt shot from 24 ft (block by J. Grant),,38-56,,
1:59.0,,,38-56,,Defensive rebound by H. Thompson
1:55.0,,,38-56,,Shooting foul by D. Arthur (drawn by K. McDaniels)
1:55.0,,,38-57,1,K. McDaniels makes free throw 1 of 2
1:55.0,R. Foye enters the game for D. Gallinari,,38-57,,
1:55.0,,,38-58,1,K. McDaniels makes free throw 2 of 2
1:40.0,J. Hickson misses 2-pt shot at rim,,38-58,,
1:39.0,,,38-58,,Defensive rebound by L. Drew
1:36.0,,,38-58,,Turnover by L. Drew (bad pass)
1:27.0,Turnover by R. Foye (bad pass),,38-58,,
1:08.0,,,38-61,3,H. Thompson makes 3-pt shot from 25 ft (assist by H. Sims)
0:53.0,D. Arthur makes 2-pt shot from 14 ft (assist by T. Lawson),2,40-61,,
0:38.0,,,40-61,,K. McDaniels misses 3-pt shot from 24 ft
0:36.0,,,40-61,,Offensive rebound by K. McDaniels
0:34.0,,,40-61,,K. McDaniels misses 2-pt shot from 1 ft
0:33.0,,,40-61,,Offensive rebound by K. McDaniels
0:32.0,,,40-61,,Turnover by K. McDaniels (lost ball)
0:24.0,D. Arthur misses 2-pt shot from 17 ft,,40-61,,
0:22.0,Offensive rebound by Team,,40-61,,
0:21.0,,,40-61,,J. Sampson enters the game for J. Grant
0:01.0,J. Nelson misses 2-pt shot from 14 ft,,40-61,,
0:00.0,,,40-61,,Defensive rebound by H. Sims
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,K. Faried misses 2-pt shot from 10 ft,,40-61,,
11:48.0,,,40-61,,Defensive rebound by M. Carter-Williams
11:31.0,,,40-61,,Shooting foul by J. Nurkic (drawn by L. Mbah a Moute)
11:31.0,,,40-61,,L. Mbah a Moute misses free throw 1 of 2
11:31.0,,,40-61,,Offensive rebound by Team
11:31.0,,,40-61,,Philadelphia full timeout
11:31.0,,,40-61,,L. Mbah a Moute misses free throw 2 of 2
11:29.0,Defensive rebound by K. Faried,,40-61,,
11:16.0,W. Chandler makes 2-pt shot from 5 ft (assist by A. Afflalo),2,42-61,,
11:02.0,Personal foul by T. Lawson (drawn by R. Covington),,42-61,,
10:50.0,,,42-61,,R. Covington misses 3-pt shot from 22 ft
10:48.0,Defensive rebound by K. Faried,,42-61,,
10:37.0,A. Afflalo misses 3-pt shot from 25 ft,,42-61,,
10:35.0,,,42-61,,Defensive rebound by R. Covington
10:29.0,,,42-61,,L. Mbah a Moute misses 2-pt shot from 20 ft
10:27.0,Defensive rebound by W. Chandler,,42-61,,
10:21.0,D. Arthur enters the game for J. Nurkic,,42-61,,
10:18.0,Shooting foul by J. Sampson (drawn by A. Afflalo),,42-61,,
10:18.0,A. Afflalo makes free throw 1 of 2,1,43-61,,
10:18.0,A. Afflalo makes free throw 2 of 2,1,44-61,,
10:09.0,,,44-61,,Shooting foul by W. Chandler (drawn by M. Carter-Williams)
10:09.0,,,44-61,,M. Carter-Williams misses free throw 1 of 2
10:09.0,,,44-61,,Offensive rebound by Team
10:09.0,,,44-62,1,M. Carter-Williams makes free throw 2 of 2
9:57.0,W. Chandler misses 3-pt shot from 28 ft,,44-62,,
9:56.0,,,44-62,,Defensive rebound by L. Mbah a Moute
9:50.0,,,44-65,3,J. Sampson makes 3-pt shot from 24 ft (assist by M. Carter-Williams)
9:36.0,D. Arthur misses 2-pt shot from 6 ft,,44-65,,
9:34.0,,,44-65,,Defensive rebound by R. Covington
9:28.0,,,44-68,3,R. Covington makes 3-pt shot from 25 ft (assist by M. Carter-Williams)
9:12.0,D. Arthur misses 2-pt shot from 22 ft,,44-68,,
9:10.0,,,44-68,,Defensive rebound by R. Covington
9:00.0,,,44-68,,L. Mbah a Moute misses 3-pt shot from 25 ft
8:59.0,Defensive rebound by W. Chandler,,44-68,,
8:39.0,W. Chandler makes 3-pt shot from 25 ft (assist by T. Lawson),3,47-68,,
8:39.0,Technical foul by K. Faried,,47-68,,
8:39.0,,,47-68,,R. Covington misses technical free throw
8:39.0,,,47-68,,Offensive rebound by Team
8:39.0,G. Harris enters the game for K. Faried,,47-68,,
8:19.0,,,47-68,,R. Covington misses 3-pt shot from 25 ft
8:17.0,Defensive rebound by D. Arthur,,47-68,,
8:08.0,Turnover by D. Arthur (lost ball; steal by J. Sampson),,47-68,,
7:51.0,,,47-68,,M. Carter-Williams misses 2-pt shot from 3 ft (block by D. Arthur)
7:49.0,Defensive rebound by Team,,47-68,,
7:43.0,D. Arthur makes 2-pt shot from 17 ft (assist by T. Lawson),2,49-68,,
7:27.0,,,49-68,,Shooting foul by D. Arthur (drawn by N. Noel)
7:27.0,,,49-68,,N. Noel misses free throw 1 of 2
7:27.0,,,49-68,,Offensive rebound by Team
7:27.0,A. Gee enters the game for W. Chandler,,49-68,,
7:27.0,,,49-69,1,N. Noel makes free throw 2 of 2
7:19.0,Turnover by T. Lawson (bad pass; steal by M. Carter-Williams),,49-69,,
7:15.0,,,49-69,,Shooting foul by D. Arthur (drawn by J. Sampson)
7:15.0,,,49-70,1,J. Sampson makes free throw 1 of 2
7:15.0,,,49-70,,J. Sampson misses free throw 2 of 2
7:14.0,Defensive rebound by A. Afflalo,,49-70,,
7:04.0,D. Arthur misses 2-pt shot from 13 ft,,49-70,,
7:02.0,,,49-70,,Defensive rebound by L. Mbah a Moute
6:56.0,,,49-70,,R. Covington misses 3-pt shot from 25 ft
6:55.0,Defensive rebound by Team,,49-70,,
6:40.0,A. Afflalo misses 3-pt shot from 22 ft,,49-70,,
6:38.0,,,49-70,,Defensive rebound by L. Mbah a Moute
6:30.0,,,49-70,,N. Noel misses 2-pt shot from 3 ft
6:28.0,,,49-70,,Offensive rebound by R. Covington
6:28.0,,,49-70,,R. Covington misses 2-pt shot from 2 ft
6:27.0,Defensive rebound by T. Lawson,,49-70,,
6:09.0,D. Arthur makes 2-pt shot from 17 ft (assist by T. Lawson),2,51-70,,
6:08.0,,,51-70,,Philadelphia full timeout
6:08.0,,,51-70,,H. Thompson enters the game for L. Mbah a Moute
6:08.0,,,51-70,,H. Sims enters the game for N. Noel
6:08.0,,,51-70,,J. Grant enters the game for J. Sampson
6:08.0,K. Faried enters the game for D. Arthur,,51-70,,
5:43.0,,,51-72,2,H. Thompson makes 2-pt shot from 15 ft (assist by M. Carter-Williams)
5:24.0,K. Faried misses 2-pt shot from 4 ft (block by R. Covington),,51-72,,
5:22.0,,,51-72,,Defensive rebound by M. Carter-Williams
5:14.0,,,51-74,2,M. Carter-Williams makes 2-pt shot at rim
4:51.0,A. Afflalo misses 2-pt shot from 17 ft,,51-74,,
4:49.0,,,51-74,,Defensive rebound by H. Sims
4:37.0,,,51-76,2,R. Covington makes 2-pt shot from 1 ft (assist by M. Carter-Williams)
4:18.0,Shooting foul by R. Covington (drawn by A. Gee),,51-76,,
4:18.0,A. Gee misses free throw 1 of 2,,51-76,,
4:18.0,Offensive rebound by Team,,51-76,,
4:18.0,J. Nelson enters the game for A. Afflalo,,51-76,,
4:18.0,,,51-76,,L. Drew enters the game for M. Carter-Williams
4:18.0,,,51-76,,K. McDaniels enters the game for R. Covington
4:18.0,A. Gee misses free throw 2 of 2,,51-76,,
4:17.0,,,51-76,,Defensive rebound by H. Sims
3:55.0,,,51-79,3,L. Drew makes 3-pt shot from 23 ft (assist by H. Thompson)
3:32.0,G. Harris makes 3-pt shot from 25 ft (assist by J. Nelson),3,54-79,,
3:31.0,,,54-79,,Turnover by H. Sims (bad pass; steal by T. Lawson)
3:29.0,Shooting foul by H. Sims (drawn by T. Lawson),,54-79,,
3:29.0,T. Lawson misses free throw 1 of 2,,54-79,,
3:29.0,Offensive rebound by Team,,54-79,,
3:29.0,T. Lawson makes free throw 2 of 2,1,55-79,,
3:13.0,D. Gallinari enters the game for T. Lawson,,55-79,,
3:11.0,,,55-81,2,H. Thompson makes 2-pt shot from 20 ft (assist by L. Drew)
2:46.0,J. Nelson makes 2-pt shot from 19 ft,2,57-81,,
2:28.0,Personal foul by D. Gallinari (drawn by J. Grant),,57-81,,
2:28.0,Denver full timeout,,57-81,,
2:28.0,J. Hickson enters the game for K. Faried,,57-81,,
2:28.0,,,57-82,1,J. Grant makes free throw 1 of 2
2:28.0,,,57-83,1,J. Grant makes free throw 2 of 2
2:18.0,,,57-83,,Personal foul by L. Drew (drawn by J. Hickson)
2:11.0,,,57-83,,Personal foul by J. Grant (drawn by D. Gallinari)
2:11.0,D. Gallinari makes free throw 1 of 2,1,58-83,,
2:11.0,D. Gallinari makes free throw 2 of 2,1,59-83,,
1:50.0,,,59-85,2,K. McDaniels makes 2-pt shot from 17 ft (assist by L. Drew)
1:31.0,G. Harris makes 2-pt shot from 21 ft (assist by A. Gee),2,61-85,,
1:06.0,,,61-85,,H. Sims misses 2-pt shot from 16 ft
1:05.0,Defensive rebound by D. Gallinari,,61-85,,
1:00.0,D. Gallinari misses 2-pt shot from 2 ft (block by H. Thompson),,61-85,,
0:59.0,Offensive rebound by D. Gallinari,,61-85,,
0:59.0,Shooting foul by H. Thompson (drawn by D. Gallinari),,61-85,,
0:59.0,D. Gallinari makes free throw 1 of 2,1,62-85,,
0:59.0,D. Gallinari makes free throw 2 of 2,1,63-85,,
0:43.0,,,63-85,,Turnover by H. Sims (lost ball; steal by J. Nelson)
0:34.0,,,63-85,,Personal foul by H. Sims (drawn by D. Gallinari)
0:34.0,D. Gallinari makes free throw 1 of 2,1,64-85,,
0:34.0,D. Gallinari makes free throw 2 of 2,1,65-85,,
0:25.0,,,65-85,,H. Thompson misses 3-pt shot from 25 ft
0:24.0,Defensive rebound by J. Hickson,,65-85,,
0:04.0,J. Nelson makes 3-pt shot from 24 ft,3,68-85,,
0:01.0,,,68-85,,L. Drew misses 3-pt shot from 43 ft
0:00.0,,,68-85,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:37.0,,,68-85,,L. Drew misses 2-pt shot from 21 ft
11:36.0,,,68-85,,Offensive rebound by Team
11:36.0,,,68-85,,Turnover by Team (shot clock)
11:22.0,Shooting foul by H. Thompson (drawn by G. Harris),,68-85,,
11:22.0,G. Harris makes free throw 1 of 2,1,69-85,,
11:22.0,G. Harris makes free throw 2 of 2,1,70-85,,
10:58.0,,,70-85,,Turnover by K. McDaniels (lost ball; steal by J. Nelson)
10:45.0,J. Nelson makes 3-pt shot from 25 ft (assist by A. Gee),3,73-85,,
10:44.0,,,73-85,,Philadelphia full timeout
10:44.0,,,73-85,,M. Carter-Williams enters the game for L. Drew
10:44.0,,,73-85,,R. Covington enters the game for K. McDaniels
10:41.0,,,73-85,,Turnover by M. Carter-Williams (lost ball; steal by J. Nelson)
10:35.0,J. Hickson makes 2-pt shot at rim (assist by J. Nelson),2,75-85,,
10:26.0,,,75-87,2,L. Mbah a Moute makes 2-pt shot from 1 ft (assist by N. Noel)
10:10.0,A. Gee makes 2-pt shot from 1 ft (assist by J. Nelson),2,77-87,,
9:49.0,Jump ball: J. Nelson vs. N. Noel (R. Covington gains possession),,,,Jump ball: J. Nelson vs. N. Noel (R. Covington gains possession)
9:44.0,,,77-90,3,M. Carter-Williams makes 3-pt shot from 26 ft (assist by R. Covington)
9:34.0,J. Nelson makes 2-pt shot from 2 ft,2,79-90,,
9:16.0,,,79-90,,Turnover by N. Noel (lost ball; steal by G. Harris)
9:13.0,Shooting foul by L. Mbah a Moute (drawn by A. Gee),,79-90,,
9:13.0,A. Gee makes free throw 1 of 2,1,80-90,,
9:13.0,A. Gee misses free throw 2 of 2,,80-90,,
9:12.0,,,80-90,,Defensive rebound by L. Mbah a Moute
8:52.0,,,80-90,,H. Thompson misses 3-pt shot from 24 ft
8:49.0,,,80-90,,Offensive rebound by N. Noel
8:49.0,,,80-92,2,N. Noel makes 2-pt shot at rim
8:34.0,J. Hickson makes 2-pt shot from 4 ft (assist by D. Gallinari),2,82-92,,
8:11.0,,,82-92,,M. Carter-Williams misses 3-pt shot from 25 ft
8:09.0,,,82-92,,Offensive rebound by R. Covington
8:09.0,,,82-92,,Shooting foul by J. Nelson (drawn by R. Covington)
