time,Boston,pts.away,score,pts.home,New Orleans
6:05.0,,,10-12,2,O. Asik makes 2-pt shot from 1 ft
5:49.0,T. Zeller makes 2-pt shot at rim (assist by E. Turner),2,12-12,,
5:48.0,,,12-12,,New Orleans full timeout
5:48.0,I. Thomas enters the game for J. Crowder,,12-12,,
5:48.0,K. Olynyk enters the game for T. Zeller,,12-12,,
5:30.0,,,12-12,,A. Davis misses 2-pt shot from 16 ft
5:28.0,Defensive rebound by E. Turner,,12-12,,
5:11.0,B. Bass makes 2-pt shot at rim,2,14-12,,
4:54.0,,,14-12,,Shooting foul by K. Olynyk (drawn by O. Asik)
4:54.0,,,14-13,1,O. Asik makes free throw 1 of 2
4:54.0,,,14-14,1,O. Asik makes free throw 2 of 2
4:42.0,M. Smart misses 3-pt shot from 24 ft,,14-14,,
4:40.0,,,14-14,,Defensive rebound by A. Davis
4:30.0,,,14-16,2,A. Davis makes 2-pt shot from 11 ft
4:16.0,K. Olynyk misses 2-pt shot from 3 ft (block by A. Davis),,14-16,,
4:13.0,,,14-16,,Defensive rebound by A. Davis
4:13.0,,,14-16,,N. Cole enters the game for Q. Pondexter
4:13.0,Jump ball: B. Bass vs. A. Davis (M. Smart gains possession),,,,Jump ball: B. Bass vs. A. Davis (M. Smart gains possession)
4:13.0,,,14-16,,Turnover by A. Davis (lost ball; steal by B. Bass)
4:01.0,E. Turner makes 3-pt shot from 27 ft (assist by I. Thomas),3,17-16,,
3:46.0,,,17-16,,A. Davis misses 2-pt shot from 3 ft (block by K. Olynyk)
3:44.0,,,17-16,,Offensive rebound by T. Evans
3:43.0,,,17-16,,Turnover by T. Evans (traveling)
3:20.0,I. Thomas misses 2-pt shot from 20 ft,,17-16,,
3:18.0,Offensive rebound by K. Olynyk,,17-16,,
3:14.0,I. Thomas makes 3-pt shot from 25 ft (assist by K. Olynyk),3,20-16,,
3:02.0,,,20-18,2,N. Cole makes 2-pt shot from 10 ft
2:49.0,K. Olynyk misses 3-pt shot from 25 ft,,20-18,,
2:47.0,,,20-18,,Defensive rebound by T. Evans
2:35.0,,,20-21,3,E. Gordon makes 3-pt shot from 26 ft (assist by A. Davis)
2:25.0,E. Turner makes 2-pt shot at rim,2,22-21,,
2:12.0,Personal foul by M. Smart (drawn by O. Asik),,22-21,,
2:12.0,Boston full timeout,,22-21,,
2:12.0,,,22-21,,A. Ajinca enters the game for O. Asik
2:12.0,J. Crowder enters the game for M. Smart,,22-21,,
2:02.0,,,22-21,,E. Gordon misses 2-pt shot from 22 ft
2:01.0,,,22-21,,Offensive rebound by A. Ajinca
1:54.0,,,22-23,2,A. Davis makes 2-pt shot from 11 ft (assist by N. Cole)
1:40.0,K. Olynyk misses 3-pt shot from 24 ft,,22-23,,
1:38.0,,,22-23,,Defensive rebound by E. Gordon
1:28.0,,,22-23,,N. Cole misses 2-pt shot from 10 ft
1:26.0,Defensive rebound by J. Crowder,,22-23,,
1:12.0,B. Bass makes 2-pt shot from 18 ft (assist by I. Thomas),2,24-23,,
0:51.0,,,24-23,,A. Davis misses 2-pt shot from 18 ft
0:50.0,Defensive rebound by E. Turner,,24-23,,
0:37.0,Turnover by B. Bass (traveling),,24-23,,
0:37.0,,,24-23,,D. Cunningham enters the game for E. Gordon
0:37.0,J. Jerebko enters the game for B. Bass,,24-23,,
0:24.0,,,24-23,,A. Davis misses 2-pt shot from 3 ft
0:24.0,,,24-23,,Offensive rebound by A. Davis
0:24.0,,,24-25,2,A. Davis makes 2-pt shot from 3 ft
0:05.0,J. Crowder makes 3-pt shot from 29 ft,3,27-25,,
0:00.0,,,27-25,,T. Evans misses 3-pt shot from 25 ft
0:00.0,,,27-25,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:35.0,,,27-27,2,A. Ajinca makes 2-pt shot from 11 ft
11:20.0,I. Thomas makes 2-pt shot from 2 ft,2,29-27,,
11:03.0,,,29-27,,Turnover by N. Cole (bad pass)
10:45.0,I. Thomas makes 2-pt shot from 2 ft,2,31-27,,
10:31.0,,,31-27,,D. Cunningham misses 2-pt shot from 20 ft
10:30.0,Defensive rebound by K. Olynyk,,31-27,,
10:21.0,J. Jerebko misses 2-pt shot from 2 ft,,31-27,,
10:20.0,,,31-27,,Defensive rebound by L. Babbitt
10:14.0,,,31-27,,Q. Pondexter enters the game for A. Davis
10:02.0,,,31-27,,Turnover by N. Cole (bad pass)
9:45.0,I. Thomas misses 3-pt shot from 25 ft,,31-27,,
9:43.0,,,31-27,,Defensive rebound by A. Ajinca
9:33.0,,,31-27,,Turnover by N. Cole (traveling)
9:19.0,Shooting foul by A. Ajinca (drawn by K. Olynyk),,31-27,,
9:19.0,K. Olynyk makes free throw 1 of 2,1,32-27,,
9:19.0,K. Olynyk makes free throw 2 of 2,1,33-27,,
9:02.0,,,33-27,,N. Cole misses 2-pt shot from 20 ft
9:00.0,Defensive rebound by J. Crowder,,33-27,,
8:47.0,J. Jerebko makes 3-pt shot from 23 ft (assist by I. Thomas),3,36-27,,
8:23.0,,,36-27,,Q. Pondexter misses 2-pt shot from 8 ft
8:21.0,,,36-27,,Offensive rebound by A. Ajinca
8:08.0,,,36-29,2,A. Ajinca makes 2-pt shot from 9 ft
7:54.0,I. Thomas makes 2-pt shot from 1 ft,2,38-29,,
7:36.0,,,38-29,,N. Cole misses 3-pt shot from 24 ft
7:35.0,Defensive rebound by J. Jerebko,,38-29,,
7:30.0,Shooting foul by N. Cole (drawn by K. Olynyk),,38-29,,
7:30.0,Official timeout,,38-29,,
7:30.0,K. Olynyk makes free throw 1 of 2,1,39-29,,
7:30.0,K. Olynyk makes free throw 2 of 2,1,40-29,,
7:08.0,,,40-31,2,D. Cunningham makes 2-pt shot from 1 ft (assist by L. Babbitt)
6:54.0,Turnover by I. Thomas (bad pass; steal by L. Babbitt),,40-31,,
6:48.0,,,40-33,2,L. Babbitt makes 2-pt shot at rim
6:35.0,J. Young makes 3-pt shot from 25 ft (assist by K. Olynyk),3,43-33,,
6:14.0,,,43-35,2,L. Babbitt makes 2-pt shot from 17 ft (assist by A. Ajinca)
5:52.0,I. Thomas misses 2-pt shot from 2 ft (block by A. Ajinca),,43-35,,
5:49.0,,,43-35,,Defensive rebound by A. Ajinca
5:46.0,,,43-37,2,N. Cole makes 2-pt shot from 4 ft
5:46.0,Boston full timeout,,43-37,,
5:46.0,M. Smart enters the game for K. Olynyk,,43-37,,
5:46.0,T. Zeller enters the game for J. Jerebko,,43-37,,
5:46.0,,,43-37,,E. Gordon enters the game for A. Ajinca
5:46.0,,,43-37,,A. Davis enters the game for L. Babbitt
5:26.0,T. Zeller misses 2-pt shot from 2 ft,,43-37,,
5:25.0,,,43-37,,Defensive rebound by A. Davis
5:11.0,,,43-39,2,A. Davis makes 2-pt shot at rim (assist by N. Cole)
4:48.0,J. Young misses 3-pt shot from 26 ft,,43-39,,
4:46.0,Offensive rebound by J. Crowder,,43-39,,
4:42.0,I. Thomas misses 3-pt shot from 25 ft,,43-39,,
4:41.0,,,43-39,,Defensive rebound by Q. Pondexter
4:33.0,E. Turner enters the game for J. Young,,43-39,,
4:33.0,B. Bass enters the game for I. Thomas,,43-39,,
4:21.0,,,43-39,,N. Cole misses 2-pt shot from 19 ft
4:20.0,Defensive rebound by B. Bass,,43-39,,
4:05.0,M. Smart makes 3-pt shot from 24 ft (assist by B. Bass),3,46-39,,
3:45.0,,,46-41,2,E. Gordon makes 2-pt shot from 21 ft
3:27.0,Offensive foul by T. Zeller,,46-41,,
3:27.0,Turnover by T. Zeller (offensive foul),,46-41,,
3:27.0,,,46-41,,T. Evans enters the game for Q. Pondexter
3:27.0,,,46-41,,O. Asik enters the game for D. Cunningham
3:16.0,,,46-41,,Turnover by N. Cole (bad pass)
2:59.0,Turnover by E. Turner (bad pass; steal by E. Gordon),,46-41,,
2:55.0,,,46-43,2,A. Davis makes 2-pt shot at rim (assist by T. Evans)
2:36.0,M. Smart misses 3-pt shot from 24 ft,,46-43,,
2:35.0,Offensive rebound by T. Zeller,,46-43,,
2:30.0,M. Smart misses 2-pt shot from 15 ft,,46-43,,
2:30.0,,,46-43,,Defensive rebound by Team
2:30.0,,,46-43,,New Orleans full timeout
2:30.0,,,46-43,,L. Babbitt enters the game for N. Cole
2:30.0,I. Thomas enters the game for J. Crowder,,46-43,,
2:17.0,,,46-43,,E. Gordon misses 2-pt shot from 9 ft
2:16.0,Defensive rebound by B. Bass,,46-43,,
1:54.0,E. Turner misses 2-pt shot from 10 ft (block by T. Evans),,46-43,,
1:52.0,,,46-43,,Defensive rebound by T. Evans
1:49.0,Personal foul by B. Bass (drawn by A. Davis),,46-43,,
1:49.0,K. Olynyk enters the game for T. Zeller,,46-43,,
1:49.0,,,46-43,,N. Cole enters the game for L. Babbitt
1:38.0,,,46-43,,Turnover by T. Evans (bad pass; steal by M. Smart)
1:20.0,K. Olynyk misses 2-pt shot from 21 ft,,46-43,,
1:19.0,,,46-43,,Defensive rebound by A. Davis
1:11.0,,,46-43,,Shooting foul by K. Olynyk (drawn by O. Asik)
1:11.0,,,46-44,1,O. Asik makes free throw 1 of 2
1:11.0,,,46-45,1,O. Asik makes free throw 2 of 2
1:00.0,Shooting foul by A. Davis (drawn by K. Olynyk),,46-45,,
1:00.0,K. Olynyk misses free throw 1 of 2,,46-45,,
1:00.0,Offensive rebound by Team,,46-45,,
1:00.0,K. Olynyk misses free throw 2 of 2,,46-45,,
0:59.0,,,46-45,,Defensive rebound by A. Davis
0:43.0,,,46-47,2,A. Davis makes 2-pt shot from 17 ft (assist by N. Cole)
0:28.0,Shooting foul by N. Cole (drawn by I. Thomas),,46-47,,
0:28.0,I. Thomas makes free throw 1 of 2,1,47-47,,
0:28.0,T. Zeller enters the game for K. Olynyk,,47-47,,
0:28.0,I. Thomas misses free throw 2 of 2,,47-47,,
0:27.0,,,47-47,,Defensive rebound by O. Asik
0:06.0,,,47-47,,O. Asik misses 2-pt shot at rim
0:04.0,Defensive rebound by M. Smart,,47-47,,
0:00.0,B. Bass misses 2-pt shot from 19 ft,,47-47,,
0:00.0,Offensive rebound by Team,,47-47,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,47-49,2,A. Davis makes 2-pt shot from 19 ft (assist by O. Asik)
11:30.0,B. Bass misses 2-pt shot from 17 ft,,47-49,,
11:29.0,,,47-49,,Defensive rebound by A. Davis
11:16.0,,,47-49,,E. Gordon misses 3-pt shot from 23 ft
11:16.0,Defensive rebound by Team,,47-49,,
11:16.0,,,47-49,,Loose ball foul by O. Asik (drawn by B. Bass)
11:04.0,B. Bass makes 3-pt shot from 24 ft (assist by E. Turner),3,50-49,,
10:43.0,,,50-49,,A. Davis misses 2-pt shot from 20 ft
10:42.0,,,50-49,,Offensive rebound by Team
10:42.0,Loose ball foul by K. Olynyk (drawn by O. Asik),,50-49,,
10:29.0,,,50-52,3,E. Gordon makes 3-pt shot from 26 ft (assist by T. Evans)
10:11.0,K. Olynyk misses 2-pt shot from 22 ft,,50-52,,
10:10.0,,,50-52,,Defensive rebound by O. Asik
10:05.0,,,50-52,,T. Evans misses 2-pt shot from 10 ft
10:02.0,Defensive rebound by J. Crowder,,50-52,,
9:58.0,K. Olynyk misses 2-pt shot from 19 ft (block by A. Davis),,50-52,,
9:56.0,,,50-52,,Defensive rebound by A. Davis
9:50.0,,,50-52,,E. Gordon misses 3-pt shot from 27 ft
9:47.0,Defensive rebound by E. Turner,,50-52,,
9:39.0,Shooting foul by Q. Pondexter (drawn by K. Olynyk),,50-52,,
9:39.0,K. Olynyk makes free throw 1 of 2,1,51-52,,
9:39.0,K. Olynyk makes free throw 2 of 2,1,52-52,,
9:26.0,,,52-52,,Q. Pondexter misses 2-pt shot from 19 ft
9:24.0,Defensive rebound by B. Bass,,52-52,,
9:16.0,Turnover by B. Bass (offensive goaltending),,52-52,,
8:56.0,,,52-54,2,O. Asik makes 2-pt shot at rim (assist by Q. Pondexter)
8:41.0,Shooting foul by E. Gordon (drawn by M. Smart),,52-54,,
8:41.0,M. Smart makes free throw 1 of 2,1,53-54,,
8:41.0,M. Smart makes free throw 2 of 2,1,54-54,,
8:24.0,,,54-54,,Turnover by A. Davis (traveling)
8:10.0,M. Smart misses 2-pt shot from 10 ft (block by A. Davis),,54-54,,
8:08.0,,,54-54,,Defensive rebound by O. Asik
7:58.0,,,54-57,3,T. Evans makes 3-pt shot from 26 ft (assist by Q. Pondexter)
7:40.0,J. Crowder makes 2-pt shot from 22 ft (assist by K. Olynyk),2,56-57,,
7:24.0,,,56-57,,Turnover by T. Evans (lost ball)
7:09.0,B. Bass misses 3-pt shot from 24 ft,,56-57,,
7:05.0,Offensive rebound by K. Olynyk,,56-57,,
7:05.0,K. Olynyk misses 2-pt shot from 1 ft,,56-57,,
7:03.0,,,56-57,,Defensive rebound by T. Evans
6:52.0,,,56-57,,Turnover by T. Evans (bad pass; steal by J. Crowder)
6:46.0,K. Olynyk misses 3-pt shot from 25 ft,,56-57,,
6:44.0,Offensive rebound by B. Bass,,56-57,,
6:38.0,B. Bass makes 2-pt shot at rim (assist by J. Crowder),2,58-57,,
6:16.0,,,58-60,3,Q. Pondexter makes 3-pt shot from 24 ft (assist by O. Asik)
5:49.0,E. Turner misses 2-pt shot from 22 ft,,58-60,,
5:48.0,,,58-60,,Defensive rebound by Q. Pondexter
5:40.0,,,58-60,,Turnover by A. Davis (lost ball; steal by J. Crowder)
5:35.0,B. Bass makes 2-pt shot at rim (assist by M. Smart),2,60-60,,
5:20.0,,,60-60,,Turnover by O. Asik (traveling)
5:20.0,,,60-60,,New Orleans full timeout
5:20.0,I. Thomas enters the game for J. Crowder,,60-60,,
5:07.0,Turnover by I. Thomas (bad pass; steal by T. Evans),,60-60,,
5:01.0,,,60-62,2,T. Evans makes 2-pt shot at rim
4:37.0,K. Olynyk makes 2-pt shot from 11 ft,2,62-62,,
4:18.0,,,62-62,,A. Davis misses 2-pt shot from 21 ft
4:17.0,Defensive rebound by M. Smart,,62-62,,
4:03.0,B. Bass misses 2-pt shot from 1 ft,,62-62,,
4:01.0,,,62-62,,Defensive rebound by A. Davis
3:51.0,,,62-62,,Turnover by T. Evans (lost ball; steal by M. Smart)
3:46.0,E. Turner makes 2-pt shot from 1 ft (assist by M. Smart),2,64-62,,
3:20.0,,,64-62,,Q. Pondexter misses 3-pt shot from 24 ft
3:19.0,Defensive rebound by M. Smart,,64-62,,
3:07.0,T. Zeller enters the game for K. Olynyk,,64-62,,
3:07.0,,,64-62,,D. Cunningham enters the game for O. Asik
3:07.0,,,64-62,,N. Cole enters the game for T. Evans
3:04.0,Offensive foul by E. Turner,,64-62,,
3:04.0,Turnover by E. Turner (offensive foul),,64-62,,
2:51.0,,,64-62,,N. Cole misses 2-pt shot from 17 ft
2:49.0,Defensive rebound by T. Zeller,,64-62,,
2:33.0,B. Bass makes 2-pt shot from 1 ft (assist by E. Turner),2,66-62,,
2:14.0,,,66-62,,A. Davis misses 2-pt shot from 10 ft
2:12.0,,,66-62,,Offensive rebound by A. Davis
2:07.0,,,66-62,,D. Cunningham misses 2-pt shot from 16 ft
2:05.0,Defensive rebound by T. Zeller,,66-62,,
1:56.0,T. Zeller makes 2-pt shot from 2 ft,2,68-62,,
1:40.0,Personal foul by M. Smart (drawn by E. Gordon),,68-62,,
1:40.0,Boston full timeout,,68-62,,
1:40.0,J. Jerebko enters the game for B. Bass,,68-62,,
1:40.0,J. Young enters the game for E. Turner,,68-62,,
1:32.0,,,68-64,2,E. Gordon makes 2-pt shot from 13 ft
1:12.0,T. Zeller misses 2-pt shot from 7 ft,,68-64,,
1:10.0,,,68-64,,Defensive rebound by D. Cunningham
1:01.0,,,68-64,,Shooting foul by J. Jerebko (drawn by A. Davis)
1:01.0,,,68-65,1,A. Davis makes free throw 1 of 2
1:01.0,,,68-65,,L. Babbitt enters the game for Q. Pondexter
1:01.0,,,68-66,1,A. Davis makes free throw 2 of 2
0:45.0,J. Jerebko misses 3-pt shot from 25 ft,,68-66,,
0:44.0,,,68-66,,Defensive rebound by A. Davis
0:33.0,,,68-66,,Shooting foul by M. Smart (drawn by E. Gordon)
0:33.0,,,68-67,1,E. Gordon makes free throw 1 of 2
0:33.0,,,68-68,1,E. Gordon makes free throw 2 of 2
0:26.0,I. Thomas makes 2-pt shot from 7 ft,2,70-68,,
0:26.0,Shooting foul by N. Cole (drawn by I. Thomas),,70-68,,
0:26.0,B. Bass enters the game for T. Zeller,,70-68,,
0:26.0,J. Crowder enters the game for J. Young,,70-68,,
0:26.0,I. Thomas makes free throw 1 of 1,1,71-68,,
0:04.0,,,71-68,,N. Cole misses 3-pt shot from 24 ft
0:03.0,,,71-68,,Offensive rebound by D. Cunningham
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,J. Young misses 2-pt shot from 20 ft,,71-68,,
11:42.0,,,71-68,,Defensive rebound by L. Babbitt
11:23.0,,,71-68,,T. Evans misses 2-pt shot from 22 ft
11:22.0,Defensive rebound by J. Crowder,,71-68,,
11:15.0,I. Thomas makes 3-pt shot from 26 ft,3,74-68,,
10:55.0,,,74-68,,Turnover by L. Babbitt (bad pass; steal by J. Crowder)
10:50.0,J. Young misses 2-pt shot from 18 ft,,74-68,,
10:48.0,,,74-68,,Defensive rebound by L. Babbitt
10:40.0,,,74-68,,L. Babbitt misses 3-pt shot from 27 ft
10:39.0,Defensive rebound by J. Crowder,,74-68,,
10:24.0,J. Crowder misses 3-pt shot from 24 ft,,74-68,,
10:23.0,,,74-68,,Defensive rebound by L. Babbitt
10:12.0,,,74-71,3,L. Babbitt makes 3-pt shot from 25 ft (assist by N. Cole)
9:50.0,J. Jerebko makes 2-pt shot from 2 ft,2,76-71,,
9:26.0,,,76-71,,A. Davis misses 2-pt shot from 19 ft
9:24.0,Defensive rebound by J. Young,,76-71,,
9:08.0,I. Thomas makes 3-pt shot from 24 ft,3,79-71,,
8:43.0,,,79-71,,D. Cunningham misses 2-pt shot from 2 ft
8:41.0,Defensive rebound by I. Thomas,,79-71,,
8:39.0,I. Thomas makes 3-pt shot from 26 ft,3,82-71,,
8:37.0,,,82-71,,New Orleans full timeout
8:37.0,E. Turner enters the game for J. Young,,82-71,,
8:29.0,Personal foul by B. Bass (drawn by A. Davis),,82-71,,
8:21.0,,,82-73,2,T. Evans makes 2-pt shot from 2 ft
8:06.0,Shooting foul by N. Cole (drawn by I. Thomas),,82-73,,
8:06.0,I. Thomas makes free throw 1 of 3,1,83-73,,
8:06.0,,,83-73,,E. Gordon enters the game for D. Cunningham
8:06.0,I. Thomas makes free throw 2 of 3,1,84-73,,
8:06.0,I. Thomas makes free throw 3 of 3,1,85-73,,
7:54.0,,,85-75,2,T. Evans makes 2-pt shot from 2 ft
7:38.0,J. Crowder makes 2-pt shot from 1 ft (assist by E. Turner),2,87-75,,
7:22.0,,,87-75,,E. Gordon misses 3-pt shot from 26 ft
7:19.0,,,87-75,,Offensive rebound by T. Evans
7:12.0,,,87-75,,T. Evans misses 2-pt shot from 2 ft
7:10.0,Defensive rebound by J. Crowder,,87-75,,
7:04.0,Shooting foul by A. Davis (drawn by B. Bass),,87-75,,
7:04.0,B. Bass makes free throw 1 of 2,1,88-75,,
7:04.0,,,88-75,,A. Ajinca enters the game for A. Davis
7:04.0,B. Bass makes free throw 2 of 2,1,89-75,,
6:50.0,Personal foul by B. Bass (drawn by A. Ajinca),,89-75,,
6:50.0,T. Zeller enters the game for B. Bass,,89-75,,
6:50.0,M. Smart enters the game for I. Thomas,,89-75,,
6:38.0,,,89-78,3,E. Gordon makes 3-pt shot from 27 ft (assist by T. Evans)
6:25.0,Shooting foul by A. Ajinca (drawn by J. Jerebko),,89-78,,
6:25.0,J. Jerebko makes free throw 1 of 2,1,90-78,,
6:25.0,J. Jerebko makes free throw 2 of 2,1,91-78,,
6:11.0,,,91-78,,T. Evans misses 2-pt shot from 2 ft
6:08.0,Defensive rebound by E. Turner,,91-78,,
6:01.0,E. Turner makes 2-pt shot from 1 ft,2,93-78,,
5:46.0,,,93-78,,Turnover by N. Cole (lost ball)
5:46.0,Official timeout,,93-78,,
5:46.0,,,93-78,,A. Davis enters the game for N. Cole
5:46.0,,,93-78,,Q. Pondexter enters the game for A. Ajinca
5:46.0,B. Bass enters the game for T. Zeller,,93-78,,
5:29.0,Turnover by J. Crowder (lost ball),,93-78,,
5:19.0,,,93-81,3,L. Babbitt makes 3-pt shot from 22 ft (assist by T. Evans)
4:59.0,J. Crowder misses 2-pt shot from 19 ft,,93-81,,
4:58.0,,,93-81,,Defensive rebound by E. Gordon
4:47.0,,,93-81,,E. Gordon misses 3-pt shot from 27 ft
4:46.0,Defensive rebound by B. Bass,,93-81,,
4:32.0,J. Crowder misses 3-pt shot from 25 ft,,93-81,,
4:31.0,,,93-81,,Defensive rebound by L. Babbitt
4:20.0,,,93-81,,Turnover by T. Evans (bad pass; steal by J. Jerebko)
4:15.0,J. Jerebko makes 2-pt shot at rim (assist by E. Turner),2,95-81,,
3:57.0,,,95-81,,E. Gordon misses 3-pt shot from 24 ft
3:56.0,Defensive rebound by J. Jerebko,,95-81,,
3:39.0,E. Turner misses 2-pt shot from 2 ft,,95-81,,
3:38.0,,,95-81,,Defensive rebound by L. Babbitt
3:25.0,,,95-81,,A. Davis misses 2-pt shot from 14 ft
3:24.0,Defensive rebound by J. Crowder,,95-81,,
3:02.0,M. Smart misses 3-pt shot from 25 ft,,95-81,,
3:00.0,,,95-81,,Defensive rebound by A. Davis
3:00.0,Loose ball foul by J. Jerebko (drawn by A. Davis),,95-81,,
2:36.0,,,95-83,2,A. Davis makes 2-pt shot from 5 ft
2:28.0,Boston full timeout,,95-83,,
2:28.0,I. Thomas enters the game for J. Jerebko,,95-83,,
2:22.0,I. Thomas misses 2-pt shot from 19 ft,,95-83,,
2:20.0,,,95-83,,Defensive rebound by A. Davis
2:06.0,,,95-83,,Shooting foul by E. Turner (drawn by A. Davis)
2:06.0,,,95-84,1,A. Davis makes free throw 1 of 2
2:06.0,,,95-85,1,A. Davis makes free throw 2 of 2
1:54.0,J. Crowder makes 2-pt shot from 1 ft,2,97-85,,
1:44.0,,,97-85,,T. Evans misses 3-pt shot from 25 ft
1:43.0,Defensive rebound by M. Smart,,97-85,,
1:26.0,B. Bass misses 2-pt shot from 8 ft,,97-85,,
1:25.0,,,97-85,,Defensive rebound by L. Babbitt
1:18.0,,,97-87,2,L. Babbitt makes 2-pt shot at rim
0:59.0,Turnover by I. Thomas (discontinued dribble),,97-87,,
0:59.0,,,97-87,,New Orleans full timeout
0:49.0,,,97-89,2,A. Davis makes 2-pt shot at rim (assist by L. Babbitt)
0:45.0,Turnover by E. Turner (bad pass; steal by T. Evans),,97-89,,
0:39.0,Personal foul by E. Turner (drawn by A. Davis),,97-89,,
0:39.0,,,97-90,1,A. Davis makes free throw 1 of 2
0:39.0,,,97-90,,A. Davis misses free throw 2 of 2
0:38.0,Defensive rebound by E. Turner,,97-90,,
0:30.0,Boston full timeout,,97-90,,
0:26.0,,,97-90,,Personal take foul by T. Evans (drawn by E. Turner)
0:24.0,E. Turner makes 2-pt shot from 1 ft (assist by M. Smart),2,99-90,,
0:24.0,Shooting foul by T. Evans (drawn by E. Turner),,99-90,,
0:24.0,E. Turner makes free throw 1 of 1,1,100-90,,
0:13.0,,,100-90,,Shooting foul by E. Turner (drawn by Q. Pondexter)
0:13.0,,,100-92,2,Q. Pondexter makes 2-pt shot from 4 ft (assist by E. Gordon)
0:13.0,,,100-93,1,Q. Pondexter makes free throw 1 of 1
0:13.0,Boston full timeout,,100-93,,
0:13.0,,,100-93,,Personal take foul by Q. Pondexter (drawn by I. Thomas)
0:13.0,I. Thomas makes free throw 1 of 2,1,101-93,,
0:13.0,I. Thomas makes free throw 2 of 2,1,102-93,,
0:07.0,,,102-93,,Q. Pondexter misses 3-pt shot from 23 ft
0:06.0,,,102-93,,Offensive rebound by Team
0:06.0,Loose ball foul by B. Bass (drawn by A. Davis),,102-93,,
0:06.0,,,102-94,1,A. Davis makes free throw 1 of 2
0:06.0,,,102-95,1,A. Davis makes free throw 2 of 2
0:04.0,,,102-95,,Personal take foul by Q. Pondexter (drawn by E. Turner)
0:04.0,E. Turner makes free throw 1 of 2,1,103-95,,
0:04.0,E. Turner makes free throw 2 of 2,1,104-95,,
0:00.0,,,104-98,3,E. Gordon makes 3-pt shot from 26 ft (assist by T. Evans)
0:00.0,End of 4th quarter,,,,End of 4th quarter
