time,Atlanta,pts.away,score,pts.home,Phoenix
8:08.0,,,8-9,1,E. Bledsoe makes free throw 2 of 2
7:45.0,P. Millsap makes 3-pt shot from 25 ft,3,11-9,,
7:30.0,,,11-9,,Turnover by M. Morris (lost ball; steal by P. Millsap)
7:28.0,Turnover by D. Carroll (bad pass; steal by E. Bledsoe),,11-9,,
7:24.0,,,11-11,2,M. Morris makes 2-pt shot at rim (assist by E. Bledsoe)
7:02.0,J. Teague makes 2-pt shot from 1 ft,2,13-11,,
6:50.0,,,13-14,3,P. Tucker makes 3-pt shot from 22 ft (assist by E. Bledsoe)
6:37.0,J. Teague makes 2-pt shot from 8 ft,2,15-14,,
6:08.0,,,15-14,,M. Morris misses 3-pt shot from 24 ft
6:08.0,,,15-14,,Offensive rebound by M. Morris
6:04.0,,,15-14,,M. Morris misses 2-pt shot from 2 ft
6:03.0,Defensive rebound by P. Millsap,,15-14,,
5:56.0,J. Teague misses 3-pt shot from 23 ft,,15-14,,
5:55.0,Offensive rebound by D. Carroll,,15-14,,
5:45.0,J. Teague misses 2-pt shot from 6 ft,,15-14,,
5:44.0,,,15-14,,Defensive rebound by A. Len
5:40.0,,,15-16,2,E. Bledsoe makes 2-pt shot at rim
5:40.0,,,15-16,,Shooting foul by K. Korver (drawn by E. Bledsoe)
5:40.0,,,15-16,,Phoenix full timeout
5:40.0,P. Antic enters the game for A. Horford,,15-16,,
5:40.0,,,15-17,1,E. Bledsoe makes free throw 1 of 1
5:23.0,P. Millsap makes 2-pt shot from 3 ft (assist by J. Teague),2,17-17,,
5:07.0,,,17-17,,Turnover by E. Bledsoe (bad pass; steal by J. Teague)
5:02.0,D. Carroll makes 2-pt shot from 1 ft (assist by J. Teague),2,19-17,,
4:54.0,,,19-19,2,M. Morris makes 2-pt shot at rim
4:34.0,P. Millsap misses 2-pt shot from 18 ft,,19-19,,
4:33.0,,,19-19,,Defensive rebound by P. Tucker
4:21.0,,,19-19,,M. Morris misses 3-pt shot from 24 ft
4:21.0,Defensive rebound by K. Korver,,19-19,,
4:11.0,Shooting foul by A. Len (drawn by P. Antic),,19-19,,
4:11.0,P. Antic misses free throw 1 of 2,,19-19,,
4:11.0,Offensive rebound by Team,,19-19,,
4:11.0,D. Schroder enters the game for J. Teague,,19-19,,
4:11.0,K. Bazemore enters the game for K. Korver,,19-19,,
4:11.0,,,19-19,,T. Warren enters the game for P. Tucker
4:11.0,,,19-19,,M. Thornton enters the game for M. Morris
4:11.0,P. Antic makes free throw 2 of 2,1,20-19,,
3:51.0,,,20-19,,M. Morris misses 2-pt shot from 20 ft
3:50.0,Defensive rebound by P. Antic,,20-19,,
3:41.0,D. Schroder makes 2-pt shot at rim,2,22-19,,
3:36.0,,,22-19,,Turnover by E. Bledsoe (offensive foul)
3:36.0,,,22-19,,Offensive charge foul by E. Bledsoe
3:36.0,,,22-19,,A. Goodwin enters the game for E. Bledsoe
3:11.0,D. Schroder misses 2-pt shot from 21 ft (block by A. Goodwin),,22-19,,
3:10.0,Offensive rebound by Team,,22-19,,
3:10.0,Turnover by Team (shot clock),,22-19,,
2:53.0,,,22-19,,Turnover by M. Morris (bad pass; steal by P. Millsap)
2:50.0,P. Millsap makes 2-pt shot at rim,2,24-19,,
2:34.0,,,24-21,2,M. Morris makes 2-pt shot at rim
2:34.0,,,24-21,,Shooting foul by D. Carroll (drawn by M. Morris)
2:34.0,Atlanta full timeout,,24-21,,
2:34.0,,,24-21,,B. Wright enters the game for A. Len
2:34.0,K. Korver enters the game for D. Carroll,,24-21,,
2:34.0,,,24-21,,M. Morris misses free throw 1 of 1
2:33.0,Defensive rebound by K. Bazemore,,24-21,,
2:20.0,P. Antic makes 2-pt shot from 1 ft (assist by P. Millsap),2,26-21,,
1:56.0,,,26-23,2,M. Morris makes 2-pt shot from 1 ft (assist by A. Goodwin)
1:50.0,K. Bazemore misses 2-pt shot from 1 ft,,26-23,,
1:48.0,,,26-23,,Defensive rebound by T. Warren
1:40.0,Personal foul by P. Millsap (drawn by A. Goodwin),,26-23,,
1:40.0,A. Horford enters the game for P. Millsap,,26-23,,
1:28.0,,,26-23,,M. Thornton misses 2-pt shot from 19 ft
1:27.0,Defensive rebound by K. Korver,,26-23,,
1:23.0,K. Korver makes 2-pt shot at rim,2,28-23,,
1:06.0,,,28-23,,T. Warren misses 2-pt shot from 7 ft
1:05.0,Defensive rebound by D. Schroder,,28-23,,
0:55.0,D. Schroder misses 2-pt shot from 18 ft,,28-23,,
0:54.0,,,28-23,,Defensive rebound by A. Goodwin
0:31.0,,,28-23,,M. Thornton misses 3-pt shot from 24 ft
0:30.0,Defensive rebound by P. Antic,,28-23,,
0:04.0,A. Horford misses 2-pt shot from 20 ft,,28-23,,
0:03.0,Offensive rebound by P. Antic,,28-23,,
0:01.0,P. Antic misses 2-pt shot from 1 ft (block by B. Wright),,28-23,,
0:01.0,,,28-23,,Defensive rebound by B. Wright
0:00.0,,,28-23,,T. Warren misses 3-pt shot from 40 ft
0:00.0,,,28-23,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,Turnover by D. Schroder (bad pass; steal by B. Wright),,28-23,,
11:32.0,,,28-25,2,T. Warren makes 2-pt shot from 3 ft (assist by M. Morris)
11:18.0,,,28-25,,Def 3 sec tech foul by B. Wright
11:18.0,K. Korver makes technical free throw,1,29-25,,
11:12.0,Shooting foul by M. Morris (drawn by D. Schroder),,29-25,,
11:12.0,D. Schroder makes free throw 1 of 2,1,30-25,,
11:12.0,D. Schroder misses free throw 2 of 2,,30-25,,
11:11.0,,,30-25,,Defensive rebound by A. Goodwin
10:53.0,,,30-25,,A. Goodwin misses 2-pt shot from 19 ft
10:52.0,Defensive rebound by A. Horford,,30-25,,
10:41.0,P. Antic makes 3-pt shot from 25 ft (assist by D. Schroder),3,33-25,,
10:22.0,,,33-28,3,A. Goodwin makes 3-pt shot from 23 ft (assist by T. Warren)
10:01.0,Turnover by D. Schroder (bad pass; steal by M. Morris),,33-28,,
9:50.0,,,33-28,,Offensive charge foul by T. Warren
9:50.0,,,33-28,,Turnover by T. Warren (offensive foul)
9:50.0,,,33-28,,M. Morris enters the game for M. Morris
9:50.0,,,33-28,,P. Tucker enters the game for T. Warren
9:32.0,A. Horford misses 2-pt shot from 17 ft,,33-28,,
9:31.0,,,33-28,,Defensive rebound by A. Goodwin
9:15.0,,,33-28,,P. Tucker misses 2-pt shot from 8 ft
9:12.0,,,33-28,,Offensive rebound by P. Tucker
9:10.0,,,33-28,,Turnover by P. Tucker (bad pass; steal by K. Bazemore)
8:58.0,A. Horford makes 2-pt shot from 1 ft (assist by D. Schroder),2,35-28,,
8:39.0,,,35-30,2,M. Morris makes 2-pt shot from 16 ft
8:20.0,,,35-30,,Personal foul by B. Wright (drawn by A. Horford)
8:20.0,Official timeout,,35-30,,
8:20.0,E. Brand enters the game for P. Antic,,35-30,,
8:20.0,,,35-30,,E. Bledsoe enters the game for M. Thornton
8:12.0,D. Schroder makes 2-pt shot from 19 ft,2,37-30,,
7:49.0,,,37-30,,M. Morris misses 2-pt shot from 20 ft
7:48.0,Defensive rebound by D. Schroder,,37-30,,
7:28.0,Shooting foul by M. Morris (drawn by A. Horford),,37-30,,
7:28.0,A. Horford makes free throw 1 of 2,1,38-30,,
7:28.0,J. Teague enters the game for K. Korver,,38-30,,
7:28.0,D. Carroll enters the game for K. Bazemore,,38-30,,
7:28.0,A. Horford makes free throw 2 of 2,1,39-30,,
7:06.0,,,39-30,,B. Wright misses 2-pt shot from 6 ft
7:04.0,,,39-30,,Offensive rebound by A. Goodwin
7:04.0,,,39-30,,A. Goodwin misses 2-pt shot from 1 ft
7:04.0,,,39-30,,Offensive rebound by A. Goodwin
7:04.0,,,39-30,,Shooting foul by A. Horford (drawn by A. Goodwin)
7:04.0,,,39-31,1,A. Goodwin makes free throw 1 of 2
7:04.0,,,39-31,,A. Len enters the game for B. Wright
7:04.0,P. Millsap enters the game for A. Horford,,39-31,,
7:04.0,,,39-32,1,A. Goodwin makes free throw 2 of 2
6:47.0,E. Brand misses 2-pt shot from 9 ft,,39-32,,
6:46.0,,,39-32,,Defensive rebound by Team
6:46.0,Personal foul by D. Schroder (drawn by M. Morris),,39-32,,
6:33.0,,,39-35,3,E. Bledsoe makes 3-pt shot from 25 ft
6:14.0,Turnover by P. Millsap (traveling),,39-35,,
6:01.0,,,39-35,,M. Morris misses 3-pt shot from 24 ft
6:00.0,Defensive rebound by D. Schroder,,39-35,,
5:48.0,P. Millsap misses 3-pt shot from 25 ft,,39-35,,
5:47.0,,,39-35,,Defensive rebound by P. Tucker
5:39.0,,,39-35,,Shooting foul by E. Brand (drawn by E. Bledsoe)
5:39.0,,,39-35,,Phoenix full timeout
5:39.0,,,39-36,1,E. Bledsoe makes free throw 1 of 2
5:39.0,,,39-37,1,E. Bledsoe makes free throw 2 of 2
5:26.0,Offensive foul by E. Brand,,39-37,,
5:26.0,Turnover by E. Brand (offensive foul),,39-37,,
5:16.0,Personal foul by E. Brand (drawn by A. Len),,39-37,,
5:00.0,,,39-40,3,A. Goodwin makes 3-pt shot from 24 ft (assist by M. Morris)
4:45.0,J. Teague misses 2-pt shot from 11 ft,,39-40,,
4:44.0,,,39-40,,Defensive rebound by M. Morris
4:28.0,,,39-40,,E. Bledsoe misses 3-pt shot from 25 ft
4:27.0,,,39-40,,Offensive rebound by A. Len
4:22.0,,,39-40,,E. Bledsoe misses 2-pt shot from 1 ft (block by E. Brand)
4:21.0,,,39-40,,Offensive rebound by M. Morris
4:19.0,,,39-40,,M. Morris misses 2-pt shot from 1 ft (block by P. Millsap)
4:18.0,Defensive rebound by D. Schroder,,39-40,,
4:17.0,D. Carroll makes 2-pt shot from 1 ft (assist by D. Schroder),2,41-40,,
4:17.0,Shooting foul by A. Goodwin (drawn by D. Carroll),,41-40,,
4:17.0,A. Horford enters the game for E. Brand,,41-40,,
4:17.0,D. Carroll makes free throw 1 of 1,1,42-40,,
3:59.0,,,42-40,,M. Morris misses 2-pt shot from 4 ft
3:58.0,Defensive rebound by P. Millsap,,42-40,,
3:45.0,D. Schroder misses 3-pt shot from 24 ft,,42-40,,
3:45.0,,,42-40,,Defensive rebound by P. Tucker
3:33.0,,,42-40,,A. Goodwin misses 2-pt shot from 2 ft
3:32.0,Defensive rebound by D. Carroll,,42-40,,
3:27.0,D. Carroll misses 2-pt shot from 1 ft,,42-40,,
3:26.0,,,42-40,,Defensive rebound by P. Tucker
3:22.0,Personal foul by J. Teague (drawn by A. Goodwin),,42-40,,
3:22.0,,,42-40,,A. Goodwin misses free throw 1 of 2
3:22.0,,,42-40,,Offensive rebound by Team
3:22.0,,,42-41,1,A. Goodwin makes free throw 2 of 2
3:22.0,Atlanta full timeout,,42-41,,
3:22.0,K. Korver enters the game for D. Schroder,,42-41,,
3:22.0,,,42-41,,M. Morris enters the game for A. Goodwin
3:06.0,K. Korver misses 2-pt shot from 10 ft,,42-41,,
3:05.0,,,42-41,,Defensive rebound by M. Morris
2:46.0,,,42-41,,M. Morris misses 2-pt shot from 17 ft
2:45.0,Defensive rebound by A. Horford,,42-41,,
2:34.0,P. Millsap misses 3-pt shot from 24 ft,,42-41,,
2:33.0,,,42-41,,Defensive rebound by P. Tucker
2:28.0,,,42-43,2,M. Morris makes 2-pt shot from 2 ft (assist by P. Tucker)
2:10.0,P. Millsap makes 2-pt shot from 1 ft (assist by J. Teague),2,44-43,,
1:48.0,,,44-43,,Phoenix full timeout
1:47.0,,,44-43,,Turnover by P. Tucker (bad pass)
1:35.0,A. Horford makes 2-pt shot from 14 ft (assist by J. Teague),2,46-43,,
1:13.0,,,46-45,2,E. Bledsoe makes 2-pt shot from 1 ft
1:06.0,J. Teague makes 2-pt shot from 1 ft,2,48-45,,
0:58.0,,,48-48,3,M. Morris makes 3-pt shot from 25 ft (assist by E. Bledsoe)
0:44.0,J. Teague misses 2-pt shot at rim,,48-48,,
0:43.0,,,48-48,,Defensive rebound by A. Len
0:38.0,,,48-48,,Shooting foul by A. Horford (drawn by M. Morris)
0:38.0,,,48-48,,M. Morris misses free throw 1 of 2
0:38.0,,,48-48,,Offensive rebound by Team
0:38.0,,,48-48,,A. Goodwin enters the game for A. Len
0:38.0,,,48-48,,M. Thornton enters the game for E. Bledsoe
0:38.0,D. Schroder enters the game for J. Teague,,48-48,,
0:38.0,,,48-49,1,M. Morris makes free throw 2 of 2
0:30.0,Turnover by D. Schroder (lost ball; steal by M. Morris),,48-49,,
0:25.0,,,48-49,,Shooting foul by A. Horford (drawn by P. Tucker)
0:25.0,,,48-49,,P. Tucker misses free throw 1 of 2
0:25.0,,,48-49,,Offensive rebound by Team
0:25.0,,,48-50,1,P. Tucker makes free throw 2 of 2
0:03.0,P. Millsap misses 2-pt shot from 8 ft,,48-50,,
0:02.0,,,48-50,,Defensive rebound by M. Morris
0:00.0,,,48-50,,M. Morris misses 3-pt shot from 40 ft
0:00.0,,,48-50,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,K. Korver makes 2-pt shot from 18 ft (assist by P. Millsap),2,50-50,,
11:27.0,,,50-50,,M. Morris misses 3-pt shot from 24 ft
11:26.0,Defensive rebound by D. Carroll,,50-50,,
11:07.0,P. Millsap misses 2-pt shot from 6 ft,,50-50,,
11:06.0,Offensive rebound by P. Millsap,,50-50,,
11:03.0,P. Millsap misses 2-pt shot at rim,,50-50,,
11:03.0,,,50-50,,Defensive rebound by M. Morris
10:55.0,,,50-53,3,M. Morris makes 3-pt shot from 23 ft (assist by M. Morris)
10:43.0,A. Horford misses 2-pt shot from 8 ft,,50-53,,
10:42.0,,,50-53,,Defensive rebound by A. Len
10:24.0,Personal foul by P. Millsap (drawn by A. Len),,50-53,,
10:10.0,,,50-53,,M. Morris misses 2-pt shot from 6 ft (block by K. Korver)
10:08.0,Defensive rebound by P. Millsap,,50-53,,
10:04.0,Turnover by P. Millsap (bad pass; steal by M. Morris),,50-53,,
9:48.0,,,50-56,3,P. Tucker makes 3-pt shot from 23 ft (assist by E. Bledsoe)
9:33.0,Turnover by P. Millsap (traveling),,50-56,,
9:17.0,,,50-56,,P. Tucker misses 3-pt shot from 23 ft
9:16.0,Defensive rebound by P. Millsap,,50-56,,
9:05.0,A. Horford misses 2-pt shot from 15 ft,,50-56,,
9:04.0,,,50-56,,Defensive rebound by M. Morris
8:49.0,,,50-59,3,E. Bledsoe makes 3-pt shot from 26 ft
8:28.0,J. Teague misses 2-pt shot from 5 ft (block by M. Morris),,50-59,,
8:26.0,,,50-59,,Defensive rebound by A. Len
8:24.0,,,50-61,2,M. Morris makes 2-pt shot from 1 ft (assist by E. Bledsoe)
8:24.0,Atlanta full timeout,,50-61,,
8:04.0,A. Horford misses 2-pt shot from 2 ft,,50-61,,
8:03.0,Offensive rebound by P. Millsap,,50-61,,
8:01.0,,,50-61,,Personal foul by M. Morris (drawn by P. Millsap)
7:45.0,P. Millsap makes 2-pt shot from 9 ft,2,52-61,,
7:19.0,,,52-61,,Shooting foul by A. Horford (drawn by A. Len)
7:19.0,,,52-61,,A. Len misses free throw 1 of 2
7:19.0,,,52-61,,Offensive rebound by Team
7:19.0,P. Antic enters the game for A. Horford,,52-61,,
7:19.0,,,52-61,,A. Len misses free throw 2 of 2
7:18.0,Defensive rebound by P. Millsap,,52-61,,
7:00.0,D. Carroll makes 2-pt shot from 2 ft,2,54-61,,
6:46.0,,,54-61,,A. Len misses 2-pt shot from 1 ft (block by K. Korver)
6:45.0,,,54-61,,Offensive rebound by M. Morris
6:42.0,,,54-63,2,M. Morris makes 2-pt shot from 16 ft
6:21.0,J. Teague makes 2-pt shot at rim,2,56-63,,
5:56.0,,,56-63,,Shooting foul by P. Millsap (drawn by M. Morris)
5:56.0,,,56-64,1,M. Morris makes free throw 1 of 2
5:56.0,,,56-64,,B. Wright enters the game for A. Len
5:56.0,,,56-65,1,M. Morris makes free throw 2 of 2
5:46.0,J. Teague misses 2-pt shot from 3 ft,,56-65,,
5:45.0,,,56-65,,Defensive rebound by E. Bledsoe
5:41.0,,,56-65,,Turnover by E. Bledsoe (bad pass; steal by D. Carroll)
5:35.0,D. Carroll makes 2-pt shot from 1 ft (assist by K. Korver),2,58-65,,
5:23.0,,,58-65,,E. Bledsoe misses 2-pt shot from 22 ft
5:22.0,Defensive rebound by D. Carroll,,58-65,,
5:12.0,,,58-65,,Personal foul by E. Bledsoe (drawn by J. Teague)
5:12.0,,,58-65,,T. Warren enters the game for M. Morris
5:12.0,K. Bazemore enters the game for K. Korver,,58-65,,
5:12.0,,,58-65,,A. Goodwin enters the game for E. Bledsoe
5:00.0,J. Teague misses 2-pt shot from 2 ft,,58-65,,
4:59.0,,,58-65,,Defensive rebound by A. Goodwin
4:57.0,Personal foul by D. Carroll (drawn by A. Goodwin),,58-65,,
4:57.0,D. Schroder enters the game for J. Teague,,58-65,,
4:44.0,,,58-65,,Turnover by P. Tucker (step out of bounds)
4:31.0,K. Bazemore makes 2-pt shot at rim (assist by P. Millsap),2,60-65,,
4:15.0,,,60-67,2,M. Morris makes 2-pt shot from 13 ft
4:00.0,P. Antic misses 3-pt shot from 24 ft,,60-67,,
3:59.0,,,60-67,,Defensive rebound by M. Morris
3:47.0,,,60-67,,M. Morris misses 2-pt shot from 2 ft
3:46.0,Defensive rebound by P. Millsap,,60-67,,
3:39.0,D. Carroll misses 2-pt shot from 7 ft,,60-67,,
3:38.0,,,60-67,,Defensive rebound by P. Tucker
3:33.0,,,60-67,,P. Tucker misses 2-pt shot from 3 ft (block by P. Millsap)
3:33.0,,,60-67,,Offensive rebound by Team
3:28.0,,,60-67,,Shooting foul by P. Millsap (drawn by M. Morris)
3:28.0,,,60-68,1,M. Morris makes free throw 1 of 2
3:28.0,,,60-68,,M. Thornton enters the game for P. Tucker
3:28.0,,,60-69,1,M. Morris makes free throw 2 of 2
3:08.0,P. Antic misses 2-pt shot from 8 ft,,60-69,,
3:07.0,,,60-69,,Defensive rebound by B. Wright
3:02.0,,,60-71,2,B. Wright makes 2-pt shot at rim (assist by A. Goodwin)
2:53.0,Atlanta full timeout,,60-71,,
2:53.0,,,60-71,,Phoenix full timeout
2:53.0,E. Brand enters the game for D. Carroll,,60-71,,
2:53.0,K. Korver enters the game for P. Millsap,,60-71,,
2:36.0,K. Bazemore makes 2-pt shot from 2 ft,2,62-71,,
2:16.0,,,62-71,,A. Goodwin misses 2-pt shot from 2 ft
2:15.0,Defensive rebound by K. Korver,,62-71,,
2:07.0,K. Korver makes 3-pt shot from 25 ft (assist by D. Schroder),3,65-71,,
1:47.0,,,65-71,,A. Goodwin misses 3-pt shot from 25 ft
1:46.0,,,65-71,,Offensive rebound by M. Thornton
1:36.0,,,65-71,,M. Thornton misses 3-pt shot from 24 ft
1:35.0,Defensive rebound by P. Antic,,65-71,,
1:14.0,P. Antic misses 3-pt shot from 25 ft,,65-71,,
1:13.0,,,65-71,,Defensive rebound by M. Thornton
0:58.0,,,65-71,,T. Warren misses 2-pt shot from 2 ft
0:57.0,Defensive rebound by K. Korver,,65-71,,
0:49.0,K. Korver misses 3-pt shot from 24 ft,,65-71,,
0:48.0,,,65-71,,Defensive rebound by B. Wright
0:34.0,,,65-71,,Turnover by A. Goodwin (bad pass; steal by D. Schroder)
0:29.0,K. Korver misses 2-pt shot from 1 ft (block by A. Goodwin),,65-71,,
0:27.0,Offensive rebound by Team,,65-71,,
0:27.0,Turnover by K. Korver (bad pass),,65-71,,
0:07.0,,,65-73,2,M. Morris makes 2-pt shot from 18 ft
0:04.0,,,65-73,,Personal take foul by A. Goodwin (drawn by D. Schroder)
0:00.0,E. Brand misses 2-pt shot from 17 ft,,65-73,,
0:00.0,Offensive rebound by Team,,65-73,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,,,65-73,,Turnover by P. Tucker (bad pass; steal by D. Schroder)
11:43.0,D. Schroder makes 2-pt shot at rim,2,67-73,,
11:22.0,,,67-75,2,P. Tucker makes 2-pt shot from 6 ft
11:03.0,A. Horford misses 2-pt shot from 3 ft,,67-75,,
11:02.0,Offensive rebound by E. Brand,,67-75,,
11:00.0,D. Schroder misses 3-pt shot from 25 ft,,67-75,,
10:59.0,,,67-75,,Defensive rebound by M. Morris
10:46.0,,,67-75,,P. Tucker misses 2-pt shot from 10 ft
10:45.0,Defensive rebound by E. Brand,,67-75,,
10:39.0,Shooting foul by M. Morris (drawn by D. Schroder),,67-75,,
10:39.0,D. Schroder makes free throw 1 of 2,1,68-75,,
10:39.0,D. Schroder makes free throw 2 of 2,1,69-75,,
10:22.0,,,69-75,,Turnover by E. Bledsoe (traveling)
10:22.0,P. Millsap enters the game for E. Brand,,69-75,,
9:58.0,D. Schroder misses 2-pt shot from 3 ft,,69-75,,
9:57.0,Offensive rebound by K. Bazemore,,69-75,,
9:53.0,K. Bazemore makes 2-pt shot from 1 ft,2,71-75,,
9:34.0,,,71-75,,A. Goodwin misses 3-pt shot from 25 ft
9:33.0,Defensive rebound by K. Bazemore,,71-75,,
9:29.0,D. Schroder makes 2-pt shot at rim (assist by K. Bazemore),2,73-75,,
9:28.0,,,73-75,,Technical foul by A. Goodwin
9:28.0,Technical foul by D. Schroder,,73-75,,
9:28.0,,,73-75,,Phoenix full timeout
9:28.0,,,73-75,,A. Len enters the game for A. Goodwin
9:28.0,,,73-75,,M. Morris enters the game for B. Wright
9:09.0,,,73-77,2,P. Tucker makes 2-pt shot at rim (assist by M. Morris)
8:46.0,A. Horford makes 2-pt shot from 12 ft (assist by D. Schroder),2,75-77,,
8:20.0,,,75-77,,M. Morris misses 3-pt shot from 25 ft
8:19.0,Defensive rebound by Team,,75-77,,
8:06.0,A. Horford makes 2-pt shot from 18 ft (assist by D. Schroder),2,77-77,,
7:44.0,,,77-79,2,M. Morris makes 2-pt shot from 7 ft (assist by M. Morris)
7:16.0,D. Schroder misses 2-pt shot from 3 ft,,77-79,,
7:15.0,,,77-79,,Defensive rebound by M. Morris
6:58.0,,,77-79,,Phoenix full timeout
6:58.0,J. Teague enters the game for D. Schroder,,77-79,,
6:58.0,,,77-79,,B. Wright enters the game for A. Len
6:58.0,,,77-79,,Turnover by P. Tucker (bad pass)
6:38.0,P. Millsap makes 3-pt shot from 24 ft (assist by J. Teague),3,80-79,,
6:14.0,,,80-79,,Turnover by E. Bledsoe (bad pass; steal by A. Horford)
6:08.0,K. Korver makes 3-pt shot from 24 ft (assist by J. Teague),3,83-79,,
5:45.0,,,83-79,,P. Tucker misses 3-pt shot from 24 ft
5:44.0,Defensive rebound by A. Horford,,83-79,,
5:31.0,Turnover by P. Millsap (lost ball; steal by M. Morris),,83-79,,
5:15.0,Personal foul by K. Bazemore (drawn by P. Tucker),,83-79,,
5:15.0,Official timeout,,83-79,,
5:15.0,D. Carroll enters the game for K. Bazemore,,83-79,,
5:05.0,,,83-79,,Turnover by E. Bledsoe (bad pass; steal by A. Horford)
4:45.0,P. Millsap misses 3-pt shot from 25 ft,,83-79,,
4:44.0,,,83-79,,Defensive rebound by P. Tucker
4:38.0,,,83-79,,E. Bledsoe misses 2-pt shot from 1 ft
4:38.0,,,83-79,,Offensive rebound by Team
4:38.0,Loose ball foul by K. Korver (drawn by M. Morris),,83-79,,
4:38.0,K. Bazemore enters the game for K. Korver,,83-79,,
4:29.0,,,83-79,,M. Morris misses 2-pt shot from 16 ft
4:28.0,Defensive rebound by A. Horford,,83-79,,
4:02.0,K. Bazemore makes 3-pt shot from 24 ft (assist by D. Carroll),3,86-79,,
3:39.0,,,86-79,,M. Morris misses 2-pt shot from 7 ft
3:39.0,,,86-79,,Offensive rebound by E. Bledsoe
3:34.0,,,86-79,,Shooting foul by D. Carroll (drawn by E. Bledsoe)
3:34.0,,,86-81,2,E. Bledsoe makes 2-pt shot from 2 ft
3:34.0,,,86-81,,E. Bledsoe misses free throw 1 of 1
3:33.0,Defensive rebound by A. Horford,,86-81,,
3:23.0,J. Teague misses 2-pt shot from 8 ft (block by B. Wright),,86-81,,
3:22.0,,,86-81,,Defensive rebound by E. Bledsoe
3:13.0,,,86-81,,Turnover by E. Bledsoe (lost ball; steal by P. Millsap)
3:10.0,,,86-81,,Personal take foul by M. Morris (drawn by A. Horford)
3:10.0,Atlanta full timeout,,86-81,,
3:10.0,K. Korver enters the game for K. Bazemore,,86-81,,
3:04.0,P. Millsap makes 2-pt shot from 7 ft (assist by J. Teague),2,88-81,,
2:46.0,,,88-83,2,B. Wright makes 2-pt shot at rim (assist by E. Bledsoe)
2:32.0,P. Millsap misses 2-pt shot from 10 ft,,88-83,,
2:31.0,,,88-83,,Defensive rebound by B. Wright
2:20.0,,,88-83,,M. Morris misses 3-pt shot from 24 ft
2:19.0,Defensive rebound by A. Horford,,88-83,,
2:09.0,K. Korver makes 3-pt shot from 24 ft (assist by J. Teague),3,91-83,,
1:51.0,,,91-85,2,M. Morris makes 2-pt shot from 20 ft (assist by P. Tucker)
1:32.0,P. Millsap makes 3-pt shot from 23 ft (assist by A. Horford),3,94-85,,
1:29.0,,,94-85,,Phoenix full timeout
1:29.0,K. Bazemore enters the game for K. Korver,,94-85,,
1:13.0,,,94-87,2,E. Bledsoe makes 2-pt shot from 16 ft
0:54.0,Turnover by J. Teague (bad pass; steal by M. Morris),,94-87,,
0:46.0,,,94-87,,Turnover by M. Morris (bad pass; steal by K. Bazemore)
