time,Milwaukee,pts.away,score,pts.home,Utah
8:44.0,Loose ball foul by E. Ilyasova (drawn by T. Booker),,22-30,,
8:38.0,,,22-30,,G. Hayward misses 2-pt shot from 5 ft (block by M. Plumlee)
8:35.0,,,22-30,,Offensive rebound by T. Booker
8:24.0,,,22-33,3,G. Hayward makes 3-pt shot from 23 ft (assist by J. Ingles)
8:08.0,E. Ilyasova misses 3-pt shot from 24 ft,,22-33,,
8:08.0,,,22-33,,Defensive rebound by Team
7:53.0,Personal foul by M. Plumlee (drawn by G. Hayward),,22-33,,
7:53.0,K. Middleton enters the game for J. Bayless,,22-33,,
7:43.0,,,22-33,,G. Hayward misses 2-pt shot from 10 ft
7:41.0,Defensive rebound by K. Middleton,,22-33,,
7:37.0,O. Mayo makes 3-pt shot from 24 ft (assist by K. Middleton),3,25-33,,
7:18.0,,,25-35,2,J. Ingles makes 2-pt shot from 20 ft
7:08.0,Turnover by T. Ennis (bad pass; steal by D. Favors),,25-35,,
6:56.0,,,25-35,,Turnover by J. Ingles (bad pass; steal by M. Plumlee)
6:51.0,T. Ennis makes 2-pt shot from 2 ft (assist by K. Middleton),2,27-35,,
6:35.0,,,27-37,2,T. Booker makes 2-pt shot from 2 ft (assist by G. Hayward)
6:19.0,Turnover by K. Middleton (lost ball; steal by T. Booker),,27-37,,
6:14.0,,,27-39,2,T. Booker makes 2-pt shot at rim (assist by J. Ingles)
6:14.0,Milwaukee full timeout,,27-39,,
6:14.0,Z. Pachulia enters the game for M. Plumlee,,27-39,,
6:14.0,,,27-39,,T. Burke enters the game for D. Exum
6:14.0,M. Carter-Williams enters the game for T. Ennis,,27-39,,
6:00.0,Turnover by Z. Pachulia (lost ball; steal by T. Booker),,27-39,,
5:53.0,,,27-39,,J. Ingles misses 2-pt shot from 22 ft
5:53.0,Defensive rebound by E. Ilyasova,,27-39,,
5:37.0,E. Ilyasova makes 2-pt shot from 3 ft (assist by Z. Pachulia),2,29-39,,
5:15.0,,,29-39,,G. Hayward misses 2-pt shot from 2 ft
5:14.0,,,29-39,,Offensive rebound by G. Hayward
5:12.0,,,29-39,,G. Hayward misses 2-pt shot from 2 ft
5:10.0,Defensive rebound by M. Carter-Williams,,29-39,,
5:00.0,,,29-39,,Personal foul by D. Favors (drawn by M. Carter-Williams)
5:00.0,,,29-39,,R. Gobert enters the game for T. Booker
4:53.0,Turnover by M. Carter-Williams (lost ball; steal by J. Ingles),,29-39,,
4:50.0,,,29-39,,Turnover by D. Favors (lost ball; steal by O. Mayo)
4:48.0,Turnover by O. Mayo (bad pass),,29-39,,
4:37.0,,,29-41,2,T. Burke makes 2-pt shot from 18 ft
4:25.0,O. Mayo misses 2-pt shot from 16 ft,,29-41,,
4:23.0,,,29-41,,Defensive rebound by D. Favors
4:15.0,,,29-43,2,T. Burke makes 2-pt shot from 2 ft
3:56.0,Turnover by E. Ilyasova (lost ball; steal by R. Gobert),,29-43,,
3:49.0,,,29-43,,Turnover by J. Ingles (bad pass; steal by M. Carter-Williams)
3:40.0,,,29-43,,E. Millsap enters the game for J. Ingles
3:33.0,E. Ilyasova misses 3-pt shot from 24 ft,,29-43,,
3:32.0,,,29-43,,Defensive rebound by R. Gobert
3:21.0,,,29-43,,Turnover by R. Gobert (lost ball)
3:10.0,M. Carter-Williams makes 2-pt shot from 1 ft,2,31-43,,
3:07.0,,,31-43,,Turnover by R. Gobert (inbound)
3:07.0,G. Antetokounmpo enters the game for O. Mayo,,31-43,,
3:00.0,Z. Pachulia misses 2-pt shot from 2 ft (block by D. Favors),,31-43,,
2:56.0,Offensive rebound by E. Ilyasova,,31-43,,
2:54.0,E. Ilyasova makes 2-pt shot from 2 ft,2,33-43,,
2:36.0,,,33-43,,T. Burke misses 3-pt shot from 25 ft
2:35.0,Defensive rebound by G. Antetokounmpo,,33-43,,
2:28.0,M. Carter-Williams misses 2-pt shot from 9 ft,,33-43,,
2:27.0,,,33-43,,Defensive rebound by E. Millsap
2:23.0,,,33-45,2,G. Hayward makes 2-pt shot at rim (assist by E. Millsap)
2:00.0,Turnover by G. Antetokounmpo (bad pass; steal by D. Favors),,33-45,,
1:52.0,,,33-45,,E. Millsap misses 3-pt shot from 24 ft
1:51.0,Defensive rebound by G. Antetokounmpo,,33-45,,
1:40.0,E. Ilyasova makes 2-pt shot from 18 ft (assist by G. Antetokounmpo),2,35-45,,
1:39.0,,,35-45,,Utah full timeout
1:39.0,,,35-45,,R. Hood enters the game for E. Millsap
1:24.0,,,35-45,,G. Hayward misses 2-pt shot from 16 ft
1:23.0,,,35-45,,Offensive rebound by D. Favors
1:23.0,,,35-45,,D. Favors misses 2-pt shot from 1 ft
1:21.0,Defensive rebound by M. Carter-Williams,,35-45,,
1:10.0,K. Middleton makes 2-pt shot from 6 ft,2,37-45,,
0:54.0,,,37-45,,Offensive foul by R. Gobert
0:54.0,,,37-45,,Turnover by R. Gobert (offensive foul)
0:54.0,,,37-45,,Technical foul by R. Gobert
0:54.0,Technical foul by Z. Pachulia,,37-45,,
0:54.0,,,37-45,,T. Booker enters the game for R. Gobert
0:43.0,E. Ilyasova makes 3-pt shot from 23 ft (assist by M. Carter-Williams),3,40-45,,
0:30.0,,,40-47,2,D. Favors makes 2-pt shot from 1 ft (assist by T. Burke)
0:12.0,Turnover by G. Antetokounmpo (traveling),,40-47,,
0:01.0,,,40-47,,T. Burke misses 2-pt shot from 4 ft
0:01.0,,,40-47,,Offensive rebound by D. Favors
0:01.0,,,40-47,,D. Favors misses 2-pt shot from 1 ft
0:00.0,,,40-47,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,M. Carter-Williams makes 2-pt shot from 5 ft,2,42-47,,
11:29.0,,,42-47,,Offensive foul by R. Gobert
11:29.0,,,42-47,,Turnover by R. Gobert (offensive foul)
11:16.0,Z. Pachulia misses 2-pt shot from 16 ft,,42-47,,
11:15.0,,,42-47,,Defensive rebound by J. Ingles
10:52.0,,,42-47,,J. Ingles misses 3-pt shot from 22 ft
10:50.0,Defensive rebound by M. Carter-Williams,,42-47,,
10:43.0,Shooting foul by D. Favors (drawn by E. Ilyasova),,42-47,,
10:43.0,E. Ilyasova misses free throw 1 of 2,,42-47,,
10:43.0,Offensive rebound by Team,,42-47,,
10:43.0,E. Ilyasova makes free throw 2 of 2,1,43-47,,
10:34.0,,,43-47,,G. Hayward misses 3-pt shot from 23 ft
10:33.0,Defensive rebound by G. Antetokounmpo,,43-47,,
10:09.0,K. Middleton misses 2-pt shot from 22 ft,,43-47,,
10:08.0,Offensive rebound by G. Antetokounmpo,,43-47,,
10:08.0,G. Antetokounmpo makes 2-pt shot at rim,2,45-47,,
9:52.0,,,45-47,,D. Favors misses 2-pt shot from 2 ft
9:51.0,Defensive rebound by Z. Pachulia,,45-47,,
9:31.0,Turnover by Z. Pachulia (lost ball; steal by R. Gobert),,45-47,,
9:26.0,,,45-49,2,G. Hayward makes 2-pt shot from 1 ft (assist by T. Burke)
9:07.0,Z. Pachulia makes 2-pt shot from 1 ft (assist by G. Antetokounmpo),2,47-49,,
8:40.0,,,47-49,,T. Burke misses 3-pt shot from 24 ft
8:40.0,,,47-49,,Offensive rebound by Team
8:40.0,,,47-49,,Turnover by Team (shot clock)
8:27.0,M. Carter-Williams makes 2-pt shot from 11 ft,2,49-49,,
8:07.0,,,49-49,,G. Hayward misses 3-pt shot from 24 ft
8:06.0,Defensive rebound by K. Middleton,,49-49,,
7:46.0,Z. Pachulia misses 2-pt shot from 12 ft,,49-49,,
7:45.0,Offensive rebound by E. Ilyasova,,49-49,,
7:45.0,E. Ilyasova misses 2-pt shot from 1 ft,,49-49,,
7:43.0,,,49-49,,Defensive rebound by T. Burke
7:30.0,,,49-49,,Shooting foul by E. Ilyasova (drawn by R. Gobert)
7:30.0,,,49-50,1,R. Gobert makes free throw 1 of 2
7:30.0,,,49-50,,D. Exum enters the game for T. Burke
7:30.0,,,49-51,1,R. Gobert makes free throw 2 of 2
7:19.0,Z. Pachulia misses 2-pt shot from 1 ft,,49-51,,
7:17.0,,,49-51,,Defensive rebound by D. Favors
7:13.0,,,49-51,,D. Exum misses 3-pt shot from 23 ft
7:11.0,Defensive rebound by E. Ilyasova,,49-51,,
7:00.0,E. Ilyasova misses 2-pt shot from 22 ft,,49-51,,
6:57.0,,,49-51,,Defensive rebound by G. Hayward
6:45.0,Personal foul by K. Middleton (drawn by G. Hayward),,49-51,,
6:45.0,,,49-51,,Utah full timeout
6:45.0,,,49-51,,T. Booker enters the game for D. Favors
6:45.0,J. Henson enters the game for E. Ilyasova,,49-51,,
6:32.0,,,49-51,,Turnover by G. Hayward (lost ball; steal by K. Middleton)
6:23.0,K. Middleton makes 3-pt shot from 24 ft (assist by Z. Pachulia),3,52-51,,
6:07.0,,,52-51,,Turnover by D. Exum (bad pass; steal by K. Middleton)
5:56.0,K. Middleton misses 2-pt shot from 19 ft,,52-51,,
5:55.0,,,52-51,,Defensive rebound by R. Gobert
5:37.0,,,52-51,,G. Hayward misses 2-pt shot from 21 ft
5:36.0,Defensive rebound by Z. Pachulia,,52-51,,
5:36.0,,,52-51,,Personal foul by T. Booker (drawn by Z. Pachulia)
5:36.0,,,52-51,,E. Millsap enters the game for J. Ingles
5:14.0,K. Middleton misses 2-pt shot from 13 ft,,52-51,,
5:12.0,,,52-51,,Defensive rebound by E. Millsap
4:54.0,,,52-51,,G. Hayward misses 3-pt shot from 24 ft
4:53.0,Defensive rebound by J. Henson,,52-51,,
4:38.0,M. Carter-Williams misses 2-pt shot from 16 ft,,52-51,,
4:38.0,,,52-51,,Defensive rebound by R. Gobert
4:13.0,,,52-51,,D. Exum misses 2-pt shot from 7 ft
4:12.0,Defensive rebound by Z. Pachulia,,52-51,,
3:48.0,Z. Pachulia misses 2-pt shot from 17 ft,,52-51,,
3:47.0,,,52-51,,Defensive rebound by E. Millsap
3:38.0,J. Bayless enters the game for M. Carter-Williams,,52-51,,
3:23.0,,,52-51,,E. Millsap misses 2-pt shot from 14 ft (block by G. Antetokounmpo)
3:23.0,Defensive rebound by K. Middleton,,52-51,,
3:23.0,,,52-51,,Personal foul by E. Millsap (drawn by K. Middleton)
3:23.0,O. Mayo enters the game for K. Middleton,,52-51,,
3:23.0,,,52-51,,T. Burke enters the game for D. Exum
3:07.0,G. Antetokounmpo makes 2-pt shot at rim (assist by Z. Pachulia),2,54-51,,
2:40.0,,,54-51,,T. Booker misses 2-pt shot from 6 ft
2:39.0,Defensive rebound by J. Henson,,54-51,,
2:16.0,J. Henson misses 2-pt shot from 11 ft,,54-51,,
2:15.0,Offensive rebound by O. Mayo,,54-51,,
1:58.0,J. Henson misses 2-pt shot from 8 ft,,54-51,,
1:57.0,,,54-51,,Defensive rebound by T. Burke
1:36.0,,,54-54,3,T. Burke makes 3-pt shot from 25 ft (assist by G. Hayward)
1:36.0,Milwaukee full timeout,,54-54,,
1:36.0,,,54-54,,R. Hood enters the game for G. Hayward
1:36.0,,,54-54,,D. Favors enters the game for R. Gobert
1:36.0,E. Ilyasova enters the game for Z. Pachulia,,54-54,,
1:36.0,T. Ennis enters the game for G. Antetokounmpo,,54-54,,
1:16.0,E. Ilyasova misses 2-pt shot from 3 ft,,54-54,,
1:16.0,,,54-54,,Defensive rebound by E. Millsap
1:16.0,Loose ball foul by J. Henson (drawn by E. Millsap),,54-54,,
1:02.0,,,54-56,2,T. Burke makes 2-pt shot from 3 ft
0:54.0,Shooting foul by D. Favors (drawn by J. Henson),,54-56,,
0:54.0,J. Henson misses free throw 1 of 2,,54-56,,
0:54.0,Offensive rebound by Team,,54-56,,
0:54.0,J. Henson makes free throw 2 of 2,1,55-56,,
0:34.0,,,55-56,,T. Burke misses 3-pt shot from 25 ft
0:32.0,,,55-56,,Offensive rebound by T. Booker
0:32.0,,,55-56,,T. Booker misses 2-pt shot from 1 ft
0:30.0,,,55-56,,Offensive rebound by D. Favors
0:26.0,,,55-56,,T. Booker misses 2-pt shot from 4 ft
0:25.0,,,55-56,,Offensive rebound by T. Booker
0:25.0,,,55-58,2,T. Booker makes 2-pt shot from 1 ft
0:02.0,T. Ennis misses 2-pt shot from 2 ft,,55-58,,
0:01.0,,,55-58,,Defensive rebound by D. Favors
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,55-58,,R. Hood misses 2-pt shot from 4 ft
11:41.0,Defensive rebound by O. Mayo,,55-58,,
11:20.0,Shooting foul by R. Hood (drawn by J. Henson),,55-58,,
11:20.0,J. Henson makes free throw 1 of 2,1,56-58,,
11:20.0,J. Henson makes free throw 2 of 2,1,57-58,,
11:00.0,,,57-60,2,D. Favors makes 2-pt shot at rim (assist by T. Burke)
10:47.0,Turnover by J. Henson (traveling),,57-60,,
10:36.0,,,57-60,,Shooting foul by J. Henson (drawn by D. Favors)
10:36.0,,,57-61,1,D. Favors makes free throw 1 of 2
10:36.0,,,57-62,1,D. Favors makes free throw 2 of 2
10:24.0,,,57-62,,Violation by D. Favors (kicked ball)
10:21.0,Turnover by J. Bayless (lost ball; steal by E. Millsap),,57-62,,
10:03.0,,,57-65,3,T. Burke makes 3-pt shot from 24 ft (assist by R. Hood)
9:50.0,,,57-65,,Personal foul by E. Millsap (drawn by J. Bayless)
9:49.0,Turnover by O. Mayo (bad pass; steal by D. Favors),,57-65,,
9:45.0,,,57-65,,Turnover by D. Favors (lost ball; steal by J. Henson)
9:45.0,,,57-65,,Personal foul by D. Favors (drawn by J. Henson)
9:45.0,Z. Pachulia enters the game for J. Henson,,57-65,,
9:45.0,,,57-65,,R. Gobert enters the game for D. Favors
9:32.0,J. Bayless misses 3-pt shot from 22 ft,,57-65,,
9:31.0,,,57-65,,Defensive rebound by R. Gobert
9:23.0,,,57-65,,T. Burke misses 2-pt shot from 2 ft
9:21.0,Defensive rebound by Z. Pachulia,,57-65,,
9:19.0,Turnover by Z. Pachulia (lost ball; steal by E. Millsap),,57-65,,
9:16.0,Personal foul by J. Bayless (drawn by R. Gobert),,57-65,,
9:16.0,K. Middleton enters the game for J. Bayless,,57-65,,
9:01.0,,,57-65,,E. Millsap misses 2-pt shot from 2 ft
8:59.0,Defensive rebound by T. Ennis,,57-65,,
8:53.0,K. Middleton makes 3-pt shot from 24 ft (assist by O. Mayo),3,60-65,,
8:35.0,,,60-65,,T. Burke misses 2-pt shot from 17 ft
8:35.0,Defensive rebound by K. Middleton,,60-65,,
8:22.0,O. Mayo makes 3-pt shot from 22 ft (assist by Z. Pachulia),3,63-65,,
8:19.0,,,63-65,,Utah full timeout
8:19.0,M. Carter-Williams enters the game for T. Ennis,,63-65,,
8:19.0,,,63-65,,G. Hayward enters the game for R. Hood
7:58.0,,,63-65,,G. Hayward misses 2-pt shot from 10 ft
7:56.0,,,63-65,,Offensive rebound by T. Booker
7:56.0,,,63-67,2,T. Booker makes 2-pt shot at rim
7:41.0,Turnover by M. Carter-Williams (lost ball; steal by E. Millsap),,63-67,,
7:38.0,,,63-69,2,R. Gobert makes 2-pt shot from 2 ft (assist by T. Burke)
7:38.0,,,63-69,,Shooting foul by K. Middleton (drawn by R. Gobert)
7:38.0,,,63-70,1,R. Gobert makes free throw 1 of 1
7:28.0,Turnover by K. Middleton (traveling),,63-70,,
7:09.0,Personal foul by K. Middleton (drawn by G. Hayward),,63-70,,
6:57.0,,,63-70,,T. Burke misses 3-pt shot from 25 ft
6:55.0,Defensive rebound by O. Mayo,,63-70,,
6:44.0,O. Mayo misses 3-pt shot from 23 ft,,63-70,,
6:43.0,,,63-70,,Defensive rebound by E. Millsap
6:25.0,Personal foul by E. Ilyasova (drawn by G. Hayward),,63-70,,
6:25.0,,,63-70,,G. Hayward misses free throw 1 of 2
6:25.0,,,63-70,,Offensive rebound by Team
6:25.0,,,63-70,,D. Favors enters the game for T. Booker
6:25.0,G. Antetokounmpo enters the game for Z. Pachulia,,63-70,,
6:25.0,,,63-71,1,G. Hayward makes free throw 2 of 2
6:18.0,K. Middleton makes 2-pt shot from 8 ft (assist by M. Carter-Williams),2,65-71,,
5:56.0,,,65-71,,E. Millsap misses 3-pt shot from 22 ft
5:53.0,Defensive rebound by M. Carter-Williams,,65-71,,
5:49.0,,,65-71,,Personal foul by E. Millsap (drawn by M. Carter-Williams)
5:49.0,Official timeout,,65-71,,
5:49.0,,,65-71,,R. Hood enters the game for E. Millsap
5:31.0,E. Ilyasova misses 2-pt shot from 2 ft,,65-71,,
5:30.0,Offensive rebound by E. Ilyasova,,65-71,,
5:29.0,E. Ilyasova misses 2-pt shot from 6 ft,,65-71,,
5:27.0,,,65-71,,Defensive rebound by D. Favors
5:08.0,,,65-74,3,T. Burke makes 3-pt shot from 26 ft (assist by R. Hood)
4:43.0,Turnover by G. Antetokounmpo (bad pass; steal by G. Hayward),,65-74,,
4:24.0,Personal foul by K. Middleton (drawn by R. Gobert),,65-74,,
4:24.0,,,65-74,,R. Gobert misses free throw 1 of 2
4:24.0,,,65-74,,Offensive rebound by Team
4:24.0,J. Henson enters the game for E. Ilyasova,,65-74,,
4:24.0,,,65-74,,R. Gobert misses free throw 2 of 2
4:23.0,Defensive rebound by J. Henson,,65-74,,
4:14.0,K. Middleton misses 2-pt shot from 3 ft (block by D. Favors),,65-74,,
4:12.0,,,65-74,,Defensive rebound by R. Hood
3:52.0,,,65-74,,G. Hayward misses 2-pt shot from 2 ft (block by J. Henson)
3:51.0,Defensive rebound by M. Carter-Williams,,65-74,,
3:50.0,,,65-74,,Personal foul by T. Burke (drawn by M. Carter-Williams)
3:50.0,,,65-74,,T. Booker enters the game for R. Gobert
3:50.0,M. Carter-Williams makes free throw 1 of 2,1,66-74,,
3:50.0,M. Carter-Williams makes free throw 2 of 2,1,67-74,,
3:37.0,,,67-76,2,D. Favors makes 2-pt shot at rim (assist by R. Hood)
3:20.0,Shooting foul by D. Favors (drawn by M. Carter-Williams),,67-76,,
