time,Dallas,pts.away,score,pts.home,LA Clippers
5:25.0,,,15-17,3,J. Redick makes 3-pt shot from 22 ft (assist by C. Paul)
5:15.0,D. Harris misses 3-pt shot from 24 ft,,15-17,,
5:14.0,,,15-17,,Defensive rebound by M. Barnes
5:08.0,Def 3 sec tech foul by T. Chandler,,15-17,,
5:08.0,,,15-18,1,C. Paul makes technical free throw
5:08.0,G. Smith enters the game for T. Chandler,,15-18,,
4:57.0,,,15-18,,Turnover by J. Redick (traveling)
4:35.0,M. Ellis makes 3-pt shot from 27 ft (assist by D. Harris),3,18-18,,
4:35.0,Violation by Team (delay of game),,18-18,,
4:16.0,,,18-20,2,M. Barnes makes 2-pt shot from 1 ft (assist by B. Griffin)
4:02.0,D. Harris misses 3-pt shot from 25 ft,,18-20,,
4:00.0,Offensive rebound by G. Smith,,18-20,,
3:51.0,R. Jefferson misses 2-pt shot from 9 ft,,18-20,,
3:50.0,,,18-20,,Defensive rebound by B. Griffin
3:41.0,,,18-22,2,D. Jordan makes 2-pt shot at rim (assist by J. Redick)
3:31.0,C. Parsons misses 3-pt shot from 24 ft,,18-22,,
3:29.0,,,18-22,,Defensive rebound by M. Barnes
3:13.0,,,18-24,2,B. Griffin makes 2-pt shot from 18 ft (assist by C. Paul)
3:12.0,Dallas full timeout,,18-24,,
3:12.0,,,18-24,,J. Crawford enters the game for J. Redick
3:12.0,T. Chandler enters the game for G. Smith,,18-24,,
2:54.0,R. Jefferson makes 2-pt shot from 2 ft (assist by M. Ellis),2,20-24,,
2:39.0,,,20-26,2,B. Griffin makes 2-pt shot from 19 ft (assist by C. Paul)
2:31.0,T. Chandler makes 2-pt shot at rim (assist by D. Harris),2,22-26,,
2:21.0,,,22-26,,LA Clippers full timeout
2:21.0,,,22-26,,S. Hawes enters the game for D. Jordan
2:21.0,R. Rondo enters the game for C. Parsons,,22-26,,
2:21.0,D. Nowitzki enters the game for M. Ellis,,22-26,,
2:10.0,,,22-26,,S. Hawes misses 3-pt shot from 24 ft
2:09.0,Defensive rebound by R. Rondo,,22-26,,
1:58.0,Turnover by D. Harris (bad pass; steal by J. Crawford),,22-26,,
1:58.0,Personal foul by D. Harris (drawn by C. Paul),,22-26,,
1:42.0,,,22-26,,M. Barnes misses 2-pt shot at rim
1:40.0,Defensive rebound by D. Nowitzki,,22-26,,
1:35.0,T. Chandler misses 2-pt shot from 1 ft,,22-26,,
1:32.0,,,22-26,,Defensive rebound by B. Griffin
1:23.0,,,22-28,2,J. Crawford makes 2-pt shot from 17 ft
1:04.0,D. Nowitzki misses 2-pt shot from 15 ft,,22-28,,
1:02.0,Offensive rebound by T. Chandler,,22-28,,
0:51.0,D. Harris makes 2-pt shot at rim (assist by R. Rondo),2,24-28,,
0:39.0,,,24-30,2,J. Crawford makes 2-pt shot from 15 ft (assist by C. Paul)
0:32.0,,,24-30,,J. Farmar enters the game for C. Paul
0:32.0,,,24-30,,D. Jordan enters the game for B. Griffin
0:27.0,R. Jefferson misses 2-pt shot from 2 ft,,24-30,,
0:25.0,,,24-30,,Defensive rebound by D. Jordan
0:03.0,,,24-30,,M. Barnes misses 3-pt shot from 24 ft
0:00.0,Defensive rebound by D. Harris,,24-30,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,Turnover by R. Rondo (bad pass; steal by J. Crawford),,24-30,,
11:35.0,,,24-32,2,J. Crawford makes 2-pt shot from 1 ft
11:26.0,D. Nowitzki misses 2-pt shot from 17 ft,,24-32,,
11:24.0,Offensive rebound by A. Aminu,,24-32,,
11:21.0,J. Barea makes 2-pt shot from 1 ft (assist by A. Aminu),2,26-32,,
11:10.0,,,26-32,,J. Crawford misses 3-pt shot from 25 ft
11:09.0,Defensive rebound by A. Aminu,,26-32,,
10:57.0,D. Nowitzki makes 2-pt shot from 15 ft (assist by J. Barea),2,28-32,,
10:43.0,,,28-32,,Turnover by J. Crawford (lost ball; steal by R. Rondo)
10:41.0,Shooting foul by J. Farmar (drawn by D. Nowitzki),,28-32,,
10:41.0,,,28-32,,LA Clippers full timeout
10:41.0,D. Nowitzki makes free throw 1 of 2,1,29-32,,
10:41.0,D. Nowitzki makes free throw 2 of 2,1,30-32,,
10:25.0,,,30-32,,J. Crawford misses 3-pt shot from 25 ft
10:24.0,Defensive rebound by A. Aminu,,30-32,,
10:14.0,,,30-32,,Personal foul by S. Hawes (drawn by D. Nowitzki)
10:04.0,D. Nowitzki makes 2-pt shot from 19 ft (assist by R. Rondo),2,32-32,,
9:45.0,,,32-32,,J. Farmar misses 3-pt shot from 25 ft
9:43.0,Defensive rebound by J. Barea,,32-32,,
9:37.0,D. Nowitzki misses 3-pt shot from 25 ft,,32-32,,
9:35.0,,,32-32,,Defensive rebound by R. Bullock
9:28.0,Personal foul by A. Aminu (drawn by D. Jordan),,32-32,,
9:18.0,,,32-32,,Turnover by R. Bullock (bad pass; steal by J. Barea)
9:00.0,J. Barea misses 2-pt shot from 17 ft,,32-32,,
8:59.0,,,32-32,,Defensive rebound by D. Jordan
8:59.0,Personal foul by G. Smith (drawn by D. Jordan),,32-32,,
8:59.0,,,32-32,,J. Redick enters the game for R. Bullock
8:49.0,,,32-32,,J. Farmar misses 3-pt shot from 25 ft
8:48.0,Defensive rebound by G. Smith,,32-32,,
8:36.0,,,32-32,,Personal foul by J. Farmar (drawn by D. Nowitzki)
8:31.0,R. Rondo misses 2-pt shot from 2 ft,,32-32,,
8:29.0,,,32-32,,Defensive rebound by S. Hawes
8:23.0,,,32-34,2,D. Jordan makes 2-pt shot at rim (assist by J. Crawford)
8:10.0,D. Nowitzki misses 3-pt shot from 24 ft,,32-34,,
8:09.0,,,32-34,,Defensive rebound by J. Farmar
8:06.0,,,32-36,2,D. Jordan makes 2-pt shot at rim (assist by J. Crawford)
8:05.0,Dallas full timeout,,32-36,,
8:05.0,C. Parsons enters the game for D. Nowitzki,,32-36,,
8:05.0,T. Chandler enters the game for R. Rondo,,32-36,,
8:05.0,M. Ellis enters the game for G. Smith,,32-36,,
8:05.0,C. Villanueva enters the game for A. Aminu,,32-36,,
7:48.0,Turnover by C. Villanueva (step out of bounds),,32-36,,
7:28.0,,,32-36,,J. Redick misses 3-pt shot from 26 ft
7:28.0,,,32-36,,Offensive rebound by Team
7:28.0,Loose ball foul by C. Villanueva (drawn by D. Jordan),,32-36,,
7:28.0,,,32-36,,B. Griffin enters the game for S. Hawes
7:18.0,,,32-36,,B. Griffin misses 2-pt shot from 20 ft
7:17.0,Defensive rebound by J. Barea,,32-36,,
7:03.0,M. Ellis makes 2-pt shot from 13 ft (assist by J. Barea),2,34-36,,
6:42.0,,,34-36,,J. Crawford misses 2-pt shot from 18 ft
6:41.0,,,34-36,,Offensive rebound by D. Jordan
6:37.0,,,34-36,,J. Redick misses 2-pt shot from 21 ft
6:36.0,Defensive rebound by T. Chandler,,34-36,,
6:32.0,,,34-36,,Personal foul by J. Farmar (drawn by J. Barea)
6:32.0,,,34-36,,C. Paul enters the game for J. Farmar
6:32.0,,,34-36,,M. Barnes enters the game for J. Crawford
6:24.0,C. Parsons makes 3-pt shot from 25 ft (assist by M. Ellis),3,37-36,,
6:07.0,,,37-38,2,J. Redick makes 2-pt shot from 3 ft (assist by B. Griffin)
5:56.0,C. Villanueva misses 3-pt shot from 26 ft,,37-38,,
5:56.0,Offensive rebound by Team,,37-38,,
5:56.0,,,37-38,,Loose ball foul by B. Griffin (drawn by T. Chandler)
5:56.0,T. Chandler misses free throw 1 of 2,,37-38,,
5:56.0,Offensive rebound by Team,,37-38,,
5:56.0,T. Chandler makes free throw 2 of 2,1,38-38,,
5:42.0,,,38-38,,M. Barnes misses 3-pt shot from 24 ft
5:42.0,,,38-38,,Offensive rebound by Team
5:42.0,Loose ball foul by C. Villanueva (drawn by D. Jordan),,38-38,,
5:35.0,,,38-38,,Turnover by D. Jordan (3 sec)
5:17.0,C. Villanueva misses 3-pt shot from 23 ft,,38-38,,
5:16.0,,,38-38,,Defensive rebound by J. Redick
5:07.0,,,38-38,,M. Barnes misses 2-pt shot from 5 ft
5:06.0,Defensive rebound by C. Villanueva,,38-38,,
4:59.0,M. Ellis makes 2-pt shot from 2 ft (assist by J. Barea),2,40-38,,
4:52.0,,,40-40,2,M. Barnes makes 2-pt shot from 1 ft (assist by B. Griffin)
4:42.0,C. Villanueva misses 3-pt shot from 24 ft,,40-40,,
4:39.0,,,40-40,,Defensive rebound by D. Jordan
4:36.0,,,40-42,2,B. Griffin makes 2-pt shot from 2 ft (assist by C. Paul)
4:18.0,J. Barea makes 2-pt shot from 1 ft,2,42-42,,
3:52.0,,,42-45,3,C. Paul makes 3-pt shot from 25 ft
3:31.0,J. Barea misses 3-pt shot from 25 ft,,42-45,,
3:29.0,,,42-45,,Defensive rebound by J. Redick
3:23.0,,,42-45,,B. Griffin misses 2-pt shot from 2 ft (block by T. Chandler)
3:21.0,Defensive rebound by M. Ellis,,42-45,,
3:16.0,M. Ellis makes 2-pt shot from 3 ft,2,44-45,,
3:16.0,Shooting foul by J. Redick (drawn by M. Ellis),,44-45,,
3:16.0,R. Rondo enters the game for J. Barea,,44-45,,
3:16.0,D. Nowitzki enters the game for C. Villanueva,,44-45,,
3:16.0,M. Ellis makes free throw 1 of 1,1,45-45,,
3:15.0,,,45-45,,Technical foul by M. Barnes
3:15.0,Technical foul by R. Rondo,,45-45,,
2:55.0,,,45-45,,B. Griffin misses 2-pt shot from 3 ft
2:52.0,Defensive rebound by D. Nowitzki,,45-45,,
2:37.0,D. Nowitzki misses 2-pt shot from 16 ft,,45-45,,
2:36.0,,,45-45,,Defensive rebound by D. Jordan
2:30.0,,,45-47,2,C. Paul makes 2-pt shot from 10 ft
2:04.0,R. Rondo misses 3-pt shot from 23 ft,,45-47,,
2:02.0,,,45-47,,Defensive rebound by Team
2:02.0,Official timeout,,45-47,,
1:49.0,,,45-49,2,B. Griffin makes 2-pt shot from 18 ft (assist by M. Barnes)
1:29.0,M. Ellis makes 3-pt shot from 25 ft (assist by R. Rondo),3,48-49,,
1:14.0,,,48-52,3,J. Redick makes 3-pt shot from 23 ft (assist by M. Barnes)
0:58.0,M. Ellis misses 3-pt shot from 24 ft,,48-52,,
0:57.0,,,48-52,,Defensive rebound by D. Jordan
0:46.0,,,48-54,2,C. Paul makes 2-pt shot from 15 ft
0:29.0,R. Rondo misses 2-pt shot from 2 ft,,48-54,,
0:28.0,Offensive rebound by T. Chandler,,48-54,,
0:25.0,T. Chandler misses 2-pt shot at rim,,48-54,,
0:23.0,,,48-54,,Defensive rebound by B. Griffin
0:16.0,,,48-54,,LA Clippers full timeout
0:16.0,,,48-54,,J. Crawford enters the game for D. Jordan
0:16.0,R. Jefferson enters the game for D. Nowitzki,,48-54,,
0:04.0,,,48-56,2,M. Barnes makes 2-pt shot from 1 ft (assist by C. Paul)
0:00.0,R. Rondo misses 3-pt shot from 27 ft,,48-56,,
0:00.0,Offensive rebound by Team,,48-56,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,Turnover by M. Ellis (bad pass),,48-56,,
11:29.0,,,48-56,,J. Redick misses 3-pt shot from 24 ft
11:28.0,Defensive rebound by T. Chandler,,48-56,,
11:16.0,D. Nowitzki misses 2-pt shot from 13 ft,,48-56,,
11:14.0,,,48-56,,Defensive rebound by D. Jordan
10:59.0,,,48-58,2,B. Griffin makes 2-pt shot from 18 ft (assist by M. Barnes)
10:37.0,Turnover by C. Parsons (lost ball; steal by B. Griffin),,48-58,,
10:32.0,Technical foul by Team,,48-58,,
10:32.0,,,48-59,1,C. Paul makes technical free throw
10:25.0,,,48-62,3,J. Redick makes 3-pt shot from 25 ft (assist by C. Paul)
10:24.0,Dallas full timeout,,48-62,,
10:09.0,D. Nowitzki misses 2-pt shot from 11 ft,,48-62,,
10:07.0,,,48-62,,Defensive rebound by J. Redick
9:57.0,,,48-64,2,C. Paul makes 2-pt shot from 14 ft
9:47.0,R. Rondo makes 2-pt shot from 16 ft,2,50-64,,
9:26.0,,,50-66,2,D. Jordan makes 2-pt shot at rim (assist by B. Griffin)
9:13.0,M. Ellis misses 2-pt shot from 15 ft,,50-66,,
9:12.0,,,50-66,,Defensive rebound by J. Redick
9:06.0,,,50-68,2,B. Griffin makes 2-pt shot from 2 ft (assist by C. Paul)
9:06.0,,,50-68,,Shooting foul by R. Rondo (drawn by B. Griffin)
9:06.0,,,50-68,,B. Griffin misses free throw 1 of 1
9:05.0,Defensive rebound by T. Chandler,,50-68,,
8:51.0,R. Rondo misses 3-pt shot from 23 ft,,50-68,,
8:49.0,,,50-68,,Defensive rebound by C. Paul
8:39.0,,,50-70,2,B. Griffin makes 2-pt shot from 19 ft (assist by C. Paul)
8:24.0,D. Nowitzki makes 2-pt shot from 12 ft (assist by M. Ellis),2,52-70,,
8:13.0,,,52-70,,C. Paul misses 3-pt shot from 24 ft
8:11.0,Defensive rebound by D. Nowitzki,,52-70,,
7:57.0,C. Parsons misses 2-pt shot from 3 ft (block by D. Jordan),,52-70,,
7:55.0,,,52-70,,Defensive rebound by M. Barnes
7:55.0,Personal take foul by R. Rondo (drawn by C. Paul),,52-70,,
7:55.0,D. Harris enters the game for R. Rondo,,52-70,,
7:49.0,,,52-70,,J. Redick misses 2-pt shot from 18 ft
7:47.0,Defensive rebound by D. Nowitzki,,52-70,,
7:35.0,Shooting foul by D. Jordan (drawn by C. Parsons),,52-70,,
7:35.0,C. Parsons makes free throw 1 of 2,1,53-70,,
7:35.0,C. Parsons misses free throw 2 of 2,,53-70,,
7:33.0,,,53-70,,Defensive rebound by D. Jordan
7:19.0,,,53-70,,C. Paul misses 2-pt shot from 2 ft
7:18.0,Defensive rebound by D. Harris,,53-70,,
7:13.0,,,53-70,,Personal foul by M. Barnes (drawn by D. Nowitzki)
7:05.0,C. Parsons misses 3-pt shot from 24 ft,,53-70,,
7:04.0,Offensive rebound by M. Ellis,,53-70,,
7:00.0,M. Ellis makes 2-pt shot from 3 ft,2,55-70,,
6:41.0,,,55-72,2,B. Griffin makes 2-pt shot from 18 ft
6:22.0,D. Nowitzki makes 2-pt shot from 1 ft (assist by M. Ellis),2,57-72,,
6:08.0,Personal foul by T. Chandler (drawn by B. Griffin),,57-72,,
6:08.0,Technical foul by Team,,57-72,,
6:08.0,,,57-73,1,C. Paul makes technical free throw
6:01.0,,,57-75,2,B. Griffin makes 2-pt shot from 18 ft (assist by C. Paul)
5:48.0,D. Nowitzki makes 2-pt shot from 13 ft (assist by D. Harris),2,59-75,,
5:37.0,,,59-78,3,C. Paul makes 3-pt shot from 25 ft
5:23.0,D. Nowitzki makes 3-pt shot from 25 ft (assist by M. Ellis),3,62-78,,
5:02.0,,,62-78,,Shooting foul by T. Chandler (drawn by D. Jordan)
5:02.0,,,62-78,,D. Jordan misses free throw 1 of 2
5:02.0,,,62-78,,Offensive rebound by Team
5:02.0,C. Villanueva enters the game for D. Nowitzki,,62-78,,
5:02.0,,,62-78,,D. Jordan misses free throw 2 of 2
5:00.0,Defensive rebound by T. Chandler,,62-78,,
4:54.0,D. Harris makes 2-pt shot at rim,2,64-78,,
4:30.0,,,64-78,,J. Redick misses 3-pt shot from 23 ft
4:30.0,Defensive rebound by Team,,64-78,,
4:30.0,,,64-78,,Loose ball foul by D. Jordan (drawn by T. Chandler)
4:30.0,G. Smith enters the game for T. Chandler,,64-78,,
4:30.0,,,64-78,,J. Crawford enters the game for M. Barnes
4:19.0,M. Ellis misses 2-pt shot from 17 ft,,64-78,,
4:18.0,Offensive rebound by G. Smith,,64-78,,
4:16.0,Turnover by G. Smith (lost ball; steal by C. Paul),,64-78,,
4:05.0,,,64-78,,Turnover by J. Crawford (traveling)
3:57.0,Turnover by D. Harris (bad pass; steal by D. Jordan),,64-78,,
3:45.0,,,64-78,,C. Paul misses 2-pt shot from 17 ft
3:44.0,Defensive rebound by M. Ellis,,64-78,,
3:41.0,C. Parsons makes 2-pt shot at rim (assist by M. Ellis),2,66-78,,
3:41.0,,,66-78,,LA Clippers full timeout
3:30.0,Personal block foul by M. Ellis (drawn by C. Paul),,66-78,,
3:30.0,,,66-79,1,C. Paul makes free throw 1 of 2
3:30.0,,,66-80,1,C. Paul makes free throw 2 of 2
3:15.0,C. Parsons misses 2-pt shot from 15 ft,,66-80,,
3:13.0,,,66-80,,Defensive rebound by J. Crawford
3:09.0,,,66-80,,J. Redick misses 3-pt shot from 25 ft
3:08.0,,,66-80,,Offensive rebound by D. Jordan
3:07.0,,,66-80,,Shooting foul by D. Harris (drawn by J. Crawford)
3:07.0,,,66-81,1,J. Crawford makes free throw 1 of 2
3:07.0,,,66-81,,S. Hawes enters the game for B. Griffin
3:07.0,D. Nowitzki enters the game for G. Smith,,66-81,,
3:07.0,,,66-82,1,J. Crawford makes free throw 2 of 2
2:59.0,D. Nowitzki misses 2-pt shot from 15 ft,,66-82,,
2:57.0,,,66-82,,Defensive rebound by D. Jordan
2:51.0,Personal foul by C. Parsons (drawn by D. Jordan),,66-82,,
2:51.0,,,66-82,,D. Jordan misses free throw 1 of 2
2:51.0,,,66-82,,Offensive rebound by Team
2:51.0,R. Jefferson enters the game for C. Parsons,,66-82,,
2:51.0,,,66-83,1,D. Jordan makes free throw 2 of 2
2:33.0,M. Ellis misses 3-pt shot from 25 ft,,66-83,,
2:31.0,,,66-83,,Defensive rebound by J. Crawford
2:16.0,,,66-83,,D. Jordan misses 2-pt shot at rim
2:13.0,Defensive rebound by C. Villanueva,,66-83,,
2:05.0,D. Nowitzki misses 3-pt shot from 25 ft,,66-83,,
2:03.0,,,66-83,,Defensive rebound by D. Jordan
1:52.0,,,66-85,2,D. Jordan makes 2-pt shot at rim (assist by C. Paul)
1:41.0,Shooting foul by J. Crawford (drawn by C. Villanueva),,66-85,,
1:41.0,C. Villanueva misses free throw 1 of 2,,66-85,,
1:41.0,Offensive rebound by Team,,66-85,,
1:41.0,,,66-85,,M. Barnes enters the game for J. Redick
1:41.0,R. Rondo enters the game for M. Ellis,,66-85,,
1:41.0,C. Villanueva makes free throw 2 of 2,1,67-85,,
1:25.0,,,67-85,,Turnover by M. Barnes (lost ball; steal by C. Villanueva)
1:20.0,C. Villanueva misses 2-pt shot from 2 ft,,67-85,,
1:18.0,,,67-85,,Defensive rebound by S. Hawes
1:14.0,,,67-85,,Offensive foul by J. Crawford
1:14.0,,,67-85,,Turnover by J. Crawford (offensive foul)
1:01.0,D. Nowitzki makes 2-pt shot from 15 ft (assist by R. Rondo),2,69-85,,
0:37.0,,,69-88,3,M. Barnes makes 3-pt shot from 26 ft (assist by S. Hawes)
0:21.0,D. Nowitzki makes 3-pt shot from 25 ft (assist by R. Rondo),3,72-88,,
0:01.0,,,72-88,,C. Paul misses 2-pt shot from 15 ft
0:00.0,,,72-88,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,72-90,2,S. Hawes makes 2-pt shot from 1 ft (assist by B. Griffin)
11:32.0,C. Villanueva makes 3-pt shot from 24 ft (assist by R. Jefferson),3,75-90,,
11:14.0,,,75-90,,S. Hawes misses 2-pt shot from 8 ft
11:12.0,Defensive rebound by T. Chandler,,75-90,,
11:02.0,C. Villanueva makes 2-pt shot from 8 ft (assist by R. Rondo),2,77-90,,
10:45.0,,,77-92,2,B. Griffin makes 2-pt shot from 15 ft
10:24.0,C. Villanueva misses 3-pt shot from 25 ft,,77-92,,
10:22.0,,,77-92,,Defensive rebound by M. Barnes
10:14.0,,,77-92,,Shooting foul by C. Villanueva (drawn by J. Crawford)
10:14.0,,,77-93,1,J. Crawford makes free throw 1 of 2
10:14.0,D. Nowitzki enters the game for C. Villanueva,,77-93,,
10:14.0,,,77-94,1,J. Crawford makes free throw 2 of 2
9:55.0,J. Barea misses 2-pt shot from 2 ft,,77-94,,
9:53.0,,,77-94,,Defensive rebound by S. Hawes
9:48.0,,,77-94,,S. Hawes misses 2-pt shot from 2 ft (block by T. Chandler)
9:48.0,,,77-94,,Offensive rebound by B. Griffin
9:48.0,,,77-96,2,B. Griffin makes 2-pt shot from 1 ft
9:48.0,,,77-96,,Shooting foul by R. Rondo (drawn by B. Griffin)
9:48.0,,,77-96,,B. Griffin misses free throw 1 of 1
9:44.0,Defensive rebound by T. Chandler,,77-96,,
9:32.0,Turnover by J. Barea (bad pass; steal by S. Hawes),,77-96,,
9:18.0,,,77-98,2,J. Farmar makes 2-pt shot from 20 ft
9:07.0,,,77-98,,Personal foul by B. Griffin (drawn by D. Nowitzki)
8:53.0,Shooting foul by J. Farmar (drawn by D. Nowitzki),,77-98,,
8:53.0,Official timeout,,77-98,,
8:53.0,M. Ellis enters the game for R. Jefferson,,77-98,,
8:53.0,C. Parsons enters the game for J. Barea,,77-98,,
8:53.0,D. Nowitzki misses free throw 1 of 2,,77-98,,
8:53.0,Offensive rebound by Team,,77-98,,
8:53.0,D. Nowitzki makes free throw 2 of 2,1,78-98,,
8:39.0,,,78-98,,Turnover by B. Griffin (bad pass; steal by M. Ellis)
8:35.0,M. Ellis misses 2-pt shot from 1 ft,,78-98,,
8:31.0,,,78-98,,Defensive rebound by B. Griffin
8:27.0,,,78-100,2,M. Barnes makes 2-pt shot from 2 ft (assist by J. Crawford)
8:09.0,R. Rondo misses 2-pt shot from 17 ft,,78-100,,
8:07.0,Offensive rebound by Team,,78-100,,
8:00.0,C. Parsons misses 3-pt shot from 22 ft,,78-100,,
7:59.0,,,78-100,,Defensive rebound by M. Barnes
7:45.0,,,78-103,3,J. Crawford makes 3-pt shot from 25 ft
7:30.0,R. Rondo misses 2-pt shot from 3 ft (block by S. Hawes),,78-103,,
7:28.0,Offensive rebound by R. Rondo,,78-103,,
7:24.0,D. Nowitzki makes 2-pt shot from 16 ft (assist by R. Rondo),2,80-103,,
7:08.0,,,80-106,3,J. Farmar makes 3-pt shot from 26 ft (assist by J. Crawford)
6:49.0,M. Ellis makes 3-pt shot from 25 ft (assist by R. Rondo),3,83-106,,
6:24.0,,,83-106,,S. Hawes misses 3-pt shot from 23 ft
6:23.0,Defensive rebound by M. Ellis,,83-106,,
6:15.0,R. Rondo misses 2-pt shot from 3 ft (block by S. Hawes),,83-106,,
6:12.0,,,83-106,,Defensive rebound by S. Hawes
6:06.0,,,83-106,,LA Clippers full timeout
6:06.0,D. Harris enters the game for T. Chandler,,83-106,,
6:06.0,G. Smith enters the game for R. Rondo,,83-106,,
5:55.0,,,83-106,,J. Crawford misses 3-pt shot from 25 ft
5:53.0,,,83-106,,Offensive rebound by J. Crawford
5:48.0,,,83-109,3,J. Crawford makes 3-pt shot from 24 ft
5:24.0,D. Harris misses 2-pt shot from 16 ft,,83-109,,
5:22.0,,,83-109,,Defensive rebound by B. Griffin
5:05.0,,,83-109,,J. Farmar misses 2-pt shot from 16 ft
5:04.0,Defensive rebound by C. Parsons,,83-109,,
4:52.0,M. Ellis makes 3-pt shot from 25 ft (assist by D. Harris),3,86-109,,
4:45.0,Personal take foul by G. Smith (drawn by J. Crawford),,86-109,,
4:45.0,,,86-109,,G. Davis enters the game for B. Griffin
4:45.0,D. Powell enters the game for D. Nowitzki,,86-109,,
4:45.0,A. Aminu enters the game for C. Parsons,,86-109,,
4:45.0,R. Felton enters the game for M. Ellis,,86-109,,
4:32.0,,,86-109,,G. Davis misses 2-pt shot from 18 ft
4:30.0,Defensive rebound by D. Harris,,86-109,,
4:26.0,Shooting foul by J. Farmar (drawn by D. Harris),,86-109,,
4:26.0,D. Harris makes free throw 1 of 2,1,87-109,,
4:26.0,,,87-109,,R. Bullock enters the game for M. Barnes
4:26.0,D. Harris misses free throw 2 of 2,,87-109,,
4:25.0,,,87-109,,Defensive rebound by G. Davis
