time,Washington,pts.away,score,pts.home,Milwaukee
3:03.0,,,35-47,,J. Parker misses 3-pt shot from 24 ft
3:02.0,Defensive rebound by P. Pierce,,35-47,,
2:51.0,P. Pierce makes 3-pt shot from 25 ft (assist by J. Wall),3,38-47,,
2:34.0,,,38-47,,L. Sanders misses 2-pt shot from 16 ft
2:32.0,Defensive rebound by B. Beal,,38-47,,
2:25.0,Shooting foul by L. Sanders (drawn by P. Pierce),,38-47,,
2:25.0,Washington full timeout,,38-47,,
2:25.0,,,38-47,,G. Antetokounmpo enters the game for J. Dudley
2:25.0,P. Pierce makes free throw 1 of 2,1,39-47,,
2:25.0,P. Pierce makes free throw 2 of 2,1,40-47,,
2:14.0,,,40-47,,Turnover by K. Middleton (bad pass)
1:54.0,P. Pierce misses 2-pt shot from 6 ft,,40-47,,
1:53.0,,,40-47,,Defensive rebound by J. Parker
1:42.0,,,40-50,3,B. Knight makes 3-pt shot from 24 ft
1:27.0,J. Wall makes 2-pt shot at rim,2,42-50,,
1:12.0,,,42-50,,B. Knight misses 2-pt shot from 15 ft
1:11.0,Defensive rebound by M. Gortat,,42-50,,
0:54.0,,,42-50,,Personal foul by K. Middleton (drawn by B. Beal)
0:47.0,P. Pierce misses 2-pt shot at rim (block by L. Sanders),,42-50,,
0:45.0,Offensive rebound by P. Pierce,,42-50,,
0:41.0,,,42-50,,Personal foul by L. Sanders (drawn by J. Wall)
0:41.0,J. Wall makes free throw 1 of 2,1,43-50,,
0:41.0,,,43-50,,Z. Pachulia enters the game for L. Sanders
0:41.0,J. Wall makes free throw 2 of 2,1,44-50,,
0:34.0,,,44-50,,K. Middleton misses 3-pt shot from 24 ft
0:33.0,Defensive rebound by P. Pierce,,44-50,,
0:29.0,J. Wall makes 3-pt shot from 24 ft (assist by P. Pierce),3,47-50,,
0:09.0,,,47-52,2,J. Parker makes 2-pt shot at rim (assist by B. Knight)
0:03.0,R. Butler misses 3-pt shot from 23 ft,,47-52,,
0:01.0,Offensive rebound by P. Pierce,,47-52,,
0:00.0,P. Pierce misses 2-pt shot from 14 ft,,47-52,,
0:00.0,Offensive rebound by Team,,47-52,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:36.0,,,47-52,,Turnover by B. Knight (offensive goaltending)
11:23.0,D. Gooden makes 2-pt shot from 19 ft (assist by J. Wall),2,49-52,,
11:12.0,Shooting block foul by D. Gooden (drawn by B. Knight),,49-52,,
11:12.0,,,49-53,1,B. Knight makes free throw 1 of 2
11:12.0,,,49-54,1,B. Knight makes free throw 2 of 2
10:50.0,J. Wall misses 2-pt shot from 15 ft,,49-54,,
10:49.0,Offensive rebound by D. Gooden,,49-54,,
10:49.0,D. Gooden misses 2-pt shot at rim,,49-54,,
10:48.0,,,49-54,,Defensive rebound by K. Middleton
10:41.0,,,49-54,,K. Middleton misses 3-pt shot from 25 ft
10:40.0,Defensive rebound by M. Gortat,,49-54,,
10:19.0,P. Pierce misses 2-pt shot from 17 ft,,49-54,,
10:18.0,,,49-54,,Defensive rebound by L. Sanders
10:08.0,Personal foul by P. Pierce (drawn by G. Antetokounmpo),,49-54,,
10:03.0,,,49-54,,J. Parker misses 2-pt shot from 1 ft (block by D. Gooden)
10:03.0,,,49-54,,Offensive rebound by Team
9:57.0,,,49-54,,K. Middleton misses 2-pt shot from 16 ft
9:56.0,Defensive rebound by J. Wall,,49-54,,
9:52.0,G. Temple misses 2-pt shot at rim,,49-54,,
9:50.0,,,49-54,,Defensive rebound by B. Knight
9:44.0,,,49-54,,Turnover by K. Middleton (lost ball; steal by G. Temple)
9:40.0,J. Wall makes 2-pt shot at rim (assist by D. Gooden),2,51-54,,
9:28.0,,,51-54,,B. Knight misses 2-pt shot at rim
9:26.0,,,51-54,,Offensive rebound by L. Sanders
9:26.0,,,51-54,,L. Sanders misses 2-pt shot at rim
9:25.0,Defensive rebound by M. Gortat,,51-54,,
9:08.0,J. Wall misses 3-pt shot from 25 ft,,51-54,,
9:06.0,Offensive rebound by D. Gooden,,51-54,,
8:49.0,P. Pierce makes 3-pt shot from 23 ft (assist by J. Wall),3,54-54,,
8:33.0,,,54-54,,E. Ilyasova enters the game for J. Parker
8:21.0,,,54-54,,G. Antetokounmpo misses 2-pt shot from 15 ft
8:20.0,Defensive rebound by M. Gortat,,54-54,,
8:09.0,,,54-54,,Shooting block foul by E. Ilyasova (drawn by P. Pierce)
8:09.0,P. Pierce makes free throw 1 of 2,1,55-54,,
8:09.0,P. Pierce misses free throw 2 of 2,,55-54,,
8:07.0,,,55-54,,Defensive rebound by L. Sanders
7:58.0,Personal foul by G. Temple (drawn by K. Middleton),,55-54,,
7:48.0,,,55-54,,K. Middleton misses 2-pt shot from 17 ft (block by M. Gortat)
7:47.0,Defensive rebound by J. Wall,,55-54,,
7:44.0,,,55-54,,Shooting block foul by L. Sanders (drawn by J. Wall)
7:44.0,J. Wall misses free throw 1 of 2,,55-54,,
7:44.0,Offensive rebound by Team,,55-54,,
7:44.0,,,55-54,,O. Mayo enters the game for K. Middleton
7:44.0,,,55-54,,Z. Pachulia enters the game for L. Sanders
7:44.0,J. Wall makes free throw 2 of 2,1,56-54,,
7:31.0,,,56-54,,Turnover by E. Ilyasova (lost ball; steal by J. Wall)
7:27.0,,,56-54,,Shooting block foul by B. Knight (drawn by D. Gooden)
7:27.0,,,56-54,,Milwaukee full timeout
7:27.0,D. Gooden makes free throw 1 of 2,1,57-54,,
7:27.0,D. Gooden makes free throw 2 of 2,1,58-54,,
