time,Utah,pts.away,score,pts.home,Brooklyn
2:57.0,,,35-41,3,B. Bogdanovic makes 3-pt shot from 23 ft (assist by J. Johnson)
2:56.0,Utah full timeout,,35-41,,
2:56.0,J. Ingles enters the game for R. Hood,,35-41,,
2:56.0,D. Favors enters the game for T. Booker,,35-41,,
2:34.0,J. Ingles misses 2-pt shot from 19 ft,,35-41,,
2:32.0,Offensive rebound by R. Gobert,,35-41,,
2:28.0,D. Favors makes 2-pt shot from 4 ft (assist by R. Gobert),2,37-41,,
2:11.0,,,37-41,,B. Bogdanovic misses 2-pt shot from 3 ft
2:10.0,Defensive rebound by R. Gobert,,37-41,,
1:49.0,D. Exum makes 3-pt shot from 25 ft (assist by D. Favors),3,40-41,,
1:29.0,,,40-43,2,C. Jefferson makes 2-pt shot from 16 ft
1:16.0,G. Hayward makes 2-pt shot from 9 ft (assist by R. Gobert),2,42-43,,
1:04.0,,,42-43,,D. Williams misses 2-pt shot from 11 ft (block by D. Exum)
1:03.0,,,42-43,,Offensive rebound by Team
1:03.0,,,42-43,,T. Young enters the game for C. Jefferson
0:58.0,,,42-43,,J. Johnson misses 2-pt shot from 9 ft
0:58.0,Defensive rebound by D. Favors,,42-43,,
0:35.0,G. Hayward misses 2-pt shot from 6 ft,,42-43,,
0:34.0,Offensive rebound by D. Exum,,42-43,,
0:13.0,J. Ingles misses 2-pt shot from 18 ft,,42-43,,
0:12.0,,,42-43,,Defensive rebound by B. Lopez
0:02.0,,,42-43,,J. Johnson misses 2-pt shot from 3 ft (block by R. Gobert)
0:00.0,Defensive rebound by D. Favors,,42-43,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,D. Favors misses 2-pt shot from 8 ft,,42-43,,
11:38.0,Offensive rebound by R. Gobert,,42-43,,
11:20.0,G. Hayward misses 2-pt shot from 17 ft,,42-43,,
11:19.0,,,42-43,,Defensive rebound by B. Lopez
11:05.0,Personal foul by G. Hayward (drawn by J. Johnson),,42-43,,
10:55.0,Personal foul by R. Gobert (drawn by B. Lopez),,42-43,,
10:45.0,,,42-43,,B. Lopez misses 2-pt shot from 9 ft
10:43.0,,,42-43,,Offensive rebound by D. Williams
10:40.0,,,42-45,2,T. Young makes 2-pt shot at rim (assist by D. Williams)
10:19.0,R. Gobert misses 2-pt shot from 2 ft,,42-45,,
10:18.0,,,42-45,,Defensive rebound by B. Lopez
10:07.0,,,42-45,,Turnover by T. Young (bad pass)
9:46.0,Turnover by J. Ingles (traveling),,42-45,,
9:25.0,,,42-47,2,J. Johnson makes 2-pt shot from 13 ft (assist by T. Young)
9:02.0,Shooting foul by B. Lopez (drawn by G. Hayward),,42-47,,
9:02.0,G. Hayward makes free throw 1 of 3,1,43-47,,
9:02.0,G. Hayward makes free throw 2 of 3,1,44-47,,
9:02.0,G. Hayward misses free throw 3 of 3,,44-47,,
9:01.0,,,44-47,,Defensive rebound by T. Young
8:52.0,,,44-47,,Turnover by D. Williams (bad pass)
8:29.0,J. Ingles makes 2-pt shot from 14 ft,2,46-47,,
8:18.0,,,46-47,,Turnover by D. Williams (bad pass; steal by G. Hayward)
8:00.0,D. Favors makes 2-pt shot from 2 ft (assist by G. Hayward),2,48-47,,
7:39.0,,,48-47,,Turnover by M. Brown (inbound)
7:17.0,D. Exum makes 3-pt shot from 22 ft (assist by D. Favors),3,51-47,,
7:12.0,,,51-47,,Brooklyn full timeout
7:12.0,,,51-47,,B. Bogdanovic enters the game for M. Brown
6:51.0,,,51-47,,T. Young misses 2-pt shot from 8 ft
6:50.0,Defensive rebound by J. Ingles,,51-47,,
6:32.0,D. Favors makes 2-pt shot from 2 ft (assist by R. Gobert),2,53-47,,
6:17.0,,,53-50,3,D. Williams makes 3-pt shot from 22 ft (assist by J. Johnson)
5:54.0,Turnover by D. Exum (bad pass; steal by T. Young),,53-50,,
5:47.0,,,53-53,3,B. Bogdanovic makes 3-pt shot from 23 ft
5:31.0,G. Hayward misses 2-pt shot from 3 ft,,53-53,,
5:30.0,Offensive rebound by R. Gobert,,53-53,,
5:28.0,Shooting foul by T. Young (drawn by R. Gobert),,53-53,,
5:28.0,R. Gobert makes free throw 1 of 2,1,54-53,,
5:28.0,T. Burke enters the game for D. Exum,,54-53,,
5:28.0,R. Gobert makes free throw 2 of 2,1,55-53,,
5:17.0,,,55-53,,T. Young misses 2-pt shot from 8 ft
5:16.0,Defensive rebound by R. Gobert,,55-53,,
4:57.0,Shooting foul by B. Lopez (drawn by D. Favors),,55-53,,
4:57.0,D. Favors makes free throw 1 of 2,1,56-53,,
4:57.0,,,56-53,,M. Plumlee enters the game for B. Lopez
4:57.0,,,56-53,,J. Jack enters the game for D. Williams
4:57.0,E. Millsap enters the game for J. Ingles,,56-53,,
4:57.0,D. Favors makes free throw 2 of 2,1,57-53,,
4:44.0,,,57-53,,Offensive foul by J. Johnson
4:44.0,,,57-53,,Turnover by J. Johnson (offensive foul)
4:44.0,,,57-53,,Violation by Team (delay of game)
4:35.0,,,57-53,,Personal foul by M. Plumlee (drawn by R. Gobert)
4:35.0,T. Booker enters the game for D. Favors,,57-53,,
4:35.0,,,57-53,,A. Anderson enters the game for J. Johnson
4:32.0,Turnover by R. Gobert (bad pass; steal by M. Plumlee),,57-53,,
4:28.0,,,57-55,2,M. Plumlee makes 2-pt shot at rim
4:10.0,T. Burke makes 2-pt shot from 18 ft,2,59-55,,
3:54.0,,,59-55,,B. Bogdanovic misses 2-pt shot from 20 ft
3:53.0,Defensive rebound by G. Hayward,,59-55,,
3:41.0,T. Burke makes 3-pt shot from 22 ft (assist by E. Millsap),3,62-55,,
3:28.0,,,62-57,2,B. Bogdanovic makes 2-pt shot at rim (assist by A. Anderson)
3:07.0,R. Gobert misses 2-pt shot at rim,,62-57,,
3:06.0,,,62-57,,Defensive rebound by B. Bogdanovic
2:50.0,,,62-59,2,M. Plumlee makes 2-pt shot from 3 ft
2:43.0,Utah full timeout,,62-59,,
2:36.0,Shooting foul by A. Anderson (drawn by G. Hayward),,62-59,,
2:36.0,G. Hayward makes free throw 1 of 2,1,63-59,,
2:36.0,G. Hayward makes free throw 2 of 2,1,64-59,,
2:23.0,,,64-59,,A. Anderson misses 2-pt shot from 2 ft (block by R. Gobert)
2:21.0,Defensive rebound by G. Hayward,,64-59,,
2:16.0,R. Hood enters the game for G. Hayward,,64-59,,
2:04.0,T. Burke misses 2-pt shot from 18 ft,,64-59,,
2:03.0,,,64-59,,Defensive rebound by M. Plumlee
1:55.0,,,64-59,,T. Young misses 3-pt shot from 24 ft
1:54.0,Defensive rebound by R. Gobert,,64-59,,
1:46.0,R. Gobert makes 2-pt shot at rim (assist by T. Burke),2,66-59,,
1:33.0,,,66-59,,Turnover by T. Young (bad pass; steal by E. Millsap)
1:21.0,T. Burke misses 2-pt shot from 2 ft,,66-59,,
1:20.0,,,66-59,,Defensive rebound by M. Plumlee
1:10.0,,,66-61,2,T. Young makes 2-pt shot from 1 ft (assist by M. Plumlee)
0:42.0,E. Millsap misses 2-pt shot from 8 ft,,66-61,,
0:41.0,Offensive rebound by Team,,66-61,,
0:41.0,Turnover by Team (shot clock),,66-61,,
0:41.0,,,66-61,,C. Jefferson enters the game for T. Young
0:34.0,,,66-63,2,J. Jack makes 2-pt shot from 18 ft
0:18.0,Turnover by R. Hood (traveling),,66-63,,
0:04.0,,,66-63,,Turnover by J. Jack (bad pass)
0:01.0,T. Burke misses 2-pt shot from 19 ft,,66-63,,
0:00.0,Offensive rebound by Team,,66-63,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:50.0,,,66-65,2,C. Jefferson makes 2-pt shot from 19 ft (assist by J. Jack)
11:26.0,E. Millsap makes 2-pt shot from 1 ft (assist by D. Favors),2,68-65,,
11:04.0,,,68-65,,A. Anderson misses 3-pt shot from 22 ft
11:03.0,Defensive rebound by R. Hood,,68-65,,
10:51.0,,,68-65,,Personal block foul by M. Plumlee (drawn by T. Burke)
10:42.0,E. Millsap makes 3-pt shot from 24 ft (assist by T. Burke),3,71-65,,
10:24.0,,,71-65,,Shooting foul by R. Hood (drawn by C. Jefferson)
10:24.0,,,71-65,,C. Jefferson misses free throw 1 of 2
10:24.0,,,71-65,,Offensive rebound by Team
10:24.0,,,71-65,,C. Jefferson misses free throw 2 of 2
10:23.0,Defensive rebound by T. Booker,,71-65,,
10:04.0,R. Hood makes 3-pt shot from 26 ft,3,74-65,,
10:00.0,,,74-65,,Brooklyn full timeout
10:00.0,,,74-65,,J. Johnson enters the game for B. Bogdanovic
10:00.0,,,74-65,,B. Lopez enters the game for M. Plumlee
9:44.0,,,74-65,,J. Johnson misses 2-pt shot from 5 ft
9:43.0,,,74-65,,Offensive rebound by B. Lopez
9:42.0,,,74-65,,B. Lopez misses 2-pt shot at rim
9:41.0,Defensive rebound by D. Favors,,74-65,,
9:31.0,Turnover by E. Millsap (lost ball),,74-65,,
9:20.0,,,74-67,2,C. Jefferson makes 2-pt shot from 5 ft (assist by J. Jack)
8:56.0,T. Burke misses 3-pt shot from 24 ft,,74-67,,
8:55.0,,,74-67,,Defensive rebound by C. Jefferson
8:42.0,,,74-67,,C. Jefferson misses 2-pt shot from 18 ft
8:41.0,Defensive rebound by T. Burke,,74-67,,
8:38.0,T. Booker makes 2-pt shot at rim (assist by T. Burke),2,76-67,,
8:20.0,Personal foul by R. Hood (drawn by J. Johnson),,76-67,,
8:20.0,D. Exum enters the game for T. Burke,,76-67,,
8:20.0,J. Ingles enters the game for E. Millsap,,76-67,,
8:09.0,,,76-69,2,A. Anderson makes 2-pt shot from 2 ft
7:48.0,Turnover by J. Ingles (lost ball; steal by B. Lopez),,76-69,,
7:37.0,,,76-71,2,J. Johnson makes 2-pt shot from 3 ft
7:12.0,T. Booker misses 2-pt shot from 19 ft,,76-71,,
7:11.0,,,76-71,,Defensive rebound by J. Jack
7:02.0,,,76-71,,J. Jack misses 2-pt shot from 20 ft
7:01.0,Defensive rebound by J. Ingles,,76-71,,
6:40.0,D. Favors misses 2-pt shot from 1 ft (block by B. Lopez),,76-71,,
6:38.0,Offensive rebound by T. Booker,,76-71,,
6:37.0,T. Booker makes 2-pt shot at rim,2,78-71,,
6:16.0,,,78-73,2,B. Lopez makes 2-pt shot from 2 ft (assist by J. Johnson)
6:04.0,J. Ingles misses 3-pt shot from 25 ft,,78-73,,
6:03.0,Offensive rebound by T. Booker,,78-73,,
6:01.0,Turnover by T. Booker (lost ball; steal by J. Jack),,78-73,,
5:55.0,,,78-75,2,B. Lopez makes 2-pt shot from 10 ft (assist by J. Jack)
5:55.0,Utah full timeout,,78-75,,
5:55.0,,,78-75,,T. Young enters the game for C. Jefferson
5:45.0,G. Hayward enters the game for T. Booker,,78-75,,
5:45.0,R. Gobert enters the game for R. Hood,,78-75,,
5:45.0,,,78-75,,D. Williams enters the game for A. Anderson
5:35.0,D. Favors misses 2-pt shot from 3 ft,,78-75,,
5:34.0,,,78-75,,Defensive rebound by B. Lopez
5:23.0,,,78-77,2,B. Lopez makes 2-pt shot at rim (assist by J. Jack)
5:23.0,,,78-77,,Shooting foul by D. Favors (drawn by B. Lopez)
5:23.0,,,78-77,,B. Lopez misses free throw 1 of 1
5:22.0,Defensive rebound by D. Favors,,78-77,,
5:05.0,G. Hayward makes 3-pt shot from 23 ft (assist by D. Exum),3,81-77,,
4:46.0,,,81-77,,Turnover by B. Lopez (bad pass; steal by G. Hayward)
4:32.0,Shooting foul by J. Jack (drawn by G. Hayward),,81-77,,
4:32.0,G. Hayward makes free throw 1 of 2,1,82-77,,
4:32.0,E. Millsap enters the game for J. Ingles,,82-77,,
4:32.0,G. Hayward makes free throw 2 of 2,1,83-77,,
4:20.0,,,83-77,,B. Lopez misses 2-pt shot from 1 ft
4:19.0,Defensive rebound by Team,,83-77,,
3:56.0,D. Favors makes 2-pt shot from 7 ft (assist by R. Gobert),2,85-77,,
3:42.0,,,85-77,,Turnover by J. Jack (bad pass; steal by G. Hayward)
3:39.0,Shooting foul by D. Williams (drawn by E. Millsap),,85-77,,
3:39.0,E. Millsap misses free throw 1 of 2,,85-77,,
3:39.0,Offensive rebound by Team,,85-77,,
3:39.0,E. Millsap makes free throw 2 of 2,1,86-77,,
3:33.0,,,86-77,,Turnover by J. Jack (lost ball)
3:20.0,Shooting foul by T. Young (drawn by D. Favors),,86-77,,
3:20.0,D. Favors makes free throw 1 of 2,1,87-77,,
3:20.0,D. Favors makes free throw 2 of 2,1,88-77,,
3:10.0,,,88-77,,Shooting foul by R. Gobert (drawn by B. Lopez)
3:10.0,,,88-78,1,B. Lopez makes free throw 1 of 2
3:10.0,,,88-78,,B. Lopez misses free throw 2 of 2
3:09.0,Defensive rebound by D. Favors,,88-78,,
2:57.0,G. Hayward misses 3-pt shot from 24 ft,,88-78,,
2:56.0,,,88-78,,Defensive rebound by D. Williams
2:39.0,,,88-78,,T. Young misses 2-pt shot from 4 ft (block by D. Favors)
2:38.0,Defensive rebound by R. Gobert,,88-78,,
2:23.0,D. Favors misses 2-pt shot from 14 ft,,88-78,,
2:21.0,,,88-78,,Defensive rebound by J. Jack
2:15.0,,,88-80,2,T. Young makes 2-pt shot at rim (assist by J. Jack)
1:59.0,,,88-80,,Personal foul by D. Williams (drawn by G. Hayward)
1:59.0,Official timeout,,88-80,,
1:59.0,R. Hood enters the game for E. Millsap,,88-80,,
1:59.0,G. Hayward makes free throw 1 of 2,1,89-80,,
1:59.0,G. Hayward makes free throw 2 of 2,1,90-80,,
1:43.0,,,90-80,,Turnover by D. Williams (lost ball)
1:21.0,D. Favors makes 2-pt shot from 11 ft (assist by R. Hood),2,92-80,,
1:08.0,Personal foul by R. Gobert (drawn by B. Lopez),,92-80,,
1:08.0,,,92-81,1,B. Lopez makes free throw 1 of 2
1:08.0,,,92-82,1,B. Lopez makes free throw 2 of 2
0:49.0,Turnover by G. Hayward (bad pass),,92-82,,
0:42.0,,,92-85,3,T. Young makes 3-pt shot from 24 ft (assist by D. Williams)
0:39.0,Utah full timeout,,92-85,,
0:39.0,Utah full timeout,,92-85,,
0:39.0,,,92-85,,M. Plumlee enters the game for B. Lopez
0:39.0,T. Burke enters the game for D. Exum,,92-85,,
0:39.0,J. Ingles enters the game for R. Gobert,,92-85,,
0:36.0,,,92-85,,Personal foul by M. Plumlee (drawn by D. Favors)
0:36.0,D. Favors makes free throw 1 of 2,1,93-85,,
0:36.0,R. Gobert enters the game for J. Ingles,,93-85,,
0:36.0,D. Exum enters the game for T. Burke,,93-85,,
0:36.0,,,93-85,,B. Lopez enters the game for M. Plumlee
0:36.0,D. Favors misses free throw 2 of 2,,93-85,,
0:36.0,,,93-85,,Defensive rebound by T. Young
0:27.0,,,93-85,,B. Lopez misses 3-pt shot from 24 ft
0:26.0,Defensive rebound by R. Hood,,93-85,,
0:06.0,G. Hayward makes 2-pt shot from 20 ft,2,95-85,,
0:02.0,,,95-88,3,J. Jack makes 3-pt shot from 24 ft
0:00.0,End of 4th quarter,,,,End of 4th quarter
