time,Denver,pts.away,score,pts.home,San Antonio
5:59.0,,,44-46,,K. Leonard misses 2-pt shot from 13 ft
5:57.0,Defensive rebound by D. Gallinari,,44-46,,
5:37.0,T. Lawson misses 2-pt shot from 17 ft,,44-46,,
5:35.0,,,44-46,,Defensive rebound by D. Green
5:23.0,,,44-46,,D. Green misses 3-pt shot from 24 ft
5:22.0,Defensive rebound by W. Chandler,,44-46,,
5:03.0,W. Chandler misses 3-pt shot from 24 ft,,44-46,,
5:02.0,,,44-46,,Defensive rebound by K. Leonard
4:56.0,,,44-48,2,K. Leonard makes 2-pt shot from 18 ft
4:34.0,K. Faried misses 2-pt shot from 3 ft (block by K. Leonard),,44-48,,
4:32.0,,,44-48,,Defensive rebound by D. Green
4:21.0,,,44-48,,Shooting foul by R. Foye (drawn by T. Duncan)
4:21.0,,,44-48,,T. Duncan misses free throw 1 of 2
4:21.0,,,44-48,,Offensive rebound by Team
4:21.0,,,44-48,,M. Ginobili enters the game for D. Green
4:21.0,,,44-49,1,T. Duncan makes free throw 2 of 2
4:04.0,D. Gallinari makes 3-pt shot from 24 ft (assist by W. Chandler),3,47-49,,
4:04.0,Technical foul by J. Nelson,,47-49,,
4:04.0,,,47-49,,T. Parker misses technical free throw
4:04.0,,,47-49,,Offensive rebound by Team
3:51.0,,,47-51,2,T. Parker makes 2-pt shot from 18 ft (assist by K. Leonard)
3:42.0,Shooting foul by T. Duncan (drawn by T. Lawson),,47-51,,
3:42.0,T. Lawson makes free throw 1 of 2,1,48-51,,
3:42.0,T. Lawson makes free throw 2 of 2,1,49-51,,
3:27.0,,,49-51,,T. Duncan misses 2-pt shot from 6 ft
3:25.0,Defensive rebound by K. Faried,,49-51,,
3:23.0,,,49-51,,Shooting block foul by M. Ginobili (drawn by T. Lawson)
3:23.0,T. Lawson makes free throw 1 of 2,1,50-51,,
3:23.0,,,50-51,,M. Belinelli enters the game for M. Ginobili
3:23.0,T. Lawson makes free throw 2 of 2,1,51-51,,
3:01.0,,,51-53,2,K. Leonard makes 2-pt shot from 7 ft
2:38.0,Turnover by R. Foye (lost ball; steal by B. Diaw),,51-53,,
2:37.0,,,51-53,,Turnover by B. Diaw (lost ball; steal by K. Faried)
2:36.0,K. Faried makes 2-pt shot at rim,2,53-53,,
2:36.0,Shooting foul by T. Duncan (drawn by K. Faried),,53-53,,
2:36.0,,,53-53,,San Antonio full timeout
2:36.0,K. Faried misses free throw 1 of 1,,53-53,,
2:34.0,,,53-53,,Defensive rebound by B. Diaw
2:11.0,,,53-56,3,M. Belinelli makes 3-pt shot from 24 ft (assist by T. Duncan)
1:46.0,W. Chandler makes 2-pt shot from 1 ft,2,55-56,,
1:24.0,,,55-58,2,B. Diaw makes 2-pt shot at rim (assist by T. Parker)
1:07.0,T. Lawson misses 2-pt shot from 15 ft,,55-58,,
1:06.0,,,55-58,,Defensive rebound by Team
0:55.0,,,55-60,2,T. Duncan makes 2-pt shot from 1 ft (assist by K. Leonard)
0:55.0,,,55-60,,Shooting foul by R. Foye (drawn by T. Duncan)
0:55.0,,,55-60,,D. Green enters the game for B. Diaw
0:55.0,W. Barton enters the game for R. Foye,,55-60,,
0:55.0,,,55-61,1,T. Duncan makes free throw 1 of 1
0:37.0,W. Chandler misses 2-pt shot from 7 ft (block by T. Duncan),,55-61,,
0:36.0,Offensive rebound by W. Chandler,,55-61,,
0:36.0,W. Chandler makes 2-pt shot at rim,2,57-61,,
0:28.0,,,57-63,2,T. Parker makes 2-pt shot at rim
0:26.0,Denver full timeout,,57-63,,
0:09.0,D. Gallinari misses 3-pt shot from 24 ft (block by K. Leonard),,57-63,,
0:08.0,Offensive rebound by K. Faried,,57-63,,
0:08.0,K. Faried makes 2-pt shot at rim,2,59-63,,
0:08.0,Shooting foul by T. Duncan (drawn by K. Faried),,59-63,,
0:08.0,J. Lauvergne enters the game for T. Lawson,,59-63,,
0:08.0,K. Faried makes free throw 1 of 1,1,60-63,,
0:01.0,,,60-65,2,T. Duncan makes 2-pt shot at rim (assist by T. Parker)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,K. Faried misses 2-pt shot from 2 ft (block by D. Green),,60-65,,
11:36.0,,,60-65,,Defensive rebound by T. Splitter
11:30.0,,,60-67,2,T. Parker makes 2-pt shot from 10 ft
11:18.0,,,60-67,,Personal foul by K. Leonard (drawn by T. Lawson)
11:04.0,W. Chandler makes 2-pt shot from 7 ft (assist by T. Lawson),2,62-67,,
10:49.0,,,62-67,,T. Duncan misses 2-pt shot from 18 ft
10:47.0,Defensive rebound by W. Chandler,,62-67,,
10:40.0,D. Gallinari misses 2-pt shot from 8 ft,,62-67,,
10:39.0,Offensive rebound by K. Faried,,62-67,,
10:31.0,T. Lawson misses 2-pt shot from 7 ft,,62-67,,
10:30.0,,,62-67,,Defensive rebound by T. Splitter
10:26.0,,,62-67,,Turnover by K. Leonard (offensive foul)
10:26.0,,,62-67,,Offensive charge foul by K. Leonard
10:08.0,R. Foye misses 2-pt shot from 1 ft,,62-67,,
10:07.0,,,62-67,,Defensive rebound by K. Leonard
10:00.0,,,62-67,,Turnover by K. Leonard (bad pass; steal by D. Gallinari)
9:55.0,D. Gallinari makes 2-pt shot from 1 ft,2,64-67,,
9:55.0,,,64-67,,San Antonio full timeout
9:33.0,,,64-69,2,D. Green makes 2-pt shot from 11 ft (assist by T. Parker)
9:13.0,W. Chandler makes 2-pt shot from 15 ft,2,66-69,,
9:02.0,,,66-71,2,T. Splitter makes 2-pt shot at rim (assist by T. Parker)
8:43.0,Turnover by W. Chandler (bad pass; steal by T. Parker),,66-71,,
8:37.0,,,66-73,2,K. Leonard makes 2-pt shot at rim (assist by T. Parker)
8:10.0,R. Foye makes 3-pt shot from 23 ft (assist by T. Lawson),3,69-73,,
8:03.0,Personal foul by D. Gallinari (drawn by T. Duncan),,69-73,,
7:50.0,,,69-73,,K. Leonard misses 2-pt shot from 9 ft
7:50.0,Defensive rebound by W. Chandler,,69-73,,
7:50.0,,,69-73,,Personal foul by T. Duncan (drawn by W. Chandler)
7:50.0,,,69-73,,B. Diaw enters the game for T. Splitter
7:37.0,W. Chandler misses 2-pt shot from 18 ft,,69-73,,
7:36.0,,,69-73,,Defensive rebound by K. Leonard
7:23.0,,,69-73,,D. Green misses 3-pt shot from 22 ft
7:21.0,Defensive rebound by K. Faried,,69-73,,
7:16.0,Shooting foul by B. Diaw (drawn by K. Faried),,69-73,,
7:16.0,K. Faried makes free throw 1 of 2,1,70-73,,
7:16.0,,,70-73,,T. Splitter enters the game for T. Duncan
7:16.0,K. Faried misses free throw 2 of 2,,70-73,,
7:15.0,,,70-73,,Defensive rebound by K. Leonard
7:04.0,,,70-75,2,B. Diaw makes 2-pt shot at rim (assist by D. Green)
7:04.0,,,70-75,,Shooting foul by D. Gallinari (drawn by B. Diaw)
7:04.0,,,70-76,1,B. Diaw makes free throw 1 of 1
6:55.0,Shooting foul by T. Splitter (drawn by K. Faried),,70-76,,
6:55.0,K. Faried misses free throw 1 of 2,,70-76,,
6:55.0,Offensive rebound by Team,,70-76,,
6:55.0,K. Faried misses free throw 2 of 2,,70-76,,
6:53.0,,,70-76,,Defensive rebound by K. Leonard
6:31.0,,,70-76,,B. Diaw misses 3-pt shot from 27 ft
6:29.0,,,70-76,,Offensive rebound by T. Splitter
6:29.0,Personal foul by R. Foye (drawn by T. Splitter),,70-76,,
6:29.0,W. Barton enters the game for R. Foye,,70-76,,
6:21.0,,,70-78,2,T. Parker makes 2-pt shot at rim
6:09.0,T. Lawson misses 3-pt shot from 25 ft,,70-78,,
6:08.0,,,70-78,,Defensive rebound by T. Splitter
5:53.0,,,70-78,,T. Parker misses 2-pt shot from 4 ft (block by W. Barton)
5:52.0,Defensive rebound by W. Barton,,70-78,,
5:48.0,D. Gallinari makes 3-pt shot from 25 ft (assist by T. Lawson),3,73-78,,
5:32.0,,,73-78,,D. Green misses 3-pt shot from 24 ft
5:31.0,Defensive rebound by D. Gallinari,,73-78,,
5:22.0,,,73-78,,Personal block foul by T. Parker (drawn by W. Chandler)
5:22.0,W. Chandler makes free throw 1 of 2,1,74-78,,
5:22.0,W. Chandler makes free throw 2 of 2,1,75-78,,
5:08.0,,,75-81,3,D. Green makes 3-pt shot from 25 ft (assist by T. Parker)
4:49.0,W. Barton misses 2-pt shot from 6 ft,,75-81,,
4:48.0,,,75-81,,Defensive rebound by T. Splitter
4:42.0,Personal foul by W. Barton (drawn by K. Leonard),,75-81,,
4:42.0,,,75-81,,A. Baynes enters the game for T. Splitter
4:42.0,J. Hickson enters the game for K. Faried,,75-81,,
4:42.0,J. Nelson enters the game for T. Lawson,,75-81,,
4:42.0,,,75-81,,M. Ginobili enters the game for D. Green
4:42.0,D. Arthur enters the game for W. Chandler,,75-81,,
4:39.0,,,75-81,,A. Baynes misses 2-pt shot at rim (block by J. Nelson)
4:38.0,,,75-81,,Offensive rebound by Team
4:31.0,,,75-83,2,B. Diaw makes 2-pt shot from 13 ft
4:07.0,W. Barton misses 3-pt shot from 24 ft,,75-83,,
4:06.0,,,75-83,,Defensive rebound by A. Baynes
4:00.0,,,75-85,2,K. Leonard makes 2-pt shot from 17 ft (assist by M. Ginobili)
3:58.0,Denver full timeout,,75-85,,
3:39.0,D. Arthur misses 2-pt shot from 15 ft,,75-85,,
3:38.0,,,75-85,,Defensive rebound by T. Parker
3:21.0,,,75-85,,M. Ginobili misses 3-pt shot from 24 ft
3:21.0,Defensive rebound by Team,,75-85,,
3:08.0,W. Barton makes 2-pt shot at rim,2,77-85,,
2:51.0,,,77-85,,K. Leonard misses 3-pt shot from 23 ft
2:49.0,,,77-85,,Offensive rebound by M. Ginobili
2:47.0,,,77-85,,Turnover by M. Ginobili (bad pass; steal by J. Hickson)
2:42.0,Turnover by W. Barton (lost ball),,77-85,,
2:18.0,,,77-85,,K. Leonard misses 3-pt shot from 23 ft
2:16.0,Defensive rebound by J. Hickson,,77-85,,
2:09.0,,,77-85,,Shooting block foul by A. Baynes (drawn by J. Hickson)
2:09.0,J. Hickson misses free throw 1 of 2,,77-85,,
2:09.0,Offensive rebound by Team,,77-85,,
2:09.0,W. Chandler enters the game for D. Gallinari,,77-85,,
2:09.0,,,77-85,,D. Green enters the game for K. Leonard
2:09.0,J. Hickson misses free throw 2 of 2,,77-85,,
2:08.0,,,77-85,,Defensive rebound by A. Baynes
1:53.0,Personal foul by W. Chandler (drawn by M. Ginobili),,77-85,,
1:53.0,,,77-85,,M. Ginobili misses free throw 1 of 2
1:53.0,,,77-85,,Offensive rebound by Team
1:53.0,,,77-86,1,M. Ginobili makes free throw 2 of 2
1:40.0,J. Nelson makes 2-pt shot from 2 ft,2,79-86,,
1:19.0,,,79-86,,Shooting foul by D. Arthur (drawn by A. Baynes)
1:19.0,,,79-87,1,A. Baynes makes free throw 1 of 2
1:19.0,,,79-88,1,A. Baynes makes free throw 2 of 2
0:56.0,J. Nelson makes 2-pt shot from 2 ft,2,81-88,,
0:42.0,,,81-88,,Shooting foul by W. Barton (drawn by T. Parker)
0:42.0,,,81-89,1,T. Parker makes free throw 1 of 2
0:42.0,,,81-90,1,T. Parker makes free throw 2 of 2
0:28.0,W. Chandler makes 2-pt shot from 15 ft (assist by W. Barton),2,83-90,,
0:06.0,,,83-90,,T. Parker misses 2-pt shot at rim
0:04.0,Defensive rebound by W. Barton,,83-90,,
0:00.0,W. Barton misses 2-pt shot from 9 ft,,83-90,,
0:00.0,Offensive rebound by Team,,83-90,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,83-90,,D. Green misses 3-pt shot from 25 ft
11:45.0,Defensive rebound by W. Chandler,,83-90,,
11:32.0,J. Nelson misses 3-pt shot from 24 ft,,83-90,,
11:31.0,,,83-90,,Defensive rebound by T. Splitter
11:18.0,,,83-92,2,C. Joseph makes 2-pt shot at rim (assist by D. Green)
10:58.0,W. Barton makes 2-pt shot from 17 ft,2,85-92,,
10:39.0,,,85-92,,M. Ginobili misses 3-pt shot from 22 ft
10:38.0,Defensive rebound by J. Nelson,,85-92,,
10:33.0,,,85-92,,Personal foul by C. Joseph (drawn by W. Barton)
10:23.0,J. Hickson makes 2-pt shot at rim (assist by J. Nelson),2,87-92,,
10:07.0,,,87-92,,Shooting foul by J. Nelson (drawn by T. Splitter)
10:07.0,,,87-93,1,T. Splitter makes free throw 1 of 2
10:07.0,,,87-93,,K. Leonard enters the game for B. Diaw
10:07.0,,,87-94,1,T. Splitter makes free throw 2 of 2
9:50.0,J. Nelson misses 2-pt shot from 19 ft,,87-94,,
9:49.0,,,87-94,,Defensive rebound by K. Leonard
9:33.0,,,87-94,,Shooting foul by J. Nelson (drawn by C. Joseph)
9:33.0,,,87-94,,C. Joseph misses free throw 1 of 2
9:33.0,,,87-94,,Offensive rebound by Team
9:33.0,T. Lawson enters the game for J. Nelson,,87-94,,
9:33.0,,,87-95,1,C. Joseph makes free throw 2 of 2
9:22.0,W. Chandler misses 3-pt shot from 25 ft,,87-95,,
9:21.0,,,87-95,,Defensive rebound by C. Joseph
9:16.0,,,87-95,,D. Green misses 2-pt shot from 2 ft
9:14.0,Defensive rebound by W. Chandler,,87-95,,
9:13.0,Turnover by W. Chandler (traveling),,87-95,,
9:13.0,K. Faried enters the game for D. Arthur,,87-95,,
8:59.0,,,87-95,,K. Leonard misses 3-pt shot from 22 ft
8:58.0,Defensive rebound by J. Hickson,,87-95,,
8:51.0,K. Faried makes 2-pt shot from 4 ft (assist by T. Lawson),2,89-95,,
8:32.0,Personal foul by T. Lawson (drawn by M. Ginobili),,89-95,,
8:32.0,Official timeout,,89-95,,
8:30.0,Personal foul by W. Chandler (drawn by M. Ginobili),,89-95,,
8:19.0,,,89-95,,T. Splitter misses 2-pt shot from 1 ft (block by J. Hickson)
8:17.0,Defensive rebound by K. Faried,,89-95,,
8:12.0,J. Hickson makes 2-pt shot at rim (assist by K. Faried),2,91-95,,
8:02.0,,,91-95,,Shooting foul by J. Hickson (drawn by K. Leonard)
8:02.0,,,91-96,1,K. Leonard makes free throw 1 of 2
8:02.0,,,91-96,,T. Parker enters the game for C. Joseph
8:02.0,,,91-96,,T. Duncan enters the game for T. Splitter
8:02.0,,,91-96,,M. Belinelli enters the game for M. Ginobili
8:02.0,,,91-97,1,K. Leonard makes free throw 2 of 2
7:48.0,,,91-97,,Personal block foul by D. Green (drawn by K. Faried)
7:48.0,,,91-97,,A. Baynes enters the game for D. Green
7:43.0,Turnover by K. Faried (lost ball; steal by M. Belinelli),,91-97,,
7:37.0,,,91-99,2,T. Parker makes 2-pt shot at rim
7:19.0,T. Lawson makes 2-pt shot from 14 ft,2,93-99,,
7:07.0,,,93-99,,Turnover by T. Parker (bad pass; steal by W. Barton)
6:58.0,T. Lawson makes 3-pt shot from 24 ft,3,96-99,,
6:58.0,,,96-99,,San Antonio full timeout
6:46.0,,,96-99,,Shooting foul by W. Chandler (drawn by K. Leonard)
6:46.0,,,96-100,1,K. Leonard makes free throw 1 of 2
6:46.0,,,96-101,1,K. Leonard makes free throw 2 of 2
6:25.0,T. Lawson makes 2-pt shot from 1 ft,2,98-101,,
6:10.0,,,98-101,,Shooting foul by T. Lawson (drawn by T. Parker)
6:10.0,,,98-102,1,T. Parker makes free throw 1 of 2
6:10.0,,,98-103,1,T. Parker makes free throw 2 of 2
5:52.0,T. Lawson misses 2-pt shot from 17 ft (block by K. Leonard),,98-103,,
5:50.0,,,98-103,,Defensive rebound by T. Parker
5:46.0,,,98-103,,K. Leonard misses 2-pt shot at rim
5:46.0,Defensive rebound by Team,,98-103,,
5:46.0,D. Gallinari enters the game for W. Chandler,,98-103,,
5:36.0,D. Gallinari makes 2-pt shot from 17 ft (assist by T. Lawson),2,100-103,,
5:14.0,,,100-105,2,T. Parker makes 2-pt shot from 16 ft
4:52.0,K. Faried makes 2-pt shot from 6 ft (assist by T. Lawson),2,102-105,,
4:36.0,,,102-107,2,T. Parker makes 2-pt shot from 1 ft
4:23.0,,,102-107,,Shooting block foul by A. Baynes (drawn by J. Hickson)
4:23.0,J. Hickson makes free throw 1 of 2,1,103-107,,
4:23.0,,,103-107,,D. Green enters the game for M. Belinelli
4:23.0,,,103-107,,T. Splitter enters the game for A. Baynes
4:23.0,J. Hickson misses free throw 2 of 2,,103-107,,
4:22.0,,,103-107,,Defensive rebound by T. Parker
4:04.0,,,103-109,2,K. Leonard makes 2-pt shot from 5 ft
3:47.0,W. Barton makes 2-pt shot from 16 ft (assist by J. Hickson),2,105-109,,
3:30.0,Personal foul by T. Lawson (drawn by T. Splitter),,105-109,,
