time,Memphis,pts.away,score,pts.home,Minnesota
0:00.0,,,23-24,,M. Williams misses 3-pt shot from 26 ft
0:00.0,,,23-24,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,23-26,2,A. Bennett makes 2-pt shot at rim
11:21.0,B. Udrih makes 2-pt shot from 18 ft (assist by N. Calathes),2,25-26,,
11:02.0,,,25-28,2,N. Pekovic makes 2-pt shot from 1 ft
10:45.0,B. Udrih misses 2-pt shot from 21 ft,,25-28,,
10:44.0,,,25-28,,Defensive rebound by A. Bennett
10:32.0,Personal foul by K. Koufos (drawn by N. Pekovic),,25-28,,
10:20.0,,,25-28,,N. Pekovic misses 2-pt shot from 7 ft
10:18.0,Defensive rebound by Team,,25-28,,
10:11.0,Offensive foul by N. Calathes,,25-28,,
10:11.0,Turnover by N. Calathes (offensive foul),,25-28,,
9:56.0,,,25-31,3,M. Williams makes 3-pt shot from 24 ft (assist by A. Wiggins)
9:36.0,N. Calathes misses 3-pt shot from 24 ft,,25-31,,
9:35.0,,,25-31,,Defensive rebound by Z. LaVine
9:30.0,,,25-31,,Z. LaVine misses 2-pt shot from 20 ft
9:27.0,,,25-31,,Offensive rebound by A. Wiggins
9:27.0,,,25-31,,A. Wiggins misses 2-pt shot from 1 ft
9:25.0,Defensive rebound by B. Udrih,,25-31,,
9:21.0,Turnover by B. Udrih (bad pass; steal by N. Pekovic),,25-31,,
9:16.0,,,25-33,2,A. Bennett makes 2-pt shot at rim (assist by A. Wiggins)
9:10.0,Memphis full timeout,,25-33,,
9:10.0,J. Green enters the game for C. Lee,,25-33,,
9:10.0,,,25-33,,T. Young enters the game for A. Wiggins
9:10.0,J. Green enters the game for J. Leuer,,25-33,,
9:01.0,J. Green makes 2-pt shot from 2 ft (assist by B. Udrih),2,27-33,,
8:45.0,,,27-33,,Shooting foul by J. Green (drawn by A. Bennett)
8:45.0,,,27-34,1,A. Bennett makes free throw 1 of 2
8:45.0,,,27-35,1,A. Bennett makes free throw 2 of 2
8:36.0,Turnover by K. Koufos (traveling),,27-35,,
8:23.0,,,27-35,,Z. LaVine misses 2-pt shot from 17 ft
8:21.0,,,27-35,,Offensive rebound by A. Bennett
8:19.0,,,27-37,2,N. Pekovic makes 2-pt shot from 1 ft (assist by A. Bennett)
7:58.0,J. Green makes 2-pt shot from 7 ft (assist by B. Udrih),2,29-37,,
7:33.0,,,29-37,,Z. LaVine misses 3-pt shot from 25 ft
7:32.0,,,29-37,,Offensive rebound by A. Bennett
7:11.0,,,29-37,,N. Pekovic misses 2-pt shot from 5 ft
7:10.0,Defensive rebound by J. Green,,29-37,,
7:05.0,N. Calathes makes 2-pt shot from 4 ft,2,31-37,,
6:57.0,,,31-37,,Minnesota full timeout
6:57.0,,,31-37,,R. Rubio enters the game for Z. LaVine
6:57.0,M. Conley enters the game for B. Udrih,,31-37,,
6:50.0,,,31-37,,Turnover by N. Pekovic (bad pass; steal by K. Koufos)
6:35.0,Shooting foul by N. Pekovic (drawn by J. Green),,31-37,,
6:35.0,J. Green misses free throw 1 of 2,,31-37,,
6:35.0,Offensive rebound by Team,,31-37,,
6:35.0,,,31-37,,G. Dieng enters the game for N. Pekovic
6:35.0,,,31-37,,K. Martin enters the game for M. Williams
6:35.0,,,31-37,,A. Wiggins enters the game for A. Bennett
6:35.0,J. Green misses free throw 2 of 2,,31-37,,
6:35.0,,,31-37,,Defensive rebound by A. Wiggins
6:17.0,,,31-37,,K. Martin misses 3-pt shot from 24 ft
6:16.0,Defensive rebound by M. Conley,,31-37,,
6:00.0,M. Conley misses 3-pt shot from 25 ft,,31-37,,
5:59.0,,,31-37,,Defensive rebound by G. Dieng
5:45.0,,,31-37,,G. Dieng misses 2-pt shot from 10 ft
5:44.0,Defensive rebound by K. Koufos,,31-37,,
5:32.0,J. Green makes 2-pt shot from 19 ft (assist by N. Calathes),2,33-37,,
5:09.0,,,33-37,,Offensive foul by G. Dieng
5:09.0,,,33-37,,Turnover by G. Dieng (offensive foul)
4:54.0,Offensive foul by N. Calathes,,33-37,,
4:54.0,Turnover by N. Calathes (offensive foul),,33-37,,
4:54.0,,,33-37,,A. Bennett enters the game for G. Dieng
4:43.0,,,33-37,,Turnover by A. Wiggins (bad pass)
4:28.0,K. Koufos makes 2-pt shot from 3 ft,2,35-37,,
4:12.0,,,35-37,,R. Rubio misses 2-pt shot from 21 ft
4:11.0,Defensive rebound by J. Green,,35-37,,
4:05.0,J. Green makes 2-pt shot at rim (assist by J. Green),2,37-37,,
3:55.0,,,37-37,,Minnesota full timeout
3:42.0,,,37-39,2,K. Martin makes 2-pt shot from 11 ft
3:21.0,M. Conley makes 2-pt shot from 7 ft,2,39-39,,
3:04.0,,,39-41,2,T. Young makes 2-pt shot from 1 ft
2:39.0,J. Green misses 2-pt shot from 16 ft,,39-41,,
2:38.0,,,39-41,,Defensive rebound by R. Rubio
2:33.0,,,39-43,2,R. Rubio makes 2-pt shot from 14 ft
2:26.0,,,39-43,,Personal foul by R. Rubio (drawn by M. Conley)
2:26.0,Memphis full timeout,,39-43,,
2:26.0,M. Gasol enters the game for K. Koufos,,39-43,,
2:26.0,T. Allen enters the game for N. Calathes,,39-43,,
2:16.0,J. Green misses 2-pt shot from 1 ft,,39-43,,
2:15.0,,,39-43,,Defensive rebound by T. Young
2:11.0,,,39-43,,Turnover by A. Bennett (offensive foul)
2:11.0,,,39-43,,Offensive charge foul by A. Bennett
1:56.0,,,39-43,,Personal foul by A. Bennett (drawn by M. Gasol)
1:47.0,,,39-43,,Personal foul by T. Young (drawn by J. Green)
1:47.0,J. Green makes free throw 1 of 2,1,40-43,,
1:47.0,J. Green makes free throw 2 of 2,1,41-43,,
1:31.0,,,41-43,,K. Martin misses 2-pt shot from 16 ft
1:30.0,Defensive rebound by M. Conley,,41-43,,
1:22.0,J. Green makes 2-pt shot at rim (assist by M. Gasol),2,43-43,,
1:22.0,Shooting foul by T. Young (drawn by J. Green),,43-43,,
1:22.0,J. Green misses free throw 1 of 1,,43-43,,
1:21.0,,,43-43,,Defensive rebound by A. Wiggins
1:06.0,,,43-43,,R. Rubio misses 2-pt shot from 18 ft
1:04.0,Defensive rebound by Team,,43-43,,
0:52.0,T. Allen misses 2-pt shot at rim,,43-43,,
0:50.0,,,43-43,,Defensive rebound by T. Young
0:36.0,,,43-43,,T. Young misses 2-pt shot from 4 ft
0:35.0,Defensive rebound by J. Green,,43-43,,
0:29.0,Offensive foul by J. Green,,43-43,,
0:29.0,Turnover by J. Green (offensive foul),,43-43,,
0:12.0,Personal foul by M. Conley (drawn by R. Rubio),,43-43,,
0:04.0,,,43-43,,K. Martin misses 2-pt shot from 21 ft
0:02.0,Defensive rebound by M. Conley,,43-43,,
0:00.0,M. Conley misses 3-pt shot from 40 ft,,43-43,,
0:00.0,Offensive rebound by Team,,43-43,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,43-43,,Shooting foul by M. Gasol (drawn by N. Pekovic)
11:43.0,,,43-43,,N. Pekovic misses free throw 1 of 2
11:43.0,,,43-43,,Offensive rebound by Team
11:43.0,,,43-44,1,N. Pekovic makes free throw 2 of 2
11:22.0,M. Conley makes 2-pt shot from 6 ft,2,45-44,,
11:07.0,,,45-44,,N. Pekovic misses 2-pt shot from 3 ft (block by M. Gasol)
11:04.0,,,45-44,,Offensive rebound by A. Wiggins
11:01.0,,,45-46,2,A. Wiggins makes 2-pt shot from 20 ft
10:43.0,Shooting foul by N. Pekovic (drawn by J. Green),,45-46,,
10:43.0,J. Green makes free throw 1 of 2,1,46-46,,
10:43.0,,,46-46,,G. Dieng enters the game for N. Pekovic
10:43.0,J. Green misses free throw 2 of 2,,46-46,,
10:43.0,,,46-46,,Defensive rebound by T. Young
10:22.0,,,46-48,2,K. Martin makes 2-pt shot from 15 ft
10:00.0,J. Green misses 3-pt shot from 25 ft,,46-48,,
9:59.0,,,46-48,,Defensive rebound by R. Rubio
9:50.0,,,46-48,,Shooting foul by Z. Randolph (drawn by T. Young)
9:50.0,,,46-49,1,T. Young makes free throw 1 of 2
9:50.0,,,46-50,1,T. Young makes free throw 2 of 2
9:35.0,C. Lee misses 2-pt shot from 11 ft,,46-50,,
9:34.0,,,46-50,,Defensive rebound by K. Martin
9:24.0,,,46-53,3,R. Rubio makes 3-pt shot from 24 ft (assist by T. Young)
9:07.0,M. Conley misses 2-pt shot from 2 ft,,46-53,,
9:06.0,Offensive rebound by M. Gasol,,46-53,,
9:00.0,M. Gasol makes 2-pt shot at rim (assist by M. Conley),2,48-53,,
9:00.0,Shooting foul by A. Wiggins (drawn by M. Gasol),,48-53,,
9:00.0,M. Gasol makes free throw 1 of 1,1,49-53,,
8:47.0,,,49-55,2,G. Dieng makes 2-pt shot from 14 ft
8:33.0,C. Lee makes 3-pt shot from 23 ft (assist by J. Green),3,52-55,,
8:17.0,,,52-55,,K. Martin misses 3-pt shot from 23 ft
8:16.0,Defensive rebound by Z. Randolph,,52-55,,
8:09.0,Shooting foul by T. Young (drawn by M. Conley),,52-55,,
8:09.0,M. Conley makes free throw 1 of 2,1,53-55,,
8:09.0,M. Conley makes free throw 2 of 2,1,54-55,,
7:49.0,,,54-55,,Turnover by R. Rubio (bad pass; steal by Z. Randolph)
7:35.0,M. Gasol misses 2-pt shot from 11 ft,,54-55,,
7:34.0,,,54-55,,Defensive rebound by K. Martin
7:28.0,,,54-55,,R. Rubio misses 3-pt shot from 24 ft
7:27.0,Defensive rebound by Team,,54-55,,
7:08.0,J. Green misses 2-pt shot at rim,,54-55,,
7:07.0,Offensive rebound by J. Green,,54-55,,
7:07.0,J. Green misses 2-pt shot at rim,,54-55,,
7:05.0,,,54-55,,Defensive rebound by G. Dieng
6:58.0,,,54-55,,R. Rubio misses 2-pt shot from 20 ft
6:57.0,Defensive rebound by Z. Randolph,,54-55,,
6:56.0,Turnover by Z. Randolph (bad pass),,54-55,,
6:51.0,,,54-57,2,R. Rubio makes 2-pt shot from 11 ft
6:37.0,M. Conley makes 2-pt shot from 1 ft,2,56-57,,
6:19.0,,,56-57,,Turnover by R. Rubio (bad pass; steal by M. Gasol)
6:10.0,C. Lee makes 2-pt shot from 16 ft (assist by M. Conley),2,58-57,,
6:08.0,,,58-57,,Minnesota full timeout
6:08.0,,,58-57,,M. Williams enters the game for R. Rubio
5:53.0,,,58-57,,Turnover by M. Williams (bad pass; steal by M. Gasol)
5:37.0,Z. Randolph misses 2-pt shot from 8 ft,,58-57,,
5:36.0,,,58-57,,Defensive rebound by T. Young
5:22.0,,,58-57,,Turnover by M. Williams (bad pass; steal by C. Lee)
5:13.0,J. Green misses 3-pt shot from 24 ft,,58-57,,
5:11.0,,,58-57,,Defensive rebound by M. Williams
4:57.0,,,58-57,,A. Wiggins misses 3-pt shot from 24 ft
4:55.0,Defensive rebound by M. Conley,,58-57,,
4:47.0,Z. Randolph makes 2-pt shot at rim (assist by C. Lee),2,60-57,,
4:24.0,,,60-57,,M. Williams misses 2-pt shot from 16 ft
4:23.0,Defensive rebound by Z. Randolph,,60-57,,
4:08.0,Z. Randolph misses 2-pt shot from 5 ft,,60-57,,
4:07.0,,,60-57,,Defensive rebound by G. Dieng
3:52.0,,,60-57,,T. Young misses 2-pt shot at rim
3:50.0,,,60-57,,Offensive rebound by A. Wiggins
3:50.0,,,60-59,2,A. Wiggins makes 2-pt shot at rim
3:34.0,T. Allen enters the game for J. Green,,60-59,,
3:33.0,,,60-59,,Personal foul by M. Williams (drawn by M. Conley)
3:23.0,M. Conley makes 3-pt shot from 25 ft,3,63-59,,
3:04.0,,,63-59,,Turnover by A. Wiggins (bad pass; steal by M. Gasol)
2:56.0,M. Gasol makes 2-pt shot from 15 ft (assist by M. Conley),2,65-59,,
2:56.0,,,65-59,,Minnesota full timeout
2:56.0,Memphis full timeout,,65-59,,
2:40.0,,,65-59,,Turnover by K. Martin (traveling)
2:25.0,Turnover by M. Conley (lost ball; steal by T. Young),,65-59,,
2:20.0,,,65-61,2,T. Young makes 2-pt shot from 2 ft (assist by K. Martin)
1:56.0,C. Lee misses 2-pt shot from 15 ft,,65-61,,
1:55.0,,,65-61,,Defensive rebound by Team
1:40.0,,,65-63,2,K. Martin makes 2-pt shot from 14 ft
1:18.0,Z. Randolph makes 2-pt shot at rim,2,67-63,,
1:00.0,,,67-65,2,G. Dieng makes 2-pt shot at rim (assist by M. Williams)
0:50.0,M. Conley makes 2-pt shot from 5 ft,2,69-65,,
0:39.0,,,69-65,,T. Young misses 3-pt shot from 25 ft
0:38.0,Defensive rebound by M. Gasol,,69-65,,
0:28.0,M. Conley misses 3-pt shot from 25 ft,,69-65,,
0:27.0,,,69-65,,Defensive rebound by T. Young
0:03.0,,,69-65,,K. Martin misses 3-pt shot from 24 ft
0:01.0,Defensive rebound by Z. Randolph,,69-65,,
0:00.0,Z. Randolph misses 3-pt shot from 64 ft,,69-65,,
0:00.0,Offensive rebound by Team,,69-65,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,Z. Randolph misses 2-pt shot from 19 ft,,69-65,,
11:41.0,,,69-65,,Defensive rebound by K. Martin
11:24.0,,,69-67,2,M. Williams makes 2-pt shot from 19 ft
11:02.0,Z. Randolph makes 2-pt shot at rim (assist by M. Conley),2,71-67,,
10:43.0,,,71-67,,N. Pekovic misses 2-pt shot from 4 ft
10:42.0,Defensive rebound by Z. Randolph,,71-67,,
10:37.0,C. Lee makes 2-pt shot from 1 ft (assist by M. Conley),2,73-67,,
10:24.0,,,73-69,2,N. Pekovic makes 2-pt shot from 17 ft (assist by M. Williams)
10:00.0,C. Lee makes 2-pt shot from 3 ft,2,75-69,,
9:33.0,,,75-69,,Turnover by Team (shot clock)
9:33.0,N. Calathes enters the game for C. Lee,,75-69,,
9:33.0,,,75-69,,Z. LaVine enters the game for K. Martin
9:33.0,B. Udrih enters the game for M. Conley,,75-69,,
9:16.0,N. Calathes misses 2-pt shot from 1 ft,,75-69,,
9:15.0,,,75-69,,Defensive rebound by N. Pekovic
9:05.0,,,75-71,2,M. Williams makes 2-pt shot from 19 ft
8:48.0,,,75-71,,Personal foul by A. Wiggins (drawn by Z. Randolph)
8:48.0,Memphis full timeout,,75-71,,
8:48.0,,,75-71,,T. Young enters the game for A. Wiggins
8:41.0,B. Udrih misses 3-pt shot from 24 ft,,75-71,,
8:40.0,,,75-71,,Defensive rebound by M. Williams
8:16.0,,,75-71,,T. Young misses 2-pt shot from 7 ft
8:15.0,,,75-71,,Offensive rebound by T. Young
8:09.0,,,75-71,,Z. LaVine misses 2-pt shot from 18 ft
8:07.0,Defensive rebound by Team,,75-71,,
7:52.0,N. Calathes misses 2-pt shot from 2 ft (block by N. Pekovic),,75-71,,
7:50.0,,,75-71,,Defensive rebound by M. Williams
7:45.0,,,75-71,,Z. LaVine misses 2-pt shot at rim (block by Z. Randolph)
7:44.0,Defensive rebound by Z. Randolph,,75-71,,
7:40.0,N. Calathes makes 2-pt shot at rim (assist by B. Udrih),2,77-71,,
7:24.0,,,77-71,,M. Williams misses 3-pt shot from 24 ft
7:24.0,,,77-71,,Offensive rebound by Team
7:24.0,Loose ball foul by T. Allen (drawn by N. Pekovic),,77-71,,
7:24.0,,,77-71,,R. Rubio enters the game for Z. LaVine
7:20.0,,,77-71,,N. Pekovic misses 2-pt shot from 3 ft
7:18.0,Defensive rebound by Z. Randolph,,77-71,,
7:13.0,Turnover by Z. Randolph (bad pass),,77-71,,
7:01.0,,,77-71,,A. Bennett misses 2-pt shot from 17 ft
7:01.0,Defensive rebound by T. Allen,,77-71,,
6:44.0,Turnover by B. Udrih (bad pass),,77-71,,
6:44.0,,,77-71,,A. Wiggins enters the game for A. Bennett
6:26.0,,,77-73,2,N. Pekovic makes 2-pt shot from 9 ft
6:26.0,Memphis full timeout,,77-73,,
6:10.0,Turnover by Z. Randolph (lost ball; steal by R. Rubio),,77-73,,
6:06.0,,,77-75,2,R. Rubio makes 2-pt shot at rim
5:58.0,,,77-75,,Personal take foul by M. Williams (drawn by N. Calathes)
5:58.0,,,77-75,,K. Martin enters the game for R. Rubio
5:58.0,M. Conley enters the game for B. Udrih,,77-75,,
5:58.0,M. Gasol enters the game for Z. Randolph,,77-75,,
5:58.0,J. Green enters the game for N. Calathes,,77-75,,
5:47.0,M. Conley makes 2-pt shot from 1 ft,2,79-75,,
5:47.0,Shooting foul by K. Martin (drawn by M. Conley),,79-75,,
5:47.0,M. Conley misses free throw 1 of 1,,79-75,,
5:45.0,,,79-75,,Defensive rebound by N. Pekovic
5:25.0,,,79-75,,T. Young misses 2-pt shot from 6 ft
5:24.0,Defensive rebound by T. Allen,,79-75,,
5:04.0,M. Gasol misses 2-pt shot from 18 ft,,79-75,,
5:02.0,,,79-75,,Defensive rebound by M. Williams
4:46.0,,,79-75,,T. Young misses 2-pt shot from 2 ft (block by K. Koufos)
4:45.0,,,79-75,,Offensive rebound by N. Pekovic
4:43.0,,,79-75,,N. Pekovic misses 2-pt shot from 1 ft (block by K. Koufos)
4:42.0,,,79-75,,Offensive rebound by T. Young
4:41.0,Personal foul by M. Gasol (drawn by T. Young),,79-75,,
4:41.0,,,79-75,,R. Rubio enters the game for M. Williams
4:36.0,,,79-75,,K. Martin misses 3-pt shot from 23 ft (block by T. Allen)
4:34.0,,,79-75,,Offensive rebound by R. Rubio
4:32.0,,,79-75,,Turnover by R. Rubio (lost ball; steal by T. Allen)
4:28.0,T. Allen makes 2-pt shot at rim,2,81-75,,
4:07.0,,,81-75,,Shooting foul by K. Koufos (drawn by A. Wiggins)
4:07.0,,,81-75,,A. Wiggins misses free throw 1 of 2
4:07.0,,,81-75,,Offensive rebound by Team
4:07.0,,,81-76,1,A. Wiggins makes free throw 2 of 2
3:55.0,Shooting foul by A. Wiggins (drawn by J. Green),,81-76,,
3:55.0,J. Green makes free throw 1 of 2,1,82-76,,
3:55.0,,,82-76,,Minnesota full timeout
3:55.0,J. Green makes free throw 2 of 2,1,83-76,,
3:30.0,,,83-78,2,N. Pekovic makes 2-pt shot from 12 ft
3:12.0,M. Gasol makes 2-pt shot from 1 ft (assist by M. Conley),2,85-78,,
3:00.0,,,85-78,,R. Rubio misses 2-pt shot from 1 ft
2:59.0,Defensive rebound by M. Gasol,,85-78,,
2:36.0,T. Allen misses 2-pt shot from 4 ft,,85-78,,
2:35.0,,,85-78,,Defensive rebound by Team
2:35.0,Z. Randolph enters the game for K. Koufos,,85-78,,
2:24.0,,,85-80,2,N. Pekovic makes 2-pt shot from 3 ft (assist by T. Young)
2:02.0,J. Green makes 2-pt shot from 11 ft,2,87-80,,
1:47.0,,,87-83,3,R. Rubio makes 3-pt shot from 25 ft (assist by K. Martin)
1:27.0,C. Lee enters the game for T. Allen,,87-83,,
1:24.0,Shooting foul by K. Martin (drawn by C. Lee),,87-83,,
1:24.0,C. Lee makes free throw 1 of 2,1,88-83,,
1:24.0,C. Lee makes free throw 2 of 2,1,89-83,,
1:09.0,,,89-83,,Shooting foul by M. Gasol (drawn by A. Wiggins)
1:09.0,,,89-84,1,A. Wiggins makes free throw 1 of 2
1:09.0,,,89-85,1,A. Wiggins makes free throw 2 of 2
0:55.0,M. Conley misses 2-pt shot from 22 ft,,89-85,,
0:54.0,,,89-85,,Defensive rebound by K. Martin
0:42.0,,,89-85,,A. Wiggins misses 2-pt shot from 13 ft
0:41.0,,,89-85,,Offensive rebound by T. Young
0:35.0,,,89-88,3,R. Rubio makes 3-pt shot from 24 ft
0:12.0,Turnover by Z. Randolph (lost ball; steal by R. Rubio),,89-88,,
0:10.0,Personal foul by Z. Randolph (drawn by R. Rubio),,89-88,,
0:10.0,,,89-89,1,R. Rubio makes free throw 1 of 2
0:10.0,,,89-90,1,R. Rubio makes free throw 2 of 2
0:10.0,Memphis full timeout,,89-90,,
0:10.0,,,89-90,,M. Williams enters the game for K. Martin
0:10.0,,,89-90,,Minnesota full timeout
0:06.0,Turnover by M. Conley (bad pass; steal by R. Rubio),,89-90,,
0:01.0,,,89-90,,Turnover by M. Williams (bad pass; steal by C. Lee)
0:00.0,End of 4th quarter,,,,End of 4th quarter
