time,Atlanta,pts.away,score,pts.home,Brooklyn
10:30.0,,,19-33,,Personal foul by A. Anderson (drawn by K. Korver)
10:25.0,,,19-33,,Personal foul by M. Plumlee (drawn by A. Horford)
10:22.0,A. Horford makes 2-pt shot from 2 ft (assist by K. Korver),2,21-33,,
10:08.0,,,21-33,,M. Teletovic misses 3-pt shot from 26 ft
10:07.0,,,21-33,,Offensive rebound by M. Plumlee
9:57.0,,,21-33,,M. Teletovic misses 3-pt shot from 24 ft
9:56.0,Defensive rebound by A. Horford,,21-33,,
9:42.0,K. Korver misses 3-pt shot from 27 ft,,21-33,,
9:41.0,,,21-33,,Defensive rebound by M. Teletovic
9:25.0,,,21-33,,Turnover by A. Anderson (bad pass)
9:25.0,D. Carroll enters the game for K. Bazemore,,21-33,,
9:10.0,D. Schroder misses 3-pt shot from 24 ft,,21-33,,
9:09.0,,,21-33,,Defensive rebound by J. Johnson
8:52.0,,,21-33,,M. Teletovic misses 2-pt shot from 10 ft
8:51.0,Defensive rebound by M. Scott,,21-33,,
8:44.0,D. Schroder makes 2-pt shot from 2 ft,2,23-33,,
8:25.0,,,23-33,,M. Plumlee misses 2-pt shot from 3 ft (block by A. Horford)
8:23.0,Defensive rebound by D. Carroll,,23-33,,
8:17.0,M. Scott makes 2-pt shot from 2 ft (assist by K. Korver),2,25-33,,
8:15.0,,,25-33,,Brooklyn full timeout
8:15.0,,,25-33,,B. Lopez enters the game for M. Plumlee
8:15.0,,,25-33,,T. Young enters the game for M. Teletovic
8:00.0,,,25-33,,Turnover by B. Lopez (traveling)
7:54.0,Offensive foul by D. Carroll,,25-33,,
7:54.0,Turnover by D. Carroll (offensive foul),,25-33,,
7:54.0,J. Teague enters the game for K. Korver,,25-33,,
7:54.0,,,25-33,,D. Williams enters the game for A. Anderson
7:31.0,,,25-33,,J. Johnson misses 3-pt shot from 27 ft
7:28.0,Defensive rebound by J. Teague,,25-33,,
7:23.0,M. Scott misses 3-pt shot from 26 ft,,25-33,,
7:22.0,,,25-33,,Defensive rebound by T. Young
7:09.0,,,25-35,2,T. Young makes 2-pt shot from 5 ft (assist by D. Williams)
6:46.0,D. Carroll makes 3-pt shot from 25 ft (assist by A. Horford),3,28-35,,
6:31.0,,,28-35,,J. Johnson misses 2-pt shot from 5 ft
6:30.0,,,28-35,,Offensive rebound by T. Young
6:22.0,,,28-38,3,J. Johnson makes 3-pt shot from 24 ft (assist by J. Jack)
6:12.0,Turnover by D. Carroll (lost ball; steal by D. Williams),,28-38,,
6:05.0,,,28-38,,T. Young misses 2-pt shot from 3 ft
6:04.0,Defensive rebound by M. Scott,,28-38,,
5:58.0,J. Teague misses 3-pt shot from 25 ft,,28-38,,
5:56.0,,,28-38,,Defensive rebound by J. Johnson
5:46.0,,,28-38,,D. Williams misses 3-pt shot from 25 ft
5:44.0,,,28-38,,Offensive rebound by J. Johnson
5:43.0,,,28-38,,Shooting foul by D. Carroll (drawn by J. Johnson)
