time,Utah,pts.away,score,pts.home,Golden State
0:43.0,Shooting foul by A. Iguodala (drawn by D. Favors),,11-19,,
0:43.0,D. Favors makes free throw 1 of 2,1,12-19,,
0:43.0,D. Favors misses free throw 2 of 2,,12-19,,
0:42.0,,,12-19,,Defensive rebound by M. Speights
0:29.0,,,12-19,,S. Curry misses 2-pt shot from 1 ft (block by D. Favors)
0:27.0,Defensive rebound by J. Ingles,,12-19,,
0:06.0,J. Ingles makes 3-pt shot from 26 ft,3,15-19,,
0:01.0,,,15-19,,S. Curry misses 3-pt shot from 32 ft
0:00.0,,,15-19,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,15-21,2,M. Speights makes 2-pt shot from 17 ft (assist by S. Livingston)
11:16.0,T. Burke misses 3-pt shot from 26 ft,,15-21,,
11:14.0,,,15-21,,Defensive rebound by M. Speights
10:55.0,,,15-24,3,H. Barnes makes 3-pt shot from 22 ft (assist by S. Livingston)
10:37.0,,,15-24,,Personal foul by M. Speights (drawn by D. Favors)
10:26.0,T. Burke makes 2-pt shot from 7 ft,2,17-24,,
10:04.0,,,17-24,,M. Speights misses 2-pt shot from 6 ft
10:03.0,Defensive rebound by T. Booker,,17-24,,
9:44.0,T. Burke misses 3-pt shot from 28 ft,,17-24,,
9:40.0,,,17-24,,Defensive rebound by M. Speights
9:33.0,,,17-26,2,L. Barbosa makes 2-pt shot from 1 ft
9:10.0,T. Burke makes 2-pt shot from 10 ft,2,19-26,,
9:05.0,,,19-28,2,A. Iguodala makes 2-pt shot at rim (assist by M. Speights)
8:40.0,D. Favors makes 2-pt shot from 13 ft,2,21-28,,
8:24.0,,,21-28,,Turnover by M. Speights (bad pass)
8:24.0,Official timeout,,21-28,,
8:24.0,R. Hood enters the game for D. Favors,,21-28,,
8:24.0,R. Gobert enters the game for J. Ingles,,21-28,,
8:24.0,,,21-28,,F. Ezeli enters the game for M. Speights
8:10.0,R. Hood makes 2-pt shot from 1 ft,2,23-28,,
7:53.0,,,23-31,3,L. Barbosa makes 3-pt shot from 26 ft (assist by S. Livingston)
7:38.0,R. Hood misses 2-pt shot from 19 ft,,23-31,,
7:37.0,,,23-31,,Defensive rebound by S. Livingston
7:31.0,,,23-31,,S. Livingston misses 2-pt shot from 6 ft
7:29.0,Defensive rebound by T. Booker,,23-31,,
7:08.0,R. Gobert misses 2-pt shot from 6 ft,,23-31,,
7:07.0,,,23-31,,Defensive rebound by Team
7:07.0,Loose ball foul by T. Booker (drawn by H. Barnes),,23-31,,
6:52.0,,,23-31,,H. Barnes misses 3-pt shot from 26 ft
6:50.0,Defensive rebound by R. Gobert,,23-31,,
6:30.0,R. Hood makes 2-pt shot from 9 ft (assist by T. Burke),2,25-31,,
6:18.0,,,25-34,3,H. Barnes makes 3-pt shot from 27 ft (assist by L. Barbosa)
5:54.0,E. Millsap makes 3-pt shot from 24 ft (assist by R. Gobert),3,28-34,,
5:35.0,,,28-36,2,L. Barbosa makes 2-pt shot from 19 ft
5:08.0,R. Hood makes 2-pt shot from 8 ft,2,30-36,,
4:59.0,,,30-36,,S. Livingston misses 2-pt shot from 11 ft
4:58.0,Defensive rebound by T. Booker,,30-36,,
4:50.0,T. Burke misses 2-pt shot from 12 ft,,30-36,,
4:48.0,,,30-36,,Defensive rebound by H. Barnes
4:42.0,,,30-36,,Golden State full timeout
4:42.0,,,30-36,,J. Holiday enters the game for A. Iguodala
4:42.0,,,30-36,,S. Curry enters the game for L. Barbosa
4:42.0,,,30-36,,A. Bogut enters the game for F. Ezeli
4:42.0,G. Hayward enters the game for T. Burke,,30-36,,
4:42.0,D. Exum enters the game for E. Millsap,,30-36,,
4:25.0,,,30-36,,Turnover by Team (shot clock)
4:11.0,R. Hood makes 3-pt shot from 26 ft (assist by T. Booker),3,33-36,,
3:55.0,,,33-36,,H. Barnes misses 2-pt shot from 12 ft
3:54.0,Defensive rebound by T. Booker,,33-36,,
3:38.0,T. Booker makes 2-pt shot from 2 ft (assist by R. Gobert),2,35-36,,
3:26.0,,,35-38,2,S. Curry makes 2-pt shot from 9 ft (assist by A. Bogut)
3:26.0,,,35-38,,Shooting foul by D. Exum (drawn by S. Curry)
3:26.0,,,35-38,,D. Green enters the game for H. Barnes
3:26.0,,,35-39,1,S. Curry makes free throw 1 of 1
3:14.0,Turnover by R. Gobert (bad pass; steal by S. Curry),,35-39,,
3:12.0,Personal foul by R. Gobert (drawn by S. Curry),,35-39,,
3:12.0,D. Favors enters the game for T. Booker,,35-39,,
2:57.0,,,35-42,3,S. Curry makes 3-pt shot from 24 ft (assist by D. Green)
2:43.0,,,35-42,,Personal foul by A. Bogut (drawn by G. Hayward)
2:43.0,Utah full timeout,,35-42,,
2:43.0,T. Burke enters the game for D. Exum,,35-42,,
2:28.0,Turnover by Team (shot clock),,35-42,,
2:11.0,,,35-42,,Turnover by S. Livingston (bad pass)
1:55.0,Turnover by G. Hayward (bad pass; steal by S. Livingston),,35-42,,
1:50.0,,,35-44,2,S. Livingston makes 2-pt shot from 13 ft
1:39.0,,,35-44,,Personal foul by J. Holiday (drawn by G. Hayward)
1:26.0,D. Favors misses 2-pt shot from 14 ft,,35-44,,
1:25.0,Offensive rebound by R. Gobert,,35-44,,
1:21.0,T. Burke makes 3-pt shot from 26 ft (assist by R. Gobert),3,38-44,,
1:12.0,,,38-44,,Turnover by D. Green (bad pass; steal by R. Gobert)
1:06.0,T. Burke misses 3-pt shot from 25 ft,,38-44,,
1:05.0,,,38-44,,Defensive rebound by S. Curry
0:58.0,,,38-47,3,S. Curry makes 3-pt shot from 25 ft
0:44.0,D. Favors makes 2-pt shot from 4 ft (assist by T. Burke),2,40-47,,
0:34.0,,,40-49,2,S. Curry makes 2-pt shot from 9 ft
0:12.0,Turnover by D. Favors (bad pass),,40-49,,
0:12.0,E. Millsap enters the game for R. Hood,,40-49,,
0:06.0,,,40-49,,S. Curry misses 2-pt shot from 5 ft
0:05.0,,,40-49,,Offensive rebound by S. Livingston
0:01.0,,,40-49,,S. Livingston misses 2-pt shot from 18 ft
0:00.0,,,40-49,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,,,40-49,,Turnover by D. Green (bad pass)
11:34.0,Turnover by D. Exum (bad pass; steal by S. Curry),,40-49,,
11:31.0,,,40-49,,Shooting foul by D. Exum (drawn by D. Green)
11:31.0,,,40-50,1,D. Green makes free throw 1 of 2
11:31.0,,,40-50,,D. Green misses free throw 2 of 2
11:30.0,Defensive rebound by R. Gobert,,40-50,,
11:10.0,R. Hood misses 2-pt shot from 9 ft,,40-50,,
11:08.0,,,40-50,,Defensive rebound by J. Holiday
11:02.0,,,40-50,,D. Green misses 2-pt shot from 6 ft
11:02.0,Defensive rebound by D. Favors,,40-50,,
10:50.0,G. Hayward misses 2-pt shot from 6 ft,,40-50,,
10:49.0,Offensive rebound by R. Gobert,,40-50,,
10:47.0,R. Gobert misses 2-pt shot from 3 ft (block by A. Bogut),,40-50,,
10:47.0,Offensive rebound by Team,,40-50,,
10:38.0,G. Hayward misses 2-pt shot from 9 ft,,40-50,,
10:37.0,Offensive rebound by G. Hayward,,40-50,,
10:21.0,D. Favors makes 2-pt shot from 6 ft,2,42-50,,
10:14.0,Personal foul by D. Exum (drawn by S. Curry),,42-50,,
10:07.0,,,42-50,,Turnover by J. Holiday (lost ball; steal by D. Exum)
10:02.0,R. Hood makes 2-pt shot from 2 ft (assist by D. Exum),2,44-50,,
9:51.0,,,44-50,,D. Green misses 3-pt shot from 26 ft
9:50.0,,,44-50,,Offensive rebound by J. Holiday
9:44.0,,,44-53,3,S. Curry makes 3-pt shot from 23 ft (assist by J. Holiday)
9:17.0,Shooting foul by D. Green (drawn by R. Gobert),,44-53,,
9:17.0,R. Gobert makes free throw 1 of 2,1,45-53,,
9:17.0,R. Gobert makes free throw 2 of 2,1,46-53,,
9:06.0,,,46-55,2,S. Curry makes 2-pt shot from 22 ft
8:50.0,G. Hayward makes 2-pt shot from 12 ft,2,48-55,,
8:37.0,,,48-55,,S. Curry misses 2-pt shot from 6 ft
8:36.0,Defensive rebound by D. Favors,,48-55,,
8:19.0,G. Hayward makes 3-pt shot from 25 ft (assist by D. Favors),3,51-55,,
7:59.0,,,51-57,2,H. Barnes makes 2-pt shot at rim (assist by A. Bogut)
7:38.0,D. Favors misses 2-pt shot from 8 ft,,51-57,,
7:36.0,,,51-57,,Defensive rebound by A. Bogut
7:26.0,,,51-59,2,S. Curry makes 2-pt shot from 1 ft (assist by A. Bogut)
7:09.0,Shooting foul by H. Barnes (drawn by G. Hayward),,51-59,,
7:09.0,G. Hayward makes free throw 1 of 2,1,52-59,,
7:09.0,G. Hayward makes free throw 2 of 2,1,53-59,,
6:56.0,,,53-59,,Turnover by H. Barnes (lost ball; steal by D. Favors)
6:46.0,R. Hood misses 2-pt shot from 2 ft,,53-59,,
6:44.0,,,53-59,,Defensive rebound by A. Bogut
6:40.0,,,53-61,2,J. Holiday makes 2-pt shot from 1 ft (assist by H. Barnes)
6:40.0,Utah full timeout,,53-61,,
6:40.0,,,53-61,,L. Barbosa enters the game for H. Barnes
6:40.0,,,53-61,,A. Iguodala enters the game for J. Holiday
6:40.0,T. Burke enters the game for D. Exum,,53-61,,
6:26.0,Shooting foul by A. Iguodala (drawn by G. Hayward),,53-61,,
6:26.0,G. Hayward makes free throw 1 of 2,1,54-61,,
6:26.0,G. Hayward makes free throw 2 of 2,1,55-61,,
6:11.0,Violation by D. Favors (kicked ball),,55-61,,
5:59.0,,,55-63,2,A. Iguodala makes 2-pt shot from 18 ft (assist by A. Bogut)
5:39.0,T. Burke makes 3-pt shot from 25 ft (assist by G. Hayward),3,58-63,,
5:28.0,,,58-65,2,L. Barbosa makes 2-pt shot from 12 ft
5:16.0,R. Gobert misses 2-pt shot from 6 ft,,58-65,,
5:15.0,,,58-65,,Defensive rebound by D. Green
5:09.0,,,58-67,2,A. Iguodala makes 2-pt shot at rim (assist by D. Green)
4:57.0,T. Burke makes 3-pt shot from 27 ft,3,61-67,,
4:44.0,,,61-67,,D. Green misses 3-pt shot from 28 ft
4:44.0,,,61-67,,Offensive rebound by Team
4:44.0,Loose ball foul by R. Gobert (drawn by A. Bogut),,61-67,,
4:44.0,E. Millsap enters the game for R. Hood,,61-67,,
4:44.0,T. Booker enters the game for D. Favors,,61-67,,
4:35.0,,,61-67,,L. Barbosa misses 3-pt shot from 23 ft
4:34.0,Defensive rebound by G. Hayward,,61-67,,
4:23.0,T. Burke misses 3-pt shot from 26 ft,,61-67,,
4:22.0,,,61-67,,Defensive rebound by L. Barbosa
4:12.0,,,61-67,,S. Curry misses 2-pt shot from 9 ft
4:11.0,,,61-67,,Offensive rebound by Team
4:11.0,J. Ingles enters the game for G. Hayward,,61-67,,
3:59.0,,,61-69,2,A. Bogut makes 2-pt shot from 7 ft (assist by S. Curry)
3:37.0,T. Booker makes 2-pt shot from 6 ft (assist by T. Burke),2,63-69,,
3:24.0,,,63-69,,A. Iguodala misses 2-pt shot from 5 ft
3:23.0,,,63-69,,Offensive rebound by A. Bogut
3:23.0,,,63-71,2,A. Bogut makes 2-pt shot at rim
3:17.0,Shooting foul by D. Green (drawn by E. Millsap),,63-71,,
3:17.0,E. Millsap misses free throw 1 of 2,,63-71,,
3:17.0,Offensive rebound by Team,,63-71,,
3:17.0,J. Cooley enters the game for R. Gobert,,63-71,,
3:17.0,,,63-71,,M. Speights enters the game for A. Bogut
3:17.0,E. Millsap makes free throw 2 of 2,1,64-71,,
3:07.0,,,64-73,2,L. Barbosa makes 2-pt shot from 1 ft (assist by D. Green)
2:49.0,T. Burke misses 3-pt shot from 26 ft,,64-73,,
2:48.0,,,64-73,,Defensive rebound by M. Speights
2:45.0,,,64-73,,Shooting foul by E. Millsap (drawn by D. Green)
2:45.0,,,64-73,,Golden State full timeout
2:45.0,,,64-74,1,D. Green makes free throw 1 of 2
2:45.0,,,64-75,1,D. Green makes free throw 2 of 2
2:25.0,Offensive foul by J. Ingles,,64-75,,
2:25.0,Turnover by J. Ingles (offensive foul),,64-75,,
2:16.0,Personal foul by J. Cooley (drawn by D. Green),,64-75,,
2:16.0,D. Favors enters the game for J. Ingles,,64-75,,
2:16.0,,,64-76,1,D. Green makes free throw 1 of 2
2:16.0,G. Hayward enters the game for J. Cooley,,64-76,,
2:16.0,,,64-77,1,D. Green makes free throw 2 of 2
2:05.0,T. Burke makes 3-pt shot from 26 ft,3,67-77,,
1:53.0,,,67-79,2,D. Green makes 2-pt shot from 1 ft (assist by M. Speights)
1:37.0,Shooting foul by M. Speights (drawn by D. Favors),,67-79,,
1:37.0,D. Favors makes free throw 1 of 2,1,68-79,,
1:37.0,R. Hood enters the game for E. Millsap,,68-79,,
1:37.0,D. Favors makes free throw 2 of 2,1,69-79,,
1:20.0,,,69-79,,Shooting foul by T. Booker (drawn by D. Green)
1:20.0,,,69-80,1,D. Green makes free throw 1 of 2
1:20.0,,,69-81,1,D. Green makes free throw 2 of 2
1:07.0,G. Hayward misses 2-pt shot from 13 ft,,69-81,,
1:06.0,Offensive rebound by D. Favors,,69-81,,
1:06.0,D. Favors makes 2-pt shot from 1 ft,2,71-81,,
0:53.0,,,71-83,2,L. Barbosa makes 2-pt shot from 7 ft (assist by S. Curry)
0:40.0,Turnover by D. Favors (lost ball; steal by D. Green),,71-83,,
0:30.0,,,71-85,2,L. Barbosa makes 2-pt shot from 21 ft (assist by D. Green)
0:11.0,T. Booker makes 2-pt shot at rim (assist by T. Burke),2,73-85,,
0:02.0,,,73-85,,D. Green misses 3-pt shot from 28 ft
0:00.0,,,73-85,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,Turnover by R. Hood (lost ball; steal by L. Barbosa),,73-85,,
11:45.0,,,73-85,,Shooting foul by R. Hood (drawn by L. Barbosa)
11:45.0,,,73-86,1,L. Barbosa makes free throw 1 of 2
11:45.0,,,73-87,1,L. Barbosa makes free throw 2 of 2
11:30.0,R. Hood makes 2-pt shot from 11 ft (assist by G. Hayward),2,75-87,,
11:11.0,,,75-87,,M. Speights misses 2-pt shot from 18 ft
11:10.0,Defensive rebound by D. Favors,,75-87,,
10:47.0,G. Hayward misses 3-pt shot from 26 ft,,75-87,,
10:45.0,,,75-87,,Defensive rebound by H. Barnes
10:38.0,,,75-89,2,H. Barnes makes 2-pt shot from 13 ft
10:20.0,R. Hood makes 2-pt shot from 12 ft (assist by D. Favors),2,77-89,,
9:54.0,,,77-89,,M. Speights misses 2-pt shot from 18 ft
9:53.0,,,77-89,,Offensive rebound by Team
9:53.0,,,77-89,,Turnover by Team (shot clock)
9:53.0,E. Millsap enters the game for R. Gobert,,77-89,,
9:40.0,G. Hayward misses 2-pt shot from 13 ft,,77-89,,
9:39.0,Offensive rebound by D. Favors,,77-89,,
9:24.0,D. Favors misses 2-pt shot from 18 ft,,77-89,,
9:23.0,,,77-89,,Defensive rebound by H. Barnes
9:14.0,,,77-89,,H. Barnes misses 2-pt shot from 14 ft
9:13.0,,,77-89,,Offensive rebound by M. Speights
9:12.0,,,77-89,,M. Speights misses 2-pt shot from 2 ft (block by D. Favors)
9:10.0,Defensive rebound by D. Favors,,77-89,,
9:00.0,D. Favors makes 2-pt shot from 2 ft (assist by T. Burke),2,79-89,,
9:00.0,Shooting foul by M. Speights (drawn by D. Favors),,79-89,,
9:00.0,,,79-89,,A. Bogut enters the game for M. Speights
9:00.0,D. Favors makes free throw 1 of 1,1,80-89,,
8:44.0,,,80-89,,Turnover by A. Iguodala (bad pass; steal by G. Hayward)
8:30.0,T. Burke makes 3-pt shot from 26 ft (assist by G. Hayward),3,83-89,,
8:22.0,,,83-89,,Golden State full timeout
8:22.0,D. Exum enters the game for T. Burke,,83-89,,
8:05.0,,,83-91,2,A. Bogut makes 2-pt shot from 6 ft (assist by S. Livingston)
7:40.0,D. Favors misses 2-pt shot from 3 ft,,83-91,,
7:39.0,,,83-91,,Defensive rebound by S. Livingston
7:34.0,,,83-93,2,S. Livingston makes 2-pt shot from 12 ft
7:08.0,Turnover by E. Millsap (bad pass),,83-93,,
6:51.0,,,83-93,,S. Livingston misses 2-pt shot from 9 ft
6:50.0,,,83-93,,Offensive rebound by A. Bogut
6:50.0,,,83-93,,A. Bogut misses 2-pt shot from 1 ft
6:49.0,Defensive rebound by Team,,83-93,,
6:49.0,T. Booker enters the game for E. Millsap,,83-93,,
6:49.0,T. Burke enters the game for D. Favors,,83-93,,
6:49.0,R. Gobert enters the game for D. Exum,,83-93,,
6:26.0,T. Burke misses 2-pt shot from 23 ft,,83-93,,
6:26.0,,,83-93,,Defensive rebound by Team
6:07.0,,,83-95,2,A. Bogut makes 2-pt shot from 9 ft (assist by S. Livingston)
5:46.0,Turnover by G. Hayward (bad pass; steal by L. Barbosa),,83-95,,
5:42.0,,,83-95,,Shooting foul by T. Booker (drawn by A. Iguodala)
5:42.0,Official timeout,,83-95,,
5:42.0,,,83-95,,A. Iguodala misses free throw 1 of 2
5:42.0,,,83-95,,Offensive rebound by Team
5:42.0,,,83-96,1,A. Iguodala makes free throw 2 of 2
5:24.0,Turnover by T. Booker (bad pass; steal by A. Iguodala),,83-96,,
5:12.0,,,83-96,,H. Barnes misses 3-pt shot from 23 ft
5:11.0,Defensive rebound by T. Booker,,83-96,,
5:04.0,Shooting foul by A. Bogut (drawn by R. Gobert),,83-96,,
5:04.0,R. Gobert makes free throw 1 of 2,1,84-96,,
5:04.0,,,84-96,,S. Curry enters the game for L. Barbosa
5:04.0,R. Gobert makes free throw 2 of 2,1,85-96,,
4:51.0,Violation by G. Hayward (kicked ball),,85-96,,
4:44.0,,,85-96,,Shooting foul by R. Gobert (drawn by A. Iguodala)
4:44.0,,,85-97,1,A. Iguodala makes free throw 1 of 2
4:44.0,,,85-97,,D. Green enters the game for H. Barnes
4:44.0,,,85-97,,A. Iguodala misses free throw 2 of 2
4:43.0,Defensive rebound by T. Booker,,85-97,,
4:32.0,R. Hood misses 3-pt shot from 25 ft,,85-97,,
4:31.0,,,85-97,,Defensive rebound by A. Iguodala
4:11.0,,,85-97,,S. Livingston misses 2-pt shot from 5 ft
4:10.0,Defensive rebound by T. Booker,,85-97,,
4:09.0,,,85-97,,Personal foul by D. Green (drawn by T. Booker)
4:09.0,D. Favors enters the game for T. Booker,,85-97,,
3:51.0,,,85-97,,Personal foul by D. Green (drawn by D. Favors)
3:35.0,T. Burke misses 2-pt shot from 22 ft,,85-97,,
3:34.0,Offensive rebound by R. Gobert,,85-97,,
3:34.0,Shooting foul by A. Bogut (drawn by R. Gobert),,85-97,,
3:34.0,R. Gobert makes free throw 1 of 2,1,86-97,,
3:34.0,R. Gobert misses free throw 2 of 2,,86-97,,
3:33.0,,,86-97,,Defensive rebound by D. Green
3:21.0,,,86-97,,A. Iguodala misses 3-pt shot from 24 ft
3:20.0,,,86-97,,Offensive rebound by Team
3:18.0,,,86-97,,Shooting foul by R. Gobert (drawn by A. Iguodala)
3:18.0,,,86-98,1,A. Iguodala makes free throw 1 of 2
3:18.0,E. Millsap enters the game for R. Hood,,86-98,,
3:18.0,,,86-99,1,A. Iguodala makes free throw 2 of 2
3:01.0,G. Hayward makes 2-pt shot from 16 ft,2,88-99,,
2:48.0,,,88-99,,D. Green misses 2-pt shot from 8 ft
2:47.0,,,88-99,,Offensive rebound by S. Curry
2:43.0,Personal foul by D. Favors (drawn by S. Curry),,88-99,,
2:43.0,Utah full timeout,,88-99,,
2:43.0,,,88-100,1,S. Curry makes free throw 1 of 2
2:43.0,,,88-101,1,S. Curry makes free throw 2 of 2
2:30.0,D. Favors misses 2-pt shot from 13 ft,,88-101,,
2:29.0,,,88-101,,Defensive rebound by A. Iguodala
2:15.0,,,88-101,,S. Curry misses 3-pt shot from 26 ft
2:14.0,Defensive rebound by Team,,88-101,,
2:14.0,T. Booker enters the game for R. Gobert,,88-101,,
2:02.0,E. Millsap misses 2-pt shot from 7 ft (block by A. Bogut),,88-101,,
2:00.0,,,88-101,,Defensive rebound by A. Bogut
1:56.0,,,88-101,,S. Curry misses 2-pt shot from 1 ft
1:55.0,Defensive rebound by D. Favors,,88-101,,
1:49.0,,,88-101,,Personal foul by D. Green (drawn by T. Burke)
1:49.0,T. Burke misses free throw 1 of 2,,88-101,,
1:49.0,Offensive rebound by Team,,88-101,,
1:49.0,J. Ingles enters the game for G. Hayward,,88-101,,
1:49.0,J. Cooley enters the game for D. Favors,,88-101,,
1:49.0,T. Burke makes free throw 2 of 2,1,89-101,,
1:36.0,,,89-104,3,A. Iguodala makes 3-pt shot from 23 ft (assist by D. Green)
1:32.0,Shooting foul by A. Bogut (drawn by J. Cooley),,89-104,,
1:32.0,,,89-104,,H. Barnes enters the game for S. Curry
1:32.0,B. Cotton enters the game for T. Burke,,89-104,,
1:32.0,J. Cooley makes free throw 1 of 2,1,90-104,,
1:32.0,,,90-104,,L. Barbosa enters the game for A. Bogut
1:32.0,J. Cooley makes free throw 2 of 2,1,91-104,,
1:19.0,Personal foul by J. Ingles (drawn by D. Green),,91-104,,
1:19.0,,,91-105,1,D. Green makes free throw 1 of 2
1:19.0,,,91-105,,J. Holiday enters the game for A. Iguodala
1:19.0,,,91-106,1,D. Green makes free throw 2 of 2
1:06.0,T. Booker misses 2-pt shot from 10 ft,,91-106,,
1:05.0,,,91-106,,Defensive rebound by Team
0:42.0,,,91-106,,S. Livingston misses 2-pt shot from 7 ft
0:41.0,Defensive rebound by E. Millsap,,91-106,,
0:25.0,E. Millsap misses 2-pt shot from 23 ft,,91-106,,
0:24.0,,,91-106,,Defensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
