time,Phoenix,pts.away,score,pts.home,Portland
4:02.0,,,17-18,,C. McCollum enters the game for A. Afflalo
4:02.0,,,17-18,,C. Kaman enters the game for R. Lopez
4:02.0,B. Wright enters the game for A. Len,,17-18,,
3:56.0,,,17-18,,Turnover by C. Kaman (lost ball; steal by A. Goodwin)
3:52.0,A. Goodwin misses 2-pt shot at rim,,17-18,,
3:51.0,Offensive rebound by E. Bledsoe,,17-18,,
3:48.0,Turnover by E. Bledsoe (bad pass; steal by C. McCollum),,17-18,,
3:42.0,,,17-18,,Turnover by N. Batum (bad pass; steal by M. Morris)
3:41.0,Turnover by M. Morris (bad pass; steal by C. McCollum),,17-18,,
3:35.0,,,17-21,3,N. Batum makes 3-pt shot from 24 ft (assist by D. Lillard)
3:17.0,M. Morris makes 3-pt shot from 24 ft (assist by E. Bledsoe),3,20-21,,
3:02.0,Personal foul by M. Morris (drawn by L. Aldridge),,20-21,,
3:02.0,,,20-21,,Portland full timeout
3:02.0,,,20-21,,S. Blake enters the game for D. Lillard
2:50.0,,,20-24,3,N. Batum makes 3-pt shot from 23 ft (assist by S. Blake)
2:30.0,M. Morris makes 2-pt shot from 10 ft,2,22-24,,
2:16.0,,,22-24,,L. Aldridge misses 2-pt shot from 21 ft
2:16.0,Defensive rebound by B. Wright,,22-24,,
2:07.0,E. Bledsoe misses 2-pt shot from 14 ft,,22-24,,
2:06.0,,,22-24,,Defensive rebound by L. Aldridge
1:53.0,,,22-26,2,C. Kaman makes 2-pt shot from 1 ft (assist by S. Blake)
1:29.0,B. Wright misses 2-pt shot from 3 ft,,22-26,,
1:27.0,Offensive rebound by B. Wright,,22-26,,
1:23.0,A. Goodwin misses 2-pt shot from 3 ft,,22-26,,
1:22.0,,,22-26,,Defensive rebound by L. Aldridge
1:14.0,,,22-28,2,L. Aldridge makes 2-pt shot from 1 ft (assist by S. Blake)
0:51.0,E. Bledsoe misses 2-pt shot from 3 ft,,22-28,,
0:49.0,,,22-28,,Defensive rebound by C. Kaman
0:44.0,,,22-28,,Turnover by S. Blake (palming)
0:44.0,T. Warren enters the game for E. Bledsoe,,22-28,,
0:44.0,,,22-28,,A. Afflalo enters the game for N. Batum
0:27.0,A. Goodwin misses 3-pt shot from 24 ft,,22-28,,
0:27.0,,,22-28,,Defensive rebound by S. Blake
0:06.0,,,22-31,3,S. Blake makes 3-pt shot from 23 ft (assist by L. Aldridge)
0:00.0,A. Goodwin misses 2-pt shot from 11 ft,,22-31,,
0:00.0,Offensive rebound by Team,,22-31,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,T. Warren makes 2-pt shot from 13 ft (assist by A. Goodwin),2,24-31,,
11:23.0,,,24-31,,C. Kaman misses 2-pt shot from 5 ft
11:23.0,Defensive rebound by B. Wright,,24-31,,
11:09.0,Turnover by A. Goodwin (lost ball; steal by S. Blake),,24-31,,
11:05.0,,,24-31,,C. McCollum misses 2-pt shot from 2 ft
11:03.0,,,24-31,,Offensive rebound by A. Afflalo
11:02.0,,,24-33,2,A. Afflalo makes 2-pt shot from 1 ft
10:49.0,T. Warren misses 2-pt shot from 3 ft (block by C. McCollum),,24-33,,
10:47.0,,,24-33,,Defensive rebound by C. Kaman
10:36.0,,,24-35,2,C. Kaman makes 2-pt shot from 15 ft (assist by C. McCollum)
10:24.0,Turnover by T. Warren (lost ball; steal by C. McCollum),,24-35,,
10:18.0,,,24-35,,Turnover by C. McCollum (lost ball)
10:18.0,A. Price enters the game for B. Wright,,24-35,,
9:56.0,A. Price misses 2-pt shot from 17 ft,,24-35,,
9:55.0,,,24-35,,Defensive rebound by D. Wright
9:44.0,,,24-35,,Shooting foul by P. Tucker (drawn by A. Afflalo)
9:44.0,,,24-36,1,A. Afflalo makes free throw 1 of 2
9:44.0,,,24-37,1,A. Afflalo makes free throw 2 of 2
9:24.0,Turnover by A. Price (bad pass),,24-37,,
9:13.0,Personal foul by P. Tucker (drawn by A. Afflalo),,24-37,,
9:13.0,G. Green enters the game for A. Goodwin,,24-37,,
9:05.0,,,24-37,,C. McCollum misses 3-pt shot from 24 ft
9:05.0,Defensive rebound by G. Green,,24-37,,
8:50.0,G. Green makes 3-pt shot from 24 ft (assist by T. Warren),3,27-37,,
8:26.0,,,27-37,,A. Afflalo misses 2-pt shot at rim
8:26.0,,,27-37,,Offensive rebound by C. Kaman
8:26.0,,,27-39,2,C. Kaman makes 2-pt shot from 10 ft
8:18.0,G. Green misses 2-pt shot from 16 ft,,27-39,,
8:17.0,,,27-39,,Defensive rebound by C. McCollum
8:08.0,,,27-41,2,C. Kaman makes 2-pt shot from 1 ft (assist by C. McCollum)
7:47.0,P. Tucker makes 2-pt shot at rim (assist by A. Price),2,29-41,,
7:35.0,,,29-41,,Turnover by A. Afflalo (offensive foul)
7:35.0,,,29-41,,Offensive foul by A. Afflalo
7:35.0,Official timeout,,29-41,,
7:35.0,,,29-41,,D. Lillard enters the game for C. McCollum
7:35.0,,,29-41,,N. Batum enters the game for A. Afflalo
7:28.0,Turnover by G. Green (lost ball; steal by D. Lillard),,29-41,,
7:22.0,,,29-41,,N. Batum misses 3-pt shot from 24 ft
7:22.0,Defensive rebound by P. Tucker,,29-41,,
7:04.0,G. Green makes 2-pt shot from 16 ft,2,31-41,,
6:39.0,,,31-41,,Turnover by N. Batum (bad pass; steal by G. Green)
6:36.0,G. Green makes 2-pt shot from 1 ft,2,33-41,,
6:19.0,,,33-44,3,D. Wright makes 3-pt shot from 23 ft (assist by D. Lillard)
5:58.0,G. Green misses 3-pt shot from 25 ft,,33-44,,
5:57.0,,,33-44,,Defensive rebound by Team
5:57.0,E. Bledsoe enters the game for T. Warren,,33-44,,
5:57.0,,,33-44,,Portland full timeout
5:57.0,,,33-44,,R. Lopez enters the game for C. Kaman
5:57.0,,,33-44,,L. Aldridge enters the game for S. Blake
5:42.0,,,33-46,2,R. Lopez makes 2-pt shot from 2 ft (assist by D. Lillard)
5:17.0,A. Len misses 2-pt shot from 11 ft,,33-46,,
5:16.0,,,33-46,,Defensive rebound by L. Aldridge
4:57.0,,,33-46,,Turnover by D. Lillard (bad pass)
4:57.0,M. Morris enters the game for A. Price,,33-46,,
4:45.0,G. Green misses 2-pt shot from 16 ft,,33-46,,
4:44.0,,,33-46,,Defensive rebound by D. Lillard
4:33.0,,,33-49,3,L. Aldridge makes 3-pt shot from 24 ft (assist by N. Batum)
4:10.0,M. Morris misses 2-pt shot from 9 ft,,33-49,,
4:09.0,Offensive rebound by P. Tucker,,33-49,,
4:09.0,Shooting foul by R. Lopez (drawn by P. Tucker),,33-49,,
4:09.0,P. Tucker makes free throw 1 of 2,1,34-49,,
4:09.0,P. Tucker makes free throw 2 of 2,1,35-49,,
3:54.0,,,35-51,2,D. Lillard makes 2-pt shot from 1 ft (assist by L. Aldridge)
3:43.0,E. Bledsoe makes 2-pt shot from 16 ft,2,37-51,,
3:34.0,,,37-53,2,R. Lopez makes 2-pt shot from 1 ft (assist by D. Wright)
3:22.0,,,37-53,,Def 3 sec tech foul by R. Lopez
3:22.0,E. Bledsoe misses technical free throw,,37-53,,
3:22.0,Offensive rebound by Team,,37-53,,
3:22.0,,,37-53,,A. Afflalo enters the game for D. Wright
3:22.0,M. Morris enters the game for A. Len,,37-53,,
3:14.0,Turnover by E. Bledsoe (bad pass),,37-53,,
2:55.0,,,37-53,,L. Aldridge misses 2-pt shot from 18 ft
2:55.0,Defensive rebound by P. Tucker,,37-53,,
2:51.0,,,37-53,,Personal foul by D. Lillard (drawn by E. Bledsoe)
2:51.0,Phoenix full timeout,,37-53,,
2:44.0,M. Morris misses 3-pt shot from 24 ft,,37-53,,
2:43.0,,,37-53,,Defensive rebound by A. Afflalo
2:33.0,,,37-53,,R. Lopez misses 2-pt shot from 1 ft
2:31.0,Defensive rebound by P. Tucker,,37-53,,
2:22.0,P. Tucker makes 2-pt shot from 1 ft (assist by M. Morris),2,39-53,,
1:58.0,,,39-53,,Turnover by L. Aldridge (lost ball; steal by E. Bledsoe)
1:55.0,M. Morris makes 2-pt shot at rim (assist by E. Bledsoe),2,41-53,,
1:33.0,,,41-53,,L. Aldridge misses 2-pt shot from 15 ft
1:31.0,Defensive rebound by E. Bledsoe,,41-53,,
1:25.0,M. Morris makes 2-pt shot at rim (assist by E. Bledsoe),2,43-53,,
1:23.0,,,43-53,,Portland full timeout
1:23.0,,,43-53,,D. Wright enters the game for R. Lopez
1:11.0,,,43-55,2,D. Lillard makes 2-pt shot at rim
0:59.0,,,43-55,,Personal foul by N. Batum (drawn by G. Green)
0:48.0,G. Green makes 2-pt shot from 14 ft,2,45-55,,
0:30.0,,,45-55,,D. Wright misses 3-pt shot from 24 ft
0:29.0,Defensive rebound by M. Morris,,45-55,,
0:26.0,M. Morris makes 2-pt shot at rim (assist by M. Morris),2,47-55,,
0:08.0,,,47-55,,N. Batum misses 3-pt shot from 23 ft
0:07.0,Defensive rebound by M. Morris,,47-55,,
0:04.0,G. Green makes 2-pt shot at rim (assist by E. Bledsoe),2,49-55,,
0:00.0,,,49-55,,L. Aldridge misses 3-pt shot from 23 ft
0:00.0,,,49-55,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:35.0,A. Len misses 2-pt shot from 2 ft (block by R. Lopez),,49-55,,
11:34.0,,,49-55,,Defensive rebound by D. Lillard
11:28.0,,,49-57,2,D. Lillard makes 2-pt shot from 20 ft
11:14.0,M. Morris misses 2-pt shot from 16 ft,,49-57,,
11:13.0,,,49-57,,Defensive rebound by N. Batum
10:56.0,,,49-59,2,N. Batum makes 2-pt shot from 19 ft
10:36.0,Turnover by E. Bledsoe (palming),,49-59,,
10:36.0,Technical foul by E. Bledsoe,,49-59,,
10:36.0,,,49-60,1,D. Lillard makes technical free throw
10:21.0,,,49-62,2,A. Afflalo makes 2-pt shot from 15 ft (assist by N. Batum)
10:06.0,M. Morris misses 2-pt shot from 19 ft,,49-62,,
10:05.0,,,49-62,,Defensive rebound by N. Batum
9:58.0,,,49-62,,D. Lillard misses 3-pt shot from 24 ft
9:56.0,Defensive rebound by A. Len,,49-62,,
9:54.0,Shooting foul by D. Lillard (drawn by E. Bledsoe),,49-62,,
9:54.0,E. Bledsoe makes free throw 1 of 2,1,50-62,,
9:54.0,G. Green enters the game for A. Len,,50-62,,
9:54.0,E. Bledsoe makes free throw 2 of 2,1,51-62,,
9:33.0,,,51-62,,L. Aldridge misses 2-pt shot from 19 ft
9:32.0,Defensive rebound by P. Tucker,,51-62,,
9:26.0,E. Bledsoe makes 2-pt shot from 1 ft,2,53-62,,
9:08.0,,,53-65,3,D. Lillard makes 3-pt shot from 25 ft
8:59.0,P. Tucker misses 3-pt shot from 24 ft,,53-65,,
8:58.0,,,53-65,,Defensive rebound by R. Lopez
8:52.0,Personal foul by E. Bledsoe (drawn by D. Lillard),,53-65,,
8:52.0,,,53-66,1,D. Lillard makes free throw 1 of 3
8:52.0,,,53-67,1,D. Lillard makes free throw 2 of 3
8:52.0,,,53-67,,D. Lillard misses free throw 3 of 3
8:51.0,Defensive rebound by P. Tucker,,53-67,,
8:41.0,M. Morris misses 3-pt shot from 24 ft,,53-67,,
8:40.0,,,53-67,,Defensive rebound by R. Lopez
8:30.0,,,53-69,2,A. Afflalo makes 2-pt shot from 17 ft
8:15.0,M. Morris misses 2-pt shot from 1 ft,,53-69,,
8:13.0,,,53-69,,Defensive rebound by R. Lopez
8:07.0,,,53-72,3,N. Batum makes 3-pt shot from 24 ft (assist by D. Lillard)
8:07.0,Phoenix full timeout,,53-72,,
7:54.0,P. Tucker misses 2-pt shot from 1 ft,,53-72,,
7:52.0,Offensive rebound by P. Tucker,,53-72,,
7:52.0,P. Tucker makes 2-pt shot at rim,2,55-72,,
7:35.0,,,55-75,3,A. Afflalo makes 3-pt shot from 24 ft (assist by N. Batum)
7:20.0,G. Green misses 3-pt shot from 24 ft,,55-75,,
7:20.0,,,55-75,,Defensive rebound by D. Lillard
7:04.0,,,55-75,,A. Afflalo misses 2-pt shot from 23 ft
7:03.0,Defensive rebound by E. Bledsoe,,55-75,,
6:58.0,E. Bledsoe misses 2-pt shot from 19 ft,,55-75,,
6:57.0,,,55-75,,Defensive rebound by D. Lillard
6:46.0,,,55-77,2,L. Aldridge makes 2-pt shot at rim (assist by D. Lillard)
6:17.0,P. Tucker misses 2-pt shot from 2 ft (block by A. Afflalo),,55-77,,
6:13.0,Offensive rebound by Team,,55-77,,
6:07.0,E. Bledsoe makes 2-pt shot from 2 ft (assist by P. Tucker),2,57-77,,
5:43.0,,,57-79,2,L. Aldridge makes 2-pt shot from 21 ft
5:36.0,M. Morris makes 2-pt shot from 2 ft (assist by E. Bledsoe),2,59-79,,
5:26.0,,,59-81,2,R. Lopez makes 2-pt shot from 4 ft (assist by N. Batum)
5:09.0,P. Tucker makes 2-pt shot from 20 ft,2,61-81,,
4:54.0,,,61-81,,Shooting foul by M. Morris (drawn by L. Aldridge)
4:54.0,,,61-82,1,L. Aldridge makes free throw 1 of 2
4:54.0,A. Len enters the game for M. Morris,,61-82,,
4:54.0,,,61-82,,C. Kaman enters the game for R. Lopez
4:54.0,,,61-83,1,L. Aldridge makes free throw 2 of 2
4:38.0,E. Bledsoe misses 2-pt shot from 14 ft,,61-83,,
4:37.0,,,61-83,,Defensive rebound by C. Kaman
4:17.0,,,61-86,3,N. Batum makes 3-pt shot from 23 ft (assist by D. Lillard)
4:05.0,G. Green misses 2-pt shot from 11 ft,,61-86,,
4:04.0,,,61-86,,Defensive rebound by L. Aldridge
3:49.0,,,61-86,,Shooting foul by A. Len (drawn by L. Aldridge)
3:49.0,,,61-87,1,L. Aldridge makes free throw 1 of 2
3:49.0,,,61-88,1,L. Aldridge makes free throw 2 of 2
3:33.0,P. Tucker misses 3-pt shot from 22 ft,,61-88,,
3:33.0,,,61-88,,Defensive rebound by C. Kaman
3:11.0,,,61-90,2,C. Kaman makes 2-pt shot from 7 ft
2:55.0,Turnover by G. Green (step out of bounds),,61-90,,
2:55.0,,,61-90,,Portland full timeout
2:55.0,A. Price enters the game for P. Tucker,,61-90,,
2:55.0,T. Warren enters the game for E. Bledsoe,,61-90,,
2:55.0,,,61-90,,C. McCollum enters the game for N. Batum
2:55.0,,,61-90,,D. Wright enters the game for A. Afflalo
2:32.0,,,61-90,,L. Aldridge misses 2-pt shot from 8 ft
2:31.0,Defensive rebound by M. Morris,,61-90,,
2:14.0,G. Green makes 2-pt shot from 15 ft (assist by A. Price),2,63-90,,
1:56.0,,,63-90,,L. Aldridge misses 2-pt shot from 5 ft
1:54.0,,,63-90,,Offensive rebound by C. McCollum
1:41.0,,,63-90,,D. Lillard misses 2-pt shot from 1 ft
1:40.0,Defensive rebound by A. Price,,63-90,,
1:27.0,A. Price misses 3-pt shot from 22 ft,,63-90,,
1:26.0,,,63-90,,Defensive rebound by L. Aldridge
1:10.0,,,63-90,,D. Lillard misses 2-pt shot from 18 ft
1:10.0,Defensive rebound by M. Morris,,63-90,,
1:00.0,G. Green misses 2-pt shot from 15 ft,,63-90,,
1:00.0,,,63-90,,Defensive rebound by C. Kaman
0:54.0,,,63-90,,D. Wright misses 2-pt shot from 1 ft
0:52.0,Defensive rebound by G. Green,,63-90,,
0:44.0,Turnover by T. Warren (step out of bounds),,63-90,,
0:32.0,,,63-92,2,D. Lillard makes 2-pt shot from 1 ft
0:23.0,A. Len makes 2-pt shot from 3 ft (assist by A. Price),2,65-92,,
0:06.0,Personal take foul by A. Price (drawn by D. Lillard),,65-92,,
0:01.0,,,65-92,,D. Lillard misses 3-pt shot from 25 ft
0:00.0,,,65-92,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,65-94,2,C. Kaman makes 2-pt shot from 3 ft (assist by S. Blake)
11:29.0,A. Len misses 2-pt shot from 4 ft (block by C. Kaman),,65-94,,
11:28.0,,,65-94,,Defensive rebound by C. McCollum
11:19.0,,,65-94,,C. McCollum misses 3-pt shot from 24 ft (block by T. Warren)
11:18.0,,,65-94,,Offensive rebound by C. McCollum
11:17.0,,,65-96,2,C. McCollum makes 2-pt shot from 1 ft
11:02.0,B. Wright misses 2-pt shot from 4 ft,,65-96,,
10:59.0,,,65-96,,Defensive rebound by C. Kaman
10:51.0,,,65-96,,C. McCollum misses 3-pt shot from 24 ft
10:50.0,Defensive rebound by R. Bullock,,65-96,,
10:42.0,A. Price makes 2-pt shot from 17 ft,2,67-96,,
10:34.0,E. Barron enters the game for A. Len,,67-96,,
10:34.0,,,67-96,,J. Freeland enters the game for C. Kaman
10:18.0,,,67-96,,S. Blake misses 3-pt shot from 25 ft (block by T. Warren)
10:18.0,Defensive rebound by R. Bullock,,67-96,,
10:03.0,T. Warren misses 2-pt shot from 1 ft (block by M. Leonard),,67-96,,
10:01.0,Offensive rebound by T. Warren,,67-96,,
10:01.0,T. Warren makes 2-pt shot at rim,2,69-96,,
10:01.0,Shooting foul by M. Leonard (drawn by T. Warren),,69-96,,
10:01.0,,,69-96,,A. Crabbe enters the game for D. Wright
10:01.0,T. Warren makes free throw 1 of 1,1,70-96,,
9:46.0,,,70-96,,J. Freeland misses 2-pt shot from 18 ft
9:46.0,,,70-96,,Offensive rebound by Team
9:46.0,Loose ball foul by E. Barron (drawn by M. Leonard),,70-96,,
9:37.0,,,70-96,,Turnover by C. McCollum (bad pass; steal by T. Warren)
9:26.0,R. Bullock misses 3-pt shot from 24 ft,,70-96,,
9:24.0,Offensive rebound by B. Wright,,70-96,,
9:13.0,T. Warren makes 2-pt shot from 5 ft (assist by A. Price),2,72-96,,
9:13.0,,,72-96,,Portland full timeout
8:58.0,,,72-96,,A. Crabbe misses 2-pt shot from 20 ft
8:57.0,Defensive rebound by R. Bullock,,72-96,,
8:40.0,R. Bullock misses 2-pt shot from 5 ft,,72-96,,
8:40.0,,,72-96,,Defensive rebound by M. Leonard
8:20.0,,,72-98,2,J. Freeland makes 2-pt shot from 7 ft
8:00.0,E. Barron misses 2-pt shot from 19 ft,,72-98,,
7:59.0,,,72-98,,Defensive rebound by S. Blake
7:51.0,,,72-101,3,M. Leonard makes 3-pt shot from 24 ft (assist by S. Blake)
7:38.0,Shooting foul by M. Leonard (drawn by B. Wright),,72-101,,
7:38.0,B. Wright makes free throw 1 of 2,1,73-101,,
7:38.0,A. Goodwin enters the game for A. Price,,73-101,,
7:38.0,B. Wright makes free throw 2 of 2,1,74-101,,
7:21.0,,,74-103,2,J. Freeland makes 2-pt shot at rim
7:02.0,A. Goodwin makes 2-pt shot from 8 ft,2,76-103,,
6:40.0,,,76-103,,S. Blake misses 3-pt shot from 24 ft
6:39.0,,,76-103,,Offensive rebound by M. Leonard
6:39.0,,,76-103,,Turnover by M. Leonard (step out of bounds)
6:39.0,,,76-103,,A. Gee enters the game for S. Blake
6:26.0,R. Bullock misses 2-pt shot from 21 ft,,76-103,,
6:25.0,,,76-103,,Defensive rebound by A. Crabbe
6:10.0,,,76-103,,Turnover by J. Freeland (bad pass)
5:55.0,T. Warren makes 2-pt shot from 11 ft,2,78-103,,
5:35.0,Personal foul by T. Warren (drawn by A. Crabbe),,78-103,,
5:35.0,Official timeout,,78-103,,
5:28.0,,,78-105,2,C. McCollum makes 2-pt shot from 23 ft (assist by M. Leonard)
5:11.0,E. Barron misses 2-pt shot from 19 ft,,78-105,,
5:10.0,,,78-105,,Defensive rebound by M. Leonard
5:00.0,,,78-105,,J. Freeland misses 2-pt shot from 4 ft
5:00.0,Defensive rebound by E. Barron,,78-105,,
4:42.0,T. Warren makes 2-pt shot from 3 ft,2,80-105,,
4:22.0,Personal foul by T. Warren (drawn by J. Freeland),,80-105,,
4:20.0,,,80-105,,Turnover by A. Gee (bad pass; steal by A. Goodwin)
4:20.0,,,80-105,,Personal foul by C. McCollum (drawn by A. Goodwin)
4:02.0,B. Wright misses 2-pt shot from 5 ft,,80-105,,
4:02.0,,,80-105,,Defensive rebound by J. Freeland
3:50.0,,,80-107,2,M. Leonard makes 2-pt shot from 1 ft (assist by C. McCollum)
3:26.0,B. Wright makes 2-pt shot from 15 ft (assist by A. Goodwin),2,82-107,,
3:08.0,,,82-107,,C. McCollum misses 2-pt shot from 18 ft
3:06.0,,,82-107,,Offensive rebound by J. Freeland
3:06.0,,,82-107,,J. Freeland misses 2-pt shot from 1 ft
3:05.0,Defensive rebound by E. Barron,,82-107,,
2:50.0,A. Goodwin makes 2-pt shot from 20 ft (assist by B. Wright),2,84-107,,
2:24.0,,,84-107,,A. Crabbe misses 3-pt shot from 24 ft
2:23.0,Defensive rebound by Team,,84-107,,
2:23.0,Phoenix full timeout,,84-107,,
2:05.0,Shooting foul by A. Crabbe (drawn by B. Wright),,84-107,,
2:05.0,B. Wright misses free throw 1 of 2,,84-107,,
2:05.0,Offensive rebound by Team,,84-107,,
2:05.0,B. Wright misses free throw 2 of 2,,84-107,,
2:04.0,,,84-107,,Defensive rebound by M. Leonard
1:43.0,,,84-107,,Turnover by C. McCollum (bad pass)
1:33.0,R. Bullock misses 3-pt shot from 24 ft,,84-107,,
1:32.0,Offensive rebound by B. Wright,,84-107,,
1:23.0,A. Goodwin misses 2-pt shot from 6 ft,,84-107,,
1:22.0,,,84-107,,Defensive rebound by J. Freeland
1:11.0,,,84-109,2,A. Crabbe makes 2-pt shot from 1 ft
1:03.0,T. Warren makes 2-pt shot from 8 ft (assist by B. Wright),2,86-109,,
0:48.0,,,86-109,,Offensive charge foul by C. McCollum
0:48.0,,,86-109,,Turnover by C. McCollum (offensive foul)
0:39.0,R. Bullock misses 3-pt shot from 24 ft,,86-109,,
0:38.0,,,86-109,,Defensive rebound by A. Crabbe
0:27.0,,,86-109,,M. Leonard misses 2-pt shot from 6 ft
0:24.0,Defensive rebound by B. Wright,,86-109,,
0:14.0,T. Warren misses 2-pt shot from 1 ft,,86-109,,
0:11.0,,,86-109,,Defensive rebound by A. Crabbe
0:00.0,End of 4th quarter,,,,End of 4th quarter
