time,Houston,pts.away,score,pts.home,LA Clippers
8:03.0,Shooting foul by B. Griffin (drawn by T. Jones),,8-5,,
8:03.0,T. Jones misses free throw 1 of 2,,8-5,,
8:03.0,Offensive rebound by Team,,8-5,,
8:03.0,T. Jones misses free throw 2 of 2,,8-5,,
8:02.0,,,8-5,,Defensive rebound by D. Jordan
7:42.0,,,8-7,2,B. Griffin makes 2-pt shot from 5 ft
7:11.0,Turnover by J. Smith (lost ball),,8-7,,
7:11.0,,,8-7,,D. Jordan misses 2-pt shot from 4 ft
7:11.0,Defensive rebound by Team,,8-7,,
6:51.0,Turnover by T. Jones (3 sec),,8-7,,
6:51.0,,,8-7,,J. Crawford enters the game for M. Barnes
6:39.0,,,8-9,2,C. Paul makes 2-pt shot from 3 ft
6:28.0,J. Terry makes 2-pt shot from 3 ft,2,10-9,,
6:17.0,,,10-11,2,D. Jordan makes 2-pt shot from 3 ft (assist by C. Paul)
5:56.0,T. Jones makes 2-pt shot from 3 ft (assist by J. Smith),2,12-11,,
5:37.0,Personal foul by J. Harden (drawn by B. Griffin),,12-11,,
5:37.0,,,12-11,,LA Clippers full timeout
5:37.0,,,12-11,,A. Rivers enters the game for C. Paul
5:34.0,Personal take foul by J. Smith (drawn by D. Jordan),,12-11,,
5:34.0,,,12-12,1,D. Jordan makes free throw 1 of 2
5:34.0,,,12-13,1,D. Jordan makes free throw 2 of 2
5:21.0,Shooting foul by A. Rivers (drawn by J. Harden),,12-13,,
5:21.0,J. Harden makes free throw 1 of 2,1,13-13,,
5:21.0,C. Capela enters the game for T. Jones,,13-13,,
5:21.0,J. Harden makes free throw 2 of 2,1,14-13,,
5:21.0,Personal foul by C. Capela (drawn by D. Jordan),,14-13,,
5:21.0,,,14-13,,D. Jordan misses free throw 1 of 2
5:21.0,,,14-13,,Offensive rebound by Team
5:21.0,,,14-13,,D. Jordan misses free throw 2 of 2
5:19.0,Defensive rebound by C. Capela,,14-13,,
5:05.0,J. Harden makes 3-pt shot from 26 ft,3,17-13,,
4:58.0,Personal take foul by C. Capela (drawn by D. Jordan),,17-13,,
4:58.0,,,17-13,,D. Jordan misses free throw 1 of 2
4:58.0,,,17-13,,Offensive rebound by Team
4:58.0,,,17-14,1,D. Jordan makes free throw 2 of 2
4:49.0,,,17-14,,Personal foul by J. Redick (drawn by J. Harden)
4:37.0,J. Terry misses 2-pt shot from 8 ft,,17-14,,
4:35.0,Offensive rebound by C. Capela,,17-14,,
4:35.0,C. Capela makes 2-pt shot at rim,2,19-14,,
4:29.0,Personal take foul by C. Capela (drawn by D. Jordan),,19-14,,
4:29.0,,,19-14,,D. Jordan misses free throw 1 of 2
4:29.0,,,19-14,,Offensive rebound by Team
4:29.0,,,19-15,1,D. Jordan makes free throw 2 of 2
4:14.0,C. Capela misses 2-pt shot from 2 ft,,19-15,,
4:11.0,,,19-15,,Defensive rebound by D. Jordan
4:01.0,,,19-17,2,B. Griffin makes 2-pt shot from 3 ft (assist by J. Redick)
3:46.0,T. Ariza makes 3-pt shot from 24 ft (assist by J. Smith),3,22-17,,
3:40.0,,,22-17,,Turnover by B. Griffin (lost ball; steal by J. Smith)
3:35.0,T. Ariza makes 3-pt shot from 27 ft (assist by J. Terry),3,25-17,,
3:33.0,Personal foul by C. Capela (drawn by D. Jordan),,25-17,,
3:33.0,,,25-18,1,D. Jordan makes free throw 1 of 2
3:33.0,,,25-18,,C. Paul enters the game for J. Redick
3:33.0,J. Dorsey enters the game for C. Capela,,25-18,,
3:33.0,,,25-19,1,D. Jordan makes free throw 2 of 2
3:10.0,T. Ariza misses 3-pt shot from 24 ft,,25-19,,
3:09.0,,,25-19,,Defensive rebound by C. Paul
3:03.0,Personal take foul by J. Dorsey (drawn by D. Jordan),,25-19,,
3:03.0,,,25-19,,D. Jordan misses free throw 1 of 2
3:03.0,,,25-19,,Offensive rebound by Team
3:03.0,P. Prigioni enters the game for J. Terry,,25-19,,
3:03.0,C. Brewer enters the game for T. Ariza,,25-19,,
3:03.0,,,25-20,1,D. Jordan makes free throw 2 of 2
3:02.0,,,25-20,,Personal take foul by J. Crawford (drawn by C. Brewer)
3:02.0,,,25-20,,S. Hawes enters the game for D. Jordan
3:02.0,T. Jones enters the game for J. Dorsey,,25-20,,
2:45.0,C. Brewer misses 2-pt shot from 3 ft,,25-20,,
2:44.0,,,25-20,,Defensive rebound by B. Griffin
2:35.0,Personal foul by P. Prigioni (drawn by S. Hawes),,25-20,,
2:35.0,Houston full timeout,,25-20,,
2:35.0,,,25-21,1,S. Hawes makes free throw 1 of 2
2:35.0,,,25-22,1,S. Hawes makes free throw 2 of 2
2:22.0,J. Harden makes 2-pt shot from 14 ft,2,27-22,,
2:04.0,,,27-25,3,S. Hawes makes 3-pt shot from 25 ft (assist by C. Paul)
1:47.0,T. Jones makes 2-pt shot from 3 ft (assist by J. Harden),2,29-25,,
1:26.0,,,29-28,3,C. Paul makes 3-pt shot from 27 ft
1:06.0,J. Smith misses 2-pt shot from 13 ft,,29-28,,
1:05.0,Offensive rebound by T. Jones,,29-28,,
0:58.0,P. Prigioni misses 2-pt shot from 19 ft,,29-28,,
0:57.0,,,29-28,,Defensive rebound by S. Hawes
0:38.0,,,29-28,,A. Rivers misses 2-pt shot from 4 ft
0:36.0,Defensive rebound by J. Smith,,29-28,,
0:33.0,,,29-28,,Personal foul by C. Paul (drawn by J. Smith)
0:33.0,J. Smith misses free throw 1 of 2,,29-28,,
0:33.0,Offensive rebound by Team,,29-28,,
0:33.0,,,29-28,,M. Barnes enters the game for C. Paul
0:33.0,J. Smith makes free throw 2 of 2,1,30-28,,
0:13.0,,,30-30,2,J. Crawford makes 2-pt shot from 3 ft
0:06.0,J. Harden makes 3-pt shot from 26 ft,3,33-30,,
0:01.0,,,33-30,,J. Crawford misses 3-pt shot from 41 ft
0:00.0,,,33-30,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:36.0,D. Howard makes 2-pt shot from 3 ft,2,35-30,,
11:21.0,,,35-30,,G. Davis misses 2-pt shot from 2 ft (block by J. Smith)
11:19.0,Defensive rebound by T. Ariza,,35-30,,
11:07.0,Shooting foul by S. Hawes (drawn by D. Howard),,35-30,,
11:07.0,D. Howard misses free throw 1 of 2,,35-30,,
11:07.0,Offensive rebound by Team,,35-30,,
11:07.0,,,35-30,,D. Jordan enters the game for S. Hawes
11:07.0,D. Howard misses free throw 2 of 2,,35-30,,
11:05.0,,,35-30,,Defensive rebound by A. Rivers
10:45.0,,,35-30,,Turnover by J. Crawford (bad pass)
10:35.0,Shooting foul by M. Barnes (drawn by J. Smith),,35-30,,
10:35.0,J. Smith misses free throw 1 of 2,,35-30,,
10:35.0,Offensive rebound by Team,,35-30,,
10:35.0,J. Smith misses free throw 2 of 2,,35-30,,
10:34.0,Offensive rebound by D. Howard,,35-30,,
10:34.0,D. Howard makes 2-pt shot at rim,2,37-30,,
10:23.0,Personal foul by J. Smith (drawn by D. Jordan),,37-30,,
10:21.0,Personal foul by C. Brewer (drawn by D. Jordan),,37-30,,
10:08.0,,,37-30,,J. Crawford misses 2-pt shot from 19 ft
10:07.0,,,37-30,,Offensive rebound by M. Barnes
9:59.0,,,37-33,3,A. Rivers makes 3-pt shot from 26 ft (assist by D. Jordan)
9:48.0,Turnover by J. Smith (bad pass; steal by D. Jordan),,37-33,,
9:45.0,,,37-35,2,A. Rivers makes 2-pt shot from 2 ft (assist by D. Jordan)
9:35.0,J. Smith misses 2-pt shot from 5 ft,,37-35,,
9:31.0,,,37-35,,Defensive rebound by D. Jordan
9:27.0,,,37-38,3,J. Crawford makes 3-pt shot from 26 ft (assist by M. Barnes)
9:27.0,Houston full timeout,,37-38,,
9:27.0,T. Jones enters the game for J. Smith,,37-38,,
9:10.0,Shooting foul by D. Jordan (drawn by D. Howard),,37-38,,
9:10.0,D. Howard misses free throw 1 of 2,,37-38,,
9:10.0,Offensive rebound by Team,,37-38,,
9:10.0,D. Howard misses free throw 2 of 2,,37-38,,
9:08.0,,,37-38,,Defensive rebound by M. Barnes
8:53.0,,,37-40,2,A. Rivers makes 2-pt shot from 3 ft
8:39.0,C. Brewer misses 3-pt shot from 25 ft,,37-40,,
8:38.0,,,37-40,,Defensive rebound by A. Rivers
8:30.0,,,37-40,,J. Crawford misses 3-pt shot from 27 ft
8:29.0,,,37-40,,Offensive rebound by Team
8:28.0,J. Harden enters the game for C. Brewer,,37-40,,
8:19.0,,,37-40,,Shooting foul by D. Howard (drawn by M. Barnes)
8:19.0,,,37-41,1,M. Barnes makes free throw 1 of 2
8:19.0,,,37-41,,J. Redick enters the game for J. Crawford
8:19.0,,,37-41,,B. Griffin enters the game for G. Davis
8:19.0,C. Brewer enters the game for D. Howard,,37-41,,
8:19.0,J. Terry enters the game for P. Prigioni,,37-41,,
8:19.0,,,37-41,,M. Barnes misses free throw 2 of 2
8:17.0,Defensive rebound by T. Ariza,,37-41,,
8:05.0,J. Harden misses 2-pt shot from 17 ft,,37-41,,
8:02.0,,,37-41,,Defensive rebound by D. Jordan
7:52.0,Personal foul by J. Harden (drawn by J. Redick),,37-41,,
7:48.0,,,37-41,,M. Barnes misses 2-pt shot from 2 ft
7:46.0,Defensive rebound by J. Harden,,37-41,,
7:40.0,T. Jones misses 2-pt shot from 4 ft,,37-41,,
7:37.0,,,37-41,,Defensive rebound by B. Griffin
7:30.0,,,37-41,,A. Rivers misses 2-pt shot from 5 ft
7:29.0,Defensive rebound by T. Jones,,37-41,,
7:13.0,T. Ariza misses 3-pt shot from 26 ft,,37-41,,
7:12.0,,,37-41,,Defensive rebound by M. Barnes
7:10.0,,,37-41,,C. Paul enters the game for A. Rivers
7:05.0,Personal take foul by T. Jones (drawn by D. Jordan),,37-41,,
7:05.0,,,37-41,,D. Jordan misses free throw 1 of 2
7:05.0,,,37-41,,Offensive rebound by Team
7:05.0,,,37-42,1,D. Jordan makes free throw 2 of 2
6:51.0,C. Brewer makes 2-pt shot from 3 ft (assist by J. Harden),2,39-42,,
6:40.0,,,39-42,,M. Barnes misses 3-pt shot from 26 ft
6:39.0,Defensive rebound by T. Ariza,,39-42,,
6:36.0,Turnover by T. Ariza (bad pass; steal by D. Jordan),,39-42,,
6:30.0,,,39-42,,J. Redick misses 3-pt shot from 26 ft
6:29.0,Defensive rebound by J. Harden,,39-42,,
6:24.0,T. Ariza makes 2-pt shot from 2 ft (assist by C. Brewer),2,41-42,,
6:11.0,,,41-42,,Shooting foul by T. Jones (drawn by M. Barnes)
6:11.0,,,41-43,1,M. Barnes makes free throw 1 of 2
6:11.0,,,41-44,1,M. Barnes makes free throw 2 of 2
5:56.0,J. Terry makes 3-pt shot from 25 ft,3,44-44,,
5:51.0,Personal foul by T. Ariza (drawn by B. Griffin),,44-44,,
5:51.0,Official timeout,,44-44,,
5:51.0,,,44-45,1,B. Griffin makes free throw 1 of 2
5:51.0,,,44-46,1,B. Griffin makes free throw 2 of 2
5:26.0,Turnover by Team (shot clock),,44-46,,
5:24.0,Personal take foul by C. Brewer (drawn by D. Jordan),,44-46,,
5:24.0,,,44-46,,D. Jordan misses free throw 1 of 2
5:24.0,,,44-46,,Offensive rebound by Team
5:24.0,,,44-46,,D. Jordan misses free throw 2 of 2
5:20.0,Defensive rebound by J. Harden,,44-46,,
5:14.0,C. Brewer makes 2-pt shot from 2 ft (assist by T. Ariza),2,46-46,,
5:14.0,Shooting foul by B. Griffin (drawn by C. Brewer),,46-46,,
5:14.0,K. Papanikolaou enters the game for T. Jones,,46-46,,
5:14.0,,,46-46,,J. Crawford enters the game for D. Jordan
5:14.0,C. Brewer misses free throw 1 of 1,,46-46,,
5:13.0,,,46-46,,Defensive rebound by M. Barnes
4:55.0,,,46-46,,Shooting foul by K. Papanikolaou (drawn by C. Paul)
4:55.0,,,46-46,,C. Paul misses free throw 1 of 2
4:55.0,,,46-46,,Offensive rebound by Team
4:55.0,T. Jones enters the game for K. Papanikolaou,,46-46,,
4:55.0,,,46-46,,D. Jordan enters the game for J. Crawford
4:55.0,,,46-47,1,C. Paul makes free throw 2 of 2
4:41.0,J. Harden misses 2-pt shot from 20 ft,,46-47,,
4:40.0,,,46-47,,Defensive rebound by M. Barnes
4:36.0,,,46-47,,Turnover by J. Redick (bad pass; steal by T. Ariza)
4:30.0,J. Terry makes 3-pt shot from 26 ft (assist by J. Harden),3,49-47,,
4:26.0,,,49-47,,LA Clippers full timeout
4:26.0,K. Papanikolaou enters the game for T. Jones,,49-47,,
4:25.0,Personal take foul by K. Papanikolaou (drawn by D. Jordan),,49-47,,
4:25.0,,,49-47,,D. Jordan misses free throw 1 of 2
4:25.0,,,49-47,,Offensive rebound by Team
4:25.0,,,49-48,1,D. Jordan makes free throw 2 of 2
4:05.0,C. Brewer misses 2-pt shot at rim,,49-48,,
4:04.0,,,49-48,,Defensive rebound by B. Griffin
4:01.0,Personal take foul by K. Papanikolaou (drawn by D. Jordan),,49-48,,
4:01.0,,,49-48,,D. Jordan misses free throw 1 of 2
4:01.0,,,49-48,,Offensive rebound by Team
4:01.0,,,49-48,,D. Jordan misses free throw 2 of 2
3:59.0,Defensive rebound by T. Ariza,,49-48,,
3:53.0,C. Brewer misses 3-pt shot from 24 ft,,49-48,,
3:52.0,,,49-48,,Defensive rebound by B. Griffin
3:47.0,Personal take foul by K. Papanikolaou (drawn by D. Jordan),,49-48,,
3:47.0,,,49-49,1,D. Jordan makes free throw 1 of 2
3:47.0,,,49-49,,J. Crawford enters the game for M. Barnes
3:47.0,T. Jones enters the game for K. Papanikolaou,,49-49,,
3:47.0,,,49-49,,D. Jordan misses free throw 2 of 2
3:45.0,Defensive rebound by J. Harden,,49-49,,
3:22.0,C. Brewer misses 2-pt shot from 1 ft (block by D. Jordan),,49-49,,
3:21.0,,,49-49,,Defensive rebound by D. Jordan
3:21.0,Personal take foul by J. Terry (drawn by D. Jordan),,49-49,,
3:21.0,,,49-49,,D. Jordan misses free throw 1 of 2
3:21.0,,,49-49,,Offensive rebound by Team
3:21.0,,,49-49,,D. Jordan misses free throw 2 of 2
3:20.0,Defensive rebound by J. Harden,,49-49,,
3:09.0,J. Harden misses 3-pt shot from 26 ft,,49-49,,
3:08.0,Offensive rebound by T. Jones,,49-49,,
3:05.0,J. Terry misses 3-pt shot from 26 ft,,49-49,,
3:04.0,,,49-49,,Defensive rebound by D. Jordan
2:59.0,,,49-51,2,B. Griffin makes 2-pt shot from 3 ft (assist by C. Paul)
2:39.0,J. Harden misses 2-pt shot from 17 ft,,49-51,,
2:37.0,,,49-51,,Defensive rebound by D. Jordan
2:30.0,,,49-51,,Shooting foul by C. Brewer (drawn by J. Crawford)
2:30.0,,,49-52,1,J. Crawford makes free throw 1 of 3
2:30.0,,,49-53,1,J. Crawford makes free throw 2 of 3
2:30.0,,,49-54,1,J. Crawford makes free throw 3 of 3
2:15.0,Turnover by T. Ariza (lost ball),,49-54,,
2:07.0,,,49-54,,J. Crawford misses 3-pt shot from 26 ft
2:03.0,Defensive rebound by T. Ariza,,49-54,,
1:55.0,T. Ariza misses 3-pt shot from 26 ft,,49-54,,
1:54.0,,,49-54,,Defensive rebound by D. Jordan
1:46.0,,,49-54,,J. Redick misses 3-pt shot from 26 ft
1:44.0,Defensive rebound by T. Jones,,49-54,,
1:33.0,T. Jones misses 2-pt shot from 2 ft (block by J. Crawford),,49-54,,
1:31.0,,,49-54,,Defensive rebound by B. Griffin
1:27.0,,,49-56,2,B. Griffin makes 2-pt shot from 3 ft (assist by C. Paul)
1:25.0,Houston full timeout,,49-56,,
1:25.0,,,49-56,,A. Rivers enters the game for B. Griffin
1:25.0,Violation by Team (delay of game),,49-56,,
1:15.0,Turnover by J. Terry (bad pass),,49-56,,
1:15.0,,,49-56,,LA Clippers full timeout
1:15.0,,,49-56,,B. Griffin enters the game for D. Jordan
1:03.0,,,49-56,,C. Paul misses 2-pt shot from 18 ft
1:00.0,Defensive rebound by T. Ariza,,49-56,,
0:57.0,Turnover by J. Harden (bad pass),,49-56,,
0:46.0,,,49-58,2,B. Griffin makes 2-pt shot from 1 ft (assist by C. Paul)
0:37.0,T. Jones makes 2-pt shot at rim (assist by J. Harden),2,51-58,,
0:30.0,Personal block foul by J. Terry (drawn by C. Paul),,51-58,,
0:30.0,,,51-59,1,C. Paul makes free throw 1 of 2
0:30.0,P. Prigioni enters the game for J. Terry,,51-59,,
0:30.0,,,51-59,,D. Jordan enters the game for B. Griffin
0:30.0,,,51-60,1,C. Paul makes free throw 2 of 2
0:11.0,T. Ariza makes 3-pt shot from 25 ft (assist by C. Brewer),3,54-60,,
0:09.0,Personal take foul by T. Ariza (drawn by D. Jordan),,54-60,,
0:09.0,,,54-60,,D. Jordan misses free throw 1 of 2
0:09.0,,,54-60,,Offensive rebound by Team
0:09.0,,,54-60,,M. Barnes enters the game for C. Paul
0:09.0,J. Terry enters the game for P. Prigioni,,54-60,,
0:09.0,,,54-60,,D. Jordan misses free throw 2 of 2
0:07.0,Defensive rebound by C. Brewer,,54-60,,
0:02.0,J. Terry misses 3-pt shot from 28 ft,,54-60,,
0:00.0,Offensive rebound by Team,,54-60,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,T. Jones misses 2-pt shot from 5 ft,,54-60,,
11:37.0,,,54-60,,Defensive rebound by M. Barnes
11:21.0,,,54-60,,Shooting foul by T. Jones (drawn by B. Griffin)
11:21.0,,,54-61,1,B. Griffin makes free throw 1 of 2
11:21.0,,,54-62,1,B. Griffin makes free throw 2 of 2
11:04.0,T. Ariza misses 2-pt shot from 3 ft,,54-62,,
11:02.0,Offensive rebound by T. Jones,,54-62,,
11:02.0,T. Jones misses 2-pt shot from 2 ft,,54-62,,
10:59.0,,,54-62,,Defensive rebound by D. Jordan
10:42.0,,,54-62,,B. Griffin misses 2-pt shot from 9 ft
10:40.0,,,54-62,,Offensive rebound by C. Paul
10:39.0,,,54-65,3,C. Paul makes 3-pt shot from 27 ft
10:14.0,J. Harden misses 2-pt shot from 16 ft,,54-65,,
10:12.0,,,54-65,,Defensive rebound by D. Jordan
10:05.0,,,54-65,,C. Paul misses 2-pt shot from 7 ft
10:04.0,,,54-65,,Offensive rebound by C. Paul
10:00.0,,,54-65,,J. Redick misses 2-pt shot from 3 ft
10:00.0,,,54-65,,Offensive rebound by D. Jordan
10:00.0,,,54-67,2,D. Jordan makes 2-pt shot from 1 ft
10:00.0,Houston full timeout,,54-67,,
9:38.0,D. Howard makes 2-pt shot from 3 ft,2,56-67,,
9:23.0,,,56-70,3,J. Redick makes 3-pt shot from 25 ft (assist by C. Paul)
9:18.0,,,56-70,,Personal foul by D. Jordan (drawn by D. Howard)
8:56.0,T. Jones misses 3-pt shot from 27 ft,,56-70,,
8:56.0,Offensive rebound by Team,,56-70,,
8:56.0,Turnover by Team (shot clock),,56-70,,
8:35.0,,,56-70,,M. Barnes misses 3-pt shot from 24 ft
8:34.0,,,56-70,,Offensive rebound by D. Jordan
8:25.0,,,56-70,,C. Paul misses 3-pt shot from 27 ft
8:24.0,Defensive rebound by D. Howard,,56-70,,
8:15.0,J. Terry misses 2-pt shot from 19 ft,,56-70,,
8:14.0,,,56-70,,Defensive rebound by D. Jordan
8:10.0,,,56-70,,Shooting foul by T. Ariza (drawn by B. Griffin)
8:10.0,Technical foul by T. Jones,,56-70,,
8:10.0,,,56-71,1,J. Redick makes technical free throw
8:10.0,,,56-72,1,B. Griffin makes free throw 1 of 2
8:10.0,,,56-72,,B. Griffin misses free throw 2 of 2
8:09.0,Defensive rebound by T. Ariza,,56-72,,
8:05.0,Offensive foul by D. Howard,,56-72,,
8:05.0,Turnover by D. Howard (offensive foul),,56-72,,
7:50.0,,,56-75,3,J. Redick makes 3-pt shot from 25 ft (assist by C. Paul)
7:34.0,Shooting foul by D. Jordan (drawn by J. Harden),,56-75,,
7:34.0,J. Harden makes free throw 1 of 2,1,57-75,,
7:34.0,J. Harden makes free throw 2 of 2,1,58-75,,
7:18.0,,,58-77,2,D. Jordan makes 2-pt shot at rim (assist by B. Griffin)
6:58.0,D. Howard misses 2-pt shot from 4 ft,,58-77,,
6:56.0,,,58-77,,Defensive rebound by D. Jordan
6:46.0,,,58-79,2,D. Jordan makes 2-pt shot at rim (assist by C. Paul)
6:46.0,Houston full timeout,,58-79,,
6:46.0,C. Brewer enters the game for J. Terry,,58-79,,
6:36.0,Offensive charge foul by T. Ariza,,58-79,,
6:36.0,Turnover by T. Ariza (offensive foul),,58-79,,
6:25.0,,,58-81,2,D. Jordan makes 2-pt shot at rim (assist by C. Paul)
6:11.0,J. Harden misses 2-pt shot from 18 ft,,58-81,,
6:10.0,Offensive rebound by T. Jones,,58-81,,
6:08.0,T. Jones misses 2-pt shot from 5 ft,,58-81,,
6:07.0,Offensive rebound by D. Howard,,58-81,,
6:07.0,D. Howard misses 2-pt shot from 2 ft,,58-81,,
6:05.0,,,58-81,,Defensive rebound by B. Griffin
5:42.0,,,58-81,,C. Paul misses 2-pt shot from 21 ft
5:42.0,,,58-81,,Offensive rebound by Team
5:42.0,,,58-81,,Turnover by Team (shot clock)
5:34.0,Shooting foul by M. Barnes (drawn by D. Howard),,58-81,,
5:34.0,D. Howard misses free throw 1 of 2,,58-81,,
5:34.0,Offensive rebound by Team,,58-81,,
5:34.0,,,58-81,,A. Rivers enters the game for C. Paul
5:34.0,,,58-81,,J. Crawford enters the game for M. Barnes
5:34.0,D. Howard makes free throw 2 of 2,1,59-81,,
5:21.0,,,59-81,,Shooting foul by C. Brewer (drawn by J. Redick)
5:21.0,,,59-82,1,J. Redick makes free throw 1 of 2
5:21.0,J. Terry enters the game for T. Jones,,59-82,,
5:21.0,,,59-83,1,J. Redick makes free throw 2 of 2
5:14.0,J. Harden makes 2-pt shot from 2 ft,2,61-83,,
4:52.0,,,61-86,3,A. Rivers makes 3-pt shot from 25 ft (assist by J. Redick)
4:44.0,J. Terry misses 3-pt shot from 25 ft,,61-86,,
4:44.0,,,61-86,,Defensive rebound by Team
4:23.0,Personal foul by J. Harden (drawn by B. Griffin),,61-86,,
4:16.0,,,61-89,3,J. Redick makes 3-pt shot from 27 ft
4:06.0,,,61-89,,Personal foul by J. Redick (drawn by D. Howard)
4:06.0,N. Johnson enters the game for C. Brewer,,61-89,,
3:54.0,J. Terry makes 3-pt shot from 26 ft (assist by N. Johnson),3,64-89,,
3:33.0,,,64-89,,A. Rivers misses 3-pt shot from 26 ft
3:30.0,Defensive rebound by J. Harden,,64-89,,
3:25.0,J. Terry makes 3-pt shot from 24 ft (assist by J. Harden),3,67-89,,
3:07.0,,,67-89,,Shooting foul by D. Howard (drawn by B. Griffin)
3:07.0,,,67-90,1,B. Griffin makes free throw 1 of 2
3:07.0,J. Smith enters the game for D. Howard,,67-90,,
3:07.0,,,67-90,,B. Griffin misses free throw 2 of 2
3:06.0,Defensive rebound by J. Smith,,67-90,,
3:01.0,,,67-90,,Personal foul by A. Rivers (drawn by J. Harden)
3:01.0,J. Harden misses free throw 1 of 2,,67-90,,
3:01.0,Offensive rebound by Team,,67-90,,
3:01.0,,,67-90,,M. Barnes enters the game for B. Griffin
3:01.0,J. Harden makes free throw 2 of 2,1,68-90,,
3:00.0,Personal take foul by J. Smith (drawn by D. Jordan),,68-90,,
3:00.0,,,68-91,1,D. Jordan makes free throw 1 of 2
3:00.0,,,68-92,1,D. Jordan makes free throw 2 of 2
2:53.0,Shooting foul by M. Barnes (drawn by J. Harden),,68-92,,
2:53.0,,,68-92,,LA Clippers full timeout
2:53.0,J. Harden makes free throw 1 of 2,1,69-92,,
2:53.0,J. Harden makes free throw 2 of 2,1,70-92,,
2:51.0,Personal take foul by N. Johnson (drawn by D. Jordan),,70-92,,
2:51.0,,,70-93,1,D. Jordan makes free throw 1 of 2
2:51.0,,,70-94,1,D. Jordan makes free throw 2 of 2
2:41.0,J. Terry makes 2-pt shot from 19 ft (assist by N. Johnson),2,72-94,,
2:27.0,,,72-96,2,A. Rivers makes 2-pt shot from 3 ft
2:11.0,T. Ariza makes 3-pt shot from 26 ft (assist by J. Harden),3,75-96,,
1:46.0,,,75-96,,M. Barnes misses 3-pt shot from 26 ft
1:46.0,,,75-96,,Offensive rebound by D. Jordan
1:46.0,Personal foul by N. Johnson (drawn by D. Jordan),,75-96,,
1:46.0,,,75-96,,D. Jordan misses free throw 1 of 2
1:46.0,,,75-96,,Offensive rebound by Team
1:46.0,,,75-96,,D. Jordan misses free throw 2 of 2
1:45.0,Defensive rebound by J. Smith,,75-96,,
1:33.0,J. Harden makes 2-pt shot from 15 ft,2,77-96,,
1:15.0,,,77-96,,J. Crawford misses 2-pt shot from 4 ft
1:13.0,,,77-96,,Offensive rebound by D. Jordan
1:12.0,,,77-98,2,D. Jordan makes 2-pt shot from 5 ft
1:04.0,,,77-98,,Personal foul by A. Rivers (drawn by J. Harden)
1:04.0,J. Harden makes free throw 1 of 2,1,78-98,,
1:04.0,,,78-98,,B. Griffin enters the game for D. Jordan
