time,Brooklyn,pts.away,score,pts.home,Oklahoma City
11:15.0,J. Jack misses free throw 1 of 2,,23-27,,
11:15.0,Offensive rebound by Team,,23-27,,
11:15.0,J. Jack makes free throw 2 of 2,1,24-27,,
10:57.0,,,24-27,,S. Telfair misses 3-pt shot from 23 ft
10:55.0,Defensive rebound by J. Jack,,24-27,,
10:48.0,M. Teletovic makes 3-pt shot from 23 ft (assist by A. Anderson),3,27-27,,
10:46.0,,,27-27,,Oklahoma City full timeout
10:34.0,,,27-27,,Turnover by N. Collison (bad pass; steal by M. Teletovic)
10:19.0,M. Teletovic misses 2-pt shot from 14 ft,,27-27,,
10:18.0,Offensive rebound by J. Jordan,,27-27,,
10:14.0,M. Teletovic misses 3-pt shot from 25 ft,,27-27,,
10:13.0,,,27-27,,Defensive rebound by K. Perkins
10:00.0,,,27-27,,K. Perkins misses 2-pt shot from 4 ft
9:59.0,,,27-27,,Offensive rebound by N. Collison
9:59.0,,,27-29,2,N. Collison makes 2-pt shot from 1 ft
9:46.0,J. Jack makes 2-pt shot from 15 ft,2,29-29,,
9:29.0,,,29-32,3,A. Morrow makes 3-pt shot from 24 ft (assist by J. Lamb)
9:19.0,J. Jack makes 2-pt shot from 14 ft,2,31-32,,
8:53.0,,,31-32,,Shooting foul by J. Jordan (drawn by N. Collison)
8:53.0,,,31-32,,N. Collison misses free throw 1 of 2
8:53.0,,,31-32,,Offensive rebound by Team
8:53.0,,,31-32,,S. Ibaka enters the game for K. Perkins
8:53.0,K. Garnett enters the game for M. Teletovic,,31-32,,
8:53.0,,,31-33,1,N. Collison makes free throw 2 of 2
8:40.0,K. Garnett makes 2-pt shot from 18 ft (assist by J. Jack),2,33-33,,
8:21.0,,,33-35,2,S. Telfair makes 2-pt shot from 18 ft
8:09.0,J. Jack misses 2-pt shot from 15 ft,,33-35,,
8:08.0,,,33-35,,Defensive rebound by J. Lamb
8:02.0,,,33-35,,J. Lamb misses 2-pt shot from 15 ft
8:01.0,Defensive rebound by K. Garnett,,33-35,,
7:56.0,Turnover by J. Jack (bad pass; steal by J. Lamb),,33-35,,
7:52.0,,,33-37,2,S. Telfair makes 2-pt shot at rim (assist by J. Lamb)
7:36.0,J. Jack makes 2-pt shot from 4 ft,2,35-37,,
7:36.0,Shooting foul by S. Telfair (drawn by J. Jack),,35-37,,
7:36.0,,,35-37,,R. Jackson enters the game for S. Telfair
7:36.0,J. Jack makes free throw 1 of 1,1,36-37,,
7:26.0,Personal foul by A. Anderson (drawn by A. Morrow),,36-37,,
7:20.0,,,36-39,2,J. Lamb makes 2-pt shot from 9 ft (assist by R. Jackson)
7:20.0,,,36-39,,Shooting foul by B. Bogdanovic (drawn by J. Lamb)
7:20.0,,,36-40,1,J. Lamb makes free throw 1 of 1
7:10.0,J. Jack misses 2-pt shot from 8 ft,,36-40,,
7:09.0,,,36-40,,Defensive rebound by R. Jackson
7:02.0,,,36-40,,R. Jackson misses 2-pt shot from 2 ft (block by J. Jordan)
7:01.0,Defensive rebound by K. Garnett,,36-40,,
6:50.0,Turnover by B. Bogdanovic (traveling),,36-40,,
6:41.0,,,36-40,,J. Lamb misses 3-pt shot from 24 ft
6:40.0,Defensive rebound by A. Anderson,,36-40,,
6:32.0,,,36-40,,Personal foul by A. Morrow (drawn by A. Anderson)
6:26.0,Turnover by K. Garnett (bad pass; steal by A. Morrow),,36-40,,
6:26.0,Personal foul by A. Anderson (drawn by A. Morrow),,36-40,,
6:26.0,J. Johnson enters the game for A. Anderson,,36-40,,
6:11.0,,,36-42,2,N. Collison makes 2-pt shot from 5 ft
5:59.0,Turnover by B. Bogdanovic (bad pass; steal by J. Lamb),,36-42,,
5:49.0,,,36-42,,A. Morrow misses 3-pt shot from 25 ft
5:48.0,,,36-42,,Offensive rebound by S. Ibaka
5:48.0,,,36-44,2,S. Ibaka makes 2-pt shot from 1 ft
5:46.0,Brooklyn full timeout,,36-44,,
5:46.0,D. Williams enters the game for B. Bogdanovic,,36-44,,
5:46.0,B. Lopez enters the game for J. Jordan,,36-44,,
5:32.0,Shooting foul by A. Morrow (drawn by J. Johnson),,36-44,,
5:32.0,J. Johnson makes free throw 1 of 2,1,37-44,,
5:32.0,J. Johnson makes free throw 2 of 2,1,38-44,,
5:15.0,,,38-44,,S. Ibaka misses 2-pt shot from 6 ft
5:14.0,Defensive rebound by K. Garnett,,38-44,,
5:04.0,Turnover by J. Johnson (bad pass; steal by R. Jackson),,38-44,,
4:58.0,,,38-47,3,A. Morrow makes 3-pt shot from 24 ft (assist by R. Jackson)
4:35.0,Turnover by B. Lopez (traveling),,38-47,,
4:35.0,,,38-47,,S. Adams enters the game for N. Collison
4:23.0,,,38-47,,A. Morrow misses 2-pt shot from 5 ft
4:22.0,Defensive rebound by B. Lopez,,38-47,,
4:10.0,D. Williams makes 3-pt shot from 25 ft (assist by J. Jack),3,41-47,,
3:45.0,,,41-49,2,R. Jackson makes 2-pt shot from 1 ft
3:33.0,,,41-49,,Personal foul by R. Jackson (drawn by D. Williams)
3:33.0,D. Williams makes free throw 1 of 2,1,42-49,,
3:33.0,,,42-49,,L. Thomas enters the game for J. Lamb
3:33.0,D. Williams makes free throw 2 of 2,1,43-49,,
3:20.0,,,43-49,,Turnover by S. Adams (traveling)
3:09.0,D. Williams misses 2-pt shot from 19 ft,,43-49,,
3:08.0,Offensive rebound by B. Lopez,,43-49,,
2:53.0,Turnover by D. Williams (bad pass; steal by R. Jackson),,43-49,,
2:48.0,,,43-49,,A. Morrow misses 3-pt shot from 25 ft
2:46.0,,,43-49,,Offensive rebound by Team
2:46.0,Official timeout,,43-49,,
2:46.0,,,43-49,,Offensive foul by A. Morrow
2:46.0,,,43-49,,Turnover by A. Morrow (offensive foul)
2:27.0,B. Lopez makes 2-pt shot from 10 ft,2,45-49,,
2:10.0,,,45-51,2,S. Adams makes 2-pt shot from 1 ft (assist by R. Jackson)
2:10.0,,,45-51,,Shooting foul by K. Garnett (drawn by S. Adams)
2:10.0,,,45-51,,A. Roberson enters the game for A. Morrow
2:10.0,M. Teletovic enters the game for K. Garnett,,45-51,,
2:10.0,,,45-52,1,S. Adams makes free throw 1 of 1
1:56.0,Turnover by J. Johnson (bad pass; steal by S. Adams),,45-52,,
1:56.0,,,45-52,,Oklahoma City full timeout
1:47.0,,,45-52,,Offensive foul by S. Adams
1:47.0,,,45-52,,Turnover by S. Adams (offensive foul)
1:28.0,J. Jack misses 2-pt shot from 18 ft,,45-52,,
1:27.0,,,45-52,,Defensive rebound by R. Jackson
1:18.0,,,45-52,,S. Ibaka misses 2-pt shot from 11 ft
1:16.0,,,45-52,,Offensive rebound by A. Roberson
1:16.0,,,45-52,,A. Roberson misses 2-pt shot from 2 ft
1:15.0,Defensive rebound by D. Williams,,45-52,,
1:14.0,,,45-52,,Personal block foul by R. Jackson (drawn by D. Williams)
1:14.0,D. Williams makes free throw 1 of 2,1,46-52,,
1:14.0,D. Williams makes free throw 2 of 2,1,47-52,,
1:00.0,,,47-52,,R. Jackson misses 3-pt shot from 24 ft
0:59.0,,,47-52,,Offensive rebound by S. Adams
0:58.0,Personal foul by D. Williams (drawn by S. Adams),,47-52,,
0:58.0,,,47-53,1,S. Adams makes free throw 1 of 2
0:58.0,,,47-53,,S. Adams misses free throw 2 of 2
0:57.0,Defensive rebound by J. Johnson,,47-53,,
0:45.0,J. Johnson misses 2-pt shot from 10 ft,,47-53,,
0:44.0,,,47-53,,Defensive rebound by R. Jackson
0:28.0,,,47-53,,Turnover by R. Jackson (bad pass; steal by D. Williams)
0:23.0,J. Jack makes 2-pt shot at rim (assist by D. Williams),2,49-53,,
0:03.0,,,49-53,,R. Jackson misses 3-pt shot from 24 ft
0:01.0,Defensive rebound by M. Teletovic,,49-53,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,J. Johnson makes 3-pt shot from 23 ft (assist by D. Williams),3,52-53,,
11:31.0,,,52-55,2,S. Adams makes 2-pt shot from 7 ft (assist by R. Jackson)
11:18.0,Turnover by B. Lopez (traveling),,52-55,,
10:59.0,,,52-55,,S. Ibaka misses 2-pt shot from 9 ft (block by B. Lopez)
10:57.0,Defensive rebound by K. Garnett,,52-55,,
10:38.0,B. Lopez misses 2-pt shot from 2 ft (block by S. Ibaka),,52-55,,
10:36.0,Offensive rebound by D. Williams,,52-55,,
10:33.0,K. Garnett misses 2-pt shot from 18 ft,,52-55,,
10:32.0,,,52-55,,Defensive rebound by S. Adams
10:14.0,,,52-57,2,S. Ibaka makes 2-pt shot from 17 ft (assist by R. Jackson)
9:54.0,Shooting foul by A. Roberson (drawn by B. Bogdanovic),,52-57,,
9:54.0,B. Bogdanovic misses free throw 1 of 2,,52-57,,
9:54.0,Offensive rebound by Team,,52-57,,
9:54.0,B. Bogdanovic makes free throw 2 of 2,1,53-57,,
9:37.0,,,53-57,,S. Ibaka misses 2-pt shot from 16 ft
9:36.0,Defensive rebound by K. Garnett,,53-57,,
9:19.0,D. Williams makes 3-pt shot from 24 ft (assist by J. Johnson),3,56-57,,
8:56.0,,,56-59,2,S. Adams makes 2-pt shot at rim (assist by A. Roberson)
8:45.0,Turnover by D. Williams (lost ball),,56-59,,
8:33.0,,,56-61,2,S. Ibaka makes 2-pt shot from 1 ft (assist by R. Jackson)
8:12.0,B. Bogdanovic misses 2-pt shot from 1 ft (block by A. Roberson),,56-61,,
8:09.0,Offensive rebound by B. Lopez,,56-61,,
8:07.0,Turnover by B. Lopez (lost ball; steal by A. Roberson),,56-61,,
8:07.0,,,56-61,,Offensive charge foul by A. Roberson
8:07.0,,,56-61,,Turnover by A. Roberson (offensive foul)
8:07.0,J. Jack enters the game for B. Bogdanovic,,56-61,,
7:55.0,J. Johnson makes 2-pt shot from 6 ft (assist by D. Williams),2,58-61,,
7:39.0,Def 3 sec tech foul by K. Garnett,,58-61,,
7:39.0,,,58-61,,R. Jackson misses technical free throw
7:39.0,,,58-61,,Offensive rebound by Team
7:29.0,,,58-61,,A. Roberson misses 3-pt shot from 23 ft
7:26.0,,,58-61,,Offensive rebound by S. Ibaka
7:12.0,,,58-63,2,R. Jackson makes 2-pt shot at rim
6:50.0,Shooting foul by S. Ibaka (drawn by K. Garnett),,58-63,,
6:50.0,K. Garnett makes free throw 1 of 2,1,59-63,,
6:50.0,K. Garnett makes free throw 2 of 2,1,60-63,,
6:37.0,,,60-63,,S. Adams misses 2-pt shot from 11 ft
6:36.0,,,60-63,,Offensive rebound by S. Ibaka
6:36.0,,,60-65,2,S. Ibaka makes 2-pt shot at rim
6:13.0,B. Lopez misses 2-pt shot at rim (block by S. Adams),,60-65,,
6:11.0,,,60-65,,Defensive rebound by S. Ibaka
6:00.0,Def 3 sec tech foul by B. Lopez,,60-65,,
6:00.0,,,60-65,,R. Jackson misses technical free throw
6:00.0,,,60-65,,Offensive rebound by Team
6:00.0,M. Teletovic enters the game for J. Johnson,,60-65,,
6:00.0,A. Anderson enters the game for K. Garnett,,60-65,,
5:57.0,,,60-65,,Turnover by S. Adams (step out of bounds)
5:57.0,,,60-65,,Oklahoma City full timeout
5:57.0,,,60-65,,A. Morrow enters the game for A. Roberson
5:47.0,J. Jack misses 2-pt shot from 12 ft,,60-65,,
5:46.0,,,60-65,,Defensive rebound by L. Thomas
5:26.0,,,60-65,,R. Jackson misses 2-pt shot from 16 ft
5:25.0,,,60-65,,Offensive rebound by S. Ibaka
5:15.0,,,60-67,2,S. Ibaka makes 2-pt shot from 11 ft
5:00.0,,,60-67,,Personal foul by A. Morrow (drawn by A. Anderson)
5:00.0,,,60-67,,K. Perkins enters the game for S. Adams
4:52.0,D. Williams misses 3-pt shot from 24 ft,,60-67,,
4:52.0,Offensive rebound by Team,,60-67,,
4:52.0,,,60-67,,Loose ball foul by L. Thomas (drawn by M. Teletovic)
4:46.0,M. Teletovic misses 3-pt shot from 24 ft,,60-67,,
4:46.0,,,60-67,,Defensive rebound by K. Perkins
4:25.0,,,60-67,,R. Jackson misses 2-pt shot from 2 ft
4:24.0,,,60-67,,Offensive rebound by K. Perkins
4:23.0,,,60-69,2,K. Perkins makes 2-pt shot from 1 ft
4:06.0,,,60-69,,Personal foul by K. Perkins (drawn by B. Lopez)
4:06.0,B. Lopez makes free throw 1 of 2,1,61-69,,
4:06.0,,,61-69,,S. Telfair enters the game for R. Jackson
4:06.0,B. Bogdanovic enters the game for D. Williams,,61-69,,
4:06.0,B. Lopez makes free throw 2 of 2,1,62-69,,
3:53.0,,,62-69,,A. Morrow misses 2-pt shot from 22 ft
3:52.0,Defensive rebound by M. Teletovic,,62-69,,
3:40.0,A. Anderson misses 3-pt shot from 22 ft,,62-69,,
3:40.0,,,62-69,,Defensive rebound by L. Thomas
3:24.0,,,62-71,2,S. Ibaka makes 2-pt shot from 2 ft
3:11.0,M. Teletovic misses 3-pt shot from 25 ft,,62-71,,
3:10.0,,,62-71,,Defensive rebound by S. Telfair
2:47.0,,,62-71,,A. Morrow misses 2-pt shot from 10 ft
2:47.0,Defensive rebound by B. Lopez,,62-71,,
2:47.0,Brooklyn full timeout,,62-71,,
2:47.0,J. Jordan enters the game for B. Lopez,,62-71,,
2:47.0,,,62-71,,N. Collison enters the game for S. Ibaka
2:47.0,,,62-71,,J. Lamb enters the game for L. Thomas
2:25.0,M. Teletovic makes 2-pt shot from 5 ft (assist by J. Jack),2,64-71,,
2:03.0,,,64-74,3,S. Telfair makes 3-pt shot from 24 ft
1:48.0,B. Bogdanovic misses 2-pt shot from 15 ft,,64-74,,
1:47.0,,,64-74,,Defensive rebound by N. Collison
1:27.0,,,64-74,,Turnover by K. Perkins (traveling)
1:13.0,J. Jack makes 2-pt shot from 1 ft (assist by J. Jordan),2,66-74,,
1:13.0,Shooting foul by A. Morrow (drawn by J. Jack),,66-74,,
1:13.0,,,66-74,,L. Thomas enters the game for A. Morrow
1:13.0,J. Jack makes free throw 1 of 1,1,67-74,,
1:01.0,,,67-74,,J. Lamb misses 3-pt shot from 24 ft
1:00.0,Defensive rebound by M. Teletovic,,67-74,,
0:54.0,J. Jordan makes 2-pt shot from 2 ft (assist by A. Anderson),2,69-74,,
0:37.0,,,69-74,,S. Telfair misses 3-pt shot from 24 ft
0:36.0,,,69-74,,Offensive rebound by N. Collison
0:33.0,,,69-74,,N. Collison misses 2-pt shot from 5 ft
0:32.0,Defensive rebound by J. Jordan,,69-74,,
0:11.0,J. Jack makes 2-pt shot from 1 ft,2,71-74,,
0:00.0,,,71-74,,S. Telfair misses 2-pt shot from 2 ft
0:00.0,Defensive rebound by Team,,71-74,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
12:00.0,,,71-74,,Technical foul by S. Telfair
12:00.0,J. Jack makes technical free throw,1,72-74,,
11:43.0,,,72-74,,N. Collison misses 2-pt shot from 6 ft
11:42.0,,,72-74,,Offensive rebound by K. Perkins
11:31.0,,,72-74,,S. Telfair misses 2-pt shot from 17 ft
11:30.0,Defensive rebound by M. Teletovic,,72-74,,
11:11.0,J. Jack misses 2-pt shot from 16 ft,,72-74,,
11:10.0,Offensive rebound by J. Jordan,,72-74,,
10:57.0,M. Teletovic makes 2-pt shot from 20 ft (assist by J. Jack),2,74-74,,
10:30.0,,,74-74,,S. Telfair misses 3-pt shot from 24 ft
10:29.0,Defensive rebound by M. Teletovic,,74-74,,
10:12.0,Shooting foul by L. Thomas (drawn by B. Bogdanovic),,74-74,,
10:12.0,B. Bogdanovic makes free throw 1 of 2,1,75-74,,
10:12.0,,,75-74,,R. Jackson enters the game for S. Telfair
10:12.0,B. Bogdanovic makes free throw 2 of 2,1,76-74,,
9:59.0,,,76-74,,L. Thomas misses 2-pt shot from 4 ft
9:58.0,Defensive rebound by J. Jordan,,76-74,,
9:48.0,Turnover by J. Jordan (traveling),,76-74,,
9:48.0,,,76-74,,S. Ibaka enters the game for N. Collison
9:37.0,,,76-76,2,R. Jackson makes 2-pt shot from 5 ft
9:37.0,,,76-76,,Shooting foul by M. Teletovic (drawn by R. Jackson)
9:37.0,,,76-77,1,R. Jackson makes free throw 1 of 1
9:16.0,Jump ball: J. Jack vs. K. Perkins,,,,Jump ball: J. Jack vs. K. Perkins
9:09.0,J. Jack misses 3-pt shot from 25 ft,,76-77,,
9:08.0,,,76-77,,Defensive rebound by S. Ibaka
8:53.0,,,76-77,,R. Jackson misses 2-pt shot from 5 ft
8:52.0,,,76-77,,Offensive rebound by S. Ibaka
8:51.0,,,76-79,2,S. Ibaka makes 2-pt shot from 1 ft
8:35.0,Shooting foul by J. Lamb (drawn by J. Jordan),,76-79,,
8:35.0,Official timeout,,76-79,,
8:35.0,D. Williams enters the game for B. Bogdanovic,,76-79,,
8:35.0,J. Jordan makes free throw 1 of 2,1,77-79,,
8:35.0,J. Jordan makes free throw 2 of 2,1,78-79,,
8:18.0,,,78-81,2,J. Lamb makes 2-pt shot from 4 ft
8:03.0,Shooting foul by J. Lamb (drawn by J. Jack),,78-81,,
8:03.0,J. Jack makes free throw 1 of 2,1,79-81,,
8:03.0,J. Jack makes free throw 2 of 2,1,80-81,,
7:53.0,,,80-81,,Shooting foul by J. Jordan (drawn by K. Perkins)
7:53.0,,,80-82,1,K. Perkins makes free throw 1 of 2
7:53.0,J. Johnson enters the game for J. Jack,,80-82,,
7:53.0,B. Lopez enters the game for J. Jordan,,80-82,,
7:53.0,,,80-83,1,K. Perkins makes free throw 2 of 2
7:39.0,M. Teletovic misses 3-pt shot from 23 ft,,80-83,,
7:38.0,Offensive rebound by D. Williams,,80-83,,
7:29.0,Shooting foul by K. Perkins (drawn by D. Williams),,80-83,,
7:29.0,D. Williams makes free throw 1 of 2,1,81-83,,
7:29.0,D. Williams makes free throw 2 of 2,1,82-83,,
7:15.0,,,82-83,,S. Ibaka misses 3-pt shot from 24 ft
7:15.0,Defensive rebound by A. Anderson,,82-83,,
7:03.0,B. Lopez makes 2-pt shot from 5 ft (assist by M. Teletovic),2,84-83,,
6:49.0,,,84-83,,J. Lamb misses 2-pt shot from 19 ft
6:49.0,Defensive rebound by B. Lopez,,84-83,,
6:40.0,D. Williams makes 2-pt shot at rim,2,86-83,,
6:40.0,,,86-83,,Oklahoma City full timeout
6:40.0,,,86-83,,A. Roberson enters the game for K. Perkins
6:40.0,,,86-83,,S. Adams enters the game for J. Lamb
6:23.0,,,86-83,,L. Thomas misses 2-pt shot from 17 ft
6:23.0,Defensive rebound by M. Teletovic,,86-83,,
6:12.0,,,86-83,,Personal foul by S. Ibaka (drawn by B. Lopez)
6:12.0,B. Lopez makes free throw 1 of 2,1,87-83,,
6:12.0,B. Lopez makes free throw 2 of 2,1,88-83,,
5:56.0,,,88-83,,S. Ibaka misses 2-pt shot from 2 ft (block by M. Teletovic)
5:54.0,Defensive rebound by A. Anderson,,88-83,,
5:37.0,D. Williams makes 2-pt shot from 9 ft,2,90-83,,
5:37.0,,,90-83,,Oklahoma City full timeout
5:37.0,,,90-83,,A. Morrow enters the game for L. Thomas
5:13.0,,,90-83,,R. Jackson misses 3-pt shot from 25 ft
5:13.0,,,90-83,,Offensive rebound by Team
5:13.0,,,90-83,,Turnover by Team (shot clock)
5:00.0,Turnover by J. Johnson (bad pass; steal by A. Roberson),,90-83,,
4:54.0,,,90-83,,Offensive foul by S. Adams
4:54.0,,,90-83,,Turnover by S. Adams (offensive foul)
4:54.0,J. Jack enters the game for A. Anderson,,90-83,,
4:39.0,D. Williams misses 2-pt shot from 16 ft,,90-83,,
4:38.0,,,90-83,,Defensive rebound by A. Roberson
4:32.0,,,90-83,,A. Morrow misses 3-pt shot from 25 ft
4:30.0,Defensive rebound by Team,,90-83,,
4:29.0,Brooklyn full timeout,,90-83,,
4:16.0,B. Lopez misses 2-pt shot from 9 ft,,90-83,,
4:15.0,,,90-83,,Defensive rebound by S. Adams
4:07.0,,,90-85,2,R. Jackson makes 2-pt shot from 1 ft
3:46.0,M. Teletovic misses 3-pt shot from 25 ft,,90-85,,
3:45.0,,,90-85,,Defensive rebound by A. Morrow
3:40.0,,,90-85,,Shooting foul by M. Teletovic (drawn by S. Adams)
3:40.0,,,90-85,,S. Adams misses free throw 1 of 2
3:40.0,,,90-85,,Offensive rebound by Team
3:40.0,,,90-85,,S. Adams misses free throw 2 of 2
3:39.0,Defensive rebound by M. Teletovic,,90-85,,
3:22.0,D. Williams misses 2-pt shot from 1 ft (block by S. Adams),,90-85,,
3:21.0,,,90-85,,Defensive rebound by Team
3:08.0,Personal foul by J. Jack (drawn by R. Jackson),,90-85,,
3:08.0,A. Anderson enters the game for J. Jack,,90-85,,
3:06.0,,,90-85,,Offensive foul by R. Jackson
3:06.0,,,90-85,,Turnover by R. Jackson (offensive foul)
3:06.0,J. Jack enters the game for A. Anderson,,90-85,,
2:51.0,Turnover by B. Lopez (lost ball),,90-85,,
2:39.0,,,90-85,,A. Morrow misses 3-pt shot from 24 ft
2:38.0,Defensive rebound by B. Lopez,,90-85,,
2:13.0,J. Jack makes 3-pt shot from 22 ft (assist by J. Johnson),3,93-85,,
1:57.0,,,93-88,3,A. Morrow makes 3-pt shot from 22 ft (assist by A. Roberson)
1:36.0,J. Jack misses 2-pt shot from 20 ft (block by A. Roberson),,93-88,,
1:34.0,Offensive rebound by D. Williams,,93-88,,
1:34.0,D. Williams misses 2-pt shot from 12 ft (block by A. Roberson),,93-88,,
1:34.0,Offensive rebound by Team,,93-88,,
1:33.0,Turnover by Team (shot clock),,93-88,,
