time,Houston,pts.away,score,pts.home,Charlotte
0:34.0,,,23-22,,Personal foul by T. Daniels (drawn by J. Harden)
0:34.0,J. Harden makes free throw 1 of 2,1,24-22,,
0:34.0,J. Harden misses free throw 2 of 2,,24-22,,
0:33.0,,,24-22,,Defensive rebound by N. Vonleh
0:22.0,Personal foul by J. Smith (drawn by J. Maxiell),,24-22,,
0:22.0,,,24-23,1,J. Maxiell makes free throw 1 of 2
0:22.0,,,24-23,,J. Maxiell misses free throw 2 of 2
0:20.0,,,24-23,,Offensive rebound by J. Maxiell
0:02.0,,,24-23,,K. Walker misses 2-pt shot from 9 ft (block by J. Smith)
0:00.0,,,24-23,,Offensive rebound by J. Maxiell
0:00.0,,,24-23,,Turnover by J. Maxiell (step out of bounds)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,24-23,,J. Maxiell misses 2-pt shot from 7 ft
11:41.0,Defensive rebound by C. Capela,,24-23,,
11:31.0,T. Ariza makes 3-pt shot from 25 ft (assist by P. Prigioni),3,27-23,,
11:19.0,,,27-23,,B. Roberts misses 3-pt shot from 25 ft
11:18.0,Defensive rebound by T. Ariza,,27-23,,
11:08.0,J. Smith makes 3-pt shot from 25 ft (assist by P. Prigioni),3,30-23,,
10:43.0,,,30-23,,N. Vonleh misses 2-pt shot from 1 ft
10:42.0,Defensive rebound by J. Smith,,30-23,,
10:26.0,Shooting foul by T. Daniels (drawn by C. Capela),,30-23,,
10:26.0,C. Capela misses free throw 1 of 2,,30-23,,
10:26.0,Offensive rebound by Team,,30-23,,
10:26.0,C. Capela misses free throw 2 of 2,,30-23,,
10:24.0,,,30-23,,Defensive rebound by B. Roberts
10:12.0,,,30-23,,T. Daniels misses 3-pt shot from 28 ft
10:10.0,,,30-23,,Offensive rebound by B. Roberts
10:00.0,,,30-23,,B. Roberts misses 2-pt shot from 18 ft
9:59.0,Defensive rebound by C. Capela,,30-23,,
9:49.0,T. Ariza makes 2-pt shot from 17 ft (assist by P. Prigioni),2,32-23,,
9:41.0,,,32-23,,Charlotte full timeout
9:35.0,,,32-25,2,B. Roberts makes 2-pt shot from 21 ft (assist by J. Maxiell)
9:23.0,C. Capela makes 2-pt shot at rim (assist by P. Prigioni),2,34-25,,
9:02.0,,,34-27,2,J. Maxiell makes 2-pt shot from 8 ft (assist by T. Daniels)
8:40.0,J. Smith makes 2-pt shot from 6 ft,2,36-27,,
8:28.0,,,36-27,,Shooting foul by J. Smith (drawn by N. Vonleh)
8:28.0,,,36-27,,N. Vonleh misses free throw 1 of 2
8:28.0,,,36-27,,Offensive rebound by Team
8:28.0,,,36-28,1,N. Vonleh makes free throw 2 of 2
8:19.0,C. Brewer misses 2-pt shot at rim,,36-28,,
8:17.0,,,36-28,,Defensive rebound by J. Maxiell
8:10.0,,,36-28,,N. Vonleh misses 2-pt shot from 2 ft
8:08.0,Defensive rebound by J. Smith,,36-28,,
7:57.0,J. Smith misses 3-pt shot from 26 ft,,36-28,,
7:56.0,,,36-28,,Defensive rebound by J. Maxiell
7:50.0,,,36-28,,Turnover by B. Roberts (bad pass)
7:50.0,,,36-28,,M. Williams enters the game for N. Vonleh
7:39.0,Shooting foul by J. Maxiell (drawn by J. Smith),,36-28,,
7:39.0,J. Smith makes free throw 1 of 2,1,37-28,,
7:39.0,T. Jones enters the game for C. Capela,,37-28,,
7:39.0,J. Smith makes free throw 2 of 2,1,38-28,,
7:28.0,,,38-31,3,T. Daniels makes 3-pt shot from 27 ft
7:07.0,J. Smith misses 3-pt shot from 25 ft,,38-31,,
7:06.0,,,38-31,,Defensive rebound by J. Maxiell
7:06.0,Personal foul by T. Jones (drawn by J. Maxiell),,38-31,,
7:06.0,J. Dorsey enters the game for J. Smith,,38-31,,
7:06.0,J. Terry enters the game for P. Prigioni,,38-31,,
7:06.0,J. Harden enters the game for T. Ariza,,38-31,,
7:06.0,,,38-31,,K. Walker enters the game for T. Daniels
7:06.0,,,38-31,,B. Biyombo enters the game for J. Maxiell
6:43.0,,,38-34,3,J. Taylor makes 3-pt shot from 24 ft (assist by M. Williams)
6:35.0,C. Brewer makes 2-pt shot from 1 ft (assist by J. Harden),2,40-34,,
6:15.0,,,40-36,2,B. Roberts makes 2-pt shot from 20 ft (assist by M. Williams)
5:57.0,Official timeout,,40-36,,
5:57.0,,,40-36,,G. Henderson enters the game for J. Taylor
5:47.0,J. Harden misses 2-pt shot from 15 ft,,40-36,,
5:46.0,,,40-36,,Defensive rebound by M. Williams
5:23.0,,,40-36,,G. Henderson misses 2-pt shot from 18 ft
5:23.0,,,40-36,,Offensive rebound by Team
5:23.0,Loose ball foul by T. Jones (drawn by B. Biyombo),,40-36,,
5:11.0,,,40-39,3,B. Roberts makes 3-pt shot from 28 ft (assist by K. Walker)
4:50.0,Turnover by J. Harden (bad pass; steal by M. Williams),,40-39,,
4:45.0,,,40-41,2,M. Williams makes 2-pt shot at rim
4:37.0,Houston full timeout,,40-41,,
4:24.0,J. Terry makes 2-pt shot from 14 ft,2,42-41,,
4:08.0,,,42-41,,M. Williams misses 2-pt shot from 21 ft
4:07.0,Defensive rebound by J. Dorsey,,42-41,,
3:50.0,J. Harden makes 3-pt shot from 24 ft (assist by C. Brewer),3,45-41,,
3:35.0,,,45-41,,Turnover by B. Roberts (bad pass; steal by J. Dorsey)
3:30.0,J. Harden misses 2-pt shot from 1 ft,,45-41,,
3:29.0,Offensive rebound by T. Jones,,45-41,,
3:29.0,T. Jones makes 2-pt shot at rim,2,47-41,,
3:05.0,,,47-41,,G. Henderson misses 3-pt shot from 23 ft
3:04.0,Defensive rebound by T. Jones,,47-41,,
2:50.0,J. Harden misses 2-pt shot from 10 ft,,47-41,,
2:49.0,,,47-41,,Defensive rebound by B. Biyombo
2:35.0,,,47-43,2,K. Walker makes 2-pt shot at rim
2:24.0,J. Terry misses 2-pt shot from 17 ft,,47-43,,
2:21.0,Offensive rebound by T. Jones,,47-43,,
2:21.0,T. Jones misses 2-pt shot from 2 ft,,47-43,,
2:18.0,,,47-43,,Defensive rebound by G. Henderson
2:09.0,,,47-46,3,B. Roberts makes 3-pt shot from 23 ft (assist by M. Williams)
1:50.0,J. Terry makes 3-pt shot from 24 ft (assist by J. Harden),3,50-46,,
1:28.0,,,50-49,3,B. Roberts makes 3-pt shot from 23 ft (assist by G. Henderson)
1:10.0,J. Harden misses 3-pt shot from 23 ft,,50-49,,
1:09.0,,,50-49,,Defensive rebound by B. Roberts
1:00.0,,,50-52,3,B. Roberts makes 3-pt shot from 24 ft
1:00.0,Houston full timeout,,50-52,,
1:00.0,J. Smith enters the game for J. Dorsey,,50-52,,
1:00.0,T. Ariza enters the game for C. Brewer,,50-52,,
1:00.0,C. Capela enters the game for T. Jones,,50-52,,
0:45.0,J. Smith makes 2-pt shot from 6 ft,2,52-52,,
0:25.0,,,52-52,,B. Roberts misses 3-pt shot from 25 ft
0:23.0,,,52-52,,Offensive rebound by B. Biyombo
0:23.0,,,52-52,,Shooting foul by J. Smith (drawn by B. Biyombo)
0:23.0,,,52-52,,B. Biyombo misses free throw 1 of 2
0:23.0,,,52-52,,Offensive rebound by Team
0:23.0,C. Brewer enters the game for J. Smith,,52-52,,
0:23.0,,,52-52,,B. Biyombo misses free throw 2 of 2
0:22.0,Defensive rebound by J. Harden,,52-52,,
0:04.0,T. Ariza misses 3-pt shot from 23 ft,,52-52,,
0:03.0,,,52-52,,Defensive rebound by B. Roberts
0:00.0,,,52-52,,B. Roberts misses 3-pt shot from 44 ft
0:00.0,,,52-52,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,52-52,,J. Taylor misses 3-pt shot from 24 ft
11:44.0,Defensive rebound by T. Jones,,52-52,,
11:25.0,J. Terry misses 3-pt shot from 28 ft,,52-52,,
11:22.0,Offensive rebound by J. Dorsey,,52-52,,
11:22.0,J. Dorsey misses 2-pt shot from 1 ft,,52-52,,
11:19.0,Offensive rebound by T. Jones,,52-52,,
11:19.0,T. Jones makes 2-pt shot from 1 ft,2,54-52,,
11:01.0,,,54-54,2,G. Henderson makes 2-pt shot from 1 ft
10:57.0,,,54-54,,Personal take foul by M. Williams (drawn by T. Jones)
10:43.0,Turnover by Team (back court),,54-54,,
10:27.0,,,54-54,,Turnover by G. Henderson (lost ball; steal by J. Dorsey)
10:22.0,T. Jones makes 2-pt shot at rim,2,56-54,,
10:06.0,Personal foul by T. Ariza (drawn by M. Williams),,56-54,,
9:58.0,,,56-57,3,J. Taylor makes 3-pt shot from 23 ft (assist by K. Walker)
9:46.0,T. Ariza misses 3-pt shot from 25 ft,,56-57,,
9:45.0,,,56-57,,Defensive rebound by B. Biyombo
9:35.0,,,56-57,,K. Walker misses 3-pt shot from 25 ft
9:34.0,Defensive rebound by T. Jones,,56-57,,
9:14.0,Shooting foul by B. Biyombo (drawn by J. Harden),,56-57,,
9:14.0,J. Harden makes free throw 1 of 2,1,57-57,,
9:14.0,J. Harden makes free throw 2 of 2,1,58-57,,
8:58.0,,,58-57,,J. Taylor misses 2-pt shot from 1 ft
8:56.0,Defensive rebound by J. Dorsey,,58-57,,
8:49.0,J. Terry makes 3-pt shot from 23 ft (assist by J. Harden),3,61-57,,
8:47.0,,,61-57,,Charlotte full timeout
8:30.0,,,61-57,,J. Taylor misses 2-pt shot from 18 ft
8:26.0,,,61-57,,Offensive rebound by B. Biyombo
8:19.0,,,61-57,,Shooting foul by J. Dorsey (drawn by J. Taylor)
8:19.0,,,61-58,1,J. Taylor makes free throw 1 of 2
8:19.0,,,61-59,1,J. Taylor makes free throw 2 of 2
8:01.0,J. Dorsey misses 2-pt shot from 1 ft,,61-59,,
7:59.0,,,61-59,,Defensive rebound by M. Williams
7:44.0,,,61-59,,K. Walker misses 2-pt shot from 12 ft
7:42.0,Defensive rebound by T. Ariza,,61-59,,
7:34.0,Turnover by T. Jones (lost ball; steal by B. Biyombo),,61-59,,
7:26.0,,,61-59,,M. Williams misses 3-pt shot from 23 ft
7:25.0,Defensive rebound by J. Dorsey,,61-59,,
7:20.0,Turnover by T. Ariza (bad pass; steal by M. Williams),,61-59,,
7:17.0,,,61-59,,Turnover by M. Williams (bad pass; steal by J. Dorsey)
7:10.0,T. Ariza makes 3-pt shot from 23 ft (assist by T. Jones),3,64-59,,
6:49.0,,,64-62,3,M. Williams makes 3-pt shot from 24 ft (assist by G. Henderson)
6:31.0,J. Terry misses 3-pt shot from 25 ft,,64-62,,
6:31.0,,,64-62,,Defensive rebound by Team
6:19.0,,,64-62,,G. Henderson misses 2-pt shot from 16 ft
6:18.0,Defensive rebound by J. Dorsey,,64-62,,
6:08.0,Shooting foul by J. Taylor (drawn by J. Harden),,64-62,,
6:08.0,J. Harden makes free throw 1 of 2,1,65-62,,
6:08.0,J. Smith enters the game for J. Dorsey,,65-62,,
6:08.0,J. Harden makes free throw 2 of 2,1,66-62,,
5:52.0,,,66-62,,Turnover by G. Henderson (bad pass; steal by T. Ariza)
5:44.0,T. Jones makes 2-pt shot from 7 ft,2,68-62,,
5:25.0,,,68-64,2,B. Biyombo makes 2-pt shot from 4 ft (assist by M. Williams)
5:08.0,J. Smith misses 3-pt shot from 25 ft,,68-64,,
5:07.0,,,68-64,,Defensive rebound by G. Henderson
4:47.0,,,68-64,,K. Walker misses 3-pt shot from 26 ft
4:44.0,,,68-64,,Offensive rebound by B. Biyombo
4:44.0,,,68-66,2,B. Biyombo makes 2-pt shot at rim
4:27.0,Shooting foul by M. Williams (drawn by J. Harden),,68-66,,
4:27.0,J. Harden makes free throw 1 of 2,1,69-66,,
4:27.0,,,69-66,,B. Roberts enters the game for G. Henderson
4:27.0,P. Prigioni enters the game for T. Jones,,69-66,,
4:27.0,C. Capela enters the game for J. Terry,,69-66,,
4:27.0,J. Harden makes free throw 2 of 2,1,70-66,,
4:03.0,,,70-66,,B. Roberts misses 2-pt shot from 1 ft
4:01.0,Defensive rebound by J. Smith,,70-66,,
3:58.0,Shooting foul by J. Taylor (drawn by J. Harden),,70-66,,
3:58.0,J. Harden makes free throw 2 of 2,1,71-66,,
3:58.0,J. Harden makes free throw 1 of 2,1,72-66,,
3:33.0,,,72-66,,K. Walker misses 2-pt shot from 7 ft
3:28.0,Defensive rebound by J. Smith,,72-66,,
3:26.0,J. Harden makes 2-pt shot from 1 ft,2,74-66,,
3:26.0,,,74-66,,Charlotte full timeout
3:23.0,C. Brewer enters the game for T. Ariza,,74-66,,
3:18.0,,,74-66,,T. Daniels enters the game for M. Williams
3:18.0,,,74-66,,N. Vonleh enters the game for K. Walker
3:18.0,Personal foul by C. Brewer (drawn by T. Daniels),,74-66,,
3:01.0,,,74-68,2,T. Daniels makes 2-pt shot from 1 ft
2:47.0,J. Smith makes 2-pt shot from 2 ft,2,76-68,,
2:41.0,Personal foul by P. Prigioni (drawn by B. Roberts),,76-68,,
2:41.0,Houston full timeout,,76-68,,
2:41.0,Personal take foul by C. Capela (drawn by B. Biyombo),,76-68,,
2:41.0,,,76-68,,B. Biyombo misses free throw 1 of 2
2:41.0,,,76-68,,Offensive rebound by Team
2:41.0,,,76-69,1,B. Biyombo makes free throw 2 of 2
2:26.0,J. Harden misses 3-pt shot from 25 ft,,76-69,,
2:25.0,,,76-69,,Defensive rebound by B. Biyombo
2:20.0,Personal take foul by P. Prigioni (drawn by B. Biyombo),,76-69,,
2:20.0,,,76-70,1,B. Biyombo makes free throw 1 of 2
2:20.0,,,76-71,1,B. Biyombo makes free throw 2 of 2
2:08.0,Turnover by C. Brewer (lost ball; steal by T. Daniels),,76-71,,
1:54.0,,,76-73,2,J. Taylor makes 2-pt shot from 8 ft
1:39.0,C. Brewer makes 3-pt shot from 22 ft (assist by P. Prigioni),3,79-73,,
1:26.0,,,79-73,,B. Roberts misses 3-pt shot from 25 ft
1:25.0,Defensive rebound by P. Prigioni,,79-73,,
1:22.0,J. Harden misses 2-pt shot from 1 ft (block by B. Biyombo),,79-73,,
1:22.0,Offensive rebound by Team,,79-73,,
1:22.0,,,79-73,,J. Maxiell enters the game for B. Biyombo
1:22.0,,,79-73,,Personal foul by N. Vonleh (drawn by J. Smith)
1:22.0,J. Smith makes free throw 1 of 2,1,80-73,,
1:22.0,J. Smith makes free throw 2 of 2,1,81-73,,
1:10.0,,,81-73,,Turnover by N. Vonleh (bad pass)
0:55.0,C. Capela makes 2-pt shot at rim (assist by J. Harden),2,83-73,,
0:40.0,,,83-73,,J. Taylor misses 2-pt shot from 17 ft (block by J. Harden)
0:40.0,,,83-73,,Offensive rebound by Team
0:37.0,,,83-75,2,T. Daniels makes 2-pt shot from 18 ft (assist by J. Taylor)
0:29.0,J. Harden misses 2-pt shot from 17 ft,,83-75,,
0:27.0,,,83-75,,Defensive rebound by N. Vonleh
0:06.0,,,83-75,,N. Vonleh misses 2-pt shot from 1 ft
0:05.0,Defensive rebound by C. Capela,,83-75,,
0:00.0,J. Smith misses 3-pt shot from 25 ft,,83-75,,
0:00.0,Offensive rebound by Team,,83-75,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,Offensive charge foul by C. Brewer,,83-75,,
11:47.0,Turnover by C. Brewer (offensive foul),,83-75,,
11:25.0,,,83-75,,Turnover by J. Maxiell (bad pass; steal by P. Prigioni)
11:12.0,C. Capela makes 2-pt shot at rim (assist by J. Smith),2,85-75,,
10:53.0,,,85-75,,N. Vonleh misses 2-pt shot from 7 ft
10:50.0,Defensive rebound by C. Brewer,,85-75,,
10:45.0,C. Brewer misses 2-pt shot from 2 ft,,85-75,,
10:44.0,,,85-75,,Defensive rebound by J. Maxiell
10:44.0,,,85-75,,Turnover by J. Maxiell (bad pass)
10:36.0,C. Capela makes 2-pt shot from 2 ft (assist by P. Prigioni),2,87-75,,
10:19.0,,,87-75,,G. Henderson misses 2-pt shot from 19 ft
10:17.0,Defensive rebound by C. Capela,,87-75,,
9:58.0,P. Prigioni misses 2-pt shot from 6 ft,,87-75,,
9:56.0,,,87-75,,Defensive rebound by J. Maxiell
9:45.0,,,87-75,,Turnover by T. Daniels (lost ball; steal by T. Ariza)
9:45.0,,,87-75,,Personal foul by T. Daniels (drawn by T. Ariza)
9:33.0,T. Ariza misses 3-pt shot from 24 ft,,87-75,,
9:32.0,,,87-75,,Defensive rebound by N. Vonleh
9:23.0,,,87-78,3,N. Vonleh makes 3-pt shot from 25 ft (assist by B. Roberts)
8:59.0,C. Brewer misses 2-pt shot from 1 ft,,87-78,,
8:57.0,,,87-78,,Defensive rebound by J. Maxiell
8:51.0,,,87-78,,B. Roberts misses 3-pt shot from 25 ft
8:49.0,Defensive rebound by C. Brewer,,87-78,,
8:44.0,C. Brewer makes 2-pt shot at rim,2,89-78,,
8:18.0,,,89-78,,B. Roberts misses 2-pt shot from 2 ft (block by C. Capela)
8:16.0,Defensive rebound by P. Prigioni,,89-78,,
8:05.0,J. Smith misses 3-pt shot from 25 ft,,89-78,,
8:04.0,,,89-78,,Defensive rebound by B. Roberts
7:51.0,,,89-80,2,J. Maxiell makes 2-pt shot from 7 ft (assist by B. Roberts)
7:44.0,Houston full timeout,,89-80,,
7:44.0,T. Jones enters the game for C. Capela,,89-80,,
7:44.0,,,89-80,,J. Taylor enters the game for G. Henderson
7:32.0,J. Smith misses 2-pt shot from 6 ft,,89-80,,
7:32.0,Offensive rebound by J. Smith,,89-80,,
7:32.0,Shooting foul by N. Vonleh (drawn by J. Smith),,89-80,,
7:32.0,J. Smith misses free throw 1 of 2,,89-80,,
7:32.0,Offensive rebound by Team,,89-80,,
7:32.0,J. Smith makes free throw 2 of 2,1,90-80,,
7:16.0,,,90-80,,J. Maxiell misses 2-pt shot from 6 ft
7:15.0,Defensive rebound by J. Smith,,90-80,,
7:10.0,C. Brewer makes 2-pt shot from 1 ft,2,92-80,,
6:43.0,,,92-80,,N. Vonleh misses 2-pt shot from 10 ft (block by T. Jones)
6:40.0,Defensive rebound by T. Ariza,,92-80,,
6:29.0,T. Jones misses 2-pt shot from 2 ft,,92-80,,
6:28.0,,,92-80,,Defensive rebound by N. Vonleh
6:13.0,,,92-80,,B. Roberts misses 2-pt shot from 5 ft (block by J. Smith)
6:12.0,Defensive rebound by T. Jones,,92-80,,
5:59.0,T. Jones misses 3-pt shot from 24 ft,,92-80,,
5:58.0,,,92-80,,Defensive rebound by N. Vonleh
5:47.0,Personal foul by P. Prigioni (drawn by T. Daniels),,92-80,,
5:47.0,Official timeout,,92-80,,
5:47.0,J. Harden enters the game for P. Prigioni,,92-80,,
5:47.0,J. Terry enters the game for C. Brewer,,92-80,,
5:40.0,,,92-80,,B. Roberts misses 3-pt shot from 25 ft
5:39.0,Defensive rebound by J. Terry,,92-80,,
5:28.0,T. Ariza misses 2-pt shot from 18 ft,,92-80,,
5:27.0,Offensive rebound by J. Smith,,92-80,,
5:15.0,Turnover by J. Smith (lost ball; steal by J. Maxiell),,92-80,,
5:10.0,,,92-82,2,B. Roberts makes 2-pt shot from 1 ft
4:55.0,T. Ariza misses 2-pt shot from 1 ft,,92-82,,
4:54.0,,,92-82,,Defensive rebound by J. Maxiell
4:41.0,,,92-82,,N. Vonleh misses 2-pt shot from 1 ft (block by T. Jones)
4:40.0,Defensive rebound by Team,,92-82,,
4:22.0,J. Terry misses 3-pt shot from 23 ft,,92-82,,
4:21.0,Offensive rebound by J. Harden,,92-82,,
4:17.0,T. Ariza misses 3-pt shot from 24 ft,,92-82,,
4:16.0,,,92-82,,Defensive rebound by N. Vonleh
4:08.0,,,92-82,,N. Vonleh misses 3-pt shot from 25 ft
4:07.0,Defensive rebound by J. Harden,,92-82,,
3:57.0,J. Harden misses 3-pt shot from 25 ft,,92-82,,
3:54.0,Offensive rebound by J. Smith,,92-82,,
3:53.0,J. Harden makes 2-pt shot from 1 ft (assist by T. Jones),2,94-82,,
3:25.0,,,94-85,3,B. Roberts makes 3-pt shot from 25 ft
