time,Washington,pts.away,score,pts.home,Indiana
10:38.0,,,56-40,,Shooting foul by P. Pierce (drawn by C. Copeland)
10:38.0,,,56-40,,C. Copeland misses free throw 1 of 1
10:38.0,Defensive rebound by N. Hilario,,56-40,,
10:21.0,M. Gortat makes 2-pt shot from 18 ft (assist by P. Pierce),2,58-40,,
10:09.0,,,58-40,,Turnover by I. Mahinmi (bad pass)
9:56.0,M. Gortat makes 2-pt shot from 9 ft (assist by G. Temple),2,60-40,,
9:38.0,,,60-40,,S. Hill misses 2-pt shot from 19 ft
9:37.0,,,60-40,,Offensive rebound by L. Scola
9:36.0,,,60-40,,Shooting foul by N. Hilario (drawn by L. Scola)
9:36.0,,,60-40,,L. Scola misses free throw 1 of 2
9:36.0,,,60-40,,Offensive rebound by Team
9:36.0,,,60-41,1,L. Scola makes free throw 2 of 2
9:22.0,M. Gortat misses 2-pt shot from 8 ft,,60-41,,
9:21.0,,,60-41,,Defensive rebound by I. Mahinmi
9:08.0,,,60-41,,C. Copeland misses 3-pt shot from 23 ft
9:06.0,Defensive rebound by P. Pierce,,60-41,,
8:58.0,M. Gortat misses 2-pt shot from 3 ft,,60-41,,
8:57.0,,,60-41,,Defensive rebound by L. Scola
8:52.0,,,60-44,3,S. Hill makes 3-pt shot from 24 ft (assist by D. Sloan)
8:35.0,Turnover by J. Wall (bad pass),,60-44,,
8:22.0,,,60-46,2,C. Copeland makes 2-pt shot from 17 ft
8:19.0,Washington full timeout,,60-46,,
8:08.0,,,60-46,,Shooting block foul by L. Scola (drawn by P. Pierce)
8:08.0,P. Pierce makes free throw 1 of 2,1,61-46,,
8:08.0,P. Pierce misses free throw 2 of 2,,61-46,,
8:07.0,,,61-46,,Defensive rebound by L. Scola
7:46.0,,,61-46,,C. Copeland misses 3-pt shot from 26 ft
7:45.0,Defensive rebound by G. Temple,,61-46,,
7:33.0,Turnover by J. Wall (bad pass),,61-46,,
7:21.0,,,61-46,,Turnover by I. Mahinmi (3 sec)
7:11.0,G. Temple makes 3-pt shot from 24 ft (assist by J. Wall),3,64-46,,
6:55.0,,,64-46,,D. Sloan misses 3-pt shot from 23 ft
6:55.0,,,64-46,,Offensive rebound by Team
6:55.0,Loose ball foul by G. Temple (drawn by L. Scola),,64-46,,
6:50.0,,,64-48,2,C. Copeland makes 2-pt shot from 2 ft (assist by I. Mahinmi)
6:27.0,M. Gortat makes 2-pt shot from 1 ft (assist by N. Hilario),2,66-48,,
6:03.0,,,66-50,2,S. Hill makes 2-pt shot from 2 ft
5:41.0,P. Pierce misses 2-pt shot from 17 ft,,66-50,,
5:39.0,,,66-50,,Defensive rebound by S. Hill
5:24.0,,,66-50,,C. Copeland misses 3-pt shot from 22 ft
5:23.0,,,66-50,,Offensive rebound by S. Hill
5:20.0,,,66-52,2,S. Hill makes 2-pt shot from 4 ft
4:57.0,Turnover by N. Hilario (traveling),,66-52,,
4:38.0,Shooting block foul by G. Temple (drawn by S. Hill),,66-52,,
4:38.0,,,66-52,,S. Hill misses free throw 1 of 2
4:38.0,,,66-52,,Offensive rebound by Team
4:38.0,,,66-53,1,S. Hill makes free throw 2 of 2
4:30.0,P. Pierce misses 2-pt shot at rim,,66-53,,
4:29.0,Offensive rebound by P. Pierce,,66-53,,
4:27.0,P. Pierce misses 2-pt shot from 2 ft,,66-53,,
4:26.0,,,66-53,,Defensive rebound by L. Scola
4:08.0,,,66-53,,Turnover by S. Hill (bad pass; steal by J. Wall)
3:57.0,P. Pierce misses 3-pt shot from 24 ft,,66-53,,
3:56.0,,,66-53,,Defensive rebound by S. Hill
3:51.0,,,66-53,,Indiana full timeout
3:51.0,,,66-53,,L. Allen enters the game for C. Copeland
3:51.0,,,66-53,,D. Rudez enters the game for L. Scola
3:51.0,K. Humphries enters the game for P. Pierce,,66-53,,
3:51.0,O. Porter enters the game for N. Hilario,,66-53,,
3:41.0,,,66-56,3,D. Sloan makes 3-pt shot from 26 ft (assist by I. Mahinmi)
3:29.0,,,66-56,,Personal foul by L. Allen (drawn by M. Gortat)
3:19.0,J. Wall makes 2-pt shot from 17 ft (assist by K. Humphries),2,68-56,,
3:05.0,,,68-56,,Turnover by S. Hill (offensive foul)
3:05.0,,,68-56,,Offensive foul by S. Hill
2:54.0,J. Wall misses 2-pt shot from 17 ft,,68-56,,
2:53.0,,,68-56,,Defensive rebound by I. Mahinmi
2:38.0,,,68-56,,Shooting foul by M. Gortat (drawn by D. Sloan)
2:38.0,,,68-57,1,D. Sloan makes free throw 1 of 2
2:38.0,,,68-58,1,D. Sloan makes free throw 2 of 2
2:16.0,O. Porter makes 2-pt shot from 4 ft,2,70-58,,
2:00.0,,,70-58,,A. Price enters the game for D. Sloan
2:00.0,,,70-58,,C. Copeland enters the game for I. Mahinmi
2:00.0,K. Seraphin enters the game for M. Gortat,,70-58,,
1:54.0,,,70-58,,A. Price misses 2-pt shot from 3 ft
1:53.0,,,70-58,,Offensive rebound by L. Allen
1:53.0,,,70-60,2,L. Allen makes 2-pt shot from 1 ft
1:45.0,Offensive foul by K. Seraphin,,70-60,,
1:45.0,Turnover by K. Seraphin (offensive foul),,70-60,,
1:31.0,,,70-60,,Shooting foul by G. Temple (drawn by S. Hill)
1:31.0,,,70-61,1,S. Hill makes free throw 1 of 2
1:31.0,,,70-62,1,S. Hill makes free throw 2 of 2
1:20.0,,,70-62,,Shooting block foul by L. Allen (drawn by J. Wall)
1:20.0,J. Wall makes free throw 1 of 2,1,71-62,,
1:20.0,,,71-62,,S. Whittington enters the game for L. Allen
1:20.0,R. Butler enters the game for G. Temple,,71-62,,
1:20.0,J. Wall misses free throw 2 of 2,,71-62,,
1:19.0,,,71-62,,Defensive rebound by A. Price
1:03.0,,,71-62,,C. Copeland misses 2-pt shot from 3 ft (block by K. Humphries)
1:01.0,,,71-62,,Offensive rebound by S. Whittington
0:59.0,,,71-65,3,D. Rudez makes 3-pt shot from 22 ft (assist by S. Whittington)
0:44.0,K. Seraphin misses 2-pt shot from 14 ft,,71-65,,
0:43.0,,,71-65,,Defensive rebound by A. Price
0:35.0,,,71-65,,Turnover by A. Price (traveling)
0:35.0,,,71-65,,Violation by Team (delay of game)
0:25.0,K. Seraphin makes 2-pt shot from 1 ft (assist by R. Butler),2,73-65,,
0:01.0,,,73-65,,A. Price misses 2-pt shot from 16 ft
0:00.0,Defensive rebound by K. Humphries,,73-65,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:51.0,,,73-67,2,S. Hill makes 2-pt shot from 1 ft (assist by S. Whittington)
11:30.0,K. Seraphin makes 2-pt shot from 2 ft,2,75-67,,
11:19.0,Personal foul by A. Miller (drawn by A. Price),,75-67,,
11:12.0,,,75-67,,C. Copeland misses 2-pt shot from 3 ft (block by K. Seraphin)
11:11.0,Defensive rebound by K. Seraphin,,75-67,,
11:03.0,,,75-67,,Personal foul by A. Price (drawn by A. Miller)
11:03.0,A. Miller makes free throw 1 of 2,1,76-67,,
11:03.0,A. Miller makes free throw 2 of 2,1,77-67,,
10:47.0,,,77-69,2,S. Whittington makes 2-pt shot from 5 ft (assist by A. Price)
10:36.0,,,77-69,,Personal foul by C. Copeland (drawn by K. Humphries)
10:30.0,,,77-69,,Personal foul by S. Whittington (drawn by K. Seraphin)
10:16.0,K. Seraphin makes 2-pt shot from 18 ft (assist by R. Butler),2,79-69,,
10:02.0,,,79-69,,C. Copeland misses 2-pt shot from 18 ft
10:01.0,Defensive rebound by A. Miller,,79-69,,
9:54.0,R. Butler misses 3-pt shot from 22 ft,,79-69,,
9:53.0,,,79-69,,Defensive rebound by S. Hill
9:47.0,,,79-69,,Shooting foul by K. Seraphin (drawn by S. Hill)
9:47.0,,,79-70,1,S. Hill makes free throw 1 of 2
9:47.0,,,79-70,,I. Mahinmi enters the game for C. Copeland
9:47.0,N. Hilario enters the game for K. Seraphin,,79-70,,
9:47.0,,,79-71,1,S. Hill makes free throw 2 of 2
9:38.0,,,79-71,,Personal foul by I. Mahinmi (drawn by K. Humphries)
9:30.0,Turnover by N. Hilario (bad pass),,79-71,,
9:14.0,,,79-73,2,A. Price makes 2-pt shot from 17 ft
9:14.0,,,79-73,,Shooting foul by A. Miller (drawn by A. Price)
9:14.0,J. Wall enters the game for A. Miller,,79-73,,
9:14.0,,,79-74,1,A. Price makes free throw 1 of 1
9:02.0,Turnover by J. Wall (bad pass; steal by S. Hill),,79-74,,
8:49.0,,,79-76,2,I. Mahinmi makes 2-pt shot from 1 ft (assist by S. Hill)
8:46.0,Washington full timeout,,79-76,,
8:46.0,M. Gortat enters the game for K. Humphries,,79-76,,
8:46.0,G. Temple enters the game for O. Porter,,79-76,,
8:29.0,M. Gortat makes 2-pt shot from 3 ft (assist by N. Hilario),2,81-76,,
8:17.0,,,81-78,2,S. Hill makes 2-pt shot from 1 ft (assist by A. Price)
8:02.0,N. Hilario misses 2-pt shot from 15 ft,,81-78,,
8:01.0,Offensive rebound by M. Gortat,,81-78,,
7:56.0,J. Wall misses 2-pt shot from 20 ft,,81-78,,
7:53.0,,,81-78,,Defensive rebound by S. Whittington
7:39.0,P. Pierce enters the game for R. Butler,,81-78,,
7:39.0,Violation by P. Pierce (kicked ball),,81-78,,
7:31.0,,,81-78,,A. Price misses 3-pt shot from 26 ft
7:30.0,Defensive rebound by G. Temple,,81-78,,
7:15.0,P. Pierce misses 2-pt shot from 19 ft,,81-78,,
7:14.0,Offensive rebound by N. Hilario,,81-78,,
7:13.0,Shooting foul by D. Rudez (drawn by P. Pierce),,81-78,,
7:13.0,P. Pierce makes free throw 1 of 2,1,82-78,,
7:13.0,,,82-78,,D. Sloan enters the game for A. Price
7:13.0,P. Pierce makes free throw 2 of 2,1,83-78,,
6:49.0,,,83-80,2,S. Hill makes 2-pt shot from 4 ft
6:33.0,Offensive foul by N. Hilario,,83-80,,
6:33.0,Turnover by N. Hilario (offensive foul),,83-80,,
6:13.0,,,83-80,,S. Hill misses 2-pt shot from 3 ft
6:11.0,,,83-80,,Offensive rebound by S. Hill
6:11.0,,,83-80,,S. Hill misses 2-pt shot from 2 ft
6:09.0,Defensive rebound by J. Wall,,83-80,,
6:02.0,Shooting foul by S. Whittington (drawn by J. Wall),,83-80,,
6:02.0,J. Wall makes free throw 1 of 2,1,84-80,,
6:02.0,,,84-80,,C. Copeland enters the game for S. Hill
6:02.0,J. Wall makes free throw 2 of 2,1,85-80,,
5:46.0,,,85-80,,S. Whittington misses 3-pt shot from 23 ft
5:45.0,Defensive rebound by J. Wall,,85-80,,
5:36.0,P. Pierce misses 3-pt shot from 25 ft,,85-80,,
5:35.0,,,85-80,,Defensive rebound by S. Whittington
5:20.0,,,85-80,,C. Copeland misses 2-pt shot from 5 ft
5:19.0,Defensive rebound by M. Gortat,,85-80,,
5:12.0,Turnover by G. Temple (bad pass; steal by C. Copeland),,85-80,,
5:05.0,,,85-80,,Indiana full timeout
5:05.0,,,85-80,,L. Scola enters the game for D. Rudez
5:05.0,,,85-80,,S. Hill enters the game for S. Whittington
4:51.0,,,85-80,,C. Copeland misses 3-pt shot from 24 ft
4:50.0,Defensive rebound by G. Temple,,85-80,,
4:32.0,P. Pierce misses 3-pt shot from 24 ft,,85-80,,
4:31.0,,,85-80,,Defensive rebound by D. Sloan
4:14.0,,,85-80,,S. Hill misses 3-pt shot from 25 ft
4:13.0,Defensive rebound by N. Hilario,,85-80,,
3:56.0,M. Gortat makes 2-pt shot from 1 ft (assist by P. Pierce),2,87-80,,
3:34.0,,,87-80,,C. Copeland misses 3-pt shot from 25 ft
3:33.0,Defensive rebound by M. Gortat,,87-80,,
3:16.0,J. Wall misses 2-pt shot from 16 ft,,87-80,,
3:14.0,Offensive rebound by N. Hilario,,87-80,,
3:14.0,N. Hilario misses 2-pt shot from 2 ft,,87-80,,
3:13.0,Offensive rebound by N. Hilario,,87-80,,
3:05.0,J. Wall makes 2-pt shot from 1 ft,2,89-80,,
2:51.0,,,89-83,3,D. Sloan makes 3-pt shot from 26 ft
2:21.0,M. Gortat makes 2-pt shot from 12 ft (assist by N. Hilario),2,91-83,,
2:04.0,,,91-83,,D. Sloan misses 2-pt shot from 14 ft (block by N. Hilario)
2:04.0,,,91-83,,Offensive rebound by Team
2:04.0,Official timeout,,91-83,,
