time,Charlotte,pts.away,score,pts.home,Detroit
0:25.0,,,10-30,3,J. Meeks makes 3-pt shot from 27 ft (assist by Q. Miller)
0:02.0,K. Walker misses 2-pt shot from 8 ft,,10-30,,
0:02.0,,,10-30,,Defensive rebound by A. Drummond
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,T. Daniels misses 2-pt shot from 19 ft,,10-30,,
11:43.0,,,10-30,,Defensive rebound by G. Monroe
11:34.0,Def 3 sec tech foul by N. Vonleh,,10-30,,
11:34.0,,,10-30,,J. Meeks misses technical free throw
11:34.0,,,10-30,,Offensive rebound by Team
11:21.0,,,10-33,3,A. Tolliver makes 3-pt shot from 27 ft (assist by G. Monroe)
11:04.0,Shooting foul by Q. Miller (drawn by P. Hairston),,10-33,,
11:04.0,P. Hairston makes free throw 1 of 2,1,11-33,,
11:04.0,P. Hairston makes free throw 2 of 2,1,12-33,,
10:50.0,,,12-33,,G. Monroe misses 2-pt shot from 1 ft
10:49.0,Defensive rebound by N. Vonleh,,12-33,,
10:41.0,P. Hairston misses 3-pt shot from 26 ft,,12-33,,
10:39.0,,,12-33,,Defensive rebound by A. Tolliver
10:24.0,,,12-33,,Turnover by J. Lucas III (lost ball; steal by B. Roberts)
10:16.0,Shooting foul by Q. Miller (drawn by N. Vonleh),,12-33,,
10:16.0,N. Vonleh misses free throw 1 of 2,,12-33,,
10:16.0,Offensive rebound by Team,,12-33,,
10:16.0,N. Vonleh makes free throw 2 of 2,1,13-33,,
10:04.0,,,13-33,,Shooting foul by T. Daniels (drawn by J. Meeks)
10:04.0,,,13-34,1,J. Meeks makes free throw 1 of 2
10:04.0,,,13-35,1,J. Meeks makes free throw 2 of 2
9:48.0,B. Roberts misses 2-pt shot from 17 ft,,13-35,,
9:47.0,Offensive rebound by J. Maxiell,,13-35,,
9:42.0,T. Daniels misses 3-pt shot from 24 ft,,13-35,,
9:41.0,,,13-35,,Defensive rebound by J. Lucas III
9:38.0,,,13-35,,Shooting foul by T. Daniels (drawn by J. Meeks)
9:38.0,,,13-36,1,J. Meeks makes free throw 1 of 2
9:38.0,,,13-37,1,J. Meeks makes free throw 2 of 2
9:29.0,,,13-37,,Personal foul by J. Lucas III (drawn by B. Roberts)
9:12.0,N. Vonleh misses 2-pt shot from 16 ft (block by Q. Miller),,13-37,,
9:11.0,,,13-37,,Defensive rebound by G. Monroe
9:00.0,,,13-40,3,A. Tolliver makes 3-pt shot from 26 ft (assist by G. Monroe)
8:43.0,P. Hairston misses 2-pt shot from 21 ft,,13-40,,
8:43.0,,,13-40,,Defensive rebound by Team
8:43.0,Official timeout,,13-40,,
8:43.0,M. Williams enters the game for N. Vonleh,,13-40,,
8:43.0,G. Henderson enters the game for P. Hairston,,13-40,,
8:32.0,,,13-40,,G. Monroe misses 2-pt shot from 4 ft
8:30.0,Defensive rebound by J. Maxiell,,13-40,,
8:22.0,J. Maxiell misses 2-pt shot at rim,,13-40,,
8:20.0,,,13-40,,Defensive rebound by J. Lucas III
8:14.0,,,13-40,,A. Tolliver misses 3-pt shot from 25 ft
8:13.0,Defensive rebound by B. Roberts,,13-40,,
8:04.0,Offensive charge foul by M. Williams,,13-40,,
8:04.0,Turnover by M. Williams (offensive foul),,13-40,,
7:40.0,,,13-40,,J. Lucas III misses 2-pt shot from 10 ft
7:39.0,Defensive rebound by T. Daniels,,13-40,,
7:32.0,Turnover by T. Daniels (lost ball; steal by J. Meeks),,13-40,,
7:26.0,,,13-42,2,A. Tolliver makes 2-pt shot at rim (assist by J. Lucas III)
7:20.0,Charlotte full timeout,,13-42,,
7:09.0,Shooting foul by A. Tolliver (drawn by M. Williams),,13-42,,
7:09.0,M. Williams makes free throw 1 of 2,1,14-42,,
7:09.0,M. Williams makes free throw 2 of 2,1,15-42,,
6:56.0,,,15-44,2,J. Meeks makes 2-pt shot from 14 ft (assist by J. Lucas III)
6:44.0,,,15-44,,Personal foul by A. Tolliver (drawn by B. Roberts)
6:44.0,B. Roberts makes free throw 1 of 2,1,16-44,,
6:44.0,,,16-44,,A. Drummond enters the game for A. Tolliver
6:44.0,K. Walker enters the game for T. Daniels,,16-44,,
6:44.0,B. Roberts makes free throw 2 of 2,1,17-44,,
6:27.0,,,17-46,2,J. Lucas III makes 2-pt shot from 19 ft (assist by A. Drummond)
6:14.0,B. Roberts misses 2-pt shot from 6 ft,,17-46,,
6:12.0,,,17-46,,Defensive rebound by G. Monroe
6:06.0,,,17-49,3,J. Meeks makes 3-pt shot from 26 ft
5:48.0,J. Maxiell makes 2-pt shot from 8 ft (assist by K. Walker),2,19-49,,
5:31.0,,,19-49,,J. Meeks misses 3-pt shot from 26 ft
5:30.0,Defensive rebound by M. Williams,,19-49,,
5:16.0,G. Henderson misses 2-pt shot from 13 ft,,19-49,,
5:15.0,,,19-49,,Defensive rebound by A. Drummond
4:55.0,,,19-51,2,A. Drummond makes 2-pt shot from 7 ft (assist by G. Monroe)
4:38.0,B. Roberts misses 2-pt shot from 14 ft,,19-51,,
4:37.0,,,19-51,,Defensive rebound by A. Drummond
4:28.0,,,19-53,2,J. Lucas III makes 2-pt shot from 20 ft
4:14.0,Charlotte full timeout,,19-53,,
4:14.0,,,19-53,,R. Jackson enters the game for Q. Miller
4:14.0,,,19-53,,K. Caldwell-Pope enters the game for J. Lucas III
4:14.0,N. Vonleh enters the game for M. Williams,,19-53,,
4:14.0,T. Daniels enters the game for J. Maxiell,,19-53,,
4:14.0,B. Biyombo enters the game for B. Roberts,,19-53,,
3:50.0,K. Walker makes 3-pt shot from 27 ft (assist by G. Henderson),3,22-53,,
3:39.0,,,22-53,,Shooting foul by N. Vonleh (drawn by G. Monroe)
3:39.0,,,22-54,1,G. Monroe makes free throw 1 of 2
3:39.0,,,22-55,1,G. Monroe makes free throw 2 of 2
3:14.0,G. Henderson makes 2-pt shot at rim,2,24-55,,
2:51.0,,,24-55,,Detroit full timeout
2:48.0,,,24-55,,G. Monroe misses 2-pt shot from 6 ft
2:48.0,,,24-55,,Offensive rebound by Team
2:48.0,,,24-55,,Turnover by Team (shot clock)
2:33.0,N. Vonleh misses 3-pt shot from 26 ft,,24-55,,
2:32.0,,,24-55,,Defensive rebound by K. Caldwell-Pope
2:17.0,,,24-55,,R. Jackson misses 2-pt shot from 15 ft
2:16.0,Defensive rebound by G. Henderson,,24-55,,
2:08.0,G. Henderson misses 2-pt shot from 13 ft,,24-55,,
2:06.0,Offensive rebound by N. Vonleh,,24-55,,
2:05.0,N. Vonleh makes 2-pt shot at rim,2,26-55,,
1:53.0,,,26-55,,J. Meeks misses 2-pt shot from 21 ft
1:52.0,Defensive rebound by N. Vonleh,,26-55,,
1:38.0,Shooting foul by A. Drummond (drawn by N. Vonleh),,26-55,,
1:38.0,N. Vonleh makes free throw 1 of 2,1,27-55,,
1:38.0,,,27-55,,S. Williams enters the game for A. Drummond
1:38.0,N. Vonleh makes free throw 2 of 2,1,28-55,,
1:25.0,,,28-55,,S. Williams misses 2-pt shot from 22 ft
1:24.0,,,28-55,,Offensive rebound by G. Monroe
1:24.0,,,28-55,,Shooting foul by G. Henderson (drawn by G. Monroe)
1:24.0,,,28-56,1,G. Monroe makes free throw 1 of 2
1:24.0,,,28-57,1,G. Monroe makes free throw 2 of 2
1:02.0,B. Biyombo misses 2-pt shot from 1 ft (block by G. Monroe),,28-57,,
1:01.0,Offensive rebound by N. Vonleh,,28-57,,
1:00.0,N. Vonleh makes 2-pt shot at rim,2,30-57,,
0:43.0,,,30-57,,K. Caldwell-Pope misses 2-pt shot from 2 ft
0:42.0,Defensive rebound by N. Vonleh,,30-57,,
0:38.0,G. Henderson makes 2-pt shot at rim (assist by K. Walker),2,32-57,,
0:38.0,Shooting foul by S. Williams (drawn by G. Henderson),,32-57,,
0:38.0,G. Henderson misses free throw 1 of 1,,32-57,,
0:37.0,,,32-57,,Defensive rebound by G. Monroe
0:30.0,,,32-59,2,R. Jackson makes 2-pt shot at rim
0:08.0,G. Henderson makes 2-pt shot at rim (assist by K. Walker),2,34-59,,
0:01.0,,,34-59,,S. Williams misses 3-pt shot from 22 ft
0:00.0,,,34-59,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,G. Henderson makes 2-pt shot at rim (assist by K. Walker),2,36-59,,
11:28.0,Def 3 sec tech foul by B. Biyombo,,36-59,,
11:28.0,,,36-60,1,R. Jackson makes technical free throw
11:18.0,,,36-60,,Q. Miller misses 3-pt shot from 26 ft
11:17.0,Defensive rebound by B. Biyombo,,36-60,,
11:09.0,G. Henderson misses 2-pt shot from 17 ft,,36-60,,
11:08.0,,,36-60,,Defensive rebound by A. Drummond
10:55.0,,,36-60,,Q. Miller misses 2-pt shot at rim (block by B. Biyombo)
10:53.0,Defensive rebound by G. Henderson,,36-60,,
10:48.0,G. Henderson makes 2-pt shot at rim,2,38-60,,
10:29.0,,,38-62,2,A. Drummond makes 2-pt shot at rim (assist by R. Jackson)
10:03.0,Turnover by G. Henderson (bad pass; steal by G. Monroe),,38-62,,
9:55.0,,,38-62,,Turnover by K. Caldwell-Pope (lost ball; steal by G. Henderson)
9:46.0,J. Taylor makes 2-pt shot at rim,2,40-62,,
9:46.0,Shooting foul by Q. Miller (drawn by J. Taylor),,40-62,,
9:46.0,J. Taylor makes free throw 1 of 1,1,41-62,,
9:27.0,,,41-62,,Turnover by K. Caldwell-Pope (lost ball; steal by G. Henderson)
9:21.0,G. Henderson misses 2-pt shot from 1 ft,,41-62,,
9:20.0,,,41-62,,Defensive rebound by R. Jackson
9:07.0,,,41-62,,Q. Miller misses 3-pt shot from 26 ft
9:06.0,,,41-62,,Offensive rebound by Q. Miller
9:04.0,,,41-62,,Turnover by Q. Miller (lost ball; steal by K. Walker)
8:59.0,Turnover by J. Taylor (traveling),,41-62,,
8:59.0,,,41-62,,Detroit full timeout
8:35.0,,,41-64,2,K. Caldwell-Pope makes 2-pt shot at rim (assist by A. Drummond)
8:18.0,G. Henderson makes 2-pt shot from 10 ft (assist by K. Walker),2,43-64,,
7:57.0,,,43-64,,R. Jackson misses 2-pt shot from 15 ft
7:55.0,Defensive rebound by M. Williams,,43-64,,
7:37.0,B. Biyombo makes 2-pt shot from 5 ft (assist by M. Williams),2,45-64,,
7:27.0,,,45-64,,Shooting foul by G. Henderson (drawn by R. Jackson)
7:27.0,,,45-65,1,R. Jackson makes free throw 1 of 2
7:27.0,,,45-66,1,R. Jackson makes free throw 2 of 2
7:10.0,G. Henderson misses 2-pt shot from 19 ft,,45-66,,
7:08.0,,,45-66,,Defensive rebound by G. Monroe
6:48.0,,,45-69,3,K. Caldwell-Pope makes 3-pt shot from 26 ft (assist by G. Monroe)
6:21.0,K. Walker misses 2-pt shot from 16 ft,,45-69,,
6:20.0,,,45-69,,Defensive rebound by A. Drummond
6:13.0,,,45-69,,G. Monroe misses 2-pt shot from 6 ft
6:11.0,Defensive rebound by B. Biyombo,,45-69,,
5:59.0,G. Henderson misses 2-pt shot from 5 ft,,45-69,,
5:56.0,,,45-69,,Defensive rebound by A. Drummond
5:48.0,,,45-69,,K. Caldwell-Pope misses 3-pt shot from 26 ft
5:47.0,Defensive rebound by J. Taylor,,45-69,,
5:36.0,Shooting foul by A. Drummond (drawn by B. Biyombo),,45-69,,
5:36.0,B. Biyombo misses free throw 1 of 2,,45-69,,
5:36.0,Offensive rebound by Team,,45-69,,
5:36.0,N. Vonleh enters the game for M. Williams,,45-69,,
5:36.0,,,45-69,,A. Tolliver enters the game for A. Drummond
5:36.0,B. Biyombo makes free throw 2 of 2,1,46-69,,
5:12.0,,,46-69,,Q. Miller misses 3-pt shot from 26 ft
5:11.0,,,46-69,,Offensive rebound by A. Tolliver
5:11.0,,,46-69,,Turnover by A. Tolliver (back court)
5:03.0,G. Henderson misses 2-pt shot from 14 ft,,46-69,,
5:01.0,,,46-69,,Defensive rebound by A. Tolliver
4:56.0,,,46-69,,Turnover by R. Jackson (bad pass; steal by G. Henderson)
4:36.0,K. Walker misses 3-pt shot from 26 ft,,46-69,,
4:34.0,,,46-69,,Defensive rebound by K. Caldwell-Pope
4:30.0,,,46-69,,Shooting foul by B. Biyombo (drawn by G. Monroe)
4:30.0,,,46-70,1,G. Monroe makes free throw 1 of 2
4:30.0,,,46-70,,J. Meeks enters the game for Q. Miller
4:30.0,T. Daniels enters the game for G. Henderson,,46-70,,
4:30.0,,,46-71,1,G. Monroe makes free throw 2 of 2
4:20.0,Shooting foul by A. Tolliver (drawn by K. Walker),,46-71,,
4:20.0,K. Walker makes free throw 1 of 2,1,47-71,,
4:20.0,K. Walker makes free throw 2 of 2,1,48-71,,
4:06.0,,,48-74,3,J. Meeks makes 3-pt shot from 28 ft (assist by R. Jackson)
3:51.0,T. Daniels misses 2-pt shot from 14 ft,,48-74,,
3:51.0,Offensive rebound by Team,,48-74,,
3:51.0,P. Hairston enters the game for J. Taylor,,48-74,,
3:43.0,,,48-74,,Personal foul by R. Jackson (drawn by B. Biyombo)
3:34.0,Shooting foul by G. Monroe (drawn by N. Vonleh),,48-74,,
3:34.0,N. Vonleh misses free throw 1 of 2,,48-74,,
3:34.0,Offensive rebound by Team,,48-74,,
3:34.0,N. Vonleh misses free throw 2 of 2,,48-74,,
3:33.0,,,48-74,,Defensive rebound by G. Monroe
3:20.0,,,48-77,3,K. Caldwell-Pope makes 3-pt shot from 26 ft (assist by R. Jackson)
3:02.0,N. Vonleh makes 2-pt shot from 1 ft (assist by P. Hairston),2,50-77,,
2:51.0,Personal foul by B. Biyombo (drawn by G. Monroe),,50-77,,
2:51.0,Charlotte full timeout,,50-77,,
2:41.0,,,50-80,3,A. Tolliver makes 3-pt shot from 25 ft (assist by R. Jackson)
2:25.0,Turnover by K. Walker (lost ball; steal by J. Meeks),,50-80,,
2:18.0,,,50-80,,J. Meeks misses 3-pt shot from 26 ft
2:17.0,Defensive rebound by N. Vonleh,,50-80,,
2:00.0,Turnover by N. Vonleh (bad pass; steal by J. Meeks),,50-80,,
1:57.0,,,50-80,,Offensive foul by R. Jackson
1:57.0,,,50-80,,Turnover by R. Jackson (offensive foul)
1:57.0,J. Maxiell enters the game for B. Biyombo,,50-80,,
1:42.0,T. Daniels makes 2-pt shot from 5 ft (assist by K. Walker),2,52-80,,
1:30.0,,,52-80,,Turnover by J. Meeks (lost ball)
1:13.0,Turnover by N. Vonleh (bad pass; steal by K. Caldwell-Pope),,52-80,,
1:09.0,,,52-80,,K. Caldwell-Pope misses 2-pt shot at rim
1:06.0,Defensive rebound by T. Daniels,,52-80,,
0:47.0,K. Walker misses 2-pt shot from 1 ft,,52-80,,
0:45.0,,,52-80,,Defensive rebound by K. Caldwell-Pope
0:41.0,,,52-80,,Shooting foul by P. Hairston (drawn by G. Monroe)
0:41.0,,,52-81,1,G. Monroe makes free throw 1 of 2
0:41.0,,,52-81,,J. Lucas III enters the game for R. Jackson
0:41.0,,,52-82,1,G. Monroe makes free throw 2 of 2
0:23.0,P. Hairston makes 2-pt shot at rim (assist by T. Daniels),2,54-82,,
0:03.0,,,54-82,,Turnover by J. Lucas III (lost ball; steal by N. Vonleh)
0:01.0,K. Walker misses 3-pt shot from 53 ft,,54-82,,
0:00.0,Offensive rebound by Team,,54-82,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,54-82,,A. Drummond misses 2-pt shot from 7 ft
11:44.0,Defensive rebound by N. Vonleh,,54-82,,
11:30.0,N. Vonleh misses 2-pt shot from 2 ft (block by A. Drummond),,54-82,,
11:28.0,,,54-82,,Defensive rebound by J. Meeks
11:22.0,,,54-85,3,A. Tolliver makes 3-pt shot from 26 ft (assist by Q. Miller)
11:04.0,J. Maxiell misses 2-pt shot from 16 ft,,54-85,,
11:03.0,,,54-85,,Defensive rebound by A. Tolliver
10:49.0,,,54-88,3,Q. Miller makes 3-pt shot from 26 ft (assist by J. Lucas III)
10:49.0,Charlotte full timeout,,54-88,,
10:32.0,T. Daniels misses 3-pt shot from 25 ft,,54-88,,
10:30.0,,,54-88,,Defensive rebound by J. Lucas III
10:12.0,,,54-90,2,J. Lucas III makes 2-pt shot from 21 ft
9:57.0,T. Daniels misses 2-pt shot at rim,,54-90,,
9:56.0,,,54-90,,Defensive rebound by Q. Miller
9:49.0,,,54-90,,Q. Miller misses 2-pt shot from 6 ft
9:47.0,Jump ball: J. Maxiell vs. Q. Miller (B. Roberts gains possession),,,,Jump ball: J. Maxiell vs. Q. Miller (B. Roberts gains possession)
9:47.0,Defensive rebound by Team,,54-90,,
9:36.0,B. Roberts makes 3-pt shot from 26 ft,3,57-90,,
9:21.0,,,57-90,,Turnover by J. Meeks (lost ball; steal by T. Daniels)
9:19.0,B. Roberts makes 2-pt shot at rim,2,59-90,,
9:19.0,Shooting foul by J. Meeks (drawn by B. Roberts),,59-90,,
9:19.0,B. Roberts misses free throw 1 of 1,,59-90,,
9:18.0,Offensive rebound by J. Maxiell,,59-90,,
9:17.0,J. Maxiell makes 2-pt shot at rim,2,61-90,,
9:17.0,,,61-90,,Detroit full timeout
9:02.0,,,61-90,,A. Drummond misses 2-pt shot from 4 ft
8:59.0,Defensive rebound by N. Vonleh,,61-90,,
8:56.0,Charlotte full timeout,,61-90,,
8:56.0,J. Taylor enters the game for P. Hairston,,61-90,,
8:51.0,T. Daniels misses 3-pt shot from 25 ft,,61-90,,
8:50.0,,,61-90,,Defensive rebound by Team
8:27.0,,,61-90,,J. Lucas III misses 2-pt shot from 17 ft
8:25.0,Defensive rebound by J. Maxiell,,61-90,,
8:11.0,J. Maxiell misses 2-pt shot from 5 ft,,61-90,,
8:10.0,,,61-90,,Defensive rebound by Q. Miller
8:04.0,,,61-90,,J. Lucas III misses 2-pt shot at rim
8:03.0,Defensive rebound by N. Vonleh,,61-90,,
7:54.0,J. Taylor misses 2-pt shot from 6 ft (block by A. Drummond),,61-90,,
7:54.0,Offensive rebound by Team,,61-90,,
7:45.0,Shooting foul by A. Tolliver (drawn by J. Taylor),,61-90,,
7:45.0,J. Taylor misses free throw 1 of 2,,61-90,,
7:45.0,Offensive rebound by Team,,61-90,,
7:45.0,J. Taylor makes free throw 2 of 2,1,62-90,,
7:32.0,,,62-92,2,J. Meeks makes 2-pt shot from 13 ft (assist by J. Lucas III)
7:18.0,J. Taylor makes 2-pt shot from 15 ft (assist by B. Roberts),2,64-92,,
7:00.0,,,64-94,2,J. Meeks makes 2-pt shot at rim (assist by A. Drummond)
6:41.0,N. Vonleh makes 2-pt shot from 15 ft (assist by B. Roberts),2,66-94,,
6:32.0,,,66-94,,Turnover by A. Tolliver (offensive foul)
6:32.0,,,66-94,,Offensive foul by A. Tolliver
6:32.0,,,66-94,,S. Williams enters the game for A. Tolliver
6:15.0,J. Taylor makes 2-pt shot from 17 ft,2,68-94,,
5:48.0,,,68-94,,J. Lucas III misses 2-pt shot from 5 ft
5:47.0,Defensive rebound by N. Vonleh,,68-94,,
5:39.0,B. Roberts makes 3-pt shot from 26 ft,3,71-94,,
5:21.0,,,71-94,,Offensive foul by A. Drummond
5:21.0,,,71-94,,Turnover by A. Drummond (offensive foul)
5:21.0,B. Biyombo enters the game for J. Maxiell,,71-94,,
5:21.0,,,71-94,,R. Jackson enters the game for J. Lucas III
5:21.0,,,71-94,,K. Caldwell-Pope enters the game for Q. Miller
5:06.0,B. Roberts misses 2-pt shot from 18 ft,,71-94,,
5:05.0,,,71-94,,Defensive rebound by K. Caldwell-Pope
4:54.0,,,71-94,,J. Meeks misses 3-pt shot from 22 ft
4:53.0,,,71-94,,Offensive rebound by R. Jackson
4:42.0,,,71-96,2,S. Williams makes 2-pt shot from 18 ft (assist by R. Jackson)
4:28.0,B. Biyombo misses 2-pt shot from 5 ft,,71-96,,
4:26.0,,,71-96,,Defensive rebound by A. Drummond
4:18.0,,,71-96,,Shooting foul by B. Biyombo (drawn by A. Drummond)
4:18.0,,,71-97,1,A. Drummond makes free throw 1 of 2
4:18.0,,,71-97,,A. Drummond misses free throw 2 of 2
4:17.0,Defensive rebound by B. Roberts,,71-97,,
3:58.0,N. Vonleh misses 2-pt shot from 6 ft,,71-97,,
3:56.0,,,71-97,,Defensive rebound by A. Drummond
3:49.0,,,71-97,,A. Drummond misses 2-pt shot at rim
3:48.0,,,71-97,,Offensive rebound by A. Drummond
3:47.0,,,71-99,2,A. Drummond makes 2-pt shot at rim
3:22.0,N. Vonleh makes 3-pt shot from 27 ft (assist by B. Roberts),3,74-99,,
3:15.0,,,74-99,,Detroit full timeout
3:15.0,,,74-99,,J. Anthony enters the game for A. Drummond
3:15.0,,,74-99,,Q. Miller enters the game for K. Caldwell-Pope
3:15.0,,,74-99,,C. Martin enters the game for R. Jackson
3:15.0,,,74-99,,J. Lucas III enters the game for J. Meeks
