time,Philadelphia,pts.away,score,pts.home,Washington
3:25.0,,,11-18,,Turnover by J. Wall (bad pass)
3:06.0,M. Carter-Williams misses 2-pt shot from 16 ft,,11-18,,
3:05.0,,,11-18,,Defensive rebound by K. Humphries
3:00.0,,,11-20,2,R. Butler makes 2-pt shot at rim (assist by J. Wall)
2:48.0,,,11-20,,Personal block foul by K. Humphries (drawn by J. Grant)
2:48.0,L. Drew enters the game for M. Carter-Williams,,11-20,,
2:42.0,M. Thomas misses 3-pt shot from 26 ft,,11-20,,
2:40.0,,,11-20,,Defensive rebound by O. Porter
2:27.0,,,11-22,2,J. Wall makes 2-pt shot from 20 ft
2:08.0,J. Grant misses 3-pt shot from 26 ft,,11-22,,
2:07.0,,,11-22,,Defensive rebound by R. Butler
1:59.0,,,11-22,,R. Butler misses 2-pt shot from 19 ft
1:57.0,Defensive rebound by Team,,11-22,,
1:46.0,M. Thomas misses 2-pt shot from 1 ft,,11-22,,
1:43.0,,,11-22,,Defensive rebound by O. Porter
1:33.0,,,11-24,2,J. Wall makes 2-pt shot from 18 ft
1:13.0,H. Thompson misses 3-pt shot from 26 ft,,11-24,,
1:13.0,,,11-24,,Defensive rebound by K. Humphries
0:57.0,,,11-24,,J. Wall misses 2-pt shot from 12 ft
0:55.0,,,11-24,,Offensive rebound by O. Porter
0:53.0,,,11-26,2,R. Butler makes 2-pt shot from 9 ft (assist by O. Porter)
0:53.0,,,11-26,,Shooting foul by F. Aldemir (drawn by R. Butler)
0:53.0,,,11-26,,A. Miller enters the game for J. Wall
0:53.0,,,11-27,1,R. Butler makes free throw 1 of 1
0:36.0,J. Grant misses 2-pt shot from 12 ft,,11-27,,
0:35.0,Offensive rebound by J. Grant,,11-27,,
0:34.0,J. Grant misses 2-pt shot from 7 ft,,11-27,,
0:34.0,Offensive rebound by F. Aldemir,,11-27,,
0:34.0,F. Aldemir makes 2-pt shot at rim,2,13-27,,
0:27.0,,,13-27,,Turnover by A. Miller (bad pass; steal by F. Aldemir)
0:07.0,Shooting foul by R. Butler (drawn by H. Thompson),,13-27,,
0:07.0,H. Thompson makes free throw 1 of 2,1,14-27,,
0:07.0,,,14-27,,J. Wall enters the game for M. Gortat
0:07.0,J. Sampson enters the game for M. Thomas,,14-27,,
0:07.0,K. McDaniels enters the game for F. Aldemir,,14-27,,
0:07.0,H. Thompson misses free throw 2 of 2,,14-27,,
0:06.0,,,14-27,,Defensive rebound by Team
0:02.0,,,14-27,,Turnover by R. Butler (lost ball; steal by K. McDaniels)
0:01.0,L. Drew misses 3-pt shot from 52 ft,,14-27,,
0:00.0,Offensive rebound by Team,,14-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,Personal foul by H. Sims (drawn by N. Hilario),,14-27,,
11:40.0,,,14-29,2,N. Hilario makes 2-pt shot from 13 ft (assist by A. Miller)
11:14.0,H. Sims misses 2-pt shot from 1 ft,,14-29,,
11:13.0,,,14-29,,Defensive rebound by N. Hilario
10:56.0,,,14-31,2,K. Seraphin makes 2-pt shot at rim (assist by O. Porter)
10:45.0,Turnover by H. Sims (bad pass),,14-31,,
10:27.0,,,14-33,2,N. Hilario makes 2-pt shot from 1 ft
10:22.0,Philadelphia full timeout,,14-33,,
10:22.0,M. Carter-Williams enters the game for J. Grant,,14-33,,
10:22.0,N. Noel enters the game for H. Thompson,,14-33,,
10:22.0,R. Covington enters the game for L. Drew,,14-33,,
10:05.0,H. Sims misses 2-pt shot from 10 ft,,14-33,,
10:05.0,,,14-33,,Defensive rebound by Team
9:48.0,,,14-33,,R. Butler misses 3-pt shot from 27 ft
9:47.0,,,14-33,,Offensive rebound by O. Porter
9:45.0,,,14-35,2,O. Porter makes 2-pt shot from 5 ft
9:28.0,K. McDaniels misses 2-pt shot from 19 ft,,14-35,,
9:27.0,,,14-35,,Defensive rebound by K. Seraphin
9:13.0,,,14-37,2,K. Seraphin makes 2-pt shot from 12 ft (assist by R. Butler)
8:53.0,N. Noel makes 2-pt shot at rim (assist by H. Sims),2,16-37,,
8:38.0,Personal foul by M. Carter-Williams (drawn by A. Miller),,16-37,,
8:38.0,J. Sampson enters the game for K. McDaniels,,16-37,,
8:24.0,,,16-39,2,O. Porter makes 2-pt shot from 16 ft
8:09.0,R. Covington makes 2-pt shot from 5 ft (assist by M. Carter-Williams),2,18-39,,
8:09.0,Shooting foul by O. Porter (drawn by R. Covington),,18-39,,
8:09.0,,,18-39,,B. Beal enters the game for R. Butler
8:09.0,R. Covington makes free throw 1 of 1,1,19-39,,
7:50.0,Personal foul by N. Noel (drawn by B. Beal),,19-39,,
7:44.0,,,19-39,,N. Hilario misses 2-pt shot from 20 ft
7:43.0,,,19-39,,Offensive rebound by K. Seraphin
7:31.0,,,19-41,2,K. Seraphin makes 2-pt shot at rim (assist by O. Porter)
7:20.0,M. Carter-Williams misses 2-pt shot from 20 ft,,19-41,,
7:19.0,,,19-41,,Defensive rebound by N. Hilario
7:15.0,,,19-41,,Shooting foul by J. Sampson (drawn by B. Beal)
7:15.0,,,19-41,,B. Beal misses free throw 1 of 2
7:15.0,,,19-41,,Offensive rebound by Team
7:15.0,F. Aldemir enters the game for H. Sims,,19-41,,
7:15.0,,,19-42,1,B. Beal makes free throw 2 of 2
7:01.0,M. Carter-Williams misses 2-pt shot from 19 ft,,19-42,,
7:01.0,,,19-42,,Defensive rebound by Team
7:01.0,Loose ball foul by N. Noel (drawn by N. Hilario),,19-42,,
7:01.0,,,19-43,1,N. Hilario makes free throw 1 of 2
7:01.0,,,19-44,1,N. Hilario makes free throw 2 of 2
6:48.0,R. Covington misses 3-pt shot from 25 ft,,19-44,,
6:47.0,Offensive rebound by F. Aldemir,,19-44,,
6:33.0,M. Carter-Williams misses 2-pt shot from 2 ft,,19-44,,
6:33.0,Offensive rebound by N. Noel,,19-44,,
6:33.0,Shooting foul by O. Porter (drawn by N. Noel),,19-44,,
6:33.0,N. Noel makes free throw 1 of 2,1,20-44,,
6:33.0,N. Noel misses free throw 2 of 2,,20-44,,
6:32.0,,,20-44,,Defensive rebound by K. Seraphin
6:10.0,,,20-44,,O. Porter misses 2-pt shot from 8 ft
6:09.0,Defensive rebound by N. Noel,,20-44,,
5:53.0,Turnover by M. Carter-Williams (lost ball; steal by A. Miller),,20-44,,
5:47.0,,,20-46,2,O. Porter makes 2-pt shot from 2 ft (assist by B. Beal)
5:36.0,M. Carter-Williams makes 2-pt shot from 1 ft (assist by N. Noel),2,22-46,,
5:21.0,Official timeout,,22-46,,
5:21.0,J. Grant enters the game for N. Noel,,22-46,,
5:21.0,,,22-46,,J. Wall enters the game for A. Miller
5:17.0,,,22-46,,Offensive foul by K. Seraphin
5:17.0,,,22-46,,Turnover by K. Seraphin (offensive foul)
5:07.0,M. Carter-Williams misses 2-pt shot from 2 ft,,22-46,,
5:06.0,,,22-46,,Defensive rebound by J. Wall
4:59.0,,,22-46,,O. Porter misses 3-pt shot from 26 ft
4:58.0,,,22-46,,Offensive rebound by K. Seraphin
4:52.0,,,22-46,,Turnover by K. Seraphin (bad pass)
4:37.0,,,22-46,,M. Gortat enters the game for K. Seraphin
4:32.0,J. Grant misses 2-pt shot from 2 ft,,22-46,,
4:31.0,,,22-46,,Defensive rebound by O. Porter
4:23.0,,,22-49,3,B. Beal makes 3-pt shot from 23 ft (assist by O. Porter)
4:04.0,L. Drew enters the game for J. Sampson,,22-49,,
4:02.0,R. Covington makes 3-pt shot from 23 ft,3,25-49,,
3:52.0,,,25-49,,Turnover by N. Hilario (bad pass)
3:32.0,M. Carter-Williams misses 2-pt shot from 5 ft,,25-49,,
3:31.0,,,25-49,,Defensive rebound by Team
3:29.0,,,25-49,,P. Pierce enters the game for O. Porter
3:29.0,H. Thompson enters the game for M. Carter-Williams,,25-49,,
3:25.0,,,25-51,2,B. Beal makes 2-pt shot at rim (assist by J. Wall)
3:04.0,H. Thompson misses 3-pt shot from 26 ft,,25-51,,
3:03.0,,,25-51,,Defensive rebound by N. Hilario
2:57.0,,,25-53,2,M. Gortat makes 2-pt shot at rim (assist by J. Wall)
2:57.0,Philadelphia full timeout,,25-53,,
2:57.0,,,25-53,,Washington full timeout
2:57.0,N. Noel enters the game for F. Aldemir,,25-53,,
2:38.0,J. Grant makes 3-pt shot from 25 ft (assist by L. Drew),3,28-53,,
2:17.0,,,28-53,,P. Pierce misses 3-pt shot from 23 ft
2:16.0,Defensive rebound by H. Thompson,,28-53,,
2:02.0,L. Drew misses 3-pt shot from 25 ft,,28-53,,
2:01.0,,,28-53,,Defensive rebound by N. Hilario
1:40.0,,,28-53,,N. Hilario misses 2-pt shot from 6 ft
1:39.0,Defensive rebound by H. Thompson,,28-53,,
1:35.0,Turnover by L. Drew (bad pass; steal by N. Hilario),,28-53,,
1:28.0,,,28-53,,Turnover by J. Wall (lost ball; steal by N. Noel)
1:22.0,J. Grant makes 2-pt shot from 2 ft (assist by L. Drew),2,30-53,,
1:04.0,,,30-53,,N. Hilario misses 2-pt shot from 17 ft
1:03.0,Defensive rebound by R. Covington,,30-53,,
0:58.0,R. Covington misses 2-pt shot from 2 ft (block by J. Wall),,30-53,,
0:58.0,Offensive rebound by Team,,30-53,,
0:58.0,,,30-53,,D. Gooden enters the game for N. Hilario
0:55.0,R. Covington makes 2-pt shot from 18 ft,2,32-53,,
0:40.0,,,32-55,2,P. Pierce makes 2-pt shot from 1 ft (assist by D. Gooden)
0:31.0,R. Covington misses 3-pt shot from 27 ft,,32-55,,
0:30.0,,,32-55,,Defensive rebound by M. Gortat
0:09.0,,,32-55,,Turnover by P. Pierce (bad pass)
0:04.0,,,32-55,,Personal take foul by J. Wall (drawn by L. Drew)
0:02.0,Turnover by L. Drew (lost ball; steal by J. Wall),,32-55,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,32-55,,B. Beal misses 2-pt shot from 7 ft
11:43.0,,,32-55,,Offensive rebound by B. Beal
11:41.0,,,32-57,2,B. Beal makes 2-pt shot from 1 ft
11:22.0,R. Covington misses 2-pt shot from 13 ft,,32-57,,
11:21.0,,,32-57,,Defensive rebound by N. Hilario
11:10.0,,,32-60,3,N. Hilario makes 3-pt shot from 26 ft (assist by P. Pierce)
10:58.0,N. Noel misses 2-pt shot from 6 ft,,32-60,,
10:57.0,Offensive rebound by H. Sims,,32-60,,
10:54.0,H. Sims makes 2-pt shot from 3 ft,2,34-60,,
10:43.0,,,34-63,3,P. Pierce makes 3-pt shot from 26 ft (assist by J. Wall)
10:22.0,Turnover by K. McDaniels (bad pass; steal by N. Hilario),,34-63,,
10:12.0,,,34-63,,B. Beal misses 3-pt shot from 27 ft
10:11.0,Defensive rebound by N. Noel,,34-63,,
9:59.0,Turnover by M. Carter-Williams (bad pass; steal by N. Hilario),,34-63,,
9:55.0,,,34-63,,Offensive foul by J. Wall
9:55.0,,,34-63,,Turnover by J. Wall (offensive foul)
9:55.0,J. Grant enters the game for K. McDaniels,,34-63,,
9:40.0,,,34-63,,Personal foul by N. Hilario (drawn by M. Carter-Williams)
9:31.0,H. Sims makes 2-pt shot from 11 ft (assist by R. Covington),2,36-63,,
9:11.0,,,36-63,,P. Pierce misses 2-pt shot from 1 ft (block by H. Sims)
9:11.0,,,36-63,,Offensive rebound by Team
9:05.0,,,36-63,,J. Wall misses 2-pt shot from 12 ft
9:04.0,,,36-63,,Offensive rebound by J. Wall
9:01.0,,,36-65,2,M. Gortat makes 2-pt shot at rim (assist by J. Wall)
8:46.0,J. Grant makes 3-pt shot from 23 ft (assist by H. Sims),3,39-65,,
8:31.0,,,39-65,,Turnover by M. Gortat (lost ball; steal by N. Noel)
8:25.0,Shooting foul by N. Hilario (drawn by M. Carter-Williams),,39-65,,
8:25.0,M. Carter-Williams makes free throw 1 of 2,1,40-65,,
8:25.0,,,40-65,,K. Humphries enters the game for N. Hilario
8:25.0,,,40-65,,Technical foul by J. Wall
8:25.0,H. Sims makes technical free throw,1,41-65,,
8:25.0,M. Carter-Williams makes free throw 2 of 2,1,42-65,,
8:20.0,Personal foul by M. Carter-Williams (drawn by P. Pierce),,42-65,,
8:19.0,,,42-65,,Turnover by P. Pierce (bad pass; steal by N. Noel)
8:17.0,Shooting foul by K. Humphries (drawn by N. Noel),,42-65,,
8:17.0,N. Noel makes free throw 1 of 2,1,43-65,,
8:17.0,N. Noel makes free throw 2 of 2,1,44-65,,
8:00.0,,,44-67,2,P. Pierce makes 2-pt shot from 1 ft
7:50.0,H. Sims misses 2-pt shot from 11 ft,,44-67,,
7:49.0,,,44-67,,Defensive rebound by M. Gortat
7:33.0,,,44-67,,Turnover by J. Wall (bad pass; steal by M. Carter-Williams)
7:26.0,R. Covington misses 3-pt shot from 26 ft,,44-67,,
7:25.0,Offensive rebound by Team,,44-67,,
7:25.0,,,44-67,,Loose ball foul by P. Pierce (drawn by H. Sims)
7:25.0,H. Sims makes free throw 1 of 2,1,45-67,,
7:25.0,H. Sims makes free throw 2 of 2,1,46-67,,
7:03.0,,,46-69,2,M. Gortat makes 2-pt shot from 17 ft
6:45.0,J. Grant misses 3-pt shot from 26 ft,,46-69,,
6:45.0,,,46-69,,Defensive rebound by Team
6:26.0,,,46-69,,B. Beal misses 2-pt shot from 14 ft
6:25.0,Defensive rebound by R. Covington,,46-69,,
6:09.0,Turnover by R. Covington (discontinued dribble),,46-69,,
6:09.0,,,46-69,,Washington full timeout
5:55.0,,,46-69,,K. Humphries misses 2-pt shot from 11 ft
5:54.0,Defensive rebound by R. Covington,,46-69,,
5:44.0,H. Sims makes 2-pt shot from 19 ft (assist by M. Carter-Williams),2,48-69,,
5:29.0,,,48-69,,Turnover by K. Humphries (bad pass; steal by N. Noel)
5:23.0,R. Covington makes 2-pt shot from 1 ft (assist by N. Noel),2,50-69,,
4:59.0,,,50-69,,K. Humphries misses 2-pt shot from 17 ft
4:58.0,Defensive rebound by J. Grant,,50-69,,
4:41.0,M. Carter-Williams misses 2-pt shot from 16 ft,,50-69,,
4:40.0,,,50-69,,Defensive rebound by P. Pierce
4:36.0,,,50-69,,Turnover by J. Wall (bad pass; steal by M. Carter-Williams)
4:30.0,Offensive foul by R. Covington,,50-69,,
4:30.0,Turnover by R. Covington (offensive foul),,50-69,,
4:30.0,,,50-69,,R. Butler enters the game for B. Beal
4:30.0,F. Aldemir enters the game for R. Covington,,50-69,,
4:30.0,H. Thompson enters the game for N. Noel,,50-69,,
4:20.0,,,50-69,,J. Wall misses 2-pt shot from 19 ft
4:18.0,,,50-69,,Offensive rebound by K. Humphries
4:16.0,,,50-69,,K. Humphries misses 2-pt shot from 1 ft
4:15.0,,,50-69,,Offensive rebound by K. Humphries
4:13.0,,,50-69,,K. Humphries misses 2-pt shot from 1 ft
4:13.0,Defensive rebound by H. Thompson,,50-69,,
4:05.0,H. Sims makes 2-pt shot from 17 ft (assist by M. Carter-Williams),2,52-69,,
3:52.0,Personal foul by H. Thompson (drawn by M. Gortat),,52-69,,
3:52.0,L. Drew enters the game for M. Carter-Williams,,52-69,,
3:37.0,,,52-69,,R. Butler misses 2-pt shot from 20 ft
3:36.0,Defensive rebound by H. Sims,,52-69,,
3:32.0,Turnover by L. Drew (bad pass),,52-69,,
3:22.0,,,52-71,2,M. Gortat makes 2-pt shot from 1 ft (assist by J. Wall)
3:01.0,J. Grant makes 3-pt shot from 23 ft (assist by H. Thompson),3,55-71,,
2:40.0,,,55-74,3,R. Butler makes 3-pt shot from 26 ft (assist by J. Wall)
2:34.0,Turnover by L. Drew (bad pass),,55-74,,
2:34.0,Philadelphia full timeout,,55-74,,
2:34.0,J. Sampson enters the game for H. Sims,,55-74,,
2:34.0,K. McDaniels enters the game for J. Grant,,55-74,,
2:21.0,,,55-74,,Shooting foul by L. Drew (drawn by J. Wall)
2:21.0,,,55-76,2,J. Wall makes 2-pt shot from 16 ft
2:21.0,,,55-77,1,J. Wall makes free throw 1 of 1
2:13.0,H. Thompson misses 2-pt shot from 22 ft,,55-77,,
2:11.0,,,55-77,,Defensive rebound by R. Butler
1:51.0,,,55-79,2,M. Gortat makes 2-pt shot from 3 ft (assist by K. Humphries)
1:44.0,K. McDaniels misses 3-pt shot from 26 ft,,55-79,,
1:42.0,,,55-79,,Defensive rebound by K. Humphries
1:34.0,,,55-79,,Shooting foul by K. McDaniels (drawn by K. Humphries)
1:34.0,,,55-80,1,K. Humphries makes free throw 1 of 2
1:34.0,,,55-80,,O. Porter enters the game for P. Pierce
1:34.0,,,55-81,1,K. Humphries makes free throw 2 of 2
1:10.0,L. Drew misses 2-pt shot from 18 ft,,55-81,,
1:09.0,,,55-81,,Defensive rebound by J. Wall
1:03.0,,,55-83,2,M. Gortat makes 2-pt shot from 1 ft (assist by J. Wall)
0:50.0,J. Sampson misses 3-pt shot from 26 ft,,55-83,,
0:49.0,,,55-83,,Defensive rebound by M. Gortat
0:41.0,,,55-83,,Shooting foul by L. Drew (drawn by J. Wall)
0:41.0,,,55-84,1,J. Wall makes free throw 1 of 2
0:41.0,,,55-85,1,J. Wall makes free throw 2 of 2
0:30.0,J. Sampson misses 2-pt shot from 16 ft,,55-85,,
0:28.0,,,55-85,,Defensive rebound by Team
0:06.0,,,55-85,,J. Wall misses 2-pt shot from 19 ft
0:05.0,Defensive rebound by F. Aldemir,,55-85,,
0:01.0,J. Sampson makes 3-pt shot from 32 ft,3,58-85,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,H. Thompson misses 3-pt shot from 27 ft,,58-85,,
11:46.0,,,58-85,,Defensive rebound by K. Humphries
11:30.0,,,58-87,2,K. Humphries makes 2-pt shot from 2 ft (assist by R. Butler)
11:19.0,Shooting foul by K. Seraphin (drawn by K. McDaniels),,58-87,,
11:19.0,K. McDaniels misses free throw 1 of 2,,58-87,,
11:19.0,Offensive rebound by Team,,58-87,,
11:19.0,K. McDaniels misses free throw 2 of 2,,58-87,,
11:18.0,,,58-87,,Defensive rebound by K. Humphries
10:57.0,,,58-87,,Turnover by K. Seraphin (3 sec)
10:52.0,H. Thompson misses 3-pt shot from 26 ft,,58-87,,
10:51.0,,,58-87,,Defensive rebound by A. Miller
10:31.0,,,58-87,,O. Porter misses 2-pt shot from 16 ft
10:30.0,,,58-87,,Offensive rebound by K. Seraphin
10:27.0,,,58-89,2,K. Seraphin makes 2-pt shot from 7 ft
10:05.0,H. Thompson makes 2-pt shot from 2 ft (assist by L. Drew),2,60-89,,
10:05.0,Shooting foul by A. Miller (drawn by H. Thompson),,60-89,,
10:05.0,H. Thompson makes free throw 1 of 1,1,61-89,,
9:42.0,,,61-89,,O. Porter misses 2-pt shot from 1 ft
9:41.0,Defensive rebound by H. Thompson,,61-89,,
9:30.0,N. Noel misses 2-pt shot from 4 ft,,61-89,,
9:29.0,,,61-89,,Defensive rebound by K. Humphries
9:19.0,,,61-89,,Turnover by A. Miller (lost ball; steal by L. Drew)
9:14.0,K. McDaniels makes 2-pt shot at rim (assist by N. Noel),2,63-89,,
9:01.0,,,63-89,,Offensive foul by O. Porter
9:01.0,,,63-89,,Turnover by O. Porter (offensive foul)
9:01.0,Philadelphia full timeout,,63-89,,
9:01.0,M. Carter-Williams enters the game for H. Thompson,,63-89,,
8:43.0,L. Drew misses 3-pt shot from 26 ft,,63-89,,
8:43.0,,,63-89,,Defensive rebound by Team
8:22.0,,,63-89,,R. Butler misses 2-pt shot from 14 ft
8:21.0,,,63-89,,Offensive rebound by K. Seraphin
8:18.0,,,63-91,2,K. Seraphin makes 2-pt shot from 2 ft
8:07.0,M. Carter-Williams misses 2-pt shot from 4 ft,,63-91,,
8:07.0,Offensive rebound by N. Noel,,63-91,,
8:07.0,,,63-91,,Personal foul by A. Miller (drawn by N. Noel)
7:57.0,K. McDaniels misses 2-pt shot from 17 ft (block by O. Porter),,63-91,,
7:56.0,Offensive rebound by K. McDaniels,,63-91,,
7:52.0,K. McDaniels misses 2-pt shot from 17 ft,,63-91,,
7:51.0,Offensive rebound by M. Thomas,,63-91,,
7:48.0,M. Thomas makes 2-pt shot from 1 ft,2,65-91,,
7:39.0,,,65-91,,Turnover by K. Humphries (bad pass)
7:22.0,Turnover by M. Thomas (traveling),,65-91,,
7:09.0,,,65-91,,O. Porter misses 2-pt shot from 2 ft (block by K. McDaniels)
7:07.0,Defensive rebound by K. McDaniels,,65-91,,
7:02.0,Turnover by K. McDaniels (lost ball; steal by O. Porter),,65-91,,
6:57.0,,,65-93,2,K. Humphries makes 2-pt shot at rim (assist by A. Miller)
6:33.0,K. McDaniels makes 2-pt shot from 2 ft (assist by L. Drew),2,67-93,,
6:33.0,Shooting foul by K. Seraphin (drawn by K. McDaniels),,67-93,,
6:33.0,K. McDaniels makes free throw 1 of 1,1,68-93,,
6:18.0,,,68-93,,K. Seraphin misses 2-pt shot from 5 ft
6:17.0,Defensive rebound by Team,,68-93,,
6:02.0,L. Drew makes 2-pt shot from 20 ft (assist by M. Carter-Williams),2,70-93,,
5:44.0,,,70-95,2,K. Seraphin makes 2-pt shot from 12 ft
5:28.0,M. Carter-Williams misses 2-pt shot from 15 ft,,70-95,,
5:26.0,,,70-95,,Defensive rebound by K. Seraphin
5:23.0,,,70-95,,Shooting foul by K. McDaniels (drawn by O. Porter)
5:23.0,Official timeout,,70-95,,
5:23.0,H. Thompson enters the game for L. Drew,,70-95,,
5:23.0,,,70-96,1,O. Porter makes free throw 1 of 2
5:23.0,,,70-96,,M. Webster enters the game for R. Butler
5:23.0,,,70-97,1,O. Porter makes free throw 2 of 2
5:11.0,K. McDaniels misses 2-pt shot from 3 ft (block by O. Porter),,70-97,,
5:09.0,Offensive rebound by N. Noel,,70-97,,
5:03.0,H. Thompson misses 2-pt shot from 20 ft,,70-97,,
5:02.0,,,70-97,,Defensive rebound by K. Humphries
4:59.0,,,70-99,2,O. Porter makes 2-pt shot at rim (assist by A. Miller)
4:41.0,Turnover by M. Carter-Williams (bad pass; steal by K. Humphries),,70-99,,
4:39.0,,,70-99,,Shooting foul by N. Noel (drawn by K. Humphries)
4:39.0,,,70-99,,K. Humphries misses free throw 1 of 2
4:39.0,,,70-99,,Offensive rebound by Team
4:39.0,,,70-99,,G. Temple enters the game for A. Miller
4:39.0,F. Aldemir enters the game for N. Noel,,70-99,,
4:39.0,J. Grant enters the game for K. McDaniels,,70-99,,
