time,Toronto,pts.away,score,pts.home,Boston
4:09.0,Shooting foul by K. Olynyk (drawn by K. Lowry),,14-16,,
4:09.0,K. Lowry makes free throw 1 of 2,1,15-16,,
4:09.0,P. Patterson enters the game for J. Valanciunas,,15-16,,
4:09.0,A. Johnson enters the game for T. Hansbrough,,15-16,,
4:09.0,K. Lowry misses free throw 2 of 2,,15-16,,
4:09.0,,,15-16,,Defensive rebound by K. Olynyk
3:55.0,,,15-16,,Turnover by E. Turner (bad pass; steal by A. Johnson)
3:51.0,L. Williams misses 2-pt shot from 14 ft,,15-16,,
3:50.0,Offensive rebound by Team,,15-16,,
3:48.0,T. Ross makes 2-pt shot at rim (assist by K. Lowry),2,17-16,,
3:30.0,,,17-16,,M. Smart misses 2-pt shot from 3 ft (block by A. Johnson)
3:29.0,,,17-16,,Offensive rebound by Team
3:29.0,Loose ball foul by A. Johnson (drawn by B. Bass),,17-16,,
3:29.0,,,17-16,,J. Crowder enters the game for E. Turner
3:26.0,,,17-16,,I. Thomas misses 3-pt shot from 27 ft
3:25.0,Defensive rebound by K. Lowry,,17-16,,
3:14.0,K. Lowry misses 2-pt shot from 2 ft,,17-16,,
3:13.0,,,17-16,,Defensive rebound by K. Olynyk
3:06.0,,,17-16,,M. Smart misses 3-pt shot from 24 ft
3:05.0,Defensive rebound by L. Williams,,17-16,,
2:48.0,T. Ross misses 3-pt shot from 25 ft,,17-16,,
2:46.0,Offensive rebound by A. Johnson,,17-16,,
2:45.0,A. Johnson makes 2-pt shot from 1 ft,2,19-16,,
2:29.0,,,19-16,,B. Bass misses 3-pt shot from 23 ft
2:28.0,Defensive rebound by T. Ross,,19-16,,
2:13.0,P. Patterson misses 3-pt shot from 24 ft,,19-16,,
2:12.0,,,19-16,,Defensive rebound by B. Bass
2:06.0,,,19-16,,Boston full timeout
2:06.0,,,19-16,,J. Jerebko enters the game for B. Bass
2:06.0,J. Johnson enters the game for K. Lowry,,19-16,,
2:06.0,G. Vasquez enters the game for T. Ross,,19-16,,
1:56.0,,,19-16,,J. Crowder misses 3-pt shot from 25 ft
1:55.0,Defensive rebound by A. Johnson,,19-16,,
1:45.0,G. Vasquez misses 3-pt shot from 26 ft,,19-16,,
1:43.0,,,19-16,,Defensive rebound by I. Thomas
1:39.0,,,19-16,,Turnover by I. Thomas (lost ball)
1:32.0,,,19-16,,Personal foul by I. Thomas (drawn by L. Williams)
1:32.0,,,19-16,,Technical foul by I. Thomas (drawn by L. Williams)
1:32.0,L. Williams makes technical free throw,1,20-16,,
1:32.0,L. Williams makes free throw 1 of 2,1,21-16,,
1:32.0,L. Williams makes free throw 2 of 2,1,22-16,,
1:12.0,,,22-16,,K. Olynyk misses 2-pt shot from 11 ft
1:10.0,Defensive rebound by L. Williams,,22-16,,
0:58.0,A. Johnson makes 2-pt shot from 5 ft (assist by J. Johnson),2,24-16,,
0:45.0,,,24-16,,I. Thomas misses 3-pt shot from 25 ft
0:44.0,Defensive rebound by P. Patterson,,24-16,,
0:32.0,J. Johnson misses 3-pt shot from 25 ft,,24-16,,
0:31.0,,,24-16,,Defensive rebound by J. Jerebko
0:22.0,,,24-16,,M. Smart misses 2-pt shot from 3 ft
0:21.0,,,24-16,,Offensive rebound by M. Smart
0:20.0,,,24-19,3,I. Thomas makes 3-pt shot from 22 ft (assist by M. Smart)
0:01.0,Shooting foul by J. Jerebko (drawn by L. Williams),,24-19,,
0:01.0,L. Williams makes free throw 1 of 2,1,25-19,,
0:01.0,L. Williams makes free throw 2 of 2,1,26-19,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,,,26-19,,Turnover by A. Bradley (lost ball; steal by G. Vasquez)
11:16.0,L. Williams misses 2-pt shot from 17 ft,,26-19,,
11:15.0,,,26-19,,Defensive rebound by J. Crowder
11:11.0,,,26-19,,Turnover by J. Crowder (bad pass)
11:11.0,,,26-19,,L. Datome enters the game for J. Crowder
10:58.0,P. Patterson misses 2-pt shot from 10 ft,,26-19,,
10:57.0,Offensive rebound by Team,,26-19,,
10:57.0,,,26-19,,Loose ball foul by K. Olynyk (drawn by A. Johnson)
10:57.0,,,26-19,,J. Sullinger enters the game for K. Olynyk
10:42.0,J. Johnson makes 2-pt shot at rim (assist by G. Vasquez),2,28-19,,
10:28.0,Personal foul by L. Williams (drawn by I. Thomas),,28-19,,
10:20.0,,,28-19,,A. Bradley misses 3-pt shot from 24 ft
10:19.0,Defensive rebound by A. Johnson,,28-19,,
10:00.0,A. Johnson misses 2-pt shot from 7 ft (block by J. Sullinger),,28-19,,
9:59.0,Offensive rebound by A. Johnson,,28-19,,
9:57.0,L. Williams misses 3-pt shot from 25 ft,,28-19,,
9:53.0,,,28-19,,Defensive rebound by J. Jerebko
9:48.0,,,28-22,3,I. Thomas makes 3-pt shot from 24 ft (assist by J. Jerebko)
9:27.0,P. Patterson makes 3-pt shot from 25 ft (assist by L. Williams),3,31-22,,
9:09.0,,,31-24,2,J. Sullinger makes 2-pt shot from 17 ft (assist by A. Bradley)
8:54.0,Shooting foul by A. Bradley (drawn by L. Williams),,31-24,,
8:54.0,Official timeout,,31-24,,
8:54.0,L. Williams makes free throw 1 of 2,1,32-24,,
8:54.0,J. Valanciunas enters the game for A. Johnson,,32-24,,
8:54.0,L. Williams makes free throw 2 of 2,1,33-24,,
8:40.0,,,33-24,,L. Datome misses 2-pt shot from 13 ft
8:39.0,Defensive rebound by J. Valanciunas,,33-24,,
8:25.0,Turnover by L. Williams (bad pass; steal by J. Jerebko),,33-24,,
8:19.0,,,33-24,,L. Datome misses 2-pt shot from 19 ft
8:18.0,,,33-24,,Offensive rebound by J. Jerebko
8:09.0,,,33-26,2,A. Bradley makes 2-pt shot from 20 ft (assist by J. Sullinger)
7:47.0,Shooting foul by J. Sullinger (drawn by L. Williams),,33-26,,
7:47.0,,,33-26,,E. Turner enters the game for I. Thomas
7:47.0,L. Williams makes free throw 1 of 2,1,34-26,,
7:47.0,L. Williams makes free throw 2 of 2,1,35-26,,
7:30.0,,,35-26,,J. Sullinger misses 2-pt shot from 19 ft
7:29.0,Defensive rebound by J. Valanciunas,,35-26,,
7:26.0,Turnover by J. Valanciunas (bad pass; steal by L. Datome),,35-26,,
7:21.0,Personal foul by J. Johnson (drawn by E. Turner),,35-26,,
7:21.0,T. Hansbrough enters the game for P. Patterson,,35-26,,
7:21.0,K. Lowry enters the game for L. Williams,,35-26,,
7:18.0,,,35-26,,Shooting foul by K. Lowry (drawn by A. Bradley)
7:18.0,,,35-27,1,A. Bradley makes free throw 1 of 3
7:18.0,,,35-28,1,A. Bradley makes free throw 2 of 3
7:18.0,,,35-29,1,A. Bradley makes free throw 3 of 3
7:06.0,G. Vasquez makes 3-pt shot from 26 ft,3,38-29,,
6:56.0,,,38-29,,Turnover by J. Jerebko (offensive foul)
6:56.0,,,38-29,,Offensive foul by J. Jerebko
6:41.0,Offensive charge foul by J. Johnson,,38-29,,
6:41.0,Turnover by J. Johnson (offensive foul),,38-29,,
6:28.0,,,38-29,,E. Turner misses 2-pt shot from 14 ft
6:28.0,Defensive rebound by G. Vasquez,,38-29,,
6:15.0,J. Johnson makes 2-pt shot at rim (assist by G. Vasquez),2,40-29,,
6:08.0,,,40-31,2,A. Bradley makes 2-pt shot from 18 ft
5:46.0,K. Lowry misses 3-pt shot from 24 ft,,40-31,,
5:45.0,,,40-31,,Defensive rebound by J. Sullinger
5:38.0,,,40-31,,A. Bradley misses 3-pt shot from 25 ft
5:37.0,,,40-31,,Offensive rebound by J. Jerebko
5:36.0,,,40-31,,J. Jerebko misses 2-pt shot from 1 ft (block by J. Johnson)
5:35.0,Defensive rebound by T. Hansbrough,,40-31,,
5:28.0,Turnover by J. Johnson (traveling),,40-31,,
5:28.0,,,40-31,,Boston full timeout
5:28.0,,,40-31,,J. Crowder enters the game for L. Datome
5:28.0,,,40-31,,B. Bass enters the game for J. Jerebko
5:28.0,T. Ross enters the game for J. Johnson,,40-31,,
5:08.0,,,40-31,,J. Crowder misses 3-pt shot from 25 ft
5:07.0,Defensive rebound by G. Vasquez,,40-31,,
4:57.0,K. Lowry misses 3-pt shot from 25 ft,,40-31,,
4:56.0,,,40-31,,Defensive rebound by A. Bradley
4:45.0,,,40-33,2,B. Bass makes 2-pt shot from 13 ft
4:28.0,J. Valanciunas makes 2-pt shot at rim (assist by K. Lowry),2,42-33,,
4:18.0,,,42-33,,A. Bradley misses 2-pt shot from 19 ft
4:17.0,Defensive rebound by K. Lowry,,42-33,,
4:16.0,Turnover by T. Ross (step out of bounds),,42-33,,
4:08.0,,,42-35,2,J. Crowder makes 2-pt shot from 1 ft
3:38.0,K. Lowry makes 2-pt shot from 17 ft (assist by G. Vasquez),2,44-35,,
3:18.0,,,44-37,2,A. Bradley makes 2-pt shot from 21 ft (assist by E. Turner)
2:50.0,T. Ross makes 3-pt shot from 23 ft (assist by G. Vasquez),3,47-37,,
2:38.0,,,47-37,,Turnover by E. Turner (bad pass; steal by J. Valanciunas)
2:32.0,G. Vasquez makes 3-pt shot from 25 ft (assist by K. Lowry),3,50-37,,
2:21.0,,,50-37,,Turnover by E. Turner (lost ball; steal by T. Hansbrough)
2:20.0,,,50-37,,Loose ball foul by E. Turner (drawn by T. Hansbrough)
2:20.0,Toronto full timeout,,50-37,,
2:20.0,L. Williams enters the game for G. Vasquez,,50-37,,
2:20.0,,,50-37,,T. Zeller enters the game for J. Sullinger
2:07.0,T. Ross misses 3-pt shot from 26 ft,,50-37,,
2:05.0,Offensive rebound by T. Hansbrough,,50-37,,
2:02.0,T. Ross makes 2-pt shot from 15 ft,2,52-37,,
1:52.0,,,52-37,,B. Bass misses 2-pt shot from 15 ft
1:51.0,,,52-37,,Offensive rebound by J. Crowder
1:49.0,,,52-39,2,J. Crowder makes 2-pt shot at rim
1:26.0,Turnover by J. Valanciunas (offensive foul),,52-39,,
1:26.0,Offensive foul by J. Valanciunas,,52-39,,
1:26.0,,,52-39,,I. Thomas enters the game for B. Bass
1:26.0,,,52-39,,M. Smart enters the game for E. Turner
1:13.0,,,52-39,,M. Smart misses 2-pt shot from 1 ft
1:11.0,,,52-39,,Offensive rebound by T. Zeller
1:11.0,,,52-39,,T. Zeller misses 2-pt shot from 1 ft
1:10.0,Defensive rebound by L. Williams,,52-39,,
0:54.0,L. Williams misses 2-pt shot from 17 ft,,52-39,,
0:53.0,,,52-39,,Defensive rebound by T. Zeller
0:47.0,,,52-41,2,A. Bradley makes 2-pt shot from 22 ft (assist by I. Thomas)
0:36.0,,,52-41,,Personal foul by A. Bradley (drawn by K. Lowry)
0:36.0,K. Lowry misses free throw 1 of 2,,52-41,,
0:36.0,Offensive rebound by Team,,52-41,,
0:36.0,P. Patterson enters the game for J. Valanciunas,,52-41,,
0:36.0,K. Lowry makes free throw 2 of 2,1,53-41,,
0:29.0,,,53-44,3,A. Bradley makes 3-pt shot from 25 ft (assist by I. Thomas)
0:06.0,K. Lowry misses 2-pt shot from 19 ft,,53-44,,
0:05.0,,,53-44,,Defensive rebound by Team
0:05.0,,,53-44,,Boston full timeout
0:05.0,J. Johnson enters the game for K. Lowry,,53-44,,
0:02.0,,,53-46,2,M. Smart makes 2-pt shot at rim (assist by T. Zeller)
0:00.0,T. Ross misses 3-pt shot from 65 ft,,53-46,,
0:00.0,Offensive rebound by Team,,53-46,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,53-46,,E. Turner misses 2-pt shot from 5 ft
11:43.0,Defensive rebound by Team,,53-46,,
11:29.0,K. Lowry makes 3-pt shot from 24 ft (assist by G. Vasquez),3,56-46,,
11:16.0,,,56-46,,Turnover by A. Bradley (lost ball; steal by T. Ross)
11:11.0,T. Ross makes 2-pt shot at rim,2,58-46,,
10:53.0,,,58-48,2,T. Zeller makes 2-pt shot from 4 ft (assist by B. Bass)
10:45.0,Turnover by T. Ross (step out of bounds),,58-48,,
10:34.0,,,58-48,,M. Smart misses 2-pt shot from 18 ft
10:33.0,Defensive rebound by J. Valanciunas,,58-48,,
10:24.0,K. Lowry misses 2-pt shot from 17 ft,,58-48,,
10:23.0,,,58-48,,Defensive rebound by A. Bradley
10:22.0,,,58-48,,Turnover by A. Bradley (bad pass; steal by K. Lowry)
10:19.0,K. Lowry misses 2-pt shot at rim (block by A. Bradley),,58-48,,
10:17.0,,,58-48,,Defensive rebound by T. Zeller
10:11.0,,,58-50,2,E. Turner makes 2-pt shot from 17 ft (assist by A. Bradley)
9:59.0,Turnover by G. Vasquez (back court),,58-50,,
9:59.0,,,58-50,,I. Thomas enters the game for A. Bradley
9:43.0,,,58-50,,Shooting foul by T. Hansbrough (drawn by B. Bass)
9:43.0,,,58-51,1,B. Bass makes free throw 1 of 3
9:43.0,,,58-52,1,B. Bass makes free throw 2 of 3
9:43.0,,,58-53,1,B. Bass makes free throw 3 of 3
9:23.0,T. Ross misses 2-pt shot from 7 ft,,58-53,,
9:22.0,,,58-53,,Defensive rebound by E. Turner
9:13.0,,,58-55,2,T. Zeller makes 2-pt shot from 1 ft (assist by E. Turner)
8:46.0,K. Lowry makes 3-pt shot from 24 ft,3,61-55,,
8:33.0,,,61-55,,I. Thomas misses 3-pt shot from 25 ft
8:32.0,Defensive rebound by K. Lowry,,61-55,,
8:23.0,K. Lowry misses 2-pt shot from 14 ft (block by M. Smart),,61-55,,
8:21.0,Offensive rebound by K. Lowry,,61-55,,
8:18.0,K. Lowry misses 2-pt shot at rim,,61-55,,
8:17.0,Offensive rebound by J. Valanciunas,,61-55,,
8:17.0,J. Valanciunas makes 2-pt shot at rim,2,63-55,,
8:11.0,,,63-55,,M. Smart misses 3-pt shot from 23 ft
8:10.0,,,63-55,,Offensive rebound by T. Zeller
8:10.0,Personal foul by T. Hansbrough (drawn by T. Zeller),,63-55,,
7:54.0,,,63-58,3,I. Thomas makes 3-pt shot from 25 ft (assist by E. Turner)
7:26.0,T. Ross misses 2-pt shot from 15 ft (block by E. Turner),,63-58,,
7:25.0,Offensive rebound by Team,,63-58,,
7:25.0,Turnover by Team (shot clock),,63-58,,
7:02.0,,,63-58,,I. Thomas misses 2-pt shot from 17 ft
7:01.0,,,63-58,,Offensive rebound by M. Smart
6:46.0,,,63-58,,T. Zeller misses 2-pt shot from 17 ft
6:45.0,Defensive rebound by G. Vasquez,,63-58,,
6:29.0,G. Vasquez misses 3-pt shot from 25 ft,,63-58,,
6:28.0,Offensive rebound by Team,,63-58,,
6:28.0,,,63-58,,Loose ball foul by T. Zeller (drawn by J. Valanciunas)
6:17.0,Offensive charge foul by J. Valanciunas,,63-58,,
6:17.0,Turnover by J. Valanciunas (offensive foul),,63-58,,
6:04.0,,,63-60,2,E. Turner makes 2-pt shot from 12 ft
5:49.0,K. Lowry misses 2-pt shot from 19 ft,,63-60,,
5:48.0,,,63-60,,Defensive rebound by E. Turner
5:40.0,,,63-62,2,M. Smart makes 2-pt shot at rim (assist by E. Turner)
5:40.0,Toronto full timeout,,63-62,,
5:40.0,P. Patterson enters the game for T. Hansbrough,,63-62,,
5:40.0,L. Williams enters the game for G. Vasquez,,63-62,,
5:29.0,K. Lowry misses 2-pt shot from 2 ft (block by T. Zeller),,63-62,,
5:28.0,,,63-62,,Defensive rebound by M. Smart
5:23.0,,,63-62,,M. Smart misses 3-pt shot from 24 ft
5:23.0,,,63-62,,Offensive rebound by Team
5:23.0,Loose ball foul by T. Ross (drawn by B. Bass),,63-62,,
5:07.0,,,63-62,,Shooting foul by J. Valanciunas (drawn by T. Zeller)
5:07.0,,,63-63,1,T. Zeller makes free throw 1 of 2
5:07.0,,,63-64,1,T. Zeller makes free throw 2 of 2
4:55.0,L. Williams misses 2-pt shot at rim,,63-64,,
4:54.0,,,63-64,,Defensive rebound by B. Bass
4:42.0,,,63-64,,Turnover by E. Turner (bad pass; steal by T. Ross)
4:36.0,Shooting foul by M. Smart (drawn by J. Valanciunas),,63-64,,
4:36.0,J. Valanciunas misses free throw 1 of 2,,63-64,,
4:36.0,Offensive rebound by Team,,63-64,,
4:36.0,,,63-64,,J. Crowder enters the game for E. Turner
4:36.0,J. Valanciunas makes free throw 2 of 2,1,64-64,,
4:12.0,,,64-64,,I. Thomas misses 3-pt shot from 23 ft
4:12.0,,,64-64,,Offensive rebound by Team
3:51.0,,,64-64,,B. Bass misses 2-pt shot from 16 ft
3:50.0,Defensive rebound by T. Ross,,64-64,,
3:41.0,Turnover by P. Patterson (bad pass),,64-64,,
3:32.0,,,64-66,2,I. Thomas makes 2-pt shot from 1 ft
3:12.0,Turnover by L. Williams (lost ball; steal by M. Smart),,64-66,,
3:08.0,,,64-66,,B. Bass misses 2-pt shot from 1 ft
3:07.0,,,64-66,,Offensive rebound by T. Zeller
3:06.0,,,64-66,,T. Zeller misses 2-pt shot at rim (block by J. Valanciunas)
3:05.0,,,64-66,,Offensive rebound by B. Bass
3:04.0,,,64-66,,B. Bass misses 2-pt shot at rim (block by J. Valanciunas)
3:03.0,Defensive rebound by J. Valanciunas,,64-66,,
3:02.0,Offensive foul by J. Valanciunas,,64-66,,
3:02.0,Turnover by J. Valanciunas (offensive foul),,64-66,,
3:02.0,,,64-66,,Boston full timeout
3:02.0,,,64-66,,K. Olynyk enters the game for T. Zeller
3:02.0,,,64-66,,J. Sullinger enters the game for B. Bass
3:02.0,A. Johnson enters the game for J. Valanciunas,,64-66,,
2:54.0,,,64-66,,J. Crowder misses 3-pt shot from 24 ft
2:53.0,Defensive rebound by A. Johnson,,64-66,,
2:47.0,,,64-66,,Personal foul by J. Sullinger (drawn by A. Johnson)
2:30.0,A. Johnson makes 2-pt shot from 1 ft (assist by L. Williams),2,66-66,,
2:20.0,,,66-69,3,K. Olynyk makes 3-pt shot from 25 ft (assist by I. Thomas)
2:04.0,P. Patterson makes 2-pt shot at rim (assist by L. Williams),2,68-69,,
1:42.0,,,68-69,,K. Olynyk misses 2-pt shot from 6 ft
1:41.0,Defensive rebound by K. Lowry,,68-69,,
1:35.0,L. Williams misses 3-pt shot from 23 ft,,68-69,,
1:34.0,,,68-69,,Defensive rebound by J. Crowder
1:26.0,,,68-69,,K. Olynyk misses 3-pt shot from 23 ft
1:25.0,,,68-69,,Offensive rebound by J. Sullinger
1:24.0,,,68-69,,Shooting foul by P. Patterson (drawn by J. Sullinger)
1:24.0,,,68-70,1,J. Sullinger makes free throw 1 of 2
1:24.0,,,68-70,,J. Jerebko enters the game for M. Smart
1:24.0,,,68-71,1,J. Sullinger makes free throw 2 of 2
1:13.0,K. Lowry misses 2-pt shot from 1 ft,,68-71,,
1:11.0,,,68-71,,Defensive rebound by J. Jerebko
0:59.0,,,68-73,2,J. Jerebko makes 2-pt shot from 1 ft (assist by I. Thomas)
0:48.0,L. Williams makes 2-pt shot at rim,2,70-73,,
0:42.0,,,70-73,,J. Sullinger misses 3-pt shot from 24 ft
0:41.0,Defensive rebound by T. Ross,,70-73,,
0:36.0,,,70-73,,Personal block foul by J. Sullinger (drawn by K. Lowry)
0:36.0,J. Johnson enters the game for T. Ross,,70-73,,
0:36.0,,,70-73,,B. Bass enters the game for J. Sullinger
0:27.0,L. Williams misses 2-pt shot from 22 ft,,70-73,,
0:26.0,,,70-73,,Defensive rebound by K. Olynyk
0:20.0,,,70-73,,I. Thomas misses 2-pt shot from 2 ft
0:20.0,,,70-73,,Offensive rebound by B. Bass
0:00.0,,,70-73,,J. Jerebko misses 3-pt shot from 24 ft
0:00.0,,,70-73,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,P. Patterson makes 2-pt shot from 10 ft,2,72-73,,
11:44.0,Shooting foul by K. Olynyk (drawn by P. Patterson),,72-73,,
11:44.0,P. Patterson misses free throw 1 of 1,,72-73,,
11:44.0,,,72-73,,Defensive rebound by J. Jerebko
11:22.0,,,72-73,,J. Sullinger misses 2-pt shot from 10 ft
11:21.0,Defensive rebound by J. Johnson,,72-73,,
11:11.0,Turnover by P. Patterson (bad pass; steal by J. Crowder),,72-73,,
11:07.0,,,72-75,2,J. Crowder makes 2-pt shot from 3 ft
11:07.0,,,72-75,,Shooting foul by G. Vasquez (drawn by J. Crowder)
11:07.0,,,72-76,1,J. Crowder makes free throw 1 of 1
10:44.0,P. Patterson misses 2-pt shot from 19 ft,,72-76,,
10:43.0,,,72-76,,Defensive rebound by J. Crowder
10:35.0,,,72-76,,J. Crowder misses 2-pt shot from 7 ft
10:34.0,Defensive rebound by Team,,72-76,,
10:34.0,,,72-76,,Loose ball foul by J. Jerebko (drawn by G. Vasquez)
10:34.0,,,72-76,,P. Pressey enters the game for I. Thomas
10:20.0,Turnover by A. Johnson (3 sec),,72-76,,
10:05.0,,,72-76,,J. Crowder misses 3-pt shot from 25 ft
10:04.0,Defensive rebound by A. Johnson,,72-76,,
9:51.0,J. Johnson makes 2-pt shot from 1 ft,2,74-76,,
9:34.0,,,74-76,,J. Jerebko misses 2-pt shot from 7 ft (block by A. Johnson)
9:33.0,Defensive rebound by A. Johnson,,74-76,,
9:27.0,J. Johnson makes 2-pt shot at rim (assist by A. Johnson),2,76-76,,
9:07.0,,,76-76,,P. Pressey misses 3-pt shot from 25 ft
9:06.0,,,76-76,,Offensive rebound by K. Olynyk
9:04.0,,,76-76,,E. Turner enters the game for J. Sullinger
8:52.0,,,76-76,,E. Turner misses 2-pt shot from 16 ft
8:51.0,Defensive rebound by A. Johnson,,76-76,,
8:45.0,Shooting foul by K. Olynyk (drawn by L. Williams),,76-76,,
8:45.0,Official timeout,,76-76,,
8:45.0,L. Williams misses free throw 1 of 2,,76-76,,
8:45.0,Offensive rebound by Team,,76-76,,
8:45.0,L. Williams makes free throw 2 of 2,1,77-76,,
8:22.0,,,77-78,2,J. Jerebko makes 2-pt shot from 1 ft (assist by E. Turner)
8:07.0,Turnover by L. Williams (bad pass; steal by P. Pressey),,77-78,,
8:04.0,Personal foul by J. Johnson (drawn by P. Pressey),,77-78,,
8:04.0,,,77-78,,T. Zeller enters the game for K. Olynyk
7:48.0,,,77-78,,Turnover by E. Turner (bad pass)
7:34.0,G. Vasquez makes 3-pt shot from 25 ft (assist by A. Johnson),3,80-78,,
7:22.0,,,80-80,2,P. Pressey makes 2-pt shot from 1 ft
7:03.0,A. Johnson makes 2-pt shot from 4 ft,2,82-80,,
6:47.0,,,82-82,2,E. Turner makes 2-pt shot from 17 ft
6:33.0,Turnover by L. Williams (bad pass; steal by J. Crowder),,82-82,,
6:27.0,,,82-82,,Shooting foul by A. Johnson (drawn by P. Pressey)
6:27.0,,,82-82,,P. Pressey misses free throw 1 of 2
6:27.0,,,82-82,,Offensive rebound by Team
6:27.0,J. Valanciunas enters the game for A. Johnson,,82-82,,
6:27.0,,,82-82,,M. Smart enters the game for J. Crowder
6:27.0,,,82-82,,P. Pressey misses free throw 2 of 2
6:27.0,Defensive rebound by Team,,82-82,,
6:03.0,P. Patterson makes 3-pt shot from 23 ft (assist by G. Vasquez),3,85-82,,
5:45.0,,,85-82,,P. Pressey misses 2-pt shot from 1 ft
5:44.0,Defensive rebound by G. Vasquez,,85-82,,
