time,Charlotte,pts.away,score,pts.home,Milwaukee
7:27.0,G. Henderson makes free throw 1 of 2,1,13-12,,
7:27.0,G. Henderson makes free throw 2 of 2,1,14-12,,
7:14.0,,,14-15,3,O. Mayo makes 3-pt shot from 23 ft (assist by B. Knight)
7:08.0,Charlotte full timeout,,14-15,,
6:57.0,,,14-15,,Personal foul by L. Sanders (drawn by G. Henderson)
6:51.0,A. Jefferson misses 2-pt shot from 13 ft,,14-15,,
6:50.0,,,14-15,,Defensive rebound by J. O'Bryant
6:33.0,,,14-15,,L. Sanders misses 2-pt shot from 2 ft
6:32.0,Defensive rebound by A. Jefferson,,14-15,,
6:24.0,K. Walker misses 3-pt shot from 26 ft,,14-15,,
6:22.0,,,14-15,,Defensive rebound by G. Antetokounmpo
6:10.0,,,14-17,2,J. O'Bryant makes 2-pt shot from 6 ft
6:02.0,,,14-17,,Personal foul by J. O'Bryant (drawn by K. Walker)
6:02.0,,,14-17,,E. Ilyasova enters the game for J. O'Bryant
6:02.0,P. Hairston enters the game for M. Kidd-Gilchrist,,14-17,,
5:57.0,G. Henderson makes 2-pt shot from 18 ft,2,16-17,,
5:46.0,,,16-17,,O. Mayo misses 2-pt shot from 21 ft
5:44.0,Defensive rebound by A. Jefferson,,16-17,,
5:33.0,A. Jefferson makes 2-pt shot from 2 ft (assist by K. Walker),2,18-17,,
5:22.0,,,18-17,,B. Knight misses 2-pt shot from 5 ft
5:20.0,,,18-17,,Offensive rebound by L. Sanders
5:20.0,,,18-17,,L. Sanders misses 2-pt shot from 1 ft
5:20.0,,,18-17,,Offensive rebound by L. Sanders
5:20.0,,,18-17,,Shooting foul by K. Walker (drawn by L. Sanders)
5:20.0,,,18-18,1,L. Sanders makes free throw 1 of 2
5:20.0,M. Williams enters the game for C. Zeller,,18-18,,
5:20.0,,,18-19,1,L. Sanders makes free throw 2 of 2
5:05.0,P. Hairston misses 3-pt shot from 25 ft,,18-19,,
5:04.0,,,18-19,,Defensive rebound by E. Ilyasova
4:52.0,,,18-19,,Turnover by E. Ilyasova (lost ball; steal by M. Williams)
4:40.0,K. Walker makes 2-pt shot from 2 ft (assist by M. Williams),2,20-19,,
4:25.0,,,20-21,2,B. Knight makes 2-pt shot from 12 ft
4:08.0,Turnover by P. Hairston (step out of bounds),,20-21,,
4:08.0,,,20-21,,Z. Pachulia enters the game for L. Sanders
3:52.0,,,20-23,2,B. Knight makes 2-pt shot from 18 ft
3:31.0,A. Jefferson misses 2-pt shot from 16 ft,,20-23,,
3:30.0,,,20-23,,Defensive rebound by O. Mayo
3:27.0,Shooting block foul by P. Hairston (drawn by G. Antetokounmpo),,20-23,,
3:27.0,,,20-24,1,G. Antetokounmpo makes free throw 1 of 2
3:27.0,G. Neal enters the game for G. Henderson,,20-24,,
3:27.0,B. Biyombo enters the game for A. Jefferson,,20-24,,
3:27.0,,,20-25,1,G. Antetokounmpo makes free throw 2 of 2
3:12.0,P. Hairston makes 2-pt shot from 7 ft (assist by M. Williams),2,22-25,,
2:53.0,,,22-25,,Turnover by B. Knight (lost ball; steal by K. Walker)
2:45.0,G. Neal misses 3-pt shot from 27 ft,,22-25,,
2:42.0,Offensive rebound by B. Biyombo,,22-25,,
2:42.0,B. Biyombo misses 2-pt shot from 7 ft,,22-25,,
2:37.0,,,22-25,,Defensive rebound by Z. Pachulia
2:31.0,,,22-25,,Turnover by O. Mayo (bad pass; steal by P. Hairston)
2:28.0,P. Hairston makes 2-pt shot from 1 ft,2,24-25,,
2:18.0,,,24-25,,E. Ilyasova misses 2-pt shot from 18 ft
2:18.0,Defensive rebound by P. Hairston,,24-25,,
1:58.0,P. Hairston misses 3-pt shot from 25 ft,,24-25,,
1:57.0,,,24-25,,Defensive rebound by Z. Pachulia
1:48.0,,,24-25,,E. Ilyasova misses 2-pt shot at rim
1:45.0,Defensive rebound by B. Biyombo,,24-25,,
1:38.0,K. Walker misses 2-pt shot from 14 ft,,24-25,,
1:37.0,,,24-25,,Defensive rebound by B. Knight
1:32.0,,,24-27,2,Z. Pachulia makes 2-pt shot from 1 ft (assist by B. Knight)
1:32.0,,,24-27,,Shooting foul by B. Biyombo (drawn by Z. Pachulia)
1:32.0,,,24-27,,Milwaukee full timeout
1:32.0,B. Roberts enters the game for K. Walker,,24-27,,
1:32.0,,,24-27,,J. Dudley enters the game for G. Antetokounmpo
1:32.0,,,24-27,,J. Bayless enters the game for O. Mayo
1:32.0,,,24-28,1,Z. Pachulia makes free throw 1 of 1
1:17.0,Turnover by G. Neal (bad pass; steal by J. Dudley),,24-28,,
1:10.0,,,24-28,,J. Dudley misses 3-pt shot from 24 ft
1:08.0,,,24-28,,Offensive rebound by Z. Pachulia
1:02.0,,,24-28,,E. Ilyasova misses 3-pt shot from 24 ft
1:01.0,Defensive rebound by B. Roberts,,24-28,,
0:42.0,M. Williams misses 3-pt shot from 26 ft,,24-28,,
0:41.0,Offensive rebound by B. Biyombo,,24-28,,
0:29.0,M. Williams makes 3-pt shot from 23 ft (assist by B. Roberts),3,27-28,,
0:15.0,,,27-28,,E. Ilyasova misses 2-pt shot from 7 ft
0:14.0,Defensive rebound by Team,,27-28,,
0:14.0,,,27-28,,Loose ball foul by Z. Pachulia (drawn by B. Biyombo)
0:14.0,B. Biyombo misses free throw 1 of 2,,27-28,,
0:14.0,Offensive rebound by Team,,27-28,,
0:14.0,B. Biyombo makes free throw 2 of 2,1,28-28,,
0:02.0,,,28-30,2,E. Ilyasova makes 2-pt shot from 22 ft (assist by B. Knight)
0:00.0,B. Roberts misses 3-pt shot from 47 ft (block by J. Dudley),,28-30,,
0:00.0,Offensive rebound by Team,,28-30,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,M. Williams makes 3-pt shot from 25 ft (assist by B. Roberts),3,31-30,,
11:32.0,,,31-30,,Z. Pachulia misses 2-pt shot from 1 ft (block by B. Biyombo)
11:26.0,,,31-30,,Offensive rebound by J. Dudley
11:26.0,,,31-30,,J. Dudley misses 2-pt shot from 16 ft
11:25.0,Defensive rebound by P. Hairston,,31-30,,
11:16.0,M. Williams misses 2-pt shot from 20 ft,,31-30,,
11:13.0,,,31-30,,Defensive rebound by K. Marshall
11:03.0,,,31-30,,K. Marshall misses 2-pt shot from 11 ft
11:02.0,Defensive rebound by M. Williams,,31-30,,
10:54.0,Shooting foul by K. Middleton (drawn by B. Biyombo),,31-30,,
10:54.0,B. Biyombo misses free throw 1 of 2,,31-30,,
10:54.0,Offensive rebound by Team,,31-30,,
10:54.0,B. Biyombo makes free throw 2 of 2,1,32-30,,
10:42.0,,,32-30,,K. Middleton misses 2-pt shot from 16 ft
10:41.0,Defensive rebound by M. Williams,,32-30,,
10:29.0,P. Hairston makes 3-pt shot from 26 ft (assist by G. Neal),3,35-30,,
10:04.0,Violation by B. Biyombo (kicked ball),,35-30,,
9:57.0,,,35-32,2,K. Middleton makes 2-pt shot from 19 ft (assist by J. Bayless)
9:42.0,Shooting foul by J. Bayless (drawn by G. Neal),,35-32,,
9:42.0,G. Neal makes free throw 1 of 2,1,36-32,,
9:42.0,G. Neal makes free throw 2 of 2,1,37-32,,
9:33.0,,,37-34,2,K. Marshall makes 2-pt shot from 10 ft (assist by K. Middleton)
9:33.0,,,37-34,,Shooting foul by B. Roberts (drawn by K. Marshall)
9:33.0,,,37-35,1,K. Marshall makes free throw 1 of 1
9:18.0,G. Neal misses 2-pt shot from 4 ft,,37-35,,
9:17.0,Offensive rebound by B. Biyombo,,37-35,,
9:13.0,B. Biyombo makes 2-pt shot at rim,2,39-35,,
8:59.0,,,39-35,,Z. Pachulia misses 2-pt shot at rim
8:58.0,Defensive rebound by M. Williams,,39-35,,
8:58.0,,,39-35,,Personal foul by Z. Pachulia (drawn by B. Biyombo)
8:58.0,Personal foul by B. Biyombo,,39-35,,
8:58.0,Official timeout,,39-35,,
8:46.0,B. Roberts makes 2-pt shot from 16 ft,2,41-35,,
8:30.0,,,41-37,2,J. Dudley makes 2-pt shot from 14 ft (assist by K. Middleton)
8:15.0,P. Hairston misses 2-pt shot from 16 ft,,41-37,,
8:13.0,,,41-37,,Defensive rebound by K. Marshall
8:09.0,Violation by B. Roberts (kicked ball),,41-37,,
8:09.0,,,41-37,,L. Sanders enters the game for Z. Pachulia
8:09.0,A. Jefferson enters the game for P. Hairston,,41-37,,
8:09.0,C. Zeller enters the game for M. Williams,,41-37,,
8:09.0,M. Kidd-Gilchrist enters the game for B. Biyombo,,41-37,,
7:59.0,,,41-40,3,K. Middleton makes 3-pt shot from 23 ft (assist by J. Bayless)
7:32.0,Turnover by G. Neal (bad pass),,41-40,,
7:21.0,,,41-40,,Shooting foul by C. Zeller (drawn by L. Sanders)
7:21.0,,,41-41,1,L. Sanders makes free throw 1 of 2
7:21.0,,,41-41,,L. Sanders misses free throw 2 of 2
7:20.0,Defensive rebound by M. Kidd-Gilchrist,,41-41,,
7:07.0,G. Neal misses 3-pt shot from 24 ft,,41-41,,
7:06.0,Offensive rebound by B. Roberts,,41-41,,
6:59.0,B. Roberts misses 2-pt shot from 1 ft (block by K. Middleton),,41-41,,
6:55.0,,,41-41,,Defensive rebound by K. Marshall
6:50.0,,,41-44,3,J. Dudley makes 3-pt shot from 22 ft (assist by K. Middleton)
6:43.0,Charlotte full timeout,,41-44,,
6:43.0,K. Walker enters the game for B. Roberts,,41-44,,
6:31.0,A. Jefferson makes 2-pt shot from 8 ft (assist by G. Neal),2,43-44,,
6:15.0,,,43-44,,Turnover by L. Sanders (3 sec)
6:15.0,G. Henderson enters the game for G. Neal,,43-44,,
6:02.0,Turnover by A. Jefferson (bad pass; steal by K. Marshall),,43-44,,
5:45.0,,,43-44,,Shooting foul by K. Walker (drawn by K. Middleton)
5:45.0,,,43-45,1,K. Middleton makes free throw 1 of 2
5:45.0,,,43-45,,K. Middleton misses free throw 2 of 2
5:44.0,,,43-45,,Offensive rebound by J. Dudley
5:32.0,,,43-47,2,K. Middleton makes 2-pt shot from 17 ft (assist by J. Bayless)
5:11.0,C. Zeller misses 2-pt shot from 10 ft (block by L. Sanders),,43-47,,
5:09.0,,,43-47,,Defensive rebound by J. Dudley
4:57.0,,,43-49,2,J. Bayless makes 2-pt shot from 18 ft
4:43.0,,,43-49,,Shooting block foul by J. Bayless (drawn by K. Walker)
4:43.0,K. Walker makes free throw 1 of 2,1,44-49,,
4:43.0,,,44-49,,B. Knight enters the game for J. Bayless
4:43.0,,,44-49,,O. Mayo enters the game for J. Dudley
4:43.0,,,44-49,,G. Antetokounmpo enters the game for K. Marshall
4:43.0,K. Walker makes free throw 2 of 2,1,45-49,,
4:25.0,,,45-49,,O. Mayo misses 2-pt shot from 9 ft
4:24.0,Defensive rebound by G. Henderson,,45-49,,
4:16.0,K. Walker makes 2-pt shot from 14 ft (assist by G. Henderson),2,47-49,,
3:59.0,,,47-49,,B. Knight misses 2-pt shot from 19 ft
3:58.0,Defensive rebound by C. Zeller,,47-49,,
3:47.0,K. Walker misses 3-pt shot from 25 ft,,47-49,,
3:45.0,Offensive rebound by C. Zeller,,47-49,,
3:45.0,C. Zeller misses 2-pt shot from 1 ft,,47-49,,
3:42.0,,,47-49,,Defensive rebound by O. Mayo
3:42.0,Personal foul by G. Henderson (drawn by G. Antetokounmpo),,47-49,,
3:29.0,,,47-49,,Turnover by L. Sanders (lost ball; steal by K. Walker)
3:28.0,Charlotte full timeout,,47-49,,
3:28.0,G. Neal enters the game for M. Kidd-Gilchrist,,47-49,,
3:06.0,K. Walker makes 2-pt shot from 19 ft,2,49-49,,
2:48.0,,,49-49,,O. Mayo misses 3-pt shot from 25 ft
2:47.0,Defensive rebound by A. Jefferson,,49-49,,
2:38.0,K. Walker makes 3-pt shot from 26 ft,3,52-49,,
2:21.0,,,52-49,,Turnover by O. Mayo (palming)
2:21.0,,,52-49,,Milwaukee full timeout
2:21.0,,,52-49,,E. Ilyasova enters the game for K. Middleton
2:08.0,Turnover by C. Zeller (traveling),,52-49,,
1:56.0,,,52-49,,Turnover by G. Antetokounmpo (lost ball; steal by G. Henderson)
1:38.0,A. Jefferson misses 2-pt shot from 2 ft,,52-49,,
1:34.0,Offensive rebound by C. Zeller,,52-49,,
1:34.0,C. Zeller misses 2-pt shot at rim (block by G. Antetokounmpo),,52-49,,
1:32.0,Offensive rebound by G. Neal,,52-49,,
1:30.0,G. Neal misses 2-pt shot from 1 ft,,52-49,,
1:28.0,,,52-49,,Defensive rebound by L. Sanders
1:24.0,,,52-51,2,O. Mayo makes 2-pt shot from 12 ft
1:13.0,Shooting foul by E. Ilyasova (drawn by C. Zeller),,52-51,,
1:13.0,C. Zeller makes free throw 1 of 2,1,53-51,,
1:13.0,B. Roberts enters the game for K. Walker,,53-51,,
1:13.0,C. Zeller makes free throw 2 of 2,1,54-51,,
0:58.0,,,54-51,,Turnover by E. Ilyasova (bad pass)
0:58.0,M. Williams enters the game for C. Zeller,,54-51,,
0:45.0,G. Neal misses 2-pt shot from 10 ft,,54-51,,
0:43.0,,,54-51,,Defensive rebound by B. Knight
0:38.0,,,54-53,2,B. Knight makes 2-pt shot at rim
0:14.0,G. Neal misses 3-pt shot from 24 ft,,54-53,,
0:14.0,Offensive rebound by Team,,54-53,,
0:14.0,Turnover by Team (shot clock),,54-53,,
0:02.0,,,54-56,3,B. Knight makes 3-pt shot from 27 ft
0:00.0,G. Neal misses 3-pt shot from 26 ft,,54-56,,
0:00.0,Offensive rebound by Team,,54-56,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:36.0,A. Jefferson makes 2-pt shot from 19 ft (assist by G. Henderson),2,56-56,,
11:23.0,,,56-56,,Turnover by G. Antetokounmpo (offensive foul)
11:23.0,,,56-56,,Offensive foul by G. Antetokounmpo
11:10.0,,,56-56,,Shooting block foul by J. Dudley (drawn by G. Henderson)
11:10.0,G. Henderson misses free throw 1 of 2,,56-56,,
11:10.0,Offensive rebound by Team,,56-56,,
11:10.0,G. Henderson makes free throw 2 of 2,1,57-56,,
11:01.0,,,57-58,2,J. Dudley makes 2-pt shot from 18 ft (assist by L. Sanders)
10:47.0,A. Jefferson misses 2-pt shot at rim (block by L. Sanders),,57-58,,
10:46.0,Offensive rebound by Team,,57-58,,
10:43.0,,,57-58,,Personal foul by O. Mayo (drawn by K. Walker)
10:43.0,,,57-58,,Technical foul by O. Mayo (drawn by K. Walker)
10:43.0,K. Walker makes technical free throw,1,58-58,,
10:30.0,Turnover by G. Henderson (bad pass; steal by B. Knight),,58-58,,
10:25.0,,,58-58,,L. Sanders misses 2-pt shot at rim
10:24.0,,,58-58,,Offensive rebound by G. Antetokounmpo
10:16.0,,,58-58,,J. Dudley misses 3-pt shot from 25 ft
10:15.0,Defensive rebound by K. Walker,,58-58,,
10:10.0,K. Walker misses 2-pt shot from 19 ft,,58-58,,
10:08.0,,,58-58,,Defensive rebound by L. Sanders
9:59.0,,,58-60,2,B. Knight makes 2-pt shot from 21 ft
9:42.0,,,58-60,,Shooting block foul by G. Antetokounmpo (drawn by M. Kidd-Gilchrist)
9:42.0,M. Kidd-Gilchrist makes free throw 1 of 2,1,59-60,,
9:42.0,M. Kidd-Gilchrist makes free throw 2 of 2,1,60-60,,
9:24.0,Personal block foul by C. Zeller (drawn by B. Knight),,60-60,,
9:18.0,,,60-62,2,O. Mayo makes 2-pt shot from 9 ft (assist by L. Sanders)
8:49.0,G. Henderson makes 3-pt shot from 24 ft,3,63-62,,
8:35.0,Shooting block foul by C. Zeller (drawn by L. Sanders),,63-62,,
8:35.0,,,63-62,,L. Sanders misses free throw 1 of 2
8:35.0,,,63-62,,Offensive rebound by Team
8:35.0,,,63-62,,L. Sanders misses free throw 2 of 2
8:35.0,Defensive rebound by M. Kidd-Gilchrist,,63-62,,
8:10.0,M. Kidd-Gilchrist misses 2-pt shot from 18 ft,,63-62,,
8:09.0,,,63-62,,Defensive rebound by O. Mayo
8:04.0,,,63-64,2,G. Antetokounmpo makes 2-pt shot from 2 ft (assist by O. Mayo)
7:51.0,G. Henderson makes 2-pt shot from 20 ft (assist by C. Zeller),2,65-64,,
7:38.0,Personal foul by M. Kidd-Gilchrist (drawn by J. Dudley),,65-64,,
7:29.0,,,65-64,,Turnover by J. Dudley (bad pass)
7:16.0,Shooting foul by G. Antetokounmpo (drawn by K. Walker),,65-64,,
7:16.0,K. Walker makes free throw 1 of 2,1,66-64,,
7:16.0,K. Walker makes free throw 2 of 2,1,67-64,,
7:03.0,,,67-64,,O. Mayo misses 2-pt shot from 15 ft
7:02.0,Defensive rebound by A. Jefferson,,67-64,,
6:54.0,Shooting foul by L. Sanders (drawn by K. Walker),,67-64,,
6:54.0,K. Walker misses free throw 1 of 2,,67-64,,
6:54.0,Offensive rebound by Team,,67-64,,
6:54.0,K. Walker makes free throw 2 of 2,1,68-64,,
6:41.0,,,68-64,,L. Sanders misses 2-pt shot from 6 ft
6:40.0,Defensive rebound by A. Jefferson,,68-64,,
6:39.0,,,68-64,,Technical foul by L. Sanders
6:39.0,K. Walker makes technical free throw,1,69-64,,
6:39.0,,,69-64,,Z. Pachulia enters the game for L. Sanders
6:23.0,G. Henderson makes 2-pt shot from 13 ft (assist by K. Walker),2,71-64,,
6:09.0,,,71-67,3,B. Knight makes 3-pt shot from 25 ft (assist by G. Antetokounmpo)
5:49.0,Charlotte full timeout,,71-67,,
5:49.0,,,71-67,,K. Middleton enters the game for O. Mayo
5:46.0,K. Walker misses 3-pt shot from 23 ft,,71-67,,
5:44.0,Offensive rebound by C. Zeller,,71-67,,
5:42.0,C. Zeller makes 2-pt shot at rim,2,73-67,,
5:30.0,,,73-70,3,J. Dudley makes 3-pt shot from 23 ft (assist by B. Knight)
5:03.0,G. Henderson makes 2-pt shot from 12 ft (assist by A. Jefferson),2,75-70,,
4:51.0,,,75-70,,Turnover by B. Knight (bad pass)
4:51.0,M. Williams enters the game for C. Zeller,,75-70,,
4:30.0,G. Henderson misses 2-pt shot from 21 ft,,75-70,,
4:29.0,,,75-70,,Defensive rebound by K. Middleton
4:15.0,Personal foul by M. Williams (drawn by B. Knight),,75-70,,
4:15.0,,,75-70,,E. Ilyasova enters the game for J. Dudley
4:11.0,,,75-72,2,K. Middleton makes 2-pt shot from 1 ft (assist by Z. Pachulia)
3:57.0,Turnover by M. Williams (bad pass; steal by G. Antetokounmpo),,75-72,,
3:53.0,,,75-72,,B. Knight misses 3-pt shot from 23 ft
3:51.0,,,75-72,,Offensive rebound by E. Ilyasova
3:47.0,,,75-74,2,B. Knight makes 2-pt shot from 1 ft (assist by E. Ilyasova)
3:21.0,G. Henderson makes 2-pt shot from 2 ft,2,77-74,,
3:08.0,,,77-74,,Z. Pachulia misses 2-pt shot from 17 ft
3:06.0,Defensive rebound by A. Jefferson,,77-74,,
2:54.0,M. Williams makes 3-pt shot from 25 ft (assist by K. Walker),3,80-74,,
2:52.0,,,80-74,,Milwaukee full timeout
2:52.0,G. Neal enters the game for M. Kidd-Gilchrist,,80-74,,
2:52.0,B. Biyombo enters the game for A. Jefferson,,80-74,,
2:52.0,P. Hairston enters the game for G. Henderson,,80-74,,
2:39.0,,,80-76,2,E. Ilyasova makes 2-pt shot at rim (assist by Z. Pachulia)
2:34.0,,,80-76,,Personal foul by K. Middleton (drawn by G. Neal)
2:34.0,G. Neal makes free throw 1 of 2,1,81-76,,
2:34.0,G. Neal makes free throw 2 of 2,1,82-76,,
2:25.0,,,82-76,,Turnover by Z. Pachulia (bad pass)
2:14.0,K. Walker makes 2-pt shot from 2 ft,2,84-76,,
2:01.0,,,84-76,,Turnover by Z. Pachulia (bad pass)
1:49.0,Turnover by K. Walker (offensive foul),,84-76,,
1:49.0,Offensive foul by K. Walker,,84-76,,
1:40.0,,,84-76,,B. Knight misses 2-pt shot from 10 ft
1:39.0,Defensive rebound by M. Williams,,84-76,,
1:20.0,K. Walker makes 2-pt shot from 18 ft,2,86-76,,
1:06.0,Shooting block foul by P. Hairston (drawn by G. Antetokounmpo),,86-76,,
1:06.0,,,86-77,1,G. Antetokounmpo makes free throw 1 of 2
1:06.0,,,86-77,,J. Bayless enters the game for B. Knight
1:06.0,,,86-78,1,G. Antetokounmpo makes free throw 2 of 2
0:57.0,K. Walker misses 2-pt shot from 16 ft,,86-78,,
0:56.0,,,86-78,,Defensive rebound by E. Ilyasova
0:35.0,,,86-78,,Turnover by K. Middleton (step out of bounds)
0:20.0,K. Walker makes 2-pt shot from 3 ft,2,88-78,,
0:03.0,,,88-80,2,G. Antetokounmpo makes 2-pt shot from 7 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,,,88-80,,K. Marshall misses 3-pt shot from 22 ft
11:47.0,Defensive rebound by G. Neal,,88-80,,
11:28.0,G. Neal misses 2-pt shot from 10 ft,,88-80,,
11:27.0,,,88-80,,Defensive rebound by K. Middleton
11:20.0,,,88-80,,Turnover by K. Middleton (bad pass; steal by M. Williams)
11:00.0,P. Hairston makes 3-pt shot from 24 ft (assist by B. Roberts),3,91-80,,
10:47.0,,,91-82,2,K. Middleton makes 2-pt shot from 13 ft (assist by J. Bayless)
10:33.0,M. Williams makes 3-pt shot from 23 ft (assist by B. Roberts),3,94-82,,
10:13.0,,,94-84,2,J. Bayless makes 2-pt shot from 2 ft
10:01.0,B. Roberts misses 2-pt shot from 19 ft,,94-84,,
9:58.0,,,94-84,,Defensive rebound by K. Middleton
9:54.0,Personal foul by G. Neal (drawn by J. Bayless),,94-84,,
9:51.0,,,94-84,,E. Ilyasova misses 3-pt shot from 24 ft
9:49.0,Defensive rebound by B. Roberts,,94-84,,
9:32.0,Turnover by P. Hairston (bad pass; steal by K. Marshall),,94-84,,
9:27.0,,,94-84,,J. Dudley misses 2-pt shot from 3 ft (block by B. Biyombo)
9:07.0,Defensive rebound by B. Roberts,,94-84,,
9:07.0,B. Roberts misses 3-pt shot from 24 ft,,94-84,,
9:04.0,,,94-84,,Defensive rebound by J. Bayless
8:59.0,,,94-84,,J. Bayless misses 2-pt shot from 1 ft (block by M. Williams)
8:49.0,Defensive rebound by G. Neal,,94-84,,
8:39.0,G. Neal misses 3-pt shot from 26 ft,,94-84,,
8:37.0,,,94-84,,Defensive rebound by E. Ilyasova
8:22.0,,,94-84,,E. Ilyasova misses 3-pt shot from 24 ft
8:21.0,Defensive rebound by M. Williams,,94-84,,
8:11.0,Shooting foul by E. Ilyasova (drawn by B. Biyombo),,94-84,,
8:11.0,Official timeout,,94-84,,
8:11.0,,,94-84,,G. Antetokounmpo enters the game for E. Ilyasova
8:11.0,,,94-84,,Z. Pachulia enters the game for K. Middleton
8:11.0,B. Biyombo misses free throw 1 of 2,,94-84,,
8:11.0,Offensive rebound by Team,,94-84,,
8:11.0,B. Biyombo misses free throw 2 of 2,,94-84,,
8:10.0,,,94-84,,Defensive rebound by K. Marshall
7:57.0,,,94-84,,Offensive foul by G. Antetokounmpo
7:57.0,,,94-84,,Turnover by G. Antetokounmpo (offensive foul)
7:57.0,G. Henderson enters the game for P. Hairston,,94-84,,
7:57.0,M. Kidd-Gilchrist enters the game for G. Neal,,94-84,,
7:57.0,K. Walker enters the game for B. Roberts,,94-84,,
7:41.0,G. Henderson misses 2-pt shot from 13 ft,,94-84,,
7:40.0,Offensive rebound by M. Kidd-Gilchrist,,94-84,,
7:34.0,K. Walker makes 2-pt shot from 13 ft (assist by M. Kidd-Gilchrist),2,96-84,,
7:16.0,,,96-84,,Z. Pachulia misses 2-pt shot from 3 ft (block by M. Kidd-Gilchrist)
7:14.0,,,96-84,,Offensive rebound by Z. Pachulia
7:09.0,,,96-84,,Z. Pachulia misses 2-pt shot at rim
7:08.0,Defensive rebound by M. Williams,,96-84,,
6:53.0,Offensive foul by G. Henderson,,96-84,,
6:53.0,Turnover by G. Henderson (offensive foul),,96-84,,
6:34.0,,,96-86,2,J. Bayless makes 2-pt shot from 18 ft (assist by K. Marshall)
6:16.0,M. Kidd-Gilchrist misses 2-pt shot from 17 ft (block by G. Antetokounmpo),,96-86,,
6:14.0,,,96-86,,Defensive rebound by J. Dudley
6:07.0,,,96-86,,J. Dudley misses 3-pt shot from 25 ft
6:06.0,Defensive rebound by B. Biyombo,,96-86,,
5:58.0,Turnover by K. Walker (lost ball; steal by G. Antetokounmpo),,96-86,,
5:54.0,,,96-86,,Shooting foul by M. Williams (drawn by G. Antetokounmpo)
5:54.0,,,96-86,,Milwaukee full timeout
5:54.0,A. Jefferson enters the game for B. Biyombo,,96-86,,
5:54.0,,,96-86,,L. Sanders enters the game for Z. Pachulia
5:54.0,,,96-86,,B. Knight enters the game for K. Marshall
5:54.0,,,96-86,,G. Antetokounmpo misses free throw 1 of 2
5:54.0,,,96-86,,Offensive rebound by Team
5:54.0,,,96-87,1,G. Antetokounmpo makes free throw 2 of 2
5:31.0,M. Kidd-Gilchrist makes 2-pt shot from 16 ft (assist by G. Henderson),2,98-87,,
5:14.0,,,98-87,,Offensive foul by L. Sanders
5:14.0,,,98-87,,Turnover by L. Sanders (offensive foul)
