time,Memphis,pts.away,score,pts.home,Miami
2:39.0,,,23-10,,N. Cole misses 2-pt shot from 5 ft
2:38.0,,,23-10,,Offensive rebound by Team
2:37.0,Memphis full timeout,,23-10,,
2:37.0,V. Carter enters the game for T. Allen,,23-10,,
2:21.0,,,23-13,3,D. Granger makes 3-pt shot from 23 ft (assist by M. Chalmers)
2:05.0,T. Prince makes 2-pt shot from 13 ft (assist by C. Lee),2,25-13,,
1:38.0,,,25-13,,Turnover by Team (shot clock)
1:38.0,B. Udrih enters the game for M. Conley,,25-13,,
1:18.0,V. Carter misses 2-pt shot from 18 ft,,25-13,,
1:17.0,,,25-13,,Defensive rebound by N. Cole
1:03.0,,,25-13,,H. Whiteside misses 2-pt shot from 8 ft
1:02.0,,,25-13,,Offensive rebound by D. Granger
1:02.0,,,25-13,,Shooting foul by K. Koufos (drawn by H. Whiteside)
1:02.0,,,25-13,,H. Whiteside misses free throw 1 of 2
1:02.0,,,25-13,,Offensive rebound by Team
1:02.0,Q. Pondexter enters the game for C. Lee,,25-13,,
1:02.0,,,25-14,1,H. Whiteside makes free throw 2 of 2
0:47.0,K. Koufos makes 2-pt shot from 6 ft (assist by Q. Pondexter),2,27-14,,
0:32.0,,,27-14,,Turnover by L. Deng (bad pass; steal by V. Carter)
0:08.0,B. Udrih misses 2-pt shot from 13 ft,,27-14,,
0:07.0,,,27-14,,Defensive rebound by L. Deng
0:01.0,,,27-16,2,N. Cole makes 2-pt shot at rim
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,Personal foul by Q. Pondexter (drawn by D. Wade),,27-16,,
11:41.0,,,27-16,,Turnover by N. Cole (traveling)
11:25.0,B. Udrih makes 2-pt shot from 20 ft (assist by T. Prince),2,29-16,,
11:01.0,,,29-18,2,D. Granger makes 2-pt shot from 8 ft
10:45.0,B. Udrih makes 2-pt shot from 18 ft,2,31-18,,
10:26.0,,,31-21,3,D. Wade makes 3-pt shot from 24 ft
10:14.0,V. Carter misses 3-pt shot from 24 ft,,31-21,,
10:13.0,,,31-21,,Defensive rebound by H. Whiteside
10:05.0,,,31-21,,Shooting foul by T. Prince (drawn by H. Whiteside)
10:05.0,,,31-22,1,H. Whiteside makes free throw 1 of 2
10:05.0,,,31-22,,H. Whiteside misses free throw 2 of 2
10:04.0,Defensive rebound by K. Koufos,,31-22,,
9:49.0,Turnover by K. Koufos (lost ball; steal by M. Chalmers),,31-22,,
9:45.0,Personal foul by K. Koufos (drawn by H. Whiteside),,31-22,,
9:45.0,,,31-22,,U. Haslem enters the game for H. Whiteside
9:45.0,M. Gasol enters the game for K. Koufos,,31-22,,
9:34.0,,,31-22,,Turnover by U. Haslem (lost ball; steal by B. Udrih)
9:29.0,T. Prince makes 2-pt shot from 1 ft (assist by B. Udrih),2,33-22,,
9:10.0,,,33-24,2,D. Wade makes 2-pt shot from 17 ft
8:57.0,Q. Pondexter misses 2-pt shot from 1 ft (block by D. Wade),,33-24,,
8:56.0,Offensive rebound by Team,,33-24,,
8:56.0,Official timeout,,33-24,,
8:56.0,J. Leuer enters the game for Q. Pondexter,,33-24,,
8:45.0,T. Prince misses 2-pt shot from 18 ft,,33-24,,
8:44.0,,,33-24,,Defensive rebound by U. Haslem
8:35.0,,,33-24,,D. Wade misses 3-pt shot from 25 ft
8:34.0,Defensive rebound by J. Leuer,,33-24,,
8:23.0,M. Gasol makes 2-pt shot at rim (assist by B. Udrih),2,35-24,,
7:53.0,,,35-24,,N. Cole misses 3-pt shot from 26 ft
7:52.0,,,35-24,,Offensive rebound by Team
7:52.0,,,35-24,,Turnover by Team (shot clock)
7:52.0,,,35-24,,J. Ennis enters the game for M. Chalmers
7:38.0,V. Carter misses 3-pt shot from 25 ft,,35-24,,
7:37.0,,,35-24,,Defensive rebound by U. Haslem
7:24.0,,,35-27,3,D. Granger makes 3-pt shot from 25 ft (assist by D. Wade)
7:03.0,M. Gasol makes 2-pt shot from 13 ft,2,37-27,,
6:42.0,,,37-27,,D. Granger misses 3-pt shot from 24 ft
6:41.0,Defensive rebound by M. Gasol,,37-27,,
6:29.0,,,37-27,,Personal foul by D. Granger (drawn by J. Leuer)
6:29.0,T. Allen enters the game for T. Prince,,37-27,,
6:29.0,,,37-27,,L. Deng enters the game for D. Granger
6:17.0,Offensive charge foul by T. Allen,,37-27,,
6:17.0,Turnover by T. Allen (offensive foul),,37-27,,
6:04.0,,,37-29,2,N. Cole makes 2-pt shot from 20 ft
5:48.0,T. Allen makes 2-pt shot from 4 ft (assist by M. Gasol),2,39-29,,
5:31.0,,,39-31,2,D. Wade makes 2-pt shot from 11 ft (assist by U. Haslem)
5:15.0,Turnover by M. Gasol (bad pass; steal by D. Wade),,39-31,,
5:12.0,,,39-31,,J. Ennis misses 2-pt shot from 1 ft (block by V. Carter)
5:11.0,,,39-31,,Offensive rebound by Team
5:11.0,,,39-31,,Miami full timeout
5:11.0,,,39-31,,D. Granger enters the game for D. Wade
4:53.0,,,39-31,,U. Haslem misses 2-pt shot from 16 ft (block by M. Gasol)
4:52.0,,,39-31,,Offensive rebound by D. Granger
4:52.0,,,39-31,,Shooting foul by V. Carter (drawn by D. Granger)
4:52.0,,,39-32,1,D. Granger makes free throw 1 of 2
4:52.0,,,39-33,1,D. Granger makes free throw 2 of 2
4:38.0,T. Allen makes 2-pt shot from 8 ft,2,41-33,,
4:25.0,,,41-33,,Turnover by U. Haslem (bad pass; steal by B. Udrih)
4:19.0,T. Allen makes 2-pt shot at rim (assist by V. Carter),2,43-33,,
4:19.0,Shooting foul by L. Deng (drawn by T. Allen),,43-33,,
4:19.0,C. Lee enters the game for V. Carter,,43-33,,
4:19.0,M. Conley enters the game for B. Udrih,,43-33,,
4:19.0,T. Allen misses free throw 1 of 1,,43-33,,
4:18.0,,,43-33,,Defensive rebound by U. Haslem
4:04.0,,,43-35,2,D. Granger makes 2-pt shot from 20 ft (assist by U. Haslem)
3:38.0,M. Gasol misses 2-pt shot from 9 ft,,43-35,,
3:37.0,,,43-35,,Defensive rebound by L. Deng
3:30.0,,,43-35,,J. Ennis misses 3-pt shot from 24 ft
3:29.0,Defensive rebound by M. Gasol,,43-35,,
3:17.0,M. Gasol makes 2-pt shot from 17 ft,2,45-35,,
3:00.0,,,45-35,,Turnover by L. Deng (bad pass; steal by J. Leuer)
2:48.0,,,45-35,,Personal foul by D. Granger (drawn by M. Conley)
2:48.0,Memphis full timeout,,45-35,,
2:48.0,,,45-35,,C. Andersen enters the game for N. Cole
2:48.0,,,45-35,,M. Chalmers enters the game for U. Haslem
2:48.0,,,45-35,,D. Wade enters the game for J. Ennis
2:41.0,Turnover by C. Lee (bad pass; steal by D. Wade),,45-35,,
2:33.0,,,45-35,,Turnover by D. Wade (lost ball; steal by T. Allen)
2:31.0,Shooting foul by D. Granger (drawn by T. Allen),,45-35,,
2:31.0,T. Allen makes free throw 1 of 2,1,46-35,,
2:31.0,T. Prince enters the game for J. Leuer,,46-35,,
2:31.0,T. Allen makes free throw 2 of 2,1,47-35,,
2:16.0,,,47-35,,Shooting foul by T. Allen (drawn by D. Wade)
2:16.0,,,47-36,1,D. Wade makes free throw 1 of 2
2:16.0,,,47-36,,N. Cole enters the game for D. Granger
2:16.0,,,47-37,1,D. Wade makes free throw 2 of 2
1:59.0,M. Gasol makes 2-pt shot from 8 ft (assist by C. Lee),2,49-37,,
1:33.0,,,49-39,2,D. Wade makes 2-pt shot from 18 ft
1:16.0,Shooting foul by D. Wade (drawn by M. Gasol),,49-39,,
1:16.0,M. Gasol makes free throw 1 of 2,1,50-39,,
1:16.0,Q. Pondexter enters the game for T. Allen,,50-39,,
1:16.0,M. Gasol makes free throw 2 of 2,1,51-39,,
1:01.0,,,51-39,,N. Cole misses 3-pt shot from 23 ft
1:00.0,Defensive rebound by M. Gasol,,51-39,,
0:50.0,,,51-39,,Personal foul by N. Cole (drawn by M. Conley)
0:50.0,M. Conley makes free throw 1 of 2,1,52-39,,
0:50.0,M. Conley makes free throw 2 of 2,1,53-39,,
0:37.0,,,53-41,2,D. Wade makes 2-pt shot from 8 ft
0:26.0,M. Gasol misses 2-pt shot from 19 ft,,53-41,,
0:25.0,,,53-41,,Defensive rebound by L. Deng
0:03.0,,,53-41,,Turnover by Team (back court)
0:03.0,,,53-41,,Technical foul by Team
0:03.0,M. Conley makes technical free throw,1,54-41,,
0:03.0,Memphis full timeout,,54-41,,
0:03.0,V. Carter enters the game for T. Prince,,54-41,,
0:00.0,M. Conley makes 3-pt shot from 25 ft (assist by V. Carter),3,57-41,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,Personal foul by C. Lee (drawn by L. Deng),,57-41,,
11:28.0,,,57-41,,M. Chalmers misses 2-pt shot from 15 ft
11:27.0,Defensive rebound by M. Gasol,,57-41,,
11:08.0,J. Leuer misses 2-pt shot from 1 ft,,57-41,,
11:07.0,Offensive rebound by J. Leuer,,57-41,,
11:06.0,J. Leuer misses 2-pt shot from 2 ft (block by C. Andersen),,57-41,,
11:05.0,Offensive rebound by Team,,57-41,,
11:05.0,Turnover by Team (shot clock),,57-41,,
10:47.0,,,57-41,,Turnover by C. Andersen (bad pass; steal by M. Conley)
10:35.0,M. Gasol misses 2-pt shot at rim,,57-41,,
10:34.0,Offensive rebound by M. Gasol,,57-41,,
10:30.0,,,57-41,,Personal foul by M. Chalmers (drawn by T. Allen)
10:19.0,J. Leuer misses 2-pt shot from 5 ft,,57-41,,
10:18.0,Offensive rebound by Team,,57-41,,
10:13.0,,,57-41,,Personal foul by S. Williams (drawn by J. Leuer)
10:05.0,Turnover by M. Conley (bad pass; steal by S. Williams),,57-41,,
9:59.0,Personal foul by J. Leuer (drawn by L. Deng),,57-41,,
9:48.0,,,57-41,,S. Williams misses 2-pt shot from 4 ft
9:47.0,Defensive rebound by Team,,57-41,,
9:39.0,M. Conley makes 3-pt shot from 24 ft,3,60-41,,
9:21.0,,,60-43,2,C. Andersen makes 2-pt shot at rim (assist by M. Chalmers)
9:00.0,Shooting foul by C. Andersen (drawn by J. Leuer),,60-43,,
9:00.0,J. Leuer misses free throw 1 of 2,,60-43,,
9:00.0,Offensive rebound by Team,,60-43,,
9:00.0,J. Leuer misses free throw 2 of 2,,60-43,,
8:59.0,,,60-43,,Defensive rebound by S. Williams
8:40.0,,,60-45,2,M. Chalmers makes 2-pt shot from 2 ft
8:37.0,Turnover by T. Allen (offensive foul),,60-45,,
8:37.0,Offensive charge foul by T. Allen,,60-45,,
8:36.0,T. Prince enters the game for T. Allen,,60-45,,
8:25.0,,,60-45,,M. Chalmers misses 2-pt shot from 1 ft
8:24.0,,,60-45,,Offensive rebound by L. Deng
8:23.0,,,60-47,2,L. Deng makes 2-pt shot at rim
8:03.0,C. Lee makes 3-pt shot from 25 ft (assist by M. Conley),3,63-47,,
7:44.0,,,63-47,,Shooting foul by J. Leuer (drawn by L. Deng)
7:44.0,,,63-48,1,L. Deng makes free throw 1 of 2
7:44.0,,,63-48,,L. Deng misses free throw 2 of 2
7:43.0,Defensive rebound by T. Prince,,63-48,,
7:24.0,J. Leuer misses 2-pt shot from 18 ft,,63-48,,
7:23.0,,,63-48,,Defensive rebound by D. Wade
7:09.0,,,63-51,3,S. Williams makes 3-pt shot from 24 ft (assist by D. Wade)
6:48.0,M. Conley misses 3-pt shot from 24 ft,,63-51,,
6:47.0,,,63-51,,Defensive rebound by C. Andersen
6:42.0,,,63-53,2,S. Williams makes 2-pt shot from 1 ft (assist by D. Wade)
6:34.0,Memphis full timeout,,63-53,,
6:34.0,Q. Pondexter enters the game for J. Leuer,,63-53,,
6:26.0,M. Gasol makes 2-pt shot at rim (assist by M. Conley),2,65-53,,
6:08.0,,,65-55,2,C. Andersen makes 2-pt shot at rim (assist by D. Wade)
5:45.0,M. Gasol misses 2-pt shot from 10 ft,,65-55,,
5:44.0,,,65-55,,Defensive rebound by C. Andersen
5:35.0,Personal foul by M. Conley (drawn by M. Chalmers),,65-55,,
5:27.0,,,65-55,,L. Deng misses 2-pt shot from 1 ft (block by Q. Pondexter)
5:26.0,,,65-55,,Offensive rebound by L. Deng
5:25.0,Personal foul by C. Lee (drawn by C. Andersen),,65-55,,
5:25.0,,,65-56,1,C. Andersen makes free throw 1 of 2
5:25.0,,,65-56,,C. Andersen misses free throw 2 of 2
5:24.0,Defensive rebound by M. Gasol,,65-56,,
5:03.0,M. Gasol misses 2-pt shot from 1 ft,,65-56,,
5:02.0,,,65-56,,Defensive rebound by L. Deng
4:53.0,,,65-58,2,D. Wade makes 2-pt shot from 16 ft
4:44.0,Q. Pondexter misses 3-pt shot from 24 ft,,65-58,,
4:43.0,,,65-58,,Defensive rebound by C. Andersen
4:35.0,,,65-60,2,L. Deng makes 2-pt shot from 1 ft (assist by D. Wade)
4:18.0,Turnover by M. Conley (bad pass; steal by L. Deng),,65-60,,
4:13.0,,,65-62,2,D. Wade makes 2-pt shot at rim (assist by L. Deng)
4:07.0,Memphis full timeout,,65-62,,
4:07.0,,,65-62,,H. Whiteside enters the game for C. Andersen
3:52.0,,,65-62,,Personal foul by H. Whiteside (drawn by M. Gasol)
3:44.0,M. Conley misses 3-pt shot from 24 ft,,65-62,,
3:43.0,Offensive rebound by Q. Pondexter,,65-62,,
3:37.0,C. Lee misses 2-pt shot from 19 ft,,65-62,,
3:36.0,,,65-62,,Defensive rebound by H. Whiteside
3:25.0,,,65-64,2,D. Wade makes 2-pt shot from 17 ft
3:09.0,T. Prince misses 2-pt shot from 17 ft,,65-64,,
3:08.0,,,65-64,,Defensive rebound by H. Whiteside
3:00.0,,,65-64,,Turnover by H. Whiteside (traveling)
2:49.0,,,65-64,,Personal foul by H. Whiteside (drawn by M. Gasol)
2:49.0,M. Gasol makes free throw 1 of 2,1,66-64,,
2:49.0,V. Carter enters the game for C. Lee,,66-64,,
2:49.0,M. Gasol makes free throw 2 of 2,1,67-64,,
2:47.0,,,67-64,,Miami full timeout
2:47.0,K. Koufos enters the game for M. Gasol,,67-64,,
2:39.0,,,67-64,,Shooting foul by Q. Pondexter (drawn by L. Deng)
2:39.0,,,67-65,1,L. Deng makes free throw 1 of 2
2:39.0,,,67-65,,D. Granger enters the game for S. Williams
2:39.0,,,67-65,,N. Cole enters the game for D. Wade
2:39.0,,,67-66,1,L. Deng makes free throw 2 of 2
2:26.0,Turnover by K. Koufos (bad pass; steal by L. Deng),,67-66,,
2:17.0,,,67-66,,D. Granger misses 3-pt shot from 23 ft
2:16.0,,,67-66,,Offensive rebound by H. Whiteside
2:14.0,,,67-66,,Shooting foul by V. Carter (drawn by H. Whiteside)
2:14.0,,,67-66,,H. Whiteside misses free throw 1 of 2
2:14.0,,,67-66,,Offensive rebound by Team
2:14.0,,,67-66,,H. Whiteside misses free throw 2 of 2
2:13.0,Defensive rebound by Team,,67-66,,
2:01.0,V. Carter misses 2-pt shot from 16 ft,,67-66,,
2:00.0,,,67-66,,Defensive rebound by H. Whiteside
1:43.0,,,67-66,,Turnover by L. Deng (lost ball; steal by V. Carter)
1:34.0,Q. Pondexter misses 3-pt shot from 23 ft,,67-66,,
1:33.0,,,67-66,,Defensive rebound by M. Chalmers
1:24.0,B. Udrih enters the game for M. Conley,,67-66,,
1:15.0,,,67-66,,M. Chalmers misses 2-pt shot from 5 ft
1:14.0,Defensive rebound by K. Koufos,,67-66,,
1:01.0,B. Udrih makes 2-pt shot from 14 ft,2,69-66,,
0:47.0,,,69-66,,H. Whiteside misses 2-pt shot at rim (block by K. Koufos)
0:46.0,Defensive rebound by V. Carter,,69-66,,
0:35.0,B. Udrih makes 3-pt shot from 24 ft (assist by T. Prince),3,72-66,,
0:18.0,,,72-69,3,L. Deng makes 3-pt shot from 24 ft (assist by N. Cole)
0:01.0,T. Prince misses 2-pt shot from 14 ft,,72-69,,
0:00.0,Offensive rebound by Team,,72-69,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,V. Carter misses 3-pt shot from 23 ft,,72-69,,
11:40.0,,,72-69,,Defensive rebound by N. Cole
11:23.0,,,72-69,,N. Cole misses 3-pt shot from 25 ft
11:22.0,Defensive rebound by K. Koufos,,72-69,,
11:11.0,B. Udrih misses 3-pt shot from 25 ft,,72-69,,
11:10.0,,,72-69,,Defensive rebound by H. Whiteside
10:50.0,,,72-71,2,D. Granger makes 2-pt shot from 22 ft (assist by N. Cole)
10:35.0,Shooting foul by H. Whiteside (drawn by V. Carter),,72-71,,
10:35.0,V. Carter makes free throw 1 of 2,1,73-71,,
10:35.0,V. Carter makes free throw 2 of 2,1,74-71,,
10:20.0,,,74-73,2,L. Deng makes 2-pt shot from 19 ft (assist by N. Cole)
9:58.0,B. Udrih misses 2-pt shot from 16 ft,,74-73,,
9:57.0,Offensive rebound by Team,,74-73,,
9:57.0,C. Lee enters the game for J. Leuer,,74-73,,
9:48.0,T. Prince makes 2-pt shot from 19 ft (assist by B. Udrih),2,76-73,,
9:33.0,,,76-73,,L. Deng misses 2-pt shot from 20 ft
9:32.0,,,76-73,,Offensive rebound by Team
9:32.0,Loose ball foul by K. Koufos (drawn by H. Whiteside),,76-73,,
9:25.0,,,76-73,,Shooting foul by V. Carter (drawn by M. Chalmers)
9:25.0,,,76-74,1,M. Chalmers makes free throw 1 of 2
9:25.0,,,76-75,1,M. Chalmers makes free throw 2 of 2
9:10.0,K. Koufos makes 2-pt shot from 1 ft (assist by T. Prince),2,78-75,,
9:10.0,Shooting foul by H. Whiteside (drawn by K. Koufos),,78-75,,
9:10.0,K. Koufos misses free throw 1 of 1,,78-75,,
9:09.0,,,78-75,,Defensive rebound by H. Whiteside
8:51.0,,,78-77,2,D. Granger makes 2-pt shot from 19 ft
8:31.0,V. Carter makes 3-pt shot from 25 ft (assist by T. Prince),3,81-77,,
8:11.0,,,81-80,3,N. Cole makes 3-pt shot from 25 ft (assist by L. Deng)
7:52.0,C. Lee misses 2-pt shot from 19 ft,,81-80,,
7:51.0,Offensive rebound by C. Lee,,81-80,,
7:48.0,C. Lee misses 2-pt shot from 9 ft,,81-80,,
7:47.0,Offensive rebound by K. Koufos,,81-80,,
7:38.0,,,81-80,,Personal foul by H. Whiteside (drawn by K. Koufos)
7:38.0,Official timeout,,81-80,,
7:38.0,,,81-80,,D. Wade enters the game for L. Deng
7:38.0,,,81-80,,C. Andersen enters the game for H. Whiteside
7:21.0,T. Prince makes 2-pt shot from 19 ft,2,83-80,,
6:58.0,,,83-80,,N. Cole misses 3-pt shot from 23 ft
6:57.0,Defensive rebound by T. Prince,,83-80,,
6:37.0,Shooting foul by M. Chalmers (drawn by C. Lee),,83-80,,
6:37.0,C. Lee misses free throw 1 of 2,,83-80,,
6:37.0,Offensive rebound by Team,,83-80,,
6:37.0,C. Lee makes free throw 2 of 2,1,84-80,,
6:22.0,,,84-80,,D. Wade misses 2-pt shot from 17 ft
6:21.0,Defensive rebound by B. Udrih,,84-80,,
6:17.0,M. Conley enters the game for C. Lee,,84-80,,
6:17.0,M. Gasol enters the game for K. Koufos,,84-80,,
6:17.0,Jump ball: V. Carter vs. N. Cole (M. Gasol gains possession),,,,Jump ball: V. Carter vs. N. Cole (M. Gasol gains possession)
6:01.0,B. Udrih misses 3-pt shot from 24 ft,,84-80,,
6:00.0,,,84-80,,Defensive rebound by D. Wade
5:47.0,,,84-80,,M. Chalmers misses 2-pt shot from 6 ft
5:46.0,,,84-80,,Offensive rebound by C. Andersen
5:45.0,,,84-82,2,C. Andersen makes 2-pt shot at rim
5:31.0,M. Conley misses 2-pt shot from 2 ft (block by N. Cole),,84-82,,
5:30.0,Offensive rebound by Team,,84-82,,
5:30.0,,,84-82,,Miami full timeout
5:25.0,,,84-82,,Personal foul by C. Andersen (drawn by M. Gasol)
5:25.0,M. Gasol misses free throw 1 of 2,,84-82,,
5:25.0,Offensive rebound by Team,,84-82,,
5:25.0,M. Gasol misses free throw 2 of 2,,84-82,,
5:24.0,Offensive rebound by V. Carter,,84-82,,
5:15.0,,,84-82,,Personal foul by M. Chalmers (drawn by B. Udrih)
5:15.0,B. Udrih makes free throw 1 of 2,1,85-82,,
5:15.0,B. Udrih makes free throw 2 of 2,1,86-82,,
4:54.0,,,86-82,,D. Wade misses 2-pt shot from 16 ft
4:53.0,Defensive rebound by B. Udrih,,86-82,,
4:41.0,Shooting foul by C. Andersen (drawn by M. Conley),,86-82,,
4:41.0,M. Conley misses free throw 1 of 2,,86-82,,
4:41.0,Offensive rebound by Team,,86-82,,
4:41.0,,,86-82,,L. Deng enters the game for N. Cole
4:41.0,M. Conley makes free throw 2 of 2,1,87-82,,
4:27.0,,,87-84,2,D. Wade makes 2-pt shot from 1 ft
4:11.0,M. Gasol makes 2-pt shot from 3 ft (assist by T. Prince),2,89-84,,
3:56.0,,,89-86,2,D. Granger makes 2-pt shot from 19 ft (assist by D. Wade)
3:46.0,Memphis full timeout,,89-86,,
3:46.0,C. Lee enters the game for B. Udrih,,89-86,,
3:28.0,M. Conley misses 2-pt shot from 19 ft,,89-86,,
3:27.0,Offensive rebound by Team,,89-86,,
3:27.0,,,89-86,,Loose ball foul by D. Wade (drawn by T. Prince)
3:27.0,T. Prince makes free throw 1 of 2,1,90-86,,
3:27.0,T. Allen enters the game for V. Carter,,90-86,,
3:27.0,T. Prince makes free throw 2 of 2,1,91-86,,
3:15.0,,,91-86,,D. Wade misses 2-pt shot from 9 ft
3:14.0,Defensive rebound by T. Allen,,91-86,,
2:54.0,M. Conley makes 2-pt shot from 8 ft,2,93-86,,
2:41.0,Personal foul by M. Conley (drawn by M. Chalmers),,93-86,,
2:34.0,,,93-88,2,M. Chalmers makes 2-pt shot from 1 ft
2:34.0,,,93-88,,Shooting foul by M. Conley (drawn by M. Chalmers)
2:34.0,,,93-89,1,M. Chalmers makes free throw 1 of 1
2:14.0,M. Gasol misses 2-pt shot from 14 ft,,93-89,,
2:13.0,,,93-89,,Defensive rebound by M. Chalmers
2:01.0,,,93-89,,Shooting foul by T. Allen (drawn by C. Andersen)
2:01.0,,,93-90,1,C. Andersen makes free throw 1 of 2
2:01.0,V. Carter enters the game for T. Allen,,93-90,,
2:01.0,,,93-91,1,C. Andersen makes free throw 2 of 2
1:39.0,Shooting foul by C. Andersen (drawn by M. Gasol),,93-91,,
1:39.0,M. Gasol makes free throw 1 of 2,1,94-91,,
1:39.0,T. Allen enters the game for V. Carter,,94-91,,
1:39.0,M. Gasol makes free throw 2 of 2,1,95-91,,
1:29.0,,,95-91,,M. Chalmers misses 3-pt shot from 24 ft
1:28.0,Defensive rebound by M. Gasol,,95-91,,
1:08.0,Turnover by M. Gasol (lost ball; steal by D. Wade),,95-91,,
0:54.0,,,95-93,2,D. Wade makes 2-pt shot from 8 ft
0:38.0,Shooting foul by D. Wade (drawn by M. Gasol),,95-93,,
0:38.0,M. Gasol makes free throw 1 of 2,1,96-93,,
0:38.0,M. Gasol makes free throw 2 of 2,1,97-93,,
0:38.0,,,97-93,,Miami full timeout
