time,Boston,pts.away,score,pts.home,Golden State
8:24.0,,,5-9,,D. Green misses 3-pt shot from 26 ft
8:22.0,Defensive rebound by E. Turner,,5-9,,
8:12.0,Turnover by B. Bass (traveling),,5-9,,
7:59.0,,,5-9,,S. Curry misses 3-pt shot from 29 ft
7:58.0,Defensive rebound by B. Bass,,5-9,,
7:46.0,A. Bradley misses 2-pt shot from 1 ft (block by A. Bogut),,5-9,,
7:46.0,Offensive rebound by Team,,5-9,,
7:40.0,B. Bass makes 2-pt shot from 10 ft,2,7-9,,
7:29.0,,,7-9,,Turnover by A. Bogut (bad pass)
7:19.0,Shooting foul by S. Curry (drawn by E. Turner),,7-9,,
7:19.0,E. Turner misses free throw 1 of 2,,7-9,,
7:19.0,Offensive rebound by Team,,7-9,,
7:19.0,E. Turner makes free throw 2 of 2,1,8-9,,
7:07.0,,,8-11,2,A. Bogut makes 2-pt shot from 6 ft (assist by D. Green)
6:47.0,E. Turner makes 2-pt shot from 17 ft (assist by J. Sullinger),2,10-11,,
6:36.0,,,10-13,2,D. Green makes 2-pt shot from 2 ft (assist by K. Thompson)
6:26.0,J. Sullinger makes 3-pt shot from 27 ft (assist by E. Turner),3,13-13,,
6:12.0,,,13-15,2,S. Curry makes 2-pt shot from 15 ft
5:59.0,J. Sullinger misses 3-pt shot from 27 ft,,13-15,,
5:58.0,Offensive rebound by E. Turner,,13-15,,
5:55.0,A. Bradley misses 3-pt shot from 27 ft,,13-15,,
5:54.0,,,13-15,,Defensive rebound by H. Barnes
5:46.0,,,13-15,,H. Barnes misses 3-pt shot from 26 ft
5:45.0,Defensive rebound by J. Crowder,,13-15,,
5:29.0,B. Bass misses 2-pt shot from 7 ft,,13-15,,
5:28.0,,,13-15,,Defensive rebound by A. Bogut
5:18.0,,,13-17,2,K. Thompson makes 2-pt shot from 2 ft
5:16.0,Boston full timeout,,13-17,,
5:16.0,M. Thornton enters the game for B. Bass,,13-17,,
5:16.0,G. Wallace enters the game for J. Crowder,,13-17,,
5:16.0,,,13-17,,A. Iguodala enters the game for H. Barnes
5:01.0,J. Sullinger makes 2-pt shot from 18 ft,2,15-17,,
4:40.0,,,15-20,3,A. Iguodala makes 3-pt shot from 25 ft (assist by A. Bogut)
4:20.0,M. Thornton misses 3-pt shot from 23 ft,,15-20,,
4:19.0,Offensive rebound by Team,,15-20,,
4:19.0,,,15-20,,Loose ball foul by K. Thompson (drawn by G. Wallace)
4:04.0,J. Sullinger misses 3-pt shot from 25 ft,,15-20,,
4:03.0,,,15-20,,Defensive rebound by A. Iguodala
3:53.0,,,15-20,,Shooting foul by G. Wallace (drawn by K. Thompson)
3:53.0,,,15-21,1,K. Thompson makes free throw 1 of 2
3:53.0,,,15-21,,M. Speights enters the game for A. Bogut
3:53.0,,,15-22,1,K. Thompson makes free throw 2 of 2
3:40.0,J. Sullinger makes 2-pt shot from 6 ft,2,17-22,,
3:40.0,Shooting foul by M. Speights (drawn by J. Sullinger),,17-22,,
3:40.0,J. Sullinger misses free throw 1 of 1,,17-22,,
3:37.0,Offensive rebound by J. Sullinger,,17-22,,
3:32.0,E. Turner makes 2-pt shot from 17 ft,2,19-22,,
3:19.0,,,19-25,3,D. Green makes 3-pt shot from 25 ft (assist by S. Curry)
3:03.0,Shooting foul by K. Thompson (drawn by E. Turner),,19-25,,
3:03.0,E. Turner makes free throw 1 of 2,1,20-25,,
3:03.0,,,20-25,,S. Livingston enters the game for K. Thompson
3:03.0,E. Turner misses free throw 2 of 2,,20-25,,
3:02.0,,,20-25,,Defensive rebound by M. Speights
2:52.0,,,20-25,,D. Green misses 3-pt shot from 25 ft
2:51.0,Defensive rebound by A. Bradley,,20-25,,
2:35.0,,,20-25,,Golden State full timeout
2:35.0,T. Prince enters the game for A. Bradley,,20-25,,
2:35.0,,,20-25,,J. Holiday enters the game for S. Curry
2:28.0,J. Sullinger misses 2-pt shot from 2 ft,,20-25,,
2:27.0,,,20-25,,Defensive rebound by D. Green
2:08.0,,,20-25,,M. Speights misses 2-pt shot from 18 ft
2:07.0,Defensive rebound by G. Wallace,,20-25,,
1:51.0,Turnover by M. Thornton (bad pass; steal by D. Green),,20-25,,
1:36.0,,,20-25,,D. Green misses 3-pt shot from 25 ft
1:35.0,Defensive rebound by J. Sullinger,,20-25,,
1:29.0,Turnover by E. Turner (bad pass; steal by D. Green),,20-25,,
1:14.0,,,20-25,,M. Speights misses 2-pt shot from 18 ft
1:13.0,Defensive rebound by J. Sullinger,,20-25,,
1:08.0,E. Turner misses 2-pt shot from 1 ft,,20-25,,
1:07.0,,,20-25,,Defensive rebound by D. Green
0:54.0,,,20-25,,S. Livingston misses 2-pt shot from 11 ft
0:54.0,,,20-25,,Offensive rebound by Team
0:54.0,Loose ball foul by J. Sullinger (drawn by M. Speights),,20-25,,
0:54.0,T. Zeller enters the game for J. Sullinger,,20-25,,
0:54.0,P. Pressey enters the game for E. Turner,,20-25,,
0:54.0,,,20-25,,D. Lee enters the game for D. Green
0:50.0,,,20-27,2,J. Holiday makes 2-pt shot from 16 ft (assist by S. Livingston)
0:40.0,P. Pressey makes 2-pt shot from 2 ft,2,22-27,,
0:40.0,Shooting foul by S. Livingston (drawn by P. Pressey),,22-27,,
0:40.0,,,22-27,,Violation by M. Speights (lane)
0:40.0,P. Pressey makes free throw 1 of 1,1,23-27,,
0:31.0,Personal foul by P. Pressey (drawn by J. Holiday),,23-27,,
0:31.0,,,23-27,,J. Holiday misses free throw 1 of 2
0:31.0,,,23-27,,Offensive rebound by Team
0:31.0,,,23-28,1,J. Holiday makes free throw 2 of 2
0:16.0,T. Zeller misses 2-pt shot from 8 ft,,23-28,,
0:15.0,,,23-28,,Defensive rebound by M. Speights
0:04.0,,,23-30,2,S. Livingston makes 2-pt shot from 13 ft
0:01.0,M. Thornton misses 3-pt shot from 45 ft,,23-30,,
0:00.0,Offensive rebound by Team,,23-30,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,M. Thornton makes 2-pt shot from 8 ft,2,25-30,,
11:26.0,,,25-30,,D. Lee misses 2-pt shot from 6 ft
11:25.0,Defensive rebound by T. Prince,,25-30,,
11:17.0,M. Thornton misses 2-pt shot from 3 ft,,25-30,,
11:16.0,Offensive rebound by T. Zeller,,25-30,,
11:16.0,T. Zeller misses 2-pt shot from 1 ft,,25-30,,
11:15.0,,,25-30,,Defensive rebound by Team
11:00.0,,,25-30,,M. Speights misses 2-pt shot from 13 ft
10:59.0,Defensive rebound by P. Pressey,,25-30,,
10:54.0,J. Young misses 3-pt shot from 27 ft,,25-30,,
10:54.0,Offensive rebound by Team,,25-30,,
10:54.0,,,25-30,,Personal foul by M. Speights (drawn by T. Zeller)
10:54.0,,,25-30,,H. Barnes enters the game for M. Speights
10:47.0,T. Prince makes 2-pt shot from 18 ft (assist by M. Thornton),2,27-30,,
10:33.0,,,27-32,2,J. Holiday makes 2-pt shot at rim (assist by D. Lee)
10:18.0,P. Pressey misses 2-pt shot from 9 ft,,27-32,,
10:17.0,,,27-32,,Defensive rebound by D. Lee
10:06.0,,,27-35,3,H. Barnes makes 3-pt shot from 23 ft (assist by A. Iguodala)
9:42.0,M. Thornton misses 3-pt shot from 25 ft,,27-35,,
9:41.0,Offensive rebound by T. Zeller,,27-35,,
9:39.0,Turnover by T. Zeller (lost ball; steal by A. Iguodala),,27-35,,
9:36.0,,,27-35,,Turnover by D. Lee (traveling)
9:22.0,T. Prince misses 2-pt shot from 15 ft,,27-35,,
9:21.0,Offensive rebound by T. Zeller,,27-35,,
9:21.0,T. Zeller misses 2-pt shot at rim,,27-35,,
9:20.0,,,27-35,,Defensive rebound by Team
9:20.0,Loose ball foul by T. Zeller (drawn by D. Lee),,27-35,,
9:05.0,,,27-37,2,S. Livingston makes 2-pt shot from 12 ft (assist by D. Lee)
8:53.0,Turnover by P. Pressey (bad pass; steal by J. Holiday),,27-37,,
8:39.0,,,27-37,,Turnover by D. Lee (3 sec)
8:39.0,Official timeout,,27-37,,
8:39.0,B. Bass enters the game for M. Thornton,,27-37,,
8:27.0,P. Pressey makes 3-pt shot from 26 ft (assist by T. Zeller),3,30-37,,
8:14.0,,,30-37,,S. Livingston misses 2-pt shot from 16 ft
8:12.0,,,30-37,,Offensive rebound by D. Lee
8:12.0,,,30-37,,D. Lee misses 2-pt shot from 1 ft
8:10.0,Defensive rebound by P. Pressey,,30-37,,
8:02.0,T. Prince misses 2-pt shot from 19 ft,,30-37,,
8:01.0,,,30-37,,Defensive rebound by Team
7:47.0,,,30-37,,H. Barnes misses 2-pt shot from 17 ft
7:45.0,Defensive rebound by B. Bass,,30-37,,
7:27.0,J. Young misses 3-pt shot from 26 ft,,30-37,,
7:26.0,,,30-37,,Defensive rebound by D. Lee
7:17.0,,,30-37,,J. Holiday misses 3-pt shot from 24 ft
7:15.0,Defensive rebound by B. Bass,,30-37,,
6:56.0,B. Bass misses 2-pt shot from 3 ft,,30-37,,
6:54.0,,,30-37,,Defensive rebound by H. Barnes
6:44.0,,,30-37,,S. Livingston misses 2-pt shot from 2 ft (block by T. Zeller)
6:43.0,Defensive rebound by T. Prince,,30-37,,
6:23.0,T. Zeller makes 2-pt shot from 17 ft (assist by T. Prince),2,32-37,,
5:59.0,,,32-37,,D. Lee misses 2-pt shot from 8 ft
5:58.0,Defensive rebound by T. Prince,,32-37,,
5:48.0,T. Zeller makes 2-pt shot from 15 ft (assist by P. Pressey),2,34-37,,
5:48.0,,,34-37,,Golden State full timeout
5:48.0,,,34-37,,A. Bogut enters the game for A. Iguodala
5:48.0,,,34-37,,K. Thompson enters the game for S. Livingston
5:48.0,,,34-37,,D. Green enters the game for J. Holiday
5:48.0,,,34-37,,S. Curry enters the game for D. Lee
5:33.0,,,34-37,,A. Bogut misses 2-pt shot at rim
5:32.0,Defensive rebound by P. Pressey,,34-37,,
5:26.0,J. Young makes 3-pt shot from 26 ft (assist by P. Pressey),3,37-37,,
5:04.0,,,37-39,2,K. Thompson makes 2-pt shot from 9 ft
4:35.0,J. Young misses 3-pt shot from 23 ft,,37-39,,
4:34.0,Offensive rebound by T. Zeller,,37-39,,
4:31.0,T. Zeller misses 2-pt shot from 2 ft,,37-39,,
4:30.0,,,37-39,,Defensive rebound by A. Bogut
4:24.0,,,37-39,,K. Thompson misses 3-pt shot from 26 ft
4:23.0,,,37-39,,Offensive rebound by H. Barnes
4:23.0,,,37-41,2,H. Barnes makes 2-pt shot from 1 ft
4:07.0,Turnover by J. Young (traveling),,37-41,,
4:07.0,J. Sullinger enters the game for T. Zeller,,37-41,,
4:07.0,A. Bradley enters the game for J. Young,,37-41,,
3:54.0,,,37-41,,K. Thompson misses 3-pt shot from 27 ft
3:53.0,Defensive rebound by T. Prince,,37-41,,
3:36.0,J. Sullinger makes 2-pt shot from 11 ft (assist by T. Prince),2,39-41,,
3:25.0,,,39-41,,Shooting foul by B. Bass (drawn by S. Curry)
3:25.0,,,39-42,1,S. Curry makes free throw 1 of 2
3:25.0,E. Turner enters the game for P. Pressey,,39-42,,
3:25.0,,,39-43,1,S. Curry makes free throw 2 of 2
3:15.0,Offensive foul by J. Sullinger,,39-43,,
3:15.0,Turnover by J. Sullinger (offensive foul),,39-43,,
3:03.0,,,39-43,,Shooting foul by J. Sullinger (drawn by D. Green)
3:03.0,,,39-44,1,D. Green makes free throw 1 of 2
3:03.0,,,39-45,1,D. Green makes free throw 2 of 2
2:42.0,B. Bass misses 2-pt shot from 9 ft,,39-45,,
2:41.0,Offensive rebound by J. Sullinger,,39-45,,
2:41.0,J. Sullinger makes 2-pt shot from 1 ft,2,41-45,,
2:26.0,,,41-47,2,K. Thompson makes 2-pt shot from 1 ft
2:25.0,Boston full timeout,,41-47,,
2:25.0,J. Crowder enters the game for J. Sullinger,,41-47,,
2:25.0,T. Zeller enters the game for T. Prince,,41-47,,
2:07.0,B. Bass makes 2-pt shot from 6 ft (assist by E. Turner),2,43-47,,
1:48.0,,,43-47,,K. Thompson misses 2-pt shot from 12 ft (block by E. Turner)
1:48.0,,,43-47,,Offensive rebound by K. Thompson
1:48.0,,,43-47,,Shooting foul by T. Zeller (drawn by K. Thompson)
1:48.0,,,43-47,,K. Thompson misses free throw 1 of 2
1:48.0,,,43-47,,Offensive rebound by Team
1:48.0,,,43-47,,Violation by Team (delay of game)
1:48.0,,,43-48,1,K. Thompson makes free throw 2 of 2
1:34.0,A. Bradley misses 2-pt shot from 18 ft,,43-48,,
1:33.0,Offensive rebound by B. Bass,,43-48,,
1:26.0,T. Zeller makes 2-pt shot from 6 ft (assist by E. Turner),2,45-48,,
1:13.0,,,45-48,,Golden State full timeout
1:09.0,,,45-48,,S. Curry misses 3-pt shot from 25 ft
1:08.0,,,45-48,,Offensive rebound by H. Barnes
1:03.0,,,45-51,3,K. Thompson makes 3-pt shot from 24 ft (assist by H. Barnes)
0:42.0,T. Zeller makes 2-pt shot from 10 ft,2,47-51,,
0:33.0,,,47-51,,Turnover by K. Thompson (bad pass)
0:28.0,T. Zeller makes 2-pt shot from 18 ft (assist by E. Turner),2,49-51,,
0:08.0,,,49-51,,Shooting foul by A. Bradley (drawn by S. Curry)
0:08.0,,,49-52,1,S. Curry makes free throw 1 of 2
0:08.0,,,49-52,,J. Holiday enters the game for K. Thompson
0:08.0,,,49-53,1,S. Curry makes free throw 2 of 2
0:03.0,Boston full timeout,,49-53,,
0:03.0,J. Young enters the game for J. Crowder,,49-53,,
0:02.0,Turnover by E. Turner (bad pass; steal by S. Curry),,49-53,,
0:01.0,,,49-53,,Shooting foul by J. Young (drawn by S. Curry)
0:01.0,,,49-54,1,S. Curry makes free throw 1 of 3
0:01.0,,,49-55,1,S. Curry makes free throw 2 of 3
0:01.0,J. Sullinger enters the game for B. Bass,,49-55,,
0:01.0,G. Wallace enters the game for J. Young,,49-55,,
0:01.0,,,49-56,1,S. Curry makes free throw 3 of 3
0:01.0,Turnover by G. Wallace (bad pass; steal by A. Bogut),,49-56,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,49-56,,Personal foul by A. Bogut (drawn by J. Sullinger)
11:36.0,J. Sullinger makes 2-pt shot from 18 ft (assist by A. Bradley),2,51-56,,
11:21.0,,,51-56,,K. Thompson misses 2-pt shot from 9 ft
11:20.0,,,51-56,,Offensive rebound by A. Bogut
11:20.0,,,51-58,2,A. Bogut makes 2-pt shot from 1 ft
11:07.0,E. Turner misses 2-pt shot from 14 ft,,51-58,,
11:06.0,,,51-58,,Defensive rebound by A. Bogut
10:58.0,,,51-58,,Turnover by S. Curry (bad pass; steal by A. Bradley)
10:57.0,,,51-58,,Clear path foul by D. Green
10:57.0,A. Bradley makes clear path free throw 1 of 2,1,52-58,,
10:57.0,A. Bradley misses clear path free throw 2 of 2,,52-58,,
10:57.0,Offensive rebound by Team,,52-58,,
10:44.0,B. Bass misses 2-pt shot from 18 ft,,52-58,,
10:43.0,,,52-58,,Defensive rebound by S. Curry
10:40.0,,,52-61,3,S. Curry makes 3-pt shot from 26 ft
10:13.0,Shooting foul by K. Thompson (drawn by B. Bass),,52-61,,
10:13.0,B. Bass misses free throw 1 of 2,,52-61,,
10:13.0,Offensive rebound by Team,,52-61,,
10:13.0,B. Bass makes free throw 2 of 2,1,53-61,,
10:03.0,,,53-61,,S. Curry misses 2-pt shot from 2 ft
10:02.0,Defensive rebound by J. Sullinger,,53-61,,
9:57.0,A. Bradley misses 3-pt shot from 26 ft,,53-61,,
9:56.0,Offensive rebound by J. Sullinger,,53-61,,
9:53.0,J. Sullinger misses 2-pt shot from 5 ft,,53-61,,
9:52.0,,,53-61,,Defensive rebound by A. Bogut
9:42.0,,,53-61,,K. Thompson misses 2-pt shot from 3 ft
9:41.0,Defensive rebound by E. Turner,,53-61,,
9:29.0,A. Bradley makes 2-pt shot from 1 ft (assist by J. Crowder),2,55-61,,
9:17.0,,,55-61,,D. Green misses 2-pt shot from 11 ft
9:16.0,Defensive rebound by B. Bass,,55-61,,
9:06.0,E. Turner makes 2-pt shot from 1 ft,2,57-61,,
8:53.0,,,57-63,2,S. Curry makes 2-pt shot from 16 ft (assist by A. Bogut)
8:28.0,J. Crowder misses 3-pt shot from 26 ft,,57-63,,
8:27.0,,,57-63,,Defensive rebound by A. Bogut
8:17.0,,,57-65,2,A. Bogut makes 2-pt shot at rim (assist by S. Curry)
7:56.0,Offensive foul by A. Bradley,,57-65,,
7:56.0,Turnover by A. Bradley (offensive foul),,57-65,,
7:46.0,,,57-67,2,D. Green makes 2-pt shot from 2 ft (assist by S. Curry)
7:26.0,A. Bradley makes 3-pt shot from 24 ft (assist by J. Sullinger),3,60-67,,
7:19.0,,,60-69,2,D. Green makes 2-pt shot from 1 ft (assist by S. Curry)
7:19.0,,,60-69,,Shooting foul by B. Bass (drawn by D. Green)
7:19.0,,,60-70,1,D. Green makes free throw 1 of 1
7:10.0,J. Sullinger misses 3-pt shot from 27 ft,,60-70,,
7:07.0,,,60-70,,Defensive rebound by D. Green
7:01.0,,,60-70,,S. Curry misses 2-pt shot from 21 ft
7:01.0,Defensive rebound by Team,,60-70,,
6:49.0,J. Crowder misses 2-pt shot from 14 ft,,60-70,,
6:48.0,,,60-70,,Defensive rebound by S. Curry
6:43.0,,,60-70,,Turnover by S. Curry (lost ball; steal by B. Bass)
6:32.0,E. Turner misses 2-pt shot from 14 ft,,60-70,,
6:31.0,Offensive rebound by E. Turner,,60-70,,
6:28.0,J. Sullinger misses 2-pt shot from 6 ft,,60-70,,
6:28.0,,,60-70,,Defensive rebound by A. Bogut
6:28.0,Personal foul by E. Turner (drawn by A. Bogut),,60-70,,
6:11.0,,,60-70,,D. Green misses 3-pt shot from 25 ft
6:10.0,Defensive rebound by E. Turner,,60-70,,
5:58.0,Shooting foul by D. Green (drawn by J. Sullinger),,60-70,,
5:58.0,,,60-70,,Golden State full timeout
5:58.0,,,60-70,,A. Iguodala enters the game for H. Barnes
5:58.0,J. Sullinger makes free throw 1 of 2,1,61-70,,
5:58.0,J. Sullinger misses free throw 2 of 2,,61-70,,
5:56.0,,,61-70,,Defensive rebound by A. Bogut
5:35.0,,,61-72,2,K. Thompson makes 2-pt shot from 11 ft (assist by S. Curry)
5:10.0,A. Bradley makes 3-pt shot from 24 ft (assist by J. Crowder),3,64-72,,
4:56.0,,,64-72,,Shooting foul by B. Bass (drawn by A. Bogut)
4:56.0,,,64-74,2,A. Bogut makes 2-pt shot from 1 ft (assist by S. Curry)
4:56.0,T. Zeller enters the game for B. Bass,,64-74,,
4:56.0,,,64-75,1,A. Bogut makes free throw 1 of 1
4:36.0,E. Turner makes 2-pt shot from 11 ft,2,66-75,,
4:15.0,,,66-75,,S. Curry misses 3-pt shot from 23 ft
4:14.0,Defensive rebound by E. Turner,,66-75,,
4:08.0,J. Sullinger misses 3-pt shot from 26 ft,,66-75,,
4:06.0,,,66-75,,Defensive rebound by K. Thompson
3:56.0,,,66-77,2,K. Thompson makes 2-pt shot from 16 ft (assist by S. Curry)
3:34.0,J. Sullinger makes 2-pt shot from 6 ft,2,68-77,,
3:24.0,,,68-77,,A. Bogut misses 2-pt shot at rim
3:21.0,Defensive rebound by T. Zeller,,68-77,,
3:12.0,J. Crowder makes 3-pt shot from 26 ft (assist by T. Zeller),3,71-77,,
3:11.0,,,71-77,,Golden State full timeout
3:11.0,T. Prince enters the game for A. Bradley,,71-77,,
3:11.0,,,71-77,,D. Lee enters the game for D. Green
2:50.0,,,71-80,3,K. Thompson makes 3-pt shot from 26 ft (assist by D. Lee)
2:34.0,Turnover by E. Turner (bad pass; steal by S. Curry),,71-80,,
2:28.0,,,71-82,2,S. Curry makes 2-pt shot from 18 ft
2:24.0,Boston full timeout,,71-82,,
2:24.0,,,71-82,,J. Holiday enters the game for K. Thompson
2:24.0,G. Wallace enters the game for J. Crowder,,71-82,,
2:24.0,P. Pressey enters the game for J. Sullinger,,71-82,,
2:24.0,M. Thornton enters the game for E. Turner,,71-82,,
2:09.0,T. Zeller makes 2-pt shot from 7 ft,2,73-82,,
1:54.0,,,73-82,,S. Curry misses 2-pt shot from 19 ft
1:53.0,Defensive rebound by Team,,73-82,,
1:53.0,,,73-82,,Loose ball foul by A. Bogut (drawn by T. Zeller)
1:53.0,T. Zeller misses free throw 1 of 2,,73-82,,
1:53.0,Offensive rebound by Team,,73-82,,
1:53.0,,,73-82,,M. Speights enters the game for A. Bogut
1:53.0,T. Zeller makes free throw 2 of 2,1,74-82,,
1:38.0,,,74-84,2,S. Curry makes 2-pt shot at rim (assist by D. Lee)
1:17.0,Turnover by M. Thornton (bad pass; steal by J. Holiday),,74-84,,
1:11.0,,,74-86,2,A. Iguodala makes 2-pt shot from 2 ft (assist by S. Curry)
0:55.0,P. Pressey makes 3-pt shot from 26 ft,3,77-86,,
0:41.0,,,77-86,,J. Holiday misses 2-pt shot from 17 ft
0:40.0,Defensive rebound by G. Wallace,,77-86,,
0:32.0,M. Thornton misses 2-pt shot from 18 ft,,77-86,,
0:31.0,,,77-86,,Defensive rebound by A. Iguodala
0:08.0,,,77-89,3,A. Iguodala makes 3-pt shot from 28 ft
0:01.0,M. Thornton misses 2-pt shot from 1 ft,,77-89,,
0:00.0,,,77-89,,Defensive rebound by M. Speights
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,77-91,2,M. Speights makes 2-pt shot from 17 ft (assist by D. Lee)
11:25.0,G. Wallace makes 2-pt shot from 1 ft (assist by P. Pressey),2,79-91,,
11:07.0,,,79-91,,Turnover by M. Speights (lost ball; steal by G. Wallace)
10:50.0,T. Zeller misses 2-pt shot from 8 ft,,79-91,,
10:49.0,Offensive rebound by G. Wallace,,79-91,,
10:49.0,G. Wallace makes 2-pt shot from 1 ft,2,81-91,,
10:31.0,,,81-91,,A. Iguodala misses 2-pt shot from 12 ft
10:30.0,Defensive rebound by P. Pressey,,81-91,,
10:27.0,,,81-91,,Personal foul by D. Lee (drawn by P. Pressey)
10:16.0,M. Thornton misses 2-pt shot from 14 ft,,81-91,,
10:15.0,,,81-91,,Defensive rebound by J. Holiday
10:12.0,,,81-91,,Shooting foul by P. Pressey (drawn by J. Holiday)
10:12.0,,,81-92,1,J. Holiday makes free throw 1 of 2
10:12.0,,,81-93,1,J. Holiday makes free throw 2 of 2
9:50.0,G. Wallace makes 2-pt shot from 1 ft (assist by P. Pressey),2,83-93,,
9:39.0,,,83-95,2,D. Lee makes 2-pt shot from 1 ft (assist by S. Livingston)
9:16.0,,,83-95,,Personal foul by A. Iguodala (drawn by T. Zeller)
9:16.0,A. Bradley enters the game for M. Thornton,,83-95,,
9:04.0,T. Zeller misses 2-pt shot from 19 ft,,83-95,,
9:03.0,,,83-95,,Defensive rebound by D. Lee
8:56.0,Personal foul by T. Zeller (drawn by S. Livingston),,83-95,,
8:56.0,Official timeout,,83-95,,
8:56.0,J. Young enters the game for T. Prince,,83-95,,
8:44.0,,,83-97,2,J. Holiday makes 2-pt shot from 1 ft (assist by D. Lee)
8:29.0,A. Bradley misses 2-pt shot from 18 ft (block by S. Livingston),,83-97,,
8:28.0,,,83-97,,Defensive rebound by A. Iguodala
8:23.0,,,83-97,,Turnover by S. Livingston (bad pass)
8:13.0,T. Zeller misses 2-pt shot from 8 ft,,83-97,,
8:12.0,,,83-97,,Defensive rebound by D. Lee
8:01.0,,,83-97,,M. Speights misses 2-pt shot from 19 ft
8:00.0,Defensive rebound by J. Young,,83-97,,
7:52.0,Shooting foul by J. Holiday (drawn by T. Zeller),,83-97,,
7:52.0,T. Zeller makes free throw 1 of 2,1,84-97,,
7:52.0,B. Bass enters the game for G. Wallace,,84-97,,
7:52.0,,,84-97,,K. Thompson enters the game for J. Holiday
7:52.0,T. Zeller makes free throw 2 of 2,1,85-97,,
7:36.0,,,85-97,,S. Livingston misses 2-pt shot from 12 ft
7:34.0,,,85-97,,Offensive rebound by Team
7:34.0,J. Sullinger enters the game for T. Zeller,,85-97,,
7:34.0,E. Turner enters the game for P. Pressey,,85-97,,
7:23.0,,,85-97,,Turnover by D. Lee (bad pass; steal by E. Turner)
7:19.0,E. Turner makes 2-pt shot at rim,2,87-97,,
7:03.0,,,87-97,,K. Thompson misses 3-pt shot from 27 ft
7:01.0,,,87-97,,Offensive rebound by M. Speights
7:01.0,,,87-97,,M. Speights misses 2-pt shot at rim
6:59.0,Defensive rebound by J. Young,,87-97,,
6:49.0,J. Young misses 2-pt shot from 16 ft,,87-97,,
6:48.0,,,87-97,,Defensive rebound by D. Lee
6:38.0,,,87-99,2,K. Thompson makes 2-pt shot at rim (assist by D. Lee)
6:15.0,A. Bradley misses 3-pt shot from 25 ft,,87-99,,
6:14.0,,,87-99,,Defensive rebound by M. Speights
5:56.0,,,87-99,,M. Speights misses 2-pt shot from 18 ft
5:54.0,Defensive rebound by J. Sullinger,,87-99,,
5:50.0,Shooting foul by M. Speights (drawn by A. Bradley),,87-99,,
5:50.0,,,87-99,,Golden State full timeout
5:50.0,,,87-99,,D. Green enters the game for M. Speights
5:50.0,,,87-99,,S. Curry enters the game for S. Livingston
5:50.0,,,87-99,,A. Bogut enters the game for D. Lee
5:50.0,A. Bradley makes free throw 1 of 2,1,88-99,,
5:50.0,A. Bradley misses free throw 2 of 2,,88-99,,
5:49.0,,,88-99,,Defensive rebound by D. Green
5:29.0,,,88-99,,D. Green misses 2-pt shot from 5 ft
5:28.0,,,88-99,,Offensive rebound by A. Bogut
5:28.0,,,88-99,,A. Bogut misses 2-pt shot from 1 ft
5:26.0,,,88-99,,Offensive rebound by A. Bogut
