time,LA Lakers,pts.away,score,pts.home,Indiana
3:19.0,,,56-76,1,R. Stuckey makes free throw 1 of 2
3:19.0,,,56-76,,D. Sloan enters the game for C. Watson
3:19.0,,,56-76,,L. Allen enters the game for R. Hibbert
3:19.0,,,56-77,1,R. Stuckey makes free throw 2 of 2
3:07.0,J. Hill misses 2-pt shot from 19 ft,,56-77,,
3:06.0,,,56-77,,Defensive rebound by S. Hill
2:53.0,,,56-77,,D. West misses 2-pt shot from 3 ft
2:52.0,,,56-77,,Offensive rebound by L. Allen
2:52.0,,,56-79,2,L. Allen makes 2-pt shot from 1 ft
2:26.0,E. Davis misses 2-pt shot from 6 ft,,56-79,,
2:25.0,Offensive rebound by W. Johnson,,56-79,,
2:21.0,R. Price misses 3-pt shot from 26 ft,,56-79,,
2:20.0,,,56-79,,Defensive rebound by R. Stuckey
2:01.0,,,56-79,,D. Sloan misses 3-pt shot from 25 ft
1:59.0,,,56-79,,Offensive rebound by D. West
1:45.0,,,56-81,2,R. Stuckey makes 2-pt shot from 6 ft (assist by D. West)
1:35.0,K. Bryant makes 2-pt shot from 3 ft,2,58-81,,
1:17.0,Personal foul by R. Price (drawn by R. Stuckey),,58-81,,
1:17.0,LA Lakers full timeout,,58-81,,
1:17.0,C. Boozer enters the game for E. Davis,,58-81,,
1:17.0,,,58-81,,C. Miles enters the game for S. Hill
1:17.0,,,58-82,1,R. Stuckey makes free throw 1 of 2
1:17.0,,,58-83,1,R. Stuckey makes free throw 2 of 2
1:00.0,Turnover by K. Bryant (lost ball; steal by C. Miles),,58-83,,
0:57.0,,,58-85,2,R. Stuckey makes 2-pt shot from 1 ft
0:48.0,K. Bryant misses 3-pt shot from 26 ft,,58-85,,
0:47.0,,,58-85,,Defensive rebound by Team
0:47.0,Loose ball foul by J. Hill (drawn by D. West),,58-85,,
0:47.0,,,58-86,1,D. West makes free throw 1 of 2
0:47.0,,,58-86,,S. Hill enters the game for R. Stuckey
0:47.0,,,58-87,1,D. West makes free throw 2 of 2
0:40.0,K. Bryant misses 2-pt shot from 19 ft,,58-87,,
0:39.0,,,58-87,,Defensive rebound by L. Allen
0:25.0,,,58-89,2,L. Allen makes 2-pt shot from 2 ft (assist by D. Sloan)
0:12.0,C. Boozer misses 2-pt shot from 17 ft,,58-89,,
0:11.0,,,58-89,,Defensive rebound by S. Hill
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:51.0,W. Ellington makes 2-pt shot from 20 ft,2,60-89,,
11:28.0,,,60-89,,D. Rudez misses 3-pt shot from 23 ft
11:27.0,,,60-89,,Offensive rebound by D. Sloan
11:23.0,,,60-89,,Turnover by C. Miles (bad pass; steal by C. Boozer)
11:19.0,N. Young makes 2-pt shot from 2 ft (assist by C. Boozer),2,62-89,,
10:57.0,,,62-91,2,L. Allen makes 2-pt shot from 3 ft (assist by L. Scola)
10:40.0,R. Sacre misses 2-pt shot from 13 ft,,62-91,,
10:39.0,,,62-91,,Defensive rebound by L. Allen
