time,Phoenix,pts.away,score,pts.home,Dallas
3:39.0,,,30-15,,Shooting foul by A. Len (drawn by M. Ellis)
3:39.0,,,30-15,,M. Ellis misses free throw 1 of 2
3:39.0,,,30-15,,Offensive rebound by Team
3:39.0,G. Green enters the game for E. Bledsoe,,30-15,,
3:39.0,M. Morris enters the game for P. Tucker,,30-15,,
3:39.0,,,30-16,1,M. Ellis makes free throw 2 of 2
3:29.0,G. Dragic makes 3-pt shot from 25 ft (assist by A. Tolliver),3,33-16,,
3:08.0,,,33-18,2,B. Wright makes 2-pt shot from 4 ft (assist by R. Jefferson)
2:57.0,A. Tolliver makes 3-pt shot from 23 ft (assist by M. Morris),3,36-18,,
2:40.0,,,36-20,2,M. Ellis makes 2-pt shot from 6 ft
2:40.0,,,36-20,,Shooting foul by A. Len (drawn by M. Ellis)
2:40.0,Phoenix full timeout,,36-20,,
2:40.0,,,36-20,,J. Crowder enters the game for A. Aminu
2:40.0,,,36-20,,M. Ellis misses free throw 1 of 1
2:39.0,Defensive rebound by M. Morris,,36-20,,
2:18.0,A. Len makes 2-pt shot at rim (assist by G. Dragic),2,38-20,,
2:02.0,,,38-20,,R. Jefferson misses 2-pt shot from 4 ft
1:59.0,Defensive rebound by A. Len,,38-20,,
1:48.0,M. Morris misses 2-pt shot from 15 ft,,38-20,,
1:44.0,,,38-20,,Defensive rebound by J. Crowder
1:39.0,,,38-22,2,M. Ellis makes 2-pt shot from 17 ft
1:22.0,M. Morris makes 2-pt shot from 3 ft (assist by G. Dragic),2,40-22,,
1:05.0,,,40-22,,D. Harris misses 2-pt shot from 1 ft (block by G. Dragic)
1:03.0,,,40-22,,Offensive rebound by D. Harris
1:03.0,,,40-22,,J. Barea enters the game for M. Ellis
1:03.0,,,40-22,,D. Nowitzki enters the game for J. Crowder
0:55.0,,,40-22,,R. Jefferson misses 2-pt shot from 19 ft
0:53.0,Defensive rebound by A. Len,,40-22,,
0:48.0,Turnover by G. Green (palming),,40-22,,
0:34.0,Def 3 sec tech foul by A. Len,,40-22,,
0:34.0,,,40-23,1,D. Nowitzki makes technical free throw
0:34.0,E. Bledsoe enters the game for A. Len,,40-23,,
0:31.0,,,40-25,2,D. Harris makes 2-pt shot from 7 ft
0:08.0,Turnover by M. Morris (lost ball; steal by R. Jefferson),,40-25,,
0:05.0,,,40-27,2,R. Jefferson makes 2-pt shot at rim
0:00.0,G. Dragic misses 2-pt shot from 6 ft,,40-27,,
0:00.0,Offensive rebound by Team,,40-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,40-27,,Turnover by B. Wright (bad pass; steal by G. Green)
11:44.0,G. Green makes 2-pt shot at rim (assist by M. Morris),2,42-27,,
11:29.0,,,42-29,2,J. Barea makes 2-pt shot from 4 ft
11:13.0,G. Green makes 2-pt shot from 9 ft (assist by E. Bledsoe),2,44-29,,
11:03.0,,,44-31,2,B. Wright makes 2-pt shot from 6 ft (assist by J. Barea)
10:43.0,G. Green misses 2-pt shot from 15 ft,,44-31,,
10:41.0,,,44-31,,Defensive rebound by R. Jefferson
10:28.0,,,44-31,,D. Nowitzki misses 2-pt shot from 13 ft
10:27.0,,,44-31,,Offensive rebound by B. Wright
10:23.0,,,44-31,,D. Harris misses 3-pt shot from 25 ft
10:23.0,Defensive rebound by M. Morris,,44-31,,
10:23.0,,,44-31,,Loose ball foul by D. Nowitzki (drawn by M. Morris)
10:09.0,M. Morris misses 2-pt shot from 12 ft,,44-31,,
10:07.0,Offensive rebound by M. Plumlee,,44-31,,
10:04.0,M. Morris makes 2-pt shot from 11 ft (assist by M. Morris),2,46-31,,
9:49.0,,,46-33,2,D. Nowitzki makes 2-pt shot from 15 ft (assist by J. Barea)
9:43.0,Shooting foul by J. Barea (drawn by E. Bledsoe),,46-33,,
9:43.0,E. Bledsoe makes free throw 1 of 2,1,47-33,,
9:43.0,,,47-33,,T. Chandler enters the game for B. Wright
9:43.0,,,47-33,,C. Parsons enters the game for R. Jefferson
9:43.0,E. Bledsoe makes free throw 2 of 2,1,48-33,,
9:20.0,,,48-33,,Shooting foul by E. Bledsoe (drawn by J. Barea)
9:20.0,,,48-34,1,J. Barea makes free throw 1 of 2
9:20.0,,,48-34,,J. Barea misses free throw 2 of 2
9:19.0,Defensive rebound by M. Plumlee,,48-34,,
9:07.0,E. Bledsoe makes 2-pt shot from 2 ft,2,50-34,,
8:54.0,,,50-34,,J. Barea misses 2-pt shot from 5 ft
8:52.0,,,50-34,,Offensive rebound by Team
8:52.0,Official timeout,,50-34,,
8:52.0,,,50-34,,J. Nelson enters the game for J. Barea
8:46.0,,,50-34,,D. Nowitzki misses 2-pt shot from 18 ft
8:44.0,Defensive rebound by M. Morris,,50-34,,
8:20.0,G. Green misses 3-pt shot from 25 ft,,50-34,,
8:18.0,,,50-34,,Defensive rebound by T. Chandler
8:03.0,,,50-36,2,C. Parsons makes 2-pt shot from 2 ft
7:44.0,Turnover by M. Morris (bad pass; steal by D. Harris),,50-36,,
7:38.0,,,50-39,3,C. Parsons makes 3-pt shot from 25 ft (assist by J. Nelson)
7:31.0,Phoenix full timeout,,50-39,,
7:31.0,P. Tucker enters the game for M. Morris,,50-39,,
7:21.0,E. Bledsoe misses 2-pt shot from 14 ft,,50-39,,
7:18.0,,,50-39,,Defensive rebound by C. Parsons
7:15.0,,,50-39,,D. Nowitzki misses 2-pt shot at rim
7:12.0,,,50-39,,Offensive rebound by T. Chandler
7:12.0,,,50-41,2,T. Chandler makes 2-pt shot at rim
7:01.0,M. Morris makes 3-pt shot from 25 ft (assist by E. Bledsoe),3,53-41,,
6:39.0,,,53-41,,J. Nelson misses 3-pt shot from 25 ft
6:37.0,Defensive rebound by P. Tucker,,53-41,,
6:15.0,M. Morris misses 2-pt shot from 7 ft,,53-41,,
6:12.0,,,53-41,,Defensive rebound by T. Chandler
6:04.0,,,53-44,3,J. Nelson makes 3-pt shot from 25 ft
5:49.0,E. Bledsoe makes 3-pt shot from 25 ft,3,56-44,,
5:24.0,,,56-44,,J. Nelson misses 2-pt shot from 7 ft
5:22.0,Defensive rebound by P. Tucker,,56-44,,
5:15.0,G. Green makes 3-pt shot from 24 ft (assist by E. Bledsoe),3,59-44,,
5:14.0,,,59-44,,Dallas full timeout
5:14.0,,,59-44,,M. Ellis enters the game for D. Nowitzki
5:14.0,,,59-44,,R. Jefferson enters the game for D. Harris
5:14.0,G. Dragic enters the game for M. Plumlee,,59-44,,
5:01.0,,,59-44,,Offensive foul by R. Jefferson
5:01.0,,,59-44,,Turnover by R. Jefferson (offensive foul)
4:49.0,G. Green misses 3-pt shot from 25 ft,,59-44,,
4:47.0,Offensive rebound by M. Morris,,59-44,,
4:44.0,Turnover by P. Tucker (bad pass),,59-44,,
4:29.0,Personal foul by G. Green (drawn by R. Jefferson),,59-44,,
4:18.0,,,59-44,,R. Jefferson misses 2-pt shot from 6 ft
4:16.0,,,59-44,,Offensive rebound by T. Chandler
4:14.0,,,59-44,,C. Parsons misses 2-pt shot from 5 ft
4:11.0,,,59-44,,Offensive rebound by T. Chandler
4:09.0,,,59-44,,C. Parsons misses 2-pt shot from 2 ft
4:06.0,Defensive rebound by G. Dragic,,59-44,,
4:01.0,Turnover by P. Tucker (step out of bounds),,59-44,,
3:41.0,Personal foul by P. Tucker (drawn by R. Jefferson),,59-44,,
3:27.0,,,59-44,,R. Jefferson misses 2-pt shot from 4 ft
3:27.0,,,59-44,,Offensive rebound by T. Chandler
3:25.0,,,59-46,2,T. Chandler makes 2-pt shot from 2 ft
3:05.0,Shooting foul by J. Nelson (drawn by M. Morris),,59-46,,
3:05.0,M. Morris misses free throw 1 of 2,,59-46,,
3:05.0,Offensive rebound by Team,,59-46,,
3:05.0,,,59-46,,J. Barea enters the game for T. Chandler
3:05.0,,,59-46,,D. Nowitzki enters the game for J. Nelson
3:05.0,,,59-46,,B. Wright enters the game for R. Jefferson
3:05.0,M. Morris makes free throw 2 of 2,1,60-46,,
2:57.0,,,60-46,,M. Ellis misses 2-pt shot from 4 ft (block by E. Bledsoe)
2:55.0,Defensive rebound by P. Tucker,,60-46,,
2:52.0,G. Green makes 2-pt shot at rim (assist by G. Dragic),2,62-46,,
2:36.0,Personal foul by M. Morris (drawn by M. Ellis),,62-46,,
2:36.0,M. Plumlee enters the game for M. Morris,,62-46,,
2:33.0,,,62-48,2,M. Ellis makes 2-pt shot from 1 ft (assist by C. Parsons)
2:07.0,E. Bledsoe misses 2-pt shot from 6 ft,,62-48,,
2:06.0,,,62-48,,Defensive rebound by D. Nowitzki
1:59.0,,,62-51,3,M. Ellis makes 3-pt shot from 25 ft
1:37.0,G. Dragic makes 3-pt shot from 24 ft,3,65-51,,
1:24.0,,,65-53,2,B. Wright makes 2-pt shot at rim (assist by J. Barea)
0:59.0,,,65-53,,Personal foul by D. Nowitzki (drawn by M. Plumlee)
0:50.0,G. Green makes 3-pt shot from 24 ft (assist by G. Dragic),3,68-53,,
0:36.0,,,68-55,2,J. Barea makes 2-pt shot from 2 ft
0:25.0,,,68-55,,Personal foul by J. Barea (drawn by G. Dragic)
0:25.0,G. Dragic makes free throw 1 of 2,1,69-55,,
0:25.0,G. Dragic misses free throw 2 of 2,,69-55,,
0:25.0,Offensive rebound by P. Tucker,,69-55,,
0:08.0,Turnover by E. Bledsoe (offensive foul),,69-55,,
0:08.0,Offensive foul by E. Bledsoe,,69-55,,
0:08.0,M. Morris enters the game for E. Bledsoe,,69-55,,
0:08.0,,,69-55,,D. Harris enters the game for B. Wright
0:00.0,,,69-57,2,M. Ellis makes 2-pt shot from 3 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,,,69-57,,Turnover by M. Ellis (bad pass; steal by P. Tucker)
11:42.0,G. Dragic makes 2-pt shot from 11 ft,2,71-57,,
11:27.0,,,71-57,,C. Parsons misses 3-pt shot from 25 ft
11:26.0,Defensive rebound by E. Bledsoe,,71-57,,
11:06.0,M. Morris misses 2-pt shot from 8 ft,,71-57,,
11:03.0,Offensive rebound by E. Bledsoe,,71-57,,
10:55.0,G. Dragic misses 3-pt shot from 25 ft,,71-57,,
10:54.0,,,71-57,,Defensive rebound by D. Nowitzki
10:43.0,,,71-57,,C. Parsons misses 2-pt shot from 1 ft
10:40.0,,,71-57,,Offensive rebound by T. Chandler
10:40.0,,,71-59,2,T. Chandler makes 2-pt shot at rim
10:20.0,P. Tucker misses 3-pt shot from 22 ft,,71-59,,
10:19.0,,,71-59,,Defensive rebound by T. Chandler
10:05.0,,,71-61,2,D. Nowitzki makes 2-pt shot from 2 ft
9:47.0,P. Tucker makes 3-pt shot from 23 ft (assist by E. Bledsoe),3,74-61,,
9:26.0,,,74-61,,M. Ellis misses 2-pt shot from 20 ft
9:25.0,Defensive rebound by P. Tucker,,74-61,,
9:19.0,E. Bledsoe misses 2-pt shot from 15 ft,,74-61,,
9:15.0,,,74-61,,Defensive rebound by T. Chandler
8:56.0,,,74-61,,D. Nowitzki misses 2-pt shot from 17 ft
8:54.0,,,74-61,,Offensive rebound by T. Chandler
8:52.0,,,74-64,3,M. Ellis makes 3-pt shot from 22 ft
8:52.0,Away from play foul by M. Plumlee (drawn by T. Chandler),,74-64,,
8:52.0,,,74-65,1,T. Chandler makes free throw 1 of 1
8:36.0,M. Morris makes 2-pt shot from 1 ft (assist by G. Dragic),2,76-65,,
8:16.0,,,76-65,,M. Ellis misses 2-pt shot from 3 ft
8:13.0,Defensive rebound by M. Morris,,76-65,,
8:08.0,G. Dragic misses 3-pt shot from 23 ft,,76-65,,
8:07.0,,,76-65,,Defensive rebound by M. Ellis
8:02.0,,,76-67,2,C. Parsons makes 2-pt shot from 1 ft (assist by M. Ellis)
7:37.0,M. Morris makes 2-pt shot from 6 ft,2,78-67,,
7:26.0,,,78-67,,R. Jefferson enters the game for D. Nowitzki
7:15.0,,,78-67,,T. Chandler misses 2-pt shot from 13 ft
7:13.0,,,78-67,,Offensive rebound by J. Nelson
7:09.0,Shooting block foul by M. Morris (drawn by C. Parsons),,78-67,,
7:09.0,,,78-69,2,C. Parsons makes 2-pt shot at rim (assist by J. Nelson)
7:09.0,,,78-70,1,C. Parsons makes free throw 1 of 1
6:51.0,Shooting foul by M. Ellis (drawn by M. Morris),,78-70,,
6:51.0,M. Morris makes free throw 1 of 2,1,79-70,,
6:51.0,M. Morris makes free throw 2 of 2,1,80-70,,
6:40.0,,,80-70,,J. Nelson misses 3-pt shot from 23 ft
6:39.0,Defensive rebound by M. Plumlee,,80-70,,
6:17.0,Offensive charge foul by E. Bledsoe,,80-70,,
6:17.0,Turnover by E. Bledsoe (offensive foul),,80-70,,
6:17.0,G. Green enters the game for E. Bledsoe,,80-70,,
6:11.0,,,80-70,,M. Ellis misses 2-pt shot from 18 ft
6:10.0,,,80-70,,Offensive rebound by T. Chandler
6:10.0,,,80-72,2,T. Chandler makes 2-pt shot at rim
5:51.0,P. Tucker makes 2-pt shot from 6 ft,2,82-72,,
5:39.0,,,82-72,,Shooting foul by M. Plumlee (drawn by M. Ellis)
5:39.0,,,82-72,,Dallas full timeout
5:39.0,,,82-72,,D. Harris enters the game for C. Parsons
5:39.0,,,82-72,,B. Wright enters the game for T. Chandler
5:39.0,,,82-72,,D. Nowitzki enters the game for J. Nelson
5:39.0,A. Len enters the game for M. Plumlee,,82-72,,
5:39.0,,,82-73,1,M. Ellis makes free throw 1 of 2
5:39.0,,,82-74,1,M. Ellis makes free throw 2 of 2
5:27.0,M. Morris makes 2-pt shot from 1 ft (assist by G. Dragic),2,84-74,,
5:15.0,,,84-76,2,B. Wright makes 2-pt shot at rim (assist by D. Harris)
4:56.0,A. Len misses 2-pt shot from 1 ft,,84-76,,
4:54.0,Offensive rebound by A. Len,,84-76,,
4:53.0,A. Len makes 2-pt shot from 2 ft,2,86-76,,
4:48.0,,,86-76,,Shooting foul by G. Green (drawn by R. Jefferson)
4:48.0,,,86-76,,R. Jefferson misses free throw 1 of 2
4:48.0,,,86-76,,Offensive rebound by Team
4:48.0,,,86-77,1,R. Jefferson makes free throw 2 of 2
4:39.0,G. Green makes 3-pt shot from 25 ft (assist by G. Dragic),3,89-77,,
4:26.0,,,89-77,,Turnover by D. Harris (bad pass; steal by G. Green)
4:17.0,G. Green misses 3-pt shot from 24 ft,,89-77,,
4:15.0,,,89-77,,Defensive rebound by B. Wright
4:10.0,,,89-77,,Shooting foul by A. Len (drawn by D. Harris)
4:10.0,,,89-78,1,D. Harris makes free throw 1 of 2
4:10.0,,,89-79,1,D. Harris makes free throw 2 of 2
3:53.0,G. Dragic makes 2-pt shot from 6 ft,2,91-79,,
3:43.0,,,91-79,,D. Harris misses 2-pt shot from 16 ft
3:41.0,Defensive rebound by A. Len,,91-79,,
3:19.0,M. Morris misses 2-pt shot from 8 ft,,91-79,,
3:17.0,,,91-79,,Defensive rebound by D. Nowitzki
3:06.0,Personal foul by M. Morris (drawn by D. Nowitzki),,91-79,,
3:06.0,,,91-80,1,D. Nowitzki makes free throw 1 of 2
3:06.0,M. Morris enters the game for M. Morris,,91-80,,
3:06.0,A. Tolliver enters the game for P. Tucker,,91-80,,
3:06.0,,,91-80,,D. Nowitzki misses free throw 2 of 2
3:05.0,Defensive rebound by A. Tolliver,,91-80,,
2:45.0,Offensive foul by A. Tolliver,,91-80,,
2:45.0,Turnover by A. Tolliver (offensive foul),,91-80,,
2:45.0,Phoenix full timeout,,91-80,,
2:45.0,E. Bledsoe enters the game for G. Dragic,,91-80,,
2:25.0,,,91-82,2,M. Ellis makes 2-pt shot from 18 ft
2:09.0,Offensive foul by G. Green,,91-82,,
2:09.0,Turnover by G. Green (offensive foul),,91-82,,
2:09.0,Violation by Team (delay of game),,91-82,,
2:02.0,,,91-82,,Shooting foul by G. Green (drawn by D. Harris)
2:02.0,,,91-83,1,D. Harris makes free throw 1 of 2
2:02.0,,,91-84,1,D. Harris makes free throw 2 of 2
1:51.0,A. Len makes 2-pt shot at rim (assist by E. Bledsoe),2,93-84,,
1:33.0,,,93-84,,M. Ellis misses 3-pt shot from 24 ft
1:31.0,Defensive rebound by A. Len,,93-84,,
1:12.0,A. Tolliver misses 3-pt shot from 23 ft,,93-84,,
1:10.0,,,93-84,,Defensive rebound by B. Wright
0:57.0,,,93-84,,D. Nowitzki misses 2-pt shot from 7 ft
0:56.0,,,93-84,,Offensive rebound by B. Wright
0:50.0,,,93-84,,D. Nowitzki misses 2-pt shot from 8 ft
0:48.0,Defensive rebound by G. Green,,93-84,,
0:32.0,Turnover by E. Bledsoe (bad pass; steal by R. Jefferson),,93-84,,
0:29.0,,,93-84,,R. Jefferson misses 2-pt shot from 1 ft (block by E. Bledsoe)
0:28.0,,,93-84,,Offensive rebound by Team
0:28.0,,,93-84,,T. Chandler enters the game for B. Wright
0:28.0,,,93-84,,C. Parsons enters the game for D. Nowitzki
0:22.0,,,93-86,2,D. Harris makes 2-pt shot from 5 ft
0:05.0,,,93-86,,Personal take foul by C. Parsons (drawn by E. Bledsoe)
0:05.0,,,93-86,,A. Aminu enters the game for C. Parsons
0:00.0,E. Bledsoe misses 2-pt shot from 15 ft,,93-86,,
0:00.0,,,93-86,,Defensive rebound by T. Chandler
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,G. Green misses 2-pt shot from 18 ft,,93-86,,
11:43.0,,,93-86,,Defensive rebound by C. Parsons
11:38.0,,,93-88,2,T. Chandler makes 2-pt shot from 1 ft (assist by A. Aminu)
11:20.0,M. Morris makes 2-pt shot from 14 ft,2,95-88,,
10:58.0,,,95-88,,Shooting foul by G. Green (drawn by C. Parsons)
10:58.0,,,95-89,1,C. Parsons makes free throw 1 of 2
10:58.0,M. Morris enters the game for A. Len,,95-89,,
10:58.0,G. Dragic enters the game for A. Tolliver,,95-89,,
10:58.0,,,95-89,,J. Barea enters the game for M. Ellis
10:58.0,,,95-89,,C. Parsons misses free throw 2 of 2
10:58.0,Defensive rebound by M. Morris,,95-89,,
10:36.0,M. Morris misses 2-pt shot from 15 ft,,95-89,,
10:35.0,,,95-89,,Defensive rebound by T. Chandler
10:25.0,,,95-89,,Turnover by J. Barea (dbl dribble)
10:03.0,Turnover by G. Dragic (bad pass; steal by A. Aminu),,95-89,,
9:52.0,,,95-89,,A. Aminu misses 3-pt shot from 22 ft
9:51.0,Defensive rebound by G. Green,,95-89,,
9:41.0,Shooting foul by T. Chandler (drawn by M. Morris),,95-89,,
9:41.0,M. Morris makes free throw 1 of 2,1,96-89,,
9:41.0,,,96-89,,D. Nowitzki enters the game for A. Aminu
9:41.0,P. Tucker enters the game for G. Green,,96-89,,
9:41.0,M. Morris makes free throw 2 of 2,1,97-89,,
9:25.0,,,97-89,,D. Nowitzki misses 2-pt shot from 17 ft
9:23.0,Defensive rebound by G. Dragic,,97-89,,
9:19.0,G. Dragic makes 2-pt shot from 1 ft,2,99-89,,
9:10.0,,,99-89,,J. Barea misses 2-pt shot from 3 ft
9:06.0,Defensive rebound by M. Morris,,99-89,,
9:04.0,P. Tucker makes 2-pt shot from 2 ft (assist by G. Dragic),2,101-89,,
9:03.0,,,101-89,,Dallas full timeout
8:51.0,,,101-89,,Turnover by D. Harris (traveling)
8:42.0,G. Dragic makes 2-pt shot from 2 ft,2,103-89,,
8:30.0,Personal foul by M. Morris (drawn by D. Nowitzki),,103-89,,
8:30.0,,,103-89,,M. Ellis enters the game for D. Harris
8:30.0,,,103-89,,J. Nelson enters the game for J. Barea
8:26.0,,,103-89,,Shooting foul by M. Morris (drawn by D. Nowitzki)
8:26.0,,,103-90,1,D. Nowitzki makes free throw 1 of 2
8:26.0,,,103-91,1,D. Nowitzki makes free throw 2 of 2
8:16.0,G. Dragic misses 3-pt shot from 24 ft,,103-91,,
8:14.0,,,103-91,,Defensive rebound by J. Nelson
7:52.0,,,103-91,,C. Parsons misses 2-pt shot from 10 ft
7:51.0,Defensive rebound by M. Morris,,103-91,,
7:47.0,E. Bledsoe misses 2-pt shot from 2 ft (block by M. Ellis),,103-91,,
7:43.0,,,103-91,,Defensive rebound by J. Nelson
7:37.0,,,103-91,,D. Nowitzki misses 2-pt shot from 15 ft
7:36.0,Defensive rebound by P. Tucker,,103-91,,
7:17.0,,,103-91,,Personal foul by C. Parsons (drawn by E. Bledsoe)
7:17.0,,,103-91,,A. Aminu enters the game for D. Nowitzki
7:13.0,M. Morris misses 2-pt shot from 17 ft,,103-91,,
7:11.0,,,103-91,,Defensive rebound by A. Aminu
6:59.0,,,103-91,,J. Nelson misses 2-pt shot from 6 ft
6:57.0,,,103-91,,Offensive rebound by J. Nelson
6:54.0,,,103-93,2,C. Parsons makes 2-pt shot from 1 ft (assist by J. Nelson)
6:38.0,M. Morris misses 2-pt shot from 16 ft,,103-93,,
6:36.0,,,103-93,,Defensive rebound by A. Aminu
6:24.0,,,103-93,,A. Aminu misses 2-pt shot from 5 ft
6:23.0,Defensive rebound by M. Morris,,103-93,,
6:14.0,,,103-93,,Personal foul by M. Ellis (drawn by P. Tucker)
6:04.0,M. Morris makes 2-pt shot from 10 ft,2,105-93,,
5:43.0,,,105-95,2,M. Ellis makes 2-pt shot from 3 ft
5:34.0,M. Morris misses 3-pt shot from 25 ft,,105-95,,
5:33.0,,,105-95,,Defensive rebound by T. Chandler
5:20.0,,,105-95,,C. Parsons misses 3-pt shot from 25 ft
5:19.0,,,105-95,,Offensive rebound by T. Chandler
5:15.0,,,105-95,,M. Ellis misses 3-pt shot from 24 ft
5:13.0,Defensive rebound by Team,,105-95,,
5:13.0,Official timeout,,105-95,,
4:50.0,P. Tucker misses 3-pt shot from 24 ft,,105-95,,
4:48.0,,,105-95,,Defensive rebound by T. Chandler
4:37.0,,,105-97,2,M. Ellis makes 2-pt shot from 6 ft
4:14.0,E. Bledsoe makes 2-pt shot from 18 ft,2,107-97,,
3:56.0,,,107-97,,A. Aminu misses 3-pt shot from 27 ft
3:53.0,,,107-97,,Offensive rebound by J. Nelson
3:47.0,,,107-97,,J. Nelson misses 2-pt shot from 3 ft
3:44.0,Defensive rebound by M. Morris,,107-97,,
3:42.0,,,107-97,,Shooting block foul by C. Parsons (drawn by G. Dragic)
3:42.0,G. Dragic makes free throw 1 of 2,1,108-97,,
3:42.0,,,108-97,,D. Nowitzki enters the game for A. Aminu
3:42.0,G. Green enters the game for M. Morris,,108-97,,
3:42.0,G. Dragic makes free throw 2 of 2,1,109-97,,
3:30.0,,,109-99,2,M. Ellis makes 2-pt shot at rim
3:05.0,G. Green misses 3-pt shot from 25 ft,,109-99,,
3:04.0,,,109-99,,Defensive rebound by T. Chandler
2:56.0,Personal foul by G. Green (drawn by C. Parsons),,109-99,,
2:56.0,Phoenix full timeout,,109-99,,
2:56.0,,,109-99,,D. Harris enters the game for J. Nelson
2:56.0,M. Morris enters the game for G. Green,,109-99,,
2:51.0,,,109-101,2,M. Ellis makes 2-pt shot from 4 ft
