time,Toronto,pts.away,score,pts.home,Washington
10:10.0,,,50-59,,M. Gortat misses 2-pt shot from 15 ft
10:09.0,Defensive rebound by J. Valanciunas,,50-59,,
9:58.0,K. Lowry misses 2-pt shot from 16 ft,,50-59,,
9:57.0,Offensive rebound by A. Johnson,,50-59,,
9:55.0,,,50-59,,Personal foul by P. Pierce (drawn by K. Lowry)
9:48.0,,,50-59,,Personal foul by N. Hilario (drawn by D. DeRozan)
9:42.0,D. DeRozan misses 2-pt shot from 8 ft,,50-59,,
9:42.0,Offensive rebound by Team,,50-59,,
9:42.0,,,50-59,,Loose ball foul by M. Gortat (drawn by J. Valanciunas)
9:34.0,J. Valanciunas makes 2-pt shot from 8 ft (assist by K. Lowry),2,52-59,,
9:21.0,,,52-59,,N. Hilario misses 2-pt shot from 16 ft
9:20.0,Defensive rebound by Team,,52-59,,
9:20.0,,,52-59,,Loose ball foul by M. Gortat (drawn by J. Valanciunas)
9:08.0,K. Lowry misses 2-pt shot from 16 ft,,52-59,,
9:07.0,,,52-59,,Defensive rebound by M. Gortat
8:57.0,,,52-59,,J. Wall misses 3-pt shot from 26 ft
8:55.0,Defensive rebound by A. Johnson,,52-59,,
8:45.0,J. Valanciunas misses 2-pt shot from 7 ft,,52-59,,
8:44.0,Offensive rebound by Team,,52-59,,
8:40.0,A. Johnson makes 2-pt shot from 3 ft (assist by D. DeRozan),2,54-59,,
8:19.0,,,54-61,2,N. Hilario makes 2-pt shot from 2 ft (assist by J. Wall)
8:08.0,D. DeRozan misses 2-pt shot from 7 ft,,54-61,,
8:07.0,,,54-61,,Defensive rebound by P. Pierce
8:01.0,,,54-61,,Turnover by B. Beal (bad pass; steal by D. DeRozan)
7:39.0,T. Ross misses 3-pt shot from 23 ft (block by B. Beal),,54-61,,
7:39.0,Offensive rebound by Team,,54-61,,
7:38.0,Turnover by T. Ross (bad pass),,54-61,,
7:26.0,,,54-61,,Turnover by J. Wall (bad pass; steal by A. Johnson)
7:23.0,Shooting foul by J. Wall (drawn by D. DeRozan),,54-61,,
7:23.0,D. DeRozan makes free throw 1 of 2,1,55-61,,
7:23.0,D. DeRozan makes free throw 2 of 2,1,56-61,,
7:13.0,Personal foul by K. Lowry (drawn by P. Pierce),,56-61,,
7:01.0,,,56-61,,Turnover by M. Gortat (3 sec)
6:48.0,K. Lowry misses 2-pt shot from 12 ft,,56-61,,
6:48.0,,,56-61,,Defensive rebound by Team
6:48.0,Loose ball foul by A. Johnson (drawn by N. Hilario),,56-61,,
6:31.0,,,56-61,,Turnover by M. Gortat (bad pass)
6:17.0,Turnover by K. Lowry (bad pass),,56-61,,
6:17.0,Technical foul by T. Ross,,56-61,,
6:17.0,,,56-61,,Washington full timeout
6:17.0,,,56-61,,J. Wall misses technical free throw
6:17.0,,,56-61,,Offensive rebound by Team
6:04.0,,,56-61,,N. Hilario misses 2-pt shot from 5 ft
6:02.0,Defensive rebound by Team,,56-61,,
5:39.0,K. Lowry misses 2-pt shot from 3 ft,,56-61,,
5:37.0,Offensive rebound by J. Valanciunas,,56-61,,
5:36.0,J. Valanciunas makes 2-pt shot from 3 ft,2,58-61,,
5:23.0,,,58-63,2,M. Gortat makes 2-pt shot from 1 ft (assist by J. Wall)
5:04.0,T. Ross makes 2-pt shot from 7 ft (assist by D. DeRozan),2,60-63,,
4:48.0,,,60-63,,B. Beal misses 3-pt shot from 26 ft
4:47.0,,,60-63,,Offensive rebound by M. Gortat
4:43.0,,,60-63,,Turnover by P. Pierce (bad pass; steal by T. Ross)
4:40.0,K. Lowry makes 2-pt shot from 2 ft (assist by T. Ross),2,62-63,,
4:25.0,,,62-63,,Shooting foul by D. DeRozan (drawn by P. Pierce)
4:25.0,,,62-64,1,P. Pierce makes free throw 1 of 2
4:25.0,,,62-65,1,P. Pierce makes free throw 2 of 2
4:03.0,D. DeRozan makes 2-pt shot from 19 ft,2,64-65,,
3:52.0,,,64-65,,P. Pierce misses 3-pt shot from 28 ft
3:51.0,Defensive rebound by T. Ross,,64-65,,
3:38.0,K. Lowry misses 2-pt shot from 4 ft,,64-65,,
3:37.0,,,64-65,,Defensive rebound by M. Gortat
3:34.0,,,64-65,,Shooting foul by T. Ross (drawn by B. Beal)
3:34.0,,,64-66,1,B. Beal makes free throw 1 of 2
3:34.0,G. Vasquez enters the game for T. Ross,,64-66,,
3:34.0,L. Williams enters the game for K. Lowry,,64-66,,
3:34.0,,,64-66,,D. Gooden enters the game for N. Hilario
3:34.0,,,64-66,,O. Porter enters the game for P. Pierce
3:34.0,,,64-67,1,B. Beal makes free throw 2 of 2
3:16.0,Shooting foul by D. Gooden (drawn by A. Johnson),,64-67,,
3:16.0,A. Johnson misses free throw 1 of 2,,64-67,,
3:16.0,Offensive rebound by Team,,64-67,,
3:16.0,A. Johnson misses free throw 2 of 2,,64-67,,
3:16.0,,,64-67,,Defensive rebound by D. Gooden
2:57.0,,,64-67,,D. Gooden misses 2-pt shot from 14 ft
2:56.0,Defensive rebound by J. Valanciunas,,64-67,,
2:44.0,G. Vasquez misses 2-pt shot from 6 ft,,64-67,,
2:43.0,Offensive rebound by A. Johnson,,64-67,,
2:41.0,A. Johnson makes 2-pt shot from 1 ft,2,66-67,,
2:16.0,,,66-67,,J. Wall misses 2-pt shot from 18 ft
2:15.0,,,66-67,,Offensive rebound by O. Porter
2:12.0,,,66-67,,O. Porter misses 2-pt shot at rim
2:11.0,Defensive rebound by A. Johnson,,66-67,,
1:55.0,A. Johnson makes 2-pt shot from 2 ft (assist by D. DeRozan),2,68-67,,
1:44.0,Personal foul by A. Johnson (drawn by M. Gortat),,68-67,,
1:44.0,Toronto full timeout,,68-67,,
1:44.0,,,68-67,,R. Sessions enters the game for B. Beal
1:44.0,P. Patterson enters the game for A. Johnson,,68-67,,
1:44.0,,,68-68,1,M. Gortat makes free throw 1 of 2
1:44.0,,,68-68,,M. Gortat misses free throw 2 of 2
1:42.0,Defensive rebound by J. Valanciunas,,68-68,,
1:24.0,J. Valanciunas misses 2-pt shot from 5 ft,,68-68,,
1:23.0,,,68-68,,Defensive rebound by D. Gooden
1:13.0,,,68-68,,J. Wall misses 2-pt shot from 2 ft
1:12.0,Defensive rebound by J. Valanciunas,,68-68,,
1:04.0,P. Patterson misses 3-pt shot from 24 ft (block by D. Gooden),,68-68,,
1:01.0,,,68-68,,Defensive rebound by O. Porter
0:59.0,Personal foul by G. Vasquez (drawn by J. Wall),,68-68,,
0:59.0,,,68-69,1,J. Wall makes free throw 1 of 2
0:59.0,,,68-70,1,J. Wall makes free throw 2 of 2
0:43.0,,,68-70,,Violation by J. Wall (kicked ball)
0:38.0,L. Williams makes 2-pt shot from 3 ft,2,70-70,,
0:23.0,,,70-72,2,J. Wall makes 2-pt shot from 1 ft
0:03.0,L. Williams misses 2-pt shot from 6 ft,,70-72,,
0:02.0,,,70-72,,Defensive rebound by J. Wall
0:00.0,,,70-72,,J. Wall misses 3-pt shot from 38 ft
0:00.0,,,70-72,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,,,70-72,,Turnover by J. Wall (lost ball; steal by T. Hansbrough)
11:36.0,,,70-72,,Personal foul by J. Wall (drawn by T. Hansbrough)
11:23.0,P. Patterson misses 2-pt shot from 18 ft,,70-72,,
11:22.0,,,70-72,,Defensive rebound by O. Porter
11:19.0,,,70-72,,Turnover by O. Porter (lost ball; steal by T. Hansbrough)
11:12.0,Shooting foul by O. Porter (drawn by K. Lowry),,70-72,,
11:12.0,K. Lowry makes free throw 1 of 2,1,71-72,,
11:12.0,,,71-72,,N. Hilario enters the game for M. Gortat
11:12.0,K. Lowry makes free throw 2 of 2,1,72-72,,
10:57.0,,,72-72,,D. Gooden misses 3-pt shot from 27 ft
10:56.0,Defensive rebound by T. Hansbrough,,72-72,,
10:49.0,Shooting foul by N. Hilario (drawn by L. Williams),,72-72,,
10:49.0,L. Williams misses free throw 1 of 2,,72-72,,
10:49.0,Offensive rebound by Team,,72-72,,
10:49.0,L. Williams makes free throw 2 of 2,1,73-72,,
10:36.0,,,73-72,,Turnover by J. Wall (bad pass; steal by K. Lowry)
10:31.0,L. Williams misses 3-pt shot from 27 ft,,73-72,,
10:30.0,Offensive rebound by K. Lowry,,73-72,,
10:22.0,K. Lowry misses 3-pt shot from 27 ft,,73-72,,
10:21.0,,,73-72,,Defensive rebound by J. Wall
10:17.0,,,73-72,,Shooting foul by T. Hansbrough (drawn by J. Wall)
10:17.0,,,73-74,2,J. Wall makes 2-pt shot from 2 ft
10:17.0,,,73-74,,B. Beal enters the game for R. Sessions
10:17.0,,,73-75,1,J. Wall makes free throw 1 of 1
10:00.0,K. Lowry misses 2-pt shot from 2 ft (block by B. Beal),,73-75,,
9:58.0,,,73-75,,Defensive rebound by D. Gooden
9:50.0,,,73-77,2,B. Beal makes 2-pt shot from 18 ft
9:35.0,,,73-77,,Personal foul by N. Hilario (drawn by K. Lowry)
9:35.0,,,73-77,,M. Gortat enters the game for N. Hilario
9:35.0,D. DeRozan enters the game for G. Vasquez,,73-77,,
9:30.0,L. Williams misses 2-pt shot from 8 ft (block by D. Gooden),,73-77,,
9:30.0,Offensive rebound by Team,,73-77,,
9:27.0,Shooting foul by B. Beal (drawn by T. Hansbrough),,73-77,,
9:27.0,T. Hansbrough misses free throw 1 of 2,,73-77,,
9:27.0,Offensive rebound by Team,,73-77,,
9:27.0,T. Hansbrough makes free throw 2 of 2,1,74-77,,
9:09.0,,,74-79,2,M. Gortat makes 2-pt shot from 5 ft
8:58.0,D. DeRozan misses 2-pt shot from 5 ft (block by O. Porter),,74-79,,
8:58.0,Offensive rebound by Team,,74-79,,
8:58.0,Technical foul by D. DeRozan,,74-79,,
8:58.0,Official timeout,,74-79,,
8:58.0,,,74-79,,B. Beal misses technical free throw
8:58.0,Offensive rebound by Team,,74-79,,
8:54.0,D. DeRozan makes 2-pt shot from 4 ft (assist by K. Lowry),2,76-79,,
8:33.0,,,76-79,,Shooting foul by T. Hansbrough (drawn by D. Gooden)
8:33.0,,,76-81,2,D. Gooden makes 2-pt shot from 3 ft
8:33.0,,,76-81,,D. Gooden misses free throw 1 of 1
8:32.0,Defensive rebound by D. DeRozan,,76-81,,
8:12.0,L. Williams makes 2-pt shot from 15 ft,2,78-81,,
8:02.0,Violation by T. Hansbrough (kicked ball),,78-81,,
7:53.0,,,78-81,,M. Gortat misses 2-pt shot from 5 ft
7:52.0,Defensive rebound by D. DeRozan,,78-81,,
7:44.0,D. DeRozan misses 2-pt shot from 14 ft,,78-81,,
7:43.0,,,78-81,,Defensive rebound by D. Gooden
7:41.0,,,78-81,,Turnover by D. Gooden (bad pass; steal by P. Patterson)
7:33.0,D. DeRozan makes 2-pt shot from 1 ft (assist by K. Lowry),2,80-81,,
7:09.0,,,80-81,,D. Gooden misses 3-pt shot from 26 ft
7:08.0,Defensive rebound by L. Williams,,80-81,,
6:56.0,L. Williams misses 2-pt shot from 7 ft (block by B. Beal),,80-81,,
6:54.0,,,80-81,,Defensive rebound by M. Gortat
6:49.0,,,80-81,,P. Pierce enters the game for D. Gooden
6:49.0,A. Johnson enters the game for T. Hansbrough,,80-81,,
6:39.0,,,80-84,3,P. Pierce makes 3-pt shot from 28 ft (assist by O. Porter)
6:37.0,Toronto full timeout,,80-84,,
6:37.0,T. Ross enters the game for L. Williams,,80-84,,
6:24.0,P. Patterson makes 3-pt shot from 24 ft (assist by D. DeRozan),3,83-84,,
6:05.0,,,83-84,,Turnover by M. Gortat (bad pass; steal by K. Lowry)
6:01.0,A. Johnson makes 2-pt shot at rim (assist by K. Lowry),2,85-84,,
5:35.0,,,85-86,2,M. Gortat makes 2-pt shot from 4 ft (assist by J. Wall)
5:35.0,,,85-86,,Shooting foul by D. DeRozan (drawn by M. Gortat)
