time,Chicago,pts.away,score,pts.home,New Orleans
5:40.0,,,7-8,,New Orleans full timeout
5:30.0,J. Butler misses 2-pt shot from 10 ft,,7-8,,
5:29.0,,,7-8,,Defensive rebound by T. Evans
5:12.0,,,7-10,2,A. Davis makes 2-pt shot from 12 ft
4:54.0,P. Gasol misses 2-pt shot from 18 ft,,7-10,,
4:52.0,,,7-10,,Defensive rebound by A. Davis
4:46.0,,,7-10,,A. Davis misses 2-pt shot from 2 ft
4:44.0,Defensive rebound by K. Hinrich,,7-10,,
4:40.0,Turnover by J. Butler (bad pass; steal by D. Cunningham),,7-10,,
4:34.0,,,7-12,2,T. Evans makes 2-pt shot from 1 ft (assist by D. Cunningham)
4:21.0,D. Rose makes 2-pt shot from 19 ft,2,9-12,,
3:53.0,,,9-14,2,T. Evans makes 2-pt shot from 2 ft
3:32.0,K. Hinrich makes 2-pt shot from 22 ft (assist by J. Butler),2,11-14,,
3:15.0,,,11-14,,Turnover by E. Gordon (bad pass)
3:15.0,,,11-14,,R. Anderson enters the game for O. Asik
3:15.0,,,11-14,,Q. Pondexter enters the game for D. Cunningham
3:15.0,T. Gibson enters the game for J. Noah,,11-14,,
3:03.0,K. Hinrich misses 2-pt shot from 2 ft (block by T. Evans),,11-14,,
3:03.0,Offensive rebound by Team,,11-14,,
3:03.0,,,11-14,,J. Fredette enters the game for T. Evans
3:01.0,D. Rose misses 2-pt shot from 15 ft,,11-14,,
2:58.0,,,11-14,,Defensive rebound by J. Fredette
2:42.0,,,11-16,2,A. Davis makes 2-pt shot from 2 ft
2:16.0,P. Gasol misses 2-pt shot from 4 ft,,11-16,,
2:15.0,Offensive rebound by P. Gasol,,11-16,,
2:13.0,P. Gasol makes 2-pt shot from 2 ft,2,13-16,,
2:06.0,,,13-16,,New Orleans full timeout
2:06.0,Chicago full timeout,,13-16,,
2:06.0,A. Brooks enters the game for D. Rose,,13-16,,
2:06.0,T. Snell enters the game for K. Hinrich,,13-16,,
1:58.0,,,13-18,2,A. Davis makes 2-pt shot from 2 ft
1:35.0,Shooting foul by Q. Pondexter (drawn by J. Butler),,13-18,,
1:35.0,J. Butler makes free throw 1 of 2,1,14-18,,
1:35.0,,,14-18,,A. Ajinca enters the game for A. Davis
1:35.0,J. Butler makes free throw 2 of 2,1,15-18,,
1:20.0,,,15-20,2,A. Ajinca makes 2-pt shot from 1 ft (assist by E. Gordon)
1:04.0,P. Gasol makes 2-pt shot from 5 ft,2,17-20,,
0:47.0,,,17-20,,E. Gordon misses 2-pt shot from 5 ft
0:47.0,Defensive rebound by Team,,17-20,,
0:47.0,,,17-20,,Loose ball foul by A. Ajinca (drawn by P. Gasol)
0:47.0,P. Gasol makes free throw 1 of 2,1,18-20,,
0:47.0,P. Gasol misses free throw 2 of 2,,18-20,,
0:46.0,,,18-20,,Defensive rebound by R. Anderson
0:34.0,,,18-20,,A. Ajinca misses 2-pt shot from 9 ft
0:33.0,,,18-20,,Offensive rebound by A. Ajinca
0:19.0,,,18-20,,R. Anderson misses 3-pt shot from 26 ft
0:18.0,Defensive rebound by P. Gasol,,18-20,,
0:00.0,A. Brooks misses 2-pt shot from 20 ft,,18-20,,
0:00.0,Offensive rebound by Team,,18-20,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,18-20,,R. Anderson misses 2-pt shot from 8 ft (block by T. Gibson)
11:44.0,,,18-20,,Offensive rebound by R. Anderson
11:44.0,,,18-20,,Shooting foul by T. Snell (drawn by R. Anderson)
11:44.0,,,18-21,1,R. Anderson makes free throw 1 of 2
11:44.0,,,18-22,1,R. Anderson makes free throw 2 of 2
11:30.0,Turnover by A. Brooks (lost ball; steal by J. Fredette),,18-22,,
11:23.0,,,18-22,,E. Gordon misses 2-pt shot from 2 ft
11:22.0,,,18-22,,Offensive rebound by R. Anderson
11:07.0,,,18-22,,Q. Pondexter misses 3-pt shot from 25 ft
11:06.0,Defensive rebound by J. Noah,,18-22,,
11:01.0,A. Brooks misses 3-pt shot from 24 ft,,18-22,,
10:59.0,,,18-22,,Defensive rebound by R. Anderson
10:41.0,,,18-24,2,Q. Pondexter makes 2-pt shot from 2 ft
10:17.0,T. Snell makes 3-pt shot from 26 ft (assist by J. Butler),3,21-24,,
10:03.0,,,21-24,,R. Anderson misses 2-pt shot from 6 ft
9:57.0,Defensive rebound by J. Noah,,21-24,,
9:57.0,,,21-24,,T. Evans enters the game for E. Gordon
9:57.0,Jump ball: A. Ajinca vs. J. Noah (J. Butler gains possession),,,,Jump ball: A. Ajinca vs. J. Noah (J. Butler gains possession)
9:48.0,Turnover by A. Brooks (bad pass; steal by T. Evans),,21-24,,
9:31.0,,,21-24,,J. Fredette misses 2-pt shot from 17 ft
9:30.0,Defensive rebound by T. Gibson,,21-24,,
9:21.0,J. Butler misses 2-pt shot at rim (block by Q. Pondexter),,21-24,,
9:20.0,Offensive rebound by J. Butler,,21-24,,
9:15.0,T. Snell makes 3-pt shot from 23 ft (assist by J. Butler),3,24-24,,
8:49.0,,,24-24,,R. Anderson misses 2-pt shot from 4 ft
8:48.0,,,24-24,,Offensive rebound by R. Anderson
8:48.0,Loose ball foul by J. Butler (drawn by R. Anderson),,24-24,,
8:48.0,Official timeout,,24-24,,
8:48.0,D. Rose enters the game for J. Butler,,24-24,,
8:48.0,,,24-24,,O. Asik enters the game for A. Ajinca
8:30.0,,,24-26,2,Q. Pondexter makes 2-pt shot from 9 ft
8:12.0,T. Gibson makes 2-pt shot from 18 ft,2,26-26,,
7:48.0,,,26-26,,Turnover by J. Fredette (bad pass)
7:36.0,Turnover by D. Rose (bad pass),,26-26,,
7:22.0,,,26-26,,Offensive charge foul by T. Evans
7:22.0,,,26-26,,Turnover by T. Evans (offensive foul)
7:11.0,D. Rose makes 2-pt shot from 12 ft,2,28-26,,
6:49.0,,,28-28,2,J. Fredette makes 2-pt shot from 1 ft (assist by R. Anderson)
6:36.0,D. Rose misses 2-pt shot from 16 ft,,28-28,,
6:33.0,,,28-28,,Defensive rebound by Team
6:33.0,,,28-28,,A. Davis enters the game for R. Anderson
6:18.0,,,28-28,,A. Davis misses 2-pt shot from 11 ft
6:17.0,Defensive rebound by A. Brooks,,28-28,,
6:11.0,A. Brooks makes 2-pt shot from 8 ft,2,30-28,,
5:49.0,,,30-30,2,T. Evans makes 2-pt shot from 2 ft
5:33.0,T. Snell misses 2-pt shot from 10 ft (block by A. Davis),,30-30,,
5:32.0,,,30-30,,Defensive rebound by A. Davis
5:28.0,,,30-32,2,A. Davis makes 2-pt shot at rim (assist by T. Evans)
5:19.0,A. Brooks makes 3-pt shot from 24 ft,3,33-32,,
5:00.0,,,33-34,2,J. Fredette makes 2-pt shot from 11 ft
5:00.0,,,33-34,,Shooting foul by T. Gibson (drawn by J. Fredette)
5:00.0,,,33-34,,New Orleans full timeout
5:00.0,K. Hinrich enters the game for A. Brooks,,33-34,,
5:00.0,J. Butler enters the game for T. Snell,,33-34,,
5:00.0,,,33-34,,D. Cunningham enters the game for Q. Pondexter
5:00.0,,,33-35,1,J. Fredette makes free throw 1 of 1
4:46.0,T. Gibson misses 2-pt shot from 1 ft,,33-35,,
4:39.0,,,33-35,,Defensive rebound by O. Asik
4:21.0,,,33-35,,T. Evans misses 3-pt shot from 25 ft
4:20.0,Defensive rebound by J. Noah,,33-35,,
4:16.0,D. Rose makes 2-pt shot from 2 ft,2,35-35,,
4:16.0,Shooting foul by J. Fredette (drawn by D. Rose),,35-35,,
4:16.0,,,35-35,,E. Gordon enters the game for J. Fredette
4:16.0,,,35-35,,R. Anderson enters the game for A. Davis
4:16.0,P. Gasol enters the game for J. Noah,,35-35,,
4:16.0,D. Rose makes free throw 1 of 1,1,36-35,,
3:50.0,,,36-35,,Turnover by T. Evans (bad pass; steal by K. Hinrich)
3:45.0,K. Hinrich misses 2-pt shot from 18 ft,,36-35,,
3:43.0,,,36-35,,Defensive rebound by O. Asik
3:25.0,,,36-37,2,O. Asik makes 2-pt shot at rim (assist by E. Gordon)
3:02.0,P. Gasol makes 2-pt shot from 17 ft (assist by J. Butler),2,38-37,,
2:34.0,,,38-37,,O. Asik misses 2-pt shot from 2 ft
2:34.0,Defensive rebound by P. Gasol,,38-37,,
2:34.0,Chicago full timeout,,38-37,,
2:34.0,Jump ball: O. Asik vs. P. Gasol (D. Rose gains possession),,,,Jump ball: O. Asik vs. P. Gasol (D. Rose gains possession)
2:18.0,Shooting foul by E. Gordon (drawn by J. Butler),,38-37,,
2:18.0,J. Butler makes free throw 1 of 2,1,39-37,,
2:18.0,J. Butler makes free throw 2 of 2,1,40-37,,
1:57.0,,,40-37,,R. Anderson misses 3-pt shot from 26 ft
1:55.0,,,40-37,,Offensive rebound by O. Asik
1:55.0,,,40-37,,O. Asik misses 2-pt shot from 1 ft
1:53.0,Defensive rebound by P. Gasol,,40-37,,
1:48.0,D. Rose makes 3-pt shot from 25 ft,3,43-37,,
1:27.0,,,43-37,,R. Anderson misses 2-pt shot at rim
1:25.0,Defensive rebound by T. Gibson,,43-37,,
1:21.0,Shooting foul by D. Cunningham (drawn by D. Rose),,43-37,,
1:21.0,D. Rose misses free throw 1 of 2,,43-37,,
1:21.0,Offensive rebound by Team,,43-37,,
1:21.0,D. Rose makes free throw 2 of 2,1,44-37,,
1:00.0,,,44-37,,E. Gordon misses 2-pt shot from 1 ft
0:58.0,Defensive rebound by P. Gasol,,44-37,,
0:46.0,P. Gasol makes 2-pt shot from 17 ft (assist by D. Rose),2,46-37,,
0:35.0,,,46-39,2,T. Evans makes 2-pt shot from 2 ft
0:25.0,D. Rose misses 2-pt shot from 2 ft,,46-39,,
0:25.0,Offensive rebound by T. Gibson,,46-39,,
0:25.0,T. Gibson makes 2-pt shot at rim,2,48-39,,
0:01.0,,,48-39,,T. Evans misses 2-pt shot from 21 ft
0:01.0,,,48-39,,Offensive rebound by Team
0:01.0,,,48-39,,Turnover by Team (shot clock)
0:00.0,D. Rose misses 3-pt shot from 61 ft,,48-39,,
0:00.0,Offensive rebound by Team,,48-39,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,48-39,,R. Anderson misses 3-pt shot from 25 ft
11:44.0,,,48-39,,Offensive rebound by O. Asik
11:41.0,,,48-39,,O. Asik misses 2-pt shot from 2 ft (block by P. Gasol)
11:39.0,Defensive rebound by D. Rose,,48-39,,
11:27.0,J. Butler makes 2-pt shot from 1 ft (assist by P. Gasol),2,50-39,,
11:06.0,,,50-39,,E. Gordon misses 2-pt shot from 18 ft
11:05.0,Defensive rebound by P. Gasol,,50-39,,
10:55.0,D. Rose misses 3-pt shot from 26 ft,,50-39,,
10:54.0,,,50-39,,Defensive rebound by T. Evans
10:48.0,,,50-39,,R. Anderson misses 3-pt shot from 28 ft
10:46.0,Defensive rebound by T. Snell,,50-39,,
10:25.0,T. Snell makes 3-pt shot from 25 ft (assist by P. Gasol),3,53-39,,
10:11.0,,,53-42,3,E. Gordon makes 3-pt shot from 23 ft (assist by T. Evans)
9:47.0,P. Gasol makes 2-pt shot from 8 ft,2,55-42,,
9:25.0,,,55-42,,E. Gordon misses 2-pt shot from 1 ft (block by P. Gasol)
9:21.0,,,55-42,,Offensive rebound by E. Gordon
9:21.0,,,55-42,,Turnover by D. Cunningham (lost ball)
9:02.0,T. Snell makes 3-pt shot from 23 ft (assist by P. Gasol),3,58-42,,
8:44.0,,,58-42,,R. Anderson misses 2-pt shot from 15 ft
8:42.0,Defensive rebound by P. Gasol,,58-42,,
8:32.0,P. Gasol makes 2-pt shot from 19 ft,2,60-42,,
8:31.0,,,60-42,,New Orleans full timeout
8:16.0,,,60-42,,D. Cunningham misses 2-pt shot from 17 ft
8:13.0,Defensive rebound by J. Noah,,60-42,,
8:04.0,T. Snell makes 2-pt shot from 2 ft,2,62-42,,
7:40.0,,,62-42,,E. Gordon misses 2-pt shot from 1 ft
7:39.0,Defensive rebound by P. Gasol,,62-42,,
7:35.0,J. Butler makes 2-pt shot from 1 ft (assist by D. Rose),2,64-42,,
7:21.0,,,64-42,,T. Evans misses 2-pt shot from 2 ft
7:20.0,Defensive rebound by J. Noah,,64-42,,
7:01.0,J. Butler misses 2-pt shot from 19 ft,,64-42,,
6:59.0,Offensive rebound by P. Gasol,,64-42,,
6:46.0,D. Rose makes 2-pt shot from 19 ft,2,66-42,,
6:19.0,,,66-42,,E. Gordon misses 2-pt shot from 13 ft
6:18.0,Defensive rebound by J. Butler,,66-42,,
6:05.0,J. Noah makes 2-pt shot from 1 ft (assist by J. Butler),2,68-42,,
5:41.0,,,68-44,2,R. Anderson makes 2-pt shot from 2 ft
5:28.0,,,68-44,,Personal foul by T. Evans (drawn by J. Butler)
5:28.0,,,68-44,,Q. Pondexter enters the game for E. Gordon
5:28.0,,,68-44,,A. Ajinca enters the game for O. Asik
5:21.0,P. Gasol makes 3-pt shot from 23 ft (assist by D. Rose),3,71-44,,
4:51.0,,,71-44,,R. Anderson misses 3-pt shot from 32 ft
4:50.0,,,71-44,,Offensive rebound by A. Ajinca
4:47.0,,,71-46,2,A. Ajinca makes 2-pt shot from 5 ft
4:23.0,D. Rose makes 2-pt shot from 17 ft,2,73-46,,
4:00.0,,,73-46,,Q. Pondexter misses 3-pt shot from 26 ft
3:59.0,Defensive rebound by D. Rose,,73-46,,
3:56.0,J. Butler makes 2-pt shot at rim (assist by D. Rose),2,75-46,,
3:56.0,,,75-46,,New Orleans full timeout
3:56.0,,,75-46,,T. Douglas enters the game for D. Cunningham
3:56.0,T. Gibson enters the game for J. Noah,,75-46,,
3:33.0,,,75-49,3,T. Evans makes 3-pt shot from 24 ft
3:07.0,D. Rose misses 3-pt shot from 24 ft,,75-49,,
3:04.0,,,75-49,,Defensive rebound by T. Evans
2:52.0,,,75-49,,A. Ajinca misses 2-pt shot from 11 ft
2:50.0,Defensive rebound by T. Gibson,,75-49,,
2:44.0,T. Snell misses 2-pt shot from 5 ft (block by A. Ajinca),,75-49,,
2:42.0,Offensive rebound by J. Butler,,75-49,,
2:39.0,Turnover by P. Gasol (bad pass),,75-49,,
2:39.0,A. Brooks enters the game for D. Rose,,75-49,,
2:23.0,,,75-49,,Q. Pondexter misses 2-pt shot from 5 ft
2:22.0,Defensive rebound by P. Gasol,,75-49,,
2:16.0,J. Butler misses 2-pt shot from 2 ft,,75-49,,
2:15.0,,,75-49,,Defensive rebound by R. Anderson
2:07.0,,,75-49,,T. Evans misses 2-pt shot from 1 ft
2:06.0,Defensive rebound by Team,,75-49,,
2:06.0,,,75-49,,J. Withey enters the game for R. Anderson
1:48.0,P. Gasol makes 2-pt shot from 3 ft,2,77-49,,
1:32.0,,,77-51,2,A. Ajinca makes 2-pt shot from 6 ft
1:13.0,Turnover by P. Gasol (bad pass; steal by T. Evans),,77-51,,
1:07.0,,,77-54,3,T. Douglas makes 3-pt shot from 23 ft (assist by T. Evans)
0:49.0,A. Brooks misses 2-pt shot from 3 ft,,77-54,,
0:48.0,,,77-54,,Defensive rebound by J. Withey
0:43.0,,,77-56,2,Q. Pondexter makes 2-pt shot from 2 ft (assist by T. Douglas)
0:43.0,Chicago full timeout,,77-56,,
0:43.0,N. Mirotic enters the game for P. Gasol,,77-56,,
0:43.0,,,77-56,,J. Fredette enters the game for T. Evans
0:22.0,J. Butler makes 2-pt shot from 1 ft,2,79-56,,
0:09.0,,,79-56,,Turnover by J. Withey (offensive foul)
0:09.0,,,79-56,,Offensive charge foul by J. Withey
0:04.0,,,79-56,,Personal take foul by Q. Pondexter (drawn by J. Butler)
0:00.0,J. Butler makes 2-pt shot from 15 ft (assist by A. Brooks),2,81-56,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,T. Gibson misses 2-pt shot from 4 ft,,81-56,,
11:38.0,,,81-56,,Defensive rebound by J. Withey
11:17.0,,,81-56,,J. Fredette misses 3-pt shot from 25 ft
11:14.0,Defensive rebound by T. Snell,,81-56,,
10:57.0,Shooting foul by Q. Pondexter (drawn by J. Butler),,81-56,,
10:57.0,J. Butler makes free throw 1 of 2,1,82-56,,
10:57.0,J. Butler makes free throw 2 of 2,1,83-56,,
10:44.0,,,83-56,,Turnover by J. Fredette (bad pass; steal by J. Butler)
10:38.0,J. Butler makes 2-pt shot at rim,2,85-56,,
10:29.0,,,85-56,,Shooting foul by T. Gibson (drawn by Q. Pondexter)
10:29.0,,,85-56,,Q. Pondexter misses free throw 1 of 2
10:29.0,,,85-56,,Offensive rebound by Team
10:29.0,E. Moore enters the game for J. Butler,,85-56,,
10:29.0,,,85-56,,L. Babbitt enters the game for J. Fredette
10:29.0,,,85-56,,Q. Pondexter misses free throw 2 of 2
10:28.0,Defensive rebound by T. Snell,,85-56,,
10:07.0,T. Snell misses 3-pt shot from 26 ft,,85-56,,
10:05.0,,,85-56,,Defensive rebound by Team
9:53.0,,,85-56,,T. Douglas misses 2-pt shot from 22 ft
9:52.0,Defensive rebound by T. Snell,,85-56,,
9:46.0,A. Brooks misses 3-pt shot from 27 ft,,85-56,,
9:45.0,,,85-56,,Defensive rebound by L. Babbitt
9:25.0,,,85-56,,A. Ajinca misses 2-pt shot from 11 ft
9:25.0,Defensive rebound by Team,,85-56,,
9:07.0,T. Gibson misses 2-pt shot from 5 ft,,85-56,,
9:04.0,,,85-56,,Defensive rebound by T. Douglas
8:53.0,,,85-56,,J. Withey misses 2-pt shot from 12 ft
8:52.0,Defensive rebound by T. Snell,,85-56,,
8:43.0,N. Mirotic misses 3-pt shot from 26 ft,,85-56,,
8:42.0,,,85-56,,Defensive rebound by L. Babbitt
8:32.0,Personal foul by A. Brooks (drawn by T. Douglas),,85-56,,
8:32.0,Official timeout,,85-56,,
8:18.0,,,85-56,,T. Douglas misses 2-pt shot from 20 ft
8:16.0,Defensive rebound by N. Mirotic,,85-56,,
8:03.0,T. Snell makes 2-pt shot from 1 ft,2,87-56,,
7:47.0,,,87-56,,Turnover by T. Douglas (bad pass; steal by T. Gibson)
7:41.0,E. Moore misses 3-pt shot from 23 ft,,87-56,,
7:37.0,Offensive rebound by T. Gibson,,87-56,,
7:26.0,T. Gibson misses 2-pt shot at rim,,87-56,,
7:23.0,,,87-56,,Defensive rebound by A. Ajinca
7:17.0,,,87-58,2,A. Ajinca makes 2-pt shot from 1 ft (assist by Q. Pondexter)
6:56.0,Turnover by A. Brooks (lost ball; steal by T. Douglas),,87-58,,
6:37.0,,,87-58,,Turnover by A. Ajinca (bad pass; steal by E. Moore)
6:36.0,,,87-58,,Personal foul by A. Ajinca (drawn by E. Moore)
6:36.0,,,87-58,,J. Fredette enters the game for Q. Pondexter
6:36.0,C. Bairstow enters the game for T. Gibson,,87-58,,
6:25.0,T. Snell makes 3-pt shot from 24 ft (assist by N. Mirotic),3,90-58,,
6:04.0,,,90-60,2,A. Ajinca makes 2-pt shot from 2 ft (assist by T. Douglas)
5:54.0,A. Brooks makes 2-pt shot from 4 ft,2,92-60,,
5:54.0,,,92-60,,New Orleans full timeout
5:40.0,,,92-62,2,J. Withey makes 2-pt shot at rim (assist by L. Babbitt)
5:28.0,Turnover by A. Brooks (lost ball; steal by T. Douglas),,92-62,,
5:23.0,,,92-64,2,T. Douglas makes 2-pt shot from 2 ft
5:00.0,A. Brooks misses 2-pt shot from 2 ft (block by J. Withey),,92-64,,
5:00.0,Offensive rebound by Team,,92-64,,
4:56.0,N. Mirotic makes 2-pt shot from 2 ft,2,94-64,,
4:34.0,,,94-66,2,J. Fredette makes 2-pt shot from 14 ft (assist by L. Babbitt)
4:13.0,Turnover by E. Moore (lost ball),,94-66,,
4:13.0,D. McDermott enters the game for T. Snell,,94-66,,
3:51.0,,,94-66,,T. Douglas misses 3-pt shot from 26 ft
3:50.0,,,94-66,,Offensive rebound by J. Withey
3:47.0,,,94-68,2,J. Withey makes 2-pt shot from 3 ft
3:39.0,A. Brooks misses 3-pt shot from 23 ft,,94-68,,
3:38.0,,,94-68,,Defensive rebound by A. Ajinca
3:31.0,,,94-68,,J. Fredette misses 2-pt shot from 1 ft
3:29.0,Defensive rebound by A. Brooks,,94-68,,
3:24.0,D. McDermott makes 2-pt shot from 1 ft (assist by N. Mirotic),2,96-68,,
3:01.0,,,96-68,,J. Fredette misses 3-pt shot from 25 ft
2:59.0,Defensive rebound by N. Mirotic,,96-68,,
2:53.0,N. Mirotic makes 2-pt shot from 2 ft,2,98-68,,
2:40.0,,,98-68,,Shooting foul by C. Bairstow (drawn by J. Withey)
2:40.0,Chicago full timeout,,98-68,,
2:40.0,,,98-68,,J. Withey misses free throw 1 of 2
2:40.0,,,98-68,,Offensive rebound by Team
2:40.0,,,98-69,1,J. Withey makes free throw 2 of 2
2:28.0,E. Moore makes 2-pt shot at rim (assist by N. Mirotic),2,100-69,,
2:07.0,,,100-69,,A. Ajinca misses 2-pt shot from 7 ft
2:05.0,Defensive rebound by Team,,100-69,,
1:52.0,E. Moore misses 2-pt shot from 1 ft,,100-69,,
1:50.0,,,100-69,,Defensive rebound by L. Babbitt
1:27.0,,,100-69,,J. Fredette misses 3-pt shot from 24 ft
1:26.0,Defensive rebound by Team,,100-69,,
1:26.0,,,100-69,,Loose ball foul by A. Ajinca (drawn by E. Moore)
1:11.0,C. Bairstow misses 2-pt shot from 16 ft,,100-69,,
1:09.0,Offensive rebound by Team,,100-69,,
1:00.0,D. McDermott makes 3-pt shot from 25 ft (assist by N. Mirotic),3,103-69,,
0:48.0,,,103-69,,Turnover by T. Douglas (bad pass; steal by E. Moore)
0:37.0,D. McDermott makes 2-pt shot from 1 ft,2,105-69,,
0:27.0,,,105-72,3,L. Babbitt makes 3-pt shot from 23 ft (assist by T. Douglas)
0:24.0,,,105-72,,Personal take foul by L. Babbitt (drawn by D. McDermott)
0:24.0,D. McDermott makes free throw 1 of 2,1,106-72,,
0:24.0,D. McDermott makes free throw 2 of 2,1,107-72,,
0:05.0,,,107-72,,T. Douglas misses 2-pt shot from 16 ft
0:04.0,Defensive rebound by E. Moore,,107-72,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
