time,Dallas,pts.away,score,pts.home,New Orleans
10:28.0,D. Nowitzki makes 2-pt shot from 14 ft (assist by D. Harris),2,39-28,,
10:04.0,,,39-28,,Shooting foul by D. Nowitzki (drawn by O. Asik)
10:04.0,,,39-28,,O. Asik misses free throw 1 of 2
10:04.0,,,39-28,,Offensive rebound by Team
10:04.0,,,39-28,,A. Davis enters the game for J. Fredette
10:04.0,,,39-28,,E. Gordon enters the game for J. Salmons
10:04.0,,,39-29,1,O. Asik makes free throw 2 of 2
9:48.0,D. Nowitzki misses 3-pt shot from 23 ft,,39-29,,
9:47.0,,,39-29,,Defensive rebound by A. Rivers
9:31.0,,,39-29,,A. Rivers misses 3-pt shot from 24 ft
9:30.0,Defensive rebound by B. Wright,,39-29,,
9:17.0,J. Barea misses 2-pt shot from 7 ft,,39-29,,
9:15.0,,,39-29,,Defensive rebound by O. Asik
9:02.0,,,39-31,2,A. Davis makes 2-pt shot at rim (assist by A. Rivers)
8:42.0,,,39-31,,Personal foul by A. Rivers (drawn by B. Wright)
8:42.0,Official timeout,,39-31,,
8:31.0,J. Barea misses 3-pt shot from 27 ft,,39-31,,
8:30.0,,,39-31,,Defensive rebound by A. Davis
8:13.0,,,39-31,,R. Anderson misses 2-pt shot from 2 ft
8:12.0,,,39-31,,Offensive rebound by O. Asik
8:12.0,,,39-31,,O. Asik misses 2-pt shot from 2 ft
8:10.0,Defensive rebound by D. Nowitzki,,39-31,,
8:07.0,J. Barea makes 2-pt shot from 1 ft (assist by D. Nowitzki),2,41-31,,
7:52.0,,,41-33,2,A. Rivers makes 2-pt shot from 4 ft
7:32.0,D. Nowitzki makes 2-pt shot from 17 ft (assist by J. Barea),2,43-33,,
7:18.0,,,43-33,,A. Davis misses 2-pt shot from 15 ft
7:17.0,,,43-33,,Offensive rebound by O. Asik
7:16.0,,,43-35,2,A. Davis makes 2-pt shot at rim (assist by O. Asik)
6:53.0,J. Barea makes 2-pt shot from 11 ft,2,45-35,,
6:37.0,,,45-35,,Shooting foul by B. Wright (drawn by A. Davis)
6:37.0,,,45-35,,A. Davis misses free throw 1 of 2
6:37.0,,,45-35,,Offensive rebound by Team
6:37.0,T. Chandler enters the game for D. Nowitzki,,45-35,,
6:37.0,J. Nelson enters the game for D. Harris,,45-35,,
6:37.0,M. Ellis enters the game for B. Wright,,45-35,,
6:37.0,C. Parsons enters the game for J. Barea,,45-35,,
6:37.0,,,45-35,,T. Evans enters the game for R. Anderson
6:37.0,,,45-35,,J. Holiday enters the game for A. Rivers
6:37.0,,,45-35,,A. Davis misses free throw 2 of 2
6:36.0,,,45-35,,Offensive rebound by A. Davis
6:34.0,,,45-35,,A. Davis misses 2-pt shot at rim
6:34.0,,,45-35,,Offensive rebound by Team
6:34.0,Loose ball foul by T. Chandler (drawn by O. Asik),,45-35,,
6:34.0,Technical foul by T. Chandler (drawn by O. Asik),,45-35,,
6:34.0,,,45-36,1,J. Holiday makes technical free throw
6:34.0,Dallas full timeout,,45-36,,
6:34.0,R. Jefferson enters the game for A. Aminu,,45-36,,
6:19.0,,,45-36,,E. Gordon misses 2-pt shot from 21 ft
6:18.0,Defensive rebound by T. Chandler,,45-36,,
6:00.0,T. Chandler makes 2-pt shot at rim (assist by M. Ellis),2,47-36,,
5:56.0,Personal foul by J. Nelson (drawn by A. Davis),,47-36,,
5:56.0,Violation by Team (delay of game),,47-36,,
5:41.0,,,47-38,2,J. Holiday makes 2-pt shot from 8 ft (assist by T. Evans)
5:31.0,M. Ellis makes 2-pt shot from 14 ft,2,49-38,,
5:31.0,Shooting foul by E. Gordon (drawn by M. Ellis),,49-38,,
5:31.0,M. Ellis makes free throw 1 of 1,1,50-38,,
5:13.0,,,50-38,,Turnover by E. Gordon (lost ball; steal by M. Ellis)
5:13.0,,,50-38,,Personal foul by O. Asik (drawn by M. Ellis)
4:56.0,R. Jefferson misses 2-pt shot from 21 ft,,50-38,,
4:55.0,,,50-38,,Defensive rebound by J. Holiday
4:50.0,,,50-38,,Offensive charge foul by J. Holiday
4:50.0,,,50-38,,Turnover by J. Holiday (offensive foul)
4:45.0,C. Parsons makes 3-pt shot from 25 ft (assist by J. Nelson),3,53-38,,
4:44.0,,,53-38,,New Orleans full timeout
4:44.0,,,53-38,,R. Anderson enters the game for O. Asik
4:25.0,,,53-40,2,R. Anderson makes 2-pt shot from 1 ft (assist by J. Holiday)
4:04.0,C. Parsons misses 2-pt shot from 7 ft,,53-40,,
4:03.0,,,53-40,,Defensive rebound by R. Anderson
3:59.0,,,53-40,,Turnover by E. Gordon (traveling)
3:50.0,R. Jefferson makes 2-pt shot from 19 ft,2,55-40,,
3:28.0,,,55-42,2,A. Davis makes 2-pt shot at rim (assist by J. Holiday)
3:07.0,C. Parsons misses 3-pt shot from 26 ft,,55-42,,
3:05.0,Offensive rebound by R. Jefferson,,55-42,,
3:04.0,R. Jefferson misses 2-pt shot from 3 ft (block by T. Evans),,55-42,,
3:04.0,Offensive rebound by Team,,55-42,,
2:58.0,Turnover by C. Parsons (lost ball),,55-42,,
2:42.0,,,55-42,,Turnover by T. Evans (lost ball; steal by R. Jefferson)
2:36.0,M. Ellis makes 2-pt shot at rim (assist by R. Jefferson),2,57-42,,
2:15.0,,,57-45,3,J. Holiday makes 3-pt shot from 22 ft (assist by T. Evans)
2:08.0,C. Parsons makes 2-pt shot from 1 ft,2,59-45,,
1:54.0,,,59-45,,J. Holiday misses 3-pt shot from 24 ft
1:53.0,,,59-45,,Offensive rebound by A. Davis
1:53.0,Loose ball foul by C. Parsons (drawn by A. Davis),,59-45,,
1:53.0,,,59-46,1,A. Davis makes free throw 1 of 2
1:53.0,D. Nowitzki enters the game for C. Parsons,,59-46,,
1:53.0,B. Wright enters the game for T. Chandler,,59-46,,
1:53.0,,,59-47,1,A. Davis makes free throw 2 of 2
1:35.0,R. Jefferson misses 3-pt shot from 23 ft,,59-47,,
1:34.0,Offensive rebound by M. Ellis,,59-47,,
1:33.0,M. Ellis makes 2-pt shot from 2 ft,2,61-47,,
1:21.0,,,61-49,2,R. Anderson makes 2-pt shot from 9 ft
1:07.0,,,61-49,,Personal foul by J. Holiday (drawn by D. Nowitzki)
0:58.0,M. Ellis misses 2-pt shot from 2 ft,,61-49,,
0:55.0,Offensive rebound by Team,,61-49,,
0:55.0,Jump ball: T. Evans vs. R. Jefferson (M. Ellis gains possession),,,,Jump ball: T. Evans vs. R. Jefferson (M. Ellis gains possession)
0:35.0,J. Nelson makes 3-pt shot from 25 ft,3,64-49,,
0:28.0,,,64-49,,R. Anderson misses 2-pt shot from 9 ft
0:27.0,Defensive rebound by R. Jefferson,,64-49,,
0:05.0,B. Wright makes 2-pt shot at rim (assist by J. Nelson),2,66-49,,
0:01.0,,,66-52,3,T. Evans makes 3-pt shot from 26 ft
0:00.0,Turnover by D. Nowitzki (bad pass; steal by T. Evans),,66-52,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,Turnover by C. Parsons (bad pass; steal by J. Holiday),,66-52,,
11:45.0,,,66-52,,Shooting foul by C. Parsons (drawn by T. Evans)
11:45.0,,,66-53,1,T. Evans makes free throw 1 of 2
11:45.0,,,66-54,1,T. Evans makes free throw 2 of 2
11:33.0,,,66-54,,Def 3 sec tech foul by O. Asik
11:33.0,D. Nowitzki misses technical free throw,,66-54,,
11:33.0,Offensive rebound by Team,,66-54,,
11:27.0,D. Nowitzki misses 3-pt shot from 24 ft,,66-54,,
11:26.0,,,66-54,,Defensive rebound by J. Holiday
11:20.0,,,66-56,2,T. Evans makes 2-pt shot from 1 ft (assist by J. Holiday)
10:57.0,D. Nowitzki makes 2-pt shot from 2 ft,2,68-56,,
10:34.0,,,68-58,2,O. Asik makes 2-pt shot at rim (assist by T. Evans)
10:26.0,Offensive foul by D. Nowitzki,,68-58,,
10:26.0,Turnover by D. Nowitzki (offensive foul),,68-58,,
10:13.0,,,68-58,,A. Davis misses 2-pt shot from 14 ft
10:13.0,,,68-58,,Offensive rebound by Team
10:13.0,Loose ball foul by M. Ellis (drawn by O. Asik),,68-58,,
10:04.0,,,68-58,,Shooting foul by D. Nowitzki (drawn by A. Davis)
10:04.0,,,68-59,1,A. Davis makes free throw 1 of 2
10:04.0,,,68-60,1,A. Davis makes free throw 2 of 2
9:52.0,D. Nowitzki makes 2-pt shot from 14 ft (assist by C. Parsons),2,70-60,,
9:33.0,,,70-60,,Offensive charge foul by A. Davis
9:33.0,,,70-60,,Turnover by A. Davis (offensive foul)
9:20.0,T. Chandler misses 2-pt shot from 1 ft,,70-60,,
9:17.0,Offensive rebound by J. Nelson,,70-60,,
9:16.0,J. Nelson makes 2-pt shot from 2 ft,2,72-60,,
8:59.0,,,72-60,,A. Davis misses 2-pt shot from 19 ft
8:57.0,Defensive rebound by J. Nelson,,72-60,,
8:52.0,Turnover by J. Nelson (bad pass; steal by A. Davis),,72-60,,
8:43.0,,,72-62,2,O. Asik makes 2-pt shot at rim (assist by J. Holiday)
8:22.0,D. Nowitzki misses 2-pt shot from 20 ft,,72-62,,
8:21.0,,,72-62,,Defensive rebound by T. Evans
8:16.0,,,72-62,,T. Evans misses 2-pt shot from 1 ft
8:15.0,,,72-62,,Offensive rebound by Team
8:10.0,,,72-62,,J. Holiday misses 3-pt shot from 25 ft
8:09.0,Defensive rebound by Team,,72-62,,
7:50.0,D. Nowitzki misses 2-pt shot from 22 ft,,72-62,,
7:49.0,,,72-62,,Defensive rebound by A. Davis
7:42.0,,,72-62,,T. Evans misses 3-pt shot from 25 ft
7:41.0,Defensive rebound by C. Parsons,,72-62,,
7:34.0,D. Nowitzki misses 3-pt shot from 25 ft,,72-62,,
7:32.0,,,72-62,,Defensive rebound by E. Gordon
7:24.0,,,72-62,,Shooting foul by D. Nowitzki (drawn by A. Davis)
7:24.0,,,72-63,1,A. Davis makes free throw 1 of 2
7:24.0,D. Harris enters the game for D. Nowitzki,,72-63,,
7:24.0,,,72-64,1,A. Davis makes free throw 2 of 2
7:13.0,Turnover by T. Chandler (bad pass; steal by J. Holiday),,72-64,,
7:08.0,,,72-64,,T. Evans misses 2-pt shot from 1 ft
7:07.0,,,72-64,,Offensive rebound by A. Davis
7:07.0,,,72-64,,A. Davis misses 2-pt shot at rim
7:06.0,,,72-64,,Offensive rebound by A. Davis
7:06.0,,,72-64,,Shooting foul by D. Harris (drawn by A. Davis)
7:06.0,Dallas full timeout,,72-64,,
7:06.0,,,72-65,1,A. Davis makes free throw 1 of 2
7:06.0,,,72-66,1,A. Davis makes free throw 2 of 2
6:44.0,M. Ellis misses 3-pt shot from 24 ft,,72-66,,
6:43.0,,,72-66,,Defensive rebound by T. Evans
6:28.0,,,72-68,2,J. Holiday makes 2-pt shot from 11 ft
6:13.0,J. Nelson misses 3-pt shot from 24 ft,,72-68,,
6:12.0,,,72-68,,Defensive rebound by T. Evans
6:02.0,,,72-70,2,A. Davis makes 2-pt shot from 19 ft (assist by T. Evans)
5:41.0,,,72-70,,Shooting block foul by A. Davis (drawn by T. Chandler)
5:41.0,T. Chandler misses free throw 1 of 2,,72-70,,
5:41.0,Offensive rebound by Team,,72-70,,
5:41.0,T. Chandler misses free throw 2 of 2,,72-70,,
5:40.0,,,72-70,,Defensive rebound by T. Evans
5:24.0,,,72-72,2,A. Davis makes 2-pt shot from 18 ft (assist by E. Gordon)
5:08.0,C. Parsons misses 3-pt shot from 24 ft (block by A. Davis),,72-72,,
5:06.0,,,72-72,,Defensive rebound by T. Evans
4:55.0,,,72-75,3,J. Holiday makes 3-pt shot from 24 ft (assist by T. Evans)
4:54.0,Dallas full timeout,,72-75,,
4:30.0,M. Ellis makes 2-pt shot from 16 ft,2,74-75,,
4:13.0,,,74-75,,Offensive charge foul by T. Evans
4:13.0,,,74-75,,Turnover by T. Evans (offensive foul)
4:13.0,,,74-75,,R. Anderson enters the game for O. Asik
4:13.0,,,74-75,,A. Rivers enters the game for E. Gordon
3:51.0,D. Harris makes 2-pt shot from 2 ft,2,76-75,,
3:30.0,,,76-78,3,T. Evans makes 3-pt shot from 24 ft (assist by R. Anderson)
3:19.0,M. Ellis makes 2-pt shot from 1 ft (assist by D. Harris),2,78-78,,
3:00.0,,,78-81,3,T. Evans makes 3-pt shot from 24 ft (assist by A. Davis)
2:41.0,M. Ellis misses 3-pt shot from 25 ft (block by A. Davis),,78-81,,
2:38.0,,,78-81,,Defensive rebound by A. Rivers
2:29.0,,,78-81,,A. Davis misses 2-pt shot from 17 ft
2:28.0,Defensive rebound by C. Parsons,,78-81,,
2:19.0,C. Parsons makes 2-pt shot from 13 ft,2,80-81,,
1:55.0,,,80-83,2,J. Holiday makes 2-pt shot from 14 ft
1:48.0,Shooting foul by A. Rivers (drawn by M. Ellis),,80-83,,
1:48.0,,,80-83,,New Orleans full timeout
1:48.0,D. Nowitzki enters the game for T. Chandler,,80-83,,
1:48.0,B. Wright enters the game for J. Nelson,,80-83,,
1:48.0,M. Ellis makes free throw 1 of 2,1,81-83,,
1:48.0,M. Ellis makes free throw 2 of 2,1,82-83,,
1:34.0,,,82-85,2,T. Evans makes 2-pt shot from 15 ft
1:12.0,M. Ellis misses 2-pt shot from 2 ft,,82-85,,
1:11.0,Offensive rebound by M. Ellis,,82-85,,
1:07.0,Turnover by D. Nowitzki (bad pass; steal by T. Evans),,82-85,,
1:03.0,,,82-87,2,T. Evans makes 2-pt shot at rim
1:03.0,,,82-87,,Technical foul by T. Evans
1:03.0,D. Nowitzki makes technical free throw,1,83-87,,
1:03.0,,,83-87,,O. Asik enters the game for A. Davis
0:40.0,D. Nowitzki misses 2-pt shot from 9 ft,,83-87,,
0:38.0,,,83-87,,Defensive rebound by J. Holiday
0:19.0,,,83-89,2,T. Evans makes 2-pt shot from 1 ft
0:01.0,D. Harris makes 3-pt shot from 24 ft (assist by M. Ellis),3,86-89,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,,,86-89,,R. Anderson misses 2-pt shot from 3 ft
11:37.0,,,86-89,,Offensive rebound by O. Asik
11:37.0,,,86-89,,O. Asik misses 2-pt shot at rim
11:37.0,Defensive rebound by D. Harris,,86-89,,
11:22.0,D. Nowitzki misses 2-pt shot from 9 ft,,86-89,,
11:20.0,Offensive rebound by B. Wright,,86-89,,
11:16.0,B. Wright makes 2-pt shot from 1 ft,2,88-89,,
11:05.0,,,88-91,2,T. Evans makes 2-pt shot from 4 ft
11:05.0,,,88-91,,Shooting foul by B. Wright (drawn by T. Evans)
11:05.0,,,88-92,1,T. Evans makes free throw 1 of 1
10:48.0,B. Wright makes 2-pt shot from 1 ft (assist by D. Harris),2,90-92,,
10:37.0,,,90-92,,Turnover by T. Evans (bad pass; steal by D. Harris)
10:34.0,Shooting foul by T. Evans (drawn by D. Harris),,90-92,,
10:34.0,D. Harris misses free throw 1 of 2,,90-92,,
10:34.0,Offensive rebound by Team,,90-92,,
10:34.0,,,90-92,,A. Davis enters the game for T. Evans
10:34.0,D. Harris misses free throw 2 of 2,,90-92,,
10:32.0,,,90-92,,Defensive rebound by A. Davis
10:18.0,Personal foul by D. Harris (drawn by E. Gordon),,90-92,,
10:10.0,,,90-94,2,A. Davis makes 2-pt shot from 15 ft (assist by A. Rivers)
9:53.0,J. Barea makes 2-pt shot from 2 ft,2,92-94,,
9:34.0,,,92-94,,R. Anderson misses 2-pt shot from 16 ft
9:33.0,Defensive rebound by D. Nowitzki,,92-94,,
9:15.0,J. Barea misses 2-pt shot from 3 ft,,92-94,,
9:13.0,,,92-94,,Defensive rebound by A. Davis
8:57.0,,,92-94,,Turnover by O. Asik (traveling)
8:57.0,Official timeout,,92-94,,
8:48.0,B. Wright makes 2-pt shot from 6 ft (assist by D. Nowitzki),2,94-94,,
8:34.0,,,94-94,,A. Rivers misses 2-pt shot from 2 ft
8:33.0,Defensive rebound by D. Nowitzki,,94-94,,
8:22.0,D. Nowitzki makes 2-pt shot from 15 ft (assist by D. Harris),2,96-94,,
8:08.0,,,96-94,,Turnover by A. Rivers (lost ball; steal by J. Barea)
8:03.0,B. Wright makes 2-pt shot at rim (assist by D. Harris),2,98-94,,
8:03.0,,,98-94,,New Orleans full timeout
8:03.0,,,98-94,,T. Evans enters the game for E. Gordon
8:03.0,,,98-94,,J. Holiday enters the game for A. Rivers
7:48.0,,,98-96,2,O. Asik makes 2-pt shot from 1 ft (assist by T. Evans)
7:31.0,D. Nowitzki misses 3-pt shot from 23 ft,,98-96,,
7:30.0,,,98-96,,Defensive rebound by R. Anderson
7:09.0,,,98-96,,J. Holiday misses 2-pt shot from 2 ft (block by B. Wright)
7:07.0,Defensive rebound by B. Wright,,98-96,,
7:02.0,A. Aminu misses 2-pt shot from 19 ft,,98-96,,
7:01.0,,,98-96,,Defensive rebound by A. Davis
6:49.0,,,98-96,,Offensive foul by J. Holiday
6:49.0,,,98-96,,Turnover by J. Holiday (offensive foul)
6:49.0,T. Chandler enters the game for B. Wright,,98-96,,
6:49.0,C. Parsons enters the game for D. Nowitzki,,98-96,,
6:49.0,M. Ellis enters the game for A. Aminu,,98-96,,
6:49.0,,,98-96,,E. Gordon enters the game for O. Asik
6:35.0,C. Parsons makes 3-pt shot from 27 ft (assist by J. Barea),3,101-96,,
6:17.0,,,101-98,2,J. Holiday makes 2-pt shot from 2 ft
5:52.0,M. Ellis makes 2-pt shot from 2 ft,2,103-98,,
5:33.0,,,103-98,,T. Evans misses 2-pt shot from 1 ft
5:31.0,Defensive rebound by T. Chandler,,103-98,,
5:29.0,Turnover by C. Parsons (lost ball; steal by R. Anderson),,103-98,,
5:29.0,Personal foul by J. Barea (drawn by J. Holiday),,103-98,,
5:29.0,J. Nelson enters the game for J. Barea,,103-98,,
5:25.0,Personal foul by J. Nelson (drawn by J. Holiday),,103-98,,
5:10.0,,,103-98,,A. Davis misses 2-pt shot from 11 ft
5:09.0,Defensive rebound by M. Ellis,,103-98,,
5:04.0,T. Chandler misses 2-pt shot from 1 ft,,103-98,,
5:02.0,,,103-98,,Defensive rebound by R. Anderson
4:57.0,,,103-98,,E. Gordon misses 3-pt shot from 24 ft
4:55.0,,,103-98,,Offensive rebound by T. Evans
4:51.0,,,103-98,,T. Evans misses 3-pt shot from 22 ft
4:50.0,Defensive rebound by D. Harris,,103-98,,
4:38.0,T. Chandler makes 2-pt shot from 1 ft (assist by D. Harris),2,105-98,,
