time,Miami,pts.away,score,pts.home,Dallas
5:10.0,,,40-34,,C. Parsons misses 2-pt shot from 1 ft
5:07.0,,,40-34,,Offensive rebound by C. Parsons
5:07.0,,,40-34,,C. Parsons misses 2-pt shot from 1 ft
5:06.0,,,40-34,,Offensive rebound by T. Chandler
5:05.0,,,40-34,,Shooting foul by L. Deng (drawn by T. Chandler)
5:05.0,,,40-34,,T. Chandler misses free throw 1 of 2
5:05.0,,,40-34,,Offensive rebound by Team
5:05.0,,,40-35,1,T. Chandler makes free throw 2 of 2
4:52.0,M. Chalmers makes 3-pt shot from 23 ft (assist by D. Wade),3,43-35,,
4:40.0,Personal foul by M. Chalmers (drawn by D. Nowitzki),,43-35,,
4:40.0,,,43-36,1,D. Nowitzki makes free throw 1 of 2
4:40.0,,,43-36,,B. Wright enters the game for T. Chandler
4:40.0,,,43-37,1,D. Nowitzki makes free throw 2 of 2
4:25.0,D. Wade misses 2-pt shot from 13 ft,,43-37,,
4:25.0,Offensive rebound by Team,,43-37,,
4:17.0,D. Wade makes 2-pt shot from 1 ft (assist by J. McRoberts),2,45-37,,
3:58.0,,,45-37,,J. Nelson misses 3-pt shot from 25 ft
3:57.0,Defensive rebound by J. McRoberts,,45-37,,
3:50.0,L. Deng makes 2-pt shot from 1 ft (assist by C. Bosh),2,47-37,,
3:48.0,,,47-37,,Dallas full timeout
3:48.0,,,47-37,,A. Aminu enters the game for C. Parsons
3:32.0,,,47-37,,Turnover by B. Wright (bad pass; steal by C. Bosh)
3:24.0,C. Bosh makes 2-pt shot from 1 ft (assist by D. Wade),2,49-37,,
3:02.0,,,49-37,,Turnover by J. Nelson (back court)
3:01.0,,,49-37,,T. Chandler enters the game for B. Wright
3:01.0,,,49-37,,D. Harris enters the game for J. Nelson
2:48.0,C. Bosh makes 2-pt shot from 17 ft (assist by D. Wade),2,51-37,,
2:30.0,Personal foul by J. McRoberts (drawn by M. Ellis),,51-37,,
2:30.0,,,51-38,1,M. Ellis makes free throw 1 of 2
2:30.0,,,51-38,,M. Ellis misses free throw 2 of 2
2:29.0,,,51-38,,Offensive rebound by T. Chandler
2:09.0,,,51-38,,D. Harris misses 3-pt shot from 26 ft
2:07.0,Defensive rebound by J. McRoberts,,51-38,,
1:55.0,C. Bosh misses 3-pt shot from 23 ft,,51-38,,
1:54.0,,,51-38,,Defensive rebound by M. Ellis
1:41.0,,,51-40,2,D. Nowitzki makes 2-pt shot from 12 ft
1:32.0,Miami full timeout,,51-40,,
1:32.0,S. Williams enters the game for M. Chalmers,,51-40,,
1:32.0,N. Cole enters the game for J. McRoberts,,51-40,,
1:17.0,C. Bosh makes 2-pt shot from 22 ft (assist by D. Wade),2,53-40,,
1:04.0,Personal foul by S. Williams (drawn by M. Ellis),,53-40,,
1:04.0,,,53-41,1,M. Ellis makes free throw 1 of 2
1:04.0,,,53-41,,R. Jefferson enters the game for D. Nowitzki
1:04.0,,,53-42,1,M. Ellis makes free throw 2 of 2
0:51.0,L. Deng makes 2-pt shot from 20 ft (assist by N. Cole),2,55-42,,
0:32.0,,,55-44,2,M. Ellis makes 2-pt shot from 6 ft
0:09.0,N. Cole misses 3-pt shot from 26 ft,,55-44,,
0:07.0,Offensive rebound by C. Bosh,,55-44,,
0:02.0,Turnover by D. Wade (bad pass),,55-44,,
0:02.0,,,55-44,,D. Nowitzki enters the game for R. Jefferson
0:02.0,,,55-44,,C. Parsons enters the game for A. Aminu
0:00.0,,,55-44,,M. Ellis misses 3-pt shot from 43 ft
0:00.0,,,55-44,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,55-46,2,M. Ellis makes 2-pt shot from 22 ft
11:24.0,L. Deng misses 3-pt shot from 25 ft,,55-46,,
11:23.0,Offensive rebound by C. Bosh,,55-46,,
11:06.0,S. Williams makes 3-pt shot from 22 ft (assist by L. Deng),3,58-46,,
10:48.0,Personal foul by D. Wade (drawn by T. Chandler),,58-46,,
10:43.0,,,58-48,2,M. Ellis makes 2-pt shot from 17 ft (assist by T. Chandler)
10:15.0,D. Wade makes 3-pt shot from 24 ft (assist by L. Deng),3,61-48,,
10:04.0,,,61-51,3,M. Ellis makes 3-pt shot from 22 ft (assist by D. Nowitzki)
9:43.0,S. Williams misses 2-pt shot from 4 ft (block by C. Parsons),,61-51,,
9:41.0,,,61-51,,Defensive rebound by J. Nelson
9:34.0,,,61-54,3,M. Ellis makes 3-pt shot from 22 ft (assist by J. Nelson)
9:08.0,S. Williams makes 2-pt shot at rim (assist by C. Bosh),2,63-54,,
8:55.0,,,63-54,,D. Nowitzki misses 2-pt shot from 16 ft
8:54.0,Defensive rebound by N. Cole,,63-54,,
8:51.0,Offensive charge foul by N. Cole,,63-54,,
8:51.0,Turnover by N. Cole (offensive foul),,63-54,,
8:44.0,Personal foul by S. Williams (drawn by D. Nowitzki),,63-54,,
8:33.0,,,63-54,,M. Ellis misses 2-pt shot from 7 ft
8:32.0,,,63-54,,Offensive rebound by T. Chandler
8:32.0,,,63-54,,T. Chandler misses 2-pt shot at rim
8:31.0,,,63-54,,Offensive rebound by T. Chandler
8:31.0,,,63-56,2,T. Chandler makes 2-pt shot at rim
8:13.0,D. Wade misses 2-pt shot from 21 ft,,63-56,,
8:12.0,,,63-56,,Defensive rebound by D. Nowitzki
8:01.0,,,63-56,,Shooting foul by S. Williams (drawn by D. Nowitzki)
8:01.0,,,63-56,,D. Nowitzki misses free throw 1 of 2
8:01.0,,,63-56,,Offensive rebound by Team
8:01.0,,,63-57,1,D. Nowitzki makes free throw 2 of 2
7:49.0,Turnover by N. Cole (bad pass),,63-57,,
7:42.0,,,63-59,2,T. Chandler makes 2-pt shot at rim (assist by J. Nelson)
7:41.0,Miami full timeout,,63-59,,
7:41.0,M. Chalmers enters the game for N. Cole,,63-59,,
7:24.0,L. Deng makes 2-pt shot from 21 ft (assist by C. Bosh),2,65-59,,
7:09.0,,,65-59,,Turnover by D. Nowitzki (traveling)
6:54.0,,,65-59,,Personal foul by M. Ellis (drawn by D. Wade)
6:54.0,U. Haslem enters the game for C. Bosh,,65-59,,
6:44.0,D. Wade misses 2-pt shot from 16 ft,,65-59,,
6:43.0,,,65-59,,Defensive rebound by T. Chandler
6:34.0,,,65-59,,Offensive foul by J. Nelson
6:34.0,,,65-59,,Turnover by J. Nelson (offensive foul)
6:20.0,,,65-59,,Violation by D. Nowitzki (kicked ball)
6:05.0,M. Chalmers makes 3-pt shot from 22 ft (assist by D. Wade),3,68-59,,
5:51.0,,,68-59,,C. Parsons misses 3-pt shot from 25 ft
5:50.0,Defensive rebound by S. Williams,,68-59,,
5:32.0,D. Wade makes 2-pt shot from 1 ft,2,70-59,,
5:32.0,,,70-59,,Dallas full timeout
5:32.0,,,70-59,,R. Jefferson enters the game for C. Parsons
5:32.0,J. McRoberts enters the game for S. Williams,,70-59,,
5:32.0,Violation by Team (delay of game),,70-59,,
5:23.0,,,70-59,,D. Nowitzki misses 2-pt shot from 15 ft
5:22.0,Defensive rebound by D. Wade,,70-59,,
5:07.0,L. Deng makes 2-pt shot from 6 ft,2,72-59,,
4:50.0,,,72-59,,D. Nowitzki misses 2-pt shot from 16 ft
4:49.0,Defensive rebound by L. Deng,,72-59,,
4:25.0,D. Wade misses 2-pt shot from 21 ft,,72-59,,
4:24.0,,,72-59,,Defensive rebound by D. Nowitzki
4:16.0,,,72-59,,J. Nelson misses 3-pt shot from 24 ft
4:15.0,,,72-59,,Offensive rebound by R. Jefferson
4:00.0,,,72-61,2,M. Ellis makes 2-pt shot from 1 ft
3:34.0,L. Deng makes 3-pt shot from 24 ft (assist by D. Wade),3,75-61,,
3:25.0,,,75-64,3,J. Nelson makes 3-pt shot from 24 ft
3:25.0,Away from play foul by M. Chalmers (drawn by T. Chandler),,75-64,,
3:25.0,,,75-64,,Technical foul by T. Chandler
3:25.0,M. Chalmers makes technical free throw,1,76-64,,
3:25.0,C. Bosh enters the game for D. Wade,,76-64,,
3:25.0,S. Napier enters the game for U. Haslem,,76-64,,
3:25.0,,,76-64,,D. Harris enters the game for D. Nowitzki
3:25.0,,,76-64,,A. Aminu enters the game for J. Nelson
3:25.0,,,76-65,1,T. Chandler makes free throw 1 of 1
3:04.0,,,76-65,,B. Wright enters the game for T. Chandler
3:00.0,Turnover by Team (shot clock),,76-65,,
2:46.0,,,76-65,,R. Jefferson misses 3-pt shot from 22 ft
2:46.0,Defensive rebound by M. Chalmers,,76-65,,
2:28.0,L. Deng misses 2-pt shot from 4 ft,,76-65,,
2:27.0,Offensive rebound by Team,,76-65,,
2:16.0,M. Chalmers misses 2-pt shot from 2 ft,,76-65,,
2:15.0,,,76-65,,Defensive rebound by R. Jefferson
2:04.0,,,76-65,,R. Jefferson misses 2-pt shot from 1 ft (block by J. McRoberts)
2:02.0,Defensive rebound by S. Napier,,76-65,,
1:53.0,Shooting foul by R. Jefferson (drawn by C. Bosh),,76-65,,
1:53.0,C. Bosh makes free throw 1 of 2,1,77-65,,
1:53.0,C. Bosh misses free throw 2 of 2,,77-65,,
1:52.0,,,77-65,,Defensive rebound by R. Jefferson
1:35.0,,,77-65,,A. Aminu misses 3-pt shot from 24 ft
1:33.0,Defensive rebound by L. Deng,,77-65,,
1:19.0,Shooting foul by B. Wright (drawn by C. Bosh),,77-65,,
1:19.0,C. Bosh makes free throw 1 of 2,1,78-65,,
1:19.0,C. Bosh makes free throw 2 of 2,1,79-65,,
1:08.0,,,79-65,,Shooting foul by J. McRoberts (drawn by B. Wright)
1:08.0,,,79-65,,B. Wright misses free throw 1 of 2
1:08.0,,,79-65,,Offensive rebound by Team
1:08.0,,,79-65,,B. Wright misses free throw 2 of 2
1:08.0,Defensive rebound by J. McRoberts,,79-65,,
0:45.0,Turnover by C. Bosh (lost ball; steal by R. Jefferson),,79-65,,
0:40.0,,,79-65,,D. Harris misses 3-pt shot from 24 ft
0:38.0,Offensive rebound by S. Napier,,79-65,,
0:38.0,L. Deng misses 3-pt shot from 1 ft (block by D. Harris),,79-65,,
0:38.0,Defensive rebound by S. Napier,,79-65,,
0:34.0,S. Napier misses 2-pt shot at rim (block by A. Aminu),,79-65,,
0:33.0,Offensive rebound by J. McRoberts,,79-65,,
0:33.0,J. McRoberts makes 2-pt shot at rim,2,81-65,,
0:21.0,,,81-67,2,M. Ellis makes 2-pt shot from 2 ft
0:05.0,,,81-67,,Personal foul by M. Ellis (drawn by M. Chalmers)
0:05.0,M. Chalmers makes free throw 1 of 2,1,82-67,,
0:05.0,,,82-67,,J. Crowder enters the game for M. Ellis
0:05.0,U. Haslem enters the game for C. Bosh,,82-67,,
0:05.0,,,82-67,,C. Villanueva enters the game for A. Aminu
0:05.0,M. Chalmers makes free throw 2 of 2,1,83-67,,
0:00.0,,,83-67,,C. Villanueva misses 2-pt shot from 13 ft
0:00.0,,,83-67,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,L. Deng makes 2-pt shot at rim (assist by J. McRoberts),2,85-67,,
11:20.0,,,85-67,,J. Barea misses 2-pt shot from 7 ft
11:19.0,,,85-67,,Offensive rebound by T. Chandler
11:19.0,,,85-67,,T. Chandler misses 2-pt shot at rim
11:18.0,Defensive rebound by C. Bosh,,85-67,,
11:01.0,L. Deng makes 3-pt shot from 22 ft (assist by M. Chalmers),3,88-67,,
10:54.0,,,88-67,,Dallas full timeout
10:48.0,Personal foul by J. McRoberts (drawn by D. Nowitzki),,88-67,,
10:45.0,Personal foul by J. McRoberts (drawn by J. Barea),,88-67,,
10:36.0,,,88-70,3,J. Crowder makes 3-pt shot from 22 ft (assist by J. Barea)
10:07.0,S. Napier misses 3-pt shot from 24 ft,,88-70,,
10:06.0,,,88-70,,Defensive rebound by D. Nowitzki
9:51.0,,,88-70,,D. Nowitzki misses 2-pt shot from 6 ft
9:50.0,Defensive rebound by J. McRoberts,,88-70,,
9:44.0,,,88-70,,Technical foul by D. Nowitzki
9:44.0,C. Bosh misses technical free throw,,88-70,,
9:44.0,Offensive rebound by Team,,88-70,,
9:44.0,D. Wade enters the game for L. Deng,,88-70,,
9:30.0,Turnover by M. Chalmers (lost ball; steal by D. Harris),,88-70,,
9:30.0,Personal foul by M. Chalmers (drawn by J. Crowder),,88-70,,
9:23.0,,,88-70,,Turnover by T. Chandler (traveling)
9:07.0,J. McRoberts misses 2-pt shot from 2 ft (block by T. Chandler),,88-70,,
9:05.0,,,88-70,,Defensive rebound by D. Harris
9:02.0,,,88-70,,J. Barea misses 2-pt shot from 3 ft (block by S. Napier)
9:02.0,,,88-70,,Offensive rebound by Team
8:58.0,Personal foul by J. McRoberts (drawn by J. Crowder),,88-70,,
8:58.0,U. Haslem enters the game for J. McRoberts,,88-70,,
8:46.0,,,88-70,,J. Barea misses 3-pt shot from 24 ft
8:45.0,,,88-70,,Offensive rebound by T. Chandler
8:42.0,,,88-72,2,J. Crowder makes 2-pt shot from 21 ft (assist by T. Chandler)
8:41.0,Miami full timeout,,88-72,,
8:22.0,D. Wade misses 2-pt shot at rim,,88-72,,
8:21.0,Offensive rebound by U. Haslem,,88-72,,
8:21.0,U. Haslem makes 2-pt shot at rim,2,90-72,,
8:08.0,,,90-72,,Turnover by T. Chandler (bad pass; steal by M. Chalmers)
8:04.0,M. Chalmers makes 2-pt shot at rim,2,92-72,,
7:52.0,,,92-72,,J. Barea misses 2-pt shot from 16 ft
7:51.0,Defensive rebound by U. Haslem,,92-72,,
7:41.0,D. Wade makes 2-pt shot at rim,2,94-72,,
7:40.0,,,94-72,,Dallas full timeout
7:40.0,,,94-72,,M. Ellis enters the game for D. Nowitzki
7:40.0,,,94-72,,J. Nelson enters the game for D. Harris
7:40.0,,,94-72,,C. Parsons enters the game for J. Barea
7:40.0,S. Williams enters the game for C. Bosh,,94-72,,
7:30.0,,,94-74,2,T. Chandler makes 2-pt shot from 17 ft (assist by C. Parsons)
7:02.0,Shooting foul by M. Ellis (drawn by U. Haslem),,94-74,,
7:02.0,U. Haslem makes free throw 1 of 2,1,95-74,,
7:02.0,,,95-74,,B. Wright enters the game for T. Chandler
7:02.0,U. Haslem makes free throw 2 of 2,1,96-74,,
6:41.0,,,96-76,2,B. Wright makes 2-pt shot from 9 ft (assist by J. Nelson)
6:16.0,S. Napier misses 3-pt shot from 25 ft,,96-76,,
6:15.0,,,96-76,,Defensive rebound by C. Parsons
6:06.0,,,96-76,,Turnover by C. Parsons (bad pass; steal by M. Chalmers)
6:02.0,D. Wade makes 2-pt shot from 5 ft (assist by M. Chalmers),2,98-76,,
5:46.0,,,98-79,3,J. Crowder makes 3-pt shot from 25 ft (assist by J. Nelson)
5:23.0,Turnover by D. Wade (bad pass; steal by C. Parsons),,98-79,,
5:15.0,,,98-79,,J. Nelson misses 3-pt shot from 26 ft
5:13.0,,,98-79,,Offensive rebound by M. Ellis
5:11.0,,,98-81,2,B. Wright makes 2-pt shot from 2 ft (assist by M. Ellis)
5:02.0,Miami full timeout,,98-81,,
5:02.0,C. Bosh enters the game for S. Williams,,98-81,,
4:46.0,Shooting foul by C. Parsons (drawn by C. Bosh),,98-81,,
4:46.0,C. Bosh misses free throw 1 of 2,,98-81,,
4:46.0,Offensive rebound by Team,,98-81,,
4:46.0,L. Deng enters the game for U. Haslem,,98-81,,
4:46.0,C. Bosh misses free throw 2 of 2,,98-81,,
4:45.0,,,98-81,,Defensive rebound by B. Wright
4:30.0,,,98-81,,J. Crowder misses 2-pt shot from 13 ft
4:28.0,,,98-81,,Offensive rebound by J. Crowder
4:28.0,,,98-83,2,J. Crowder makes 2-pt shot from 1 ft
4:05.0,M. Chalmers misses 3-pt shot from 23 ft,,98-83,,
4:04.0,,,98-83,,Defensive rebound by C. Parsons
3:54.0,,,98-83,,C. Parsons misses 2-pt shot at rim
3:52.0,Defensive rebound by L. Deng,,98-83,,
3:31.0,L. Deng makes 3-pt shot from 25 ft (assist by S. Napier),3,101-83,,
3:20.0,,,101-85,2,J. Nelson makes 2-pt shot from 1 ft
3:02.0,Shooting foul by J. Crowder (drawn by L. Deng),,101-85,,
3:02.0,L. Deng misses free throw 1 of 2,,101-85,,
3:02.0,Offensive rebound by Team,,101-85,,
3:02.0,L. Deng misses free throw 2 of 2,,101-85,,
