time,New York,pts.away,score,pts.home,Milwaukee
3:40.0,A. Stoudemire makes free throw 1 of 2,1,65-85,,
3:40.0,A. Stoudemire makes free throw 2 of 2,1,66-85,,
3:25.0,,,66-85,,O. Mayo misses 2-pt shot from 17 ft (block by J. Smith)
3:22.0,,,66-85,,Offensive rebound by G. Antetokounmpo
3:22.0,,,66-85,,Shooting foul by C. Anthony (drawn by G. Antetokounmpo)
3:22.0,,,66-86,1,G. Antetokounmpo makes free throw 1 of 2
3:22.0,,,66-87,1,G. Antetokounmpo makes free throw 2 of 2
3:13.0,Shooting foul by O. Mayo (drawn by T. Hardaway),,66-87,,
3:13.0,T. Hardaway makes free throw 1 of 2,1,67-87,,
3:13.0,T. Hardaway makes free throw 2 of 2,1,68-87,,
2:57.0,,,68-89,2,J. Henson makes 2-pt shot from 1 ft (assist by O. Mayo)
2:49.0,,,68-89,,Personal foul by J. Henson (drawn by A. Stoudemire)
2:49.0,New York full timeout,,68-89,,
2:49.0,I. Shumpert enters the game for J. Smith,,68-89,,
2:49.0,,,68-89,,J. Dudley enters the game for K. Middleton
2:49.0,A. Stoudemire misses free throw 1 of 2,,68-89,,
2:49.0,Offensive rebound by Team,,68-89,,
2:49.0,A. Stoudemire misses free throw 2 of 2,,68-89,,
2:48.0,Offensive rebound by C. Anthony,,68-89,,
2:48.0,,,68-89,,Loose ball foul by J. Henson (drawn by A. Stoudemire)
2:48.0,C. Anthony makes free throw 1 of 2,1,69-89,,
2:48.0,,,69-89,,Z. Pachulia enters the game for J. Henson
2:48.0,C. Anthony misses free throw 2 of 2,,69-89,,
2:47.0,,,69-89,,Defensive rebound by Z. Pachulia
2:35.0,,,69-89,,Turnover by O. Mayo (bad pass; steal by A. Stoudemire)
2:32.0,Shooting foul by O. Mayo (drawn by T. Hardaway),,69-89,,
2:32.0,T. Hardaway makes free throw 1 of 2,1,70-89,,
2:32.0,T. Hardaway misses free throw 2 of 2,,70-89,,
2:32.0,,,70-89,,Defensive rebound by Team
2:32.0,Loose ball foul by C. Anthony (drawn by G. Antetokounmpo),,70-89,,
2:32.0,,,70-90,1,G. Antetokounmpo makes free throw 1 of 2
2:32.0,,,70-91,1,G. Antetokounmpo makes free throw 2 of 2
2:18.0,C. Anthony misses 2-pt shot from 18 ft,,70-91,,
2:15.0,Offensive rebound by I. Shumpert,,70-91,,
2:11.0,P. Prigioni makes 3-pt shot from 25 ft (assist by I. Shumpert),3,73-91,,
1:58.0,,,73-91,,B. Knight misses 3-pt shot from 26 ft
1:57.0,Defensive rebound by P. Prigioni,,73-91,,
1:42.0,Turnover by A. Stoudemire (lost ball; steal by Z. Pachulia),,73-91,,
1:36.0,,,73-93,2,G. Antetokounmpo makes 2-pt shot at rim (assist by O. Mayo)
1:21.0,T. Hardaway makes 3-pt shot from 23 ft (assist by A. Stoudemire),3,76-93,,
1:01.0,,,76-95,2,B. Knight makes 2-pt shot at rim (assist by Z. Pachulia)
0:56.0,A. Stoudemire makes 2-pt shot at rim (assist by T. Hardaway),2,78-95,,
0:41.0,,,78-95,,Turnover by B. Knight (bad pass; steal by P. Prigioni)
0:33.0,Turnover by T. Hardaway (lost ball; steal by O. Mayo),,78-95,,
0:29.0,,,78-95,,Offensive charge foul by B. Knight
0:29.0,,,78-95,,Turnover by B. Knight (offensive foul)
0:29.0,T. Wear enters the game for C. Anthony,,78-95,,
0:29.0,,,78-95,,J. Bayless enters the game for B. Knight
0:29.0,,,78-95,,E. Ilyasova enters the game for G. Antetokounmpo
0:12.0,A. Stoudemire makes 2-pt shot at rim (assist by P. Prigioni),2,80-95,,
0:01.0,,,80-95,,J. Dudley misses 2-pt shot from 16 ft
0:00.0,,,80-95,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:50.0,Turnover by P. Prigioni (bad pass; steal by J. Bayless),,80-95,,
11:34.0,,,80-97,2,E. Ilyasova makes 2-pt shot at rim (assist by O. Mayo)
11:15.0,T. Hardaway misses 3-pt shot from 23 ft,,80-97,,
11:14.0,,,80-97,,Defensive rebound by Z. Pachulia
10:52.0,,,80-99,2,Z. Pachulia makes 2-pt shot at rim
10:41.0,Turnover by P. Prigioni (bad pass),,80-99,,
10:23.0,,,80-102,3,E. Ilyasova makes 3-pt shot from 24 ft (assist by Z. Pachulia)
10:10.0,,,80-102,,Personal foul by J. Dudley (drawn by T. Wear)
10:10.0,S. Larkin enters the game for P. Prigioni,,80-102,,
10:04.0,T. Wear misses 2-pt shot from 17 ft,,80-102,,
10:01.0,Offensive rebound by A. Stoudemire,,80-102,,
9:59.0,A. Stoudemire makes 2-pt shot at rim,2,82-102,,
9:39.0,Personal foul by T. Wear (drawn by E. Ilyasova),,82-102,,
9:35.0,,,82-102,,Turnover by Z. Pachulia (bad pass)
9:11.0,S. Larkin misses 2-pt shot from 6 ft,,82-102,,
9:09.0,Offensive rebound by A. Stoudemire,,82-102,,
9:09.0,A. Stoudemire makes 2-pt shot at rim,2,84-102,,
8:56.0,,,84-102,,J. Bayless misses 3-pt shot from 22 ft
8:55.0,Defensive rebound by T. Hardaway,,84-102,,
8:47.0,,,84-102,,Personal foul by O. Mayo (drawn by I. Shumpert)
8:47.0,Official timeout,,84-102,,
8:47.0,C. Anthony enters the game for T. Wear,,84-102,,
8:34.0,C. Anthony makes 3-pt shot from 25 ft (assist by I. Shumpert),3,87-102,,
8:19.0,,,87-102,,Shooting foul by C. Anthony (drawn by E. Ilyasova)
8:19.0,,,87-102,,E. Ilyasova misses free throw 1 of 2
8:19.0,,,87-102,,Offensive rebound by Team
8:19.0,,,87-103,1,E. Ilyasova makes free throw 2 of 2
8:10.0,,,87-103,,Personal foul by E. Ilyasova (drawn by C. Anthony)
8:10.0,,,87-103,,K. Middleton enters the game for J. Dudley
7:59.0,C. Anthony misses 2-pt shot from 16 ft,,87-103,,
7:57.0,Offensive rebound by I. Shumpert,,87-103,,
7:53.0,C. Anthony misses 3-pt shot from 24 ft,,87-103,,
7:52.0,Offensive rebound by I. Shumpert,,87-103,,
7:42.0,T. Hardaway makes 3-pt shot from 25 ft (assist by A. Stoudemire),3,90-103,,
7:26.0,,,90-103,,Turnover by K. Middleton (lost ball; steal by I. Shumpert)
7:18.0,,,90-103,,Shooting block foul by Z. Pachulia (drawn by A. Stoudemire)
7:18.0,A. Stoudemire makes free throw 1 of 2,1,91-103,,
7:18.0,A. Stoudemire makes free throw 2 of 2,1,92-103,,
7:08.0,,,92-106,3,E. Ilyasova makes 3-pt shot from 24 ft (assist by J. Bayless)
6:54.0,C. Anthony makes 2-pt shot from 19 ft,2,94-106,,
6:30.0,,,94-108,2,J. Bayless makes 2-pt shot from 18 ft (assist by Z. Pachulia)
6:05.0,C. Anthony makes 2-pt shot from 14 ft (assist by I. Shumpert),2,96-108,,
5:44.0,,,96-108,,Turnover by J. Bayless (bad pass; steal by I. Shumpert)
5:34.0,I. Shumpert misses 3-pt shot from 23 ft,,96-108,,
5:33.0,,,96-108,,Defensive rebound by K. Middleton
5:28.0,,,96-108,,Milwaukee full timeout
5:28.0,J. Smith enters the game for S. Larkin,,96-108,,
5:28.0,,,96-108,,G. Antetokounmpo enters the game for O. Mayo
5:28.0,,,96-108,,B. Knight enters the game for J. Bayless
5:09.0,,,96-108,,B. Knight misses 2-pt shot at rim
5:09.0,Defensive rebound by Team,,96-108,,
4:45.0,J. Smith misses 2-pt shot from 15 ft,,96-108,,
4:43.0,,,96-108,,Defensive rebound by Z. Pachulia
4:38.0,,,96-108,,K. Middleton misses 3-pt shot from 23 ft
4:37.0,,,96-108,,Offensive rebound by E. Ilyasova
4:27.0,Personal foul by J. Smith (drawn by E. Ilyasova),,96-108,,
4:27.0,,,96-108,,J. Parker enters the game for E. Ilyasova
4:11.0,,,96-108,,Z. Pachulia misses 2-pt shot from 4 ft
4:10.0,Defensive rebound by C. Anthony,,96-108,,
3:59.0,T. Hardaway misses 3-pt shot from 22 ft,,96-108,,
3:57.0,,,96-108,,Defensive rebound by Z. Pachulia
3:39.0,,,96-108,,Turnover by Z. Pachulia (bad pass; steal by A. Stoudemire)
3:35.0,T. Hardaway makes 2-pt shot at rim,2,98-108,,
3:19.0,,,98-108,,K. Middleton misses 2-pt shot from 16 ft
3:18.0,Defensive rebound by I. Shumpert,,98-108,,
3:05.0,C. Anthony makes 2-pt shot from 16 ft,2,100-108,,
2:43.0,,,100-108,,Turnover by B. Knight (lost ball; steal by J. Smith)
