time,Dallas,pts.away,score,pts.home,Miami
8:19.0,R. Jefferson misses 3-pt shot from 23 ft,,2-7,,
8:18.0,,,2-7,,Defensive rebound by H. Whiteside
8:03.0,,,2-7,,C. Bosh misses 2-pt shot from 17 ft
8:02.0,,,2-7,,Offensive rebound by H. Whiteside
8:02.0,,,2-7,,H. Whiteside misses 2-pt shot at rim
8:01.0,,,2-7,,Offensive rebound by H. Whiteside
8:01.0,,,2-7,,Shooting foul by T. Chandler (drawn by H. Whiteside)
8:01.0,,,2-7,,H. Whiteside misses free throw 1 of 2
8:01.0,,,2-7,,Offensive rebound by Team
8:01.0,,,2-8,1,H. Whiteside makes free throw 2 of 2
7:50.0,D. Nowitzki makes 2-pt shot from 15 ft (assist by R. Rondo),2,4-8,,
7:29.0,,,4-11,3,S. Napier makes 3-pt shot from 23 ft (assist by M. Chalmers)
7:08.0,D. Nowitzki misses 2-pt shot from 19 ft,,4-11,,
7:07.0,,,4-11,,Defensive rebound by H. Whiteside
6:56.0,,,4-11,,H. Whiteside misses 2-pt shot from 3 ft
6:54.0,,,4-11,,Offensive rebound by H. Whiteside
6:53.0,,,4-11,,Turnover by H. Whiteside (lost ball)
6:37.0,M. Ellis makes 3-pt shot from 24 ft (assist by D. Nowitzki),3,7-11,,
6:11.0,,,7-11,,S. Napier misses 2-pt shot from 16 ft
6:10.0,Defensive rebound by R. Jefferson,,7-11,,
6:10.0,,,7-11,,Personal foul by S. Napier (drawn by R. Jefferson)
6:10.0,,,7-11,,N. Cole enters the game for M. Chalmers
6:10.0,A. Aminu enters the game for D. Nowitzki,,7-11,,
6:10.0,D. Harris enters the game for R. Jefferson,,7-11,,
5:56.0,A. Aminu misses 3-pt shot from 23 ft,,7-11,,
5:55.0,,,7-11,,Defensive rebound by H. Whiteside
5:35.0,,,7-11,,C. Bosh misses 2-pt shot from 16 ft
5:34.0,Defensive rebound by A. Aminu,,7-11,,
5:30.0,Shooting foul by S. Napier (drawn by A. Aminu),,7-11,,
5:30.0,,,7-11,,Miami full timeout
5:30.0,,,7-11,,S. Williams enters the game for C. Bosh
5:30.0,,,7-11,,M. Chalmers enters the game for S. Napier
5:30.0,A. Aminu misses free throw 1 of 2,,7-11,,
5:30.0,Offensive rebound by Team,,7-11,,
5:30.0,A. Aminu makes free throw 2 of 2,1,8-11,,
5:06.0,,,8-11,,N. Cole misses 3-pt shot from 23 ft
5:05.0,Defensive rebound by R. Rondo,,8-11,,
4:52.0,D. Harris misses 3-pt shot from 24 ft,,8-11,,
4:51.0,,,8-11,,Defensive rebound by N. Cole
4:41.0,,,8-11,,M. Chalmers misses 3-pt shot from 23 ft
4:39.0,,,8-11,,Offensive rebound by H. Whiteside
4:36.0,,,8-11,,Turnover by H. Whiteside (bad pass; steal by D. Harris)
4:33.0,Turnover by T. Chandler (lost ball; steal by M. Chalmers),,8-11,,
4:30.0,Personal foul by T. Chandler (drawn by M. Chalmers),,8-11,,
4:30.0,G. Smith enters the game for T. Chandler,,8-11,,
4:17.0,,,8-11,,N. Cole misses 2-pt shot from 2 ft (block by G. Smith)
4:16.0,,,8-11,,Offensive rebound by Team
4:16.0,C. Villanueva enters the game for R. Rondo,,8-11,,
4:06.0,,,8-11,,M. Chalmers misses 3-pt shot from 24 ft
4:05.0,Defensive rebound by D. Harris,,8-11,,
4:00.0,Shooting foul by H. Whiteside (drawn by A. Aminu),,8-11,,
4:00.0,A. Aminu makes free throw 1 of 2,1,9-11,,
4:00.0,,,9-11,,C. Andersen enters the game for H. Whiteside
4:00.0,A. Aminu misses free throw 2 of 2,,9-11,,
3:59.0,,,9-11,,Defensive rebound by D. Granger
3:44.0,,,9-13,2,C. Andersen makes 2-pt shot from 1 ft (assist by M. Chalmers)
3:36.0,Dallas full timeout,,9-13,,
3:36.0,,,9-13,,J. Ennis enters the game for D. Granger
3:33.0,,,9-13,,Personal foul by J. Ennis (drawn by A. Aminu)
3:33.0,A. Aminu makes free throw 1 of 2,1,10-13,,
3:33.0,A. Aminu makes free throw 2 of 2,1,11-13,,
3:09.0,,,11-13,,N. Cole misses 2-pt shot from 2 ft
3:08.0,,,11-13,,Offensive rebound by J. Ennis
3:07.0,,,11-15,2,J. Ennis makes 2-pt shot from 1 ft
2:59.0,,,11-15,,Personal foul by M. Chalmers (drawn by M. Ellis)
2:59.0,M. Ellis misses free throw 1 of 2,,11-15,,
2:59.0,Offensive rebound by Team,,11-15,,
2:59.0,M. Ellis makes free throw 2 of 2,1,12-15,,
2:45.0,,,12-15,,S. Williams misses 3-pt shot from 24 ft
2:44.0,,,12-15,,Offensive rebound by M. Chalmers
2:25.0,,,12-15,,S. Williams misses 3-pt shot from 23 ft
2:24.0,Defensive rebound by D. Harris,,12-15,,
2:14.0,Offensive foul by G. Smith,,12-15,,
2:14.0,Turnover by G. Smith (offensive foul),,12-15,,
1:55.0,,,12-15,,S. Williams misses 2-pt shot from 14 ft
1:54.0,Defensive rebound by G. Smith,,12-15,,
1:38.0,,,12-15,,Personal foul by N. Cole (drawn by G. Smith)
1:38.0,G. Smith misses free throw 1 of 2,,12-15,,
1:38.0,Offensive rebound by Team,,12-15,,
1:38.0,D. Nowitzki enters the game for C. Villanueva,,12-15,,
1:38.0,,,12-15,,C. Bosh enters the game for S. Williams
1:38.0,J. Barea enters the game for M. Ellis,,12-15,,
1:38.0,G. Smith makes free throw 2 of 2,1,13-15,,
1:13.0,,,13-15,,N. Cole misses 2-pt shot from 16 ft
1:12.0,Defensive rebound by D. Nowitzki,,13-15,,
1:06.0,J. Barea misses 2-pt shot from 1 ft,,13-15,,
1:05.0,Offensive rebound by A. Aminu,,13-15,,
1:04.0,A. Aminu misses 2-pt shot at rim,,13-15,,
1:03.0,,,13-15,,Defensive rebound by N. Cole
0:59.0,,,13-15,,J. Ennis misses 2-pt shot from 23 ft
0:57.0,Defensive rebound by D. Harris,,13-15,,
0:33.0,J. Barea misses 2-pt shot from 1 ft,,13-15,,
0:32.0,,,13-15,,Defensive rebound by C. Andersen
0:09.0,,,13-15,,N. Cole misses 2-pt shot from 15 ft (block by G. Smith)
0:08.0,,,13-15,,Offensive rebound by Team
0:08.0,,,13-15,,Turnover by Team (shot clock)
0:01.0,D. Harris misses 2-pt shot from 1 ft,,13-15,,
0:00.0,,,13-15,,Defensive rebound by N. Cole
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,,,13-17,2,C. Bosh makes 2-pt shot from 12 ft
11:28.0,,,13-17,,Violation by C. Andersen (kicked ball)
11:21.0,,,13-17,,Personal foul by M. Chalmers (drawn by D. Harris)
11:08.0,G. Smith misses 2-pt shot from 2 ft (block by C. Bosh),,13-17,,
11:07.0,Offensive rebound by Team,,13-17,,
11:07.0,Turnover by Team (shot clock),,13-17,,
11:07.0,,,13-17,,T. Johnson enters the game for M. Chalmers
10:57.0,Def 3 sec tech foul by G. Smith,,13-17,,
10:57.0,,,13-18,1,C. Bosh makes technical free throw
10:49.0,Jump ball: A. Aminu vs. C. Bosh (N. Cole gains possession),,,,Jump ball: A. Aminu vs. C. Bosh (N. Cole gains possession)
10:43.0,,,13-18,,T. Johnson misses 2-pt shot from 4 ft
10:42.0,Defensive rebound by Team,,13-18,,
10:35.0,D. Harris misses 3-pt shot from 25 ft,,13-18,,
10:34.0,,,13-18,,Defensive rebound by C. Bosh
10:23.0,,,13-18,,C. Bosh misses 3-pt shot from 25 ft
10:22.0,Defensive rebound by D. Nowitzki,,13-18,,
10:13.0,J. Barea misses 2-pt shot from 8 ft,,13-18,,
10:12.0,,,13-18,,Defensive rebound by C. Bosh
10:07.0,,,13-20,2,N. Cole makes 2-pt shot from 8 ft
9:50.0,D. Nowitzki misses 2-pt shot from 15 ft,,13-20,,
9:49.0,,,13-20,,Defensive rebound by Team
9:49.0,Loose ball foul by D. Harris (drawn by J. Ennis),,13-20,,
9:35.0,,,13-20,,J. Ennis misses 3-pt shot from 23 ft
9:34.0,,,13-20,,Offensive rebound by C. Bosh
9:31.0,,,13-20,,C. Bosh misses 2-pt shot from 10 ft
9:30.0,,,13-20,,Offensive rebound by C. Andersen
9:26.0,,,13-20,,C. Andersen misses 2-pt shot from 8 ft
9:25.0,Defensive rebound by G. Smith,,13-20,,
9:15.0,A. Aminu makes 2-pt shot at rim,2,15-20,,
8:58.0,,,15-20,,C. Bosh misses 2-pt shot from 3 ft
8:57.0,Defensive rebound by G. Smith,,15-20,,
8:43.0,D. Nowitzki misses 2-pt shot from 17 ft,,15-20,,
8:42.0,,,15-20,,Defensive rebound by N. Cole
8:22.0,,,15-20,,C. Bosh misses 2-pt shot from 17 ft
8:21.0,Defensive rebound by D. Nowitzki,,15-20,,
8:14.0,J. Barea misses 2-pt shot from 2 ft,,15-20,,
8:13.0,,,15-20,,Defensive rebound by C. Bosh
8:08.0,,,15-22,2,J. Ennis makes 2-pt shot at rim (assist by N. Cole)
8:08.0,Dallas full timeout,,15-22,,
8:08.0,R. Rondo enters the game for D. Nowitzki,,15-22,,
8:08.0,R. Jefferson enters the game for A. Aminu,,15-22,,
8:08.0,T. Chandler enters the game for D. Harris,,15-22,,
8:08.0,C. Villanueva enters the game for G. Smith,,15-22,,
8:08.0,M. Ellis enters the game for J. Barea,,15-22,,
7:54.0,Turnover by R. Rondo (bad pass; steal by C. Andersen),,15-22,,
7:35.0,,,15-24,2,C. Bosh makes 2-pt shot from 12 ft (assist by C. Andersen)
7:16.0,C. Villanueva misses 3-pt shot from 23 ft,,15-24,,
7:15.0,,,15-24,,Defensive rebound by C. Bosh
7:03.0,,,15-24,,T. Johnson misses 2-pt shot at rim
7:02.0,Defensive rebound by C. Villanueva,,15-24,,
6:51.0,C. Villanueva makes 3-pt shot from 24 ft (assist by R. Rondo),3,18-24,,
6:33.0,,,18-24,,N. Cole misses 2-pt shot from 20 ft
6:32.0,Defensive rebound by C. Villanueva,,18-24,,
6:27.0,,,18-24,,Shooting block foul by N. Cole (drawn by M. Ellis)
6:27.0,M. Ellis misses free throw 1 of 2,,18-24,,
6:27.0,Offensive rebound by Team,,18-24,,
6:27.0,,,18-24,,H. Whiteside enters the game for C. Andersen
6:27.0,,,18-24,,M. Chalmers enters the game for N. Cole
6:27.0,,,18-24,,S. Williams enters the game for C. Bosh
6:27.0,M. Ellis misses free throw 2 of 2,,18-24,,
6:26.0,,,18-24,,Defensive rebound by H. Whiteside
6:05.0,,,18-24,,Shooting foul by C. Villanueva (drawn by M. Chalmers)
6:05.0,,,18-24,,M. Chalmers misses free throw 1 of 2
6:05.0,,,18-24,,Offensive rebound by Team
6:05.0,,,18-25,1,M. Chalmers makes free throw 2 of 2
5:53.0,M. Ellis makes 2-pt shot from 3 ft,2,20-25,,
5:30.0,,,20-27,2,H. Whiteside makes 2-pt shot from 11 ft (assist by S. Williams)
5:22.0,C. Villanueva makes 3-pt shot from 24 ft (assist by R. Rondo),3,23-27,,
5:06.0,,,23-30,3,S. Williams makes 3-pt shot from 25 ft (assist by M. Chalmers)
4:46.0,C. Villanueva misses 2-pt shot from 2 ft,,23-30,,
4:45.0,Offensive rebound by T. Chandler,,23-30,,
4:42.0,C. Villanueva misses 2-pt shot from 8 ft,,23-30,,
4:41.0,,,23-30,,Defensive rebound by S. Williams
4:26.0,,,23-30,,M. Chalmers misses 2-pt shot from 2 ft
4:25.0,Defensive rebound by T. Chandler,,23-30,,
4:22.0,Turnover by T. Chandler (bad pass; steal by T. Johnson),,23-30,,
4:16.0,,,23-30,,Miami full timeout
4:03.0,,,23-33,3,J. Ennis makes 3-pt shot from 23 ft (assist by T. Johnson)
3:46.0,R. Jefferson makes 2-pt shot from 1 ft,2,25-33,,
3:30.0,,,25-33,,H. Whiteside misses 2-pt shot from 2 ft
3:29.0,,,25-33,,Offensive rebound by H. Whiteside
3:27.0,,,25-35,2,H. Whiteside makes 2-pt shot from 2 ft
3:23.0,Shooting foul by S. Williams (drawn by T. Chandler),,25-35,,
3:23.0,T. Chandler makes free throw 1 of 2,1,26-35,,
3:23.0,,,26-35,,C. Bosh enters the game for S. Williams
3:23.0,D. Nowitzki enters the game for C. Villanueva,,26-35,,
3:23.0,T. Chandler misses free throw 2 of 2,,26-35,,
3:22.0,Offensive rebound by R. Rondo,,26-35,,
3:10.0,R. Rondo makes 2-pt shot from 17 ft,2,28-35,,
2:52.0,,,28-37,2,J. Ennis makes 2-pt shot at rim (assist by M. Chalmers)
2:42.0,M. Ellis makes 2-pt shot from 11 ft,2,30-37,,
2:28.0,,,30-39,2,H. Whiteside makes 2-pt shot at rim (assist by T. Johnson)
2:28.0,,,30-39,,Shooting foul by M. Ellis (drawn by H. Whiteside)
2:28.0,,,30-39,,Miami full timeout
2:28.0,A. Aminu enters the game for R. Jefferson,,30-39,,
2:28.0,,,30-40,1,H. Whiteside makes free throw 1 of 1
2:10.0,M. Ellis misses 2-pt shot from 18 ft,,30-40,,
2:09.0,,,30-40,,Defensive rebound by M. Chalmers
2:01.0,,,30-40,,Turnover by C. Bosh (lost ball)
1:41.0,D. Nowitzki makes 2-pt shot from 19 ft (assist by M. Ellis),2,32-40,,
1:23.0,,,32-42,2,H. Whiteside makes 2-pt shot at rim (assist by T. Johnson)
1:01.0,Shooting foul by C. Bosh (drawn by D. Nowitzki),,32-42,,
1:01.0,D. Nowitzki makes free throw 1 of 2,1,33-42,,
1:01.0,,,33-42,,C. Andersen enters the game for H. Whiteside
1:01.0,,,33-42,,N. Cole enters the game for M. Chalmers
1:01.0,D. Nowitzki misses free throw 2 of 2,,33-42,,
1:00.0,,,33-42,,Defensive rebound by C. Andersen
0:40.0,,,33-45,3,C. Bosh makes 3-pt shot from 25 ft (assist by N. Cole)
0:29.0,D. Nowitzki misses 2-pt shot from 17 ft,,33-45,,
0:28.0,Offensive rebound by T. Chandler,,33-45,,
0:27.0,T. Chandler misses 2-pt shot at rim,,33-45,,
0:22.0,,,33-45,,Defensive rebound by T. Johnson
0:17.0,,,33-45,,J. Ennis misses 3-pt shot from 25 ft
0:16.0,,,33-45,,Offensive rebound by C. Bosh
0:13.0,,,33-45,,Miami full timeout
0:13.0,R. Jefferson enters the game for D. Nowitzki,,33-45,,
0:13.0,,,33-45,,D. Granger enters the game for N. Cole
0:00.0,,,33-45,,T. Johnson misses 2-pt shot from 18 ft
0:00.0,,,33-45,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:56.0,,,33-45,,Turnover by S. Napier (bad pass; steal by M. Ellis)
11:46.0,R. Rondo misses 2-pt shot from 18 ft,,33-45,,
11:45.0,,,33-45,,Defensive rebound by H. Whiteside
11:31.0,,,33-45,,C. Bosh misses 3-pt shot from 25 ft
11:30.0,,,33-45,,Offensive rebound by H. Whiteside
11:26.0,,,33-47,2,H. Whiteside makes 2-pt shot from 5 ft
11:12.0,M. Ellis misses 2-pt shot from 19 ft,,33-47,,
11:11.0,,,33-47,,Defensive rebound by S. Napier
10:57.0,,,33-49,2,C. Bosh makes 2-pt shot from 16 ft
10:39.0,R. Jefferson makes 3-pt shot from 25 ft (assist by M. Ellis),3,36-49,,
10:19.0,,,36-49,,Turnover by C. Bosh (lost ball; steal by M. Ellis)
10:07.0,D. Nowitzki misses 2-pt shot from 18 ft,,36-49,,
10:06.0,,,36-49,,Defensive rebound by S. Napier
9:57.0,,,36-49,,D. Granger misses 3-pt shot from 22 ft
9:56.0,Defensive rebound by R. Jefferson,,36-49,,
9:46.0,D. Nowitzki makes 3-pt shot from 25 ft (assist by M. Ellis),3,39-49,,
9:22.0,,,39-49,,Turnover by C. Bosh (lost ball; steal by R. Rondo)
9:18.0,R. Rondo makes 2-pt shot from 1 ft (assist by R. Jefferson),2,41-49,,
9:18.0,,,41-49,,Miami full timeout
9:00.0,,,41-49,,C. Bosh misses 2-pt shot from 18 ft
8:59.0,Defensive rebound by T. Chandler,,41-49,,
8:44.0,Offensive foul by T. Chandler,,41-49,,
8:44.0,Turnover by T. Chandler (offensive foul),,41-49,,
8:30.0,,,41-52,3,M. Chalmers makes 3-pt shot from 23 ft (assist by S. Napier)
8:11.0,R. Jefferson misses 3-pt shot from 25 ft,,41-52,,
8:10.0,,,41-52,,Defensive rebound by C. Bosh
8:00.0,,,41-52,,Turnover by S. Napier (bad pass; steal by T. Chandler)
7:51.0,Turnover by R. Rondo (bad pass; steal by H. Whiteside),,41-52,,
7:46.0,,,41-52,,M. Chalmers misses 3-pt shot from 23 ft
7:45.0,,,41-52,,Offensive rebound by Team
7:35.0,,,41-54,2,C. Bosh makes 2-pt shot from 8 ft (assist by M. Chalmers)
7:27.0,R. Jefferson makes 2-pt shot at rim (assist by R. Rondo),2,43-54,,
7:10.0,,,43-54,,D. Granger misses 2-pt shot from 1 ft
7:09.0,,,43-54,,Offensive rebound by H. Whiteside
7:08.0,,,43-56,2,H. Whiteside makes 2-pt shot at rim
6:51.0,D. Nowitzki misses 2-pt shot from 14 ft,,43-56,,
6:50.0,,,43-56,,Defensive rebound by C. Bosh
6:42.0,,,43-56,,Turnover by S. Napier (bad pass; steal by R. Rondo)
6:34.0,D. Nowitzki makes 2-pt shot from 15 ft (assist by M. Ellis),2,45-56,,
6:09.0,,,45-56,,M. Chalmers misses 3-pt shot from 23 ft
6:08.0,Defensive rebound by R. Rondo,,45-56,,
5:58.0,T. Chandler makes 2-pt shot at rim (assist by D. Nowitzki),2,47-56,,
5:42.0,,,47-56,,D. Granger misses 2-pt shot from 18 ft
5:41.0,Defensive rebound by T. Chandler,,47-56,,
5:34.0,D. Nowitzki misses 2-pt shot from 18 ft,,47-56,,
5:33.0,,,47-56,,Defensive rebound by H. Whiteside
5:25.0,,,47-56,,M. Chalmers misses 2-pt shot from 2 ft
5:24.0,Defensive rebound by T. Chandler,,47-56,,
5:20.0,Turnover by R. Jefferson (bad pass),,47-56,,
5:20.0,,,47-56,,N. Cole enters the game for S. Napier
5:03.0,,,47-56,,D. Granger misses 3-pt shot from 22 ft
5:02.0,Defensive rebound by R. Rondo,,47-56,,
4:49.0,Shooting foul by H. Whiteside (drawn by D. Nowitzki),,47-56,,
4:49.0,D. Nowitzki makes free throw 1 of 2,1,48-56,,
4:49.0,,,48-56,,J. Ennis enters the game for D. Granger
4:49.0,D. Harris enters the game for R. Rondo,,48-56,,
4:49.0,D. Nowitzki makes free throw 2 of 2,1,49-56,,
4:33.0,,,49-56,,J. Ennis misses 2-pt shot from 1 ft (block by R. Jefferson)
4:32.0,,,49-56,,Offensive rebound by Team
4:32.0,A. Aminu enters the game for D. Nowitzki,,49-56,,
4:25.0,,,49-59,3,J. Ennis makes 3-pt shot from 24 ft (assist by M. Chalmers)
4:05.0,M. Ellis makes 2-pt shot from 19 ft,2,51-59,,
3:41.0,,,51-59,,N. Cole misses 2-pt shot from 18 ft
3:40.0,,,51-59,,Offensive rebound by H. Whiteside
3:36.0,,,51-59,,H. Whiteside misses 2-pt shot at rim
3:35.0,Defensive rebound by T. Chandler,,51-59,,
3:27.0,M. Ellis misses 3-pt shot from 24 ft,,51-59,,
3:26.0,,,51-59,,Defensive rebound by Team
3:12.0,,,51-59,,Shooting foul by M. Ellis (drawn by M. Chalmers)
3:12.0,,,51-60,1,M. Chalmers makes free throw 1 of 2
3:12.0,,,51-60,,C. Andersen enters the game for H. Whiteside
3:12.0,,,51-60,,S. Williams enters the game for C. Bosh
3:12.0,C. Villanueva enters the game for R. Jefferson,,51-60,,
3:12.0,Dallas full timeout,,51-60,,
3:12.0,,,51-60,,M. Chalmers misses free throw 2 of 2
3:11.0,Defensive rebound by M. Ellis,,51-60,,
2:55.0,C. Villanueva makes 3-pt shot from 25 ft (assist by M. Ellis),3,54-60,,
2:31.0,,,54-60,,Turnover by M. Chalmers (bad pass; steal by A. Aminu)
2:18.0,M. Ellis misses 2-pt shot from 18 ft,,54-60,,
2:17.0,,,54-60,,Defensive rebound by M. Chalmers
1:56.0,,,54-60,,Offensive charge foul by M. Chalmers
1:56.0,,,54-60,,Turnover by M. Chalmers (offensive foul)
1:38.0,C. Villanueva misses 2-pt shot from 7 ft,,54-60,,
1:37.0,Offensive rebound by Team,,54-60,,
1:37.0,Jump ball: C. Andersen vs. T. Chandler (D. Harris gains possession),,,,Jump ball: C. Andersen vs. T. Chandler (D. Harris gains possession)
1:26.0,T. Chandler makes 2-pt shot from 1 ft (assist by D. Harris),2,56-60,,
1:12.0,Personal foul by D. Harris (drawn by N. Cole),,56-60,,
1:12.0,,,56-60,,T. Johnson enters the game for M. Chalmers
1:03.0,,,56-60,,N. Cole misses 2-pt shot from 10 ft
1:02.0,Defensive rebound by D. Harris,,56-60,,
0:57.0,,,56-60,,Personal foul by J. Ennis (drawn by M. Ellis)
0:42.0,T. Chandler makes 2-pt shot from 1 ft (assist by M. Ellis),2,58-60,,
0:22.0,,,58-60,,S. Williams misses 3-pt shot from 23 ft
0:21.0,Defensive rebound by T. Chandler,,58-60,,
0:00.0,Shooting foul by N. Cole (drawn by M. Ellis),,58-60,,
0:00.0,M. Ellis makes free throw 1 of 2,1,59-60,,
0:00.0,G. Smith enters the game for T. Chandler,,59-60,,
0:00.0,M. Ellis makes free throw 2 of 2,1,60-60,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,C. Villanueva misses 3-pt shot from 24 ft,,60-60,,
11:45.0,Offensive rebound by A. Aminu,,60-60,,
11:44.0,A. Aminu makes 2-pt shot at rim,2,62-60,,
11:18.0,,,62-60,,N. Cole misses 2-pt shot from 20 ft
11:17.0,Defensive rebound by J. Barea,,62-60,,
11:03.0,D. Harris misses 3-pt shot from 23 ft,,62-60,,
11:02.0,Offensive rebound by C. Villanueva,,62-60,,
10:52.0,D. Harris makes 3-pt shot from 25 ft (assist by A. Aminu),3,65-60,,
10:29.0,,,65-60,,T. Johnson misses 3-pt shot from 25 ft
10:28.0,Defensive rebound by D. Nowitzki,,65-60,,
10:23.0,Turnover by J. Barea (lost ball),,65-60,,
10:23.0,,,65-60,,S. Williams enters the game for C. Andersen
10:14.0,,,65-60,,J. Ennis misses 2-pt shot from 4 ft (block by C. Villanueva)
10:13.0,Defensive rebound by C. Villanueva,,65-60,,
10:08.0,Turnover by C. Villanueva (lost ball; steal by T. Johnson),,65-60,,
10:07.0,,,65-60,,Turnover by T. Johnson (lost ball; steal by A. Aminu)
10:02.0,C. Villanueva makes 2-pt shot at rim (assist by J. Barea),2,67-60,,
10:02.0,,,67-60,,Miami full timeout
10:02.0,,,67-60,,M. Chalmers enters the game for N. Cole
9:45.0,,,67-60,,C. Bosh misses 2-pt shot from 6 ft
9:44.0,Defensive rebound by C. Villanueva,,67-60,,
9:37.0,D. Nowitzki misses 3-pt shot from 25 ft,,67-60,,
9:36.0,,,67-60,,Defensive rebound by J. Ennis
9:28.0,,,67-60,,S. Williams misses 2-pt shot from 19 ft
9:27.0,Defensive rebound by D. Harris,,67-60,,
9:09.0,D. Nowitzki misses 2-pt shot from 15 ft,,67-60,,
9:08.0,Offensive rebound by A. Aminu,,67-60,,
9:06.0,Turnover by A. Aminu (lost ball; steal by T. Johnson),,67-60,,
8:58.0,,,67-60,,C. Bosh misses 3-pt shot from 25 ft
8:57.0,Defensive rebound by J. Barea,,67-60,,
8:52.0,C. Villanueva misses 3-pt shot from 24 ft,,67-60,,
8:51.0,,,67-60,,Defensive rebound by J. Ennis
8:46.0,,,67-60,,Turnover by M. Chalmers (lost ball)
8:34.0,J. Barea misses 2-pt shot from 1 ft (block by T. Johnson),,67-60,,
8:33.0,Offensive rebound by A. Aminu,,67-60,,
8:27.0,C. Villanueva makes 3-pt shot from 23 ft (assist by A. Aminu),3,70-60,,
8:09.0,,,70-60,,M. Chalmers misses 3-pt shot from 24 ft
8:08.0,Defensive rebound by D. Nowitzki,,70-60,,
7:55.0,A. Aminu makes 2-pt shot at rim (assist by D. Nowitzki),2,72-60,,
7:55.0,,,72-60,,Miami full timeout
7:55.0,,,72-60,,H. Whiteside enters the game for S. Williams
7:48.0,Personal foul by J. Barea (drawn by M. Chalmers),,72-60,,
7:35.0,,,72-60,,C. Bosh misses 2-pt shot from 4 ft
7:34.0,Defensive rebound by D. Nowitzki,,72-60,,
7:22.0,J. Barea makes 2-pt shot from 12 ft,2,74-60,,
7:04.0,,,74-62,2,T. Johnson makes 2-pt shot from 8 ft
6:45.0,D. Harris makes 3-pt shot from 23 ft (assist by D. Nowitzki),3,77-62,,
6:29.0,,,77-62,,Shooting foul by A. Aminu (drawn by C. Bosh)
6:29.0,,,77-62,,C. Bosh misses free throw 1 of 2
6:29.0,,,77-62,,Offensive rebound by Team
6:29.0,T. Chandler enters the game for D. Nowitzki,,77-62,,
6:29.0,,,77-62,,C. Bosh misses free throw 2 of 2
6:28.0,,,77-62,,Offensive rebound by J. Ennis
6:26.0,,,77-62,,J. Ennis misses 2-pt shot from 1 ft
6:25.0,Defensive rebound by A. Aminu,,77-62,,
6:03.0,C. Villanueva makes 3-pt shot from 24 ft (assist by D. Harris),3,80-62,,
5:50.0,,,80-62,,C. Bosh misses 2-pt shot from 5 ft
5:49.0,Defensive rebound by T. Chandler,,80-62,,
5:26.0,J. Barea misses 3-pt shot from 25 ft,,80-62,,
5:25.0,Offensive rebound by T. Chandler,,80-62,,
5:21.0,Dallas full timeout,,80-62,,
5:08.0,T. Chandler misses 2-pt shot from 1 ft,,80-62,,
5:07.0,Offensive rebound by T. Chandler,,80-62,,
5:06.0,T. Chandler makes 2-pt shot at rim,2,82-62,,
