time,Miami,pts.away,score,pts.home,Toronto
11:47.0,C. Andersen makes free throw 2 of 2,1,20-21,,
11:38.0,,,20-21,,K. Lowry misses 2-pt shot from 12 ft
11:37.0,Defensive rebound by M. Beasley,,20-21,,
11:31.0,Shooting foul by C. Hayes (drawn by D. Wade),,20-21,,
11:31.0,D. Wade misses free throw 1 of 2,,20-21,,
11:31.0,Offensive rebound by Team,,20-21,,
11:31.0,D. Wade makes free throw 2 of 2,1,21-21,,
11:19.0,,,21-21,,G. Vasquez misses 3-pt shot from 27 ft
11:18.0,Defensive rebound by T. Johnson,,21-21,,
11:12.0,D. Wade misses 2-pt shot from 3 ft,,21-21,,
11:11.0,,,21-21,,Defensive rebound by C. Hayes
10:57.0,,,21-23,2,L. Williams makes 2-pt shot from 10 ft (assist by C. Hayes)
10:38.0,M. Beasley misses 2-pt shot from 12 ft (block by J. Johnson),,21-23,,
10:36.0,,,21-23,,Defensive rebound by K. Lowry
10:32.0,,,21-23,,Turnover by K. Lowry (bad pass; steal by T. Johnson)
10:28.0,Turnover by D. Wade (bad pass; steal by K. Lowry),,21-23,,
10:14.0,,,21-25,2,G. Vasquez makes 2-pt shot from 4 ft (assist by L. Williams)
9:59.0,Turnover by D. Wade (lost ball; steal by C. Hayes),,21-25,,
9:53.0,,,21-25,,G. Vasquez misses 3-pt shot from 25 ft
9:52.0,Defensive rebound by M. Beasley,,21-25,,
9:39.0,M. Beasley makes 2-pt shot at rim (assist by T. Johnson),2,23-25,,
9:13.0,,,23-25,,C. Hayes misses 2-pt shot from 2 ft (block by C. Andersen)
9:10.0,Defensive rebound by D. Wade,,23-25,,
9:00.0,Turnover by M. Beasley (bad pass; steal by K. Lowry),,23-25,,
8:55.0,,,23-27,2,G. Vasquez makes 2-pt shot from 2 ft (assist by J. Johnson)
8:45.0,Miami full timeout,,23-27,,
8:45.0,,,23-27,,A. Johnson enters the game for C. Hayes
8:38.0,T. Johnson misses 3-pt shot from 24 ft,,23-27,,
8:37.0,,,23-27,,Defensive rebound by J. Johnson
8:28.0,,,23-29,2,A. Johnson makes 2-pt shot at rim (assist by K. Lowry)
8:10.0,M. Chalmers makes 2-pt shot from 2 ft (assist by C. Andersen),2,25-29,,
7:56.0,,,25-29,,Turnover by G. Vasquez (lost ball)
7:44.0,M. Beasley misses 2-pt shot from 9 ft,,25-29,,
7:43.0,,,25-29,,Defensive rebound by A. Johnson
7:39.0,,,25-29,,Offensive charge foul by J. Johnson
7:39.0,,,25-29,,Turnover by J. Johnson (offensive foul)
7:39.0,,,25-29,,D. DeRozan enters the game for G. Vasquez
7:23.0,T. Johnson misses 2-pt shot from 1 ft,,25-29,,
7:22.0,Offensive rebound by C. Andersen,,25-29,,
7:20.0,C. Andersen misses 2-pt shot from 1 ft (block by A. Johnson),,25-29,,
7:18.0,,,25-29,,Defensive rebound by J. Johnson
6:59.0,,,25-31,2,D. DeRozan makes 2-pt shot from 15 ft
6:46.0,M. Beasley misses 2-pt shot from 6 ft,,25-31,,
6:45.0,,,25-31,,Defensive rebound by J. Johnson
6:31.0,,,25-34,3,K. Lowry makes 3-pt shot from 25 ft (assist by A. Johnson)
6:08.0,Turnover by M. Chalmers (bad pass; steal by J. Johnson),,25-34,,
6:00.0,,,25-34,,K. Lowry misses 3-pt shot from 23 ft
5:58.0,Defensive rebound by M. Chalmers,,25-34,,
5:49.0,Offensive charge foul by T. Johnson,,25-34,,
5:49.0,Turnover by T. Johnson (offensive foul),,25-34,,
5:49.0,Official timeout,,25-34,,
5:49.0,,,25-34,,P. Patterson enters the game for J. Johnson
5:49.0,H. Walker enters the game for D. Wade,,25-34,,
5:49.0,L. Deng enters the game for M. Beasley,,25-34,,
5:49.0,H. Whiteside enters the game for C. Andersen,,25-34,,
5:49.0,G. Dragic enters the game for T. Johnson,,25-34,,
5:38.0,,,25-37,3,L. Williams makes 3-pt shot from 23 ft (assist by K. Lowry)
5:12.0,L. Deng misses 2-pt shot from 2 ft (block by K. Lowry),,25-37,,
5:11.0,,,25-37,,Defensive rebound by P. Patterson
4:55.0,,,25-37,,Shooting foul by M. Chalmers (drawn by L. Williams)
4:55.0,,,25-37,,L. Williams misses free throw 1 of 2
4:55.0,,,25-37,,Offensive rebound by Team
4:55.0,,,25-38,1,L. Williams makes free throw 2 of 2
4:47.0,H. Walker misses 3-pt shot from 26 ft,,25-38,,
4:46.0,Offensive rebound by H. Whiteside,,25-38,,
4:44.0,H. Whiteside makes 2-pt shot at rim,2,27-38,,
4:27.0,,,27-41,3,L. Williams makes 3-pt shot from 23 ft
4:08.0,L. Deng misses 3-pt shot from 23 ft,,27-41,,
4:07.0,,,27-41,,Defensive rebound by K. Lowry
4:00.0,,,27-41,,L. Williams misses 3-pt shot from 26 ft
3:58.0,Defensive rebound by H. Whiteside,,27-41,,
3:46.0,H. Whiteside makes 2-pt shot from 3 ft (assist by G. Dragic),2,29-41,,
3:35.0,,,29-41,,Toronto full timeout
3:35.0,,,29-41,,T. Hansbrough enters the game for A. Johnson
3:35.0,,,29-41,,T. Ross enters the game for L. Williams
3:20.0,,,29-41,,D. DeRozan misses 2-pt shot from 18 ft
3:19.0,Defensive rebound by H. Whiteside,,29-41,,
3:05.0,G. Dragic makes 2-pt shot from 3 ft,2,31-41,,
3:05.0,Shooting foul by P. Patterson (drawn by G. Dragic),,31-41,,
3:05.0,,,31-41,,A. Johnson enters the game for P. Patterson
3:05.0,G. Dragic makes free throw 1 of 1,1,32-41,,
2:57.0,,,32-41,,D. DeRozan misses 2-pt shot from 4 ft
2:55.0,,,32-41,,Offensive rebound by D. DeRozan
2:48.0,,,32-43,2,A. Johnson makes 2-pt shot from 2 ft (assist by D. DeRozan)
2:34.0,M. Chalmers misses 2-pt shot from 20 ft,,32-43,,
2:33.0,Offensive rebound by L. Deng,,32-43,,
2:27.0,L. Deng misses 2-pt shot from 2 ft,,32-43,,
2:26.0,,,32-43,,Defensive rebound by T. Hansbrough
2:17.0,,,32-46,3,K. Lowry makes 3-pt shot from 27 ft (assist by D. DeRozan)
2:15.0,Miami full timeout,,32-46,,
2:15.0,,,32-46,,G. Vasquez enters the game for K. Lowry
2:15.0,D. Wade enters the game for M. Chalmers,,32-46,,
2:05.0,G. Dragic misses 3-pt shot from 27 ft,,32-46,,
2:04.0,,,32-46,,Defensive rebound by T. Ross
1:55.0,,,32-46,,Shooting foul by H. Whiteside (drawn by T. Hansbrough)
1:55.0,,,32-46,,T. Hansbrough misses free throw 1 of 2
1:55.0,,,32-46,,Offensive rebound by Team
1:55.0,C. Andersen enters the game for H. Whiteside,,32-46,,
1:55.0,,,32-46,,J. Johnson enters the game for A. Johnson
1:55.0,,,32-47,1,T. Hansbrough makes free throw 2 of 2
1:38.0,D. Wade makes 3-pt shot from 25 ft (assist by L. Deng),3,35-47,,
1:19.0,,,35-47,,Turnover by G. Vasquez (bad pass; steal by L. Deng)
1:15.0,L. Deng makes 2-pt shot from 1 ft (assist by D. Wade),2,37-47,,
1:01.0,,,37-47,,Turnover by D. DeRozan (lost ball; steal by H. Walker)
0:58.0,G. Dragic makes 2-pt shot from 1 ft (assist by L. Deng),2,39-47,,
0:54.0,,,39-47,,Toronto full timeout
0:43.0,,,39-47,,Shooting foul by H. Walker (drawn by J. Johnson)
0:43.0,,,39-48,1,J. Johnson makes free throw 1 of 2
0:43.0,,,39-48,,J. Johnson misses free throw 2 of 2
0:42.0,Defensive rebound by H. Walker,,39-48,,
0:31.0,Shooting foul by T. Ross (drawn by D. Wade),,39-48,,
0:31.0,D. Wade makes free throw 1 of 2,1,40-48,,
0:31.0,D. Wade makes free throw 2 of 2,1,41-48,,
0:12.0,,,41-50,2,J. Johnson makes 2-pt shot at rim (assist by D. DeRozan)
0:03.0,D. Wade misses 3-pt shot from 30 ft,,41-50,,
0:02.0,,,41-50,,Defensive rebound by T. Hansbrough
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,H. Walker misses 3-pt shot from 26 ft,,41-50,,
11:38.0,,,41-50,,Defensive rebound by D. DeRozan
11:28.0,,,41-50,,Shooting foul by G. Dragic (drawn by D. DeRozan)
11:28.0,,,41-51,1,D. DeRozan makes free throw 1 of 2
11:28.0,,,41-52,1,D. DeRozan makes free throw 2 of 2
11:08.0,Turnover by D. Wade (bad pass; steal by K. Lowry),,41-52,,
10:58.0,,,41-52,,A. Johnson misses 2-pt shot from 5 ft (block by H. Whiteside)
10:58.0,,,41-52,,Offensive rebound by Team
10:53.0,,,41-52,,Turnover by A. Johnson (bad pass; steal by H. Walker)
10:38.0,Turnover by D. Wade (bad pass; steal by T. Hansbrough),,41-52,,
10:33.0,,,41-54,2,A. Johnson makes 2-pt shot from 2 ft (assist by K. Lowry)
10:33.0,Shooting block foul by H. Walker (drawn by A. Johnson),,41-54,,
10:33.0,,,41-55,1,A. Johnson makes free throw 1 of 1
10:18.0,Turnover by L. Deng (bad pass; steal by A. Johnson),,41-55,,
10:13.0,,,41-57,2,D. DeRozan makes 2-pt shot at rim (assist by A. Johnson)
10:05.0,,,41-57,,Personal foul by D. DeRozan (drawn by L. Deng)
9:58.0,D. Wade makes 2-pt shot from 3 ft (assist by H. Walker),2,43-57,,
9:58.0,Shooting foul by T. Hansbrough (drawn by D. Wade),,43-57,,
9:58.0,D. Wade makes free throw 1 of 1,1,44-57,,
9:51.0,Personal foul by H. Walker (drawn by K. Lowry),,44-57,,
9:42.0,,,44-59,2,K. Lowry makes 2-pt shot from 9 ft
9:19.0,H. Whiteside makes 2-pt shot from 3 ft,2,46-59,,
9:07.0,,,46-59,,T. Ross misses 3-pt shot from 22 ft
9:06.0,Defensive rebound by L. Deng,,46-59,,
9:01.0,G. Dragic misses 2-pt shot from 2 ft (block by T. Ross),,46-59,,
8:56.0,,,46-59,,Defensive rebound by K. Lowry
8:55.0,Personal foul by G. Dragic (drawn by K. Lowry),,46-59,,
8:42.0,,,46-59,,D. DeRozan misses 2-pt shot from 20 ft
8:41.0,Defensive rebound by H. Whiteside,,46-59,,
8:32.0,D. Wade misses 2-pt shot from 20 ft,,46-59,,
8:31.0,,,46-59,,Defensive rebound by K. Lowry
8:24.0,Violation by L. Deng (kicked ball),,46-59,,
8:11.0,,,46-59,,T. Ross misses 3-pt shot from 23 ft
8:10.0,Defensive rebound by H. Whiteside,,46-59,,
7:57.0,D. Wade makes 2-pt shot from 17 ft (assist by H. Walker),2,48-59,,
7:52.0,,,48-59,,Toronto full timeout
7:34.0,,,48-61,2,K. Lowry makes 2-pt shot from 16 ft
7:18.0,L. Deng misses 2-pt shot from 17 ft,,48-61,,
7:17.0,,,48-61,,Defensive rebound by A. Johnson
7:01.0,,,48-63,2,T. Hansbrough makes 2-pt shot at rim (assist by D. DeRozan)
6:43.0,G. Dragic misses 3-pt shot from 24 ft,,48-63,,
6:43.0,Offensive rebound by Team,,48-63,,
6:43.0,,,48-63,,Loose ball foul by T. Hansbrough (drawn by H. Whiteside)
6:35.0,H. Walker makes 3-pt shot from 24 ft (assist by D. Wade),3,51-63,,
6:08.0,,,51-63,,A. Johnson misses 2-pt shot from 4 ft (block by H. Whiteside)
6:06.0,,,51-63,,Offensive rebound by D. DeRozan
6:02.0,,,51-66,3,T. Ross makes 3-pt shot from 24 ft (assist by D. DeRozan)
5:41.0,H. Walker makes 3-pt shot from 23 ft (assist by G. Dragic),3,54-66,,
5:19.0,,,54-66,,K. Lowry misses 3-pt shot from 26 ft
5:18.0,Defensive rebound by D. Wade,,54-66,,
5:03.0,H. Walker misses 3-pt shot from 27 ft,,54-66,,
5:02.0,,,54-66,,Defensive rebound by A. Johnson
4:53.0,,,54-66,,D. DeRozan misses 2-pt shot from 2 ft (block by H. Whiteside)
4:52.0,Defensive rebound by G. Dragic,,54-66,,
4:48.0,H. Walker makes 2-pt shot from 2 ft (assist by G. Dragic),2,56-66,,
4:31.0,,,56-69,3,T. Ross makes 3-pt shot from 24 ft (assist by K. Lowry)
4:30.0,Miami full timeout,,56-69,,
4:30.0,,,56-69,,G. Vasquez enters the game for K. Lowry
4:30.0,M. Chalmers enters the game for G. Dragic,,56-69,,
4:20.0,Turnover by M. Chalmers (bad pass),,56-69,,
4:01.0,,,56-69,,Turnover by G. Vasquez (bad pass; steal by H. Walker)
3:54.0,D. Wade makes 2-pt shot from 2 ft,2,58-69,,
3:40.0,Personal foul by M. Chalmers (drawn by D. DeRozan),,58-69,,
3:40.0,,,58-70,1,D. DeRozan makes free throw 1 of 2
3:40.0,,,58-70,,L. Williams enters the game for T. Ross
3:40.0,,,58-71,1,D. DeRozan makes free throw 2 of 2
3:29.0,Turnover by D. Wade (bad pass),,58-71,,
3:29.0,,,58-71,,P. Patterson enters the game for T. Hansbrough
3:17.0,,,58-73,2,A. Johnson makes 2-pt shot from 17 ft
2:59.0,H. Walker misses 3-pt shot from 26 ft,,58-73,,
2:58.0,Offensive rebound by H. Whiteside,,58-73,,
2:55.0,Turnover by H. Whiteside (traveling),,58-73,,
2:55.0,M. Beasley enters the game for H. Walker,,58-73,,
2:43.0,,,58-75,2,P. Patterson makes 2-pt shot from 18 ft (assist by L. Williams)
2:42.0,Miami full timeout,,58-75,,
2:42.0,G. Dragic enters the game for D. Wade,,58-75,,
2:28.0,Shooting foul by A. Johnson (drawn by M. Chalmers),,58-75,,
2:28.0,M. Chalmers makes free throw 1 of 2,1,59-75,,
2:28.0,M. Chalmers misses free throw 2 of 2,,59-75,,
2:27.0,,,59-75,,Defensive rebound by D. DeRozan
2:15.0,,,59-77,2,P. Patterson makes 2-pt shot from 18 ft (assist by G. Vasquez)
1:58.0,M. Beasley makes 2-pt shot from 6 ft (assist by M. Chalmers),2,61-77,,
1:44.0,,,61-77,,L. Williams misses 2-pt shot from 3 ft
1:43.0,Defensive rebound by M. Beasley,,61-77,,
1:31.0,H. Whiteside makes 2-pt shot at rim (assist by M. Beasley),2,63-77,,
1:10.0,,,63-77,,P. Patterson misses 3-pt shot from 26 ft
1:09.0,Defensive rebound by H. Whiteside,,63-77,,
1:00.0,Offensive foul by H. Whiteside,,63-77,,
1:00.0,Turnover by H. Whiteside (offensive foul),,63-77,,
1:00.0,C. Andersen enters the game for H. Whiteside,,63-77,,
1:00.0,,,63-77,,K. Lowry enters the game for D. DeRozan
0:39.0,,,63-77,,P. Patterson misses 2-pt shot from 10 ft
0:38.0,Defensive rebound by C. Andersen,,63-77,,
0:35.0,Turnover by C. Andersen (bad pass; steal by K. Lowry),,63-77,,
0:31.0,,,63-77,,A. Johnson misses 2-pt shot from 1 ft
0:29.0,,,63-77,,Offensive rebound by K. Lowry
0:25.0,,,63-77,,L. Williams misses 3-pt shot from 27 ft
0:24.0,Defensive rebound by M. Beasley,,63-77,,
0:22.0,Turnover by M. Beasley (lost ball; steal by K. Lowry),,63-77,,
0:02.0,,,63-77,,Shooting foul by M. Beasley (drawn by A. Johnson)
0:02.0,Technical foul by M. Beasley (drawn by A. Johnson),,63-77,,
0:02.0,,,63-77,,L. Williams misses technical free throw
0:02.0,,,63-77,,Offensive rebound by Team
0:02.0,,,63-78,1,A. Johnson makes free throw 1 of 2
0:02.0,,,63-78,,A. Johnson misses free throw 2 of 2
0:02.0,Defensive rebound by C. Andersen,,63-78,,
0:00.0,C. Andersen misses 3-pt shot from 75 ft,,63-78,,
0:00.0,Offensive rebound by Team,,63-78,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,,,63-81,3,K. Lowry makes 3-pt shot from 23 ft (assist by G. Vasquez)
11:24.0,Turnover by G. Dragic (bad pass; steal by K. Lowry),,63-81,,
11:22.0,,,63-81,,Offensive foul by K. Lowry
11:22.0,,,63-81,,Turnover by K. Lowry (offensive foul)
11:11.0,G. Dragic misses 3-pt shot from 25 ft,,63-81,,
11:10.0,,,63-81,,Defensive rebound by P. Patterson
10:50.0,,,63-81,,G. Vasquez misses 3-pt shot from 25 ft
10:49.0,,,63-81,,Offensive rebound by C. Hayes
10:40.0,Violation by C. Andersen (kicked ball),,63-81,,
10:32.0,,,63-81,,Shooting foul by C. Andersen (drawn by L. Williams)
10:32.0,,,63-82,1,L. Williams makes free throw 1 of 3
10:32.0,,,63-83,1,L. Williams makes free throw 2 of 3
10:32.0,,,63-84,1,L. Williams makes free throw 3 of 3
10:21.0,G. Dragic misses 2-pt shot from 17 ft,,63-84,,
10:20.0,Offensive rebound by M. Beasley,,63-84,,
10:20.0,Shooting foul by K. Lowry (drawn by M. Beasley),,63-84,,
10:20.0,M. Beasley makes free throw 1 of 2,1,64-84,,
10:20.0,M. Beasley makes free throw 2 of 2,1,65-84,,
10:06.0,,,65-84,,C. Hayes misses 2-pt shot from 3 ft
10:06.0,,,65-84,,Offensive rebound by C. Hayes
10:06.0,,,65-84,,Shooting foul by T. Johnson (drawn by C. Hayes)
10:06.0,,,65-85,1,C. Hayes makes free throw 1 of 2
10:06.0,,,65-85,,C. Hayes misses free throw 2 of 2
10:05.0,Defensive rebound by M. Chalmers,,65-85,,
9:57.0,M. Beasley misses 2-pt shot from 16 ft,,65-85,,
9:56.0,,,65-85,,Defensive rebound by L. Williams
9:42.0,,,65-85,,L. Williams misses 3-pt shot from 25 ft
9:41.0,Defensive rebound by G. Dragic,,65-85,,
9:37.0,T. Johnson misses flagrant free throw 1 of 2,,65-85,,
9:37.0,Offensive rebound by Team,,65-85,,
9:37.0,T. Johnson makes flagrant free throw 2 of 2,1,66-85,,
9:30.0,M. Chalmers misses 2-pt shot from 1 ft,,66-85,,
9:28.0,,,66-85,,Defensive rebound by C. Hayes
9:08.0,,,66-85,,C. Hayes misses 2-pt shot from 2 ft
9:06.0,Defensive rebound by G. Dragic,,66-85,,
9:02.0,G. Dragic makes 2-pt shot from 2 ft,2,68-85,,
8:42.0,,,68-85,,Turnover by L. Williams (bad pass)
8:42.0,Official timeout,,68-85,,
8:42.0,,,68-85,,T. Hansbrough enters the game for G. Vasquez
8:42.0,,,68-85,,D. DeRozan enters the game for C. Hayes
8:32.0,M. Beasley misses 2-pt shot from 20 ft,,68-85,,
8:31.0,,,68-85,,Defensive rebound by K. Lowry
8:17.0,,,68-85,,K. Lowry misses 3-pt shot from 24 ft
8:16.0,,,68-85,,Offensive rebound by L. Williams
8:07.0,Personal foul by M. Chalmers (drawn by P. Patterson),,68-85,,
7:51.0,,,68-88,3,K. Lowry makes 3-pt shot from 26 ft
7:37.0,M. Beasley misses 3-pt shot from 26 ft,,68-88,,
7:36.0,,,68-88,,Defensive rebound by K. Lowry
7:27.0,,,68-88,,Turnover by D. DeRozan (lost ball; steal by G. Dragic)
7:27.0,,,68-88,,Loose ball foul by D. DeRozan (drawn by G. Dragic)
7:22.0,,,68-88,,Personal block foul by P. Patterson (drawn by G. Dragic)
7:22.0,D. Wade enters the game for T. Johnson,,68-88,,
7:22.0,,,68-88,,G. Vasquez enters the game for K. Lowry
7:11.0,M. Beasley makes 2-pt shot from 4 ft,2,70-88,,
6:52.0,,,70-88,,L. Williams misses 2-pt shot from 10 ft
6:51.0,,,70-88,,Offensive rebound by L. Williams
6:48.0,,,70-90,2,L. Williams makes 2-pt shot from 3 ft
6:33.0,M. Beasley makes 3-pt shot from 23 ft (assist by G. Dragic),3,73-90,,
6:11.0,,,73-90,,Turnover by L. Williams (lost ball; steal by M. Beasley)
5:57.0,D. Wade misses 2-pt shot from 8 ft,,73-90,,
5:56.0,,,73-90,,Defensive rebound by T. Hansbrough
