time,Orlando,pts.away,score,pts.home,Atlanta
4:09.0,,,32-35,,P. Millsap misses free throw 1 of 2
4:09.0,,,32-35,,Offensive rebound by Team
4:09.0,,,32-36,1,P. Millsap makes free throw 2 of 2
3:52.0,,,32-36,,Violation by M. Scott (kicked ball)
3:52.0,K. O'Quinn enters the game for C. Frye,,32-36,,
3:34.0,V. Oladipo misses 2-pt shot from 17 ft,,32-36,,
3:33.0,,,32-36,,Defensive rebound by M. Scott
3:18.0,,,32-38,2,P. Millsap makes 2-pt shot from 20 ft (assist by M. Scott)
2:55.0,K. O'Quinn misses 2-pt shot from 17 ft,,32-38,,
2:52.0,,,32-38,,Defensive rebound by P. Millsap
2:47.0,,,32-38,,D. Carroll misses 3-pt shot from 25 ft
2:46.0,Defensive rebound by Team,,32-38,,
2:46.0,,,32-38,,Loose ball foul by P. Millsap (drawn by K. O'Quinn)
2:46.0,Official timeout,,32-38,,
2:46.0,D. Dedmon enters the game for E. Payton,,32-38,,
2:32.0,T. Harris makes 3-pt shot from 23 ft (assist by E. Fournier),3,35-38,,
2:15.0,Personal foul by V. Oladipo (drawn by J. Teague),,35-38,,
2:15.0,E. Payton enters the game for V. Oladipo,,35-38,,
2:06.0,,,35-38,,K. Korver misses 2-pt shot from 20 ft
2:02.0,Defensive rebound by E. Fournier,,35-38,,
1:42.0,K. O'Quinn misses 3-pt shot from 25 ft,,35-38,,
1:41.0,,,35-38,,Defensive rebound by K. Korver
1:34.0,,,35-38,,Shooting foul by K. O'Quinn (drawn by D. Carroll)
1:34.0,,,35-39,1,D. Carroll makes free throw 1 of 2
1:34.0,,,35-39,,A. Horford enters the game for P. Millsap
1:34.0,,,35-40,1,D. Carroll makes free throw 2 of 2
1:19.0,T. Harris misses 3-pt shot from 23 ft,,35-40,,
1:18.0,,,35-40,,Defensive rebound by M. Scott
1:05.0,,,35-40,,K. Korver misses 3-pt shot from 24 ft
1:03.0,Defensive rebound by K. O'Quinn,,35-40,,
0:54.0,T. Harris makes 2-pt shot from 19 ft (assist by K. O'Quinn),2,37-40,,
0:41.0,,,37-40,,A. Horford misses 2-pt shot from 19 ft
0:40.0,Defensive rebound by T. Harris,,37-40,,
0:29.0,Orlando full timeout,,37-40,,
0:23.0,Turnover by K. O'Quinn (bad pass; steal by K. Korver),,37-40,,
0:18.0,,,37-40,,Turnover by K. Korver (bad pass)
0:18.0,,,37-40,,T. Sefolosha enters the game for K. Korver
0:18.0,,,37-40,,K. Bazemore enters the game for M. Scott
0:18.0,C. Frye enters the game for E. Payton,,37-40,,
0:02.0,E. Fournier makes 3-pt shot from 25 ft,3,40-40,,
0:00.0,,,40-40,,J. Teague misses 3-pt shot from 37 ft
0:00.0,,,40-40,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,Shooting foul by D. Carroll (drawn by T. Harris),,40-40,,
