time,Washington,pts.away,score,pts.home,San Antonio
6:12.0,P. Pierce makes 3-pt shot from 23 ft (assist by M. Gortat),3,17-18,,
6:04.0,,,17-18,,Turnover by B. Diaw (bad pass; steal by M. Gortat)
5:59.0,J. Wall makes 2-pt shot at rim,2,19-18,,
5:59.0,,,19-18,,San Antonio full timeout
5:59.0,,,19-18,,A. Baynes enters the game for T. Splitter
5:45.0,,,19-21,3,P. Mills makes 3-pt shot from 24 ft (assist by B. Diaw)
5:18.0,N. Hilario misses 2-pt shot from 1 ft,,19-21,,
5:17.0,Offensive rebound by M. Gortat,,19-21,,
5:16.0,M. Gortat makes 2-pt shot from 2 ft,2,21-21,,
5:03.0,,,21-23,2,K. Anderson makes 2-pt shot from 14 ft
4:49.0,P. Pierce misses 2-pt shot from 18 ft,,21-23,,
4:47.0,,,21-23,,Defensive rebound by A. Baynes
4:30.0,,,21-25,2,P. Mills makes 2-pt shot from 21 ft (assist by K. Anderson)
4:22.0,,,21-25,,Personal block foul by P. Mills (drawn by J. Wall)
4:22.0,R. Butler enters the game for N. Hilario,,21-25,,
4:22.0,K. Humphries enters the game for P. Pierce,,21-25,,
4:16.0,B. Beal makes 2-pt shot from 19 ft,2,23-25,,
4:06.0,,,23-27,2,P. Mills makes 2-pt shot from 1 ft (assist by M. Ginobili)
3:49.0,R. Butler makes 3-pt shot from 24 ft (assist by J. Wall),3,26-27,,
3:35.0,,,26-27,,A. Baynes misses 2-pt shot from 8 ft
3:34.0,Defensive rebound by R. Butler,,26-27,,
3:26.0,J. Wall makes 2-pt shot from 1 ft,2,28-27,,
3:13.0,,,28-29,2,A. Baynes makes 2-pt shot at rim (assist by K. Anderson)
3:05.0,Washington full timeout,,28-29,,
2:55.0,J. Wall makes 2-pt shot from 12 ft,2,30-29,,
2:43.0,,,30-29,,K. Anderson misses 2-pt shot from 18 ft
2:42.0,Defensive rebound by K. Humphries,,30-29,,
2:31.0,J. Wall misses 2-pt shot from 12 ft,,30-29,,
2:30.0,,,30-29,,Defensive rebound by A. Baynes
2:10.0,,,30-29,,A. Baynes misses 2-pt shot from 17 ft
2:09.0,Defensive rebound by K. Humphries,,30-29,,
1:53.0,M. Gortat misses 2-pt shot from 15 ft,,30-29,,
1:52.0,,,30-29,,Defensive rebound by A. Baynes
1:43.0,,,30-29,,M. Ginobili misses 3-pt shot from 26 ft
1:42.0,Defensive rebound by R. Butler,,30-29,,
1:41.0,,,30-29,,Personal foul by M. Ginobili (drawn by R. Butler)
1:41.0,,,30-29,,M. Belinelli enters the game for K. Anderson
1:41.0,,,30-29,,C. Joseph enters the game for B. Diaw
1:41.0,,,30-29,,D. Green enters the game for M. Ginobili
1:41.0,,,30-29,,T. Duncan enters the game for P. Mills
1:41.0,,,30-29,,T. Splitter enters the game for A. Baynes
1:41.0,O. Porter enters the game for B. Beal,,30-29,,
1:27.0,K. Humphries makes 2-pt shot from 19 ft (assist by J. Wall),2,32-29,,
1:10.0,,,32-29,,Turnover by M. Belinelli (lost ball; steal by K. Humphries)
1:06.0,R. Butler misses 2-pt shot from 5 ft,,32-29,,
1:05.0,Offensive rebound by Team,,32-29,,
0:53.0,M. Gortat makes 2-pt shot from 2 ft,2,34-29,,
0:42.0,,,34-31,2,D. Green makes 2-pt shot from 17 ft
0:35.0,J. Wall misses 2-pt shot from 19 ft,,34-31,,
0:34.0,,,34-31,,Defensive rebound by T. Duncan
0:15.0,,,34-31,,M. Belinelli misses 2-pt shot from 1 ft (block by O. Porter)
0:14.0,Defensive rebound by K. Humphries,,34-31,,
0:00.0,Shooting foul by C. Joseph (drawn by J. Wall),,34-31,,
0:00.0,J. Wall makes free throw 1 of 2,1,35-31,,
0:00.0,K. Seraphin enters the game for M. Gortat,,35-31,,
0:00.0,J. Wall misses free throw 2 of 2,,35-31,,
0:00.0,,,35-31,,Defensive rebound by T. Duncan
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,R. Butler misses 2-pt shot from 17 ft,,35-31,,
11:41.0,Offensive rebound by K. Humphries,,35-31,,
11:32.0,R. Butler misses 2-pt shot from 17 ft,,35-31,,
11:31.0,Offensive rebound by K. Seraphin,,35-31,,
11:25.0,O. Porter makes 2-pt shot from 14 ft (assist by K. Seraphin),2,37-31,,
11:07.0,,,37-31,,T. Duncan misses 2-pt shot from 12 ft (block by K. Seraphin)
11:05.0,Defensive rebound by K. Humphries,,37-31,,
10:56.0,K. Seraphin makes 2-pt shot from 2 ft (assist by A. Miller),2,39-31,,
10:40.0,,,39-33,2,C. Joseph makes 2-pt shot from 2 ft
10:25.0,K. Humphries makes 2-pt shot from 14 ft,2,41-33,,
10:13.0,Personal foul by K. Seraphin (drawn by T. Duncan),,41-33,,
10:03.0,,,41-35,2,T. Duncan makes 2-pt shot from 2 ft (assist by M. Belinelli)
9:38.0,K. Humphries misses 2-pt shot from 16 ft,,41-35,,
9:35.0,,,41-35,,Defensive rebound by Team
9:16.0,,,41-35,,T. Duncan misses 2-pt shot from 11 ft
9:15.0,,,41-35,,Offensive rebound by C. Joseph
9:15.0,,,41-37,2,C. Joseph makes 2-pt shot at rim
8:57.0,K. Humphries makes 2-pt shot from 17 ft (assist by R. Butler),2,43-37,,
8:33.0,,,43-37,,Shooting foul by A. Miller (drawn by C. Joseph)
8:33.0,Official timeout,,43-37,,
8:33.0,,,43-37,,B. Diaw enters the game for D. Green
8:33.0,,,43-37,,A. Baynes enters the game for T. Duncan
8:33.0,,,43-37,,M. Ginobili enters the game for T. Splitter
8:33.0,,,43-37,,K. Anderson enters the game for M. Belinelli
8:33.0,,,43-38,1,C. Joseph makes free throw 1 of 3
8:33.0,,,43-38,,C. Joseph misses free throw 2 of 3
8:33.0,,,43-38,,Offensive rebound by Team
8:33.0,,,43-39,1,C. Joseph makes free throw 3 of 3
8:21.0,,,43-39,,Personal foul by K. Anderson (drawn by O. Porter)
8:21.0,,,43-39,,P. Mills enters the game for C. Joseph
8:10.0,K. Seraphin makes 2-pt shot from 17 ft (assist by O. Porter),2,45-39,,
7:57.0,,,45-39,,M. Ginobili misses 2-pt shot from 1 ft
7:56.0,,,45-39,,Offensive rebound by Team
7:53.0,Personal foul by R. Butler (drawn by P. Mills),,45-39,,
7:43.0,,,45-41,2,B. Diaw makes 2-pt shot from 3 ft (assist by K. Anderson)
7:24.0,O. Porter makes 2-pt shot from 19 ft (assist by A. Miller),2,47-41,,
7:16.0,,,47-41,,Turnover by M. Ginobili (bad pass; steal by A. Miller)
7:12.0,Shooting foul by P. Mills (drawn by O. Porter),,47-41,,
7:12.0,O. Porter misses free throw 1 of 2,,47-41,,
7:12.0,Offensive rebound by Team,,47-41,,
7:12.0,O. Porter makes free throw 2 of 2,1,48-41,,
6:58.0,,,48-41,,M. Ginobili misses 3-pt shot from 25 ft
6:56.0,Defensive rebound by R. Butler,,48-41,,
6:50.0,K. Seraphin makes 2-pt shot at rim (assist by O. Porter),2,50-41,,
6:50.0,Shooting foul by P. Mills (drawn by K. Seraphin),,50-41,,
6:50.0,K. Seraphin makes free throw 1 of 1,1,51-41,,
6:36.0,,,51-43,2,A. Baynes makes 2-pt shot from 5 ft (assist by P. Mills)
6:12.0,K. Seraphin misses 2-pt shot from 13 ft,,51-43,,
6:11.0,,,51-43,,Defensive rebound by K. Anderson
5:48.0,,,51-43,,P. Mills misses 3-pt shot from 25 ft
5:47.0,,,51-43,,Offensive rebound by Team
5:47.0,,,51-43,,San Antonio full timeout
5:47.0,N. Hilario enters the game for K. Humphries,,51-43,,
5:38.0,,,51-43,,P. Mills misses 3-pt shot from 24 ft
5:37.0,,,51-43,,Offensive rebound by P. Mills
5:19.0,,,51-45,2,P. Mills makes 2-pt shot from 9 ft
5:03.0,Turnover by R. Butler (bad pass; steal by K. Anderson),,51-45,,
4:57.0,,,51-45,,K. Anderson misses 2-pt shot at rim (block by R. Butler)
4:57.0,,,51-45,,Offensive rebound by Team
4:57.0,B. Beal enters the game for R. Butler,,51-45,,
4:57.0,J. Wall enters the game for A. Miller,,51-45,,
4:53.0,,,51-45,,A. Baynes misses 2-pt shot from 11 ft
4:52.0,Defensive rebound by K. Seraphin,,51-45,,
4:38.0,,,51-45,,Personal foul by B. Diaw (drawn by N. Hilario)
4:38.0,M. Gortat enters the game for K. Seraphin,,51-45,,
4:38.0,,,51-45,,D. Green enters the game for K. Anderson
4:38.0,,,51-45,,T. Duncan enters the game for B. Diaw
4:38.0,,,51-45,,M. Belinelli enters the game for M. Ginobili
4:38.0,,,51-45,,T. Splitter enters the game for P. Mills
4:38.0,,,51-45,,C. Joseph enters the game for A. Baynes
4:29.0,N. Hilario misses 2-pt shot from 14 ft,,51-45,,
4:27.0,,,51-45,,Defensive rebound by M. Belinelli
4:06.0,,,51-45,,M. Belinelli misses 3-pt shot from 23 ft
4:05.0,,,51-45,,Offensive rebound by D. Green
3:53.0,,,51-47,2,T. Splitter makes 2-pt shot from 6 ft (assist by C. Joseph)
3:29.0,O. Porter makes 2-pt shot from 17 ft (assist by N. Hilario),2,53-47,,
3:15.0,Shooting block foul by N. Hilario (drawn by C. Joseph),,53-47,,
3:15.0,,,53-49,2,C. Joseph makes 2-pt shot from 1 ft
3:15.0,,,53-50,1,C. Joseph makes free throw 1 of 1
3:03.0,Turnover by J. Wall (bad pass; steal by D. Green),,53-50,,
2:50.0,,,53-50,,Turnover by D. Green (step out of bounds)
2:50.0,Washington full timeout,,53-50,,
2:50.0,,,53-50,,M. Ginobili enters the game for M. Belinelli
2:36.0,O. Porter misses 3-pt shot from 25 ft,,53-50,,
2:35.0,,,53-50,,Defensive rebound by T. Duncan
2:27.0,,,53-50,,D. Green misses 3-pt shot from 27 ft
2:26.0,,,53-50,,Offensive rebound by D. Green
2:11.0,,,53-52,2,T. Splitter makes 2-pt shot at rim (assist by C. Joseph)
1:45.0,Washington full timeout,,53-52,,
1:44.0,M. Gortat misses 3-pt shot from 28 ft,,53-52,,
1:44.0,Offensive rebound by Team,,53-52,,
1:44.0,Turnover by Team (shot clock),,53-52,,
1:31.0,,,53-52,,T. Duncan misses 2-pt shot from 2 ft
1:30.0,Defensive rebound by M. Gortat,,53-52,,
1:24.0,B. Beal makes 3-pt shot from 23 ft (assist by J. Wall),3,56-52,,
1:07.0,,,56-52,,M. Ginobili misses 3-pt shot from 23 ft
1:06.0,Defensive rebound by J. Wall,,56-52,,
0:58.0,M. Gortat misses 2-pt shot from 1 ft (block by T. Duncan),,56-52,,
0:57.0,,,56-52,,Defensive rebound by C. Joseph
0:51.0,,,56-54,2,C. Joseph makes 2-pt shot from 2 ft
0:46.0,O. Porter makes 2-pt shot from 21 ft (assist by J. Wall),2,58-54,,
0:31.0,,,58-56,2,M. Ginobili makes 2-pt shot from 6 ft
0:07.0,O. Porter misses 3-pt shot from 23 ft,,58-56,,
0:07.0,,,58-56,,Defensive rebound by Team
0:07.0,,,58-56,,M. Bonner enters the game for T. Splitter
0:07.0,R. Butler enters the game for N. Hilario,,58-56,,
0:00.0,,,58-58,2,C. Joseph makes 2-pt shot from 19 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,Turnover by N. Hilario (offensive foul),,58-58,,
11:47.0,Offensive foul by N. Hilario,,58-58,,
11:39.0,,,58-60,2,D. Green makes 2-pt shot from 1 ft (assist by T. Duncan)
11:11.0,M. Gortat makes 2-pt shot from 12 ft (assist by J. Wall),2,60-60,,
10:49.0,,,60-60,,Turnover by T. Duncan (bad pass; steal by N. Hilario)
10:41.0,N. Hilario makes 2-pt shot at rim (assist by J. Wall),2,62-60,,
10:17.0,,,62-62,2,T. Splitter makes 2-pt shot from 1 ft (assist by M. Ginobili)
9:49.0,J. Wall misses 3-pt shot from 24 ft,,62-62,,
9:48.0,,,62-62,,Defensive rebound by D. Green
9:42.0,,,62-62,,Offensive foul by T. Duncan
9:42.0,,,62-62,,Turnover by T. Duncan (offensive foul)
9:25.0,B. Beal misses 2-pt shot from 17 ft,,62-62,,
9:24.0,,,62-62,,Defensive rebound by T. Splitter
9:17.0,,,62-62,,C. Joseph misses 2-pt shot from 2 ft
9:15.0,,,62-62,,Offensive rebound by T. Duncan
9:12.0,,,62-64,2,M. Ginobili makes 2-pt shot from 1 ft (assist by T. Duncan)
8:46.0,P. Pierce misses 3-pt shot from 24 ft,,62-64,,
8:45.0,,,62-64,,Defensive rebound by D. Green
8:39.0,,,62-64,,M. Ginobili misses 3-pt shot from 24 ft
8:38.0,Defensive rebound by M. Gortat,,62-64,,
8:34.0,Shooting foul by D. Green (drawn by B. Beal),,62-64,,
8:34.0,B. Beal makes free throw 1 of 2,1,63-64,,
8:34.0,B. Beal misses free throw 2 of 2,,63-64,,
8:33.0,,,63-64,,Defensive rebound by T. Splitter
8:19.0,,,63-66,2,T. Duncan makes 2-pt shot from 1 ft (assist by M. Ginobili)
8:00.0,M. Gortat makes 2-pt shot from 8 ft (assist by B. Beal),2,65-66,,
7:53.0,Violation by M. Gortat (kicked ball),,65-66,,
7:44.0,,,65-66,,D. Green misses 2-pt shot from 4 ft
7:43.0,Defensive rebound by M. Gortat,,65-66,,
7:40.0,Shooting foul by C. Joseph (drawn by P. Pierce),,65-66,,
7:40.0,P. Pierce makes free throw 1 of 2,1,66-66,,
7:40.0,P. Pierce makes free throw 2 of 2,1,67-66,,
7:20.0,,,67-66,,M. Ginobili misses 2-pt shot from 17 ft
7:20.0,Defensive rebound by Team,,67-66,,
7:20.0,,,67-66,,B. Diaw enters the game for T. Splitter
7:05.0,N. Hilario makes 2-pt shot from 16 ft (assist by B. Beal),2,69-66,,
6:46.0,,,69-66,,T. Duncan misses 2-pt shot from 5 ft
6:45.0,Defensive rebound by J. Wall,,69-66,,
6:30.0,N. Hilario misses 2-pt shot from 13 ft,,69-66,,
6:29.0,,,69-66,,Defensive rebound by M. Ginobili
6:24.0,,,69-66,,Turnover by M. Ginobili (lost ball)
6:24.0,,,69-66,,P. Mills enters the game for C. Joseph
6:08.0,M. Gortat makes 2-pt shot at rim (assist by J. Wall),2,71-66,,
6:04.0,,,71-66,,San Antonio full timeout
6:04.0,,,71-66,,M. Belinelli enters the game for M. Ginobili
5:51.0,,,71-66,,San Antonio full timeout
5:43.0,,,71-66,,Offensive charge foul by P. Mills
5:43.0,,,71-66,,Turnover by P. Mills (offensive foul)
5:33.0,J. Wall makes 2-pt shot from 3 ft,2,73-66,,
5:24.0,Personal foul by J. Wall (drawn by M. Belinelli),,73-66,,
5:13.0,,,73-66,,D. Green misses 3-pt shot from 24 ft
5:13.0,,,73-66,,Offensive rebound by Team
5:13.0,Personal foul by N. Hilario (drawn by T. Duncan),,73-66,,
5:13.0,K. Humphries enters the game for N. Hilario,,73-66,,
4:58.0,,,73-68,2,B. Diaw makes 2-pt shot from 1 ft (assist by T. Duncan)
4:34.0,Turnover by P. Pierce (lost ball),,73-68,,
4:18.0,,,73-70,2,B. Diaw makes 2-pt shot from 6 ft
3:51.0,B. Beal misses 2-pt shot from 17 ft,,73-70,,
3:50.0,,,73-70,,Defensive rebound by T. Duncan
3:36.0,,,73-72,2,B. Diaw makes 2-pt shot from 16 ft
3:20.0,M. Gortat misses 2-pt shot from 15 ft,,73-72,,
3:19.0,,,73-72,,Defensive rebound by T. Duncan
3:00.0,,,73-74,2,M. Belinelli makes 2-pt shot from 17 ft (assist by B. Diaw)
2:52.0,Washington full timeout,,73-74,,
2:52.0,O. Porter enters the game for P. Pierce,,73-74,,
2:52.0,,,73-74,,M. Ginobili enters the game for D. Green
2:52.0,,,73-74,,C. Joseph enters the game for P. Mills
2:32.0,Turnover by Team (shot clock),,73-74,,
2:32.0,,,73-74,,T. Splitter enters the game for T. Duncan
2:19.0,Personal foul by K. Humphries (drawn by B. Diaw),,73-74,,
2:05.0,,,73-74,,B. Diaw misses 2-pt shot from 1 ft (block by M. Gortat)
2:04.0,Defensive rebound by K. Humphries,,73-74,,
1:58.0,B. Beal makes 2-pt shot at rim,2,75-74,,
1:39.0,,,75-76,2,T. Splitter makes 2-pt shot from 2 ft (assist by B. Diaw)
1:27.0,K. Humphries makes 2-pt shot from 17 ft (assist by J. Wall),2,77-76,,
1:05.0,,,77-78,2,C. Joseph makes 2-pt shot from 2 ft
0:46.0,Turnover by B. Beal (lost ball; steal by M. Ginobili),,77-78,,
0:41.0,,,77-78,,Turnover by M. Ginobili (bad pass; steal by J. Wall)
0:38.0,Shooting foul by M. Ginobili (drawn by M. Gortat),,77-78,,
0:38.0,M. Gortat misses free throw 1 of 2,,77-78,,
0:38.0,Offensive rebound by Team,,77-78,,
0:38.0,R. Butler enters the game for B. Beal,,77-78,,
0:38.0,M. Gortat misses free throw 2 of 2,,77-78,,
0:37.0,,,77-78,,Defensive rebound by M. Belinelli
0:13.0,,,77-78,,M. Belinelli misses 2-pt shot from 21 ft
0:12.0,Defensive rebound by K. Humphries,,77-78,,
0:04.0,J. Wall misses 2-pt shot from 1 ft (block by C. Joseph),,77-78,,
0:03.0,Offensive rebound by Team,,77-78,,
0:03.0,K. Seraphin enters the game for M. Gortat,,77-78,,
0:01.0,R. Butler misses 2-pt shot from 15 ft,,77-78,,
0:00.0,Offensive rebound by Team,,77-78,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,,,77-78,,D. Green misses 3-pt shot from 23 ft
11:48.0,Defensive rebound by A. Miller,,77-78,,
11:32.0,O. Porter misses 2-pt shot from 8 ft,,77-78,,
11:32.0,,,77-78,,Defensive rebound by B. Diaw
11:14.0,,,77-80,2,B. Diaw makes 2-pt shot from 16 ft (assist by T. Splitter)
10:52.0,K. Seraphin makes 2-pt shot from 8 ft,2,79-80,,
10:36.0,,,79-82,2,T. Splitter makes 2-pt shot at rim (assist by C. Joseph)
10:11.0,K. Humphries misses 2-pt shot from 13 ft,,79-82,,
10:10.0,,,79-82,,Defensive rebound by B. Diaw
9:55.0,,,79-84,2,B. Diaw makes 2-pt shot from 1 ft (assist by D. Green)
9:55.0,Washington full timeout,,79-84,,
9:55.0,,,79-84,,P. Mills enters the game for C. Joseph
9:55.0,,,79-84,,M. Belinelli enters the game for M. Ginobili
9:35.0,K. Seraphin misses 2-pt shot from 15 ft,,79-84,,
9:34.0,Offensive rebound by Team,,79-84,,
9:29.0,R. Butler misses 3-pt shot from 25 ft,,79-84,,
9:28.0,Offensive rebound by O. Porter,,79-84,,
9:23.0,,,79-84,,Personal foul by M. Belinelli (drawn by O. Porter)
9:21.0,A. Miller misses 2-pt shot from 6 ft,,79-84,,
9:20.0,Offensive rebound by A. Miller,,79-84,,
9:19.0,A. Miller misses 2-pt shot from 3 ft,,79-84,,
9:17.0,Offensive rebound by K. Seraphin,,79-84,,
9:14.0,K. Seraphin misses 2-pt shot from 2 ft (block by T. Splitter),,79-84,,
9:11.0,Offensive rebound by R. Butler,,79-84,,
9:05.0,O. Porter makes 2-pt shot from 1 ft (assist by A. Miller),2,81-84,,
8:45.0,,,81-84,,D. Green misses 2-pt shot at rim (block by R. Butler)
8:44.0,,,81-84,,Offensive rebound by D. Green
8:40.0,,,81-84,,Turnover by Team (shot clock)
8:26.0,K. Humphries makes 2-pt shot from 17 ft (assist by A. Miller),2,83-84,,
8:13.0,,,83-87,3,P. Mills makes 3-pt shot from 24 ft (assist by T. Splitter)
7:52.0,K. Humphries misses 2-pt shot from 2 ft,,83-87,,
7:51.0,,,83-87,,Defensive rebound by M. Belinelli
7:41.0,,,83-87,,M. Belinelli misses 2-pt shot from 5 ft
7:40.0,Defensive rebound by K. Humphries,,83-87,,
7:35.0,,,83-87,,Personal foul by P. Mills (drawn by O. Porter)
7:35.0,N. Hilario enters the game for K. Humphries,,83-87,,
7:20.0,K. Seraphin misses 2-pt shot from 5 ft,,83-87,,
7:19.0,Offensive rebound by N. Hilario,,83-87,,
7:19.0,,,83-87,,T. Duncan enters the game for T. Splitter
7:19.0,,,83-87,,C. Joseph enters the game for P. Mills
7:01.0,A. Miller misses 2-pt shot from 2 ft,,83-87,,
7:00.0,,,83-87,,Defensive rebound by T. Duncan
6:45.0,Personal foul by O. Porter (drawn by C. Joseph),,83-87,,
6:45.0,,,83-87,,San Antonio full timeout
6:45.0,J. Wall enters the game for R. Butler,,83-87,,
6:45.0,B. Beal enters the game for A. Miller,,83-87,,
6:45.0,,,83-87,,M. Bonner enters the game for B. Diaw
6:36.0,,,83-89,2,D. Green makes 2-pt shot from 1 ft
6:12.0,Shooting foul by T. Duncan (drawn by N. Hilario),,83-89,,
6:12.0,N. Hilario makes free throw 1 of 2,1,84-89,,
6:12.0,N. Hilario makes free throw 2 of 2,1,85-89,,
6:03.0,,,85-89,,M. Belinelli misses 2-pt shot from 3 ft (block by N. Hilario)
6:03.0,,,85-89,,Offensive rebound by Team
5:59.0,,,85-91,2,M. Belinelli makes 2-pt shot from 19 ft (assist by M. Bonner)
5:36.0,B. Beal makes 3-pt shot from 24 ft,3,88-91,,
5:12.0,,,88-91,,C. Joseph misses 2-pt shot from 7 ft
5:11.0,Defensive rebound by K. Seraphin,,88-91,,
5:00.0,J. Wall misses 2-pt shot from 15 ft,,88-91,,
4:59.0,,,88-91,,Defensive rebound by M. Belinelli
4:48.0,,,88-91,,Shooting foul by B. Beal (drawn by M. Belinelli)
4:48.0,,,88-92,1,M. Belinelli makes free throw 1 of 2
4:48.0,,,88-92,,M. Ginobili enters the game for D. Green
4:48.0,,,88-92,,B. Diaw enters the game for M. Bonner
4:48.0,,,88-93,1,M. Belinelli makes free throw 2 of 2
4:32.0,B. Beal misses 2-pt shot from 20 ft,,88-93,,
4:31.0,,,88-93,,Defensive rebound by M. Belinelli
4:23.0,,,88-93,,Shooting foul by N. Hilario (drawn by M. Ginobili)
4:23.0,,,88-93,,M. Ginobili misses free throw 1 of 2
4:23.0,,,88-93,,Offensive rebound by Team
4:23.0,,,88-94,1,M. Ginobili makes free throw 2 of 2
4:09.0,J. Wall misses 3-pt shot from 24 ft,,88-94,,
4:08.0,,,88-94,,Defensive rebound by M. Ginobili
3:57.0,Personal foul by N. Hilario (drawn by C. Joseph),,88-94,,
3:48.0,,,88-94,,M. Belinelli misses 3-pt shot from 24 ft
3:47.0,,,88-94,,Offensive rebound by T. Duncan
3:44.0,,,88-96,2,M. Belinelli makes 2-pt shot from 1 ft (assist by M. Ginobili)
3:44.0,Washington full timeout,,88-96,,
3:44.0,M. Gortat enters the game for K. Seraphin,,88-96,,
3:44.0,,,88-96,,D. Green enters the game for M. Belinelli
3:34.0,Turnover by N. Hilario (lost ball; steal by T. Duncan),,88-96,,
3:14.0,,,88-96,,T. Duncan misses 2-pt shot from 12 ft
3:13.0,Defensive rebound by J. Wall,,88-96,,
2:58.0,N. Hilario misses 2-pt shot from 14 ft,,88-96,,
2:57.0,,,88-96,,Defensive rebound by D. Green
2:33.0,,,88-98,2,B. Diaw makes 2-pt shot from 1 ft (assist by M. Ginobili)
2:15.0,,,88-98,,Violation by T. Duncan (kicked ball)
2:01.0,Turnover by Team (shot clock),,88-98,,
1:45.0,,,88-98,,Shooting foul by B. Beal (drawn by T. Duncan)
1:45.0,,,88-98,,T. Duncan misses free throw 1 of 2
1:45.0,,,88-98,,Offensive rebound by Team
1:45.0,R. Butler enters the game for N. Hilario,,88-98,,
1:45.0,,,88-98,,M. Belinelli enters the game for B. Diaw
1:45.0,,,88-98,,T. Duncan misses free throw 2 of 2
1:43.0,Defensive rebound by M. Gortat,,88-98,,
1:34.0,,,88-98,,Personal foul by M. Ginobili (drawn by M. Gortat)
1:22.0,B. Beal misses 2-pt shot from 2 ft (block by C. Joseph),,88-98,,
1:20.0,,,88-98,,Defensive rebound by M. Ginobili
0:58.0,,,88-98,,T. Duncan misses 2-pt shot from 5 ft
0:56.0,Defensive rebound by Team,,88-98,,
0:56.0,Washington full timeout,,88-98,,
0:53.0,R. Butler misses 3-pt shot from 26 ft,,88-98,,
0:50.0,Offensive rebound by B. Beal,,88-98,,
0:50.0,B. Beal makes 2-pt shot at rim,2,90-98,,
0:40.0,Personal foul by M. Gortat (drawn by M. Belinelli),,90-98,,
0:40.0,,,90-99,1,M. Belinelli makes free throw 1 of 2
0:40.0,,,90-100,1,M. Belinelli makes free throw 2 of 2
0:40.0,Washington full timeout,,90-100,,
0:36.0,J. Wall makes 2-pt shot from 1 ft (assist by O. Porter),2,92-100,,
0:35.0,Personal foul by B. Beal (drawn by D. Green),,92-100,,
0:35.0,,,92-100,,D. Green misses free throw 1 of 2
0:35.0,,,92-100,,Offensive rebound by Team
0:35.0,,,92-100,,D. Green misses free throw 2 of 2
0:34.0,,,92-100,,Offensive rebound by T. Duncan
0:33.0,Personal foul by O. Porter (drawn by D. Green),,92-100,,
0:33.0,,,92-101,1,D. Green makes free throw 1 of 2
0:33.0,,,92-101,,D. Green misses free throw 2 of 2
0:32.0,Defensive rebound by R. Butler,,92-101,,
0:23.0,B. Beal misses 3-pt shot from 25 ft,,92-101,,
0:22.0,,,92-101,,Defensive rebound by C. Joseph
0:00.0,End of 4th quarter,,,,End of 4th quarter
