time,Miami,pts.away,score,pts.home,Golden State
3:32.0,,,57-71,3,S. Curry makes 3-pt shot from 25 ft (assist by A. Iguodala)
3:15.0,M. Chalmers misses 2-pt shot from 4 ft,,57-71,,
3:14.0,Offensive rebound by H. Whiteside,,57-71,,
3:14.0,H. Whiteside makes 2-pt shot from 2 ft,2,59-71,,
2:57.0,,,59-73,2,M. Speights makes 2-pt shot from 12 ft (assist by S. Curry)
2:43.0,L. Deng makes 2-pt shot from 6 ft (assist by M. Chalmers),2,61-73,,
2:32.0,,,61-73,,S. Curry misses 2-pt shot from 3 ft (block by N. Cole)
2:31.0,,,61-73,,Offensive rebound by Team
2:23.0,,,61-73,,M. Speights misses 2-pt shot from 17 ft
2:22.0,,,61-73,,Offensive rebound by D. Lee
2:18.0,,,61-76,3,S. Curry makes 3-pt shot from 24 ft (assist by L. Barbosa)
1:50.0,Turnover by Team (shot clock),,61-76,,
1:38.0,,,61-76,,Shooting foul by H. Whiteside (drawn by M. Speights)
1:38.0,,,61-77,1,M. Speights makes free throw 1 of 2
1:38.0,S. Williams enters the game for C. Bosh,,61-77,,
1:38.0,,,61-78,1,M. Speights makes free throw 2 of 2
1:20.0,M. Chalmers misses 2-pt shot from 9 ft,,61-78,,
1:19.0,Offensive rebound by H. Whiteside,,61-78,,
1:19.0,H. Whiteside makes 2-pt shot at rim,2,63-78,,
1:03.0,,,63-78,,S. Curry misses 2-pt shot from 16 ft
1:01.0,Defensive rebound by H. Whiteside,,63-78,,
0:54.0,,,63-78,,Personal foul by S. Curry (drawn by L. Deng)
0:54.0,L. Deng misses free throw 1 of 2,,63-78,,
0:54.0,Offensive rebound by Team,,63-78,,
0:54.0,J. Ennis enters the game for M. Chalmers,,63-78,,
0:54.0,L. Deng misses free throw 2 of 2,,63-78,,
0:52.0,,,63-78,,Defensive rebound by D. Lee
0:41.0,,,63-78,,Turnover by A. Iguodala (bad pass; steal by S. Williams)
0:33.0,Offensive foul by H. Whiteside,,63-78,,
0:33.0,Turnover by H. Whiteside (offensive foul),,63-78,,
0:23.0,,,63-81,3,L. Barbosa makes 3-pt shot from 26 ft (assist by D. Lee)
0:03.0,N. Cole misses 2-pt shot from 7 ft,,63-81,,
0:00.0,Offensive rebound by Team,,63-81,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,N. Cole makes 2-pt shot from 15 ft (assist by S. Williams),2,65-81,,
11:38.0,,,65-81,,Offensive foul by M. Speights
11:38.0,,,65-81,,Turnover by M. Speights (offensive foul)
11:24.0,Turnover by S. Williams (bad pass),,65-81,,
11:03.0,,,65-81,,M. Speights misses 2-pt shot from 14 ft
11:03.0,Defensive rebound by J. Ennis,,65-81,,
10:54.0,,,65-81,,Shooting block foul by M. Speights (drawn by J. Ennis)
10:54.0,J. Ennis makes free throw 1 of 2,1,66-81,,
10:54.0,J. Ennis makes free throw 2 of 2,1,67-81,,
10:39.0,Personal foul by N. Cole (drawn by L. Barbosa),,67-81,,
10:26.0,,,67-81,,L. Barbosa misses 3-pt shot from 26 ft
10:26.0,Defensive rebound by J. Ennis,,67-81,,
10:16.0,S. Williams makes 2-pt shot from 15 ft (assist by J. Ennis),2,69-81,,
9:55.0,,,69-81,,L. Barbosa misses 2-pt shot from 7 ft
9:54.0,Defensive rebound by C. Andersen,,69-81,,
9:46.0,S. Williams misses 3-pt shot from 27 ft,,69-81,,
9:45.0,,,69-81,,Defensive rebound by M. Speights
9:40.0,,,69-81,,Golden State full timeout
9:32.0,,,69-81,,M. Speights misses 2-pt shot from 11 ft
9:31.0,Defensive rebound by C. Andersen,,69-81,,
9:20.0,S. Williams makes 3-pt shot from 27 ft (assist by N. Cole),3,72-81,,
9:03.0,,,72-84,3,J. Holiday makes 3-pt shot from 23 ft (assist by A. Iguodala)
8:43.0,Turnover by J. Ennis (bad pass; steal by L. Barbosa),,72-84,,
8:39.0,,,72-86,2,J. Holiday makes 2-pt shot from 1 ft (assist by A. Iguodala)
8:39.0,,,72-86,,Shooting foul by S. Williams (drawn by J. Holiday)
