time,Oklahoma City,pts.away,score,pts.home,Orlando
10:53.0,K. Durant makes 2-pt shot at rim,2,44-20,,
10:44.0,Personal foul by D. Waiters (drawn by V. Oladipo),,44-20,,
10:31.0,,,44-20,,V. Oladipo misses 3-pt shot from 24 ft
10:30.0,Defensive rebound by K. Perkins,,44-20,,
10:28.0,Turnover by K. Perkins (bad pass; steal by V. Oladipo),,44-20,,
10:23.0,,,44-22,2,V. Oladipo makes 2-pt shot from 1 ft (assist by E. Payton)
9:57.0,K. Perkins makes 2-pt shot from 2 ft (assist by K. Durant),2,46-22,,
9:47.0,,,46-25,3,V. Oladipo makes 3-pt shot from 25 ft (assist by E. Payton)
9:34.0,Shooting foul by A. Gordon (drawn by K. Durant),,46-25,,
9:34.0,K. Durant makes free throw 1 of 2,1,47-25,,
9:34.0,K. Durant makes free throw 2 of 2,1,48-25,,
9:16.0,,,48-25,,B. Gordon misses 2-pt shot from 7 ft
9:14.0,Defensive rebound by K. Durant,,48-25,,
9:03.0,D. Waiters makes 2-pt shot from 14 ft,2,50-25,,
9:03.0,Shooting foul by V. Oladipo (drawn by D. Waiters),,50-25,,
9:03.0,,,50-25,,N. Vucevic enters the game for K. O'Quinn
9:03.0,D. Waiters makes free throw 1 of 1,1,51-25,,
8:49.0,,,51-27,2,V. Oladipo makes 2-pt shot from 17 ft
8:24.0,R. Jackson makes 2-pt shot from 19 ft,2,53-27,,
8:15.0,,,53-27,,Shooting foul by R. Jackson (drawn by A. Gordon)
8:15.0,Official timeout,,53-27,,
8:15.0,,,53-28,1,A. Gordon makes free throw 1 of 2
8:15.0,,,53-29,1,A. Gordon makes free throw 2 of 2
8:01.0,Turnover by A. Morrow (lost ball; steal by B. Gordon),,53-29,,
7:57.0,,,53-29,,B. Gordon misses 2-pt shot from 1 ft (block by K. Durant)
7:56.0,,,53-29,,Offensive rebound by Team
7:46.0,,,53-29,,B. Gordon misses 3-pt shot from 25 ft
7:45.0,Defensive rebound by K. Perkins,,53-29,,
7:34.0,K. Durant makes 2-pt shot from 6 ft (assist by R. Jackson),2,55-29,,
7:25.0,,,55-29,,N. Vucevic misses 2-pt shot from 8 ft
7:25.0,Defensive rebound by Team,,55-29,,
7:25.0,,,55-29,,Loose ball foul by A. Gordon (drawn by K. Durant)
7:25.0,,,55-29,,C. Frye enters the game for A. Gordon
7:12.0,K. Perkins makes 2-pt shot from 3 ft (assist by K. Durant),2,57-29,,
7:12.0,Shooting foul by B. Gordon (drawn by K. Perkins),,57-29,,
7:12.0,K. Perkins misses free throw 1 of 1,,57-29,,
7:11.0,Offensive rebound by K. Durant,,57-29,,
7:08.0,K. Durant makes 2-pt shot at rim,2,59-29,,
6:57.0,,,59-29,,C. Frye misses 3-pt shot from 24 ft
6:56.0,Defensive rebound by R. Jackson,,59-29,,
6:56.0,,,59-29,,Personal foul by C. Frye (drawn by R. Jackson)
6:56.0,R. Jackson makes free throw 1 of 2,1,60-29,,
6:56.0,,,60-29,,E. Fournier enters the game for B. Gordon
6:56.0,R. Jackson misses free throw 2 of 2,,60-29,,
6:55.0,,,60-29,,Defensive rebound by E. Fournier
6:45.0,,,60-29,,E. Payton misses 2-pt shot from 11 ft
6:42.0,Defensive rebound by K. Perkins,,60-29,,
6:36.0,A. Morrow misses 3-pt shot from 23 ft,,60-29,,
6:33.0,,,60-29,,Defensive rebound by V. Oladipo
6:29.0,,,60-29,,Shooting foul by K. Perkins (drawn by V. Oladipo)
6:29.0,,,60-30,1,V. Oladipo makes free throw 1 of 2
6:29.0,R. Westbrook enters the game for A. Morrow,,60-30,,
6:29.0,,,60-31,1,V. Oladipo makes free throw 2 of 2
6:13.0,K. Perkins makes 2-pt shot at rim (assist by K. Durant),2,62-31,,
5:56.0,,,62-31,,Turnover by C. Frye (bad pass)
5:56.0,,,62-31,,Orlando full timeout
5:44.0,Turnover by K. Durant (bad pass),,62-31,,
5:31.0,,,62-31,,V. Oladipo misses 2-pt shot from 2 ft
5:31.0,,,62-31,,Offensive rebound by N. Vucevic
5:31.0,,,62-31,,N. Vucevic misses 2-pt shot from 3 ft
5:27.0,Defensive rebound by R. Jackson,,62-31,,
5:24.0,R. Jackson misses 3-pt shot from 25 ft,,62-31,,
5:23.0,,,62-31,,Defensive rebound by N. Vucevic
5:15.0,,,62-31,,Turnover by N. Vucevic (lost ball; steal by K. Perkins)
5:09.0,K. Perkins makes 2-pt shot at rim (assist by R. Westbrook),2,64-31,,
4:46.0,,,64-31,,V. Oladipo misses 2-pt shot from 4 ft
4:44.0,Defensive rebound by D. Waiters,,64-31,,
4:41.0,K. Durant makes 2-pt shot at rim (assist by R. Westbrook),2,66-31,,
4:40.0,,,66-31,,Orlando full timeout
4:20.0,,,66-33,2,N. Vucevic makes 2-pt shot from 3 ft (assist by E. Payton)
3:59.0,Shooting foul by N. Vucevic (drawn by K. Perkins),,66-33,,
3:59.0,K. Perkins misses free throw 1 of 2,,66-33,,
3:59.0,Offensive rebound by Team,,66-33,,
3:59.0,S. Ibaka enters the game for D. Waiters,,66-33,,
3:59.0,A. Roberson enters the game for R. Jackson,,66-33,,
3:59.0,K. Perkins makes free throw 2 of 2,1,67-33,,
3:49.0,,,67-35,2,E. Payton makes 2-pt shot at rim
3:32.0,S. Ibaka makes 3-pt shot from 26 ft (assist by R. Westbrook),3,70-35,,
3:27.0,,,70-35,,Turnover by V. Oladipo (bad pass; steal by A. Roberson)
3:27.0,Shooting foul by V. Oladipo (drawn by R. Westbrook),,70-35,,
3:27.0,A. Roberson misses free throw 1 of 2,,70-35,,
3:27.0,Offensive rebound by Team,,70-35,,
3:27.0,,,70-35,,M. Harkless enters the game for V. Oladipo
3:27.0,A. Roberson makes free throw 2 of 2,1,71-35,,
3:20.0,Personal foul by K. Perkins (drawn by N. Vucevic),,71-35,,
3:20.0,S. Adams enters the game for K. Perkins,,71-35,,
3:10.0,,,71-35,,Turnover by E. Payton (bad pass; steal by S. Ibaka)
3:06.0,R. Westbrook makes 2-pt shot at rim (assist by S. Ibaka),2,73-35,,
2:58.0,Personal foul by R. Westbrook (drawn by E. Payton),,73-35,,
2:58.0,Oklahoma City full timeout,,73-35,,
2:58.0,,,73-36,1,E. Payton makes free throw 1 of 2
2:58.0,,,73-36,,E. Payton misses free throw 2 of 2
2:57.0,Defensive rebound by A. Roberson,,73-36,,
2:45.0,Turnover by R. Westbrook (bad pass; steal by C. Frye),,73-36,,
2:45.0,Personal foul by S. Adams (drawn by C. Frye),,73-36,,
2:45.0,,,73-37,1,C. Frye makes free throw 1 of 2
2:45.0,N. Collison enters the game for S. Adams,,73-37,,
2:45.0,,,73-38,1,C. Frye makes free throw 2 of 2
2:26.0,R. Westbrook makes 2-pt shot from 10 ft,2,75-38,,
2:14.0,,,75-41,3,C. Frye makes 3-pt shot from 24 ft (assist by E. Payton)
1:48.0,R. Westbrook misses 2-pt shot from 15 ft,,75-41,,
1:47.0,,,75-41,,Defensive rebound by C. Frye
1:37.0,,,75-41,,C. Frye misses 3-pt shot from 25 ft
1:36.0,Defensive rebound by K. Durant,,75-41,,
1:27.0,K. Durant makes 2-pt shot from 21 ft,2,77-41,,
1:16.0,,,77-43,2,E. Fournier makes 2-pt shot from 1 ft
1:01.0,S. Ibaka misses 3-pt shot from 26 ft,,77-43,,
1:00.0,Offensive rebound by K. Durant,,77-43,,
0:57.0,Shooting foul by C. Frye (drawn by R. Westbrook),,77-43,,
0:57.0,R. Westbrook misses free throw 1 of 2,,77-43,,
0:57.0,Offensive rebound by Team,,77-43,,
0:57.0,R. Westbrook makes free throw 2 of 2,1,78-43,,
0:45.0,,,78-43,,N. Vucevic misses 2-pt shot from 4 ft
0:44.0,Defensive rebound by N. Collison,,78-43,,
0:37.0,K. Durant misses 3-pt shot from 25 ft,,78-43,,
0:36.0,Offensive rebound by A. Roberson,,78-43,,
0:36.0,,,78-43,,Personal foul by E. Fournier (drawn by A. Roberson)
0:36.0,A. Roberson makes free throw 1 of 2,1,79-43,,
0:36.0,A. Roberson misses free throw 2 of 2,,79-43,,
0:36.0,,,79-43,,Defensive rebound by Team
0:19.0,,,79-45,2,N. Vucevic makes 2-pt shot from 6 ft (assist by C. Frye)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,Turnover by R. Westbrook (lost ball; steal by E. Payton),,79-45,,
11:24.0,,,79-45,,E. Payton misses 2-pt shot from 6 ft (block by S. Adams)
11:21.0,,,79-45,,Offensive rebound by V. Oladipo
11:19.0,,,79-48,3,V. Oladipo makes 3-pt shot from 25 ft
11:15.0,Offensive foul by A. Roberson,,79-48,,
11:15.0,Turnover by A. Roberson (offensive foul),,79-48,,
11:07.0,,,79-51,3,C. Frye makes 3-pt shot from 25 ft (assist by E. Payton)
10:37.0,K. Durant misses 2-pt shot from 22 ft,,79-51,,
10:36.0,,,79-51,,Defensive rebound by C. Frye
10:27.0,,,79-54,3,D. Marble makes 3-pt shot from 23 ft (assist by V. Oladipo)
10:26.0,Oklahoma City full timeout,,79-54,,
10:15.0,A. Roberson misses 3-pt shot from 22 ft,,79-54,,
10:14.0,Offensive rebound by S. Adams,,79-54,,
10:12.0,S. Adams misses 2-pt shot from 2 ft (block by C. Frye),,79-54,,
10:10.0,Offensive rebound by R. Westbrook,,79-54,,
9:58.0,S. Ibaka makes 3-pt shot from 25 ft (assist by A. Roberson),3,82-54,,
9:43.0,Personal foul by R. Westbrook (drawn by N. Vucevic),,82-54,,
9:43.0,Technical foul by R. Westbrook (drawn by N. Vucevic),,82-54,,
9:43.0,,,82-55,1,C. Frye makes technical free throw
9:37.0,,,82-55,,V. Oladipo misses 2-pt shot from 2 ft
9:36.0,Defensive rebound by A. Roberson,,82-55,,
9:26.0,Shooting foul by C. Frye (drawn by R. Westbrook),,82-55,,
9:26.0,R. Westbrook misses free throw 1 of 2,,82-55,,
9:26.0,Offensive rebound by Team,,82-55,,
9:26.0,R. Westbrook makes free throw 2 of 2,1,83-55,,
9:16.0,,,83-55,,V. Oladipo misses 2-pt shot from 15 ft
9:15.0,Defensive rebound by S. Ibaka,,83-55,,
9:04.0,Turnover by R. Westbrook (traveling),,83-55,,
8:52.0,,,83-55,,Shooting foul by S. Adams (drawn by N. Vucevic)
8:52.0,,,83-56,1,N. Vucevic makes free throw 1 of 2
8:52.0,,,83-57,1,N. Vucevic makes free throw 2 of 2
8:34.0,A. Roberson makes 3-pt shot from 22 ft (assist by R. Westbrook),3,86-57,,
8:25.0,,,86-57,,C. Frye misses 3-pt shot from 26 ft
8:24.0,Defensive rebound by Team,,86-57,,
8:08.0,K. Durant misses 2-pt shot from 18 ft,,86-57,,
8:08.0,,,86-57,,Defensive rebound by E. Payton
8:08.0,Technical foul by K. Durant,,86-57,,
8:08.0,,,86-58,1,V. Oladipo makes technical free throw
7:47.0,,,86-58,,V. Oladipo misses 3-pt shot from 23 ft
7:46.0,Defensive rebound by S. Adams,,86-58,,
7:46.0,,,86-58,,Personal foul by N. Vucevic (drawn by S. Adams)
7:46.0,,,86-58,,Technical foul by N. Vucevic (drawn by S. Adams)
7:46.0,K. Durant makes technical free throw,1,87-58,,
7:34.0,R. Westbrook misses 3-pt shot from 26 ft,,87-58,,
7:34.0,,,87-58,,Defensive rebound by Team
7:34.0,Loose ball foul by S. Ibaka (drawn by C. Frye),,87-58,,
7:22.0,Personal foul by A. Roberson (drawn by V. Oladipo),,87-58,,
7:19.0,,,87-60,2,V. Oladipo makes 2-pt shot from 1 ft (assist by E. Payton)
7:05.0,Shooting foul by N. Vucevic (drawn by S. Ibaka),,87-60,,
7:05.0,S. Ibaka makes free throw 1 of 2,1,88-60,,
7:05.0,S. Ibaka makes free throw 2 of 2,1,89-60,,
6:47.0,,,89-60,,E. Payton misses 2-pt shot from 2 ft (block by R. Westbrook)
6:45.0,Defensive rebound by K. Durant,,89-60,,
6:43.0,Shooting foul by D. Marble (drawn by K. Durant),,89-60,,
6:43.0,K. Durant makes free throw 1 of 2,1,90-60,,
6:43.0,,,90-60,,E. Fournier enters the game for D. Marble
6:43.0,K. Durant makes free throw 2 of 2,1,91-60,,
6:22.0,,,91-60,,N. Vucevic misses 2-pt shot from 8 ft
6:20.0,Defensive rebound by S. Ibaka,,91-60,,
6:11.0,,,91-60,,Personal foul by N. Vucevic (drawn by S. Adams)
6:11.0,S. Adams misses free throw 1 of 2,,91-60,,
6:11.0,Offensive rebound by Team,,91-60,,
6:11.0,S. Adams misses free throw 2 of 2,,91-60,,
6:10.0,Offensive rebound by K. Durant,,91-60,,
6:06.0,,,91-60,,Personal foul by E. Payton (drawn by K. Durant)
6:06.0,K. Durant makes free throw 1 of 2,1,92-60,,
6:06.0,K. Durant makes free throw 2 of 2,1,93-60,,
5:57.0,,,93-60,,N. Vucevic misses 2-pt shot from 3 ft (block by A. Roberson)
5:55.0,Defensive rebound by K. Durant,,93-60,,
5:52.0,R. Westbrook makes 2-pt shot at rim (assist by K. Durant),2,95-60,,
5:51.0,,,95-60,,Orlando full timeout
5:38.0,,,95-60,,N. Vucevic misses 2-pt shot from 15 ft
5:37.0,Defensive rebound by S. Ibaka,,95-60,,
5:30.0,,,95-60,,Personal foul by N. Vucevic (drawn by S. Adams)
5:30.0,S. Adams makes free throw 1 of 2,1,96-60,,
5:30.0,,,96-60,,D. Dedmon enters the game for N. Vucevic
5:30.0,Turnover by A. Roberson (lane violation.),,96-60,,
5:19.0,,,96-62,2,V. Oladipo makes 2-pt shot from 4 ft
4:54.0,S. Adams misses 2-pt shot from 4 ft,,96-62,,
4:53.0,,,96-62,,Defensive rebound by D. Dedmon
4:39.0,,,96-62,,E. Fournier misses 3-pt shot from 24 ft
4:38.0,,,96-62,,Offensive rebound by E. Payton
4:25.0,,,96-62,,V. Oladipo misses 3-pt shot from 25 ft
4:22.0,Defensive rebound by K. Durant,,96-62,,
4:13.0,Turnover by A. Roberson (bad pass; steal by E. Payton),,96-62,,
4:07.0,,,96-64,2,E. Fournier makes 2-pt shot from 2 ft (assist by V. Oladipo)
3:46.0,Turnover by S. Ibaka (3 sec),,96-64,,
3:46.0,,,96-64,,W. Green enters the game for V. Oladipo
3:46.0,R. Jackson enters the game for R. Westbrook,,96-64,,
3:35.0,,,96-64,,E. Fournier misses 3-pt shot from 24 ft
3:35.0,,,96-64,,Offensive rebound by Team
3:35.0,Loose ball foul by S. Adams (drawn by D. Dedmon),,96-64,,
3:35.0,,,96-65,1,D. Dedmon makes free throw 1 of 2
3:35.0,D. Waiters enters the game for S. Adams,,96-65,,
3:35.0,K. Perkins enters the game for K. Durant,,96-65,,
3:35.0,,,96-66,1,D. Dedmon makes free throw 2 of 2
3:20.0,Turnover by K. Perkins (3 sec),,96-66,,
3:07.0,,,96-69,3,E. Fournier makes 3-pt shot from 24 ft (assist by E. Payton)
2:54.0,R. Jackson makes 2-pt shot from 3 ft,2,98-69,,
2:54.0,Shooting foul by E. Payton (drawn by R. Jackson),,98-69,,
2:54.0,R. Jackson makes free throw 1 of 1,1,99-69,,
2:43.0,,,99-71,2,E. Payton makes 2-pt shot at rim
2:24.0,Turnover by D. Waiters (bad pass; steal by C. Frye),,99-71,,
2:14.0,,,99-71,,C. Frye misses 3-pt shot from 24 ft
2:13.0,,,99-71,,Offensive rebound by D. Dedmon
2:09.0,,,99-71,,E. Fournier misses 3-pt shot from 25 ft
2:07.0,Defensive rebound by S. Ibaka,,99-71,,
1:56.0,K. Perkins misses 2-pt shot from 2 ft,,99-71,,
1:55.0,,,99-71,,Defensive rebound by E. Payton
1:43.0,,,99-71,,D. Dedmon misses 2-pt shot from 8 ft
1:42.0,Defensive rebound by A. Roberson,,99-71,,
1:33.0,Turnover by D. Waiters (bad pass),,99-71,,
1:33.0,,,99-71,,K. O'Quinn enters the game for C. Frye
1:22.0,,,99-73,2,E. Payton makes 2-pt shot from 11 ft
1:09.0,,,99-73,,Personal foul by D. Dedmon (drawn by R. Jackson)
1:09.0,R. Jackson makes free throw 1 of 2,1,100-73,,
1:09.0,R. Jackson makes free throw 2 of 2,1,101-73,,
0:58.0,,,101-73,,Turnover by E. Fournier (bad pass; steal by D. Waiters)
0:54.0,S. Ibaka misses 2-pt shot from 2 ft (block by K. O'Quinn),,101-73,,
0:52.0,Offensive rebound by R. Jackson,,101-73,,
0:52.0,R. Jackson makes 2-pt shot from 1 ft,2,103-73,,
0:46.0,,,103-75,2,E. Payton makes 2-pt shot from 2 ft
0:37.0,D. Waiters misses 2-pt shot from 19 ft,,103-75,,
0:36.0,,,103-75,,Defensive rebound by D. Dedmon
0:21.0,Personal foul by A. Roberson (drawn by E. Fournier),,103-75,,
0:21.0,,,103-76,1,E. Fournier makes free throw 1 of 2
0:21.0,A. Morrow enters the game for A. Roberson,,103-76,,
0:21.0,,,103-76,,D. Marble enters the game for E. Payton
0:21.0,,,103-76,,E. Fournier misses free throw 2 of 2
0:20.0,Defensive rebound by R. Jackson,,103-76,,
0:04.0,S. Ibaka misses 3-pt shot from 25 ft,,103-76,,
0:03.0,,,103-76,,Defensive rebound by D. Marble
0:01.0,,,103-76,,Turnover by D. Marble (bad pass; steal by A. Morrow)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:51.0,,,103-76,,Turnover by V. Oladipo (step out of bounds)
11:38.0,Turnover by D. Waiters (bad pass; steal by B. Gordon),,103-76,,
11:34.0,,,103-76,,Shooting foul by N. Collison (drawn by V. Oladipo)
11:34.0,,,103-77,1,V. Oladipo makes free throw 1 of 2
11:34.0,,,103-78,1,V. Oladipo makes free throw 2 of 2
11:24.0,K. Perkins misses 2-pt shot from 1 ft,,103-78,,
11:24.0,Offensive rebound by N. Collison,,103-78,,
11:24.0,N. Collison misses 2-pt shot at rim,,103-78,,
11:20.0,,,103-78,,Defensive rebound by B. Gordon
11:16.0,,,103-78,,Turnover by W. Green (lost ball; steal by D. Waiters)
11:13.0,D. Waiters makes 2-pt shot at rim,2,105-78,,
10:47.0,,,105-78,,V. Oladipo misses 3-pt shot from 25 ft
10:46.0,,,105-78,,Offensive rebound by K. O'Quinn
10:46.0,,,105-78,,Shooting foul by N. Collison (drawn by K. O'Quinn)
10:46.0,,,105-79,1,K. O'Quinn makes free throw 1 of 2
10:46.0,,,105-79,,K. O'Quinn misses free throw 2 of 2
10:45.0,Defensive rebound by K. Perkins,,105-79,,
10:33.0,Turnover by K. Perkins (3 sec),,105-79,,
10:18.0,,,105-79,,Offensive foul by D. Dedmon
10:18.0,,,105-79,,Turnover by D. Dedmon (offensive foul)
10:00.0,Turnover by R. Jackson (bad pass),,105-79,,
9:51.0,Personal foul by A. Morrow (drawn by B. Gordon),,105-79,,
9:47.0,Personal foul by K. Perkins (drawn by V. Oladipo),,105-79,,
9:34.0,,,105-79,,Shooting foul by N. Collison (drawn by K. O'Quinn)
9:34.0,,,105-80,1,K. O'Quinn makes free throw 1 of 2
9:34.0,,,105-80,,A. Gordon enters the game for W. Green
9:34.0,,,105-80,,K. O'Quinn misses free throw 2 of 2
9:33.0,Defensive rebound by K. Perkins,,105-80,,
9:33.0,,,105-80,,Personal foul by D. Dedmon (drawn by K. Perkins)
9:20.0,A. Morrow misses 2-pt shot from 3 ft,,105-80,,
9:20.0,,,105-80,,Defensive rebound by Team
9:01.0,,,105-80,,V. Oladipo misses 2-pt shot from 12 ft
8:58.0,Defensive rebound by A. Morrow,,105-80,,
8:47.0,D. Waiters makes 2-pt shot from 16 ft (assist by N. Collison),2,107-80,,
8:45.0,,,107-80,,Orlando full timeout
8:45.0,,,107-80,,E. Payton enters the game for B. Gordon
8:45.0,,,107-80,,C. Frye enters the game for K. O'Quinn
8:27.0,,,107-80,,Offensive foul by A. Gordon
