time,Orlando,pts.away,score,pts.home,Sacramento
4:16.0,Offensive rebound by E. Fournier,,16-15,,
4:12.0,V. Oladipo makes 2-pt shot from 1 ft (assist by E. Fournier),2,18-15,,
3:53.0,,,18-17,2,R. Hollins makes 2-pt shot from 2 ft (assist by J. Thompson)
3:45.0,Orlando full timeout,,18-17,,
3:45.0,E. Payton enters the game for E. Fournier,,18-17,,
3:31.0,V. Oladipo makes 2-pt shot from 21 ft,2,20-17,,
3:07.0,,,20-17,,R. Gay misses 3-pt shot from 24 ft
3:06.0,Defensive rebound by D. Dedmon,,20-17,,
2:54.0,C. Frye misses 3-pt shot from 24 ft,,20-17,,
2:54.0,Offensive rebound by Team,,20-17,,
2:54.0,,,20-17,,Loose ball foul by J. Thompson (drawn by D. Dedmon)
2:38.0,V. Oladipo misses 3-pt shot from 23 ft,,20-17,,
2:37.0,,,20-17,,Defensive rebound by R. Gay
2:27.0,,,20-17,,J. Thompson misses 2-pt shot from 19 ft
2:27.0,Defensive rebound by V. Oladipo,,20-17,,
2:16.0,T. Harris makes 2-pt shot from 2 ft (assist by E. Payton),2,22-17,,
1:58.0,,,22-19,2,R. Gay makes 2-pt shot from 3 ft
1:40.0,T. Harris misses 2-pt shot from 7 ft,,22-19,,
1:39.0,,,22-19,,Defensive rebound by R. Gay
1:38.0,Personal block foul by E. Payton (drawn by D. Collison),,22-19,,
1:38.0,,,22-20,1,D. Collison makes free throw 1 of 2
1:38.0,K. O'Quinn enters the game for C. Frye,,22-20,,
1:38.0,B. Gordon enters the game for V. Oladipo,,22-20,,
1:38.0,,,22-20,,N. Stauskas enters the game for J. Thompson
1:38.0,,,22-20,,C. Landry enters the game for B. McLemore
1:38.0,,,22-20,,R. Evans enters the game for R. Hollins
1:38.0,,,22-21,1,D. Collison makes free throw 2 of 2
1:21.0,T. Harris makes 3-pt shot from 23 ft (assist by E. Payton),3,25-21,,
1:00.0,,,25-21,,Shooting foul by K. O'Quinn (drawn by C. Landry)
1:00.0,,,25-22,1,C. Landry makes free throw 1 of 2
1:00.0,,,25-23,1,C. Landry makes free throw 2 of 2
0:45.0,E. Payton misses 2-pt shot from 15 ft,,25-23,,
0:43.0,,,25-23,,Defensive rebound by N. Stauskas
0:34.0,,,25-25,2,D. Collison makes 2-pt shot from 2 ft (assist by R. Gay)
0:23.0,B. Gordon makes 2-pt shot from 17 ft,2,27-25,,
0:03.0,,,27-25,,Shooting foul by E. Payton (drawn by D. Collison)
0:03.0,,,27-26,1,D. Collison makes free throw 1 of 2
0:03.0,,,27-26,,O. Casspi enters the game for R. Gay
0:03.0,,,27-27,1,D. Collison makes free throw 2 of 2
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,B. Gordon makes 2-pt shot from 20 ft (assist by K. O'Quinn),2,29-27,,
11:31.0,Personal foul by K. O'Quinn (drawn by C. Landry),,29-27,,
11:31.0,A. Nicholson enters the game for K. O'Quinn,,29-27,,
11:18.0,,,29-27,,N. Stauskas misses 2-pt shot from 13 ft
11:17.0,,,29-27,,Offensive rebound by R. Evans
11:08.0,,,29-27,,R. Sessions misses 2-pt shot from 17 ft
11:07.0,Defensive rebound by D. Dedmon,,29-27,,
10:59.0,E. Payton makes 2-pt shot from 7 ft,2,31-27,,
10:40.0,,,31-27,,C. Landry misses 2-pt shot from 16 ft
10:40.0,Defensive rebound by Team,,31-27,,
10:40.0,,,31-27,,Loose ball foul by R. Evans (drawn by A. Nicholson)
10:22.0,A. Nicholson misses 2-pt shot from 19 ft,,31-27,,
10:22.0,,,31-27,,Defensive rebound by R. Evans
10:07.0,,,31-27,,R. Sessions misses 2-pt shot from 6 ft (block by D. Dedmon)
10:05.0,Defensive rebound by A. Nicholson,,31-27,,
9:45.0,B. Gordon misses 2-pt shot from 18 ft,,31-27,,
9:44.0,,,31-27,,Defensive rebound by R. Sessions
9:35.0,,,31-27,,O. Casspi misses 2-pt shot from 4 ft
9:34.0,Defensive rebound by A. Nicholson,,31-27,,
9:24.0,Shooting foul by N. Stauskas (drawn by E. Payton),,31-27,,
9:24.0,E. Payton makes free throw 1 of 2,1,32-27,,
9:24.0,E. Payton makes free throw 2 of 2,1,33-27,,
9:10.0,,,33-27,,C. Landry misses 2-pt shot from 4 ft
9:10.0,,,33-27,,Offensive rebound by C. Landry
9:08.0,,,33-27,,C. Landry misses 2-pt shot from 2 ft
9:07.0,,,33-27,,Offensive rebound by R. Evans
9:06.0,,,33-27,,Shooting foul by A. Nicholson (drawn by R. Evans)
9:06.0,,,33-27,,R. Evans misses free throw 1 of 2
9:06.0,,,33-27,,Offensive rebound by Team
9:06.0,,,33-28,1,R. Evans makes free throw 2 of 2
8:54.0,Turnover by A. Nicholson (bad pass; steal by O. Casspi),,33-28,,
8:49.0,,,33-28,,O. Casspi misses 2-pt shot from 2 ft
8:48.0,,,33-28,,Offensive rebound by R. Evans
8:44.0,,,33-28,,R. Evans misses 2-pt shot from 4 ft
8:43.0,Defensive rebound by W. Green,,33-28,,
8:36.0,W. Green makes 2-pt shot from 17 ft,2,35-28,,
8:23.0,,,35-30,2,R. Sessions makes 2-pt shot from 3 ft
8:10.0,W. Green misses 3-pt shot from 24 ft,,35-30,,
8:09.0,Offensive rebound by E. Payton,,35-30,,
8:04.0,E. Payton makes 2-pt shot from 1 ft,2,37-30,,
8:03.0,,,37-30,,Sacramento full timeout
7:50.0,,,37-30,,C. Landry misses 2-pt shot from 6 ft (block by D. Dedmon)
7:50.0,,,37-30,,Offensive rebound by Team
7:43.0,,,37-30,,R. Evans misses 2-pt shot from 7 ft (block by D. Dedmon)
7:41.0,,,37-30,,Offensive rebound by R. Sessions
7:38.0,,,37-30,,R. Sessions misses 2-pt shot from 20 ft
7:38.0,,,37-30,,Offensive rebound by Team
7:26.0,,,37-30,,N. Stauskas misses 3-pt shot from 23 ft
7:26.0,Defensive rebound by Team,,37-30,,
7:07.0,B. Gordon makes 2-pt shot from 16 ft (assist by A. Nicholson),2,39-30,,
6:55.0,Personal foul by W. Green (drawn by R. Sessions),,39-30,,
6:55.0,,,39-30,,R. Gay enters the game for N. Stauskas
6:55.0,,,39-30,,R. McCallum enters the game for O. Casspi
6:55.0,T. Harris enters the game for W. Green,,39-30,,
6:48.0,,,39-30,,Shooting foul by D. Dedmon (drawn by R. Evans)
6:48.0,,,39-31,1,R. Evans makes free throw 1 of 2
6:48.0,,,39-32,1,R. Evans makes free throw 2 of 2
6:35.0,A. Nicholson makes 2-pt shot from 20 ft (assist by B. Gordon),2,41-32,,
6:19.0,,,41-32,,Turnover by C. Landry (traveling)
6:19.0,V. Oladipo enters the game for B. Gordon,,41-32,,
6:09.0,Turnover by E. Payton (bad pass; steal by R. Sessions),,41-32,,
6:08.0,Personal take foul by A. Nicholson (drawn by R. Sessions),,41-32,,
6:08.0,,,41-33,1,R. Sessions makes free throw 1 of 2
6:08.0,,,41-34,1,R. Sessions makes free throw 2 of 2
5:48.0,T. Harris makes 2-pt shot from 17 ft,2,43-34,,
5:31.0,,,43-34,,R. McCallum misses 3-pt shot from 24 ft
5:31.0,Defensive rebound by T. Harris,,43-34,,
5:19.0,D. Dedmon makes 2-pt shot from 9 ft (assist by V. Oladipo),2,45-34,,
4:55.0,,,45-34,,Shooting foul by D. Dedmon (drawn by R. Sessions)
4:55.0,Official timeout,,45-34,,
4:55.0,E. Fournier enters the game for E. Payton,,45-34,,
4:55.0,C. Frye enters the game for A. Nicholson,,45-34,,
4:55.0,,,45-35,1,R. Sessions makes free throw 1 of 2
4:55.0,,,45-36,1,R. Sessions makes free throw 2 of 2
4:31.0,V. Oladipo misses 2-pt shot from 17 ft,,45-36,,
4:30.0,Offensive rebound by D. Dedmon,,45-36,,
4:23.0,E. Fournier misses 3-pt shot from 22 ft,,45-36,,
4:22.0,,,45-36,,Defensive rebound by R. McCallum
4:06.0,,,45-36,,Turnover by R. McCallum (lost ball)
4:06.0,,,45-36,,D. Collison enters the game for C. Landry
4:06.0,,,45-36,,D. Williams enters the game for R. Sessions
4:06.0,,,45-36,,B. McLemore enters the game for R. McCallum
3:53.0,E. Fournier makes 2-pt shot from 2 ft,2,47-36,,
3:32.0,,,47-38,2,R. Gay makes 2-pt shot from 10 ft
3:08.0,E. Fournier misses 3-pt shot from 24 ft,,47-38,,
3:08.0,Offensive rebound by Team,,47-38,,
3:08.0,,,47-38,,Loose ball foul by D. Williams (drawn by C. Frye)
3:08.0,,,47-38,,J. Thompson enters the game for R. Evans
2:59.0,,,47-38,,Personal foul by R. Gay (drawn by T. Harris)
2:59.0,Orlando full timeout,,47-38,,
2:52.0,C. Frye misses 3-pt shot from 25 ft,,47-38,,
2:51.0,,,47-38,,Defensive rebound by D. Collison
2:45.0,,,47-40,2,D. Collison makes 2-pt shot from 1 ft
2:32.0,V. Oladipo misses 2-pt shot from 1 ft,,47-40,,
2:32.0,,,47-40,,Defensive rebound by Team
2:16.0,,,47-42,2,R. Gay makes 2-pt shot from 5 ft
2:16.0,,,47-42,,Shooting foul by C. Frye (drawn by R. Gay)
2:16.0,,,47-43,1,R. Gay makes free throw 1 of 1
2:02.0,V. Oladipo misses 2-pt shot from 17 ft,,47-43,,
2:01.0,Offensive rebound by D. Dedmon,,47-43,,
1:59.0,Turnover by D. Dedmon (traveling),,47-43,,
1:59.0,W. Green enters the game for D. Dedmon,,47-43,,
1:38.0,,,47-43,,B. McLemore misses 3-pt shot from 23 ft
1:37.0,Defensive rebound by T. Harris,,47-43,,
1:33.0,T. Harris makes 2-pt shot at rim (assist by W. Green),2,49-43,,
1:28.0,Personal take foul by W. Green (drawn by D. Collison),,49-43,,
1:28.0,,,49-44,1,D. Collison makes free throw 1 of 2
1:28.0,,,49-45,1,D. Collison makes free throw 2 of 2
1:16.0,Turnover by V. Oladipo (offensive foul),,49-45,,
1:16.0,Offensive charge foul by V. Oladipo,,49-45,,
1:02.0,,,49-47,2,J. Thompson makes 2-pt shot from 8 ft (assist by R. Gay)
0:48.0,T. Harris makes 3-pt shot from 23 ft (assist by V. Oladipo),3,52-47,,
0:34.0,,,52-49,2,J. Thompson makes 2-pt shot at rim (assist by D. Collison)
0:12.0,E. Fournier misses 2-pt shot from 6 ft,,52-49,,
0:11.0,,,52-49,,Defensive rebound by J. Thompson
0:00.0,,,52-49,,D. Collison misses 2-pt shot from 15 ft
0:00.0,,,52-49,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,T. Harris makes 3-pt shot from 22 ft (assist by V. Oladipo),3,55-49,,
11:23.0,,,55-49,,Turnover by J. Thompson (lost ball; steal by K. O'Quinn)
11:20.0,T. Harris makes 2-pt shot from 1 ft (assist by K. O'Quinn),2,57-49,,
11:04.0,,,57-49,,D. Collison misses 3-pt shot from 24 ft
11:02.0,,,57-49,,Offensive rebound by R. Gay
10:56.0,,,57-49,,R. Gay misses 2-pt shot from 10 ft
10:55.0,Defensive rebound by E. Fournier,,57-49,,
10:34.0,E. Fournier misses 3-pt shot from 24 ft,,57-49,,
10:33.0,,,57-49,,Defensive rebound by D. Collison
10:22.0,,,57-51,2,J. Thompson makes 2-pt shot from 6 ft (assist by D. Collison)
10:07.0,Shooting foul by R. Hollins (drawn by V. Oladipo),,57-51,,
10:07.0,V. Oladipo makes free throw 1 of 2,1,58-51,,
10:07.0,V. Oladipo makes free throw 2 of 2,1,59-51,,
9:59.0,Def 3 sec tech foul by K. O'Quinn,,59-51,,
9:59.0,,,59-52,1,R. Gay makes technical free throw
9:49.0,,,59-52,,D. Collison misses 2-pt shot from 8 ft
9:49.0,Defensive rebound by C. Frye,,59-52,,
9:31.0,V. Oladipo misses 3-pt shot from 25 ft,,59-52,,
9:30.0,,,59-52,,Defensive rebound by D. Collison
9:25.0,,,59-52,,Shooting foul by C. Frye (drawn by D. Collison)
9:25.0,,,59-52,,D. Collison misses free throw 1 of 2
9:25.0,,,59-52,,Offensive rebound by Team
9:25.0,,,59-52,,D. Collison misses free throw 2 of 2
9:24.0,Defensive rebound by T. Harris,,59-52,,
9:01.0,K. O'Quinn makes 3-pt shot from 22 ft (assist by E. Fournier),3,62-52,,
8:43.0,,,62-54,2,J. Thompson makes 2-pt shot from 5 ft (assist by R. Gay)
8:27.0,Turnover by K. O'Quinn (lost ball; steal by B. McLemore),,62-54,,
8:24.0,,,62-56,2,R. Gay makes 2-pt shot at rim (assist by B. McLemore)
7:54.0,C. Frye misses 2-pt shot from 20 ft,,62-56,,
7:53.0,,,62-56,,Defensive rebound by J. Thompson
7:46.0,,,62-56,,J. Thompson misses 2-pt shot from 5 ft
7:44.0,,,62-56,,Offensive rebound by J. Thompson
7:42.0,,,62-58,2,J. Thompson makes 2-pt shot from 3 ft
7:42.0,Orlando full timeout,,62-58,,
7:24.0,Shooting foul by R. Gay (drawn by T. Harris),,62-58,,
7:24.0,T. Harris misses free throw 1 of 2,,62-58,,
7:24.0,Offensive rebound by Team,,62-58,,
7:24.0,T. Harris makes free throw 2 of 2,1,63-58,,
7:07.0,,,63-60,2,R. Gay makes 2-pt shot from 4 ft
6:41.0,C. Frye misses 3-pt shot from 26 ft,,63-60,,
6:41.0,Offensive rebound by Team,,63-60,,
6:41.0,Turnover by Team (shot clock),,63-60,,
6:22.0,,,63-60,,Turnover by D. Collison (traveling)
6:09.0,Turnover by C. Frye (traveling),,63-60,,
5:55.0,,,63-60,,Turnover by R. Gay (bad pass; steal by C. Frye)
5:54.0,,,63-60,,Personal foul by B. McLemore (drawn by C. Frye)
5:40.0,V. Oladipo makes 2-pt shot from 10 ft,2,65-60,,
5:29.0,Personal foul by C. Frye (drawn by B. McLemore),,65-60,,
5:20.0,,,65-60,,R. Gay misses 2-pt shot from 7 ft
5:19.0,Defensive rebound by V. Oladipo,,65-60,,
5:10.0,T. Harris makes 3-pt shot from 23 ft (assist by V. Oladipo),3,68-60,,
4:57.0,,,68-60,,D. Collison misses 2-pt shot from 3 ft
4:56.0,Defensive rebound by V. Oladipo,,68-60,,
4:44.0,V. Oladipo makes 2-pt shot from 2 ft (assist by K. O'Quinn),2,70-60,,
4:44.0,,,70-60,,Sacramento full timeout
4:44.0,,,70-60,,R. Sessions enters the game for R. Hollins
4:44.0,,,70-60,,C. Landry enters the game for D. Collison
4:34.0,,,70-60,,Turnover by B. McLemore (step out of bounds)
4:14.0,E. Fournier makes 2-pt shot from 1 ft,2,72-60,,
3:47.0,,,72-60,,R. Sessions misses 3-pt shot from 25 ft
3:46.0,,,72-60,,Offensive rebound by B. McLemore
3:43.0,Personal foul by K. O'Quinn (drawn by C. Landry),,72-60,,
3:43.0,,,72-60,,R. McCallum enters the game for B. McLemore
3:43.0,D. Dedmon enters the game for K. O'Quinn,,72-60,,
3:30.0,,,72-60,,R. Sessions misses 2-pt shot from 8 ft (block by D. Dedmon)
3:28.0,Defensive rebound by D. Dedmon,,72-60,,
3:23.0,E. Fournier misses 2-pt shot from 3 ft (block by R. McCallum),,72-60,,
3:21.0,,,72-60,,Defensive rebound by R. Gay
3:03.0,,,72-62,2,J. Thompson makes 2-pt shot at rim (assist by R. Sessions)
2:42.0,E. Fournier makes 3-pt shot from 24 ft (assist by V. Oladipo),3,75-62,,
2:22.0,,,75-64,2,R. Gay makes 2-pt shot from 3 ft
2:22.0,,,75-64,,Shooting foul by T. Harris (drawn by R. Gay)
2:22.0,E. Payton enters the game for E. Fournier,,75-64,,
2:22.0,,,75-64,,R. Gay misses free throw 1 of 1
2:21.0,Defensive rebound by C. Frye,,75-64,,
2:03.0,T. Harris misses 2-pt shot from 4 ft,,75-64,,
2:02.0,,,75-64,,Defensive rebound by J. Thompson
1:51.0,,,75-64,,R. Gay misses 2-pt shot from 7 ft
1:51.0,Defensive rebound by Team,,75-64,,
1:51.0,,,75-64,,Loose ball foul by C. Landry (drawn by V. Oladipo)
1:51.0,,,75-64,,O. Casspi enters the game for R. Gay
1:36.0,T. Harris misses 3-pt shot from 22 ft,,75-64,,
1:35.0,,,75-64,,Defensive rebound by J. Thompson
1:27.0,,,75-64,,Turnover by R. Sessions (bad pass; steal by E. Payton)
1:24.0,Turnover by E. Payton (lost ball),,75-64,,
1:01.0,,,75-64,,R. Sessions misses 3-pt shot from 25 ft
1:00.0,Defensive rebound by E. Payton,,75-64,,
0:48.0,V. Oladipo misses 2-pt shot from 4 ft,,75-64,,
0:47.0,,,75-64,,Defensive rebound by O. Casspi
0:47.0,Personal foul by D. Dedmon (drawn by O. Casspi),,75-64,,
0:47.0,,,75-65,1,O. Casspi makes free throw 1 of 2
0:47.0,B. Gordon enters the game for V. Oladipo,,75-65,,
0:47.0,,,75-65,,D. Williams enters the game for J. Thompson
0:47.0,,,75-66,1,O. Casspi makes free throw 2 of 2
0:35.0,D. Dedmon makes 2-pt shot at rim (assist by E. Payton),2,77-66,,
0:22.0,,,77-66,,Turnover by O. Casspi (bad pass)
0:02.0,T. Harris misses 2-pt shot from 11 ft,,77-66,,
0:02.0,,,77-66,,Defensive rebound by C. Landry
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,77-66,,C. Landry misses 2-pt shot from 8 ft
11:45.0,Defensive rebound by D. Dedmon,,77-66,,
11:22.0,B. Gordon makes 3-pt shot from 24 ft (assist by E. Payton),3,80-66,,
11:15.0,Personal foul by W. Green (drawn by C. Landry),,80-66,,
11:02.0,,,80-66,,D. Williams misses 2-pt shot from 12 ft
11:02.0,Defensive rebound by D. Dedmon,,80-66,,
10:49.0,B. Gordon makes 2-pt shot from 17 ft,2,82-66,,
10:42.0,,,82-66,,Sacramento full timeout
10:42.0,,,82-66,,D. Collison enters the game for R. McCallum
10:34.0,,,82-68,2,D. Williams makes 2-pt shot from 3 ft (assist by R. Sessions)
10:34.0,,,82-68,,Shooting foul by D. Dedmon (drawn by D. Williams)
10:34.0,,,82-69,1,D. Williams makes free throw 1 of 1
10:21.0,Turnover by E. Payton (bad pass),,82-69,,
10:10.0,,,82-72,3,D. Collison makes 3-pt shot from 24 ft (assist by R. Sessions)
10:10.0,,,82-72,,Shooting foul by B. Gordon (drawn by D. Collison)
10:10.0,K. O'Quinn enters the game for D. Dedmon,,82-72,,
10:10.0,,,82-73,1,D. Collison makes free throw 1 of 1
9:58.0,W. Green misses 2-pt shot from 6 ft,,82-73,,
9:57.0,,,82-73,,Defensive rebound by O. Casspi
9:39.0,,,82-75,2,O. Casspi makes 2-pt shot from 1 ft (assist by R. Sessions)
9:31.0,Orlando full timeout,,82-75,,
9:13.0,W. Green misses 3-pt shot from 24 ft,,82-75,,
9:12.0,Offensive rebound by K. O'Quinn,,82-75,,
9:12.0,Shooting foul by O. Casspi (drawn by K. O'Quinn),,82-75,,
9:12.0,K. O'Quinn makes free throw 1 of 2,1,83-75,,
9:12.0,K. O'Quinn makes free throw 2 of 2,1,84-75,,
9:01.0,,,84-77,2,D. Williams makes 2-pt shot at rim (assist by R. Sessions)
8:44.0,A. Nicholson misses 2-pt shot from 4 ft,,84-77,,
8:43.0,,,84-77,,Defensive rebound by C. Landry
8:37.0,,,84-77,,D. Collison misses 2-pt shot from 2 ft (block by K. O'Quinn)
8:36.0,Defensive rebound by W. Green,,84-77,,
8:31.0,W. Green misses 2-pt shot from 4 ft,,84-77,,
8:28.0,,,84-77,,Defensive rebound by C. Landry
8:08.0,,,84-79,2,D. Williams makes 2-pt shot from 15 ft
8:00.0,,,84-79,,Personal foul by D. Collison (drawn by E. Payton)
8:00.0,T. Harris enters the game for K. O'Quinn,,84-79,,
8:00.0,V. Oladipo enters the game for B. Gordon,,84-79,,
8:00.0,E. Fournier enters the game for W. Green,,84-79,,
8:00.0,C. Frye enters the game for A. Nicholson,,84-79,,
7:42.0,T. Harris misses 2-pt shot from 10 ft,,84-79,,
7:42.0,,,84-79,,Defensive rebound by O. Casspi
7:41.0,Technical foul by T. Harris,,84-79,,
7:41.0,,,84-79,,O. Casspi misses technical free throw
7:41.0,,,84-79,,Offensive rebound by Team
7:41.0,,,84-79,,J. Thompson enters the game for C. Landry
7:25.0,,,84-79,,D. Williams misses 2-pt shot from 17 ft
7:23.0,Defensive rebound by C. Frye,,84-79,,
7:10.0,,,84-79,,R. Gay enters the game for O. Casspi
6:57.0,E. Payton misses 3-pt shot from 24 ft,,84-79,,
6:57.0,,,84-79,,Defensive rebound by Team
6:44.0,,,84-81,2,R. Sessions makes 2-pt shot from 5 ft
6:24.0,E. Fournier misses 3-pt shot from 24 ft,,84-81,,
6:24.0,Offensive rebound by V. Oladipo,,84-81,,
6:24.0,,,84-81,,Loose ball foul by J. Thompson (drawn by V. Oladipo)
6:19.0,V. Oladipo makes 2-pt shot from 2 ft,2,86-81,,
6:02.0,,,86-81,,R. Gay misses 2-pt shot from 1 ft
6:01.0,Defensive rebound by E. Fournier,,86-81,,
5:55.0,E. Fournier makes 2-pt shot from 1 ft (assist by E. Payton),2,88-81,,
5:40.0,,,88-83,2,R. Sessions makes 2-pt shot from 6 ft
5:17.0,E. Fournier makes 2-pt shot from 2 ft (assist by T. Harris),2,90-83,,
4:59.0,,,90-86,3,D. Collison makes 3-pt shot from 24 ft (assist by R. Sessions)
4:35.0,E. Fournier misses 3-pt shot from 24 ft,,90-86,,
4:34.0,,,90-86,,Defensive rebound by R. Gay
4:24.0,,,90-88,2,D. Williams makes 2-pt shot at rim (assist by J. Thompson)
4:09.0,Turnover by V. Oladipo (lost ball; steal by R. Gay),,90-88,,
4:08.0,Personal foul by V. Oladipo (drawn by R. Gay),,90-88,,
3:59.0,,,90-90,2,D. Williams makes 2-pt shot from 1 ft (assist by R. Sessions)
3:38.0,E. Payton makes 2-pt shot from 2 ft,2,92-90,,
3:18.0,,,92-90,,Turnover by D. Williams (lost ball)
2:58.0,E. Payton misses 2-pt shot from 7 ft,,92-90,,
2:56.0,Offensive rebound by E. Payton,,92-90,,
2:56.0,E. Payton misses 2-pt shot from 11 ft (block by R. Gay),,92-90,,
2:55.0,Offensive rebound by C. Frye,,92-90,,
2:54.0,C. Frye makes 3-pt shot from 25 ft,3,95-90,,
2:33.0,,,95-90,,R. Sessions misses 2-pt shot from 13 ft
2:32.0,Defensive rebound by E. Fournier,,95-90,,
2:17.0,V. Oladipo makes 2-pt shot from 18 ft,2,97-90,,
2:17.0,,,97-90,,Sacramento full timeout
1:59.0,,,97-90,,R. Gay misses 2-pt shot from 20 ft
1:58.0,Defensive rebound by E. Payton,,97-90,,
1:39.0,V. Oladipo misses 3-pt shot from 24 ft,,97-90,,
1:38.0,,,97-90,,Defensive rebound by D. Williams
1:19.0,,,97-90,,R. Sessions misses 2-pt shot from 7 ft
1:18.0,Defensive rebound by C. Frye,,97-90,,
1:10.0,Orlando full timeout,,97-90,,
1:10.0,,,97-90,,B. McLemore enters the game for R. Sessions
0:59.0,T. Harris makes 2-pt shot from 16 ft,2,99-90,,
0:47.0,,,99-93,3,D. Williams makes 3-pt shot from 26 ft (assist by R. Gay)
0:34.0,,,99-93,,Personal foul by J. Thompson (drawn by E. Fournier)
0:32.0,,,99-93,,Personal foul by D. Collison (drawn by V. Oladipo)
0:32.0,V. Oladipo makes free throw 1 of 2,1,100-93,,
0:32.0,D. Dedmon enters the game for C. Frye,,100-93,,
0:32.0,V. Oladipo makes free throw 2 of 2,1,101-93,,
0:32.0,,,101-93,,Sacramento full timeout
0:26.0,,,101-93,,D. Collison misses 3-pt shot from 25 ft
0:25.0,,,101-93,,Offensive rebound by J. Thompson
0:21.0,,,101-93,,B. McLemore misses 3-pt shot from 25 ft
0:20.0,Defensive rebound by E. Payton,,101-93,,
