time,Toronto,pts.away,score,pts.home,Portland
0:29.0,Offensive rebound by Team,,85-87,,
0:24.0,K. Lowry misses 2-pt shot from 20 ft,,85-87,,
0:22.0,,,85-87,,Defensive rebound by Team
0:22.0,,,85-87,,Portland full timeout
0:22.0,T. Ross enters the game for G. Vasquez,,85-87,,
0:22.0,,,85-87,,S. Blake enters the game for J. Freeland
0:17.0,,,85-87,,Turnover by N. Batum (bad pass)
0:17.0,,,85-87,,J. Freeland enters the game for S. Blake
0:11.0,K. Lowry misses 2-pt shot from 1 ft (block by J. Freeland),,85-87,,
0:10.0,Offensive rebound by Team,,85-87,,
0:10.0,Toronto full timeout,,85-87,,
0:05.0,A. Johnson makes 2-pt shot from 4 ft,2,87-87,,
0:05.0,,,87-87,,Portland full timeout
0:05.0,,,87-87,,S. Blake enters the game for J. Freeland
0:05.0,J. Johnson enters the game for L. Williams,,87-87,,
0:00.0,,,87-87,,D. Lillard misses 2-pt shot from 1 ft
0:00.0,,,87-87,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
5:00.0,Jump ball: J. Freeland vs. A. Johnson (N. Batum gains possession),,,,Jump ball: J. Freeland vs. A. Johnson (N. Batum gains possession)
4:43.0,Personal foul by K. Lowry (drawn by D. Lillard),,87-87,,
4:34.0,,,87-87,,Turnover by N. Batum (bad pass; steal by K. Lowry)
4:28.0,T. Ross makes 3-pt shot from 24 ft (assist by K. Lowry),3,90-87,,
4:05.0,,,90-90,3,D. Lillard makes 3-pt shot from 26 ft (assist by N. Batum)
3:38.0,K. Lowry misses 2-pt shot from 21 ft,,90-90,,
3:37.0,,,90-90,,Defensive rebound by J. Freeland
3:32.0,,,90-93,3,W. Matthews makes 3-pt shot from 23 ft (assist by D. Lillard)
3:06.0,J. Johnson misses 2-pt shot from 5 ft,,90-93,,
3:06.0,,,90-93,,Defensive rebound by Team
2:50.0,,,90-96,3,N. Batum makes 3-pt shot from 23 ft (assist by D. Lillard)
2:48.0,Toronto full timeout,,90-96,,
2:48.0,G. Vasquez enters the game for J. Johnson,,90-96,,
2:34.0,T. Ross misses 3-pt shot from 24 ft,,90-96,,
2:33.0,,,90-96,,Defensive rebound by L. Aldridge
2:18.0,,,90-96,,D. Lillard misses 3-pt shot from 25 ft
2:17.0,,,90-96,,Offensive rebound by J. Freeland
2:12.0,,,90-96,,N. Batum misses 3-pt shot from 24 ft
2:10.0,Defensive rebound by T. Ross,,90-96,,
1:55.0,G. Vasquez misses 3-pt shot from 24 ft,,90-96,,
1:55.0,,,90-96,,Defensive rebound by J. Freeland
1:49.0,,,90-96,,Turnover by J. Freeland (lost ball; steal by K. Lowry)
1:48.0,,,90-96,,Violation by N. Batum (def goaltending)
1:48.0,P. Patterson makes 2-pt shot at rim (assist by K. Lowry),2,92-96,,
1:30.0,,,92-96,,J. Freeland misses 2-pt shot from 18 ft
1:28.0,Defensive rebound by Team,,92-96,,
1:14.0,Turnover by K. Lowry (lost ball; steal by J. Freeland),,92-96,,
1:08.0,,,92-96,,Turnover by W. Matthews (bad pass; steal by T. Ross)
1:08.0,,,92-96,,Personal foul by D. Lillard (drawn by T. Ross)
0:58.0,K. Lowry makes 2-pt shot from 1 ft (assist by A. Johnson),2,94-96,,
0:49.0,Personal foul by K. Lowry (drawn by D. Lillard),,94-96,,
0:36.0,,,94-96,,W. Matthews misses 3-pt shot from 24 ft
0:35.0,Defensive rebound by G. Vasquez,,94-96,,
0:28.0,K. Lowry misses 2-pt shot from 19 ft,,94-96,,
0:27.0,,,94-96,,Defensive rebound by L. Aldridge
0:23.0,Clear path foul by G. Vasquez,,94-96,,
0:23.0,,,94-96,,N. Batum misses clear path free throw 1 of 2
0:23.0,,,94-96,,Offensive rebound by Team
0:23.0,,,94-97,1,N. Batum makes clear path free throw 2 of 2
0:23.0,,,94-97,,S. Blake enters the game for J. Freeland
0:23.0,,,94-97,,Portland full timeout
0:19.0,Personal take foul by G. Vasquez (drawn by D. Lillard),,94-97,,
0:19.0,,,94-98,1,D. Lillard makes free throw 1 of 2
0:19.0,,,94-99,1,D. Lillard makes free throw 2 of 2
0:19.0,Toronto full timeout,,94-99,,
0:19.0,,,94-99,,J. Freeland enters the game for S. Blake
0:18.0,K. Lowry makes 2-pt shot from 1 ft (assist by G. Vasquez),2,96-99,,
0:17.0,,,96-99,,Portland full timeout
0:17.0,L. Williams enters the game for G. Vasquez,,96-99,,
0:17.0,,,96-99,,S. Blake enters the game for J. Freeland
0:16.0,Personal foul by K. Lowry (drawn by D. Lillard),,96-99,,
0:16.0,,,96-99,,D. Lillard misses free throw 1 of 2
0:16.0,,,96-99,,Offensive rebound by Team
0:16.0,,,96-99,,J. Freeland enters the game for S. Blake
0:16.0,,,96-100,1,D. Lillard makes free throw 2 of 2
0:12.0,,,96-100,,Personal foul by N. Batum (drawn by K. Lowry)
0:12.0,K. Lowry misses free throw 1 of 2,,96-100,,
0:12.0,Offensive rebound by Team,,96-100,,
0:12.0,K. Lowry makes free throw 2 of 2,1,97-100,,
0:07.0,,,97-102,2,J. Freeland makes 2-pt shot at rim (assist by W. Matthews)
0:06.0,Toronto full timeout,,97-102,,
0:06.0,G. Vasquez enters the game for T. Ross,,97-102,,
0:06.0,,,97-102,,S. Blake enters the game for J. Freeland
0:00.0,Turnover by L. Williams (bad pass; steal by D. Lillard),,97-102,,
0:00.0,End of 1st overtime,,,,End of 1st overtime
