time,Charlotte,pts.away,score,pts.home,Houston
3:38.0,B. Biyombo misses free throw 1 of 2,,40-36,,
3:38.0,Offensive rebound by Team,,40-36,,
3:38.0,B. Biyombo makes free throw 2 of 2,1,41-36,,
3:19.0,,,41-36,,Turnover by J. Smith (lost ball; steal by K. Walker)
2:59.0,Turnover by G. Neal (bad pass; steal by J. Smith),,41-36,,
2:51.0,,,41-39,3,J. Harden makes 3-pt shot from 26 ft (assist by P. Beverley)
2:35.0,K. Walker misses 2-pt shot from 17 ft,,41-39,,
2:33.0,,,41-39,,Defensive rebound by D. Howard
2:28.0,,,41-41,2,J. Smith makes 2-pt shot at rim (assist by J. Harden)
2:18.0,Charlotte full timeout,,41-41,,
2:18.0,M. Williams enters the game for C. Zeller,,41-41,,
2:18.0,J. Maxiell enters the game for B. Biyombo,,41-41,,
2:11.0,M. Williams misses 3-pt shot from 24 ft,,41-41,,
2:07.0,Offensive rebound by K. Walker,,41-41,,
2:01.0,M. Williams misses 3-pt shot from 25 ft,,41-41,,
2:00.0,,,41-41,,Defensive rebound by J. Smith
1:50.0,,,41-41,,J. Harden misses 2-pt shot from 1 ft
1:48.0,Defensive rebound by G. Neal,,41-41,,
1:42.0,G. Neal misses 3-pt shot from 24 ft,,41-41,,
1:40.0,Offensive rebound by J. Maxiell,,41-41,,
1:36.0,Turnover by G. Henderson (lost ball),,41-41,,
1:22.0,,,41-41,,Turnover by J. Harden (lost ball; steal by G. Henderson)
1:18.0,G. Henderson makes 2-pt shot from 1 ft,2,43-41,,
1:01.0,,,43-41,,Offensive foul by P. Beverley
1:01.0,,,43-41,,Turnover by P. Beverley (offensive foul)
0:50.0,J. Maxiell makes 2-pt shot from 10 ft (assist by K. Walker),2,45-41,,
0:41.0,,,45-44,3,J. Harden makes 3-pt shot from 25 ft
0:28.0,G. Henderson misses 3-pt shot from 24 ft,,45-44,,
0:26.0,,,45-44,,Defensive rebound by D. Howard
0:04.0,,,45-47,3,P. Beverley makes 3-pt shot from 24 ft (assist by J. Smith)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,,,45-50,3,P. Beverley makes 3-pt shot from 23 ft (assist by J. Harden)
11:30.0,Turnover by K. Walker (bad pass; steal by J. Smith),,45-50,,
11:26.0,,,45-52,2,P. Beverley makes 2-pt shot from 1 ft (assist by J. Smith)
11:07.0,M. Kidd-Gilchrist misses 2-pt shot from 16 ft,,45-52,,
11:06.0,,,45-52,,Defensive rebound by J. Smith
10:58.0,,,45-52,,J. Smith misses 2-pt shot from 6 ft (block by C. Zeller)
10:58.0,,,45-52,,Offensive rebound by Team
10:55.0,,,45-55,3,P. Beverley makes 3-pt shot from 24 ft (assist by T. Ariza)
10:46.0,Offensive foul by C. Zeller,,45-55,,
10:46.0,Turnover by C. Zeller (offensive foul),,45-55,,
10:40.0,,,45-55,,Offensive foul by D. Howard
10:40.0,,,45-55,,Turnover by D. Howard (offensive foul)
10:24.0,Shooting foul by J. Harden (drawn by M. Kidd-Gilchrist),,45-55,,
10:24.0,M. Kidd-Gilchrist makes free throw 1 of 2,1,46-55,,
10:24.0,M. Kidd-Gilchrist makes free throw 2 of 2,1,47-55,,
10:11.0,,,47-55,,P. Beverley misses 3-pt shot from 24 ft
10:11.0,,,47-55,,Offensive rebound by Team
10:11.0,Loose ball foul by B. Biyombo (drawn by D. Howard),,47-55,,
9:53.0,,,47-58,3,J. Harden makes 3-pt shot from 23 ft
9:29.0,C. Zeller makes 2-pt shot from 11 ft (assist by G. Henderson),2,49-58,,
9:09.0,,,49-58,,P. Beverley misses 3-pt shot from 23 ft
9:05.0,,,49-58,,Offensive rebound by Team
8:58.0,,,49-58,,J. Harden misses 3-pt shot from 25 ft
8:57.0,Defensive rebound by C. Zeller,,49-58,,
8:42.0,K. Walker misses 2-pt shot from 10 ft,,49-58,,
8:40.0,,,49-58,,Defensive rebound by D. Howard
8:37.0,,,49-58,,J. Harden misses 2-pt shot from 1 ft (block by M. Kidd-Gilchrist)
8:34.0,,,49-58,,Offensive rebound by P. Beverley
8:31.0,,,49-58,,T. Ariza misses 3-pt shot from 25 ft
8:30.0,,,49-58,,Offensive rebound by P. Beverley
8:22.0,,,49-60,2,D. Howard makes 2-pt shot at rim (assist by J. Harden)
8:22.0,Charlotte full timeout,,49-60,,
8:10.0,,,49-60,,Personal foul by P. Beverley (drawn by K. Walker)
7:55.0,K. Walker misses 3-pt shot from 24 ft,,49-60,,
7:53.0,,,49-60,,Defensive rebound by J. Harden
7:50.0,,,49-60,,P. Beverley misses 2-pt shot from 2 ft (block by K. Walker)
7:48.0,Defensive rebound by B. Biyombo,,49-60,,
7:32.0,B. Biyombo makes 2-pt shot from 12 ft (assist by M. Kidd-Gilchrist),2,51-60,,
7:14.0,,,51-60,,J. Smith misses 2-pt shot from 6 ft
7:12.0,Defensive rebound by B. Biyombo,,51-60,,
7:04.0,Shooting foul by J. Smith (drawn by B. Biyombo),,51-60,,
7:04.0,B. Biyombo misses free throw 1 of 2,,51-60,,
7:04.0,Offensive rebound by Team,,51-60,,
7:04.0,B. Biyombo makes free throw 2 of 2,1,52-60,,
6:49.0,,,52-60,,Turnover by D. Howard (lost ball)
6:25.0,Turnover by Team (shot clock),,52-60,,
6:03.0,,,52-62,2,D. Howard makes 2-pt shot at rim
5:47.0,M. Kidd-Gilchrist makes 2-pt shot from 18 ft (assist by C. Zeller),2,54-62,,
5:31.0,,,54-62,,P. Beverley misses 3-pt shot from 24 ft
5:30.0,Defensive rebound by M. Kidd-Gilchrist,,54-62,,
5:24.0,,,54-62,,Personal foul by T. Ariza (drawn by M. Kidd-Gilchrist)
5:24.0,M. Williams enters the game for C. Zeller,,54-62,,
5:24.0,,,54-62,,D. Motiejunas enters the game for J. Smith
5:06.0,G. Henderson misses 2-pt shot from 13 ft,,54-62,,
5:04.0,,,54-62,,Defensive rebound by J. Harden
4:57.0,,,54-65,3,J. Harden makes 3-pt shot from 25 ft
4:36.0,M. Kidd-Gilchrist makes 2-pt shot from 14 ft,2,56-65,,
4:20.0,,,56-65,,Offensive foul by D. Howard
4:20.0,,,56-65,,Turnover by D. Howard (offensive foul)
4:20.0,,,56-65,,C. Brewer enters the game for T. Ariza
4:20.0,G. Neal enters the game for M. Kidd-Gilchrist,,56-65,,
4:20.0,,,56-65,,J. Dorsey enters the game for D. Howard
4:04.0,G. Henderson makes 2-pt shot from 15 ft,2,58-65,,
3:49.0,,,58-65,,P. Beverley misses 3-pt shot from 23 ft
3:46.0,Defensive rebound by G. Neal,,58-65,,
3:38.0,G. Henderson misses 2-pt shot from 22 ft,,58-65,,
3:36.0,,,58-65,,Defensive rebound by J. Harden
3:30.0,Violation by B. Biyombo (def goaltending),,58-65,,
3:30.0,,,58-67,2,J. Harden makes 2-pt shot from 2 ft
3:12.0,G. Henderson makes 2-pt shot from 11 ft,2,60-67,,
2:46.0,,,60-67,,P. Beverley misses 3-pt shot from 26 ft
2:45.0,Defensive rebound by G. Henderson,,60-67,,
2:22.0,G. Henderson misses 2-pt shot from 18 ft,,60-67,,
2:22.0,Offensive rebound by Team,,60-67,,
2:22.0,Turnover by Team (shot clock),,60-67,,
2:22.0,,,60-67,,Houston full timeout
2:22.0,,,60-67,,J. Terry enters the game for P. Beverley
2:22.0,J. Maxiell enters the game for B. Biyombo,,60-67,,
2:15.0,Personal block foul by G. Henderson (drawn by J. Harden),,60-67,,
2:04.0,,,60-67,,Shooting foul by G. Neal (drawn by J. Harden)
2:04.0,,,60-68,1,J. Harden makes free throw 1 of 2
2:04.0,,,60-69,1,J. Harden makes free throw 2 of 2
1:45.0,K. Walker makes 3-pt shot from 25 ft (assist by G. Neal),3,63-69,,
1:26.0,,,63-71,2,J. Harden makes 2-pt shot from 14 ft
1:06.0,J. Maxiell makes 2-pt shot from 8 ft (assist by K. Walker),2,65-71,,
0:49.0,,,65-71,,Shooting foul by M. Williams (drawn by D. Motiejunas)
0:49.0,,,65-72,1,D. Motiejunas makes free throw 1 of 2
0:49.0,,,65-73,1,D. Motiejunas makes free throw 2 of 2
0:37.0,M. Williams makes 3-pt shot from 23 ft (assist by K. Walker),3,68-73,,
0:33.0,,,68-73,,J. Harden misses 2-pt shot from 2 ft
0:31.0,,,68-73,,Offensive rebound by J. Dorsey
0:10.0,,,68-76,3,J. Harden makes 3-pt shot from 25 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,Shooting foul by C. Brewer (drawn by G. Neal),,68-76,,
11:44.0,G. Neal makes free throw 1 of 3,1,69-76,,
11:44.0,G. Neal misses free throw 2 of 3,,69-76,,
11:44.0,Offensive rebound by Team,,69-76,,
11:44.0,G. Neal makes free throw 3 of 3,1,70-76,,
11:25.0,,,70-76,,Offensive charge foul by J. Dorsey
11:25.0,,,70-76,,Turnover by J. Dorsey (offensive foul)
11:25.0,C. Zeller enters the game for M. Williams,,70-76,,
11:04.0,P. Hairston misses 3-pt shot from 26 ft,,70-76,,
11:03.0,Offensive rebound by Team,,70-76,,
11:03.0,,,70-76,,Loose ball foul by J. Dorsey (drawn by J. Maxiell)
10:56.0,G. Neal misses 3-pt shot from 25 ft,,70-76,,
10:55.0,,,70-76,,Defensive rebound by C. Brewer
10:43.0,,,70-76,,C. Brewer misses 3-pt shot from 23 ft
10:42.0,Defensive rebound by B. Roberts,,70-76,,
10:32.0,Turnover by B. Roberts (bad pass; steal by J. Terry),,70-76,,
10:26.0,,,70-76,,T. Ariza misses 3-pt shot from 25 ft
10:24.0,Defensive rebound by G. Neal,,70-76,,
10:17.0,Turnover by G. Neal (bad pass; steal by T. Ariza),,70-76,,
10:14.0,,,70-78,2,T. Ariza makes 2-pt shot at rim
9:59.0,B. Roberts misses 2-pt shot from 15 ft,,70-78,,
9:57.0,,,70-78,,Defensive rebound by D. Motiejunas
9:46.0,,,70-80,2,D. Motiejunas makes 2-pt shot from 6 ft
9:40.0,Charlotte full timeout,,70-80,,
9:40.0,,,70-80,,J. Smith enters the game for J. Dorsey
9:30.0,C. Zeller misses 2-pt shot from 3 ft (block by J. Smith),,70-80,,
9:30.0,,,70-80,,Defensive rebound by Team
9:16.0,,,70-80,,D. Motiejunas misses 2-pt shot from 7 ft
9:14.0,Defensive rebound by J. Maxiell,,70-80,,
8:50.0,B. Roberts misses 2-pt shot from 14 ft (block by J. Terry),,70-80,,
8:49.0,,,70-80,,Defensive rebound by D. Motiejunas
8:39.0,,,70-80,,D. Motiejunas misses 2-pt shot from 6 ft (block by P. Hairston)
8:34.0,Defensive rebound by J. Maxiell,,70-80,,
8:30.0,P. Hairston makes 2-pt shot from 1 ft (assist by C. Zeller),2,72-80,,
8:13.0,,,72-82,2,D. Motiejunas makes 2-pt shot from 9 ft (assist by T. Ariza)
7:54.0,J. Maxiell misses 2-pt shot from 3 ft (block by J. Smith),,72-82,,
7:52.0,,,72-82,,Defensive rebound by D. Motiejunas
7:47.0,,,72-82,,C. Brewer misses 3-pt shot from 23 ft
7:46.0,Defensive rebound by C. Zeller,,72-82,,
7:37.0,B. Roberts misses 2-pt shot from 19 ft,,72-82,,
7:35.0,,,72-82,,Defensive rebound by Team
7:17.0,,,72-82,,D. Motiejunas misses 2-pt shot from 9 ft
7:16.0,Defensive rebound by C. Zeller,,72-82,,
7:06.0,B. Roberts misses 3-pt shot from 23 ft,,72-82,,
7:05.0,,,72-82,,Defensive rebound by J. Smith
7:00.0,,,72-82,,J. Terry misses 2-pt shot from 14 ft
6:56.0,,,72-82,,Offensive rebound by C. Brewer
6:39.0,,,72-85,3,J. Smith makes 3-pt shot from 25 ft (assist by J. Terry)
6:32.0,Charlotte full timeout,,72-85,,
6:32.0,B. Biyombo enters the game for J. Maxiell,,72-85,,
6:32.0,G. Henderson enters the game for G. Neal,,72-85,,
6:32.0,M. Kidd-Gilchrist enters the game for P. Hairston,,72-85,,
6:32.0,K. Walker enters the game for B. Roberts,,72-85,,
6:21.0,,,72-85,,Personal foul by T. Ariza (drawn by C. Zeller)
6:09.0,Shooting foul by D. Motiejunas (drawn by B. Biyombo),,72-85,,
6:09.0,B. Biyombo makes free throw 1 of 2,1,73-85,,
6:09.0,B. Biyombo misses free throw 2 of 2,,73-85,,
6:09.0,,,73-85,,Defensive rebound by J. Smith
5:50.0,,,73-85,,D. Motiejunas misses 2-pt shot from 8 ft
5:48.0,Defensive rebound by C. Zeller,,73-85,,
5:45.0,Offensive charge foul by M. Kidd-Gilchrist,,73-85,,
5:45.0,Turnover by M. Kidd-Gilchrist (offensive foul),,73-85,,
5:45.0,,,73-85,,Houston full timeout
5:45.0,,,73-85,,D. Howard enters the game for D. Motiejunas
5:45.0,,,73-85,,J. Harden enters the game for C. Brewer
5:45.0,G. Neal enters the game for C. Zeller,,73-85,,
5:33.0,,,73-85,,T. Ariza misses 3-pt shot from 23 ft
5:32.0,Defensive rebound by B. Biyombo,,73-85,,
5:19.0,G. Henderson misses 2-pt shot from 17 ft,,73-85,,
5:19.0,Offensive rebound by Team,,73-85,,
5:19.0,,,73-85,,Loose ball foul by J. Smith (drawn by B. Biyombo)
5:19.0,B. Biyombo makes free throw 1 of 2,1,74-85,,
5:19.0,B. Biyombo makes free throw 2 of 2,1,75-85,,
5:10.0,,,75-87,2,T. Ariza makes 2-pt shot from 2 ft (assist by J. Harden)
5:10.0,,,75-87,,Shooting foul by G. Neal (drawn by T. Ariza)
5:10.0,,,75-88,1,T. Ariza makes free throw 1 of 1
4:55.0,M. Kidd-Gilchrist misses 2-pt shot from 16 ft,,75-88,,
4:54.0,,,75-88,,Defensive rebound by J. Harden
4:35.0,,,75-88,,J. Smith misses 3-pt shot from 24 ft
4:34.0,Defensive rebound by G. Neal,,75-88,,
4:25.0,M. Kidd-Gilchrist makes 2-pt shot from 1 ft (assist by G. Neal),2,77-88,,
4:01.0,,,77-91,3,J. Terry makes 3-pt shot from 23 ft (assist by D. Howard)
