time,Miami,pts.away,score,pts.home,San Antonio
4:11.0,,,32-45,,M. Bonner misses 3-pt shot from 24 ft
4:10.0,,,32-45,,Offensive rebound by T. Duncan
3:54.0,,,32-45,,Turnover by T. Duncan (bad pass; steal by M. Chalmers)
3:29.0,L. Deng makes 2-pt shot from 1 ft (assist by C. Bosh),2,34-45,,
3:10.0,,,34-45,,K. Leonard misses 3-pt shot from 23 ft
3:09.0,Defensive rebound by L. Deng,,34-45,,
2:56.0,,,34-45,,Def 3 sec tech foul by T. Duncan
2:56.0,C. Bosh misses technical free throw,,34-45,,
2:56.0,Offensive rebound by Team,,34-45,,
2:56.0,,,34-45,,B. Diaw enters the game for M. Bonner
2:56.0,,,34-45,,M. Ginobili enters the game for M. Belinelli
2:48.0,C. Bosh makes 2-pt shot from 18 ft,2,36-45,,
2:32.0,,,36-45,,T. Duncan misses 2-pt shot from 3 ft
2:31.0,Defensive rebound by L. Deng,,36-45,,
2:22.0,Turnover by L. Deng (lost ball),,36-45,,
2:05.0,,,36-48,3,T. Parker makes 3-pt shot from 22 ft (assist by M. Ginobili)
1:47.0,S. Napier makes 2-pt shot from 15 ft (assist by C. Andersen),2,38-48,,
1:32.0,Personal foul by M. Chalmers (drawn by T. Parker),,38-48,,
1:27.0,,,38-50,2,T. Duncan makes 2-pt shot at rim (assist by T. Parker)
1:04.0,S. Napier misses 3-pt shot from 25 ft,,38-50,,
1:03.0,,,38-50,,Defensive rebound by B. Diaw
0:46.0,,,38-52,2,K. Leonard makes 2-pt shot from 4 ft (assist by M. Ginobili)
0:26.0,L. Deng makes 3-pt shot from 23 ft (assist by S. Napier),3,41-52,,
0:03.0,,,41-52,,K. Leonard misses 3-pt shot from 22 ft
0:01.0,Defensive rebound by Team,,41-52,,
0:01.0,,,41-52,,Loose ball foul by T. Duncan (drawn by M. Chalmers)
0:00.0,M. Chalmers misses 3-pt shot from 39 ft,,41-52,,
0:00.0,Offensive rebound by Team,,41-52,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,L. Deng makes 2-pt shot at rim (assist by M. Chalmers),2,43-52,,
11:28.0,,,43-52,,T. Parker misses 2-pt shot from 7 ft
11:27.0,Defensive rebound by C. Andersen,,43-52,,
11:17.0,C. Bosh misses 3-pt shot from 24 ft,,43-52,,
11:16.0,,,43-52,,Defensive rebound by K. Leonard
11:10.0,,,43-55,3,K. Leonard makes 3-pt shot from 24 ft
10:46.0,C. Bosh makes 2-pt shot from 13 ft (assist by S. Napier),2,45-55,,
10:27.0,,,45-55,,A. Baynes misses 2-pt shot from 9 ft
10:26.0,Defensive rebound by C. Bosh,,45-55,,
10:16.0,,,45-55,,Shooting block foul by A. Baynes (drawn by M. Chalmers)
10:16.0,M. Chalmers makes free throw 1 of 2,1,46-55,,
10:16.0,M. Chalmers makes free throw 2 of 2,1,47-55,,
10:04.0,,,47-55,,M. Belinelli misses 2-pt shot from 1 ft
10:03.0,Defensive rebound by C. Bosh,,47-55,,
9:53.0,S. Napier misses 2-pt shot at rim,,47-55,,
9:52.0,,,47-55,,Defensive rebound by Team
9:43.0,,,47-55,,Shooting foul by M. Chalmers (drawn by M. Belinelli)
9:43.0,,,47-55,,M. Belinelli misses free throw 1 of 2
9:43.0,,,47-55,,Offensive rebound by Team
9:43.0,,,47-56,1,M. Belinelli makes free throw 2 of 2
9:19.0,M. Chalmers misses 2-pt shot from 8 ft (block by M. Belinelli),,47-56,,
9:17.0,,,47-56,,Defensive rebound by T. Duncan
9:13.0,,,47-56,,Turnover by T. Parker (bad pass)
9:08.0,,,47-56,,Personal foul by M. Belinelli (drawn by C. Andersen)
8:56.0,C. Bosh misses 2-pt shot from 17 ft,,47-56,,
8:53.0,,,47-56,,Defensive rebound by A. Baynes
8:39.0,,,47-56,,K. Leonard misses 3-pt shot from 24 ft
8:38.0,,,47-56,,Offensive rebound by T. Duncan
8:35.0,,,47-56,,K. Leonard misses 3-pt shot from 25 ft
8:34.0,,,47-56,,Offensive rebound by Team
8:25.0,,,47-58,2,T. Duncan makes 2-pt shot from 4 ft (assist by K. Leonard)
8:05.0,C. Andersen misses 2-pt shot from 12 ft,,47-58,,
8:04.0,,,47-58,,Defensive rebound by T. Parker
7:52.0,,,47-58,,T. Duncan misses 2-pt shot from 17 ft
7:51.0,,,47-58,,Offensive rebound by K. Leonard
7:47.0,,,47-58,,T. Parker misses 3-pt shot from 24 ft
7:45.0,Defensive rebound by L. Deng,,47-58,,
7:39.0,C. Andersen makes 2-pt shot from 1 ft (assist by S. Napier),2,49-58,,
7:39.0,,,49-58,,San Antonio full timeout
7:20.0,,,49-60,2,M. Belinelli makes 2-pt shot from 21 ft (assist by K. Leonard)
7:07.0,Turnover by M. Chalmers (bad pass; steal by M. Belinelli),,49-60,,
6:47.0,,,49-62,2,T. Parker makes 2-pt shot from 1 ft
6:30.0,,,49-62,,Personal foul by M. Belinelli (drawn by M. Chalmers)
6:30.0,J. Hamilton enters the game for C. Bosh,,49-62,,
6:30.0,,,49-62,,M. Ginobili enters the game for M. Belinelli
6:16.0,Turnover by Team (shot clock),,49-62,,
6:05.0,,,49-64,2,A. Baynes makes 2-pt shot from 18 ft (assist by T. Parker)
5:45.0,S. Napier misses 3-pt shot from 24 ft,,49-64,,
5:44.0,,,49-64,,Defensive rebound by T. Duncan
5:40.0,,,49-64,,Turnover by K. Leonard (lost ball)
5:24.0,M. Chalmers makes 2-pt shot from 16 ft,2,51-64,,
5:24.0,,,51-64,,Technical foul by A. Baynes
5:24.0,Technical foul by C. Andersen,,51-64,,
5:11.0,,,51-66,2,T. Duncan makes 2-pt shot at rim (assist by M. Ginobili)
4:51.0,C. Andersen makes 2-pt shot from 10 ft (assist by J. Hamilton),2,53-66,,
4:39.0,,,53-66,,K. Leonard misses 2-pt shot from 14 ft
4:38.0,Defensive rebound by L. Deng,,53-66,,
4:32.0,L. Deng misses 2-pt shot from 20 ft,,53-66,,
4:31.0,Offensive rebound by C. Andersen,,53-66,,
4:31.0,C. Andersen makes 2-pt shot from 1 ft,2,55-66,,
4:21.0,,,55-66,,Shooting foul by J. Hamilton (drawn by K. Leonard)
4:21.0,,,55-66,,K. Leonard misses free throw 1 of 2
4:21.0,,,55-66,,Offensive rebound by Team
4:21.0,,,55-66,,B. Diaw enters the game for T. Duncan
4:21.0,,,55-66,,T. Splitter enters the game for A. Baynes
4:21.0,C. Bosh enters the game for C. Andersen,,55-66,,
4:21.0,T. Johnson enters the game for S. Napier,,55-66,,
4:21.0,,,55-67,1,K. Leonard makes free throw 2 of 2
4:08.0,C. Bosh misses 2-pt shot from 13 ft,,55-67,,
4:07.0,,,55-67,,Defensive rebound by T. Parker
3:49.0,,,55-70,3,T. Parker makes 3-pt shot from 24 ft (assist by K. Leonard)
3:48.0,Miami full timeout,,55-70,,
3:48.0,N. Cole enters the game for M. Chalmers,,55-70,,
3:34.0,L. Deng makes 2-pt shot from 17 ft (assist by N. Cole),2,57-70,,
3:15.0,,,57-70,,T. Splitter misses 2-pt shot from 5 ft (block by C. Bosh)
3:14.0,Defensive rebound by T. Johnson,,57-70,,
2:58.0,C. Bosh makes 2-pt shot from 17 ft (assist by N. Cole),2,59-70,,
2:43.0,,,59-70,,B. Diaw misses 2-pt shot from 19 ft
2:42.0,,,59-70,,Offensive rebound by T. Splitter
2:37.0,,,59-70,,Shooting foul by T. Johnson (drawn by K. Leonard)
2:37.0,,,59-71,1,K. Leonard makes free throw 1 of 2
2:37.0,,,59-71,,M. Bonner enters the game for B. Diaw
2:37.0,,,59-72,1,K. Leonard makes free throw 2 of 2
2:26.0,L. Deng misses 2-pt shot from 1 ft,,59-72,,
2:25.0,,,59-72,,Defensive rebound by K. Leonard
2:12.0,,,59-72,,K. Leonard misses 2-pt shot from 12 ft
2:11.0,Defensive rebound by L. Deng,,59-72,,
1:55.0,L. Deng makes 2-pt shot at rim (assist by J. Hamilton),2,61-72,,
1:37.0,,,61-75,3,M. Bonner makes 3-pt shot from 25 ft (assist by M. Ginobili)
1:17.0,T. Johnson misses 2-pt shot at rim,,61-75,,
1:15.0,,,61-75,,Defensive rebound by T. Parker
1:04.0,,,61-75,,T. Splitter misses 2-pt shot from 2 ft
1:01.0,Defensive rebound by L. Deng,,61-75,,
0:53.0,L. Deng misses 2-pt shot from 16 ft,,61-75,,
0:52.0,Offensive rebound by C. Bosh,,61-75,,
0:52.0,C. Bosh misses 2-pt shot at rim,,61-75,,
0:50.0,,,61-75,,Defensive rebound by M. Bonner
0:42.0,,,61-77,2,T. Splitter makes 2-pt shot from 8 ft (assist by M. Bonner)
0:22.0,C. Bosh misses 2-pt shot from 19 ft,,61-77,,
0:21.0,Offensive rebound by N. Cole,,61-77,,
0:07.0,C. Bosh misses 2-pt shot from 7 ft (block by T. Splitter),,61-77,,
0:05.0,,,61-77,,Defensive rebound by K. Leonard
0:00.0,,,61-77,,M. Bonner misses 2-pt shot from 15 ft
0:00.0,,,61-77,,Offensive rebound by M. Bonner
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,61-79,2,D. Green makes 2-pt shot from 1 ft (assist by M. Bonner)
11:24.0,C. Bosh misses 2-pt shot from 14 ft,,61-79,,
11:22.0,Offensive rebound by J. Hamilton,,61-79,,
11:20.0,J. Hamilton misses 2-pt shot at rim,,61-79,,
11:18.0,Offensive rebound by J. Ennis,,61-79,,
11:18.0,J. Ennis makes 2-pt shot at rim,2,63-79,,
11:10.0,,,63-79,,Turnover by M. Ginobili (lost ball)
10:44.0,C. Bosh makes 2-pt shot from 19 ft,2,65-79,,
10:26.0,,,65-79,,T. Splitter misses 2-pt shot at rim (block by J. Ennis)
10:25.0,Defensive rebound by J. Hamilton,,65-79,,
10:24.0,,,65-79,,Personal foul by M. Ginobili (drawn by T. Johnson)
10:13.0,Turnover by T. Johnson (lost ball; steal by M. Bonner),,65-79,,
10:08.0,,,65-81,2,D. Green makes 2-pt shot at rim (assist by P. Mills)
9:44.0,N. Cole misses 3-pt shot from 25 ft,,65-81,,
9:43.0,,,65-81,,Defensive rebound by T. Splitter
9:24.0,,,65-81,,M. Bonner misses 2-pt shot from 6 ft
9:23.0,Defensive rebound by J. Ennis,,65-81,,
9:12.0,C. Bosh misses 2-pt shot from 2 ft (block by D. Green),,65-81,,
9:11.0,,,65-81,,Defensive rebound by M. Bonner
9:03.0,,,65-81,,D. Green misses 2-pt shot from 4 ft
9:01.0,,,65-81,,Offensive rebound by P. Mills
8:50.0,,,65-84,3,M. Ginobili makes 3-pt shot from 25 ft (assist by P. Mills)
8:50.0,Miami full timeout,,65-84,,
8:34.0,N. Cole misses 2-pt shot from 6 ft,,65-84,,
8:34.0,Offensive rebound by Team,,65-84,,
8:34.0,,,65-84,,Loose ball foul by M. Ginobili (drawn by J. Ennis)
8:26.0,,,65-84,,Personal foul by P. Mills (drawn by N. Cole)
8:13.0,J. Hamilton makes 2-pt shot at rim (assist by N. Cole),2,67-84,,
8:04.0,Personal foul by J. Ennis (drawn by D. Green),,67-84,,
7:54.0,,,67-84,,P. Mills misses 3-pt shot from 25 ft
7:53.0,,,67-84,,Offensive rebound by M. Bonner
7:48.0,,,67-84,,Offensive foul by T. Splitter
7:48.0,,,67-84,,Turnover by T. Splitter (offensive foul)
7:36.0,J. Ennis makes 3-pt shot from 25 ft (assist by J. Hamilton),3,70-84,,
7:23.0,,,70-86,2,P. Mills makes 2-pt shot at rim (assist by M. Ginobili)
7:09.0,Turnover by J. Ennis (lost ball; steal by M. Ginobili),,70-86,,
6:54.0,,,70-86,,D. Green misses 2-pt shot from 11 ft
6:53.0,Defensive rebound by J. Hamilton,,70-86,,
6:38.0,Turnover by C. Bosh (lost ball; steal by P. Mills),,70-86,,
6:25.0,,,70-86,,D. Green misses 3-pt shot from 24 ft
6:24.0,Defensive rebound by J. Ennis,,70-86,,
6:23.0,Technical foul by Team,,70-86,,
6:23.0,,,70-87,1,D. Green makes technical free throw
6:23.0,,,70-87,,M. Belinelli enters the game for M. Ginobili
6:08.0,C. Bosh makes 2-pt shot from 18 ft,2,72-87,,
6:08.0,,,72-87,,San Antonio full timeout
5:51.0,,,72-87,,D. Green misses 2-pt shot from 1 ft
5:50.0,Defensive rebound by C. Bosh,,72-87,,
5:36.0,Turnover by J. Hamilton (bad pass; steal by M. Belinelli),,72-87,,
5:22.0,,,72-87,,Turnover by P. Mills (bad pass; steal by T. Johnson)
5:19.0,T. Johnson misses 2-pt shot at rim,,72-87,,
5:17.0,Offensive rebound by T. Johnson,,72-87,,
5:17.0,T. Johnson makes 2-pt shot from 1 ft,2,74-87,,
4:59.0,,,74-90,3,P. Mills makes 3-pt shot from 24 ft (assist by T. Splitter)
4:35.0,C. Bosh misses 2-pt shot from 15 ft,,74-90,,
4:35.0,Offensive rebound by Team,,74-90,,
4:35.0,,,74-90,,Loose ball foul by P. Mills (drawn by J. Hamilton)
4:35.0,,,74-90,,A. Baynes enters the game for T. Splitter
4:35.0,,,74-90,,K. Leonard enters the game for D. Green
4:26.0,C. Bosh misses 2-pt shot from 1 ft,,74-90,,
4:25.0,,,74-90,,Defensive rebound by A. Baynes
4:09.0,,,74-90,,M. Bonner misses 3-pt shot from 23 ft
4:08.0,Defensive rebound by J. Ennis,,74-90,,
4:04.0,Turnover by J. Ennis (bad pass; steal by K. Leonard),,74-90,,
3:51.0,,,74-92,2,M. Belinelli makes 2-pt shot from 18 ft
3:30.0,J. Ennis misses 2-pt shot from 19 ft,,74-92,,
3:30.0,,,74-92,,Defensive rebound by Team
3:30.0,,,74-92,,B. Diaw enters the game for M. Bonner
3:30.0,L. Deng enters the game for C. Bosh,,74-92,,
3:17.0,,,74-94,2,K. Leonard makes 2-pt shot from 19 ft
3:02.0,Shooting foul by B. Diaw (drawn by L. Deng),,74-94,,
3:02.0,L. Deng makes free throw 1 of 2,1,75-94,,
3:02.0,,,75-94,,C. Joseph enters the game for M. Belinelli
3:02.0,,,75-94,,R. Williams enters the game for K. Leonard
3:02.0,S. Napier enters the game for N. Cole,,75-94,,
3:02.0,L. Deng makes free throw 2 of 2,1,76-94,,
2:45.0,,,76-94,,P. Mills misses 2-pt shot from 14 ft
2:44.0,Defensive rebound by J. Ennis,,76-94,,
2:37.0,L. Deng misses 3-pt shot from 24 ft,,76-94,,
2:35.0,,,76-94,,Defensive rebound by A. Baynes
2:20.0,,,76-96,2,C. Joseph makes 2-pt shot at rim (assist by B. Diaw)
2:06.0,T. Johnson makes 2-pt shot from 18 ft,2,78-96,,
1:51.0,,,78-96,,Offensive foul by A. Baynes
1:51.0,,,78-96,,Turnover by A. Baynes (offensive foul)
1:51.0,Official timeout,,78-96,,
1:37.0,J. Hamilton misses 3-pt shot from 24 ft,,78-96,,
1:36.0,,,78-96,,Defensive rebound by P. Mills
1:20.0,,,78-98,2,A. Baynes makes 2-pt shot at rim (assist by R. Williams)
1:11.0,T. Johnson makes 2-pt shot from 10 ft (assist by S. Napier),2,80-98,,
0:52.0,,,80-98,,A. Baynes misses 2-pt shot from 8 ft
0:51.0,,,80-98,,Offensive rebound by C. Joseph
0:37.0,,,80-98,,A. Baynes misses 2-pt shot from 3 ft
0:35.0,,,80-98,,Offensive rebound by A. Baynes
0:34.0,,,80-98,,Turnover by A. Baynes (bad pass; steal by T. Johnson)
0:33.0,,,80-98,,Personal foul by P. Mills (drawn by T. Johnson)
0:33.0,T. Johnson makes free throw 1 of 2,1,81-98,,
0:33.0,T. Johnson makes free throw 2 of 2,1,82-98,,
0:20.0,,,82-98,,R. Williams misses 2-pt shot from 18 ft
0:19.0,Defensive rebound by J. Ennis,,82-98,,
0:10.0,T. Johnson makes 3-pt shot from 25 ft (assist by J. Hamilton),3,85-98,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
