time,Brooklyn,pts.away,score,pts.home,Utah
3:54.0,,,13-17,,Defensive rebound by T. Booker
3:47.0,,,13-20,3,D. Exum makes 3-pt shot from 23 ft (assist by J. Ingles)
3:27.0,J. Jack makes 2-pt shot from 3 ft,2,15-20,,
3:21.0,,,15-20,,Turnover by D. Exum (bad pass; steal by K. Garnett)
3:09.0,,,15-20,,Def 3 sec tech foul by T. Booker
3:09.0,J. Jack makes technical free throw,1,16-20,,
3:09.0,C. Jefferson enters the game for K. Garnett,,16-20,,
3:09.0,,,16-20,,T. Burke enters the game for D. Exum
3:09.0,,,16-20,,R. Gobert enters the game for D. Favors
2:57.0,B. Lopez makes 2-pt shot from 12 ft,2,18-20,,
2:31.0,,,18-20,,T. Booker misses 2-pt shot from 8 ft
2:30.0,Defensive rebound by Team,,18-20,,
2:30.0,Brooklyn full timeout,,18-20,,
2:30.0,,,18-20,,E. Millsap enters the game for J. Ingles
2:15.0,C. Jefferson misses 2-pt shot from 5 ft (block by T. Booker),,18-20,,
2:12.0,,,18-20,,Defensive rebound by E. Millsap
2:09.0,,,18-22,2,E. Millsap makes 2-pt shot at rim
1:57.0,B. Lopez misses 2-pt shot from 17 ft,,18-22,,
1:54.0,,,18-22,,Defensive rebound by R. Gobert
1:49.0,,,18-22,,Shooting foul by C. Jefferson (drawn by G. Hayward)
1:49.0,,,18-22,,G. Hayward misses free throw 1 of 2
1:49.0,,,18-22,,Offensive rebound by Team
1:49.0,,,18-23,1,G. Hayward makes free throw 2 of 2
1:34.0,B. Bogdanovic misses 2-pt shot from 13 ft (block by T. Booker),,18-23,,
1:32.0,,,18-23,,Defensive rebound by T. Booker
1:22.0,,,18-23,,Offensive foul by R. Gobert
1:22.0,,,18-23,,Turnover by R. Gobert (offensive foul)
1:06.0,A. Anderson misses 2-pt shot from 18 ft,,18-23,,
1:05.0,,,18-23,,Defensive rebound by R. Gobert
0:55.0,,,18-23,,Turnover by R. Gobert (lost ball; steal by J. Jack)
0:49.0,Shooting foul by T. Booker (drawn by J. Jack),,18-23,,
0:49.0,J. Jack misses free throw 1 of 2,,18-23,,
0:49.0,Offensive rebound by Team,,18-23,,
0:49.0,J. Jack makes free throw 2 of 2,1,19-23,,
0:31.0,,,19-23,,G. Hayward misses 2-pt shot from 1 ft
0:31.0,,,19-23,,Offensive rebound by R. Gobert
0:31.0,,,19-25,2,R. Gobert makes 2-pt shot at rim
0:15.0,J. Jack makes 2-pt shot from 8 ft,2,21-25,,
0:02.0,,,21-25,,T. Booker misses 3-pt shot from 23 ft
0:01.0,Defensive rebound by B. Lopez,,21-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,B. Lopez misses 2-pt shot from 3 ft,,21-25,,
11:37.0,,,21-25,,Defensive rebound by T. Burke
11:15.0,,,21-25,,Turnover by Team (shot clock)
11:06.0,Shooting foul by T. Burke (drawn by B. Lopez),,21-25,,
11:06.0,B. Lopez misses free throw 1 of 2,,21-25,,
11:06.0,Offensive rebound by Team,,21-25,,
11:06.0,B. Lopez makes free throw 2 of 2,1,22-25,,
10:45.0,,,22-28,3,T. Burke makes 3-pt shot from 25 ft (assist by T. Booker)
10:27.0,,,22-28,,Personal foul by E. Millsap (drawn by D. Morris)
10:12.0,B. Lopez misses 2-pt shot from 14 ft,,22-28,,
10:11.0,,,22-28,,Defensive rebound by D. Exum
9:48.0,,,22-30,2,R. Gobert makes 2-pt shot at rim (assist by D. Exum)
9:38.0,Offensive foul by B. Lopez,,22-30,,
9:38.0,Turnover by B. Lopez (offensive foul),,22-30,,
9:21.0,,,22-33,3,T. Burke makes 3-pt shot from 24 ft (assist by R. Gobert)
9:15.0,Brooklyn full timeout,,22-33,,
9:15.0,,,22-33,,E. Kanter enters the game for T. Booker
9:01.0,J. Johnson makes 2-pt shot from 12 ft,2,24-33,,
8:37.0,,,24-33,,D. Exum misses 3-pt shot from 24 ft
8:36.0,,,24-33,,Offensive rebound by Team
8:36.0,J. Jack enters the game for D. Morris,,24-33,,
8:36.0,K. Garnett enters the game for M. Plumlee,,24-33,,
8:21.0,,,24-33,,T. Burke misses 3-pt shot from 24 ft
8:19.0,,,24-33,,Offensive rebound by E. Kanter
7:57.0,,,24-33,,E. Millsap misses 2-pt shot from 10 ft (block by J. Johnson)
7:55.0,Defensive rebound by K. Garnett,,24-33,,
7:42.0,B. Lopez misses 2-pt shot from 3 ft,,24-33,,
7:41.0,,,24-33,,Defensive rebound by R. Gobert
7:34.0,,,24-33,,T. Burke misses 2-pt shot from 16 ft
7:33.0,Defensive rebound by Team,,24-33,,
7:32.0,M. Plumlee enters the game for B. Lopez,,24-33,,
7:21.0,J. Johnson misses 2-pt shot from 19 ft,,24-33,,
7:19.0,,,24-33,,Defensive rebound by R. Gobert
7:07.0,Personal foul by M. Plumlee (drawn by E. Kanter),,24-33,,
7:07.0,B. Bogdanovic enters the game for A. Anderson,,24-33,,
7:07.0,,,24-33,,J. Ingles enters the game for D. Exum
7:00.0,,,24-36,3,T. Burke makes 3-pt shot from 24 ft (assist by E. Millsap)
6:42.0,J. Johnson makes 2-pt shot from 2 ft,2,26-36,,
6:22.0,,,26-36,,E. Kanter misses 2-pt shot from 3 ft
6:21.0,Defensive rebound by J. Jack,,26-36,,
6:16.0,J. Jack misses 3-pt shot from 24 ft,,26-36,,
6:12.0,,,26-36,,Defensive rebound by R. Gobert
6:08.0,,,26-36,,Shooting foul by B. Bogdanovic (drawn by T. Burke)
6:08.0,,,26-36,,T. Burke misses free throw 1 of 2
6:08.0,,,26-36,,Offensive rebound by Team
6:08.0,,,26-36,,D. Favors enters the game for R. Gobert
6:08.0,,,26-37,1,T. Burke makes free throw 2 of 2
5:47.0,Turnover by J. Johnson (lost ball; steal by E. Millsap),,26-37,,
5:41.0,,,26-40,3,J. Ingles makes 3-pt shot from 24 ft (assist by T. Burke)
5:34.0,Brooklyn full timeout,,26-40,,
5:34.0,Official timeout,,26-40,,
5:34.0,,,26-40,,G. Hayward enters the game for E. Millsap
5:24.0,B. Bogdanovic makes 3-pt shot from 24 ft (assist by J. Jack),3,29-40,,
5:01.0,,,29-43,3,T. Burke makes 3-pt shot from 24 ft (assist by G. Hayward)
4:43.0,M. Plumlee makes 2-pt shot from 1 ft (assist by J. Jack),2,31-43,,
4:22.0,,,31-43,,G. Hayward misses 2-pt shot from 5 ft
4:21.0,Defensive rebound by M. Plumlee,,31-43,,
4:04.0,Turnover by M. Plumlee (lost ball; steal by G. Hayward),,31-43,,
3:59.0,,,31-46,3,G. Hayward makes 3-pt shot from 24 ft (assist by J. Ingles)
3:41.0,B. Bogdanovic makes 2-pt shot at rim (assist by K. Garnett),2,33-46,,
3:29.0,,,33-48,2,T. Burke makes 2-pt shot from 14 ft
3:10.0,J. Johnson misses 3-pt shot from 23 ft,,33-48,,
3:09.0,,,33-48,,Defensive rebound by T. Burke
2:59.0,,,33-48,,E. Kanter misses 2-pt shot from 16 ft
2:58.0,Defensive rebound by M. Plumlee,,33-48,,
2:42.0,Turnover by J. Jack (bad pass; steal by J. Ingles),,33-48,,
2:37.0,,,33-50,2,G. Hayward makes 2-pt shot at rim (assist by J. Ingles)
2:22.0,K. Garnett makes 2-pt shot from 15 ft,2,35-50,,
2:21.0,,,35-50,,Utah full timeout
2:21.0,J. Jordan enters the game for M. Plumlee,,35-50,,
2:21.0,,,35-50,,D. Exum enters the game for T. Burke
2:21.0,,,35-50,,R. Gobert enters the game for E. Kanter
2:06.0,,,35-50,,Turnover by D. Favors (bad pass; steal by K. Garnett)
1:58.0,J. Jack misses 2-pt shot from 17 ft,,35-50,,
1:56.0,,,35-50,,Defensive rebound by D. Favors
1:45.0,Personal foul by J. Jordan (drawn by G. Hayward),,35-50,,
1:34.0,Personal foul by B. Bogdanovic (drawn by J. Ingles),,35-50,,
1:34.0,,,35-51,1,J. Ingles makes free throw 1 of 2
1:34.0,A. Anderson enters the game for B. Bogdanovic,,35-51,,
1:34.0,,,35-52,1,J. Ingles makes free throw 2 of 2
1:19.0,A. Anderson misses 3-pt shot from 23 ft,,35-52,,
1:17.0,,,35-52,,Defensive rebound by R. Gobert
1:05.0,,,35-52,,D. Favors misses 2-pt shot from 2 ft (block by J. Jordan)
1:02.0,Defensive rebound by J. Jordan,,35-52,,
1:01.0,,,35-52,,Personal foul by D. Exum (drawn by J. Jack)
0:55.0,J. Jack makes 2-pt shot from 16 ft,2,37-52,,
0:45.0,,,37-54,2,G. Hayward makes 2-pt shot from 6 ft
0:45.0,,,37-54,,Shooting foul by A. Anderson (drawn by G. Hayward)
0:45.0,,,37-55,1,G. Hayward makes free throw 1 of 1
0:32.0,J. Jack misses 2-pt shot from 17 ft,,37-55,,
0:31.0,,,37-55,,Defensive rebound by R. Gobert
0:11.0,,,37-58,3,J. Ingles makes 3-pt shot from 24 ft (assist by R. Gobert)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,B. Bogdanovic misses 2-pt shot from 5 ft,,37-58,,
11:41.0,,,37-58,,Defensive rebound by D. Favors
11:20.0,,,37-58,,Shooting foul by B. Bogdanovic (drawn by J. Ingles)
11:20.0,,,37-59,1,J. Ingles makes free throw 1 of 2
11:20.0,,,37-60,1,J. Ingles makes free throw 2 of 2
11:03.0,M. Plumlee makes 2-pt shot from 1 ft,2,39-60,,
11:03.0,Shooting foul by D. Favors (drawn by M. Plumlee),,39-60,,
11:03.0,M. Plumlee misses free throw 1 of 1,,39-60,,
11:02.0,,,39-60,,Defensive rebound by D. Favors
10:39.0,,,39-60,,E. Kanter misses 2-pt shot from 14 ft
10:36.0,,,39-60,,Offensive rebound by D. Favors
10:36.0,,,39-62,2,D. Favors makes 2-pt shot at rim
10:24.0,Turnover by M. Plumlee (bad pass),,39-62,,
10:15.0,,,39-62,,Turnover by D. Exum (bad pass; steal by M. Plumlee)
10:14.0,Turnover by M. Plumlee (step out of bounds),,39-62,,
10:03.0,,,39-64,2,D. Favors makes 2-pt shot at rim (assist by D. Exum)
9:47.0,B. Bogdanovic misses 3-pt shot from 23 ft,,39-64,,
9:46.0,Offensive rebound by M. Plumlee,,39-64,,
9:43.0,B. Bogdanovic makes 2-pt shot from 1 ft (assist by M. Plumlee),2,41-64,,
9:26.0,,,41-64,,Utah full timeout
9:17.0,,,41-64,,J. Ingles misses 2-pt shot from 15 ft
9:17.0,,,41-64,,Offensive rebound by Team
9:17.0,Personal foul by K. Garnett (drawn by D. Favors),,41-64,,
9:04.0,,,41-64,,E. Kanter misses 2-pt shot from 10 ft (block by K. Garnett)
9:01.0,,,41-64,,Offensive rebound by E. Kanter
8:56.0,,,41-67,3,J. Ingles makes 3-pt shot from 24 ft (assist by G. Hayward)
8:43.0,Offensive foul by M. Plumlee,,41-67,,
8:43.0,Turnover by M. Plumlee (offensive foul),,41-67,,
8:24.0,,,41-70,3,D. Exum makes 3-pt shot from 23 ft (assist by J. Ingles)
8:04.0,M. Plumlee makes 2-pt shot at rim (assist by K. Garnett),2,43-70,,
7:39.0,,,43-70,,E. Kanter misses 2-pt shot from 2 ft (block by M. Plumlee)
7:37.0,Defensive rebound by K. Garnett,,43-70,,
7:31.0,J. Jack misses 2-pt shot from 14 ft,,43-70,,
7:30.0,,,43-70,,Defensive rebound by Team
7:08.0,,,43-70,,G. Hayward misses 3-pt shot from 24 ft
7:08.0,Defensive rebound by Team,,43-70,,
6:56.0,J. Johnson makes 2-pt shot from 17 ft,2,45-70,,
6:38.0,,,45-70,,J. Ingles misses 3-pt shot from 25 ft
6:35.0,Defensive rebound by M. Plumlee,,45-70,,
6:27.0,Turnover by J. Jack (bad pass; steal by G. Hayward),,45-70,,
6:22.0,,,45-70,,Turnover by G. Hayward (bad pass; steal by J. Jack)
6:16.0,J. Jack misses 2-pt shot from 5 ft,,45-70,,
6:13.0,Offensive rebound by J. Jack,,45-70,,
6:03.0,Offensive foul by K. Garnett,,45-70,,
6:03.0,Turnover by K. Garnett (offensive foul),,45-70,,
6:03.0,S. Karasev enters the game for B. Bogdanovic,,45-70,,
6:03.0,B. Lopez enters the game for K. Garnett,,45-70,,
6:03.0,,,45-70,,R. Gobert enters the game for E. Kanter
5:50.0,Personal foul by S. Karasev (drawn by J. Ingles),,45-70,,
5:36.0,,,45-70,,R. Gobert misses 3-pt shot from 4 ft (block by M. Plumlee)
5:36.0,,,45-70,,Offensive rebound by Team
5:36.0,,,45-70,,Turnover by Team (shot clock)
5:15.0,S. Karasev makes 3-pt shot from 25 ft (assist by J. Jack),3,48-70,,
4:50.0,,,48-70,,J. Ingles misses 3-pt shot from 26 ft
4:46.0,,,48-70,,Offensive rebound by R. Gobert
4:46.0,,,48-72,2,R. Gobert makes 2-pt shot at rim
4:32.0,,,48-72,,Personal foul by G. Hayward (drawn by M. Plumlee)
4:17.0,B. Lopez misses 2-pt shot from 18 ft,,48-72,,
4:16.0,,,48-72,,Defensive rebound by G. Hayward
4:08.0,,,48-72,,G. Hayward misses 3-pt shot from 24 ft
4:07.0,Defensive rebound by Team,,48-72,,
3:53.0,B. Lopez misses 2-pt shot at rim (block by D. Favors),,48-72,,
3:50.0,,,48-72,,Defensive rebound by D. Exum
3:36.0,,,48-72,,D. Favors misses 2-pt shot from 15 ft
3:35.0,Defensive rebound by J. Jack,,48-72,,
3:29.0,J. Jack makes 2-pt shot from 16 ft,2,50-72,,
3:04.0,,,50-74,2,G. Hayward makes 2-pt shot from 5 ft
2:52.0,Shooting foul by D. Exum (drawn by J. Jack),,50-74,,
2:52.0,Brooklyn full timeout,,50-74,,
2:52.0,,,50-74,,T. Burke enters the game for D. Exum
2:52.0,,,50-74,,E. Millsap enters the game for J. Ingles
2:52.0,J. Jack makes free throw 1 of 2,1,51-74,,
2:52.0,A. Anderson enters the game for J. Johnson,,51-74,,
2:52.0,J. Jack misses free throw 2 of 2,,51-74,,
2:51.0,,,51-74,,Defensive rebound by G. Hayward
2:29.0,,,51-76,2,G. Hayward makes 2-pt shot from 21 ft
2:15.0,Shooting foul by R. Gobert (drawn by M. Plumlee),,51-76,,
2:15.0,M. Plumlee misses free throw 1 of 2,,51-76,,
2:15.0,Offensive rebound by Team,,51-76,,
2:15.0,M. Plumlee makes free throw 2 of 2,1,52-76,,
1:57.0,,,52-78,2,D. Favors makes 2-pt shot from 1 ft
1:47.0,S. Karasev makes 3-pt shot from 24 ft (assist by J. Jack),3,55-78,,
1:37.0,Personal foul by S. Karasev (drawn by D. Favors),,55-78,,
1:24.0,,,55-78,,T. Burke misses 3-pt shot from 24 ft
1:23.0,Defensive rebound by Team,,55-78,,
1:13.0,M. Plumlee makes 2-pt shot from 3 ft (assist by J. Jack),2,57-78,,
1:01.0,Personal foul by M. Plumlee (drawn by D. Favors),,57-78,,
1:01.0,,,57-78,,D. Favors misses free throw 1 of 2
1:01.0,,,57-78,,Offensive rebound by Team
1:01.0,J. Jordan enters the game for M. Plumlee,,57-78,,
1:01.0,,,57-79,1,D. Favors makes free throw 2 of 2
0:51.0,J. Jack misses 2-pt shot from 21 ft,,57-79,,
0:49.0,Offensive rebound by B. Lopez,,57-79,,
0:49.0,B. Lopez misses 2-pt shot from 2 ft,,57-79,,
0:47.0,,,57-79,,Defensive rebound by D. Favors
0:41.0,,,57-79,,Turnover by G. Hayward (lost ball; steal by A. Anderson)
0:39.0,,,57-79,,Personal foul by E. Millsap (drawn by J. Jack)
0:39.0,J. Jack makes free throw 1 of 2,1,58-79,,
0:39.0,,,58-79,,T. Booker enters the game for D. Favors
0:39.0,J. Jack makes free throw 2 of 2,1,59-79,,
0:31.0,,,59-79,,T. Booker misses 3-pt shot from 25 ft
0:30.0,Defensive rebound by J. Jack,,59-79,,
0:05.0,J. Jack misses 3-pt shot from 23 ft,,59-79,,
0:03.0,,,59-79,,Defensive rebound by G. Hayward
0:00.0,,,59-81,2,T. Booker makes 2-pt shot from 1 ft (assist by G. Hayward)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:36.0,,,59-81,,T. Burke misses 2-pt shot from 19 ft
11:35.0,Defensive rebound by A. Anderson,,59-81,,
11:20.0,D. Morris misses 3-pt shot from 24 ft,,59-81,,
11:19.0,,,59-81,,Defensive rebound by R. Gobert
11:08.0,,,59-81,,E. Millsap misses 2-pt shot from 3 ft (block by B. Lopez)
11:08.0,,,59-81,,Offensive rebound by Team
11:03.0,,,59-81,,D. Exum misses 3-pt shot from 23 ft
11:02.0,Defensive rebound by B. Lopez,,59-81,,
10:53.0,B. Lopez makes 2-pt shot from 10 ft (assist by D. Morris),2,61-81,,
10:36.0,,,61-81,,E. Millsap misses 3-pt shot from 24 ft
10:35.0,Defensive rebound by A. Anderson,,61-81,,
10:28.0,S. Karasev misses 3-pt shot from 23 ft,,61-81,,
10:26.0,,,61-81,,Defensive rebound by R. Gobert
10:15.0,,,61-81,,Turnover by E. Millsap (step out of bounds)
10:15.0,,,61-81,,D. Favors enters the game for R. Gobert
10:01.0,Turnover by S. Karasev (lost ball),,61-81,,
9:46.0,,,61-81,,T. Burke misses 3-pt shot from 24 ft
9:45.0,Defensive rebound by B. Lopez,,61-81,,
9:45.0,,,61-81,,J. Ingles enters the game for D. Exum
9:26.0,J. Jordan misses 2-pt shot at rim (block by D. Favors),,61-81,,
9:26.0,Offensive rebound by B. Lopez,,61-81,,
9:26.0,Shooting foul by T. Booker (drawn by B. Lopez),,61-81,,
9:26.0,B. Lopez misses free throw 1 of 2,,61-81,,
9:26.0,Offensive rebound by Team,,61-81,,
9:26.0,B. Lopez makes free throw 2 of 2,1,62-81,,
9:09.0,,,62-81,,Turnover by T. Booker (bad pass; steal by A. Anderson)
9:06.0,Turnover by A. Anderson (lost ball; steal by T. Booker),,62-81,,
8:55.0,,,62-81,,Shooting foul by B. Lopez (drawn by D. Favors)
8:55.0,Official timeout,,62-81,,
8:55.0,,,62-81,,R. Gobert enters the game for T. Booker
8:55.0,,,62-81,,D. Exum enters the game for E. Millsap
8:55.0,,,62-82,1,D. Favors makes free throw 1 of 2
8:55.0,,,62-83,1,D. Favors makes free throw 2 of 2
8:42.0,D. Morris makes 2-pt shot from 5 ft,2,64-83,,
8:26.0,,,64-86,3,D. Exum makes 3-pt shot from 25 ft (assist by D. Favors)
8:12.0,Turnover by J. Jordan (bad pass),,64-86,,
8:12.0,,,64-86,,E. Kanter enters the game for R. Gobert
8:00.0,,,64-86,,D. Favors misses 2-pt shot from 18 ft
7:58.0,Defensive rebound by S. Karasev,,64-86,,
7:49.0,S. Karasev misses 3-pt shot from 25 ft,,64-86,,
7:46.0,,,64-86,,Defensive rebound by D. Favors
7:33.0,,,64-88,2,E. Kanter makes 2-pt shot from 16 ft
7:16.0,D. Morris misses 2-pt shot from 19 ft,,64-88,,
7:15.0,,,64-88,,Defensive rebound by D. Exum
7:09.0,,,64-90,2,T. Burke makes 2-pt shot at rim (assist by D. Exum)
7:07.0,Brooklyn full timeout,,64-90,,
7:07.0,,,64-90,,G. Hayward enters the game for D. Exum
7:07.0,J. Jack enters the game for D. Morris,,64-90,,
7:07.0,C. Jefferson enters the game for J. Jordan,,64-90,,
7:07.0,M. Brown enters the game for A. Anderson,,64-90,,
6:47.0,M. Brown misses 2-pt shot from 17 ft,,64-90,,
6:45.0,,,64-90,,Defensive rebound by D. Favors
6:30.0,,,64-92,2,T. Burke makes 2-pt shot from 22 ft
6:21.0,Turnover by B. Lopez (lost ball; steal by G. Hayward),,64-92,,
6:17.0,,,64-94,2,G. Hayward makes 2-pt shot at rim
5:47.0,Turnover by Team (shot clock),,64-94,,
5:33.0,,,64-94,,E. Kanter misses 2-pt shot from 2 ft (block by C. Jefferson)
5:33.0,Defensive rebound by Team,,64-94,,
5:33.0,,,64-94,,T. Booker enters the game for D. Favors
5:25.0,Turnover by J. Jack (lost ball; steal by T. Burke),,64-94,,
5:21.0,,,64-96,2,G. Hayward makes 2-pt shot at rim (assist by T. Burke)
5:21.0,,,64-96,,Shooting foul by B. Lopez (drawn by G. Hayward)
5:21.0,,,64-96,,E. Millsap enters the game for J. Ingles
5:21.0,D. Morris enters the game for J. Jack,,64-96,,
5:21.0,J. Jordan enters the game for B. Lopez,,64-96,,
5:21.0,,,64-97,1,G. Hayward makes free throw 1 of 1
5:12.0,,,64-97,,Violation by E. Kanter (kicked ball)
5:12.0,,,64-97,,I. Clark enters the game for G. Hayward
5:04.0,M. Brown misses 2-pt shot from 18 ft,,64-97,,
5:02.0,Offensive rebound by J. Jordan,,64-97,,
4:57.0,D. Morris makes 3-pt shot from 25 ft (assist by J. Jordan),3,67-97,,
4:37.0,,,67-99,2,E. Kanter makes 2-pt shot from 2 ft
4:26.0,C. Jefferson misses 2-pt shot from 19 ft,,67-99,,
4:24.0,,,67-99,,Defensive rebound by I. Clark
4:19.0,,,67-99,,Turnover by E. Kanter (bad pass)
4:07.0,Turnover by D. Morris (bad pass; steal by E. Millsap),,67-99,,
4:01.0,,,67-101,2,I. Clark makes 2-pt shot from 1 ft (assist by E. Millsap)
3:39.0,D. Morris misses 2-pt shot from 2 ft,,67-101,,
3:37.0,Offensive rebound by S. Karasev,,67-101,,
3:37.0,S. Karasev misses 2-pt shot from 2 ft,,67-101,,
3:33.0,,,67-101,,Defensive rebound by E. Millsap
3:31.0,,,67-101,,Turnover by E. Millsap (lost ball; steal by S. Karasev)
3:27.0,Turnover by S. Karasev (bad pass),,67-101,,
3:27.0,,,67-101,,Utah full timeout
3:27.0,,,67-101,,E. Williams enters the game for E. Millsap
3:06.0,,,67-101,,T. Burke misses 3-pt shot from 24 ft
3:01.0,Defensive rebound by D. Morris,,67-101,,
2:54.0,C. Jefferson makes 2-pt shot at rim (assist by D. Morris),2,69-101,,
2:31.0,,,69-101,,E. Williams misses 2-pt shot from 13 ft (block by M. Brown)
2:29.0,Defensive rebound by J. Jordan,,69-101,,
2:24.0,J. Jordan makes 2-pt shot at rim (assist by D. Morris),2,71-101,,
2:01.0,,,71-103,2,T. Booker makes 2-pt shot from 2 ft (assist by T. Burke)
1:56.0,,,71-103,,Personal foul by T. Burke (drawn by D. Morris)
1:56.0,,,71-103,,E. Millsap enters the game for T. Burke
1:56.0,,,71-103,,J. Evans enters the game for T. Booker
1:47.0,J. Jordan makes 2-pt shot at rim (assist by S. Karasev),2,73-103,,
1:32.0,,,73-103,,J. Evans misses 2-pt shot from 1 ft (block by J. Jordan)
1:32.0,,,73-103,,Offensive rebound by Team
1:29.0,,,73-103,,Turnover by E. Kanter (step out of bounds)
1:13.0,C. Jefferson misses 2-pt shot from 17 ft,,73-103,,
1:12.0,,,73-103,,Defensive rebound by E. Kanter
0:57.0,,,73-103,,I. Clark misses 3-pt shot from 25 ft
0:56.0,Defensive rebound by S. Karasev,,73-103,,
0:49.0,D. Morris misses 2-pt shot from 2 ft,,73-103,,
0:48.0,,,73-103,,Defensive rebound by J. Evans
0:41.0,,,73-105,2,E. Kanter makes 2-pt shot from 1 ft (assist by I. Clark)
0:31.0,J. Jordan misses 2-pt shot from 19 ft,,73-105,,
0:29.0,,,73-105,,Defensive rebound by J. Evans
0:11.0,,,73-108,3,E. Millsap makes 3-pt shot from 24 ft (assist by E. Williams)
0:06.0,D. Morris misses 2-pt shot from 6 ft (block by J. Evans),,73-108,,
0:06.0,Offensive rebound by Team,,73-108,,
0:02.0,D. Morris misses 3-pt shot from 23 ft,,73-108,,
0:01.0,,,73-108,,Defensive rebound by I. Clark
0:00.0,End of 4th quarter,,,,End of 4th quarter
