time,Brooklyn,pts.away,score,pts.home,Golden State
0:00.0,M. Plumlee misses 3-pt shot from 70 ft,,55-66,,
0:00.0,Offensive rebound by Team,,55-66,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,,,55-69,3,S. Curry makes 3-pt shot from 24 ft (assist by A. Bogut)
11:14.0,K. Garnett misses 2-pt shot from 9 ft,,55-69,,
11:13.0,,,55-69,,Defensive rebound by D. Green
11:03.0,,,55-69,,Turnover by K. Thompson (bad pass; steal by J. Johnson)
10:55.0,J. Johnson misses 3-pt shot from 26 ft,,55-69,,
10:54.0,,,55-69,,Defensive rebound by H. Barnes
10:44.0,,,55-69,,K. Thompson misses 3-pt shot from 26 ft
10:43.0,Defensive rebound by J. Johnson,,55-69,,
10:23.0,B. Lopez misses 2-pt shot from 3 ft (block by D. Green),,55-69,,
10:21.0,,,55-69,,Defensive rebound by S. Curry
10:13.0,,,55-69,,S. Curry misses 3-pt shot from 26 ft
10:12.0,Defensive rebound by K. Garnett,,55-69,,
9:57.0,D. Williams misses 3-pt shot from 26 ft,,55-69,,
9:56.0,,,55-69,,Defensive rebound by D. Green
9:44.0,,,55-69,,K. Thompson misses 3-pt shot from 25 ft
9:43.0,Defensive rebound by J. Johnson,,55-69,,
9:30.0,Shooting foul by S. Curry (drawn by J. Johnson),,55-69,,
9:30.0,J. Johnson makes free throw 1 of 2,1,56-69,,
9:30.0,J. Johnson makes free throw 2 of 2,1,57-69,,
9:21.0,,,57-69,,H. Barnes misses 3-pt shot from 23 ft
9:20.0,Defensive rebound by K. Garnett,,57-69,,
9:14.0,J. Johnson misses 2-pt shot from 2 ft,,57-69,,
9:13.0,,,57-69,,Defensive rebound by H. Barnes
9:06.0,,,57-69,,Turnover by D. Green (bad pass; steal by D. Williams)
8:58.0,B. Lopez makes 2-pt shot from 2 ft (assist by K. Garnett),2,59-69,,
8:58.0,,,59-69,,Golden State full timeout
8:37.0,Personal foul by K. Garnett (drawn by A. Bogut),,59-69,,
8:33.0,,,59-69,,K. Thompson misses 2-pt shot from 15 ft
8:31.0,Defensive rebound by B. Lopez,,59-69,,
8:23.0,B. Lopez misses 2-pt shot from 18 ft,,59-69,,
8:22.0,,,59-69,,Defensive rebound by D. Green
8:12.0,,,59-69,,K. Thompson misses 2-pt shot from 3 ft
8:12.0,,,59-69,,Offensive rebound by K. Thompson
8:12.0,,,59-69,,Shooting foul by K. Garnett (drawn by K. Thompson)
8:12.0,,,59-70,1,K. Thompson makes free throw 1 of 2
8:12.0,M. Teletovic enters the game for K. Garnett,,59-70,,
8:12.0,,,59-71,1,K. Thompson makes free throw 2 of 2
7:55.0,D. Williams makes 2-pt shot from 16 ft (assist by J. Johnson),2,61-71,,
7:41.0,,,61-71,,Turnover by S. Curry (bad pass; steal by J. Johnson)
7:35.0,D. Williams misses 2-pt shot from 6 ft (block by A. Bogut),,61-71,,
7:34.0,Offensive rebound by Team,,61-71,,
7:27.0,J. Johnson misses 3-pt shot from 23 ft,,61-71,,
7:26.0,,,61-71,,Defensive rebound by A. Bogut
7:16.0,,,61-74,3,D. Green makes 3-pt shot from 27 ft (assist by S. Curry)
6:50.0,J. Johnson makes 2-pt shot from 4 ft,2,63-74,,
6:37.0,,,63-76,2,D. Green makes 2-pt shot from 2 ft (assist by A. Bogut)
6:30.0,,,63-76,,Violation by S. Curry (kicked ball)
6:30.0,M. Plumlee enters the game for B. Lopez,,63-76,,
6:17.0,J. Johnson makes 2-pt shot from 5 ft,2,65-76,,
6:07.0,,,65-78,2,A. Bogut makes 2-pt shot from 1 ft (assist by S. Curry)
5:57.0,B. Bogdanovic misses 3-pt shot from 25 ft,,65-78,,
5:56.0,Offensive rebound by Team,,65-78,,
5:56.0,,,65-78,,M. Speights enters the game for A. Bogut
5:46.0,J. Johnson misses 2-pt shot from 8 ft,,65-78,,
5:45.0,,,65-78,,Defensive rebound by M. Speights
5:30.0,,,65-78,,Turnover by M. Speights (bad pass; steal by J. Johnson)
5:19.0,Turnover by M. Teletovic (traveling),,65-78,,
5:19.0,,,65-78,,A. Iguodala enters the game for H. Barnes
5:08.0,,,65-80,2,S. Curry makes 2-pt shot at rim
4:44.0,D. Williams makes 3-pt shot from 24 ft (assist by B. Bogdanovic),3,68-80,,
4:34.0,Personal foul by D. Williams (drawn by S. Curry),,68-80,,
4:26.0,,,68-82,2,K. Thompson makes 2-pt shot from 1 ft (assist by D. Green)
4:17.0,M. Plumlee makes 2-pt shot from 1 ft (assist by D. Williams),2,70-82,,
4:17.0,Shooting foul by M. Speights (drawn by M. Plumlee),,70-82,,
4:17.0,M. Plumlee makes free throw 1 of 1,1,71-82,,
4:03.0,,,71-82,,M. Speights misses 2-pt shot from 18 ft
4:02.0,Defensive rebound by J. Johnson,,71-82,,
3:54.0,M. Plumlee makes 2-pt shot from 9 ft,2,73-82,,
3:31.0,,,73-85,3,S. Curry makes 3-pt shot from 23 ft (assist by K. Thompson)
3:25.0,,,73-85,,Personal foul by S. Curry (drawn by D. Williams)
3:25.0,,,73-85,,S. Livingston enters the game for S. Curry
3:17.0,D. Williams misses 2-pt shot from 3 ft (block by M. Speights),,73-85,,
3:17.0,Offensive rebound by Team,,73-85,,
3:14.0,D. Williams misses 2-pt shot from 20 ft,,73-85,,
3:13.0,,,73-85,,Defensive rebound by M. Speights
2:54.0,,,73-85,,A. Iguodala misses 3-pt shot from 24 ft
2:53.0,Defensive rebound by Team,,73-85,,
2:53.0,,,73-85,,Loose ball foul by M. Speights (drawn by M. Plumlee)
2:53.0,Brooklyn full timeout,,73-85,,
2:53.0,B. Lopez enters the game for M. Teletovic,,73-85,,
2:43.0,Turnover by B. Lopez (lost ball; steal by K. Thompson),,73-85,,
2:23.0,,,73-85,,D. Green misses 3-pt shot from 26 ft
2:22.0,,,73-85,,Offensive rebound by Team
2:18.0,,,73-85,,Turnover by Team (shot clock)
1:56.0,J. Johnson makes 2-pt shot from 9 ft,2,75-85,,
1:35.0,,,75-87,2,S. Livingston makes 2-pt shot from 11 ft
1:16.0,B. Bogdanovic misses 2-pt shot from 7 ft,,75-87,,
1:15.0,,,75-87,,Defensive rebound by M. Speights
1:02.0,,,75-87,,Turnover by K. Thompson (step out of bounds)
1:02.0,J. Jack enters the game for B. Bogdanovic,,75-87,,
1:02.0,,,75-87,,L. Barbosa enters the game for D. Green
1:02.0,,,75-87,,H. Barnes enters the game for K. Thompson
0:49.0,B. Lopez misses 2-pt shot from 8 ft,,75-87,,
0:46.0,,,75-87,,Defensive rebound by Team
0:32.0,,,75-87,,Shooting foul by B. Lopez (drawn by A. Iguodala)
0:32.0,,,75-87,,A. Iguodala misses free throw 1 of 2
0:32.0,,,75-87,,Offensive rebound by Team
0:32.0,A. Anderson enters the game for B. Lopez,,75-87,,
0:32.0,,,75-87,,A. Iguodala misses free throw 2 of 2
0:31.0,Defensive rebound by M. Plumlee,,75-87,,
0:19.0,J. Johnson misses 2-pt shot from 16 ft,,75-87,,
0:17.0,,,75-87,,Defensive rebound by M. Speights
0:03.0,,,75-87,,Shooting foul by J. Jack (drawn by M. Speights)
0:03.0,,,75-87,,M. Speights misses free throw 1 of 2
0:03.0,,,75-87,,Offensive rebound by Team
0:03.0,,,75-87,,M. Speights misses free throw 2 of 2
0:02.0,Defensive rebound by M. Plumlee,,75-87,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,M. Teletovic misses 2-pt shot from 5 ft (block by M. Speights),,75-87,,
11:40.0,Offensive rebound by M. Plumlee,,75-87,,
11:36.0,M. Teletovic misses 2-pt shot from 16 ft,,75-87,,
11:35.0,,,75-87,,Defensive rebound by S. Livingston
11:30.0,,,75-89,2,L. Barbosa makes 2-pt shot from 1 ft (assist by S. Livingston)
11:19.0,,,75-89,,Personal foul by S. Livingston (drawn by M. Teletovic)
11:15.0,M. Plumlee misses 2-pt shot at rim,,75-89,,
11:13.0,,,75-89,,Defensive rebound by M. Speights
11:00.0,,,75-89,,Turnover by M. Speights (bad pass)
10:51.0,J. Jack makes 2-pt shot from 13 ft,2,77-89,,
10:36.0,,,77-89,,L. Barbosa misses 3-pt shot from 27 ft
10:34.0,Defensive rebound by M. Plumlee,,77-89,,
10:24.0,J. Jack makes 2-pt shot from 2 ft,2,79-89,,
10:22.0,,,79-89,,Golden State full timeout
10:22.0,,,79-89,,S. Curry enters the game for L. Barbosa
10:22.0,,,79-89,,A. Bogut enters the game for M. Speights
10:05.0,,,79-89,,H. Barnes misses 2-pt shot from 15 ft
10:04.0,Defensive rebound by M. Teletovic,,79-89,,
9:49.0,M. Plumlee misses 2-pt shot from 2 ft (block by A. Bogut),,79-89,,
9:48.0,,,79-89,,Defensive rebound by Team
9:39.0,,,79-89,,S. Curry misses 3-pt shot from 28 ft
9:38.0,Defensive rebound by M. Plumlee,,79-89,,
9:32.0,A. Anderson misses 3-pt shot from 28 ft,,79-89,,
9:31.0,,,79-89,,Defensive rebound by Team
9:31.0,Loose ball foul by M. Plumlee (drawn by A. Bogut),,79-89,,
9:31.0,B. Lopez enters the game for M. Plumlee,,79-89,,
9:13.0,Personal foul by A. Anderson (drawn by S. Livingston),,79-89,,
9:13.0,,,79-89,,K. Thompson enters the game for S. Livingston
9:06.0,,,79-89,,K. Thompson misses 3-pt shot from 23 ft
9:05.0,,,79-89,,Offensive rebound by A. Bogut
9:05.0,,,79-89,,A. Bogut misses 2-pt shot at rim
9:04.0,,,79-89,,Offensive rebound by A. Bogut
9:04.0,,,79-91,2,A. Bogut makes 2-pt shot at rim
8:53.0,B. Lopez misses 2-pt shot from 3 ft (block by A. Bogut),,79-91,,
8:51.0,,,79-91,,Defensive rebound by A. Bogut
8:50.0,,,79-93,2,S. Curry makes 2-pt shot from 1 ft (assist by A. Bogut)
8:46.0,Brooklyn full timeout,,79-93,,
8:36.0,B. Bogdanovic makes 2-pt shot from 19 ft (assist by J. Jack),2,81-93,,
8:21.0,,,81-93,,H. Barnes misses 3-pt shot from 28 ft
8:20.0,Defensive rebound by M. Teletovic,,81-93,,
8:03.0,A. Anderson makes 2-pt shot from 15 ft (assist by M. Teletovic),2,83-93,,
7:53.0,,,83-93,,S. Curry misses 2-pt shot from 21 ft
7:52.0,Defensive rebound by A. Anderson,,83-93,,
7:28.0,A. Anderson misses 3-pt shot from 25 ft,,83-93,,
7:27.0,,,83-93,,Defensive rebound by A. Bogut
7:06.0,,,83-93,,H. Barnes misses 2-pt shot from 15 ft
7:03.0,,,83-93,,Offensive rebound by A. Bogut
6:56.0,,,83-93,,Turnover by S. Curry (offensive foul)
6:56.0,,,83-93,,Offensive charge foul by S. Curry
6:43.0,J. Jack makes 2-pt shot from 17 ft,2,85-93,,
6:27.0,,,85-93,,S. Curry misses 3-pt shot from 26 ft
6:26.0,Defensive rebound by A. Anderson,,85-93,,
6:11.0,B. Bogdanovic makes 3-pt shot from 23 ft (assist by J. Jack),3,88-93,,
5:49.0,,,88-93,,K. Thompson misses 2-pt shot from 12 ft
5:48.0,,,88-93,,Offensive rebound by A. Bogut
5:43.0,,,88-93,,Golden State full timeout
5:43.0,,,88-93,,D. Green enters the game for H. Barnes
5:31.0,,,88-96,3,S. Curry makes 3-pt shot from 27 ft (assist by A. Iguodala)
