time,Phoenix,pts.away,score,pts.home,New Orleans
0:40.0,I. Thomas enters the game for G. Green,,53-54,,
0:40.0,E. Bledsoe misses free throw 2 of 2,,53-54,,
0:40.0,,,53-54,,Defensive rebound by T. Evans
0:23.0,,,53-54,,Turnover by T. Evans (bad pass; steal by M. Morris)
0:19.0,Phoenix full timeout,,53-54,,
0:19.0,,,53-54,,D. Cunningham enters the game for J. Fredette
0:06.0,Offensive foul by M. Morris,,53-54,,
0:06.0,Turnover by M. Morris (offensive foul),,53-54,,
0:06.0,,,53-54,,J. Holiday enters the game for D. Cunningham
0:06.0,,,53-54,,J. Fredette enters the game for A. Rivers
0:06.0,Technical foul by M. Morris,,53-54,,
0:06.0,,,53-55,1,J. Fredette makes technical free throw
0:06.0,G. Green enters the game for M. Morris,,53-55,,
0:02.0,,,53-55,,Offensive charge foul by T. Evans
0:02.0,,,53-55,,Turnover by T. Evans (offensive foul)
0:02.0,,,53-55,,A. Rivers enters the game for J. Holiday
0:02.0,,,53-55,,D. Cunningham enters the game for T. Evans
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,M. Morris makes 2-pt shot from 14 ft,2,55-55,,
11:22.0,,,55-57,2,A. Davis makes 2-pt shot from 2 ft
11:13.0,M. Morris misses 3-pt shot from 25 ft,,55-57,,
11:12.0,,,55-57,,Defensive rebound by L. Babbitt
11:00.0,,,55-59,2,J. Holiday makes 2-pt shot from 2 ft
10:50.0,,,55-59,,Personal foul by T. Evans (drawn by G. Dragic)
10:34.0,P. Tucker makes 3-pt shot from 26 ft (assist by G. Dragic),3,58-59,,
10:15.0,,,58-59,,L. Babbitt misses 3-pt shot from 23 ft
10:14.0,Defensive rebound by P. Tucker,,58-59,,
9:52.0,M. Morris makes 2-pt shot from 15 ft,2,60-59,,
9:35.0,,,60-59,,T. Evans misses 3-pt shot from 25 ft
9:34.0,Defensive rebound by E. Bledsoe,,60-59,,
9:13.0,G. Dragic makes 2-pt shot from 1 ft,2,62-59,,
8:58.0,,,62-61,2,O. Asik makes 2-pt shot from 4 ft (assist by J. Holiday)
8:50.0,E. Bledsoe misses 2-pt shot from 22 ft,,62-61,,
8:48.0,,,62-61,,Defensive rebound by O. Asik
8:29.0,,,62-64,3,J. Holiday makes 3-pt shot from 24 ft
8:17.0,Turnover by A. Len (bad pass; steal by J. Holiday),,62-64,,
8:12.0,,,62-66,2,J. Holiday makes 2-pt shot from 2 ft
8:04.0,,,62-66,,A. Rivers enters the game for L. Babbitt
7:56.0,A. Len misses 2-pt shot from 3 ft,,62-66,,
7:54.0,,,62-66,,Defensive rebound by J. Holiday
7:49.0,,,62-69,3,J. Holiday makes 3-pt shot from 24 ft
7:48.0,Phoenix full timeout,,62-69,,
7:27.0,G. Dragic makes 2-pt shot from 15 ft,2,64-69,,
7:04.0,,,64-71,2,J. Holiday makes 2-pt shot from 13 ft
6:35.0,E. Bledsoe makes 2-pt shot from 2 ft,2,66-71,,
6:27.0,,,66-73,2,A. Davis makes 2-pt shot from 17 ft (assist by J. Holiday)
6:07.0,,,66-73,,Personal foul by A. Rivers (drawn by G. Dragic)
6:03.0,G. Dragic makes 3-pt shot from 24 ft (assist by P. Tucker),3,69-73,,
5:40.0,,,69-73,,J. Holiday misses 2-pt shot from 6 ft
5:37.0,,,69-73,,Offensive rebound by A. Davis
5:27.0,,,69-73,,Turnover by A. Davis (lost ball; steal by P. Tucker)
5:22.0,G. Dragic makes 2-pt shot from 1 ft,2,71-73,,
4:56.0,,,71-73,,T. Evans misses 3-pt shot from 28 ft
4:55.0,Defensive rebound by A. Len,,71-73,,
4:49.0,M. Morris misses 2-pt shot from 2 ft,,71-73,,
4:47.0,,,71-73,,Defensive rebound by A. Davis
4:41.0,,,71-73,,T. Evans misses 2-pt shot from 1 ft
4:39.0,Defensive rebound by A. Len,,71-73,,
4:28.0,G. Dragic makes 2-pt shot from 6 ft,2,73-73,,
3:58.0,,,73-73,,A. Davis misses 2-pt shot from 11 ft
3:57.0,Defensive rebound by A. Len,,73-73,,
3:49.0,A. Len makes 2-pt shot at rim (assist by E. Bledsoe),2,75-73,,
3:49.0,,,75-73,,New Orleans full timeout
3:49.0,,,75-73,,R. Anderson enters the game for O. Asik
3:49.0,I. Thomas enters the game for G. Dragic,,75-73,,
3:49.0,M. Morris enters the game for A. Len,,75-73,,
3:35.0,,,75-73,,T. Evans misses 2-pt shot from 1 ft
3:34.0,Defensive rebound by M. Morris,,75-73,,
3:27.0,P. Tucker misses 2-pt shot from 1 ft,,75-73,,
3:24.0,Offensive rebound by M. Morris,,75-73,,
3:24.0,M. Morris makes 2-pt shot from 2 ft,2,77-73,,
3:04.0,,,77-73,,A. Davis misses 2-pt shot from 3 ft
3:04.0,,,77-73,,Offensive rebound by A. Davis
3:04.0,Loose ball foul by M. Morris (drawn by A. Davis),,77-73,,
3:04.0,,,77-73,,J. Fredette enters the game for J. Holiday
3:04.0,G. Green enters the game for E. Bledsoe,,77-73,,
3:04.0,,,77-73,,D. Cunningham enters the game for A. Rivers
2:48.0,Shooting block foul by M. Morris (drawn by T. Evans),,77-73,,
2:48.0,,,77-74,1,T. Evans makes free throw 1 of 2
2:48.0,M. Plumlee enters the game for M. Morris,,77-74,,
2:48.0,,,77-75,1,T. Evans makes free throw 2 of 2
2:29.0,M. Morris misses 3-pt shot from 24 ft,,77-75,,
2:28.0,Offensive rebound by I. Thomas,,77-75,,
2:14.0,M. Morris makes 2-pt shot from 3 ft,2,79-75,,
1:55.0,,,79-77,2,J. Fredette makes 2-pt shot from 3 ft
1:45.0,I. Thomas misses 2-pt shot from 16 ft,,79-77,,
1:41.0,,,79-77,,Defensive rebound by A. Davis
1:22.0,,,79-77,,Shooting foul by M. Morris (drawn by T. Evans)
1:22.0,,,79-77,,T. Evans misses free throw 1 of 2
1:22.0,,,79-77,,Offensive rebound by Team
1:22.0,,,79-77,,T. Evans misses free throw 2 of 2
1:21.0,Defensive rebound by P. Tucker,,79-77,,
1:07.0,G. Green misses 2-pt shot from 22 ft,,79-77,,
1:06.0,,,79-77,,Defensive rebound by D. Cunningham
1:00.0,Violation by M. Plumlee (def goaltending),,79-77,,
1:00.0,,,79-79,2,R. Anderson makes 2-pt shot from 2 ft
0:45.0,I. Thomas misses 2-pt shot from 20 ft,,79-79,,
0:43.0,,,79-79,,Defensive rebound by A. Davis
0:24.0,,,79-79,,A. Davis misses 2-pt shot from 3 ft
0:23.0,,,79-79,,Offensive rebound by R. Anderson
0:23.0,,,79-81,2,R. Anderson makes 2-pt shot from 2 ft
0:04.0,,,79-81,,Personal foul by J. Fredette (drawn by I. Thomas)
0:04.0,,,79-81,,A. Rivers enters the game for T. Evans
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:50.0,Personal foul by I. Thomas (drawn by J. Fredette),,79-81,,
11:39.0,,,79-81,,D. Cunningham misses 2-pt shot from 3 ft
11:38.0,,,79-81,,Offensive rebound by D. Cunningham
11:37.0,,,79-81,,Turnover by D. Cunningham (traveling)
11:21.0,G. Green misses 2-pt shot from 17 ft,,79-81,,
11:20.0,Offensive rebound by M. Plumlee,,79-81,,
11:20.0,M. Plumlee makes 2-pt shot from 1 ft,2,81-81,,
10:57.0,,,81-81,,A. Davis misses 2-pt shot from 4 ft
10:55.0,Defensive rebound by M. Plumlee,,81-81,,
10:50.0,I. Thomas misses 2-pt shot from 1 ft,,81-81,,
10:48.0,,,81-81,,Defensive rebound by A. Davis
10:39.0,,,81-81,,A. Rivers misses 2-pt shot from 1 ft (block by M. Morris)
10:38.0,,,81-81,,Offensive rebound by J. Fredette
10:33.0,,,81-84,3,R. Anderson makes 3-pt shot from 24 ft (assist by J. Fredette)
10:13.0,G. Dragic misses 2-pt shot from 2 ft,,81-84,,
10:12.0,Offensive rebound by M. Plumlee,,81-84,,
10:12.0,M. Plumlee makes 2-pt shot at rim,2,83-84,,
9:51.0,,,83-86,2,D. Cunningham makes 2-pt shot from 1 ft (assist by R. Anderson)
9:51.0,,,83-86,,Shooting foul by G. Dragic (drawn by D. Cunningham)
9:51.0,,,83-86,,D. Cunningham misses free throw 1 of 1
9:49.0,Defensive rebound by M. Plumlee,,83-86,,
9:34.0,G. Dragic misses 2-pt shot from 1 ft,,83-86,,
9:32.0,Offensive rebound by M. Morris,,83-86,,
9:23.0,I. Thomas misses 2-pt shot from 1 ft,,83-86,,
9:22.0,,,83-86,,Defensive rebound by R. Anderson
9:16.0,,,83-86,,Shooting foul by G. Green (drawn by A. Davis)
9:16.0,,,83-87,1,A. Davis makes free throw 1 of 2
9:16.0,,,83-88,1,A. Davis makes free throw 2 of 2
9:06.0,,,83-88,,Personal foul by D. Cunningham (drawn by G. Green)
8:56.0,Official timeout,,83-88,,
8:56.0,A. Len enters the game for M. Plumlee,,83-88,,
8:54.0,M. Morris misses 3-pt shot from 24 ft,,83-88,,
8:52.0,,,83-88,,Defensive rebound by A. Davis
8:33.0,,,83-88,,Turnover by R. Anderson (lost ball; steal by M. Morris)
8:33.0,,,83-88,,Loose ball foul by R. Anderson (drawn by M. Morris)
8:33.0,E. Bledsoe enters the game for I. Thomas,,83-88,,
8:33.0,M. Morris enters the game for M. Morris,,83-88,,
8:15.0,G. Green misses 2-pt shot from 12 ft,,83-88,,
8:14.0,,,83-88,,Defensive rebound by A. Davis
8:03.0,,,83-88,,J. Fredette misses 3-pt shot from 23 ft
8:02.0,Defensive rebound by G. Green,,83-88,,
7:56.0,Shooting foul by D. Cunningham (drawn by G. Green),,83-88,,
7:56.0,G. Green makes free throw 1 of 2,1,84-88,,
7:56.0,,,84-88,,J. Holiday enters the game for A. Rivers
7:56.0,G. Green makes free throw 2 of 2,1,85-88,,
7:44.0,,,85-88,,Turnover by J. Holiday (lost ball)
7:24.0,M. Morris misses 2-pt shot from 1 ft,,85-88,,
7:23.0,,,85-88,,Defensive rebound by A. Davis
7:13.0,,,85-91,3,R. Anderson makes 3-pt shot from 24 ft
6:47.0,M. Morris misses 2-pt shot from 2 ft,,85-91,,
6:46.0,,,85-91,,Defensive rebound by A. Davis
6:29.0,,,85-91,,A. Davis misses 2-pt shot from 17 ft
6:27.0,Defensive rebound by A. Len,,85-91,,
6:24.0,,,85-91,,Shooting block foul by J. Holiday (drawn by E. Bledsoe)
6:24.0,E. Bledsoe makes free throw 1 of 2,1,86-91,,
6:24.0,P. Tucker enters the game for A. Len,,86-91,,
6:24.0,,,86-91,,T. Evans enters the game for J. Fredette
6:24.0,E. Bledsoe makes free throw 2 of 2,1,87-91,,
6:00.0,,,87-93,2,T. Evans makes 2-pt shot from 3 ft
5:43.0,E. Bledsoe makes 2-pt shot from 1 ft,2,89-93,,
5:27.0,,,89-95,2,J. Holiday makes 2-pt shot from 1 ft (assist by T. Evans)
5:12.0,,,89-95,,Personal foul by A. Davis (drawn by E. Bledsoe)
5:12.0,,,89-95,,New Orleans full timeout
5:12.0,I. Thomas enters the game for G. Green,,89-95,,
