time,New Orleans,pts.away,score,pts.home,Dallas
5:37.0,Defensive rebound by A. Davis,,8-9,,
5:20.0,J. Holiday misses 2-pt shot from 5 ft,,8-9,,
5:19.0,Offensive rebound by O. Asik,,8-9,,
5:19.0,Shooting foul by A. Aminu (drawn by O. Asik),,8-9,,
5:19.0,O. Asik misses free throw 1 of 2,,8-9,,
5:19.0,Offensive rebound by Team,,8-9,,
5:19.0,O. Asik makes free throw 2 of 2,1,9-9,,
5:03.0,,,9-12,3,M. Ellis makes 3-pt shot from 24 ft (assist by D. Harris)
4:36.0,A. Davis misses 2-pt shot from 11 ft,,9-12,,
4:35.0,,,9-12,,Defensive rebound by D. Harris
4:28.0,Personal foul by T. Evans (drawn by T. Chandler),,9-12,,
4:28.0,D. Cunningham enters the game for L. Babbitt,,9-12,,
4:28.0,R. Anderson enters the game for O. Asik,,9-12,,
4:11.0,,,9-15,3,D. Harris makes 3-pt shot from 23 ft (assist by M. Ellis)
3:56.0,A. Davis misses 2-pt shot from 1 ft (block by C. Parsons),,9-15,,
3:54.0,,,9-15,,Defensive rebound by C. Parsons
3:53.0,A. Rivers enters the game for T. Evans,,9-15,,
3:40.0,,,9-17,2,C. Parsons makes 2-pt shot from 1 ft
3:22.0,A. Rivers misses 2-pt shot from 6 ft,,9-17,,
3:21.0,,,9-17,,Defensive rebound by Team
3:13.0,,,9-19,2,T. Chandler makes 2-pt shot at rim (assist by C. Parsons)
3:00.0,,,9-19,,Personal foul by M. Ellis (drawn by A. Rivers)
2:51.0,Offensive charge foul by A. Davis,,9-19,,
2:51.0,Turnover by A. Davis (offensive foul),,9-19,,
2:51.0,,,9-19,,Dallas full timeout
2:51.0,,,9-19,,B. Wright enters the game for C. Parsons
2:51.0,,,9-19,,D. Nowitzki enters the game for T. Chandler
2:35.0,,,9-19,,D. Harris misses 3-pt shot from 23 ft
2:34.0,Defensive rebound by A. Rivers,,9-19,,
2:21.0,J. Holiday misses 2-pt shot from 14 ft,,9-19,,
2:20.0,Offensive rebound by D. Cunningham,,9-19,,
2:03.0,A. Rivers makes 2-pt shot at rim,2,11-19,,
1:50.0,,,11-21,2,D. Harris makes 2-pt shot from 19 ft
1:39.0,Shooting foul by D. Harris (drawn by A. Davis),,11-21,,
1:39.0,A. Davis makes free throw 1 of 2,1,12-21,,
1:39.0,G. Mekel enters the game for J. Holiday,,12-21,,
1:39.0,,,12-21,,J. Crowder enters the game for M. Ellis
1:39.0,A. Davis makes free throw 2 of 2,1,13-21,,
1:25.0,,,13-23,2,D. Nowitzki makes 2-pt shot from 19 ft (assist by D. Harris)
0:59.0,G. Mekel makes 2-pt shot from 6 ft,2,15-23,,
0:49.0,,,15-25,2,D. Harris makes 2-pt shot from 1 ft
0:28.0,R. Anderson misses 2-pt shot from 14 ft,,15-25,,
0:27.0,,,15-25,,Defensive rebound by B. Wright
0:18.0,,,15-25,,D. Nowitzki misses 2-pt shot from 10 ft
0:17.0,Defensive rebound by D. Cunningham,,15-25,,
0:01.0,G. Mekel misses 3-pt shot from 24 ft,,15-25,,
0:00.0,,,15-25,,Defensive rebound by D. Nowitzki
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,D. Cunningham makes 2-pt shot from 19 ft (assist by A. Rivers),2,17-25,,
11:21.0,,,17-27,2,D. Nowitzki makes 2-pt shot from 19 ft (assist by B. Wright)
11:10.0,G. Mekel misses 2-pt shot from 11 ft,,17-27,,
11:10.0,Offensive rebound by D. Cunningham,,17-27,,
11:10.0,,,17-27,,Loose ball foul by J. Barea (drawn by D. Cunningham)
10:47.0,G. Mekel misses 2-pt shot from 19 ft,,17-27,,
10:46.0,,,17-27,,Defensive rebound by Team
10:25.0,,,17-27,,J. Crowder misses 3-pt shot from 22 ft
10:24.0,Defensive rebound by R. Anderson,,17-27,,
10:14.0,,,17-27,,Shooting block foul by J. Crowder (drawn by A. Rivers)
10:14.0,A. Rivers makes free throw 1 of 2,1,18-27,,
10:14.0,A. Rivers misses free throw 2 of 2,,18-27,,
10:14.0,,,18-27,,Defensive rebound by Team
9:57.0,,,18-27,,Offensive charge foul by A. Aminu
9:57.0,,,18-27,,Turnover by A. Aminu (offensive foul)
9:39.0,R. Anderson makes 2-pt shot from 13 ft,2,20-27,,
9:39.0,Shooting foul by A. Aminu (drawn by R. Anderson),,20-27,,
9:39.0,,,20-27,,M. Ellis enters the game for A. Aminu
9:39.0,R. Anderson makes free throw 1 of 1,1,21-27,,
9:27.0,,,21-27,,D. Nowitzki misses 2-pt shot from 18 ft
9:27.0,,,21-27,,Offensive rebound by Team
9:13.0,,,21-27,,J. Barea misses 2-pt shot from 11 ft
9:12.0,Defensive rebound by R. Anderson,,21-27,,
9:01.0,Shooting foul by B. Wright (drawn by R. Anderson),,21-27,,
9:01.0,R. Anderson makes free throw 1 of 2,1,22-27,,
9:01.0,L. Babbitt enters the game for G. Mekel,,22-27,,
9:01.0,,,22-27,,C. Parsons enters the game for D. Nowitzki
9:01.0,,,22-27,,T. Chandler enters the game for B. Wright
9:01.0,R. Anderson makes free throw 2 of 2,1,23-27,,
8:46.0,,,23-30,3,J. Crowder makes 3-pt shot from 24 ft (assist by M. Ellis)
8:30.0,Turnover by R. Anderson (traveling),,23-30,,
8:30.0,Official timeout,,23-30,,
8:12.0,,,23-32,2,M. Ellis makes 2-pt shot from 19 ft
7:49.0,R. Anderson misses 2-pt shot from 15 ft,,23-32,,
7:48.0,,,23-32,,Defensive rebound by T. Chandler
7:26.0,,,23-35,3,C. Parsons makes 3-pt shot from 22 ft (assist by J. Barea)
7:08.0,Shooting foul by C. Parsons (drawn by R. Anderson),,23-35,,
7:08.0,R. Anderson makes free throw 1 of 2,1,24-35,,
7:08.0,T. Evans enters the game for D. Cunningham,,24-35,,
7:08.0,J. Holiday enters the game for A. Rivers,,24-35,,
7:08.0,R. Anderson makes free throw 2 of 2,1,25-35,,
6:55.0,Personal foul by O. Asik (drawn by T. Chandler),,25-35,,
6:55.0,A. Davis enters the game for R. Anderson,,25-35,,
6:45.0,,,25-35,,M. Ellis misses 2-pt shot from 16 ft
6:45.0,Defensive rebound by A. Davis,,25-35,,
6:45.0,,,25-35,,Loose ball foul by J. Crowder (drawn by A. Davis)
6:45.0,A. Davis makes free throw 1 of 2,1,26-35,,
6:45.0,R. Anderson enters the game for O. Asik,,26-35,,
6:45.0,,,26-35,,B. Wright enters the game for J. Crowder
6:45.0,A. Davis makes free throw 2 of 2,1,27-35,,
6:30.0,,,27-37,2,J. Barea makes 2-pt shot from 7 ft
6:14.0,A. Davis makes 2-pt shot at rim,2,29-37,,
6:04.0,,,29-39,2,C. Parsons makes 2-pt shot from 4 ft
5:48.0,R. Anderson misses 3-pt shot from 24 ft,,29-39,,
5:47.0,Offensive rebound by A. Davis,,29-39,,
5:35.0,A. Davis makes 2-pt shot from 3 ft,2,31-39,,
5:12.0,,,31-41,2,M. Ellis makes 2-pt shot from 4 ft
5:06.0,A. Davis makes 2-pt shot at rim (assist by J. Holiday),2,33-41,,
4:46.0,,,33-41,,M. Ellis misses 2-pt shot from 18 ft
4:45.0,Defensive rebound by L. Babbitt,,33-41,,
4:33.0,J. Holiday makes 3-pt shot from 23 ft,3,36-41,,
4:33.0,,,36-41,,Dallas full timeout
4:33.0,,,36-41,,D. Harris enters the game for T. Chandler
4:33.0,,,36-41,,D. Nowitzki enters the game for J. Barea
4:22.0,Personal block foul by J. Holiday (drawn by M. Ellis),,36-41,,
4:13.0,,,36-41,,D. Harris misses 3-pt shot from 23 ft
4:12.0,Defensive rebound by A. Davis,,36-41,,
4:04.0,J. Holiday makes 3-pt shot from 24 ft (assist by T. Evans),3,39-41,,
3:43.0,,,39-41,,M. Ellis misses 2-pt shot from 3 ft (block by A. Davis)
3:41.0,Defensive rebound by A. Davis,,39-41,,
3:36.0,L. Babbitt misses 3-pt shot from 25 ft,,39-41,,
3:34.0,,,39-41,,Defensive rebound by M. Ellis
3:24.0,,,39-41,,C. Parsons misses 3-pt shot from 24 ft
3:23.0,,,39-41,,Offensive rebound by D. Nowitzki
3:22.0,,,39-41,,Shooting foul by L. Babbitt (drawn by D. Nowitzki)
3:22.0,,,39-42,1,D. Nowitzki makes free throw 1 of 2
3:22.0,,,39-43,1,D. Nowitzki makes free throw 2 of 2
3:05.0,J. Holiday makes 2-pt shot from 7 ft,2,41-43,,
2:49.0,,,41-43,,Turnover by C. Parsons (lost ball; steal by J. Holiday)
2:33.0,T. Evans misses 2-pt shot from 1 ft,,41-43,,
2:32.0,Offensive rebound by R. Anderson,,41-43,,
2:32.0,R. Anderson makes 2-pt shot at rim,2,43-43,,
2:27.0,,,43-43,,Dallas full timeout
2:27.0,New Orleans full timeout,,43-43,,
2:27.0,,,43-43,,T. Chandler enters the game for C. Parsons
2:27.0,,,43-43,,J. Crowder enters the game for B. Wright
2:27.0,D. Cunningham enters the game for L. Babbitt,,43-43,,
2:10.0,,,43-45,2,D. Nowitzki makes 2-pt shot from 13 ft
1:57.0,A. Davis misses 2-pt shot from 8 ft (block by T. Chandler),,43-45,,
1:57.0,Offensive rebound by Team,,43-45,,
1:49.0,T. Evans makes 2-pt shot at rim,2,45-45,,
1:34.0,,,45-45,,Turnover by D. Harris (bad pass)
1:24.0,J. Holiday makes 2-pt shot from 4 ft,2,47-45,,
1:04.0,,,47-45,,Turnover by D. Nowitzki (lost ball; steal by J. Holiday)
1:00.0,T. Evans makes 2-pt shot at rim (assist by J. Holiday),2,49-45,,
0:49.0,,,49-47,2,D. Nowitzki makes 2-pt shot from 16 ft
0:37.0,,,49-47,,Personal foul by J. Crowder (drawn by R. Anderson)
0:37.0,R. Anderson makes free throw 1 of 2,1,50-47,,
0:37.0,,,50-47,,R. Jefferson enters the game for J. Crowder
0:37.0,A. Rivers enters the game for T. Evans,,50-47,,
0:37.0,R. Anderson makes free throw 2 of 2,1,51-47,,
0:22.0,,,51-47,,M. Ellis misses 2-pt shot from 17 ft
0:20.0,Defensive rebound by A. Rivers,,51-47,,
0:03.0,J. Holiday misses 3-pt shot from 24 ft,,51-47,,
0:01.0,,,51-47,,Defensive rebound by R. Jefferson
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,L. Babbitt misses 3-pt shot from 25 ft,,51-47,,
11:44.0,,,51-47,,Defensive rebound by Team
11:34.0,,,51-47,,D. Nowitzki misses 2-pt shot from 14 ft
11:33.0,Defensive rebound by L. Babbitt,,51-47,,
11:18.0,A. Davis misses 2-pt shot from 16 ft,,51-47,,
11:17.0,,,51-47,,Defensive rebound by J. Barea
11:01.0,,,51-47,,D. Nowitzki misses 2-pt shot at rim
11:00.0,Defensive rebound by O. Asik,,51-47,,
10:57.0,Turnover by J. Holiday (bad pass),,51-47,,
10:39.0,,,51-47,,T. Chandler misses 2-pt shot from 18 ft
10:38.0,Defensive rebound by O. Asik,,51-47,,
10:20.0,L. Babbitt makes 3-pt shot from 24 ft (assist by J. Holiday),3,54-47,,
9:57.0,,,54-47,,C. Parsons misses 2-pt shot from 12 ft
9:56.0,,,54-47,,Offensive rebound by T. Chandler
9:56.0,,,54-49,2,T. Chandler makes 2-pt shot at rim
9:42.0,O. Asik misses 2-pt shot at rim,,54-49,,
9:40.0,,,54-49,,Defensive rebound by T. Chandler
9:26.0,,,54-49,,D. Nowitzki misses 2-pt shot from 11 ft
9:25.0,Defensive rebound by O. Asik,,54-49,,
9:10.0,Turnover by O. Asik (bad pass; steal by C. Parsons),,54-49,,
9:03.0,Violation by A. Davis (def goaltending),,54-49,,
9:03.0,,,54-51,2,D. Nowitzki makes 2-pt shot at rim (assist by M. Ellis)
8:50.0,T. Evans misses 2-pt shot from 6 ft,,54-51,,
8:49.0,,,54-51,,Defensive rebound by D. Nowitzki
8:47.0,,,54-53,2,C. Parsons makes 2-pt shot from 7 ft
8:47.0,,,54-53,,Shooting foul by L. Babbitt (drawn by C. Parsons)
8:47.0,,,54-54,1,C. Parsons makes free throw 1 of 1
8:32.0,J. Holiday makes 2-pt shot from 22 ft (assist by A. Davis),2,56-54,,
8:22.0,,,56-56,2,T. Chandler makes 2-pt shot at rim (assist by M. Ellis)
8:22.0,,,56-56,,Shooting foul by L. Babbitt (drawn by T. Chandler)
8:22.0,,,56-57,1,T. Chandler makes free throw 1 of 1
8:06.0,L. Babbitt misses 3-pt shot from 23 ft,,56-57,,
8:05.0,Offensive rebound by A. Davis,,56-57,,
8:02.0,A. Davis makes 2-pt shot from 15 ft,2,58-57,,
7:44.0,,,58-57,,Shooting foul by J. Holiday (drawn by D. Nowitzki)
7:44.0,,,58-58,1,D. Nowitzki makes free throw 1 of 2
7:44.0,,,58-59,1,D. Nowitzki makes free throw 2 of 2
7:35.0,T. Evans makes 2-pt shot from 1 ft (assist by J. Holiday),2,60-59,,
7:16.0,,,60-61,2,C. Parsons makes 2-pt shot at rim (assist by T. Chandler)
6:57.0,Shooting foul by T. Chandler (drawn by A. Davis),,60-61,,
6:57.0,,,60-61,,Technical foul by T. Chandler (drawn by A. Davis)
6:57.0,A. Davis makes technical free throw,1,61-61,,
6:57.0,A. Davis makes free throw 1 of 2,1,62-61,,
6:57.0,,,62-61,,A. Aminu enters the game for D. Nowitzki
6:57.0,A. Davis makes free throw 2 of 2,1,63-61,,
6:37.0,,,63-61,,C. Parsons misses 3-pt shot from 24 ft
6:36.0,Defensive rebound by O. Asik,,63-61,,
6:24.0,J. Holiday misses 3-pt shot from 24 ft,,63-61,,
6:23.0,Offensive rebound by A. Davis,,63-61,,
6:15.0,T. Evans misses 2-pt shot from 1 ft,,63-61,,
6:13.0,Offensive rebound by O. Asik,,63-61,,
6:13.0,O. Asik misses 2-pt shot from 2 ft,,63-61,,
6:10.0,,,63-61,,Defensive rebound by T. Chandler
6:01.0,,,63-61,,T. Chandler misses 2-pt shot at rim (block by A. Davis)
5:59.0,,,63-61,,Offensive rebound by T. Chandler
5:59.0,,,63-63,2,T. Chandler makes 2-pt shot at rim
5:44.0,A. Davis makes 2-pt shot from 18 ft (assist by J. Holiday),2,65-63,,
5:34.0,,,65-65,2,M. Ellis makes 2-pt shot from 18 ft
5:21.0,O. Asik makes 2-pt shot at rim (assist by J. Holiday),2,67-65,,
5:20.0,,,67-65,,Dallas full timeout
5:02.0,,,67-67,2,M. Ellis makes 2-pt shot from 19 ft
4:45.0,L. Babbitt makes 2-pt shot from 17 ft (assist by J. Holiday),2,69-67,,
4:19.0,,,69-67,,J. Barea misses 2-pt shot from 5 ft
4:19.0,,,69-67,,Offensive rebound by Team
4:19.0,,,69-67,,Turnover by Team (shot clock)
3:55.0,A. Davis misses 2-pt shot from 7 ft,,69-67,,
3:54.0,,,69-67,,Defensive rebound by A. Aminu
3:46.0,,,69-67,,Turnover by M. Ellis (lost ball)
3:46.0,,,69-67,,D. Harris enters the game for J. Barea
3:46.0,D. Cunningham enters the game for L. Babbitt,,69-67,,
3:27.0,A. Davis makes 2-pt shot from 12 ft,2,71-67,,
3:18.0,,,71-67,,Shooting foul by A. Davis (drawn by A. Aminu)
3:18.0,,,71-68,1,A. Aminu makes free throw 1 of 2
3:18.0,R. Anderson enters the game for O. Asik,,71-68,,
3:18.0,A. Rivers enters the game for J. Holiday,,71-68,,
3:18.0,,,71-69,1,A. Aminu makes free throw 2 of 2
2:57.0,R. Anderson makes 2-pt shot from 14 ft,2,73-69,,
2:49.0,,,73-69,,Shooting foul by R. Anderson (drawn by A. Aminu)
2:49.0,New Orleans full timeout,,73-69,,
2:49.0,,,73-69,,B. Wright enters the game for C. Parsons
2:49.0,,,73-69,,D. Nowitzki enters the game for T. Chandler
2:49.0,,,73-69,,A. Aminu misses free throw 1 of 2
2:49.0,,,73-69,,Offensive rebound by Team
2:49.0,,,73-70,1,A. Aminu makes free throw 2 of 2
2:31.0,T. Evans misses 3-pt shot from 24 ft,,73-70,,
2:29.0,Offensive rebound by A. Rivers,,73-70,,
2:19.0,A. Davis misses 2-pt shot from 21 ft,,73-70,,
2:18.0,Offensive rebound by R. Anderson,,73-70,,
2:03.0,T. Evans misses 2-pt shot from 4 ft (block by A. Aminu),,73-70,,
2:01.0,,,73-70,,Defensive rebound by M. Ellis
1:57.0,,,73-70,,M. Ellis misses 2-pt shot from 3 ft (block by T. Evans)
1:55.0,Defensive rebound by T. Evans,,73-70,,
1:37.0,A. Rivers misses 2-pt shot from 1 ft,,73-70,,
1:36.0,Offensive rebound by R. Anderson,,73-70,,
1:36.0,R. Anderson misses 2-pt shot from 2 ft,,73-70,,
1:34.0,,,73-70,,Defensive rebound by A. Aminu
1:18.0,,,73-72,2,D. Nowitzki makes 2-pt shot from 15 ft
1:09.0,,,73-72,,Personal foul by D. Harris (drawn by A. Rivers)
1:09.0,,,73-72,,J. Crowder enters the game for A. Aminu
1:09.0,,,73-72,,R. Jefferson enters the game for M. Ellis
1:09.0,G. Mekel enters the game for T. Evans,,73-72,,
0:56.0,Turnover by R. Anderson (bad pass; steal by R. Jefferson),,73-72,,
0:53.0,,,73-74,2,D. Harris makes 2-pt shot from 3 ft
0:53.0,,,73-74,,Shooting foul by G. Mekel (drawn by D. Harris)
0:53.0,,,73-75,1,D. Harris makes free throw 1 of 1
0:31.0,A. Rivers makes 3-pt shot from 24 ft (assist by G. Mekel),3,76-75,,
0:20.0,,,76-77,2,D. Harris makes 2-pt shot from 2 ft
0:03.0,G. Mekel makes 2-pt shot from 1 ft,2,78-77,,
0:00.0,,,78-77,,J. Crowder misses 3-pt shot from 28 ft
0:00.0,,,78-77,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,78-79,2,B. Wright makes 2-pt shot at rim (assist by D. Nowitzki)
11:42.0,,,78-79,,Shooting foul by A. Rivers (drawn by B. Wright)
11:42.0,,,78-80,1,B. Wright makes free throw 1 of 1
11:25.0,A. Rivers misses 2-pt shot from 8 ft,,78-80,,
11:24.0,,,78-80,,Defensive rebound by D. Nowitzki
11:11.0,,,78-80,,D. Harris misses 2-pt shot from 10 ft
11:10.0,,,78-80,,Offensive rebound by D. Nowitzki
11:08.0,,,78-82,2,D. Nowitzki makes 2-pt shot at rim
10:43.0,Turnover by R. Anderson (lost ball; steal by D. Harris),,78-82,,
10:40.0,,,78-82,,Turnover by D. Nowitzki (bad pass; steal by G. Mekel)
10:36.0,A. Davis makes 2-pt shot from 1 ft (assist by G. Mekel),2,80-82,,
10:14.0,,,80-82,,D. Nowitzki misses 2-pt shot from 10 ft
10:13.0,Defensive rebound by G. Mekel,,80-82,,
10:03.0,D. Cunningham misses 2-pt shot from 20 ft,,80-82,,
10:02.0,,,80-82,,Defensive rebound by D. Harris
9:55.0,,,80-84,2,D. Harris makes 2-pt shot from 1 ft
9:39.0,G. Mekel misses 2-pt shot from 21 ft,,80-84,,
9:38.0,,,80-84,,Defensive rebound by R. Jefferson
9:29.0,,,80-84,,J. Crowder misses 2-pt shot at rim
9:28.0,Defensive rebound by D. Cunningham,,80-84,,
9:09.0,Offensive foul by R. Anderson,,80-84,,
9:09.0,Turnover by R. Anderson (offensive foul),,80-84,,
9:09.0,J. Holiday enters the game for G. Mekel,,80-84,,
9:09.0,O. Asik enters the game for A. Davis,,80-84,,
9:09.0,,,80-84,,C. Parsons enters the game for D. Nowitzki
8:57.0,,,80-86,2,B. Wright makes 2-pt shot at rim (assist by D. Harris)
8:49.0,Shooting foul by D. Harris (drawn by J. Holiday),,80-86,,
8:49.0,Official timeout,,80-86,,
8:49.0,J. Holiday misses free throw 1 of 2,,80-86,,
8:49.0,Offensive rebound by Team,,80-86,,
8:49.0,J. Holiday makes free throw 2 of 2,1,81-86,,
8:37.0,,,81-86,,R. Jefferson misses 3-pt shot from 24 ft
8:36.0,Defensive rebound by O. Asik,,81-86,,
8:19.0,D. Cunningham makes 2-pt shot from 19 ft (assist by J. Holiday),2,83-86,,
8:00.0,Personal foul by R. Anderson (drawn by R. Jefferson),,83-86,,
8:00.0,T. Evans enters the game for A. Rivers,,83-86,,
7:49.0,,,83-89,3,D. Harris makes 3-pt shot from 24 ft (assist by R. Jefferson)
7:40.0,J. Holiday makes 3-pt shot from 24 ft,3,86-89,,
7:23.0,,,86-89,,C. Parsons misses 2-pt shot from 3 ft
7:21.0,,,86-89,,Offensive rebound by R. Jefferson
7:20.0,,,86-89,,M. Ellis enters the game for J. Crowder
7:16.0,,,86-92,3,D. Harris makes 3-pt shot from 24 ft (assist by R. Jefferson)
6:59.0,J. Holiday makes 3-pt shot from 25 ft,3,89-92,,
6:39.0,,,89-94,2,R. Jefferson makes 2-pt shot at rim
6:31.0,J. Holiday misses 2-pt shot at rim,,89-94,,
6:30.0,Offensive rebound by O. Asik,,89-94,,
6:30.0,O. Asik misses 2-pt shot at rim,,89-94,,
6:29.0,,,89-94,,Defensive rebound by M. Ellis
6:20.0,,,89-94,,D. Harris misses 3-pt shot from 26 ft
6:19.0,Defensive rebound by O. Asik,,89-94,,
6:18.0,New Orleans full timeout,,89-94,,
6:18.0,,,89-94,,J. Barea enters the game for D. Harris
6:18.0,,,89-94,,T. Chandler enters the game for B. Wright
6:18.0,A. Davis enters the game for R. Anderson,,89-94,,
6:02.0,Shooting foul by T. Chandler (drawn by O. Asik),,89-94,,
6:02.0,O. Asik misses free throw 1 of 2,,89-94,,
6:02.0,Offensive rebound by Team,,89-94,,
6:02.0,O. Asik makes free throw 2 of 2,1,90-94,,
5:46.0,,,90-97,3,C. Parsons makes 3-pt shot from 24 ft (assist by M. Ellis)
5:36.0,,,90-97,,Personal foul by R. Jefferson (drawn by A. Davis)
5:25.0,J. Holiday makes 2-pt shot from 22 ft,2,92-97,,
5:13.0,Personal foul by O. Asik (drawn by T. Chandler),,92-97,,
5:13.0,R. Anderson enters the game for O. Asik,,92-97,,
5:09.0,,,92-97,,M. Ellis misses 2-pt shot from 8 ft
5:07.0,Defensive rebound by Team,,92-97,,
4:52.0,A. Davis makes 2-pt shot at rim (assist by J. Holiday),2,94-97,,
4:50.0,,,94-97,,Dallas full timeout
4:50.0,,,94-97,,D. Harris enters the game for J. Barea
4:50.0,,,94-97,,D. Nowitzki enters the game for R. Jefferson
4:27.0,,,94-100,3,M. Ellis makes 3-pt shot from 23 ft
4:12.0,,,94-100,,Personal block foul by D. Harris (drawn by T. Evans)
3:57.0,J. Holiday misses 3-pt shot from 23 ft (block by T. Chandler),,94-100,,
3:57.0,Offensive rebound by Team,,94-100,,
3:57.0,Turnover by Team (shot clock),,94-100,,
3:50.0,,,94-102,2,M. Ellis makes 2-pt shot at rim (assist by D. Nowitzki)
3:32.0,T. Evans misses 2-pt shot from 1 ft,,94-102,,
3:31.0,,,94-102,,Defensive rebound by D. Nowitzki
3:20.0,,,94-102,,C. Parsons misses 3-pt shot from 24 ft
3:19.0,Defensive rebound by D. Cunningham,,94-102,,
3:05.0,J. Holiday misses 2-pt shot from 8 ft,,94-102,,
3:04.0,Offensive rebound by A. Davis,,94-102,,
3:04.0,A. Davis makes 2-pt shot from 1 ft,2,96-102,,
2:41.0,,,96-104,2,M. Ellis makes 2-pt shot from 22 ft
2:25.0,J. Holiday misses 2-pt shot from 2 ft,,96-104,,
2:23.0,Offensive rebound by A. Davis,,96-104,,
2:23.0,A. Davis makes 2-pt shot at rim,2,98-104,,
1:58.0,,,98-104,,D. Nowitzki misses 2-pt shot from 13 ft
1:57.0,Defensive rebound by A. Davis,,98-104,,
1:51.0,T. Evans makes 2-pt shot from 1 ft,2,100-104,,
1:45.0,,,100-104,,Dallas full timeout
1:38.0,Personal foul by T. Evans (drawn by M. Ellis),,100-104,,
1:32.0,,,100-104,,Turnover by D. Nowitzki (bad pass; steal by T. Evans)
1:12.0,J. Holiday makes 2-pt shot from 5 ft,2,102-104,,
