time,LA Lakers,pts.away,score,pts.home,Sacramento
0:42.0,N. Young makes 2-pt shot from 2 ft,2,21-24,,
0:25.0,,,21-26,2,B. McLemore makes 2-pt shot from 15 ft
0:03.0,Shooting foul by B. McLemore (drawn by K. Bryant),,21-26,,
0:03.0,K. Bryant makes free throw 1 of 2,1,22-26,,
0:03.0,K. Bryant makes free throw 2 of 2,1,23-26,,
0:00.0,,,23-26,,D. Collison misses 3-pt shot from 31 ft
0:00.0,,,23-26,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,23-28,2,D. Cousins makes 2-pt shot from 12 ft (assist by D. Williams)
11:43.0,,,23-28,,Shooting foul by R. Sacre (drawn by D. Cousins)
11:43.0,,,23-29,1,D. Cousins makes free throw 1 of 1
11:20.0,N. Young makes 3-pt shot from 25 ft (assist by J. Lin),3,26-29,,
11:06.0,,,26-29,,D. Williams misses 2-pt shot from 19 ft
11:05.0,,,26-29,,Offensive rebound by D. Cousins
11:05.0,,,26-29,,D. Cousins misses 2-pt shot at rim
11:04.0,Defensive rebound by C. Boozer,,26-29,,
10:56.0,N. Young makes 2-pt shot from 2 ft,2,28-29,,
10:39.0,,,28-29,,D. Cousins misses 2-pt shot from 15 ft (block by R. Sacre)
10:39.0,,,28-29,,Offensive rebound by R. Evans
10:39.0,Personal foul by R. Sacre (drawn by R. Evans),,28-29,,
10:39.0,J. Hill enters the game for R. Sacre,,28-29,,
10:29.0,,,28-29,,D. Williams misses 3-pt shot from 24 ft
10:28.0,Defensive rebound by C. Boozer,,28-29,,
10:07.0,N. Young misses 3-pt shot from 25 ft,,28-29,,
10:05.0,,,28-29,,Defensive rebound by R. Evans
9:57.0,,,28-29,,D. Cousins misses 2-pt shot from 1 ft
9:57.0,Defensive rebound by Team,,28-29,,
9:45.0,W. Ellington misses 2-pt shot from 18 ft,,28-29,,
9:44.0,,,28-29,,Defensive rebound by N. Stauskas
9:23.0,,,28-29,,D. Cousins misses 2-pt shot from 19 ft
9:22.0,Defensive rebound by Team,,28-29,,
9:09.0,J. Lin makes 2-pt shot from 2 ft,2,30-29,,
8:49.0,,,30-29,,D. Williams misses 2-pt shot from 3 ft
8:48.0,,,30-29,,Offensive rebound by R. Evans
8:47.0,,,30-29,,Shooting foul by C. Boozer (drawn by R. Evans)
8:47.0,Official timeout,,30-29,,
8:47.0,,,30-30,1,R. Evans makes free throw 1 of 2
8:47.0,,,30-31,1,R. Evans makes free throw 2 of 2
8:33.0,C. Boozer makes 2-pt shot from 2 ft (assist by J. Lin),2,32-31,,
8:16.0,,,32-31,,Shooting foul by J. Lin (drawn by D. Cousins)
8:16.0,,,32-32,1,D. Cousins makes free throw 1 of 2
8:16.0,,,32-32,,J. Thompson enters the game for R. Evans
8:16.0,,,32-33,1,D. Cousins makes free throw 2 of 2
7:59.0,Turnover by J. Lin (lost ball; steal by R. McCallum),,32-33,,
7:57.0,,,32-35,2,D. Williams makes 2-pt shot from 1 ft (assist by R. McCallum)
7:48.0,N. Young makes 3-pt shot from 24 ft (assist by W. Ellington),3,35-35,,
7:34.0,,,35-35,,Shooting foul by W. Ellington (drawn by D. Cousins)
7:34.0,,,35-35,,D. Cousins misses free throw 1 of 2
7:34.0,,,35-35,,Offensive rebound by Team
7:34.0,E. Davis enters the game for C. Boozer,,35-35,,
7:34.0,,,35-35,,D. Cousins misses free throw 2 of 2
7:32.0,Defensive rebound by J. Hill,,35-35,,
7:20.0,W. Ellington makes 3-pt shot from 24 ft,3,38-35,,
7:07.0,,,38-35,,N. Stauskas misses 3-pt shot from 24 ft
7:06.0,Defensive rebound by J. Lin,,38-35,,
7:03.0,Shooting foul by N. Stauskas (drawn by W. Ellington),,38-35,,
7:03.0,W. Ellington makes free throw 1 of 2,1,39-35,,
7:03.0,K. Bryant enters the game for N. Young,,39-35,,
7:03.0,,,39-35,,D. Collison enters the game for R. McCallum
7:03.0,,,39-35,,B. McLemore enters the game for N. Stauskas
7:03.0,W. Ellington misses free throw 2 of 2,,39-35,,
7:02.0,,,39-35,,Defensive rebound by D. Cousins
6:50.0,,,39-35,,Shooting foul by J. Hill (drawn by D. Cousins)
6:50.0,,,39-36,1,D. Cousins makes free throw 1 of 2
6:50.0,R. Price enters the game for J. Lin,,39-36,,
6:50.0,W. Johnson enters the game for W. Ellington,,39-36,,
6:50.0,,,39-37,1,D. Cousins makes free throw 2 of 2
6:42.0,W. Johnson misses 2-pt shot from 21 ft,,39-37,,
6:40.0,Offensive rebound by R. Price,,39-37,,
6:31.0,J. Hill misses 2-pt shot from 2 ft (block by D. Cousins),,39-37,,
6:28.0,Offensive rebound by E. Davis,,39-37,,
6:28.0,E. Davis misses 2-pt shot from 1 ft,,39-37,,
6:24.0,,,39-37,,Defensive rebound by D. Cousins
6:18.0,,,39-39,2,B. McLemore makes 2-pt shot from 3 ft
5:56.0,K. Bryant misses 2-pt shot from 14 ft,,39-39,,
5:55.0,Offensive rebound by J. Hill,,39-39,,
5:55.0,J. Hill makes 2-pt shot from 1 ft,2,41-39,,
5:46.0,,,41-41,2,B. McLemore makes 2-pt shot from 3 ft
5:34.0,Offensive charge foul by W. Johnson,,41-41,,
5:34.0,Turnover by W. Johnson (offensive foul),,41-41,,
5:34.0,,,41-41,,Sacramento full timeout
5:34.0,,,41-41,,R. Gay enters the game for D. Williams
5:17.0,,,41-41,,Shooting foul by J. Hill (drawn by D. Cousins)
5:17.0,,,41-42,1,D. Cousins makes free throw 1 of 2
5:17.0,,,41-43,1,D. Cousins makes free throw 2 of 2
5:04.0,K. Bryant misses 2-pt shot from 19 ft,,41-43,,
5:03.0,Offensive rebound by J. Hill,,41-43,,
4:53.0,K. Bryant misses 2-pt shot from 5 ft,,41-43,,
4:51.0,Offensive rebound by J. Hill,,41-43,,
4:51.0,J. Hill makes 2-pt shot at rim,2,43-43,,
4:33.0,,,43-43,,Shooting foul by W. Johnson (drawn by R. Gay)
4:33.0,,,43-44,1,R. Gay makes free throw 1 of 2
4:33.0,,,43-44,,R. Hollins enters the game for J. Thompson
4:33.0,,,43-45,1,R. Gay makes free throw 2 of 2
4:16.0,J. Hill misses 2-pt shot from 3 ft (block by D. Cousins),,43-45,,
4:14.0,,,43-45,,Defensive rebound by B. McLemore
4:06.0,,,43-45,,D. Cousins misses 2-pt shot from 17 ft
4:05.0,Defensive rebound by K. Bryant,,43-45,,
3:57.0,Offensive charge foul by K. Bryant,,43-45,,
3:57.0,Turnover by K. Bryant (offensive foul),,43-45,,
3:40.0,,,43-48,3,R. Gay makes 3-pt shot from 24 ft (assist by B. McLemore)
3:31.0,,,43-48,,Personal foul by D. Collison (drawn by R. Price)
3:26.0,W. Johnson makes 3-pt shot from 25 ft (assist by J. Hill),3,46-48,,
3:06.0,,,46-48,,B. McLemore misses 3-pt shot from 24 ft
3:05.0,Defensive rebound by J. Hill,,46-48,,
2:57.0,K. Bryant misses 2-pt shot from 13 ft,,46-48,,
2:56.0,Offensive rebound by K. Bryant,,46-48,,
2:54.0,,,46-48,,Personal foul by R. Hollins (drawn by K. Bryant)
2:54.0,LA Lakers full timeout,,46-48,,
2:45.0,W. Johnson misses 2-pt shot from 19 ft,,46-48,,
2:45.0,Offensive rebound by K. Bryant,,46-48,,
2:45.0,,,46-48,,Personal foul by B. McLemore (drawn by K. Bryant)
2:36.0,E. Davis makes 2-pt shot from 6 ft (assist by R. Price),2,48-48,,
2:23.0,,,48-48,,Turnover by R. Gay (bad pass; steal by W. Johnson)
2:19.0,W. Johnson misses 2-pt shot at rim,,48-48,,
2:18.0,Offensive rebound by Team,,48-48,,
2:11.0,,,48-48,,Def 3 sec tech foul by R. Hollins
2:11.0,K. Bryant makes technical free throw,1,49-48,,
2:03.0,K. Bryant misses 2-pt shot from 17 ft,,49-48,,
2:00.0,Offensive rebound by E. Davis,,49-48,,
2:00.0,E. Davis makes 2-pt shot from 1 ft,2,51-48,,
1:51.0,,,51-50,2,D. Collison makes 2-pt shot from 16 ft
1:37.0,R. Price misses 3-pt shot from 24 ft,,51-50,,
1:36.0,,,51-50,,Defensive rebound by B. McLemore
1:35.0,Personal foul by R. Price (drawn by D. Collison),,51-50,,
1:35.0,,,51-50,,D. Collison misses free throw 1 of 2
1:35.0,,,51-50,,Offensive rebound by Team
1:35.0,,,51-51,1,D. Collison makes free throw 2 of 2
1:27.0,,,51-51,,Personal foul by R. Gay (drawn by K. Bryant)
1:27.0,K. Bryant makes free throw 1 of 2,1,52-51,,
1:27.0,K. Bryant makes free throw 2 of 2,1,53-51,,
1:11.0,,,53-51,,Turnover by D. Cousins (bad pass; steal by E. Davis)
0:52.0,K. Bryant makes 3-pt shot from 24 ft (assist by W. Johnson),3,56-51,,
0:31.0,,,56-51,,R. Gay misses 2-pt shot from 18 ft
0:28.0,Defensive rebound by W. Johnson,,56-51,,
0:18.0,,,56-51,,Personal foul by R. Hollins (drawn by R. Price)
0:18.0,R. Price makes free throw 1 of 2,1,57-51,,
0:18.0,,,57-51,,N. Stauskas enters the game for R. Hollins
0:18.0,W. Ellington enters the game for E. Davis,,57-51,,
0:18.0,R. Price makes free throw 2 of 2,1,58-51,,
0:03.0,,,58-51,,Shooting foul by R. Price (drawn by D. Collison)
0:03.0,,,58-51,,D. Collison misses free throw 1 of 2
0:03.0,,,58-51,,Offensive rebound by Team
0:03.0,J. Lin enters the game for R. Price,,58-51,,
0:03.0,,,58-51,,R. McCallum enters the game for B. McLemore
0:03.0,,,58-52,1,D. Collison makes free throw 2 of 2
0:02.0,,,58-52,,Personal foul by D. Collison (drawn by J. Lin)
0:02.0,J. Lin makes free throw 1 of 2,1,59-52,,
0:02.0,E. Davis enters the game for J. Hill,,59-52,,
0:02.0,J. Lin makes free throw 2 of 2,1,60-52,,
0:00.0,,,60-52,,R. McCallum misses 3-pt shot from 38 ft
0:00.0,,,60-52,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,60-52,,D. Collison misses 2-pt shot from 17 ft
11:43.0,,,60-52,,Offensive rebound by D. Cousins
11:42.0,,,60-52,,D. Cousins misses 2-pt shot from 2 ft
11:40.0,,,60-52,,Offensive rebound by D. Cousins
11:40.0,,,60-54,2,D. Cousins makes 2-pt shot at rim
11:28.0,Turnover by R. Price (bad pass; steal by R. Gay),,60-54,,
11:24.0,,,60-54,,R. Gay misses 2-pt shot from 1 ft
11:22.0,,,60-54,,Offensive rebound by B. McLemore
11:20.0,,,60-56,2,B. McLemore makes 2-pt shot from 1 ft
10:53.0,R. Price makes 2-pt shot from 9 ft,2,62-56,,
10:32.0,,,62-56,,Turnover by D. Collison (lost ball)
10:26.0,Turnover by W. Johnson (lost ball),,62-56,,
10:14.0,Violation by W. Johnson (kicked ball),,62-56,,
10:06.0,,,62-56,,B. McLemore misses 3-pt shot from 24 ft
10:06.0,Defensive rebound by Team,,62-56,,
10:06.0,,,62-56,,Personal foul by D. Cousins (drawn by J. Hill)
9:40.0,K. Bryant makes 3-pt shot from 28 ft,3,65-56,,
9:28.0,,,65-58,2,R. Gay makes 2-pt shot at rim
9:28.0,,,65-58,,Shooting foul by W. Johnson (drawn by R. Gay)
9:28.0,,,65-58,,R. Gay misses free throw 1 of 1
9:28.0,,,65-58,,Offensive rebound by D. Cousins
9:28.0,,,65-58,,D. Cousins misses 2-pt shot from 1 ft
9:25.0,Defensive rebound by J. Hill,,65-58,,
9:16.0,Shooting foul by R. Gay (drawn by W. Johnson),,65-58,,
9:16.0,W. Johnson makes free throw 1 of 2,1,66-58,,
9:16.0,W. Johnson makes free throw 2 of 2,1,67-58,,
9:04.0,,,67-60,2,R. Gay makes 2-pt shot from 14 ft
8:52.0,J. Hill makes 2-pt shot from 4 ft (assist by K. Bryant),2,69-60,,
8:37.0,,,69-60,,Shooting foul by J. Hill (drawn by D. Cousins)
8:37.0,,,69-61,1,D. Cousins makes free throw 1 of 2
8:37.0,,,69-62,1,D. Cousins makes free throw 2 of 2
8:20.0,K. Bryant misses 3-pt shot from 24 ft,,69-62,,
8:17.0,Offensive rebound by E. Davis,,69-62,,
8:17.0,E. Davis makes 2-pt shot at rim,2,71-62,,
7:58.0,,,71-65,3,B. McLemore makes 3-pt shot from 25 ft (assist by R. Gay)
7:39.0,Turnover by K. Bryant (lost ball; steal by B. McLemore),,71-65,,
7:36.0,,,71-65,,Shooting foul by W. Johnson (drawn by B. McLemore)
7:36.0,,,71-66,1,B. McLemore makes free throw 1 of 2
7:36.0,N. Young enters the game for W. Johnson,,71-66,,
7:36.0,,,71-66,,C. Landry enters the game for D. Cousins
7:36.0,,,71-66,,B. McLemore misses free throw 2 of 2
7:34.0,Defensive rebound by E. Davis,,71-66,,
7:21.0,K. Bryant makes 2-pt shot from 17 ft,2,73-66,,
7:08.0,,,73-66,,R. Gay misses 2-pt shot from 12 ft
7:07.0,Defensive rebound by J. Hill,,73-66,,
6:50.0,N. Young makes 2-pt shot from 15 ft,2,75-66,,
6:40.0,,,75-66,,Offensive foul by D. Collison
6:40.0,,,75-66,,Turnover by D. Collison (offensive foul)
6:23.0,K. Bryant makes 2-pt shot from 8 ft,2,77-66,,
6:23.0,,,77-66,,Sacramento full timeout
6:14.0,,,77-66,,Turnover by B. McLemore (lost ball; steal by K. Bryant)
6:11.0,K. Bryant makes 2-pt shot from 1 ft,2,79-66,,
5:56.0,,,79-66,,Shooting foul by N. Young (drawn by R. Gay)
5:56.0,,,79-66,,R. Gay misses free throw 1 of 2
5:56.0,,,79-66,,Offensive rebound by Team
5:56.0,,,79-66,,R. Gay misses free throw 2 of 2
5:55.0,Defensive rebound by J. Hill,,79-66,,
5:33.0,K. Bryant misses 2-pt shot from 15 ft,,79-66,,
5:31.0,Offensive rebound by R. Price,,79-66,,
5:24.0,N. Young misses 3-pt shot from 24 ft,,79-66,,
5:23.0,,,79-66,,Defensive rebound by R. Gay
5:19.0,,,79-68,2,D. Collison makes 2-pt shot from 12 ft
5:19.0,,,79-68,,Shooting foul by R. Price (drawn by D. Collison)
5:19.0,C. Boozer enters the game for E. Davis,,79-68,,
5:19.0,J. Lin enters the game for R. Price,,79-68,,
5:19.0,,,79-69,1,D. Collison makes free throw 1 of 1
5:03.0,J. Hill misses 2-pt shot from 20 ft,,79-69,,
5:03.0,,,79-69,,Defensive rebound by J. Thompson
4:53.0,,,79-71,2,D. Collison makes 2-pt shot from 19 ft
4:31.0,K. Bryant misses 3-pt shot from 24 ft,,79-71,,
4:30.0,,,79-71,,Defensive rebound by B. McLemore
4:18.0,,,79-71,,D. Collison misses 2-pt shot from 6 ft
4:15.0,Defensive rebound by N. Young,,79-71,,
4:09.0,Turnover by K. Bryant (traveling),,79-71,,
3:58.0,,,79-71,,C. Landry misses 2-pt shot from 18 ft
3:57.0,Defensive rebound by N. Young,,79-71,,
3:44.0,J. Lin misses 3-pt shot from 24 ft,,79-71,,
3:44.0,,,79-71,,Defensive rebound by B. McLemore
3:26.0,,,79-73,2,B. McLemore makes 2-pt shot from 21 ft (assist by R. Gay)
3:02.0,K. Bryant misses 2-pt shot from 19 ft (block by R. Gay),,79-73,,
3:00.0,,,79-73,,Defensive rebound by C. Landry
2:58.0,,,79-73,,Shooting foul by N. Young (drawn by C. Landry)
2:58.0,LA Lakers full timeout,,79-73,,
2:58.0,,,79-73,,R. McCallum enters the game for J. Thompson
2:58.0,,,79-73,,D. Cousins enters the game for D. Collison
2:58.0,R. Sacre enters the game for J. Hill,,79-73,,
2:58.0,,,79-74,1,C. Landry makes free throw 1 of 2
2:58.0,,,79-75,1,C. Landry makes free throw 2 of 2
2:44.0,K. Bryant misses 2-pt shot from 19 ft,,79-75,,
2:43.0,,,79-75,,Defensive rebound by C. Landry
2:24.0,,,79-75,,R. Gay misses 2-pt shot from 19 ft
2:24.0,,,79-75,,Offensive rebound by D. Cousins
2:22.0,,,79-77,2,D. Cousins makes 2-pt shot from 1 ft
2:03.0,C. Boozer misses 2-pt shot from 16 ft,,79-77,,
2:03.0,,,79-77,,Defensive rebound by D. Cousins
1:48.0,,,79-79,2,R. Gay makes 2-pt shot from 7 ft
1:22.0,J. Lin misses 2-pt shot from 8 ft,,79-79,,
1:21.0,,,79-79,,Defensive rebound by C. Landry
1:18.0,,,79-81,2,B. McLemore makes 2-pt shot at rim
0:58.0,Shooting foul by D. Cousins (drawn by R. Sacre),,79-81,,
0:58.0,R. Sacre misses free throw 1 of 2,,79-81,,
0:58.0,Offensive rebound by Team,,79-81,,
0:58.0,R. Sacre makes free throw 2 of 2,1,80-81,,
0:42.0,,,80-81,,R. Gay misses 2-pt shot from 3 ft
0:41.0,Defensive rebound by C. Boozer,,80-81,,
0:34.0,N. Young misses 3-pt shot from 25 ft,,80-81,,
0:34.0,,,80-81,,Defensive rebound by D. Cousins
0:14.0,,,80-81,,Shooting foul by J. Lin (drawn by D. Cousins)
0:14.0,,,80-81,,D. Cousins misses free throw 1 of 2
0:14.0,,,80-81,,Offensive rebound by Team
0:14.0,,,80-81,,D. Williams enters the game for R. Gay
0:14.0,,,80-81,,D. Cousins misses free throw 2 of 2
0:13.0,Defensive rebound by R. Sacre,,80-81,,
0:04.0,K. Bryant misses 2-pt shot from 3 ft,,80-81,,
0:03.0,Offensive rebound by R. Sacre,,80-81,,
0:01.0,R. Sacre misses 2-pt shot from 6 ft (block by D. Cousins),,80-81,,
0:00.0,,,80-81,,Defensive rebound by R. McCallum
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:36.0,Turnover by Team (shot clock),,80-81,,
11:16.0,,,80-81,,D. Cousins misses 2-pt shot from 1 ft (block by R. Sacre)
11:14.0,Defensive rebound by C. Boozer,,80-81,,
11:11.0,Turnover by J. Lin (bad pass; steal by D. Collison),,80-81,,
11:04.0,,,80-81,,R. McCallum misses 3-pt shot from 23 ft
11:03.0,Defensive rebound by C. Boozer,,80-81,,
10:57.0,N. Young misses 2-pt shot from 4 ft,,80-81,,
10:55.0,,,80-81,,Defensive rebound by R. McCallum
10:46.0,,,80-81,,D. Collison misses 3-pt shot from 23 ft
10:46.0,Defensive rebound by J. Lin,,80-81,,
10:27.0,C. Boozer misses 2-pt shot from 3 ft (block by C. Landry),,80-81,,
10:27.0,,,80-81,,Defensive rebound by C. Landry
10:03.0,,,80-83,2,D. Cousins makes 2-pt shot from 19 ft (assist by R. McCallum)
9:46.0,,,80-83,,Personal foul by R. McCallum (drawn by N. Young)
9:46.0,,,80-83,,J. Thompson enters the game for D. Cousins
9:35.0,C. Boozer makes 2-pt shot from 3 ft (assist by J. Lin),2,82-83,,
9:10.0,,,82-83,,R. McCallum misses 3-pt shot from 23 ft
9:09.0,Defensive rebound by W. Ellington,,82-83,,
9:00.0,W. Ellington misses 3-pt shot from 24 ft,,82-83,,
8:59.0,,,82-83,,Defensive rebound by D. Williams
8:51.0,,,82-83,,Turnover by D. Collison (bad pass; steal by N. Young)
8:50.0,,,82-83,,Personal foul by J. Thompson (drawn by N. Young)
8:50.0,Official timeout,,82-83,,
8:50.0,,,82-83,,R. Gay enters the game for R. McCallum
8:39.0,N. Young makes 3-pt shot from 25 ft,3,85-83,,
8:24.0,,,85-83,,C. Landry misses 2-pt shot from 16 ft
8:22.0,Defensive rebound by J. Lin,,85-83,,
8:03.0,N. Young makes 3-pt shot from 28 ft (assist by J. Lin),3,88-83,,
8:03.0,Shooting foul by R. Gay (drawn by N. Young),,88-83,,
8:03.0,N. Young makes free throw 1 of 1,1,89-83,,
7:49.0,,,89-86,3,R. Gay makes 3-pt shot from 25 ft
7:35.0,N. Young misses 2-pt shot from 2 ft,,89-86,,
7:34.0,Offensive rebound by C. Boozer,,89-86,,
7:34.0,C. Boozer misses 2-pt shot from 1 ft,,89-86,,
7:32.0,,,89-86,,Defensive rebound by D. Williams
7:29.0,,,89-88,2,D. Williams makes 2-pt shot from 2 ft
7:29.0,,,89-88,,Shooting foul by W. Ellington (drawn by D. Williams)
7:29.0,,,89-89,1,D. Williams makes free throw 1 of 1
7:11.0,R. Sacre makes 2-pt shot from 14 ft (assist by J. Lin),2,91-89,,
6:49.0,,,91-89,,Offensive foul by R. Gay
6:49.0,,,91-89,,Turnover by R. Gay (offensive foul)
6:49.0,,,91-89,,D. Cousins enters the game for C. Landry
6:49.0,,,91-89,,B. McLemore enters the game for D. Williams
6:49.0,K. Bryant enters the game for W. Ellington,,91-89,,
6:32.0,Turnover by J. Lin (traveling),,91-89,,
6:20.0,E. Davis enters the game for R. Sacre,,91-89,,
6:17.0,,,91-89,,Shooting foul by E. Davis (drawn by R. Gay)
6:17.0,,,91-89,,R. Gay misses free throw 1 of 2
6:17.0,,,91-89,,Offensive rebound by Team
6:17.0,,,91-90,1,R. Gay makes free throw 2 of 2
5:55.0,K. Bryant misses 3-pt shot from 25 ft,,91-90,,
5:55.0,,,91-90,,Defensive rebound by Team
5:55.0,Loose ball foul by N. Young (drawn by D. Cousins),,91-90,,
5:55.0,,,91-90,,Sacramento full timeout
5:37.0,,,91-90,,D. Cousins misses 2-pt shot from 2 ft
5:34.0,,,91-90,,Offensive rebound by D. Cousins
