time,New Orleans,pts.away,score,pts.home,Oklahoma City
10:53.0,,,27-30,2,A. Morrow makes 2-pt shot from 13 ft
10:32.0,R. Anderson makes 2-pt shot from 6 ft,2,29-30,,
10:32.0,Shooting foul by N. Collison (drawn by R. Anderson),,29-30,,
10:32.0,R. Anderson makes free throw 1 of 1,1,30-30,,
10:14.0,,,30-32,2,R. Jackson makes 2-pt shot from 16 ft
9:52.0,A. Rivers misses 2-pt shot from 8 ft,,30-32,,
9:51.0,,,30-32,,Defensive rebound by R. Jackson
9:45.0,,,30-32,,R. Jackson misses 3-pt shot from 25 ft
9:43.0,Defensive rebound by Team,,30-32,,
9:23.0,R. Anderson misses 2-pt shot from 17 ft,,30-32,,
9:21.0,Offensive rebound by A. Ajinca,,30-32,,
9:21.0,A. Ajinca misses 2-pt shot at rim,,30-32,,
9:19.0,,,30-32,,Defensive rebound by K. Perkins
9:15.0,,,30-32,,Shooting foul by J. Salmons (drawn by J. Lamb)
9:15.0,,,30-32,,J. Lamb misses free throw 1 of 2
9:15.0,,,30-32,,Offensive rebound by Team
9:15.0,,,30-33,1,J. Lamb makes free throw 2 of 2
8:55.0,A. Ajinca makes 2-pt shot from 8 ft (assist by R. Anderson),2,32-33,,
8:36.0,,,32-33,,N. Collison misses 3-pt shot from 24 ft
8:35.0,Defensive rebound by A. Rivers,,32-33,,
8:23.0,R. Anderson makes 2-pt shot from 2 ft,2,34-33,,
8:11.0,,,34-33,,J. Lamb misses 2-pt shot from 4 ft
8:10.0,Defensive rebound by A. Rivers,,34-33,,
7:58.0,A. Ajinca makes 2-pt shot from 18 ft (assist by A. Rivers),2,36-33,,
7:57.0,,,36-33,,Oklahoma City full timeout
7:57.0,,,36-33,,R. Westbrook enters the game for J. Lamb
7:43.0,Violation by A. Ajinca (def goaltending),,36-33,,
7:43.0,,,36-35,2,R. Westbrook makes 2-pt shot from 5 ft
7:31.0,A. Rivers misses 3-pt shot from 24 ft,,36-35,,
7:30.0,,,36-35,,Defensive rebound by R. Jackson
7:16.0,,,36-35,,R. Westbrook misses 2-pt shot from 13 ft
7:15.0,,,36-35,,Offensive rebound by K. Perkins
7:11.0,,,36-35,,Turnover by K. Perkins (lost ball; steal by A. Ajinca)
7:03.0,R. Anderson makes 3-pt shot from 22 ft (assist by A. Rivers),3,39-35,,
6:51.0,,,39-35,,A. Morrow misses 2-pt shot from 16 ft
6:50.0,,,39-35,,Offensive rebound by R. Westbrook
6:32.0,,,39-35,,N. Collison misses 2-pt shot from 2 ft
6:31.0,,,39-35,,Offensive rebound by Team
6:31.0,A. Davis enters the game for A. Ajinca,,39-35,,
6:31.0,T. Evans enters the game for J. Salmons,,39-35,,
6:31.0,,,39-35,,S. Ibaka enters the game for N. Collison
6:31.0,,,39-35,,S. Adams enters the game for K. Perkins
6:28.0,,,39-37,2,S. Ibaka makes 2-pt shot from 1 ft (assist by R. Jackson)
6:08.0,A. Davis makes 2-pt shot from 1 ft (assist by A. Rivers),2,41-37,,
6:02.0,Personal foul by R. Anderson (drawn by S. Adams),,41-37,,
6:02.0,,,41-37,,A. Roberson enters the game for A. Morrow
5:54.0,,,41-37,,Turnover by R. Westbrook (bad pass)
5:54.0,Official timeout,,41-37,,
5:38.0,A. Davis makes 2-pt shot at rim (assist by T. Evans),2,43-37,,
5:13.0,,,43-37,,R. Jackson misses 3-pt shot from 24 ft (block by A. Davis)
5:11.0,Defensive rebound by A. Rivers,,43-37,,
5:06.0,D. Cunningham makes 2-pt shot from 17 ft (assist by A. Rivers),2,45-37,,
4:53.0,,,45-37,,Shooting foul by A. Rivers (drawn by R. Westbrook)
4:53.0,,,45-38,1,R. Westbrook makes free throw 1 of 2
4:53.0,J. Holiday enters the game for A. Rivers,,45-38,,
4:53.0,,,45-38,,R. Westbrook misses free throw 2 of 2
4:53.0,Defensive rebound by D. Cunningham,,45-38,,
4:39.0,,,45-38,,Personal foul by A. Roberson (drawn by T. Evans)
4:31.0,R. Anderson misses 3-pt shot from 24 ft,,45-38,,
4:30.0,,,45-38,,Defensive rebound by R. Jackson
4:14.0,,,45-38,,Turnover by S. Adams (bad pass; steal by T. Evans)
4:10.0,Turnover by A. Davis (bad pass; steal by S. Adams),,45-38,,
4:04.0,,,45-38,,Shooting foul by D. Cunningham (drawn by A. Roberson)
4:04.0,,,45-39,1,A. Roberson makes free throw 1 of 2
4:04.0,O. Asik enters the game for R. Anderson,,45-39,,
4:04.0,,,45-39,,A. Roberson misses free throw 2 of 2
4:03.0,,,45-39,,Offensive rebound by S. Adams
3:57.0,,,45-42,3,R. Jackson makes 3-pt shot from 24 ft (assist by S. Adams)
3:51.0,Turnover by T. Evans (lost ball; steal by R. Westbrook),,45-42,,
3:47.0,,,45-42,,Turnover by R. Westbrook (lost ball; steal by J. Holiday)
3:46.0,Turnover by A. Davis (lost ball; steal by R. Westbrook),,45-42,,
3:46.0,Jump ball: A. Davis vs. R. Westbrook (A. Roberson gains possession),,,,Jump ball: A. Davis vs. R. Westbrook (A. Roberson gains possession)
3:40.0,,,45-42,,S. Ibaka misses 3-pt shot from 25 ft
3:39.0,Defensive rebound by O. Asik,,45-42,,
3:25.0,D. Cunningham makes 2-pt shot from 16 ft (assist by J. Holiday),2,47-42,,
3:04.0,,,47-44,2,S. Adams makes 2-pt shot from 4 ft
2:46.0,A. Davis makes 2-pt shot from 6 ft (assist by T. Evans),2,49-44,,
2:30.0,,,49-44,,R. Westbrook misses 2-pt shot from 15 ft
2:30.0,Defensive rebound by O. Asik,,49-44,,
2:14.0,A. Davis makes 2-pt shot from 17 ft (assist by T. Evans),2,51-44,,
1:58.0,,,51-44,,R. Westbrook misses 2-pt shot from 3 ft
1:58.0,,,51-44,,Offensive rebound by R. Westbrook
1:50.0,,,51-44,,R. Westbrook misses 2-pt shot from 3 ft
1:49.0,,,51-44,,Offensive rebound by S. Ibaka
1:49.0,,,51-44,,S. Ibaka misses 2-pt shot from 2 ft
1:48.0,Defensive rebound by O. Asik,,51-44,,
1:40.0,T. Evans makes 2-pt shot at rim (assist by D. Cunningham),2,53-44,,
1:39.0,,,53-44,,Oklahoma City full timeout
1:39.0,New Orleans full timeout,,53-44,,
1:29.0,,,53-46,2,S. Ibaka makes 2-pt shot from 15 ft (assist by R. Jackson)
1:03.0,A. Davis misses 3-pt shot from 22 ft,,53-46,,
1:02.0,,,53-46,,Defensive rebound by R. Westbrook
0:58.0,,,53-48,2,R. Westbrook makes 2-pt shot from 1 ft
0:47.0,A. Davis misses 2-pt shot from 16 ft,,53-48,,
0:46.0,Offensive rebound by D. Cunningham,,53-48,,
0:30.0,T. Evans misses 2-pt shot from 3 ft (block by S. Adams),,53-48,,
0:30.0,Offensive rebound by Team,,53-48,,
0:30.0,R. Anderson enters the game for O. Asik,,53-48,,
0:24.0,R. Anderson misses 3-pt shot from 24 ft,,53-48,,
0:23.0,,,53-48,,Defensive rebound by A. Roberson
0:04.0,,,53-48,,R. Westbrook misses 2-pt shot from 2 ft
0:03.0,,,53-48,,Offensive rebound by R. Westbrook
0:00.0,,,53-48,,R. Jackson misses 2-pt shot from 13 ft
0:00.0,Defensive rebound by Team,,53-48,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,T. Evans makes 2-pt shot from 20 ft,2,55-48,,
11:18.0,,,55-51,3,P. Jones makes 3-pt shot from 24 ft (assist by R. Westbrook)
11:07.0,A. Davis makes 2-pt shot from 18 ft (assist by J. Holiday),2,57-51,,
11:01.0,,,57-51,,Oklahoma City full timeout
10:45.0,,,57-51,,Shooting foul by T. Evans (drawn by R. Westbrook)
10:45.0,,,57-52,1,R. Westbrook makes free throw 1 of 2
10:45.0,,,57-53,1,R. Westbrook makes free throw 2 of 2
10:30.0,Turnover by J. Holiday (bad pass; steal by A. Roberson),,57-53,,
10:24.0,,,57-53,,Turnover by R. Westbrook (bad pass; steal by A. Davis)
10:16.0,J. Holiday misses 2-pt shot at rim,,57-53,,
10:15.0,,,57-53,,Defensive rebound by S. Ibaka
10:07.0,,,57-53,,Turnover by S. Adams (bad pass)
9:43.0,Turnover by Team (shot clock),,57-53,,
9:33.0,,,57-55,2,P. Jones makes 2-pt shot from 5 ft (assist by A. Roberson)
9:21.0,J. Holiday makes 3-pt shot from 24 ft (assist by T. Evans),3,60-55,,
9:03.0,,,60-55,,R. Westbrook misses 3-pt shot from 25 ft
9:02.0,Defensive rebound by O. Asik,,60-55,,
8:48.0,T. Evans makes 2-pt shot from 17 ft,2,62-55,,
8:46.0,Violation by Team (delay of game),,62-55,,
8:36.0,,,62-55,,R. Westbrook misses 2-pt shot from 1 ft
8:35.0,,,62-55,,Offensive rebound by R. Westbrook
8:32.0,,,62-55,,Shooting foul by O. Asik (drawn by R. Westbrook)
8:32.0,,,62-56,1,R. Westbrook makes free throw 1 of 2
8:32.0,,,62-57,1,R. Westbrook makes free throw 2 of 2
8:15.0,Shooting foul by P. Jones (drawn by O. Asik),,62-57,,
8:15.0,O. Asik misses free throw 1 of 2,,62-57,,
8:15.0,Offensive rebound by Team,,62-57,,
8:15.0,O. Asik makes free throw 2 of 2,1,63-57,,
8:03.0,,,63-59,2,A. Roberson makes 2-pt shot at rim
7:45.0,T. Evans makes 2-pt shot from 1 ft,2,65-59,,
7:28.0,,,65-59,,Shooting foul by O. Asik (drawn by R. Westbrook)
7:28.0,,,65-60,1,R. Westbrook makes free throw 1 of 2
7:28.0,,,65-61,1,R. Westbrook makes free throw 2 of 2
7:19.0,Turnover by J. Holiday (bad pass),,65-61,,
7:11.0,,,65-63,2,P. Jones makes 2-pt shot from 7 ft (assist by R. Westbrook)
7:11.0,,,65-63,,Shooting foul by L. Babbitt (drawn by P. Jones)
7:11.0,D. Cunningham enters the game for L. Babbitt,,65-63,,
7:11.0,,,65-64,1,P. Jones makes free throw 1 of 1
6:57.0,J. Holiday misses 3-pt shot from 24 ft,,65-64,,
6:56.0,,,65-64,,Defensive rebound by P. Jones
6:48.0,,,65-64,,A. Roberson misses 3-pt shot from 23 ft
6:47.0,Defensive rebound by O. Asik,,65-64,,
6:42.0,T. Evans makes 2-pt shot from 1 ft,2,67-64,,
6:25.0,,,67-64,,Turnover by R. Westbrook (bad pass)
6:13.0,T. Evans misses 2-pt shot from 19 ft,,67-64,,
6:12.0,,,67-64,,Defensive rebound by P. Jones
6:05.0,,,67-64,,R. Westbrook misses 2-pt shot from 7 ft
6:05.0,,,67-64,,Offensive rebound by S. Adams
6:04.0,,,67-66,2,S. Adams makes 2-pt shot from 1 ft
5:50.0,Turnover by J. Holiday (lost ball; steal by A. Roberson),,67-66,,
5:46.0,,,67-68,2,R. Westbrook makes 2-pt shot at rim (assist by A. Roberson)
5:45.0,New Orleans full timeout,,67-68,,
5:29.0,J. Holiday makes 3-pt shot from 24 ft (assist by A. Davis),3,70-68,,
5:08.0,,,70-68,,P. Jones misses 2-pt shot from 9 ft
5:07.0,Defensive rebound by O. Asik,,70-68,,
4:56.0,D. Cunningham misses 3-pt shot from 24 ft,,70-68,,
4:55.0,,,70-68,,Defensive rebound by Team
4:32.0,,,70-70,2,R. Westbrook makes 2-pt shot at rim
4:16.0,Shooting foul by A. Roberson (drawn by A. Davis),,70-70,,
4:16.0,A. Davis makes free throw 1 of 2,1,71-70,,
4:16.0,R. Anderson enters the game for O. Asik,,71-70,,
4:16.0,,,71-70,,A. Morrow enters the game for A. Roberson
4:16.0,A. Davis makes free throw 2 of 2,1,72-70,,
3:59.0,,,72-73,3,A. Morrow makes 3-pt shot from 22 ft (assist by R. Westbrook)
3:34.0,T. Evans misses 2-pt shot from 2 ft,,72-73,,
3:33.0,,,72-73,,Defensive rebound by P. Jones
3:28.0,Personal foul by A. Davis (drawn by S. Adams),,72-73,,
3:28.0,,,72-74,1,S. Adams makes free throw 1 of 2
3:28.0,A. Rivers enters the game for J. Holiday,,72-74,,
3:28.0,,,72-74,,S. Adams misses free throw 2 of 2
3:27.0,Defensive rebound by A. Davis,,72-74,,
3:03.0,Turnover by Team (shot clock),,72-74,,
3:03.0,,,72-74,,R. Jackson enters the game for R. Westbrook
2:51.0,,,72-74,,Turnover by S. Adams (bad pass; steal by T. Evans)
2:46.0,T. Evans misses 2-pt shot at rim,,72-74,,
2:45.0,,,72-74,,Defensive rebound by S. Ibaka
2:32.0,,,72-77,3,R. Jackson makes 3-pt shot from 23 ft
2:06.0,A. Davis makes 2-pt shot from 2 ft (assist by T. Evans),2,74-77,,
1:58.0,,,74-77,,Oklahoma City full timeout
1:58.0,,,74-77,,K. Perkins enters the game for S. Adams
1:58.0,A. Ajinca enters the game for A. Davis,,74-77,,
1:45.0,,,74-79,2,P. Jones makes 2-pt shot from 8 ft (assist by R. Jackson)
1:19.0,Turnover by T. Evans (bad pass),,74-79,,
1:02.0,,,74-79,,P. Jones misses 3-pt shot from 24 ft
1:01.0,Defensive rebound by T. Evans,,74-79,,
0:46.0,R. Anderson misses 2-pt shot from 13 ft,,74-79,,
0:45.0,Offensive rebound by D. Cunningham,,74-79,,
0:39.0,A. Rivers makes 2-pt shot from 2 ft (assist by D. Cunningham),2,76-79,,
0:29.0,,,76-79,,R. Jackson misses 2-pt shot from 13 ft
0:28.0,,,76-79,,Offensive rebound by K. Perkins
0:25.0,,,76-81,2,K. Perkins makes 2-pt shot from 2 ft
0:12.0,,,76-81,,Personal foul by K. Perkins (drawn by A. Rivers)
0:00.0,T. Evans misses 2-pt shot from 18 ft,,76-81,,
0:00.0,,,76-81,,Defensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,76-81,,P. Jones misses 2-pt shot from 14 ft
11:41.0,Defensive rebound by R. Anderson,,76-81,,
11:22.0,A. Ajinca makes 2-pt shot from 8 ft (assist by J. Holiday),2,78-81,,
11:06.0,,,78-81,,Shooting foul by A. Ajinca (drawn by R. Jackson)
11:06.0,,,78-82,1,R. Jackson makes free throw 1 of 2
11:06.0,,,78-83,1,R. Jackson makes free throw 2 of 2
10:49.0,R. Anderson misses 2-pt shot from 14 ft,,78-83,,
10:48.0,,,78-83,,Defensive rebound by A. Morrow
10:40.0,,,78-83,,K. Perkins misses 2-pt shot from 3 ft (block by A. Ajinca)
10:38.0,,,78-83,,Offensive rebound by K. Perkins
10:36.0,,,78-85,2,K. Perkins makes 2-pt shot from 4 ft
10:24.0,R. Anderson makes 3-pt shot from 26 ft (assist by J. Holiday),3,81-85,,
10:10.0,Personal foul by A. Ajinca (drawn by K. Perkins),,81-85,,
9:55.0,,,81-85,,R. Jackson misses 2-pt shot from 23 ft
9:54.0,,,81-85,,Offensive rebound by N. Collison
9:51.0,,,81-85,,Turnover by N. Collison (lost ball; steal by A. Rivers)
9:39.0,J. Holiday misses 2-pt shot from 6 ft,,81-85,,
9:38.0,,,81-85,,Defensive rebound by A. Morrow
9:33.0,Personal foul by J. Holiday (drawn by A. Morrow),,81-85,,
9:33.0,A. Davis enters the game for A. Ajinca,,81-85,,
9:19.0,,,81-85,,N. Collison misses 2-pt shot from 5 ft (block by A. Davis)
9:17.0,Defensive rebound by A. Rivers,,81-85,,
9:11.0,D. Cunningham makes 2-pt shot from 18 ft (assist by J. Holiday),2,83-85,,
8:49.0,,,83-87,2,R. Jackson makes 2-pt shot at rim
8:42.0,J. Holiday misses 3-pt shot from 24 ft,,83-87,,
8:41.0,Offensive rebound by Team,,83-87,,
8:40.0,Official timeout,,83-87,,
8:40.0,,,83-87,,S. Ibaka enters the game for N. Collison
8:28.0,A. Davis makes 2-pt shot at rim (assist by J. Holiday),2,85-87,,
8:06.0,,,85-87,,A. Morrow misses 2-pt shot from 10 ft
8:06.0,Defensive rebound by D. Cunningham,,85-87,,
8:05.0,,,85-87,,Personal foul by A. Morrow (drawn by D. Cunningham)
8:05.0,,,85-87,,R. Westbrook enters the game for A. Morrow
7:52.0,R. Anderson misses 3-pt shot from 24 ft,,85-87,,
7:51.0,,,85-87,,Defensive rebound by R. Jackson
7:39.0,,,85-89,2,R. Westbrook makes 2-pt shot at rim
7:22.0,A. Davis makes 2-pt shot from 1 ft (assist by J. Holiday),2,87-89,,
7:08.0,,,87-89,,Shooting foul by A. Davis (drawn by R. Westbrook)
7:08.0,,,87-89,,R. Westbrook misses free throw 1 of 2
7:08.0,,,87-89,,Offensive rebound by Team
7:08.0,,,87-89,,A. Roberson enters the game for P. Jones
7:08.0,,,87-89,,S. Adams enters the game for K. Perkins
7:08.0,T. Evans enters the game for A. Rivers,,87-89,,
7:08.0,,,87-90,1,R. Westbrook makes free throw 2 of 2
6:50.0,A. Davis misses 2-pt shot at rim,,87-90,,
6:50.0,Offensive rebound by A. Davis,,87-90,,
6:34.0,D. Cunningham misses 2-pt shot from 22 ft,,87-90,,
6:33.0,,,87-90,,Defensive rebound by R. Jackson
6:28.0,,,87-92,2,R. Jackson makes 2-pt shot from 1 ft
6:22.0,,,87-92,,Personal take foul by R. Westbrook (drawn by J. Holiday)
6:14.0,A. Davis makes 2-pt shot at rim (assist by J. Holiday),2,89-92,,
6:00.0,,,89-95,3,R. Jackson makes 3-pt shot from 23 ft
5:48.0,J. Holiday makes 2-pt shot from 1 ft,2,91-95,,
5:34.0,,,91-97,2,S. Adams makes 2-pt shot from 1 ft (assist by R. Jackson)
5:17.0,R. Anderson makes 3-pt shot from 25 ft (assist by J. Holiday),3,94-97,,
5:07.0,,,94-97,,Oklahoma City full timeout
5:07.0,O. Asik enters the game for D. Cunningham,,94-97,,
4:58.0,,,94-97,,Turnover by R. Westbrook (lost ball; steal by T. Evans)
4:53.0,T. Evans misses 2-pt shot from 2 ft,,94-97,,
4:53.0,Offensive rebound by Team,,94-97,,
4:53.0,,,94-97,,Loose ball foul by S. Ibaka (drawn by A. Davis)
4:47.0,T. Evans makes 2-pt shot from 1 ft (assist by A. Davis),2,96-97,,
4:24.0,,,96-97,,R. Westbrook misses 2-pt shot from 2 ft (block by O. Asik)
4:22.0,,,96-97,,Offensive rebound by S. Adams
4:21.0,,,96-97,,S. Adams misses 2-pt shot from 2 ft (block by O. Asik)
4:19.0,Defensive rebound by A. Davis,,96-97,,
3:58.0,A. Davis makes 2-pt shot from 10 ft (assist by J. Holiday),2,98-97,,
3:58.0,Shooting foul by S. Ibaka (drawn by A. Davis),,98-97,,
3:58.0,,,98-97,,P. Jones enters the game for A. Roberson
3:58.0,A. Davis makes free throw 1 of 1,1,99-97,,
3:46.0,,,99-99,2,R. Westbrook makes 2-pt shot at rim
3:22.0,T. Evans misses 2-pt shot from 4 ft,,99-99,,
3:21.0,,,99-99,,Defensive rebound by P. Jones
3:01.0,,,99-99,,Turnover by R. Westbrook (bad pass; steal by J. Holiday)
2:58.0,A. Davis makes 2-pt shot at rim (assist by J. Holiday),2,101-99,,
2:40.0,,,101-99,,R. Westbrook misses 2-pt shot from 2 ft
2:39.0,,,101-99,,Offensive rebound by S. Adams
2:31.0,,,101-99,,R. Westbrook misses 3-pt shot from 23 ft
2:30.0,Defensive rebound by O. Asik,,101-99,,
2:09.0,T. Evans misses 2-pt shot from 6 ft,,101-99,,
2:09.0,,,101-99,,Defensive rebound by S. Ibaka
1:56.0,,,101-99,,R. Westbrook misses 2-pt shot at rim
1:55.0,Defensive rebound by A. Davis,,101-99,,
1:48.0,New Orleans full timeout,,101-99,,
1:34.0,J. Holiday misses 3-pt shot from 25 ft,,101-99,,
