time,Denver,pts.away,score,pts.home,Utah
2:03.0,D. Gallinari misses 3-pt shot from 24 ft,,22-21,,
2:01.0,,,22-21,,Defensive rebound by A. Burks
1:59.0,,,22-21,,Turnover by A. Burks (lost ball; steal by D. Arthur)
1:59.0,Jump ball: D. Arthur vs. A. Burks (T. Lawson gains possession),,,,Jump ball: D. Arthur vs. A. Burks (T. Lawson gains possession)
1:46.0,J. Hickson makes 2-pt shot at rim (assist by A. Afflalo),2,24-21,,
1:21.0,,,24-21,,Turnover by A. Burks (lost ball; steal by J. Hickson)
1:17.0,Turnover by T. Lawson (lost ball),,24-21,,
1:03.0,,,24-21,,A. Burks misses 2-pt shot from 20 ft
1:02.0,Defensive rebound by D. Arthur,,24-21,,
0:51.0,J. Hickson misses 2-pt shot from 8 ft,,24-21,,
0:50.0,,,24-21,,Defensive rebound by A. Burks
0:45.0,,,24-21,,Turnover by A. Burks (traveling)
0:45.0,N. Robinson enters the game for T. Lawson,,24-21,,
0:45.0,,,24-21,,T. Booker enters the game for S. Novak
0:35.0,J. Hickson misses 2-pt shot from 3 ft,,24-21,,
0:34.0,,,24-21,,Defensive rebound by T. Booker
0:29.0,,,24-21,,T. Booker misses 2-pt shot at rim
0:28.0,,,24-21,,Offensive rebound by R. Gobert
0:28.0,,,24-23,2,R. Gobert makes 2-pt shot from 1 ft
0:04.0,N. Robinson makes 2-pt shot from 17 ft,2,26-23,,
0:00.0,,,26-23,,A. Burks misses 3-pt shot from 26 ft
0:00.0,,,26-23,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,,,26-23,,Turnover by D. Exum (bad pass; steal by D. Arthur)
11:25.0,D. Arthur makes 2-pt shot from 3 ft (assist by J. Hickson),2,28-23,,
11:00.0,,,28-23,,R. Gobert misses 2-pt shot at rim
11:00.0,Defensive rebound by Team,,28-23,,
10:50.0,J. Hickson misses 2-pt shot at rim,,28-23,,
10:49.0,,,28-23,,Defensive rebound by G. Hayward
10:35.0,,,28-25,2,R. Hood makes 2-pt shot from 3 ft
10:23.0,N. Robinson makes 2-pt shot from 4 ft,2,30-25,,
10:08.0,,,30-25,,Turnover by R. Hood (traveling)
9:53.0,D. Arthur makes 2-pt shot from 5 ft,2,32-25,,
9:50.0,Personal foul by G. Harris (drawn by G. Hayward),,32-25,,
9:40.0,,,32-25,,D. Exum misses 2-pt shot from 2 ft
9:38.0,Defensive rebound by J. Hickson,,32-25,,
9:34.0,J. Hickson misses 2-pt shot from 3 ft (block by S. Novak),,32-25,,
9:31.0,,,32-25,,Defensive rebound by R. Hood
9:29.0,,,32-25,,Turnover by R. Hood (bad pass; steal by N. Robinson)
9:29.0,D. Gallinari makes 2-pt shot from 2 ft (assist by N. Robinson),2,34-25,,
9:29.0,Shooting foul by S. Novak (drawn by D. Gallinari),,34-25,,
9:29.0,,,34-25,,T. Booker enters the game for S. Novak
9:29.0,D. Gallinari makes free throw 1 of 1,1,35-25,,
9:11.0,,,35-25,,G. Hayward misses 3-pt shot from 24 ft
9:09.0,Defensive rebound by D. Gallinari,,35-25,,
9:04.0,D. Gallinari misses 3-pt shot from 25 ft,,35-25,,
9:03.0,,,35-25,,Defensive rebound by R. Gobert
8:56.0,,,35-25,,R. Hood misses 3-pt shot from 24 ft
8:54.0,Defensive rebound by D. Gallinari,,35-25,,
8:44.0,D. Arthur makes 3-pt shot from 24 ft (assist by D. Gallinari),3,38-25,,
8:43.0,,,38-25,,Utah full timeout
8:43.0,,,38-25,,E. Kanter enters the game for R. Gobert
8:43.0,,,38-25,,T. Burke enters the game for D. Exum
8:25.0,,,38-25,,G. Hayward misses 2-pt shot from 2 ft (block by J. Hickson)
8:23.0,Defensive rebound by G. Harris,,38-25,,
8:19.0,G. Harris misses 2-pt shot from 1 ft,,38-25,,
8:18.0,,,38-25,,Defensive rebound by T. Booker
8:16.0,,,38-25,,Turnover by T. Booker (lost ball)
8:07.0,Turnover by J. Hickson (bad pass; steal by T. Booker),,38-25,,
7:57.0,,,38-25,,E. Kanter misses 2-pt shot from 17 ft
7:56.0,Defensive rebound by D. Arthur,,38-25,,
7:45.0,D. Arthur makes 3-pt shot from 24 ft (assist by N. Robinson),3,41-25,,
7:25.0,,,41-27,2,T. Burke makes 2-pt shot from 21 ft
7:07.0,D. Gallinari makes 2-pt shot from 17 ft (assist by J. Hickson),2,43-27,,
6:54.0,,,43-27,,E. Kanter misses 2-pt shot from 3 ft
6:53.0,Defensive rebound by N. Robinson,,43-27,,
6:45.0,Shooting foul by R. Hood (drawn by J. Hickson),,43-27,,
6:45.0,J. Hickson makes 2-pt shot from 1 ft (assist by N. Robinson),2,45-27,,
6:45.0,K. Faried enters the game for D. Arthur,,45-27,,
6:45.0,J. Hickson makes free throw 1 of 1,1,46-27,,
6:32.0,,,46-30,3,G. Hayward makes 3-pt shot from 24 ft (assist by T. Burke)
6:22.0,Denver full timeout,,46-30,,
6:22.0,T. Mozgov enters the game for J. Hickson,,46-30,,
6:22.0,T. Lawson enters the game for N. Robinson,,46-30,,
6:22.0,,,46-30,,A. Burks enters the game for R. Hood
6:14.0,G. Harris makes 3-pt shot from 24 ft (assist by K. Faried),3,49-30,,
5:54.0,,,49-30,,G. Hayward misses 2-pt shot from 17 ft
5:52.0,Defensive rebound by K. Faried,,49-30,,
5:33.0,D. Gallinari misses 3-pt shot from 23 ft,,49-30,,
5:32.0,,,49-30,,Defensive rebound by E. Kanter
5:17.0,,,49-30,,T. Booker misses 3-pt shot from 23 ft
5:16.0,,,49-30,,Offensive rebound by E. Kanter
5:13.0,,,49-30,,E. Kanter misses 2-pt shot from 2 ft (block by D. Gallinari)
5:13.0,,,49-30,,Offensive rebound by Team
5:13.0,W. Chandler enters the game for G. Harris,,49-30,,
5:13.0,A. Afflalo enters the game for D. Gallinari,,49-30,,
5:03.0,,,49-30,,G. Hayward misses 2-pt shot from 17 ft
5:01.0,Defensive rebound by T. Mozgov,,49-30,,
4:50.0,A. Afflalo makes 3-pt shot from 24 ft (assist by T. Lawson),3,52-30,,
4:28.0,,,52-30,,A. Burks misses 2-pt shot from 1 ft
4:26.0,,,52-30,,Offensive rebound by T. Booker
4:26.0,,,52-32,2,T. Booker makes 2-pt shot from 2 ft
4:13.0,T. Lawson makes 2-pt shot from 1 ft,2,54-32,,
4:02.0,,,54-32,,Shooting foul by T. Mozgov (drawn by A. Burks)
4:02.0,,,54-33,1,A. Burks makes free throw 1 of 2
4:02.0,,,54-34,1,A. Burks makes free throw 2 of 2
3:53.0,T. Mozgov makes 2-pt shot at rim (assist by T. Lawson),2,56-34,,
3:32.0,,,56-34,,T. Burke misses 3-pt shot from 25 ft
3:31.0,,,56-34,,Offensive rebound by E. Kanter
3:21.0,,,56-34,,Shooting foul by T. Mozgov (drawn by A. Burks)
3:21.0,,,56-34,,A. Burks misses free throw 1 of 2
3:21.0,,,56-34,,Offensive rebound by Team
3:21.0,,,56-34,,A. Burks misses free throw 2 of 2
3:20.0,Defensive rebound by T. Mozgov,,56-34,,
3:06.0,W. Chandler misses 3-pt shot from 23 ft,,56-34,,
3:05.0,,,56-34,,Defensive rebound by E. Kanter
3:01.0,Shooting block foul by K. Faried (drawn by A. Burks),,56-34,,
3:01.0,,,56-35,1,A. Burks makes free throw 1 of 2
3:01.0,,,56-36,1,A. Burks makes free throw 2 of 2
2:40.0,A. Afflalo makes 2-pt shot from 15 ft,2,58-36,,
2:26.0,,,58-38,2,E. Kanter makes 2-pt shot from 16 ft (assist by T. Burke)
2:09.0,T. Lawson misses 2-pt shot from 16 ft,,58-38,,
2:08.0,,,58-38,,Defensive rebound by E. Kanter
1:52.0,,,58-40,2,T. Booker makes 2-pt shot from 2 ft
1:24.0,A. Afflalo makes 2-pt shot from 22 ft,2,60-40,,
1:08.0,Personal foul by T. Mozgov (drawn by E. Kanter),,60-40,,
1:08.0,Official timeout,,60-40,,
1:08.0,J. Hickson enters the game for T. Mozgov,,60-40,,
1:08.0,,,60-41,1,E. Kanter makes free throw 1 of 2
1:08.0,,,60-41,,E. Kanter misses free throw 2 of 2
1:06.0,Defensive rebound by J. Hickson,,60-41,,
0:53.0,Shooting foul by T. Booker (drawn by K. Faried),,60-41,,
0:53.0,K. Faried makes free throw 1 of 2,1,61-41,,
0:53.0,,,61-41,,J. Ingles enters the game for T. Booker
0:53.0,K. Faried makes free throw 2 of 2,1,62-41,,
0:34.0,,,62-41,,G. Hayward misses 2-pt shot from 2 ft (block by J. Hickson)
0:34.0,,,62-41,,Offensive rebound by E. Kanter
0:34.0,,,62-41,,E. Kanter misses 2-pt shot from 2 ft
0:31.0,Defensive rebound by J. Hickson,,62-41,,
0:07.0,K. Faried misses 2-pt shot from 2 ft,,62-41,,
0:05.0,,,62-41,,Defensive rebound by G. Hayward
0:05.0,Personal foul by J. Hickson (drawn by G. Hayward),,62-41,,
0:05.0,,,62-42,1,G. Hayward makes free throw 1 of 2
0:05.0,,,62-42,,R. Gobert enters the game for J. Ingles
0:05.0,Denver full timeout,,62-42,,
0:05.0,,,62-42,,R. Hood enters the game for E. Kanter
0:05.0,,,62-43,1,G. Hayward makes free throw 2 of 2
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,,,62-43,,T. Burke misses 2-pt shot from 21 ft
11:47.0,Defensive rebound by W. Chandler,,62-43,,
11:43.0,Turnover by A. Afflalo (dbl dribble),,62-43,,
11:30.0,,,62-45,2,E. Kanter makes 2-pt shot from 1 ft (assist by T. Burke)
11:07.0,T. Mozgov makes 2-pt shot from 18 ft (assist by T. Lawson),2,64-45,,
10:45.0,,,64-45,,E. Kanter misses 2-pt shot from 17 ft
10:43.0,Defensive rebound by T. Mozgov,,64-45,,
10:38.0,,,64-45,,Personal foul by T. Booker (drawn by K. Faried)
10:38.0,,,64-45,,R. Gobert enters the game for T. Booker
10:29.0,K. Faried misses 2-pt shot from 2 ft (block by E. Kanter),,64-45,,
10:29.0,Offensive rebound by Team,,64-45,,
10:28.0,,,64-45,,Personal foul by R. Gobert (drawn by T. Mozgov)
10:22.0,T. Lawson misses 2-pt shot from 12 ft (block by T. Burke),,64-45,,
10:20.0,Offensive rebound by T. Lawson,,64-45,,
10:12.0,A. Afflalo misses 3-pt shot from 25 ft,,64-45,,
10:11.0,,,64-45,,Defensive rebound by Team
10:08.0,Personal foul by T. Mozgov (drawn by R. Gobert),,64-45,,
10:08.0,J. Hickson enters the game for T. Mozgov,,64-45,,
9:51.0,,,64-48,3,G. Hayward makes 3-pt shot from 25 ft (assist by R. Gobert)
9:28.0,W. Chandler makes 3-pt shot from 23 ft (assist by T. Lawson),3,67-48,,
9:22.0,,,67-48,,Shooting foul by J. Hickson (drawn by R. Gobert)
9:22.0,,,67-49,1,R. Gobert makes free throw 1 of 2
9:22.0,,,67-49,,R. Gobert misses free throw 2 of 2
9:19.0,Defensive rebound by A. Afflalo,,67-49,,
9:07.0,J. Hickson misses 2-pt shot from 1 ft,,67-49,,
9:06.0,,,67-49,,Defensive rebound by R. Gobert
9:00.0,,,67-51,2,T. Burke makes 2-pt shot from 12 ft (assist by G. Hayward)
8:49.0,K. Faried misses 2-pt shot at rim,,67-51,,
8:49.0,Offensive rebound by Team,,67-51,,
8:33.0,J. Hickson misses 2-pt shot from 12 ft,,67-51,,
8:32.0,,,67-51,,Defensive rebound by E. Kanter
8:22.0,,,67-53,2,A. Burks makes 2-pt shot from 2 ft
8:22.0,Denver full timeout,,67-53,,
8:13.0,Shooting foul by E. Kanter (drawn by J. Hickson),,67-53,,
8:13.0,J. Hickson misses free throw 1 of 2,,67-53,,
8:13.0,Offensive rebound by Team,,67-53,,
8:13.0,J. Hickson makes free throw 2 of 2,1,68-53,,
7:59.0,,,68-55,2,G. Hayward makes 2-pt shot from 1 ft (assist by T. Burke)
7:45.0,K. Faried makes 2-pt shot from 7 ft (assist by T. Lawson),2,70-55,,
7:30.0,,,70-57,2,E. Kanter makes 2-pt shot at rim (assist by T. Burke)
7:16.0,W. Chandler makes 3-pt shot from 23 ft (assist by T. Lawson),3,73-57,,
7:08.0,,,73-57,,T. Burke misses 2-pt shot from 2 ft (block by J. Hickson)
7:06.0,Defensive rebound by T. Lawson,,73-57,,
7:04.0,,,73-57,,Personal foul by G. Hayward (drawn by W. Chandler)
6:56.0,J. Hickson makes 2-pt shot from 1 ft,2,75-57,,
6:30.0,,,75-57,,R. Gobert misses 2-pt shot at rim
6:29.0,,,75-57,,Offensive rebound by R. Gobert
6:29.0,,,75-57,,Shooting foul by J. Hickson (drawn by R. Gobert)
6:29.0,,,75-57,,R. Gobert misses free throw 1 of 2
6:29.0,,,75-57,,Offensive rebound by Team
6:29.0,,,75-58,1,R. Gobert makes free throw 2 of 2
6:04.0,Turnover by Team (shot clock),,75-58,,
5:38.0,,,75-61,3,T. Burke makes 3-pt shot from 25 ft (assist by E. Kanter)
5:24.0,,,75-61,,J. Ingles enters the game for E. Kanter
5:24.0,,,75-61,,T. Booker enters the game for R. Gobert
5:13.0,W. Chandler makes 2-pt shot from 2 ft,2,77-61,,
4:49.0,,,77-61,,T. Booker misses 2-pt shot from 3 ft
4:48.0,Defensive rebound by J. Hickson,,77-61,,
4:38.0,W. Chandler misses 3-pt shot from 24 ft,,77-61,,
4:36.0,,,77-61,,Defensive rebound by J. Ingles
4:29.0,,,77-61,,G. Hayward misses 2-pt shot from 19 ft
4:28.0,Defensive rebound by J. Hickson,,77-61,,
4:17.0,A. Afflalo makes 2-pt shot from 1 ft,2,79-61,,
4:11.0,,,79-61,,Utah full timeout
4:11.0,,,79-61,,E. Kanter enters the game for T. Booker
4:11.0,,,79-61,,R. Gobert enters the game for G. Hayward
4:11.0,D. Arthur enters the game for K. Faried,,79-61,,
4:03.0,,,79-61,,R. Gobert misses 2-pt shot from 2 ft
4:02.0,,,79-61,,Offensive rebound by T. Burke
3:57.0,,,79-63,2,T. Burke makes 2-pt shot from 4 ft
3:36.0,J. Hickson misses 2-pt shot from 3 ft (block by E. Kanter),,79-63,,
3:35.0,,,79-63,,Defensive rebound by E. Kanter
3:28.0,,,79-65,2,A. Burks makes 2-pt shot from 1 ft
3:06.0,D. Arthur misses 3-pt shot from 24 ft,,79-65,,
3:05.0,,,79-65,,Defensive rebound by E. Kanter
3:00.0,,,79-67,2,A. Burks makes 2-pt shot at rim (assist by T. Burke)
2:40.0,T. Lawson misses 2-pt shot from 17 ft,,79-67,,
2:39.0,Offensive rebound by J. Hickson,,79-67,,
2:39.0,J. Hickson misses 2-pt shot from 2 ft,,79-67,,
2:39.0,,,79-67,,Defensive rebound by Team
2:39.0,Personal foul by D. Arthur (drawn by T. Burke),,79-67,,
2:39.0,G. Harris enters the game for A. Afflalo,,79-67,,
2:39.0,D. Gallinari enters the game for W. Chandler,,79-67,,
2:36.0,,,79-67,,D. Exum enters the game for T. Burke
2:23.0,,,79-67,,Turnover by J. Ingles (lost ball; steal by D. Gallinari)
2:18.0,Shooting foul by A. Burks (drawn by D. Gallinari),,79-67,,
2:18.0,D. Gallinari misses free throw 1 of 2,,79-67,,
2:18.0,Offensive rebound by Team,,79-67,,
2:18.0,,,79-67,,T. Booker enters the game for E. Kanter
2:18.0,D. Gallinari makes free throw 2 of 2,1,80-67,,
2:03.0,,,80-67,,A. Burks misses 2-pt shot from 6 ft
2:01.0,,,80-67,,Offensive rebound by R. Gobert
2:01.0,,,80-69,2,R. Gobert makes 2-pt shot from 1 ft
1:50.0,Offensive foul by D. Arthur,,80-69,,
1:50.0,Turnover by D. Arthur (offensive foul),,80-69,,
1:34.0,,,80-69,,Shooting foul by J. Hickson (drawn by R. Gobert)
1:34.0,,,80-70,1,R. Gobert makes free throw 1 of 2
1:34.0,,,80-70,,R. Gobert misses free throw 2 of 2
1:33.0,Defensive rebound by J. Hickson,,80-70,,
1:15.0,D. Arthur misses 3-pt shot from 23 ft (block by T. Booker),,80-70,,
1:13.0,,,80-70,,Defensive rebound by A. Burks
1:10.0,Personal block foul by T. Lawson (drawn by A. Burks),,80-70,,
1:10.0,,,80-71,1,A. Burks makes free throw 1 of 2
1:10.0,N. Robinson enters the game for T. Lawson,,80-71,,
1:10.0,,,80-72,1,A. Burks makes free throw 2 of 2
0:46.0,D. Gallinari misses 3-pt shot from 24 ft,,80-72,,
0:45.0,,,80-72,,Defensive rebound by R. Gobert
0:35.0,Personal foul by N. Robinson (drawn by D. Exum),,80-72,,
0:35.0,,,80-73,1,D. Exum makes free throw 1 of 2
0:35.0,T. Lawson enters the game for J. Hickson,,80-73,,
0:35.0,,,80-73,,T. Burke enters the game for J. Ingles
0:35.0,,,80-74,1,D. Exum makes free throw 2 of 2
0:17.0,G. Harris makes 3-pt shot from 24 ft (assist by T. Lawson),3,83-74,,
0:02.0,,,83-77,3,T. Burke makes 3-pt shot from 24 ft (assist by A. Burks)
0:01.0,T. Lawson misses 3-pt shot from 44 ft,,83-77,,
0:00.0,Offensive rebound by Team,,83-77,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,G. Harris misses 2-pt shot from 2 ft,,83-77,,
11:45.0,,,83-77,,Defensive rebound by R. Gobert
11:30.0,,,83-77,,D. Exum misses 2-pt shot from 6 ft
11:28.0,,,83-77,,Offensive rebound by T. Booker
11:28.0,,,83-79,2,T. Booker makes 2-pt shot at rim
11:13.0,,,83-79,,R. Hood enters the game for A. Burks
11:01.0,N. Robinson misses 3-pt shot from 25 ft,,83-79,,
11:00.0,,,83-79,,Defensive rebound by G. Hayward
10:50.0,,,83-79,,R. Hood misses 3-pt shot from 25 ft
10:49.0,Defensive rebound by N. Robinson,,83-79,,
10:41.0,Turnover by N. Robinson (traveling),,83-79,,
10:22.0,,,83-81,2,G. Hayward makes 2-pt shot from 22 ft
10:04.0,D. Arthur misses 3-pt shot from 23 ft,,83-81,,
10:02.0,,,83-81,,Defensive rebound by R. Hood
9:56.0,,,83-83,2,R. Gobert makes 2-pt shot at rim (assist by R. Hood)
9:56.0,Denver full timeout,,83-83,,
9:56.0,T. Lawson enters the game for N. Robinson,,83-83,,
9:56.0,W. Chandler enters the game for D. Gallinari,,83-83,,
9:56.0,K. Faried enters the game for D. Arthur,,83-83,,
9:56.0,A. Afflalo enters the game for G. Harris,,83-83,,
9:42.0,Offensive foul by T. Mozgov,,83-83,,
9:42.0,Turnover by T. Mozgov (offensive foul),,83-83,,
9:28.0,,,83-83,,G. Hayward misses 2-pt shot from 21 ft
9:27.0,,,83-83,,Offensive rebound by Team
9:09.0,,,83-83,,T. Booker misses 2-pt shot from 15 ft
9:08.0,Defensive rebound by K. Faried,,83-83,,
8:58.0,A. Afflalo makes 2-pt shot from 11 ft,2,85-83,,
8:35.0,,,85-83,,Offensive charge foul by G. Hayward
8:35.0,,,85-83,,Turnover by G. Hayward (offensive foul)
8:35.0,,,85-83,,T. Burke enters the game for D. Exum
8:35.0,,,85-83,,E. Kanter enters the game for T. Booker
8:18.0,K. Faried makes 2-pt shot from 1 ft (assist by T. Lawson),2,87-83,,
8:02.0,,,87-83,,R. Gobert misses 2-pt shot from 2 ft (block by K. Faried)
8:00.0,Defensive rebound by W. Chandler,,87-83,,
7:52.0,T. Lawson misses 2-pt shot from 19 ft,,87-83,,
7:51.0,Offensive rebound by K. Faried,,87-83,,
7:51.0,A. Afflalo makes 3-pt shot from 24 ft (assist by K. Faried),3,90-83,,
7:51.0,,,90-83,,Utah full timeout
7:33.0,,,90-86,3,G. Hayward makes 3-pt shot from 24 ft (assist by T. Burke)
7:16.0,A. Afflalo misses 2-pt shot from 18 ft (block by R. Hood),,90-86,,
7:14.0,,,90-86,,Defensive rebound by E. Kanter
7:12.0,,,90-86,,Shooting foul by A. Afflalo (drawn by R. Hood)
7:12.0,,,90-86,,R. Hood misses free throw 1 of 2
7:12.0,,,90-86,,Offensive rebound by Team
7:12.0,,,90-86,,R. Hood misses free throw 2 of 2
7:10.0,,,90-86,,Offensive rebound by E. Kanter
7:07.0,Personal block foul by T. Lawson (drawn by G. Hayward),,90-86,,
7:07.0,,,90-86,,T. Booker enters the game for R. Gobert
6:59.0,,,90-86,,E. Kanter misses 2-pt shot from 15 ft
6:58.0,Defensive rebound by T. Mozgov,,90-86,,
6:46.0,W. Chandler misses 3-pt shot from 23 ft,,90-86,,
6:45.0,,,90-86,,Defensive rebound by E. Kanter
6:34.0,,,90-86,,E. Kanter misses 2-pt shot from 1 ft
6:33.0,,,90-86,,Offensive rebound by E. Kanter
6:33.0,,,90-86,,E. Kanter misses 2-pt shot from 1 ft
6:31.0,Defensive rebound by T. Mozgov,,90-86,,
6:17.0,,,90-86,,Violation by R. Hood (kicked ball)
6:17.0,,,90-86,,A. Burks enters the game for R. Hood
6:04.0,A. Afflalo misses 2-pt shot from 18 ft,,90-86,,
6:02.0,Offensive rebound by T. Mozgov,,90-86,,
5:58.0,Turnover by K. Faried (bad pass; steal by G. Hayward),,90-86,,
5:55.0,A. Afflalo ejected from game,,90-86,,
5:55.0,G. Harris enters the game for A. Afflalo,,90-86,,
5:55.0,,,90-86,,Technical foul by Team
5:55.0,T. Lawson makes technical free throw,1,91-86,,
5:55.0,,,91-87,1,A. Burks makes flagrant free throw 1 of 2
5:55.0,,,91-88,1,A. Burks makes flagrant free throw 2 of 2
5:43.0,,,91-88,,A. Burks misses 2-pt shot from 23 ft
5:41.0,Defensive rebound by T. Lawson,,91-88,,
5:29.0,,,91-88,,Shooting block foul by E. Kanter (drawn by T. Lawson)
5:29.0,T. Lawson makes free throw 1 of 2,1,92-88,,
5:29.0,T. Lawson misses free throw 2 of 2,,92-88,,
5:28.0,,,92-88,,Defensive rebound by T. Booker
5:07.0,,,92-88,,T. Burke misses 3-pt shot from 23 ft
5:05.0,Defensive rebound by T. Mozgov,,92-88,,
4:54.0,T. Lawson makes 2-pt shot from 14 ft,2,94-88,,
4:35.0,,,94-88,,E. Kanter misses 2-pt shot from 15 ft
4:34.0,Defensive rebound by T. Lawson,,94-88,,
4:15.0,T. Lawson misses 2-pt shot from 22 ft,,94-88,,
4:13.0,,,94-88,,Defensive rebound by A. Burks
