time,Oklahoma City,pts.away,score,pts.home,Chicago
7:55.0,R. Westbrook makes 2-pt shot from 1 ft,2,8-8,,
7:38.0,,,8-8,,J. Noah misses 2-pt shot from 1 ft
7:37.0,Defensive rebound by S. Ibaka,,8-8,,
7:31.0,K. Singler makes 3-pt shot from 25 ft (assist by R. Westbrook),3,11-8,,
7:21.0,Personal foul by E. Kanter (drawn by P. Gasol),,11-8,,
7:09.0,,,11-10,2,P. Gasol makes 2-pt shot from 18 ft (assist by A. Brooks)
6:44.0,S. Ibaka makes 2-pt shot from 6 ft,2,13-10,,
6:30.0,,,13-12,2,M. Dunleavy makes 2-pt shot from 2 ft (assist by J. Noah)
6:15.0,R. Westbrook makes 2-pt shot from 6 ft,2,15-12,,
6:15.0,Shooting foul by A. Brooks (drawn by R. Westbrook),,15-12,,
6:15.0,R. Westbrook makes free throw 1 of 1,1,16-12,,
5:56.0,,,16-12,,P. Gasol misses 2-pt shot from 6 ft (block by E. Kanter)
5:56.0,Defensive rebound by Team,,16-12,,
5:56.0,,,16-12,,Chicago full timeout
5:54.0,Jump ball: P. Gasol vs. E. Kanter (R. Westbrook gains possession),,,,Jump ball: P. Gasol vs. E. Kanter (R. Westbrook gains possession)
5:53.0,,,16-12,,Clear path foul by T. Snell
5:53.0,R. Westbrook makes clear path free throw 1 of 2,1,17-12,,
5:53.0,R. Westbrook makes clear path free throw 2 of 2,1,18-12,,
5:32.0,E. Kanter makes 2-pt shot from 12 ft (assist by R. Westbrook),2,20-12,,
5:15.0,,,20-12,,M. Dunleavy misses 2-pt shot from 3 ft
5:13.0,Defensive rebound by R. Westbrook,,20-12,,
5:06.0,E. Kanter misses 2-pt shot from 1 ft,,20-12,,
5:04.0,,,20-12,,Defensive rebound by J. Noah
4:51.0,,,20-14,2,P. Gasol makes 2-pt shot from 7 ft
4:31.0,Shooting foul by M. Dunleavy (drawn by S. Ibaka),,20-14,,
4:31.0,S. Ibaka misses free throw 1 of 2,,20-14,,
4:31.0,Offensive rebound by Team,,20-14,,
4:31.0,,,20-14,,N. Mirotic enters the game for J. Noah
4:31.0,,,20-14,,D. McDermott enters the game for M. Dunleavy
4:31.0,D. Waiters enters the game for K. Singler,,20-14,,
4:31.0,S. Ibaka makes free throw 2 of 2,1,21-14,,
4:13.0,,,21-14,,N. Mirotic misses 2-pt shot from 1 ft
4:12.0,Defensive rebound by E. Kanter,,21-14,,
4:04.0,Shooting foul by D. McDermott (drawn by R. Westbrook),,21-14,,
4:04.0,R. Westbrook makes free throw 1 of 2,1,22-14,,
4:04.0,R. Westbrook makes free throw 2 of 2,1,23-14,,
3:42.0,,,23-14,,Turnover by P. Gasol (lost ball; steal by A. Roberson)
3:35.0,D. Waiters misses 3-pt shot from 22 ft,,23-14,,
3:34.0,,,23-14,,Defensive rebound by Team
3:34.0,Loose ball foul by R. Westbrook (drawn by P. Gasol),,23-14,,
3:34.0,N. Collison enters the game for E. Kanter,,23-14,,
3:23.0,,,23-14,,A. Brooks misses 3-pt shot from 25 ft
3:21.0,Defensive rebound by A. Roberson,,23-14,,
3:03.0,R. Westbrook misses 2-pt shot from 18 ft,,23-14,,
3:02.0,,,23-14,,Defensive rebound by A. Brooks
2:44.0,,,23-16,2,P. Gasol makes 2-pt shot at rim
2:37.0,Oklahoma City full timeout,,23-16,,
2:37.0,,,23-16,,K. Hinrich enters the game for A. Brooks
2:37.0,A. Morrow enters the game for A. Roberson,,23-16,,
2:29.0,Shooting foul by P. Gasol (drawn by R. Westbrook),,23-16,,
2:29.0,R. Westbrook misses free throw 1 of 2,,23-16,,
2:29.0,Offensive rebound by Team,,23-16,,
2:29.0,R. Westbrook makes free throw 2 of 2,1,24-16,,
2:18.0,Personal foul by N. Collison (drawn by P. Gasol),,24-16,,
2:18.0,,,24-17,1,P. Gasol makes free throw 1 of 2
2:18.0,,,24-18,1,P. Gasol makes free throw 2 of 2
2:08.0,D. Waiters misses 2-pt shot from 3 ft (block by N. Mirotic),,24-18,,
2:08.0,Offensive rebound by Team,,24-18,,
2:04.0,A. Morrow makes 2-pt shot from 19 ft (assist by D. Waiters),2,26-18,,
1:47.0,,,26-18,,T. Snell misses 2-pt shot from 12 ft
1:46.0,Defensive rebound by A. Morrow,,26-18,,
1:29.0,Turnover by S. Ibaka (3 sec),,26-18,,
1:29.0,D. Augustin enters the game for R. Westbrook,,26-18,,
1:12.0,,,26-18,,D. McDermott misses 3-pt shot from 24 ft
1:11.0,Defensive rebound by S. Ibaka,,26-18,,
1:00.0,S. Ibaka makes 2-pt shot from 18 ft (assist by D. Augustin),2,28-18,,
0:47.0,,,28-18,,P. Gasol misses 2-pt shot from 11 ft
0:46.0,Defensive rebound by A. Morrow,,28-18,,
0:37.0,A. Morrow misses 3-pt shot from 26 ft,,28-18,,
0:35.0,Offensive rebound by S. Ibaka,,28-18,,
0:34.0,S. Ibaka makes 2-pt shot from 16 ft,2,30-18,,
0:20.0,,,30-18,,N. Mirotic misses 3-pt shot from 25 ft
0:18.0,Defensive rebound by N. Collison,,30-18,,
0:00.0,D. Augustin misses 3-pt shot from 23 ft,,30-18,,
0:00.0,Offensive rebound by Team,,30-18,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,,,30-18,,D. McDermott misses 2-pt shot at rim (block by S. Ibaka)
11:48.0,Defensive rebound by N. Collison,,30-18,,
11:36.0,S. Ibaka misses 2-pt shot from 20 ft,,30-18,,
11:35.0,,,30-18,,Defensive rebound by N. Mirotic
11:26.0,,,30-18,,T. Snell misses 2-pt shot from 15 ft
11:26.0,,,30-18,,Offensive rebound by Team
11:17.0,,,30-18,,N. Mirotic misses 3-pt shot from 23 ft
11:16.0,Defensive rebound by N. Collison,,30-18,,
11:01.0,D. Waiters makes 2-pt shot from 19 ft,2,32-18,,
10:37.0,,,32-18,,T. Snell misses 2-pt shot from 2 ft (block by S. Ibaka)
10:35.0,,,32-18,,Offensive rebound by K. Hinrich
10:34.0,,,32-21,3,K. Hinrich makes 3-pt shot from 23 ft
10:13.0,A. Morrow makes 3-pt shot from 23 ft (assist by N. Collison),3,35-21,,
9:54.0,,,35-21,,N. Mirotic misses 2-pt shot from 10 ft
9:53.0,Defensive rebound by D. Augustin,,35-21,,
9:49.0,D. Waiters makes 2-pt shot from 2 ft (assist by D. Augustin),2,37-21,,
9:41.0,,,37-21,,Chicago full timeout
9:41.0,M. McGary enters the game for S. Ibaka,,37-21,,
9:24.0,,,37-21,,D. McDermott misses 3-pt shot from 22 ft
9:22.0,Defensive rebound by M. McGary,,37-21,,
9:08.0,Turnover by D. Waiters (bad pass; steal by T. Snell),,37-21,,
9:04.0,,,37-23,2,T. Snell makes 2-pt shot from 2 ft
8:49.0,D. Waiters misses 2-pt shot from 17 ft,,37-23,,
8:48.0,,,37-23,,Defensive rebound by J. Noah
8:44.0,,,37-23,,Shooting foul by N. Collison (drawn by N. Mirotic)
8:44.0,,,37-24,1,N. Mirotic makes free throw 1 of 2
8:44.0,,,37-24,,M. Dunleavy enters the game for D. McDermott
8:44.0,,,37-24,,E. Moore enters the game for T. Snell
8:44.0,,,37-25,1,N. Mirotic makes free throw 2 of 2
8:23.0,A. Morrow misses 2-pt shot from 20 ft,,37-25,,
8:22.0,,,37-25,,Defensive rebound by J. Noah
8:09.0,,,37-25,,Shooting foul by M. McGary (drawn by J. Noah)
8:09.0,,,37-25,,J. Noah misses free throw 1 of 2
8:09.0,,,37-25,,Offensive rebound by Team
8:09.0,,,37-25,,J. Noah misses free throw 2 of 2
8:07.0,Defensive rebound by N. Collison,,37-25,,
7:49.0,A. Morrow misses 3-pt shot from 22 ft,,37-25,,
7:48.0,,,37-25,,Defensive rebound by N. Mirotic
7:43.0,,,37-27,2,N. Mirotic makes 2-pt shot from 1 ft
7:23.0,N. Collison makes 2-pt shot from 16 ft (assist by D. Augustin),2,39-27,,
7:12.0,Personal foul by M. McGary (drawn by J. Noah),,39-27,,
7:12.0,R. Westbrook enters the game for A. Morrow,,39-27,,
7:12.0,S. Ibaka enters the game for M. McGary,,39-27,,
7:12.0,E. Kanter enters the game for N. Collison,,39-27,,
7:00.0,,,39-29,2,M. Dunleavy makes 2-pt shot from 2 ft (assist by J. Noah)
6:53.0,Oklahoma City full timeout,,39-29,,
6:51.0,S. Ibaka makes 2-pt shot from 7 ft (assist by R. Westbrook),2,41-29,,
6:34.0,,,41-29,,E. Moore misses 3-pt shot from 24 ft
6:33.0,,,41-29,,Offensive rebound by J. Noah
6:28.0,,,41-29,,Shooting foul by D. Augustin (drawn by M. Dunleavy)
6:28.0,,,41-30,1,M. Dunleavy makes free throw 1 of 2
6:28.0,,,41-31,1,M. Dunleavy makes free throw 2 of 2
6:19.0,Turnover by R. Westbrook (bad pass; steal by E. Moore),,41-31,,
6:08.0,,,41-33,2,E. Moore makes 2-pt shot from 2 ft (assist by N. Mirotic)
5:48.0,Turnover by R. Westbrook (bad pass; steal by J. Noah),,41-33,,
5:44.0,,,41-35,2,N. Mirotic makes 2-pt shot from 3 ft (assist by K. Hinrich)
5:22.0,D. Waiters misses 2-pt shot from 19 ft,,41-35,,
5:22.0,,,41-35,,Defensive rebound by E. Moore
5:08.0,,,41-37,2,E. Moore makes 2-pt shot from 1 ft (assist by J. Noah)
5:01.0,Oklahoma City full timeout,,41-37,,
5:01.0,A. Morrow enters the game for D. Waiters,,41-37,,
5:01.0,A. Roberson enters the game for D. Augustin,,41-37,,
4:54.0,R. Westbrook misses 2-pt shot from 21 ft (block by E. Moore),,41-37,,
4:53.0,Offensive rebound by R. Westbrook,,41-37,,
4:49.0,R. Westbrook misses 2-pt shot from 2 ft,,41-37,,
4:48.0,,,41-37,,Defensive rebound by E. Moore
4:24.0,,,41-37,,M. Dunleavy misses 2-pt shot from 20 ft
4:23.0,Defensive rebound by S. Ibaka,,41-37,,
4:17.0,R. Westbrook makes 2-pt shot from 10 ft,2,43-37,,
3:53.0,,,43-37,,N. Mirotic misses 2-pt shot at rim
3:52.0,Defensive rebound by E. Kanter,,43-37,,
3:48.0,Shooting foul by K. Hinrich (drawn by R. Westbrook),,43-37,,
3:48.0,R. Westbrook makes free throw 1 of 2,1,44-37,,
3:48.0,,,44-37,,A. Brooks enters the game for K. Hinrich
3:48.0,,,44-37,,P. Gasol enters the game for J. Noah
3:48.0,R. Westbrook makes free throw 2 of 2,1,45-37,,
3:36.0,,,45-37,,N. Mirotic misses 3-pt shot from 24 ft
3:35.0,Defensive rebound by A. Roberson,,45-37,,
3:29.0,R. Westbrook misses 2-pt shot from 2 ft,,45-37,,
3:28.0,,,45-37,,Defensive rebound by M. Dunleavy
3:21.0,Personal foul by E. Kanter (drawn by N. Mirotic),,45-37,,
3:21.0,,,45-38,1,N. Mirotic makes free throw 1 of 2
3:21.0,,,45-39,1,N. Mirotic makes free throw 2 of 2
3:01.0,A. Roberson misses 3-pt shot from 24 ft,,45-39,,
3:00.0,,,45-39,,Defensive rebound by P. Gasol
2:39.0,,,45-41,2,A. Brooks makes 2-pt shot from 2 ft (assist by P. Gasol)
2:23.0,S. Ibaka makes 2-pt shot from 22 ft (assist by R. Westbrook),2,47-41,,
2:05.0,Violation by S. Ibaka (def goaltending),,47-41,,
2:05.0,,,47-43,2,E. Moore makes 2-pt shot from 6 ft (assist by A. Brooks)
1:54.0,Turnover by R. Westbrook (bad pass; steal by E. Moore),,47-43,,
1:49.0,,,47-43,,M. Dunleavy misses 2-pt shot at rim
1:48.0,Defensive rebound by S. Ibaka,,47-43,,
1:44.0,R. Westbrook makes 3-pt shot from 24 ft (assist by S. Ibaka),3,50-43,,
1:27.0,,,50-43,,P. Gasol misses 2-pt shot from 19 ft
1:26.0,Defensive rebound by A. Morrow,,50-43,,
1:15.0,R. Westbrook misses 3-pt shot from 27 ft,,50-43,,
1:14.0,,,50-43,,Defensive rebound by A. Brooks
1:08.0,,,50-43,,Shooting foul by A. Morrow (drawn by P. Gasol)
1:08.0,,,50-43,,Chicago full timeout
1:08.0,,,50-43,,P. Gasol misses free throw 1 of 2
1:08.0,,,50-43,,Offensive rebound by Team
1:08.0,,,50-44,1,P. Gasol makes free throw 2 of 2
0:47.0,R. Westbrook misses 2-pt shot from 2 ft,,50-44,,
0:46.0,,,50-44,,Defensive rebound by N. Mirotic
0:40.0,,,50-46,2,P. Gasol makes 2-pt shot from 14 ft (assist by A. Brooks)
0:31.0,R. Westbrook misses 2-pt shot from 16 ft,,50-46,,
0:30.0,,,50-46,,Defensive rebound by N. Mirotic
0:23.0,,,50-46,,M. Dunleavy misses 3-pt shot from 22 ft
0:21.0,,,50-46,,Offensive rebound by P. Gasol
0:16.0,,,50-46,,P. Gasol misses 2-pt shot at rim
0:15.0,,,50-46,,Offensive rebound by P. Gasol
0:15.0,,,50-46,,P. Gasol misses 2-pt shot from 2 ft
0:12.0,,,50-46,,Offensive rebound by E. Moore
0:02.0,,,50-46,,A. Brooks misses 2-pt shot at rim
0:02.0,,,50-46,,Offensive rebound by P. Gasol
0:01.0,,,50-46,,P. Gasol misses 2-pt shot from 2 ft
0:00.0,,,50-46,,Offensive rebound by P. Gasol
0:00.0,,,50-48,2,P. Gasol makes 2-pt shot from 2 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,,,50-48,,Turnover by A. Brooks (lost ball)
11:35.0,E. Kanter misses 2-pt shot from 2 ft,,50-48,,
11:34.0,,,50-48,,Defensive rebound by J. Noah
11:23.0,,,50-51,3,M. Dunleavy makes 3-pt shot from 23 ft (assist by A. Brooks)
11:07.0,Shooting foul by J. Noah (drawn by E. Kanter),,50-51,,
11:07.0,E. Kanter makes free throw 1 of 2,1,51-51,,
11:07.0,E. Kanter makes free throw 2 of 2,1,52-51,,
10:45.0,,,52-51,,P. Gasol misses 2-pt shot from 19 ft
10:44.0,Defensive rebound by R. Westbrook,,52-51,,
10:38.0,R. Westbrook misses 2-pt shot from 21 ft,,52-51,,
10:37.0,,,52-51,,Defensive rebound by M. Dunleavy
10:28.0,,,52-51,,M. Dunleavy misses 2-pt shot from 3 ft
10:27.0,Defensive rebound by K. Singler,,52-51,,
10:21.0,,,52-51,,Personal foul by M. Dunleavy (drawn by R. Westbrook)
10:02.0,K. Singler misses 3-pt shot from 25 ft,,52-51,,
10:01.0,,,52-51,,Defensive rebound by T. Snell
9:53.0,,,52-51,,A. Brooks misses 2-pt shot from 1 ft
9:52.0,Defensive rebound by E. Kanter,,52-51,,
9:44.0,S. Ibaka makes 2-pt shot from 13 ft (assist by R. Westbrook),2,54-51,,
9:24.0,,,54-53,2,J. Noah makes 2-pt shot from 1 ft (assist by A. Brooks)
9:07.0,Turnover by S. Ibaka (traveling),,54-53,,
8:55.0,,,54-53,,T. Snell misses 3-pt shot from 23 ft
8:53.0,,,54-53,,Offensive rebound by T. Snell
8:48.0,,,54-53,,M. Dunleavy misses 3-pt shot from 25 ft
8:47.0,Defensive rebound by A. Roberson,,54-53,,
8:36.0,R. Westbrook makes 2-pt shot from 1 ft,2,56-53,,
8:13.0,,,56-55,2,P. Gasol makes 2-pt shot from 8 ft
7:54.0,S. Ibaka misses 2-pt shot from 16 ft,,56-55,,
7:53.0,,,56-55,,Defensive rebound by M. Dunleavy
7:39.0,,,56-55,,A. Brooks misses 3-pt shot from 24 ft
7:38.0,Defensive rebound by K. Singler,,56-55,,
7:28.0,S. Ibaka misses 3-pt shot from 24 ft,,56-55,,
7:27.0,,,56-55,,Defensive rebound by J. Noah
7:17.0,,,56-57,2,M. Dunleavy makes 2-pt shot at rim (assist by J. Noah)
7:15.0,Oklahoma City full timeout,,56-57,,
6:53.0,R. Westbrook makes 3-pt shot from 26 ft,3,59-57,,
6:32.0,,,59-60,3,M. Dunleavy makes 3-pt shot from 25 ft (assist by A. Brooks)
6:21.0,R. Westbrook makes 2-pt shot from 1 ft,2,61-60,,
6:21.0,Shooting foul by T. Snell (drawn by R. Westbrook),,61-60,,
6:21.0,R. Westbrook misses free throw 1 of 1,,61-60,,
6:20.0,Offensive rebound by Team,,61-60,,
6:11.0,R. Westbrook makes 2-pt shot from 21 ft,2,63-60,,
5:54.0,Violation by S. Ibaka (def goaltending),,63-60,,
5:54.0,,,63-62,2,P. Gasol makes 2-pt shot from 4 ft
5:29.0,S. Ibaka misses 2-pt shot from 19 ft,,63-62,,
5:27.0,Offensive rebound by E. Kanter,,63-62,,
5:27.0,E. Kanter misses 2-pt shot from 1 ft,,63-62,,
5:26.0,,,63-62,,Defensive rebound by T. Snell
5:19.0,,,63-62,,Turnover by A. Brooks (bad pass; steal by A. Roberson)
5:14.0,R. Westbrook makes 2-pt shot from 1 ft,2,65-62,,
5:14.0,Shooting foul by M. Dunleavy (drawn by R. Westbrook),,65-62,,
5:14.0,D. Waiters enters the game for A. Roberson,,65-62,,
5:14.0,,,65-62,,N. Mirotic enters the game for J. Noah
5:14.0,R. Westbrook makes free throw 1 of 1,1,66-62,,
5:00.0,,,66-64,2,A. Brooks makes 2-pt shot from 1 ft
4:39.0,S. Ibaka makes 2-pt shot from 17 ft,2,68-64,,
4:22.0,,,68-64,,N. Mirotic misses 3-pt shot from 25 ft
4:21.0,Defensive rebound by R. Westbrook,,68-64,,
4:07.0,A. Morrow enters the game for K. Singler,,68-64,,
4:00.0,R. Westbrook misses 2-pt shot from 16 ft,,68-64,,
3:59.0,,,68-64,,Defensive rebound by P. Gasol
3:39.0,,,68-64,,M. Dunleavy misses 3-pt shot from 25 ft
3:38.0,,,68-64,,Offensive rebound by P. Gasol
3:38.0,,,68-66,2,P. Gasol makes 2-pt shot from 2 ft
3:18.0,R. Westbrook makes 2-pt shot from 22 ft,2,70-66,,
3:05.0,,,70-66,,A. Brooks misses 2-pt shot from 7 ft
3:05.0,Defensive rebound by Team,,70-66,,
3:05.0,,,70-66,,K. Hinrich enters the game for A. Brooks
2:52.0,R. Westbrook misses 2-pt shot from 16 ft,,70-66,,
2:50.0,,,70-66,,Defensive rebound by K. Hinrich
2:37.0,,,70-66,,N. Mirotic misses 3-pt shot from 24 ft
2:35.0,Defensive rebound by S. Ibaka,,70-66,,
2:31.0,R. Westbrook makes 2-pt shot from 3 ft,2,72-66,,
2:14.0,,,72-66,,T. Snell misses 3-pt shot from 25 ft
2:13.0,Defensive rebound by A. Morrow,,72-66,,
2:06.0,A. Morrow misses 3-pt shot from 24 ft,,72-66,,
2:05.0,,,72-66,,Defensive rebound by N. Mirotic
1:52.0,,,72-68,2,N. Mirotic makes 2-pt shot from 1 ft
1:37.0,S. Ibaka makes 2-pt shot from 21 ft,2,74-68,,
1:20.0,,,74-68,,Shooting foul by E. Kanter (drawn by N. Mirotic)
1:20.0,,,74-68,,Chicago full timeout
1:20.0,,,74-68,,E. Moore enters the game for M. Dunleavy
1:20.0,N. Collison enters the game for E. Kanter,,74-68,,
1:20.0,,,74-69,1,N. Mirotic makes free throw 1 of 2
1:20.0,,,74-70,1,N. Mirotic makes free throw 2 of 2
1:05.0,D. Waiters misses 2-pt shot from 22 ft,,74-70,,
1:05.0,,,74-70,,Defensive rebound by N. Mirotic
0:50.0,,,74-70,,N. Mirotic misses 3-pt shot from 24 ft
0:49.0,Defensive rebound by D. Waiters,,74-70,,
0:39.0,S. Ibaka makes 2-pt shot from 16 ft,2,76-70,,
0:23.0,,,76-70,,N. Mirotic misses 3-pt shot from 23 ft
0:22.0,Defensive rebound by R. Westbrook,,76-70,,
0:03.0,R. Westbrook makes 3-pt shot from 25 ft,3,79-70,,
0:00.0,,,79-72,2,K. Hinrich makes 2-pt shot from 5 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,D. Waiters makes 2-pt shot from 8 ft,2,81-72,,
11:26.0,,,81-74,2,E. Moore makes 2-pt shot from 14 ft (assist by K. Hinrich)
11:15.0,,,81-74,,Personal foul by N. Mirotic (drawn by D. Waiters)
11:05.0,D. Augustin makes 2-pt shot from 13 ft,2,83-74,,
10:40.0,,,83-74,,Shooting foul by N. Collison (drawn by N. Mirotic)
10:40.0,,,83-75,1,N. Mirotic makes free throw 1 of 2
10:40.0,,,83-75,,M. Dunleavy enters the game for T. Snell
10:40.0,,,83-76,1,N. Mirotic makes free throw 2 of 2
10:24.0,D. Augustin makes 3-pt shot from 22 ft (assist by D. Waiters),3,86-76,,
10:07.0,,,86-79,3,N. Mirotic makes 3-pt shot from 24 ft (assist by K. Hinrich)
9:52.0,Turnover by N. Collison (bad pass),,86-79,,
9:40.0,,,86-79,,K. Hinrich misses 3-pt shot from 25 ft
9:39.0,,,86-79,,Offensive rebound by E. Moore
9:39.0,,,86-81,2,E. Moore makes 2-pt shot from 3 ft
9:16.0,D. Augustin misses 3-pt shot from 23 ft,,86-81,,
9:15.0,Offensive rebound by N. Collison,,86-81,,
9:12.0,A. Morrow makes 3-pt shot from 25 ft (assist by N. Collison),3,89-81,,
8:59.0,,,89-81,,Turnover by K. Hinrich (bad pass; steal by D. Augustin)
8:56.0,D. Augustin makes 2-pt shot from 1 ft (assist by N. Collison),2,91-81,,
8:39.0,,,91-83,2,K. Hinrich makes 2-pt shot from 20 ft (assist by J. Noah)
8:24.0,Oklahoma City full timeout,,91-83,,
8:24.0,R. Westbrook enters the game for D. Waiters,,91-83,,
8:17.0,A. Morrow misses 2-pt shot from 20 ft,,91-83,,
8:16.0,,,91-83,,Defensive rebound by J. Noah
7:55.0,,,91-85,2,J. Noah makes 2-pt shot at rim (assist by M. Dunleavy)
7:33.0,D. Augustin makes 3-pt shot from 25 ft (assist by S. Ibaka),3,94-85,,
7:13.0,,,94-87,2,E. Moore makes 2-pt shot from 9 ft (assist by K. Hinrich)
6:55.0,R. Westbrook misses 2-pt shot from 1 ft,,94-87,,
6:54.0,,,94-87,,Defensive rebound by J. Noah
6:48.0,,,94-89,2,E. Moore makes 2-pt shot from 16 ft (assist by J. Noah)
6:26.0,R. Westbrook makes 2-pt shot from 18 ft (assist by S. Ibaka),2,96-89,,
6:05.0,,,96-91,2,M. Dunleavy makes 2-pt shot from 1 ft (assist by J. Noah)
6:03.0,Oklahoma City full timeout,,96-91,,
6:03.0,D. Waiters enters the game for A. Morrow,,96-91,,
5:51.0,Shooting foul by J. Noah (drawn by R. Westbrook),,96-91,,
5:51.0,R. Westbrook makes free throw 1 of 2,1,97-91,,
5:51.0,R. Westbrook makes free throw 2 of 2,1,98-91,,
5:28.0,,,98-91,,Turnover by N. Mirotic (lost ball; steal by S. Ibaka)
5:11.0,S. Ibaka makes 2-pt shot from 19 ft (assist by D. Waiters),2,100-91,,
4:57.0,,,100-93,2,E. Moore makes 2-pt shot from 5 ft
4:38.0,R. Westbrook misses 2-pt shot from 21 ft,,100-93,,
4:37.0,,,100-93,,Defensive rebound by J. Noah
4:31.0,,,100-96,3,M. Dunleavy makes 3-pt shot from 24 ft (assist by J. Noah)
4:15.0,,,100-96,,Personal foul by N. Mirotic (drawn by N. Collison)
4:15.0,,,100-96,,P. Gasol enters the game for J. Noah
4:15.0,E. Kanter enters the game for N. Collison,,100-96,,
4:03.0,D. Augustin misses 2-pt shot from 1 ft (block by N. Mirotic),,100-96,,
4:02.0,Offensive rebound by S. Ibaka,,100-96,,
3:59.0,D. Waiters misses 3-pt shot from 23 ft,,100-96,,
3:57.0,,,100-96,,Defensive rebound by N. Mirotic
3:42.0,,,100-96,,M. Dunleavy misses 2-pt shot from 20 ft
3:41.0,Defensive rebound by S. Ibaka,,100-96,,
3:29.0,R. Westbrook misses 2-pt shot from 16 ft,,100-96,,
3:28.0,,,100-96,,Defensive rebound by P. Gasol
3:13.0,Personal foul by R. Westbrook (drawn by E. Moore),,100-96,,
3:11.0,,,100-96,,Shooting foul by E. Kanter (drawn by N. Mirotic)
3:11.0,,,100-96,,N. Mirotic misses free throw 1 of 2
3:11.0,,,100-96,,Offensive rebound by Team
3:11.0,,,100-97,1,N. Mirotic makes free throw 2 of 2
2:49.0,R. Westbrook misses 3-pt shot from 27 ft,,100-97,,
2:48.0,,,100-97,,Defensive rebound by N. Mirotic
2:41.0,,,100-97,,Turnover by K. Hinrich (bad pass; steal by R. Westbrook)
2:41.0,,,100-97,,Personal foul by E. Moore (drawn by R. Westbrook)
2:41.0,,,100-97,,Chicago full timeout
2:41.0,,,100-97,,A. Brooks enters the game for K. Hinrich
2:22.0,S. Ibaka misses 2-pt shot from 18 ft,,100-97,,
2:21.0,,,100-97,,Defensive rebound by P. Gasol
2:16.0,,,100-97,,Shooting foul by S. Ibaka (drawn by N. Mirotic)
2:16.0,,,100-98,1,N. Mirotic makes free throw 1 of 2
2:16.0,,,100-99,1,N. Mirotic makes free throw 2 of 2
1:57.0,D. Waiters misses 2-pt shot from 22 ft,,100-99,,
1:57.0,Offensive rebound by R. Westbrook,,100-99,,
1:57.0,R. Westbrook misses 2-pt shot from 1 ft,,100-99,,
1:57.0,,,100-99,,Defensive rebound by Team
1:57.0,A. Roberson enters the game for D. Augustin,,100-99,,
