time,Atlanta,pts.away,score,pts.home,Charlotte
9:30.0,,,29-29,3,G. Neal makes 3-pt shot from 23 ft (assist by B. Roberts)
9:09.0,,,29-29,,Personal foul by C. Zeller (drawn by M. Scott)
9:09.0,,,29-29,,M. Williams enters the game for C. Zeller
8:56.0,M. Scott misses 2-pt shot from 9 ft,,29-29,,
8:55.0,,,29-29,,Defensive rebound by L. Stephenson
8:36.0,,,29-31,2,L. Stephenson makes 2-pt shot from 1 ft (assist by B. Roberts)
8:36.0,Atlanta full timeout,,29-31,,
8:36.0,P. Millsap enters the game for A. Horford,,29-31,,
8:36.0,J. Teague enters the game for D. Schroder,,29-31,,
8:36.0,P. Antic enters the game for M. Scott,,29-31,,
8:22.0,,,29-31,,Personal foul by J. Maxiell (drawn by P. Antic)
8:18.0,K. Korver misses 2-pt shot from 19 ft,,29-31,,
8:17.0,,,29-31,,Defensive rebound by G. Neal
8:03.0,,,29-31,,L. Stephenson misses 2-pt shot from 2 ft
7:59.0,Defensive rebound by J. Teague,,29-31,,
7:54.0,D. Carroll makes 3-pt shot from 25 ft (assist by J. Teague),3,32-31,,
7:28.0,,,32-31,,B. Roberts misses 3-pt shot from 25 ft
7:27.0,,,32-31,,Offensive rebound by Team
7:27.0,,,32-31,,A. Jefferson enters the game for J. Maxiell
7:27.0,,,32-31,,M. Kidd-Gilchrist enters the game for G. Neal
7:14.0,,,32-31,,M. Kidd-Gilchrist misses 2-pt shot from 2 ft
7:14.0,,,32-31,,Offensive rebound by M. Kidd-Gilchrist
7:14.0,,,32-31,,Shooting foul by P. Antic (drawn by M. Kidd-Gilchrist)
7:14.0,,,32-31,,M. Kidd-Gilchrist misses free throw 1 of 2
7:14.0,,,32-31,,Offensive rebound by Team
7:14.0,,,32-32,1,M. Kidd-Gilchrist makes free throw 2 of 2
7:02.0,K. Korver misses 2-pt shot from 6 ft,,32-32,,
7:01.0,,,32-32,,Defensive rebound by A. Jefferson
6:57.0,,,32-32,,Turnover by M. Kidd-Gilchrist (bad pass; steal by D. Carroll)
6:46.0,P. Antic misses 3-pt shot from 25 ft,,32-32,,
6:45.0,,,32-32,,Defensive rebound by M. Williams
6:32.0,,,32-32,,Turnover by M. Williams (bad pass)
6:20.0,P. Millsap misses 2-pt shot from 8 ft,,32-32,,
6:18.0,Offensive rebound by P. Millsap,,32-32,,
6:18.0,P. Millsap misses 2-pt shot at rim,,32-32,,
6:18.0,Offensive rebound by Team,,32-32,,
6:18.0,Turnover by P. Millsap (traveling),,32-32,,
6:18.0,,,32-32,,K. Walker enters the game for B. Roberts
5:54.0,,,32-34,2,A. Jefferson makes 2-pt shot at rim (assist by K. Walker)
5:41.0,J. Teague makes 2-pt shot from 2 ft,2,34-34,,
5:25.0,,,34-34,,M. Williams misses 3-pt shot from 25 ft
5:24.0,,,34-34,,Offensive rebound by Team
5:24.0,Official timeout,,34-34,,
5:24.0,A. Horford enters the game for K. Korver,,34-34,,
